id,move,description,type,category,power,accuracy,pp,z-effect,priority,crit
225,Dragon Breath,The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.,Dragon,Special,60,100%,20,120 Power,0,0
226,Baton Pass,The user switches places with a party Pokémon in waiting and passes along any stat changes.,Normal,Status,0,—,40,Reset user's stats,0,0
227,Encore,The user compels the target to keep using the move it encored for three turns.,Normal,Status,0,100%,5,Speed ↑,0,0
228,Pursuit,The power of this attack move is doubled if it’s used on a target that’s switching out of battle.,Dark,Physical,40,100%,20,100 Power,0,0
229,Rapid Spin,"A spin attack that can also eliminate such moves as Bind, Wrap, Leech Seed, and Spikes.",Normal,Physical,20,100%,40,100 Power,0,0
230,Sweet Scent,A sweet scent that harshly lowers opposing Pokémon’s evasiveness.,Normal,Status,0,100%,20,Accuracy ↑,0,0
231,Iron Tail,The target is slammed with a steel-hard tail. This may also lower the target’s Defense stat.,Steel,Physical,100,75%,15,180 Power,0,0
232,Metal Claw,The target is raked with steel claws. This may also raise the user’s Attack stat.,Steel,Physical,50,95%,35,100 Power,0,0
233,Vital Throw,"The user attacks last. In return, this throw move never misses.",Fighting,Physical,70,—,10,140 Power,-1,0
234,Morning Sun,The user restores its own HP. The amount of HP regained varies with the weather.,Normal,Status,0,—,5,Reset user's stats,0,0
235,Synthesis,The user restores its own HP. The amount of HP regained varies with the weather.,Grass,Status,0,—,5,Reset user's stats,0,0
236,Moonlight,The user restores its own HP. The amount of HP regained varies with the weather.,Fairy,Status,0,—,5,Reset user's stats,0,0
237,Hidden Power,A unique attack that varies in type depending on the Pokémon using it.,Normal,Special,60,100%,15,120 Power,0,0
238,Cross Chop,The user delivers a double chop with its forearms crossed. Critical hits land more easily.,Fighting,Physical,100,80%,5,180 Power,0,1
239,Twister,The user whips up a vicious tornado to tear at the opposing Pokémon. This may also make them flinch.,Dragon,Special,40,100%,20,100 Power,0,0
240,Rain Dance,"The user summons a heavy rain that falls for five turns, powering up Water-type moves. It lowers the power of Fire-type moves.",Water,Status,0,—,5,Speed ↑,0,0
241,Sunny Day,"The user intensifies the sun for five turns, powering up Fire-type moves. It lowers the power of Water-type moves.",Fire,Status,0,—,5,Speed ↑,0,0
242,Crunch,The user crunches up the target with sharp fangs. This may also lower the target’s Defense stat.,Dark,Physical,80,100%,15,160 Power,0,0
243,Mirror Coat,"A retaliation move that counters any special attack, inflicting double the damage taken.",Psychic,Special,—,100%,20,100 Power,-5,0
244,Psych Up,The user hypnotizes itself into copying any stat change made by the target.,Normal,Status,0,—,10,Restores user's HP 100%,0,0
245,Extreme Speed,The user charges the target at blinding speed. This move always goes first.,Normal,Physical,80,100%,5,160 Power,2,0
246,Ancient Power,The user attacks with a prehistoric power. This may also raise all the user’s stats at once.,Rock,Special,60,100%,5,120 Power,0,0
247,Shadow Ball,The user hurls a shadowy blob at the target. This may also lower the target’s Sp. Def stat.,Ghost,Special,80,100%,15,160 Power,0,0
248,Future Sight,"Two turns after this move is used, a hunk of psychic energy attacks the target.",Psychic,Special,120,100%,10,190 Power,0,0
249,Rock Smash,The user attacks with a punch. This may also lower the target’s Defense stat.,Fighting,Physical,40,100%,15,100 Power,0,0
250,Whirlpool,The user traps the target in a violent swirling whirlpool for four to five turns.,Water,Special,35,85%,15,100 Power,0,0
251,Beat Up,"The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.",Dark,Physical,—,100%,10,100 Power,0,0
252,Fake Out,This attack hits first and makes the target flinch. It only works the first turn the user is in battle.,Normal,Physical,40,100%,10,100 Power,3,0
253,Uproar,"The user attacks in an uproar for three turns. During that time, no Pokémon can fall asleep.",Normal,Special,90,100%,10,175 Power,0,0
254,Stockpile,The user charges up power and raises both its Defense and Sp. Def stats. The move can be used three times.,Normal,Status,0,—,20,Restores user's HP 100%,0,0
255,Spit Up,"The power stored using the move Stockpile is released at once in an attack. The more power is stored, the greater the move’s power.",Normal,Special,—,100%,10,100 Power,0,0
256,Swallow,The power stored using the move Stockpile is absorbed by the user to heal its HP. Storing more power heals more HP.,Normal,Status,0,—,10,Reset user's stats,0,0
257,Heat Wave,The user attacks by exhaling hot breath on the opposing Pokémon. This may also leave those Pokémon with a burn.,Fire,Special,95,90%,10,175 Power,0,0
258,Hail,The user summons a hailstorm lasting five turns. It damages all Pokémon except the Ice type.,Ice,Status,0,—,10,Speed ↑,0,0
259,Torment,"The user torments and enrages the target, making it incapable of using the same move twice in a row.",Dark,Status,0,100%,15,Defense ↑,0,0
260,Flatter,"Flattery is used to confuse the target. However, this also raises the target’s Sp. Atk stat.",Dark,Status,0,100%,15,Special Defense ↑,0,0
261,Will-O-Wisp,"The user shoots a sinister, bluish-white flame at the target to inflict a burn.",Fire,Status,0,85%,15,Attack ↑,0,0
262,Memento,"The user faints when using this move. In return, this harshly lowers the target’s Attack and Sp. Atk stats.",Dark,Status,0,100%,10,Restores replacement’s HP 100%,0,0
263,Facade,"This attack move doubles its power if the user is poisoned, burned, or paralyzed.",Normal,Physical,70,100%,20,140 Power,0,0
264,Focus Punch,The user focuses its mind before launching a punch. This move fails if the user is hit before it is used.,Fighting,Physical,150,100%,20,200 Power,-3,0
265,Smelling Salts,"This attack’s power is doubled when used on a target with paralysis. This also cures the target’s paralysis, however.",Normal,Physical,70,100%,10,140 Power,0,0
266,Follow Me,"The user draws attention to itself, making all targets take aim only at the user.",Normal,Status,0,100%,20,Reset user's stats,2,0
267,Nature Power,This attack makes use of nature’s power. Its effects vary depending on the user’s environment.,Normal,Status,0,—,20,No additional effect,0,0
268,Charge,The user boosts the power of the Electric move it uses on the next turn. This also raises the user’s Sp. Def stat.,Electric,Status,0,—,20,Special Defense ↑,0,0
269,Taunt,The target is taunted into a rage that allows it to use only attack moves for three turns.,Dark,Status,0,100%,20,Attack ↑,0,0
270,Helping Hand,The user assists an ally by boosting the power of that ally’s attack.,Normal,Status,0,—,20,Reset user's stats,5,0
271,Trick,The user catches the target off guard and swaps its held item with its own.,Psychic,Status,0,100%,10,Speed ↑↑,0,0
272,Role Play,"The user mimics the target completely, copying the target’s natural Ability.",Psychic,Status,0,—,10,Speed ↑,0,0
273,Wish,"One turn after this move is used, the user’s or its replacement’s HP is restored by half the user’s max HP.",Normal,Status,0,—,10,Special Defense ↑,0,0
274,Assist,The user hurriedly and randomly uses a move among those known by ally Pokémon.,Normal,Status,0,—,20,No additional effect,0,0
275,Ingrain,"The user lays roots that restore its HP on every turn. Because it’s rooted, it can’t switch out.",Grass,Status,0,—,20,Special Defense ↑,0,0
276,Superpower,"The user attacks the target with great power. However, this also lowers the user’s Attack and Defense stats.",Fighting,Physical,120,100%,5,190 Power,0,0
277,Magic Coat,A barrier reflects back to the target moves like Leech Seed and moves that damage status.,Psychic,Status,0,—,15,Special Defense ↑↑,4,0
278,Recycle,The user recycles a held item that has been used in battle so it can be used again.,Normal,Status,0,100%,10,Speed ↑↑,0,0
279,Revenge,This attack move’s power is doubled if the user has been hurt by the opponent in the same turn.,Fighting,Physical,60,100%,10,120 Power,-4,0
280,Brick Break,"The user attacks with a swift chop. It can also break barriers, such as Light Screen and Reflect.",Fighting,Physical,75,100%,15,140 Power,0,0
281,Yawn,The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.,Normal,Status,0,100%,10,Speed ↑,0,0
282,Knock Off,"The user slaps down the target’s held item, and that item can’t be used in that battle. The move does more damage if the target has a held item.",Dark,Physical,65,100%,20,120 Power,0,0
283,Endeavor,This attack move cuts down the target’s HP to equal the user’s HP.,Normal,Physical,—,100%,5,160 Power,0,0
284,Eruption,"The user attacks opposing Pokémon with explosive fury. The lower the user’s HP, the lower the move’s power.",Fire,Special,—,100%,5,200 Power,0,0
285,Skill Swap,The user employs its psychic power to exchange Abilities with the target.,Psychic,Status,0,100%,10,Speed ↑,0,0
286,Imprison,"If opposing Pokémon know any move also known by the user, they are prevented from using it.",Psychic,Status,0,100%,10,Special Defense ↑↑,0,0
287,Refresh,"The user rests to cure itself of poisoning, a burn, or paralysis.",Normal,Status,0,100%,20,Restores user's HP 100%,0,0
288,Grudge,"If the user faints, the user’s grudge fully depletes the PP of the opponent’s move that knocked it out.",Ghost,Status,0,100%,5,Becomes center of attention,0,0
289,Snatch,The user steals the effects of any attempts to use a healing or stat-changing move.,Dark,Status,0,100%,10,Speed ↑↑,4,0
290,Secret Power,The additional effects of this attack depend upon where it was used.,Normal,Physical,70,100%,20,140 Power,0,0
291,Dive,"Diving on the first turn, the user floats up and attacks on the next turn.",Water,Physical,80,100%,10,160 Power,0,0
292,Arm Thrust,The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.,Fighting,Physical,15,100%,20,100 Power,0,0
293,Camouflage,"The user’s type is changed depending on its environment, such as at water’s edge, in grass, or in a cave.",Normal,Status,0,100%,20,Evasiveness ↑,0,0
294,Tail Glow,"The user stares at flashing lights to focus its mind, drastically raising its Sp. Atk stat.",Bug,Status,0,100%,20,Reset user's stats,0,0
295,Luster Purge,The user lets loose a damaging burst of light. This may also lower the target’s Sp. Def stat.,Psychic,Special,70,100%,5,140 Power,0,0
296,Mist Ball,A mist-like flurry of down envelops and damages the target. This may also lower the target’s Sp. Atk stat.,Psychic,Special,70,100%,5,140 Power,0,0
297,Feather Dance,The user covers the target’s body with a mass of down that harshly lowers its Attack stat.,Flying,Status,0,100%,15,Defense ↑,0,0
298,Teeter Dance,The user performs a wobbly dance that confuses the Pokémon around it.,Normal,Status,0,100%,20,Special Attack ↑,0,0
299,Blaze Kick,The user launches a kick that lands a critical hit more easily. This may also leave the target with a burn.,Fire,Physical,85,90%,10,160 Power,0,1
300,Mud Sport,The user kicks up mud on the battlefield. This weakens Electric-type moves for five turns.,Ground,Status,0,100%,15,Special Defense ↑,0,0
301,Ice Ball,The user attacks the target for five turns. The move’s power increases each time it hits.,Ice,Physical,30,90%,20,100 Power,0,0
302,Needle Arm,The user attacks by wildly swinging its thorny arms. This may also make the target flinch.,Grass,Physical,60,100%,15,120 Power,0,0
303,Slack Off,"The user slacks off, restoring its own HP by up to half of its max HP.",Normal,Status,0,100%,10,Reset user's stats,0,0
304,Hyper Voice,The user lets loose a horribly echoing shout with the power to inflict damage.,Normal,Special,90,100%,10,175 Power,0,0
305,Poison Fang,The user bites the target with toxic fangs. This may also leave the target badly poisoned.,Poison,Physical,50,100%,15,100 Power,0,0
306,Crush Claw,The user slashes the target with hard and sharp claws. This may also lower the target’s Defense stat.,Normal,Physical,75,95%,10,140 Power,0,0
307,Blast Burn,The target is razed by a fiery explosion. The user can’t move on the next turn.,Fire,Special,150,90%,5,200 Power,0,0
308,Hydro Cannon,The target is hit with a watery blast. The user can’t move on the next turn.,Water,Special,150,90%,5,200 Power,0,0
309,Meteor Mash,The target is hit with a hard punch fired like a meteor. This may also raise the user’s Attack stat.,Steel,Physical,90,90%,10,175 Power,0,0
310,Astonish,The user attacks the target while shouting in a startling fashion. This may also make the target flinch.,Ghost,Physical,30,100%,15,100 Power,0,0
311,Weather Ball,This attack move varies in power and type depending on the weather.,Normal,Special,50,100%,10,160 Power,0,0
312,Aromatherapy,The user releases a soothing scent that heals all status conditions affecting the user’s party.,Grass,Status,0,—,5,Restores user's HP 100%,0,0
313,Fake Tears,"The user feigns crying to fluster the target, harshly lowering its Sp. Def stat.",Dark,Status,0,100%,20,Special Attack ↑,0,0
314,Air Cutter,The user launches razor-like wind to slash the opposing Pokémon. Critical hits land more easily.,Flying,Special,60,95%,25,120 Power,0,1
315,Overheat,The user attacks the target at full power. The attack’s recoil harshly lowers the user’s Sp. Atk stat.,Fire,Special,130,90%,5,195 Power,0,0
316,Odor Sleuth,Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit.,Normal,Status,0,100%,40,Attack ↑,0,0
317,Rock Tomb,Boulders are hurled at the target. This also lowers the target’s Speed stat by preventing its movement.,Rock,Physical,60,95%,15,120 Power,0,0
318,Silver Wind,The target is attacked with powdery scales blown by the wind. This may also raise all the user’s stats.,Bug,Special,60,100%,5,120 Power,0,0
319,Metal Sound,A horrible sound like scraping metal harshly lowers the target’s Sp. Def stat.,Steel,Status,0,85%,40,Special Attack ↑,0,0
320,Grass Whistle,The user plays a pleasant melody that lulls the target into a deep sleep.,Grass,Status,0,55%,15,Speed ↑,0,0
321,Tickle,"The user tickles the target into laughing, reducing its Attack and Defense stats.",Normal,Status,0,100%,20,Defense ↑,0,0
322,Cosmic Power,The user absorbs a mystical power from space to raise its Defense and Sp. Def stats.,Psychic,Status,0,—,20,Special Defense ↑,0,0
323,Water Spout,"The user spouts water to damage opposing Pokémon. The lower the user’s HP, the lower the move’s power.",Water,Special,—,100%,5,200 Power,0,0
324,Signal Beam,The user attacks with a sinister beam of light. This may also confuse the target.,Bug,Special,75,100%,15,140 Power,0,0
325,Shadow Punch,The user throws a punch from the shadows. This attack never misses.,Ghost,Physical,60,—,20,120 Power,0,0
326,Extrasensory,"The user attacks with an odd, unseeable power. This may also make the target flinch.",Psychic,Special,80,100%,20,160 Power,0,0
327,Sky Uppercut,The user attacks the target with an uppercut thrown skyward with force.,Fighting,Physical,85,90%,15,160 Power,0,0
328,Sand Tomb,The user traps the target inside a harshly raging sandstorm for four to five turns.,Ground,Physical,35,85%,15,100 Power,0,0
329,Sheer Cold,The target faints instantly. It’s less likely to hit the target if it’s used by Pokémon other than Ice types.,Ice,Special,—,—,5,180 Power,0,0
330,Muddy Water,The user attacks by shooting muddy water at the opposing Pokémon. This may also lower their accuracy.,Water,Special,90,85%,10,175 Power,0,0
331,Bullet Seed,The user forcefully shoots seeds at the target two to five times in a row.,Grass,Physical,25,100%,30,140 Power,0,0
332,Aerial Ace,"The user confounds the target with speed, then slashes. This attack never misses.",Flying,Physical,60,—,20,120 Power,0,0
333,Icicle Spear,The user launches sharp icicles at the target two to five times in a row.,Ice,Physical,25,100%,30,140 Power,0,0
334,Iron Defense,"The user hardens its body’s surface like iron, sharply raising its Defense stat.",Steel,Status,0,—,15,Reset user's stats,0,0
335,Block,The user blocks the target’s way with arms spread wide to prevent escape.,Normal,Status,0,100%,5,Defense ↑,0,0
336,Howl,"The user howls loudly to raise its spirit, which raises its Attack stat.",Normal,Status,0,—,40,Attack ↑,0,0
337,Dragon Claw,The user slashes the target with huge sharp claws.,Dragon,Physical,80,100%,15,160 Power,0,0
338,Frenzy Plant,The user slams the target with an enormous tree. The user can’t move on the next turn.,Grass,Special,150,90%,5,200 Power,0,0
339,Bulk Up,"The user tenses its muscles to bulk up its body, raising both its Attack and Defense stats.",Fighting,Status,0,—,20,Attack ↑,0,0
340,Bounce,"The user bounces up high, then drops on the target on the second turn. This may also leave the target with paralysis.",Flying,Physical,85,85%,5,160 Power,0,0
341,Mud Shot,The user attacks by hurling a blob of mud at the target. This also lowers the target’s Speed stat.,Ground,Special,55,95%,15,100 Power,0,0
342,Poison Tail,The user hits the target with its tail. This may also poison the target. Critical hits land more easily.,Poison,Physical,50,100%,25,100 Power,0,1
343,Covet,"The user endearingly approaches the target, then steals the target’s held item.",Normal,Physical,60,100%,25,120 Power,0,0
344,Volt Tackle,The user electrifies itself and charges the target. This also damages the user quite a lot. This attack may leave the target with paralysis.,Electric,Physical,120,100%,15,190 Power,0,0
345,Magical Leaf,The user scatters curious leaves that chase the target. This attack never misses.,Grass,Special,60,—,20,120 Power,0,0
346,Water Sport,The user soaks the battlefield with water. This weakens Fire-type moves for five turns.,Water,Status,0,100%,15,Special Defense ↑,0,0
347,Calm Mind,The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.,Psychic,Status,0,—,20,Reset user's stats,0,0
348,Leaf Blade,The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily.,Grass,Physical,90,100%,15,175 Power,0,1
349,Dragon Dance,"The user vigorously performs a mystic, powerful dance that raises its Attack and Speed stats.",Dragon,Status,0,—,20,Reset user's stats,0,0
350,Rock Blast,The user hurls hard rocks at the target. Two to five rocks are launched in a row.,Rock,Physical,25,90%,10,140 Power,0,0
351,Shock Wave,The user strikes the target with a quick jolt of electricity. This attack never misses.,Electric,Special,60,—,20,120 Power,0,0
352,Water Pulse,The user attacks the target with a pulsing blast of water. This may also confuse the target.,Water,Special,60,100%,20,120 Power,0,0
353,Doom Desire,"Two turns after this move is used, a concentrated bundle of light blasts the target.",Steel,Special,140,100%,5,200 Power,0,0
354,Psycho Boost,The user attacks the target at full power. The attack’s recoil harshly lowers the user’s Sp. Atk stat.,Psychic,Special,140,90%,5,200 Power,0,0
355,Roost,The user lands and rests its body. It restores the user’s HP by up to half of its max HP.,Flying,Status,0,—,10,Reset user's stats,0,0
356,Gravity,Enables Flying-type Pokémon or Pokémon with the Levitate Ability to be hit by Ground-type moves. Flying moves can’t be used.,Psychic,Status,0,—,5,Special Attack ↑,0,0
357,Miracle Eye,Enables a Dark-type target to be hit by Psychic-type attacks. This also enables an evasive target to be hit.,Psychic,Status,0,—,40,Special Attack ↑,0,0
358,Wake-Up Slap,"This attack inflicts big damage on a sleeping target. This also wakes the target up, however.",Fighting,Physical,70,100%,10,140 Power,0,0
359,Hammer Arm,"The user swings and hits with its strong, heavy fist. It lowers the user’s Speed, however.",Fighting,Physical,100,90%,10,180 Power,0,0
360,Gyro Ball,"The user tackles the target with a high-speed spin. The slower the user compared to the target, the greater the move’s power.",Steel,Physical,—,100%,5,160 Power,0,0
361,Healing Wish,"The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured.",Psychic,Status,0,—,10,No additional effect,0,0
362,Brine,"If the target’s HP is half or less, this attack will hit with double the power.",Water,Special,65,100%,10,120 Power,0,0
363,Natural Gift,The user draws power to attack by using its held Berry. The Berry determines the move’s type and power.,Normal,Physical,—,100%,15,160 Power,0,0
364,Feint,This attack hits a target using a move such as Protect or Detect. This also lifts the effects of those moves.,Normal,Physical,30,100%,10,100 Power,2,0
365,Pluck,"The user pecks the target. If the target is holding a Berry, the user eats it and gains its effect.",Flying,Physical,60,100%,20,120 Power,0,0
366,Tailwind,The user whips up a turbulent whirlwind that ups the Speed stat of the user and its allies for four turns.,Flying,Status,0,—,15,Boosts critical-hit ratio,0,0
367,Acupressure,"The user applies pressure to stress points, sharply boosting one of its or its allies’ stats.",Normal,Status,0,—,30,Boosts critical-hit ratio,0,0
368,Metal Burst,The user retaliates with much greater force against the opponent that last inflicted damage on it.,Steel,Physical,—,100%,10,100 Power,0,0
369,U-turn,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",Bug,Physical,70,100%,20,140 Power,0,0
370,Close Combat,The user fights the target up close without guarding itself. This also lowers the user’s Defense and Sp. Def stats.,Fighting,Physical,120,100%,5,190 Power,0,0
371,Payback,"The user stores power, then attacks. If the user moves after the target, this attack’s power will be doubled.",Dark,Physical,50,100%,10,100 Power,0,0
372,Assurance,"If the target has already taken some damage in the same turn, this attack’s power is doubled.",Dark,Physical,60,100%,10,120 Power,0,0
373,Embargo,This move prevents the target from using its held item for five turns. Its Trainer is also prevented from using items on it.,Dark,Status,0,100%,15,Special Attack ↑,0,0
374,Fling,The user flings its held item at the target to attack. This move’s power and effects depend on the item.,Dark,Physical,—,100%,10,100 Power,0,0
375,Psycho Shift,"Using its psychic power of suggestion, the user transfers its status conditions to the target.",Psychic,Status,0,100%,10,Special Attack ↑↑,0,0
376,Trump Card,"The fewer PP this move has, the greater its power.",Normal,Special,—,—,5,160 Power,0,0
377,Heal Block,"For five turns, the user prevents the opposing team from using any moves, Abilities, or held items that recover HP.",Psychic,Status,0,100%,15,Special Attack ↑↑,0,0
378,Wring Out,"The user powerfully wrings the target. The more HP the target has, the greater the move’s power.",Normal,Special,—,100%,5,190 Power,0,0
379,Power Trick,The user employs its psychic power to switch its Attack stat with its Defense stat.,Psychic,Status,0,—,10,Attack ↑,0,0
380,Gastro Acid,The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target’s Ability.,Poison,Status,0,100%,10,Speed ↑,0,0
381,Lucky Chant,"The user chants an incantation toward the sky, preventing opposing Pokémon from landing critical hits for five turns.",Normal,Status,0,—,30,Evasiveness ↑,0,0
382,Me First,The user cuts ahead of the target to copy and use the target’s intended move with greater power. This move fails if it isn’t used first.,Normal,Status,0,—,20,Speed ↑↑,0,0
383,Copycat,The user mimics the move used immediately before it. The move fails if no other move has been used yet.,Normal,Status,0,—,20,Accuracy ↑,0,0
384,Power Swap,The user employs its psychic power to switch changes to its Attack and Sp. Atk stats with the target.,Psychic,Status,0,—,10,Speed ↑,0,0
385,Guard Swap,The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.,Psychic,Status,0,—,10,Speed ↑,0,0
386,Punishment,"The more the target has powered up with stat changes, the greater the move’s power.",Dark,Physical,—,100%,5,160 Power,0,0
387,Last Resort,This move can be used only after the user has used all the other moves it knows in the battle.,Normal,Physical,140,100%,5,200 Power,0,0
388,Worry Seed,A seed that causes worry is planted on the target. It prevents sleep by making the target’s Ability Insomnia.,Grass,Status,0,100%,10,Speed ↑,0,0
389,Sucker Punch,This move enables the user to attack first. This move fails if the target is not readying an attack.,Dark,Physical,70,100%,5,140 Power,1,0
390,Toxic Spikes,The user lays a trap of poison spikes at the feet of the opposing team. The spikes will poison opposing Pokémon that switch into battle.,Poison,Status,0,—,20,Defense ↑,0,0
391,Heart Swap,The user employs its psychic power to switch stat changes with the target.,Psychic,Status,0,—,10,Boosts critical-hit ratio,0,0
392,Aqua Ring,The user envelops itself in a veil made of water. It regains some HP every turn.,Water,Status,0,—,20,Defense ↑,0,0
393,Magnet Rise,The user levitates using electrically generated magnetism for five turns.,Electric,Status,0,—,10,Evasiveness ↑,0,0
394,Flare Blitz,The user cloaks itself in fire and charges the target. This also damages the user quite a lot. This attack may leave the target with a burn.,Fire,Physical,120,100%,15,190 Power,0,0
395,Force Palm,The target is attacked with a shock wave. This may also leave the target with paralysis.,Fighting,Physical,60,100%,10,120 Power,0,0
396,Aura Sphere,The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.,Fighting,Special,80,—,20,160 Power,0,0
397,Rock Polish,The user polishes its body to reduce drag. This can sharply raise the Speed stat.,Rock,Status,0,—,20,Reset user's stats,0,0
398,Poison Jab,The target is stabbed with a tentacle or arm steeped in poison. This may also poison the target.,Poison,Physical,80,100%,20,160 Power,0,0
399,Dark Pulse,The user releases a horrible aura imbued with dark thoughts. This may also make the target flinch.,Dark,Special,80,100%,15,160 Power,0,0
400,Night Slash,The user slashes the target the instant an opportunity arises. Critical hits land more easily.,Dark,Physical,70,100%,15,140 Power,0,1
401,Aqua Tail,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,Water,Physical,90,90%,10,175 Power,0,0
402,Seed Bomb,The user slams a barrage of hard-shelled seeds down on the target from above.,Grass,Physical,80,100%,15,160 Power,0,0
403,Air Slash,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,Flying,Special,75,95%,15,140 Power,0,0
404,X-Scissor,The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.,Bug,Physical,80,100%,15,160 Power,0,0
405,Bug Buzz,The user generates a damaging sound wave by vibration. This may also lower the target’s Sp. Def stat.,Bug,Special,90,100%,10,175 Power,0,0
406,Dragon Pulse,The target is attacked with a shock wave generated by the user’s gaping mouth.,Dragon,Special,85,100%,10,160 Power,0,0
407,Dragon Rush,The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.,Dragon,Physical,100,75%,10,180 Power,0,0
408,Power Gem,The user attacks with a ray of light that sparkles as if it were made of gemstones.,Rock,Special,80,100%,20,160 Power,0,0
409,Drain Punch,An energy-draining punch. The user’s HP is restored by half the damage taken by the target.,Fighting,Physical,75,100%,10,140 Power,0,0
410,Vacuum Wave,The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.,Fighting,Special,40,100%,30,100 Power,1,0
411,Focus Blast,The user heightens its mental focus and unleashes its power. This may also lower the target’s Sp. Def stat.,Fighting,Special,120,70%,5,190 Power,0,0
412,Energy Ball,The user draws power from nature and fires it at the target. This may also lower the target’s Sp. Def stat.,Grass,Special,90,100%,10,175 Power,0,0
413,Brave Bird,The user tucks in its wings and charges from a low altitude. This also damages the user quite a lot.,Flying,Physical,120,100%,15,190 Power,0,0
414,Earth Power,The user makes the ground under the target erupt with power. This may also lower the target’s Sp. Def stat.,Ground,Special,90,100%,10,175 Power,0,0
415,Switcheroo,The user trades held items with the target faster than the eye can follow.,Dark,Status,0,100%,10,Speed ↑↑,0,0
416,Giga Impact,The user charges at the target using every bit of its power. The user can’t move on the next turn.,Normal,Physical,150,90%,5,200 Power,0,0
417,Nasty Plot,The user stimulates its brain by thinking bad thoughts. This sharply raises the user’s Sp. Atk stat.,Dark,Status,0,—,20,Reset user's stats,0,0
418,Bullet Punch,The user strikes the target with tough punches as fast as bullets. This move always goes first.,Steel,Physical,40,100%,30,100 Power,1,0
419,Avalanche,The power of this attack move is doubled if the user has been hurt by the target in the same turn.,Ice,Physical,60,100%,10,120 Power,-4,0
420,Ice Shard,The user flash-freezes chunks of ice and hurls them at the target. This move always goes first.,Ice,Physical,40,100%,30,100 Power,1,0
421,Shadow Claw,The user slashes with a sharp claw made from shadows. Critical hits land more easily.,Ghost,Physical,70,100%,15,140 Power,0,1
422,Thunder Fang,The user bites with electrified fangs. This may also make the target flinch or leave it with paralysis.,Electric,Physical,65,95%,15,120 Power,0,0
423,Ice Fang,The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen.,Ice,Physical,65,95%,15,120 Power,0,0
424,Fire Fang,The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn.,Fire,Physical,65,95%,15,120 Power,0,0
425,Shadow Sneak,The user extends its shadow and attacks the target from behind. This move always goes first.,Ghost,Physical,40,100%,30,100 Power,1,0
426,Mud Bomb,The user launches a hard-packed mud ball to attack. This may also lower the target’s accuracy.,Ground,Special,65,85%,10,120 Power,0,0
427,Psycho Cut,The user tears at the target with blades formed by psychic power. Critical hits land more easily.,Psychic,Physical,70,100%,20,140 Power,0,1
428,Zen Headbutt,The user focuses its willpower to its head and attacks the target. This may also make the target flinch.,Psychic,Physical,80,90%,15,160 Power,0,0
429,Mirror Shot,The user lets loose a flash of energy at the target from its polished body. This may also lower the target’s accuracy.,Steel,Special,65,85%,10,120 Power,0,0
430,Flash Cannon,The user gathers all its light energy and releases it all at once. This may also lower the target’s Sp. Def stat.,Steel,Special,80,100%,10,160 Power,0,0
431,Rock Climb,The user attacks the target by smashing into it with incredible force. This may also confuse the target.,Normal,Physical,90,85%,20,175 Power,0,0
432,Defog,A strong wind blows away the target’s barriers such as Reflect or Light Screen. This also lowers the target’s evasiveness.,Flying,Status,0,—,15,Accuracy ↑,0,0
433,Trick Room,The user creates a bizarre area in which slower Pokémon get to move first for five turns.,Psychic,Status,0,—,5,Accuracy ↑,-7,0
434,Draco Meteor,Comets are summoned down from the sky onto the target. The attack’s recoil harshly lowers the user’s Sp. Atk stat.,Dragon,Special,130,90%,5,195 Power,0,0
435,Discharge,The user strikes everything around it by letting loose a flare of electricity. This may also cause paralysis.,Electric,Special,80,100%,15,160 Power,0,0
436,Lava Plume,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.,Fire,Special,80,100%,15,160 Power,0,0
437,Leaf Storm,The user whips up a storm of leaves around the target. The attack’s recoil harshly lowers the user’s Sp. Atk stat.,Grass,Special,130,90%,5,195 Power,0,0
438,Power Whip,"The user violently whirls its vines, tentacles, or the like to harshly lash the target.",Grass,Physical,120,85%,10,190 Power,0,0
439,Rock Wrecker,The user launches a huge boulder at the target to attack. The user can’t move on the next turn.,Rock,Physical,150,90%,5,200 Power,0,0
440,Cross Poison,A slashing attack with a poisonous blade that may also poison the target. Critical hits land more easily.,Poison,Physical,70,100%,20,140 Power,0,1
