id,item,description
302,Icicle Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Ice-type moves.
303,Fist Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Fighting-type moves.
304,Toxic Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Poison-type moves.
305,Earth Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Ground-type moves.
306,Sky Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Flying-type moves.
307,Mind Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Psychic-type moves.
308,Insect Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Bug-type moves.
309,Stone Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Rock-type moves.
310,Spooky Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Ghost-type moves.
311,Draco Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Dragon-type moves.
312,Dread Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Dark-type moves.
313,Iron Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Steel-type moves.
314,Odd Incense,An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Psychic-type moves.
315,Rock Incense,An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Rock-type moves.
316,Full Incense,An item to be held by a Pokémon. This exotic-smelling incense makes the holder bloated and slow moving.
317,Wave Incense,An item to be held by a Pokémon. This incense has a curious aroma that boosts the power of Water-type moves.
318,Rose Incense,An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Grass-type moves.
319,Luck Incense,An item to be held by a Pokémon. It doubles any prize money received if the holding Pokémon joins a battle.
320,Pure Incense,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the head of the party.
321,Protector,A protective item of some sort. It is extremely stiff and heavy. It’s loved by a certain Pokémon.
322,Electirizer,A box packed with a tremendous amount of electric energy. It’s loved by a certain Pokémon.
323,Magmarizer,A box packed with a tremendous amount of magma energy. It’s loved by a certain Pokémon.
324,Dubious Disc,A transparent device overflowing with dubious data. Its producer is unknown.
325,Reaper Cloth,A cloth imbued with horrifyingly strong spiritual energy. It’s loved by a certain Pokémon.
326,Razor Claw,An item to be held by a Pokémon. This sharply hooked claw increases the holder’s critical-hit ratio.
327,Razor Fang,"An item to be held by a Pokémon. When the holder successfully inflicts damage, the target may also flinch."
328,TM01,"The user is roused, and its Attack and Sp. Atk stats increase."
329,TM02,The user slashes the target with huge sharp claws.
330,TM03,The user materializes an odd psychic wave to attack the target. This attack does physical damage.
331,TM04,The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.
332,TM05,"The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
333,TM06,A move that leaves the target badly poisoned. Its poison damage worsens every turn.
334,TM07,The user summons a hailstorm lasting five turns. It damages all Pokémon except the Ice type.
335,TM08,"The user tenses its muscles to bulk up its body, raising both its Attack and Defense stats."
336,TM09,The user drenches the target in a special poisonous liquid. This move’s power is doubled if the target is poisoned.
337,TM10,A unique attack that varies in type depending on the Pokémon using it.
338,TM11,"The user intensifies the sun for five turns, powering up Fire-type moves. This also weakens the power of Water-type moves."
339,TM12,The target is taunted into a rage that allows it to use only attack moves for three turns.
340,TM13,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.
341,TM14,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.
342,TM15,The target is attacked with a powerful beam. The user can’t move on the next turn.
343,TM16,A wondrous wall of light is put up to reduce damage from special attacks for five turns.
344,TM17,Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.
345,TM18,"The user summons a heavy rain that falls for five turns, powering up Water-type moves. It lowers the power of Fire-type moves."
346,TM19,The user lands and rests its body. It restores the user’s HP by up to half of its max HP.
347,TM20,The user creates a protective field that prevents status conditions for five turns.
348,TM21,This full-power attack grows more powerful the less the user likes its Trainer.
349,TM22,"In this two-turn attack, the user gathers light, then blasts a bundled beam on the next turn."
350,TM23,The user throws a stone or similar projectile to attack an opponent. A flying Pokémon will fall to the ground when it’s hit.
351,TM24,A strong electric blast crashes down on the target. This may also leave the target with paralysis.
352,TM25,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.
353,TM26,The user sets off an earthquake that strikes every Pokémon around it.
354,TM27,This full-power attack grows more powerful the more the user likes its Trainer.
355,TM28,The user drains the target’s blood. The user’s HP is restored by half the damage taken by the target.
356,TM29,The target is hit by a strong telekinetic force. This may also lower the target’s Sp. Def stat.
357,TM30,The user hurls a shadowy blob at the target. This may also lower the target’s Sp. Def stat.
358,TM31,"The user attacks with a swift chop. It can also break barriers, such as Light Screen and Reflect."
359,TM32,"By moving rapidly, the user makes illusory copies of itself to raise its evasiveness."
360,TM33,A wondrous wall of light is put up to reduce damage from physical attacks for five turns.
361,TM34,The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those hit.
362,TM35,The target is scorched with an intense blast of fire. This may also leave the target with a burn.
363,TM36,Unsanitary sludge is hurled at the target. This may also poison the target.
364,TM37,"A five-turn sandstorm is summoned to hurt all combatants except the Rock, Ground, and Steel types. Raises the Sp. Def of Rock types."
365,TM38,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.
366,TM39,Boulders are hurled at the target. This also lowers the target’s Speed stat by preventing its movement.
367,TM40,"The user confounds the target with speed, then slashes. This attack never misses."
368,TM41,"The user torments and enrages the target, making it incapable of using the same move twice in a row."
369,TM42,"This attack move doubles its power if the user is poisoned or burned, or if it has paralysis."
370,TM43,"Cloaking itself in flame, the user attacks. Then, building up more power, the user raises its Speed stat."
371,TM44,The user goes to sleep for two turns. This fully restores the user’s HP and heals any status conditions.
372,TM45,"If it is the opposite gender of the user, the target becomes infatuated and less likely to attack."
373,TM46,The user attacks and steals the target’s held item simultaneously. The user can’t steal anything if it already holds an item.
374,TM47,"The user makes a swift attack on the target’s legs, which lowers the target’s Speed stat."
375,TM48,The user attacks the target with a song. Others can join in the Round to increase the power of the attack.
376,TM49,"The user attacks the target with an echoing voice. If this move is used every turn, its power is increased."
377,TM50,The user attacks the target at full power. The attack’s recoil harshly lowers the user’s Sp. Atk stat.
378,TM51,The target is hit with wings of steel. This may also raise the user’s Defense stat.
379,TM52,The user heightens its mental focus and unleashes its power. This may also lower the target’s Sp. Def.
380,TM53,The user draws power from nature and fires it at the target. This may also lower the target’s Sp. Def.
381,TM54,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.
382,TM55,The user shoots boiling hot water at its target. This may also leave the target with a burn.
383,TM56,The user flings its held item at the target to attack. This move’s power and effects depend on the item.
384,TM57,The user attacks with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.
385,TM58,"The user takes the target into the sky, then drops it during the next turn. The target cannot attack while in the sky."
386,TM59,The user swings its body around violently to inflict damage on everything in its vicinity.
387,TM60,The user suppresses the target and makes its move go last.
388,TM61,"The user shoots a sinister, bluish-white flame at the target to inflict a burn."
389,TM62,"The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage."
390,TM63,This move prevents the target from using its held item for five turns. Its Trainer is also prevented from using items on it.
391,TM64,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.
392,TM65,The user slashes with a sharp claw made from shadows. Critical hits land more easily.
393,TM66,"The user stores power, then attacks. If the user moves after the target, this attack’s power will be doubled."
394,TM67,The user stabs the target with a sharp horn. The attack never misses.
395,TM68,The user charges at the target using every bit of its power. The user can’t move on the next turn.
396,TM69,The user polishes its body to reduce drag. This can sharply raise the Speed stat.
397,TM70,This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.
398,TM71,The user stabs the target from below with sharpened stones. Critical hits land more easily.
399,TM72,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
400,TM73,The user launches a weak jolt of electricity that paralyzes the target.
401,TM74,"The user tackles the target with a high-speed spin. The slower the user compared to the target, the greater the move’s power."
402,TM75,A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.
403,TM76,The user soars and then strikes its target on the next turn.
404,TM77,The user hypnotizes itself into copying any stat change made by the target.
405,TM78,The user strikes everything around it by stomping down on the ground. This lowers the Speed stat of those hit.
406,TM79,The user blows its cold breath on the target. This attack always results in a critical hit.
407,TM80,Large boulders are hurled at the opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.
408,TM81,The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.
409,TM82,"The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
410,TM83,The target is infested and attacked for four to five turns. The target can’t flee during this time.
411,TM84,The target is stabbed with a tentacle or arm steeped in poison. This may also poison the target.
412,TM85,The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal its own HP.
413,TM86,"The user snares the target with grass and trips it. The heavier the target, the greater the move’s power."
414,TM87,"The user enrages and confuses the target. However, this also sharply raises the target’s Attack stat."
415,TM88,"While it is asleep, the user randomly uses one of the moves it knows."
416,TM89,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
417,TM90,The user makes a copy of itself using some of its HP. The copy serves as the user’s decoy.
418,TM91,The user gathers all its light energy and releases it all at once. This may also lower the target’s Sp. Def stat.
419,TM92,The user creates a bizarre area in which slower Pokémon get to move first for five turns.
420,HM01,The target is cut with a scythe or claw. This can also be used to cut down thin trees.
421,HM02,The user soars and then strikes its target on the next turn. This can also be used to fly to any familiar town.
422,HM03,The user attacks everything around it by swamping its surroundings with a giant wave.
423,HM04,The target is slugged with a punch thrown at maximum power. This can also be used to move heavy boulders.
424,HM05,The user charges at the target and may make it flinch. This can also be used to climb a waterfall.
425,HM06,The user attacks with a punch. This may also lower the target’s Defense stat. This move can also shatter rocks in the field.
426,???,- - -
427,???,- - -
428,Explorer Kit,A bag filled with convenient tools for exploring. It provides access to the Underground in the Sinnoh region.
429,Loot Sack,"A sturdy, spacious bag that is used to carry any treasures or loot obtained in the coal mine."
430,Rule Book,"It lists the rules for holding battles. For Link Battles, you may choose which set of rules you wish to use."
431,Poké Radar,A tool that can search out Pokémon that are hiding in the tall grass. Its battery is recharged as you walk.
432,Point Card,A card that lists how many Battle Points you have earned.
433,Journal,A notebook that keeps a day-to-day record of your adventure so far.
434,Seal Case,A case for storing Seals that can be applied to the exteriors of Poké Balls.
435,Fashion Case,A lovely case to store colorful Props for your Pokémon to wear in a musical.
436,Seal Bag,A tiny bag that can hold 10 Seals for decorating Poké Balls.
437,Pal Pad,A convenient notepad that is used to register your Friends and friend codes and keep a record of your gameplay.
438,Works Key,A large key for operating the doors of the Valley Windworks in the canyon. It was held by a Team Galactic Grunt.
439,Old Charm,An ancient good-luck charm made of Pokémon bones to be taken to the elder of Celestic Town.
440,Galactic Key,"A card key for disengaging the security systems in the Galactic HQ. Losing it can result in punishment, apparently."
441,Red Chain,A mythical chain that is said to link the Legendary Pokémon that created the Sinnoh region.
442,Town Map,A very convenient map that can be viewed anytime. It even shows you your present location in the region.
443,Vs. Seeker,A device that indicates Trainers who want to battle. Its battery charges while you walk.
444,Coin Case,"A case for holding coins obtained at the Game Corner. It can hold up to 50,000 coins."
445,Old Rod,An old and beat-up fishing rod. Use it at any body of water to fish for wild aquatic Pokémon.
446,Good Rod,"A new, good-quality fishing rod. Use it at any body of water to fish for wild aquatic Pokémon."
447,Super Rod,"An awesome, high-tech fishing rod. Use it at any body of water to fish for wild aquatic Pokémon."
448,Sprayduck,"A watering can shaped like a Psyduck. It helps promote the healthy growth of any Berries planted in good, soft soil."
449,Poffin Case,A case for storing Poffins cooked from Berries.
450,Bike,A folding Bike that enables a rider to get around much faster than with Running Shoes.
451,Suite Key,"A key to one of the suites at a certain luxury hotel by a lake. For some odd reason, it often disappears."
452,Oak’s Letter,A letter from Professor Oak. Written in it is a request for you to go to Route 224.
453,Lunar Wing,A feather that glows like the moon. It’s said to possess the power to dispel nightmares.
454,Member Card,"A card needed for entering the inn in Canalave City. Oddly, the last date marked on it was 50 years ago."
455,Azure Flute,A flute that puts out echoing sounds that do not seem to be of this world. No one knows who made it.
456,S.S. Ticket,A ticket required for sailing on the ferry S.S. Aqua. It has a drawing of a ship on its front.
457,Contest Pass,A pass required for entering Pokémon Contests. It has a drawing of an award ribbon on its front.
458,Magma Stone,"A stone formed by boulders melting in intensely hot magma, then hardening. Magma remains sealed inside it."
459,Parcel,A parcel entrusted into your care. You’re supposed to deliver it to your childhood friend who left Twinleaf Town.
460,Coupon 1,A coupon to be exchanged for a Pokémon Watch— Pokétch for short. Three coupons are needed.
461,Coupon 2,A coupon to be exchanged for a Pokémon Watch— Pokétch for short. Three coupons are needed.
462,Coupon 3,A coupon to be exchanged for a Pokémon Watch— Pokétch for short. Three coupons are needed.
463,Storage Key,The key to Team Galactic’s sinister warehouse located at the edge of Veilstone City.
464,Secret Potion,A fantastic medicine dispensed by the pharmacy in Cianwood City. It fully heals a Pokémon of any ailment.
465,Vs. Recorder,An amazing device that can record a battle between friends or the battles at certain special battle facilities.
466,Gracidea,A flower sometimes bundled in bouquets to convey gratitude on special occasions like birthdays.
467,Secret Key,A high-tech key that has to be used at a specific location. It emits a special electronic signal to open a door.
468,Apricorn Box,A handy box where you can store up to 99 of each kind of Apricorn.
469,Unown Report,A report of all the discovered kinds of Unown.
470,Berry Pots,Handy containers for cultivating Berries wherever you go.
471,Dowsing Machine,This high-tech machine shows the location of invisible items. It’s attached to the head when in use.
472,Blue Card,A card to save points for the Buena’s Password show.
473,Slowpoke Tail,A very tasty tail of something. It can be sold at a high price to shops.
474,Clear Bell,A very old-fashioned bell that makes a gentle ringing sound.
475,Card Key,A card key that opens a shutter in the Radio Tower.
476,Basement Key,A key that opens a door in the Goldenrod Tunnel.
477,Squirt Bottle,A bottle used for watering plants in the Berry Pots.
478,Red Scale,A scale from a red Gyarados. It glows red like a flame.
479,Lost Item,The Mime Jr. doll that was lost by the Copycat.
480,Pass,A pass required for riding the Magnet Train. It allows you to ride whenever and however much you’d like.
481,Machine Part,An important part of a machine that was stolen from the Power Plant.
482,Silver Wing,"A strange, silvery feather that sparkles."
483,Rainbow Wing,A mystical rainbow feather that sparkles.
484,Mystery Egg,A mysterious Egg obtained from Mr. Pokémon. What is in the Egg is unknown.
485,Red Apricorn,A red Apricorn. It assails your nostrils.
486,Blue Apricorn,A blue Apricorn. It smells a bit like grass.
487,Yellow Apricorn,A yellow Apricorn. It has an invigorating scent.
488,Green Apricorn,"A green Apricorn. It has a mysterious, aromatic scent."
489,Pink Apricorn,"A pink Apricorn. It has a nice, sweet scent."
490,White Apricorn,A white Apricorn. It doesn’t smell like anything.
491,Black Apricorn,A black Apricorn. It has a scent beyond one’s experience.
492,Fast Ball,A Poké Ball that makes it easier to catch Pokémon that are usually very quick to run away.
493,Level Ball,A Poké Ball that makes it easier to catch Pokémon that are at a lower level than your own Pokémon.
494,Lure Ball,A Poké Ball that is good for catching Pokémon that you reel in with a Rod while out fishing.
495,Heavy Ball,A Poké Ball that is better than usual at catching very heavy Pokémon.
496,Love Ball,A Poké Ball that works best when catching a Pokémon that is of the opposite gender of your Pokémon.
497,Friend Ball,A strange Poké Ball that will make the wild Pokémon caught with it more friendly toward you immediately.
498,Moon Ball,A Poké Ball that will make it easier to catch Pokémon that can evolve using a Moon Stone.
499,Sport Ball,A special Poké Ball that is used during the Bug-Catching Contest.
500,Park Ball,A special Poké Ball for the Pal Park.
501,Photo Album,A nice photo album for storing all the photos taken along your adventure.
502,GB Sounds,A music player that allows you to listen to nostalgic songs. It’s operated with the flip of a single switch.
503,Tidal Bell,A very old-fashioned bell that makes a gentle ringing sound.
504,Rage Candy Bar,Mahogany Town’s famous candy. It can be used once to heal all the status conditions of a Pokémon.
505,Data Card 01,It holds Pokéathlon records. It is a card that shows how many victories you have had in the Pokéathlon.
506,Data Card 02,It holds Pokéathlon records. It is a card that shows how many losses you have had in the Pokéathlon.
507,Data Card 03,It holds Pokéathlon records. It is a card that shows how many times your Pokémon dashed in the Pokéathlon.
508,Data Card 04,It holds Pokéathlon records. It is a card that shows how many times your Pokémon jumped in the Pokéathlon.
509,Data Card 05,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Hurdle Dash.
510,Data Card 06,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Relay Run.
511,Data Card 07,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Pennant Capture.
512,Data Card 08,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Block Smash.
513,Data Card 09,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Disc Catch.
514,Data Card 10,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Snow Throw.
515,Data Card 11,It holds Pokéathlon records. It is a card that shows how many points your Pokémon scored in the Pokéathlon.
516,Data Card 12,It holds Pokéathlon records. It is a card that shows how many times your Pokémon failed in the Pokéathlon.
517,Data Card 13,It holds Pokéathlon records. It is a card that shows how many times your Pokémon impeded themselves.
518,Data Card 14,It holds Pokéathlon records. It is a card that shows how many times your Pokémon tackled in the Pokéathlon.
519,Data Card 15,It holds Pokéathlon records. It is a card that shows how many times your Pokémon fell down in the Pokéathlon.
520,Data Card 16,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Ring Drop.
521,Data Card 17,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Lamp Jump.
522,Data Card 18,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Circle Push.
523,Data Card 19,It holds Pokéathlon records. It is a card that shows how many Link Pokéathlon wins you have had.
524,Data Card 20,It holds Pokéathlon records. It is a card that shows how many Link Pokéathlon losses you have had.
525,Data Card 21,It holds Pokéathlon records. It is a card that shows how many times you have won a Pokéathlon event.
526,Data Card 22,It holds Pokéathlon records. It is a card that shows how many times you have lost a Pokéathlon event.
527,Data Card 23,It holds Pokéathlon records. It is a card that shows how many times you switched Pokémon in the Pokéathlon.
528,Data Card 24,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Goal Roll.
529,Data Card 25,It holds Pokéathlon records. It is a card that shows how many times your Pokémon won individual prizes.
530,Data Card 26,It holds Pokéathlon records. It is a card that shows how many times you instructed your Pokémon.
531,Data Card 27,It holds Pokéathlon records. It is a card that shows how much time you spent participating in the Pokéathlon.
532,Jade Orb,A shiny green orb that is said to have a legend tied to it. It’s known to have a deep connection with the Hoenn region.
533,Lock Capsule,A sturdy Capsule that can only be opened with a special key.
534,Red Orb,A shiny red orb that is said to have a legend tied to it. It’s known to have a deep connection with the Hoenn region.
535,Blue Orb,A shiny blue orb that is said to have a legend tied to it. It’s known to have a deep connection with the Hoenn region.
536,Enigma Stone,A crystal ball that was excavated from the ground. It’s a very beautiful stone that is covered with bits of rock and earth.
537,Prism Scale,A mysterious scale that causes a certain Pokémon to evolve. It shines in rainbow colors.
538,Eviolite,"A mysterious Evolutionary lump. When held by a Pokémon that can still evolve, it raises both Defense and Sp. Def."
539,Float Stone,An item to be held by a Pokémon. This very light stone reduces the weight of a Pokémon when held.
540,Rocky Helmet,"An item to be held by a Pokémon. If the holder is hit, the attacker will also be damaged upon contact."
541,Air Balloon,"An item to be held by a Pokémon. The holder will float in the air until hit. Once hit, this item will burst."
542,Red Card,"An item to be held by a Pokémon. When the holder is hit by an attack, the attacker is removed from battle."
543,Ring Target,An item to be held by a Pokémon. Moves that normally have no effect will land on a Pokémon holding it.
544,Binding Band,An item to be held by a Pokémon. A band that increases the power of binding moves used by the holder.
545,Absorb Bulb,An item to be held by a Pokémon. It boosts Sp. Atk if hit with a Water-type attack. It can only be used once.
546,Cell Battery,An item to be held by a Pokémon. It boosts Attack if hit with an Electric-type attack. It can only be used once.
547,Eject Button,"An item to be held by a Pokémon. If the holder is hit by an attack, it will be switched out of battle."
548,Fire Gem,"A gem with an essence of fire. When held, it strengthens the power of a Fire-type move one time."
549,Water Gem,"A gem with an essence of water. When held, it strengthens the power of a Water-type move one time."
550,Electric Gem,"A gem with an essence of electricity. When held, it strengthens the power of an Electric-type move one time."
551,Grass Gem,"A gem with an essence of nature. When held, it strengthens the power of a Grass-type move one time."
552,Ice Gem,"A gem with an essence of ice. When held, it strengthens the power of an Ice-type move one time."
553,Fighting Gem,"A gem with an essence of combat. When held, it strengthens the power of a Fighting-type move one time."
554,Poison Gem,"A gem with an essence of poison. When held, it strengthens the power of a Poison-type move one time."
555,Ground Gem,"A gem with an essence of land. When held, it strengthens the power of a Ground-type move one time."
556,Flying Gem,"A gem with an essence of air. When held, it strengthens the power of a Flying-type move one time."
557,Psychic Gem,"A gem with an essence of the mind. When held, it strengthens the power of a Psychic-type move one time."
558,Bug Gem,"A gem with an insect-like essence. When held, it strengthens the power of a Bug-type move one time."
559,Rock Gem,"A gem with an essence of rock. When held, it strengthens the power of a Rock-type move one time."
560,Ghost Gem,"A gem with a spectral essence. When held, it strengthens the power of a Ghost-type move one time."
561,Dragon Gem,"A gem with a draconic essence. When held, it strengthens the power of a Dragon-type move one time."
562,Dark Gem,"A gem with an essence of darkness. When held, it strengthens the power of a Dark-type move one time."
563,Steel Gem,"A gem with an essence of steel. When held, it strengthens the power of a Steel-type move one time."
564,Normal Gem,"A gem with an ordinary essence. When held, it strengthens the power of a Normal-type move one time."
565,Health Wing,An item for use on a Pokémon. It slightly increases the base HP of a single Pokémon.
566,Muscle Wing,An item for use on a Pokémon. It slightly increases the base Attack stat of a single Pokémon.
567,Resist Wing,An item for use on a Pokémon. It slightly increases the base Defense stat of a single Pokémon.
568,Genius Wing,An item for use on a Pokémon. It slightly increases the base Sp. Atk stat of a single Pokémon.
569,Clever Wing,An item for use on a Pokémon. It slightly increases the base Sp. Def stat of a single Pokémon.
570,Swift Wing,An item for use on a Pokémon. It slightly increases the base Speed stat of a single Pokémon.
571,Pretty Wing,"Though this feather is beautiful, it’s just a regular feather and has no effect on Pokémon."
572,Cover Fossil,A fossil from a prehistoric Pokémon that once lived in the sea. It appears as though it could be part of its back.
573,Plume Fossil,A fossil from a prehistoric Pokémon that once lived in the sky. It looks as if it could come from part of its wing.
574,Liberty Pass,A special pass to go to Liberty Garden. Board the ship in Castelia City.
575,Pass Orb,"A mysterious orb containing the power of the Unova region, to be used when generating Pass Power."
576,Dream Ball,A special Poké Ball that appears in your Bag out of nowhere in the Entree Forest. It can catch any Pokémon.
577,Poké Toy,A toy that attracts the attention of a Pokémon. It guarantees escape from any battle with wild Pokémon.
578,Prop Case,A lovely case to store colorful Props for your Pokémon to wear in a musical.
579,Dragon Skull,A skull of a Pokémon that was said to have braved the angry waters to fly around the world.
580,Balm Mushroom,A rare mushroom that gives off a nice fragrance. It can be sold at a high price to shops.
581,Big Nugget,A big nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.
582,Pearl String,Very large pearls that sparkle in a pretty silver color. They can be sold at a high price to shops.
583,Comet Shard,A shard that fell to the ground when a comet approached. It can be sold at a high price to shops.
584,Relic Copper,"A copper coin used by an ancient civilization about 3,000 years ago."
585,Relic Silver,"A silver coin used by an ancient civilization about 3,000 years ago."
586,Relic Gold,"A gold coin used by an ancient civilization about 3,000 years ago."
587,Relic Vase,"A fragile vase made by an ancient civilization about 3,000 years ago."
588,Relic Band,"A heavy bracelet made by an ancient civilization about 3,000 years ago."
589,Relic Statue,"A stone figurine made by an ancient civilization about 3,000 years ago."
590,Relic Crown,"A heavy crown made by an ancient civilization about 3,000 years ago."
591,Casteliacone,"Castelia City’s specialty, soft-serve ice cream. It can be used once to heal all the status conditions of a Pokémon."
592,Dire Hit 2,It can be used many times to raise the critical-hit ratio of one Pokémon. It wears off if the Pokémon is withdrawn.
593,X Speed 2,It sharply raises the Speed stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
594,X Sp. Atk 2,It sharply raises the Sp. Atk stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
595,X Sp. Def 2,It sharply raises the Sp. Def stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
596,X Defense 2,It sharply raises the Defense stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
597,X Attack 2,It sharply raises the Attack stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
598,X Accuracy 2,It sharply raises the accuracy of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
599,X Speed 3,It drastically raises the Speed stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
600,X Sp. Atk 3,It drastically raises the Sp. Atk stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
601,X Sp. Def 3,It drastically raises the Sp. Def stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
602,X Defense 3,It drastically raises the Defense stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
603,X Attack 3,It drastically raises the Attack stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
604,X Accuracy 3,It drastically raises the accuracy of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
605,X Speed 6,It raises the Speed stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
606,X Sp. Atk 6,It raises the Sp. Atk stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
607,X Sp. Def 6,It raises the Sp. Def stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
608,X Defense 6,It raises the Defense stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
609,X Attack 6,It raises the Attack stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
610,X Accuracy 6,It raises the accuracy of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
611,Ability Urge,"When used, it activates the Ability of an ally Pokémon."
612,Item Drop,"When used, it causes an ally Pokémon to drop a held item."
613,Item Urge,"When used, it causes an ally Pokémon to use its held item."
614,Reset Urge,"When used, it restores any stat changes of an ally Pokémon."
615,Dire Hit 3,It can be used many times to greatly raise a Pokémon’s critical-hit ratio. It wears off if the Pokémon is withdrawn.
616,Light Stone,Reshiram’s body was destroyed and changed into this stone. It is said to be waiting for the emergence of a hero.
617,Dark Stone,Zekrom’s body was destroyed and changed into this stone. It is said to be waiting for the emergence of a hero.
618,TM93,The user shrouds itself in electricity and smashes into its target. This also damages the user a little.
619,TM94,The user attacks everything around it by swamping its surroundings with a giant wave.
620,TM95,"The user yells as if it’s ranting about something, which lowers the Sp. Atk stat of opposing Pokémon."
621,Xtransceiver,A high-tech transceiver with a camera function. It allows up to four-way calls.
622,???,A rare stone.
623,Gram 1,An important letter that Wingull delivers.
624,Gram 2,An important letter that Wingull delivers.
625,Gram 3,An important letter that Wingull delivers.
626,Xtransceiver,A high-tech transceiver with a camera function. It allows up to four-way calls.
627,Medal Box,A box-shaped machine that stores Medals and Medal information.
628,DNA Splicers,A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.
629,DNA Splicers,A splicer that separates Kyurem and a certain Pokémon when they have been fused.
630,Permit,A permit that is needed to enter the Nature Preserve. Not many know about it.
631,Oval Charm,An oval charm said to increase the chance of Pokémon Eggs being found at the Nursery.
632,Shiny Charm,A shiny charm said to increase the chance of finding a Shiny Pokémon in the wild.
633,Plasma Card,A card key needed to enter the password inside the Plasma Frigate.
634,Grubby Hanky,A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.
635,Colress Machine,A special device that wrings out the potential of Pokémon. It’s an imperfect prototype.
636,Dropped Item,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.
637,Dropped Item,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a girl.
638,Reveal Glass,A looking glass that reveals the truth. It’s a mysterious glass that returns a Pokémon to its original shape.
