ndex,species,forme,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26,move27,move28,move29,move30,move31,move32,move33,move34,move35,move36,move37,move38,move39,move40,move41,move42,move43,move44,move45,move46,move47,move48,move49,move50,move51,move52,move53,move54,move55,move56,move57,move58,move59,move60,move61,move62,move63,move64,move65,move66,move67,move68,move69,move70,move71,move72,move73,move74,move75,move76,move77,move78,move79,move80,move81,move82,move83,move84,move85,move86,move87,move88,move89,move90,move91,move92,move93,move94,move95,move96,move97,move98,move99,move100,move101,move102,move103,move104,move105,move106,move107,move108,move109,move110,move111,move112,move113,move114,move115,move116,move117,move118,move119,move120,move121,move122,move123,move124,move125,move126,move127,move128,move129,move130,move131,move132,move133,move134,move135,move136,move137,move138,move139,move140,move141,move142,move143,move144,move145,move146,move147,move148,move149,move150,move151,move152,move153,move154,move155,move156,move157,move158,move159,move160,move161,move162,move163,move164,move165,move166,move167,move168,move169,move170,move171,move172,move173,move174
474,Porygon-Z,Porygon-Z,Start - Trick Room,Start - Zap Cannon,Start - Magic Coat,Start - Conversion 2,Start - Tackle,Start - Conversion,Start - Nasty Plot,L7 - Psybeam,L12 - Agility,L18 - Recover,L23 - Magnet Rise,L29 - Signal Beam,L34 - Embargo,L40 - Discharge,L45 - Lock-On,L50 - Tri Attack,L56 - Magic Coat,L62 - Zap Cannon,L67 - Hyper Beam,TM03 - Psyshock,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM22 - Solar Beam,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM46 - Thief,TM48 - Round,TM57 - Charge Beam,TM63 - Embargo,TM68 - Giga Impact,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM92 - Trick Room,TM97 - Dark Pulse,TM100 - Confide,ORAS - Signal Beam,ORAS - Uproar,ORAS - Magic Coat,ORAS - Foul Play,ORAS - Gravity,ORAS - Magnet Rise,ORAS - Last Resort,ORAS - Electroweb,ORAS - Icy Wind,ORAS - Zen Headbutt,ORAS - Iron Tail,ORAS - Snore,ORAS - Pain Split,ORAS - Shock Wave,ORAS - Trick,ORAS - Recycle,Prev - Defense Curl,Prev - Recycle,Prev - Sharpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Gallade,Gallade,Start - Slash,Start - Stored Power,Start - Close Combat,Start - Leaf Blade,Start - Night Slash,Start - Leer,Start - Confusion,Start - Double Team,Start - Teleport,L4 - Confusion,L6 - Double Team,L9 - Teleport,L11 - Quick Guard,L14 - Fury Cutter,L17 - Aerial Ace,L19 - Heal Pulse,L23 - Wide Guard,L26 - Swords Dance,L31 - Psycho Cut,L35 - Helping Hand,L40 - Feint,L44 - False Swipe,L49 - Protect,L53 - Close Combat,L58 - Stored Power,TM01 - Work Up,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM24 - Thunderbolt,TM26 - Earthquake,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM31 - Brick Break,TM32 - Double Team,TM33 - Reflect,TM39 - Rock Tomb,TM40 - Aerial Ace,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM47 - Low Sweep,TM48 - Round,TM49 - Echoed Voice,TM52 - Focus Blast,TM54 - False Swipe,TM56 - Fling,TM57 - Charge Beam,TM61 - Will-O-Wisp,TM68 - Giga Impact,TM71 - Stone Edge,TM73 - Thunder Wave,TM75 - Swords Dance,TM77 - Psych Up,TM78 - Bulldoze,TM80 - Rock Slide,TM81 - X-Scissor,TM84 - Poison Jab,TM85 - Dream Eater,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM92 - Trick Room,TM99 - Dazzling Gleam,TM100 - Confide,Egg - Disable,Egg - Mean Look,Egg - Memento,Egg - Destiny Bond,Egg - Grudge,Egg - Shadow Sneak,Egg - Confuse Ray,Egg - Encore,Egg - Synchronoise,Egg - Skill Swap,Egg - Misty Terrain,Egg - Ally Switch,ORAS - Dual Chop,ORAS - Signal Beam,ORAS - Low Kick,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Magic Coat,ORAS - Zen Headbutt,ORAS - Hyper Voice,ORAS - Snore,ORAS - Knock Off,ORAS - Pain Split,ORAS - Drain Punch,ORAS - Focus Punch,ORAS - Shock Wave,ORAS - Helping Hand,ORAS - Trick,ORAS - Magic Room,ORAS - Wonder Room,ORAS - Recycle,ORAS - Snatch,ORAS - Skill Swap,Prev - Growl,Prev - Disarming Voice,Prev - Lucky Chant,Prev - Magical Leaf,Prev - Draining Kiss,Prev - Calm Mind,Prev - Psychic,Prev - Imprison,Prev - Future Sight,Prev - Charm,Prev - Hypnosis,Prev - Dream Eater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Gallade,Gallade (Mega Gallade),Start - Slash,Start - Stored Power,Start - Close Combat,Start - Leaf Blade,Start - Night Slash,Start - Leer,Start - Confusion,Start - Double Team,Start - Teleport,L4 - Confusion,L6 - Double Team,L9 - Teleport,L11 - Quick Guard,L14 - Fury Cutter,L17 - Aerial Ace,L19 - Heal Pulse,L23 - Wide Guard,L26 - Swords Dance,L31 - Psycho Cut,L35 - Helping Hand,L40 - Feint,L44 - False Swipe,L49 - Protect,L53 - Close Combat,L58 - Stored Power,TM01 - Work Up,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM24 - Thunderbolt,TM26 - Earthquake,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM31 - Brick Break,TM32 - Double Team,TM33 - Reflect,TM39 - Rock Tomb,TM40 - Aerial Ace,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM47 - Low Sweep,TM48 - Round,TM49 - Echoed Voice,TM52 - Focus Blast,TM54 - False Swipe,TM56 - Fling,TM57 - Charge Beam,TM61 - Will-O-Wisp,TM68 - Giga Impact,TM71 - Stone Edge,TM73 - Thunder Wave,TM75 - Swords Dance,TM77 - Psych Up,TM78 - Bulldoze,TM80 - Rock Slide,TM81 - X-Scissor,TM84 - Poison Jab,TM85 - Dream Eater,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM92 - Trick Room,TM99 - Dazzling Gleam,TM100 - Confide,Egg - Disable,Egg - Mean Look,Egg - Memento,Egg - Destiny Bond,Egg - Grudge,Egg - Shadow Sneak,Egg - Confuse Ray,Egg - Encore,Egg - Synchronoise,Egg - Skill Swap,Egg - Misty Terrain,Egg - Ally Switch,ORAS - Dual Chop,ORAS - Signal Beam,ORAS - Low Kick,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Magic Coat,ORAS - Zen Headbutt,ORAS - Hyper Voice,ORAS - Snore,ORAS - Knock Off,ORAS - Pain Split,ORAS - Drain Punch,ORAS - Focus Punch,ORAS - Shock Wave,ORAS - Helping Hand,ORAS - Trick,ORAS - Magic Room,ORAS - Wonder Room,ORAS - Recycle,ORAS - Snatch,ORAS - Skill Swap,Prev - Growl,Prev - Disarming Voice,Prev - Lucky Chant,Prev - Magical Leaf,Prev - Draining Kiss,Prev - Calm Mind,Prev - Psychic,Prev - Imprison,Prev - Future Sight,Prev - Charm,Prev - Hypnosis,Prev - Dream Eater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Probopass,Probopass,Start - Tri Attack,Start - Magnetic Flux,Start - Magnet Rise,Start - Gravity,Start - Wide Guard,Start - Tackle,Start - Iron Defense,Start - Block,Start - Magnet Bomb,L4 - Iron Defense,L7 - Block,L10 - Magnet Bomb,L13 - Thunder Wave,L16 - Rest,L19 - Spark,L22 - Rock Slide,L25 - Power Gem,L28 - Rock Blast,L31 - Discharge,L34 - Sandstorm,L37 - Earth Power,L40 - Stone Edge,L43 - Lock-On,L43 - Zap Cannon,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM17 - Protect,TM21 - Frustration,TM23 - Smack Down,TM24 - Thunderbolt,TM25 - Thunder,TM26 - Earthquake,TM27 - Return,TM32 - Double Team,TM37 - Sandstorm,TM39 - Rock Tomb,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM48 - Round,TM64 - Explosion,TM68 - Giga Impact,TM69 - Rock Polish,TM71 - Stone Edge,TM72 - Volt Switch,TM73 - Thunder Wave,TM78 - Bulldoze,TM80 - Rock Slide,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM91 - Flash Cannon,TM99 - Dazzling Gleam,TM100 - Confide,Egg - Magnitude,Egg - Rollout,Egg - Double-Edge,Egg - Block,Egg - Stealth Rock,Egg - Endure,Egg - Wide Guard,ORAS - Iron Head,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Magic Coat,ORAS - Block,ORAS - Earth Power,ORAS - Gravity,ORAS - Magnet Rise,ORAS - Iron Defense,ORAS - Snore,ORAS - Pain Split,ORAS - Shock Wave,ORAS - Stealth Rock,Prev - Harden,Prev - Rock Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Dusknoir,Dusknoir,Start - Shadow Punch,Start - Future Sight,Start - Fire Punch,Start - Ice Punch,Start - Thunder Punch,Start - Gravity,Start - Bind,Start - Leer,Start - Night Shade,Start - Disable,Start - Astonish,L6 - Disable,L9 - Astonish,L14 - Foresight,L17 - Shadow Sneak,L22 - Pursuit,L25 - Will-O-Wisp,L30 - Confuse Ray,L33 - Curse,L40 - Hex,L45 - Shadow Ball,L52 - Mean Look,L57 - Payback,L64 - Future Sight,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM31 - Brick Break,TM32 - Double Team,TM39 - Rock Tomb,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM52 - Focus Blast,TM56 - Fling,TM57 - Charge Beam,TM61 - Will-O-Wisp,TM63 - Embargo,TM66 - Payback,TM68 - Giga Impact,TM77 - Psych Up,TM78 - Bulldoze,TM80 - Rock Slide,TM83 - Infestation,TM85 - Dream Eater,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM92 - Trick Room,TM97 - Dark Pulse,TM100 - Confide,Egg - Imprison,Egg - Destiny Bond,Egg - Pain Split,Egg - Grudge,Egg - Memento,Egg - Feint Attack,Egg - Ominous Wind,Egg - Dark Pulse,Egg - Skill Swap,Egg - Haze,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Gravity,ORAS - Icy Wind,ORAS - Bind,ORAS - Snore,ORAS - Pain Split,ORAS - Focus Punch,ORAS - Spite,ORAS - Trick,ORAS - Wonder Room,ORAS - Snatch,ORAS - Skill Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Froslass,Froslass,Start - Ominous Wind,Start - Destiny Bond,Start - Powder Snow,Start - Leer,Start - Double Team,Start - Ice Shard,L5 - Double Team,L10 - Ice Shard,L14 - Icy Wind,L19 - Astonish,L23 - Draining Kiss,L28 - Will-O-Wisp,L32 - Confuse Ray,L37 - Wake-Up Slap,L41 - Captivate,L42 - Shadow Ball,L48 - Blizzard,L54 - Hail,L61 - Destiny Bond,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM48 - Round,TM56 - Fling,TM61 - Will-O-Wisp,TM63 - Embargo,TM66 - Payback,TM68 - Giga Impact,TM70 - Aurora Veil,TM73 - Thunder Wave,TM77 - Psych Up,TM79 - Frost Breath,TM85 - Dream Eater,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM100 - Confide,Egg - Block,Egg - Spikes,Egg - Rollout,Egg - Disable,Egg - Bide,Egg - Weather Ball,Egg - Avalanche,Egg - Hex,Egg - Fake Tears,Egg - Switcheroo,ORAS - Signal Beam,ORAS - Ice Punch,ORAS - Block,ORAS - Icy Wind,ORAS - Snore,ORAS - Pain Split,ORAS - Shock Wave,ORAS - Water Pulse,ORAS - Spite,ORAS - Trick,ORAS - Snatch,Prev - Razor Leaf,Prev - Grass Whistle,Prev - Swagger,Prev - Mist,Prev - Ingrain,Prev - Wood Hammer,Prev - Sheer Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Rotom,Rotom,Start - Discharge,Start - Charge,Start - Trick,Start - Astonish,Start - Thunder Wave,Start - Thunder Shock,Start - Confuse Ray,L8 - Uproar,L15 - Double Team,L22 - Shock Wave,L29 - Ominous Wind,L36 - Substitute,L43 - Electro Ball,L50 - Hex,L57 - Charge,L64 - Discharge,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM42 - Facade,TM44 - Rest,TM46 - Thief,TM48 - Round,TM57 - Charge Beam,TM61 - Will-O-Wisp,TM72 - Volt Switch,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM97 - Dark Pulse,TM100 - Confide,ORAS - Signal Beam,ORAS - Uproar,ORAS - Foul Play,ORAS - Electroweb,ORAS - Snore,ORAS - Pain Split,ORAS - Shock Wave,ORAS - Spite,ORAS - Trick,ORAS - Snatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Rotom,Rotom (Heat Rotom),Start - Discharge,Start - Charge,Start - Trick,Start - Astonish,Start - Thunder Wave,Start - Thunder Shock,Start - Confuse Ray,L8 - Uproar,L15 - Double Team,L22 - Shock Wave,L29 - Ominous Wind,L36 - Substitute,L43 - Electro Ball,L50 - Hex,L57 - Charge,L64 - Discharge,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM42 - Facade,TM44 - Rest,TM46 - Thief,TM48 - Round,TM57 - Charge Beam,TM61 - Will-O-Wisp,TM72 - Volt Switch,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM97 - Dark Pulse,TM100 - Confide,Tutor - Overheat,ORAS - Signal Beam,ORAS - Uproar,ORAS - Foul Play,ORAS - Electroweb,ORAS - Snore,ORAS - Pain Split,ORAS - Shock Wave,ORAS - Spite,ORAS - Trick,ORAS - Snatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Rotom,Rotom (Wash Rotom),Start - Discharge,Start - Charge,Start - Trick,Start - Astonish,Start - Thunder Wave,Start - Thunder Shock,Start - Confuse Ray,L8 - Uproar,L15 - Double Team,L22 - Shock Wave,L29 - Ominous Wind,L36 - Substitute,L43 - Electro Ball,L50 - Hex,L57 - Charge,L64 - Discharge,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM42 - Facade,TM44 - Rest,TM46 - Thief,TM48 - Round,TM57 - Charge Beam,TM61 - Will-O-Wisp,TM72 - Volt Switch,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM97 - Dark Pulse,TM100 - Confide,Tutor - Hydro Pump,ORAS - Signal Beam,ORAS - Uproar,ORAS - Foul Play,ORAS - Electroweb,ORAS - Snore,ORAS - Pain Split,ORAS - Shock Wave,ORAS - Spite,ORAS - Trick,ORAS - Snatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Rotom,Rotom (Frost Rotom),Start - Discharge,Start - Charge,Start - Trick,Start - Astonish,Start - Thunder Wave,Start - Thunder Shock,Start - Confuse Ray,L8 - Uproar,L15 - Double Team,L22 - Shock Wave,L29 - Ominous Wind,L36 - Substitute,L43 - Electro Ball,L50 - Hex,L57 - Charge,L64 - Discharge,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM42 - Facade,TM44 - Rest,TM46 - Thief,TM48 - Round,TM57 - Charge Beam,TM61 - Will-O-Wisp,TM72 - Volt Switch,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM97 - Dark Pulse,TM100 - Confide,Tutor - Blizzard,ORAS - Signal Beam,ORAS - Uproar,ORAS - Foul Play,ORAS - Electroweb,ORAS - Snore,ORAS - Pain Split,ORAS - Shock Wave,ORAS - Spite,ORAS - Trick,ORAS - Snatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Rotom,Rotom (Fan Rotom),Start - Discharge,Start - Charge,Start - Trick,Start - Astonish,Start - Thunder Wave,Start - Thunder Shock,Start - Confuse Ray,L8 - Uproar,L15 - Double Team,L22 - Shock Wave,L29 - Ominous Wind,L36 - Substitute,L43 - Electro Ball,L50 - Hex,L57 - Charge,L64 - Discharge,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM42 - Facade,TM44 - Rest,TM46 - Thief,TM48 - Round,TM57 - Charge Beam,TM61 - Will-O-Wisp,TM72 - Volt Switch,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM97 - Dark Pulse,TM100 - Confide,Tutor - Air Slash,ORAS - Signal Beam,ORAS - Uproar,ORAS - Foul Play,ORAS - Electroweb,ORAS - Snore,ORAS - Pain Split,ORAS - Shock Wave,ORAS - Spite,ORAS - Trick,ORAS - Snatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Rotom,Rotom (Mow Rotom),Start - Discharge,Start - Charge,Start - Trick,Start - Astonish,Start - Thunder Wave,Start - Thunder Shock,Start - Confuse Ray,L8 - Uproar,L15 - Double Team,L22 - Shock Wave,L29 - Ominous Wind,L36 - Substitute,L43 - Electro Ball,L50 - Hex,L57 - Charge,L64 - Discharge,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM42 - Facade,TM44 - Rest,TM46 - Thief,TM48 - Round,TM57 - Charge Beam,TM61 - Will-O-Wisp,TM72 - Volt Switch,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM97 - Dark Pulse,TM100 - Confide,Tutor - Leaf Storm,ORAS - Signal Beam,ORAS - Uproar,ORAS - Foul Play,ORAS - Electroweb,ORAS - Snore,ORAS - Pain Split,ORAS - Shock Wave,ORAS - Spite,ORAS - Trick,ORAS - Snatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Uxie,Uxie,Start - Memento,Start - Natural Gift,Start - Flail,Start - Rest,Start - Confusion,L6 - Imprison,L16 - Endure,L21 - Swift,L31 - Yawn,L36 - Future Sight,L46 - Amnesia,L50 - Extrasensory,L61 - Flail,L66 - Natural Gift,L76 - Memento,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM22 - Solar Beam,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM37 - Sandstorm,TM42 - Facade,TM44 - Rest,TM48 - Round,TM53 - Energy Ball,TM56 - Fling,TM57 - Charge Beam,TM62 - Acrobatics,TM68 - Giga Impact,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM89 - U-turn,TM90 - Substitute,TM92 - Trick Room,TM99 - Dazzling Gleam,TM100 - Confide,ORAS - Signal Beam,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Magic Coat,ORAS - Foul Play,ORAS - Zen Headbutt,ORAS - Iron Tail,ORAS - Snore,ORAS - Knock Off,ORAS - Role Play,ORAS - Heal Bell,ORAS - Giga Drain,ORAS - Shock Wave,ORAS - Water Pulse,ORAS - Helping Hand,ORAS - Trick,ORAS - Magic Room,ORAS - Wonder Room,ORAS - Recycle,ORAS - Stealth Rock,ORAS - Skill Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Mesprit,Mesprit,Start - Healing Wish,Start - Natural Gift,Start - Copycat,Start - Rest,Start - Confusion,L6 - Imprison,L16 - Protect,L21 - Swift,L31 - Lucky Chant,L36 - Future Sight,L46 - Charm,L50 - Extrasensory,L61 - Copycat,L66 - Natural Gift,L76 - Healing Wish,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM37 - Sandstorm,TM42 - Facade,TM44 - Rest,TM48 - Round,TM53 - Energy Ball,TM56 - Fling,TM57 - Charge Beam,TM62 - Acrobatics,TM68 - Giga Impact,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM89 - U-turn,TM90 - Substitute,TM92 - Trick Room,TM99 - Dazzling Gleam,TM100 - Confide,ORAS - Signal Beam,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Magic Coat,ORAS - Zen Headbutt,ORAS - Iron Tail,ORAS - Snore,ORAS - Knock Off,ORAS - Role Play,ORAS - Shock Wave,ORAS - Water Pulse,ORAS - Helping Hand,ORAS - Trick,ORAS - Magic Room,ORAS - Wonder Room,ORAS - Recycle,ORAS - Stealth Rock,ORAS - Skill Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
