int_tactic_id,int_team_id,str_defensive_style,int_team_width,int_depth,str_offensive_style,int_width,int_players_in_box,int_corners,int_freekicks
481,481,Drop Back,5,4,Balanced,5,4,3,3
482,482,Drop Back,5,5,Fast Build Up,6,3,3,3
483,483,Balanced,6,4,Balanced,7,7,3,3
484,484,Press After Possession Loss,5,5,Balanced,6,3,3,3
485,485,Balanced,5,5,Balanced,5,4,3,3
486,486,Balanced,5,5,Balanced,6,4,3,3
487,487,Balanced,5,5,Long Ball,5,4,3,3
488,488,Balanced,5,5,Long Ball,6,5,3,3
489,489,Balanced,6,5,Long Ball,6,4,3,3
490,490,Balanced,3,3,Long Ball,5,3,3,3
491,491,Drop Back,7,4,Long Ball,7,3,3,3
492,492,Balanced,7,5,Long Ball,7,3,3,3
493,493,Pressure On Heavy Touch,5,5,Balanced,6,6,3,3
494,494,Pressure On Heavy Touch,5,7,Balanced,6,7,3,3
495,495,Balanced,5,6,Balanced,6,5,3,3
496,496,Balanced,4,5,Balanced,5,3,3,3
497,497,Drop Back,6,5,Balanced,5,4,3,3
498,498,Balanced,7,5,Balanced,7,3,3,3
499,499,Pressure On Heavy Touch,5,5,Balanced,6,4,3,3
500,500,Balanced,5,6,Balanced,6,3,3,3
501,501,Press After Possession Loss,5,5,Long Ball,6,4,3,3
502,502,Balanced,6,5,Balanced,7,6,3,3
503,503,Balanced,5,4,Balanced,5,3,3,3
504,504,Pressure On Heavy Touch,4,6,Balanced,5,7,3,3
505,505,Balanced,4,8,Long Ball,4,4,3,3
506,506,Pressure On Heavy Touch,5,6,Balanced,6,5,3,3
507,507,Balanced,7,4,Balanced,6,3,3,3
508,508,Balanced,5,4,Balanced,7,3,3,3
509,509,Drop Back,5,5,Fast Build Up,6,4,3,3
510,510,Balanced,6,6,Balanced,6,6,3,3
511,511,Drop Back,6,5,Possession,6,4,3,3
512,512,Balanced,4,5,Long Ball,5,4,3,3
513,513,Drop Back,5,4,Long Ball,6,3,3,3
514,514,Balanced,4,4,Balanced,6,4,3,3
515,515,Balanced,6,6,Balanced,7,8,3,3
516,516,Pressure On Heavy Touch,5,7,Balanced,6,4,3,3
517,517,Balanced,5,5,Balanced,5,4,3,3
518,518,Balanced,5,5,Balanced,5,4,3,3
519,519,Balanced,5,5,Long Ball,5,5,3,3
520,520,Drop Back,6,5,Balanced,5,6,3,3
521,521,Pressure On Heavy Touch,6,6,Balanced,5,4,3,3
522,522,Balanced,7,5,Balanced,6,4,3,3
523,523,Balanced,6,6,Balanced,8,3,3,3
524,524,Balanced,5,5,Balanced,5,4,3,3
525,525,Balanced,6,7,Balanced,7,5,3,3
526,526,Pressure On Heavy Touch,5,5,Balanced,7,3,3,3
527,527,Balanced,6,4,Balanced,6,4,3,3
528,528,Pressure On Heavy Touch,6,5,Balanced,6,7,3,3
529,529,Balanced,4,6,Balanced,6,4,3,3
530,530,Drop Back,5,5,Balanced,5,4,3,3
531,531,Press After Possession Loss,4,7,Balanced,5,4,3,3
532,532,Balanced,5,5,Balanced,6,7,3,3
533,533,Balanced,6,6,Balanced,6,6,3,3
534,534,Balanced,7,4,Balanced,8,6,3,3
535,535,Balanced,4,5,Balanced,5,3,3,3
536,536,Pressure On Heavy Touch,6,7,Balanced,5,5,3,3
537,537,Balanced,5,5,Balanced,6,6,3,3
538,538,Balanced,4,4,Balanced,4,4,3,3
539,539,Balanced,5,5,Balanced,5,4,3,3
540,540,Balanced,5,5,Long Ball,5,4,3,3
541,541,Balanced,6,5,Balanced,6,4,3,3
542,542,Balanced,5,5,Long Ball,5,4,3,3
543,543,Balanced,6,5,Long Ball,6,6,3,3
544,544,Pressure On Heavy Touch,7,5,Balanced,7,3,3,3
545,545,Balanced,6,5,Balanced,6,3,3,3
546,546,Pressure On Heavy Touch,4,6,Balanced,5,6,3,3
547,547,Balanced,5,6,Long Ball,7,4,3,3
548,548,Balanced,5,5,Possession,6,3,3,3
549,549,Balanced,5,5,Balanced,6,4,3,3
550,550,Pressure On Heavy Touch,6,6,Long Ball,7,4,3,3
551,551,Pressure On Heavy Touch,5,7,Long Ball,5,4,3,3
552,552,Balanced,6,6,Balanced,5,4,3,3
553,553,Balanced,5,4,Balanced,5,4,3,3
554,554,Balanced,5,5,Balanced,5,4,3,3
555,555,Balanced,6,4,Balanced,7,3,3,3
556,556,Balanced,5,5,Balanced,8,4,3,3
557,557,Balanced,6,5,Balanced,7,4,3,3
558,558,Balanced,4,4,Balanced,5,3,3,3
559,559,Pressure On Heavy Touch,5,7,Balanced,7,5,3,3
560,560,Balanced,6,4,Balanced,6,3,3,3
561,561,Balanced,4,4,Long Ball,5,3,3,3
562,562,Balanced,5,5,Long Ball,4,4,3,3
563,563,Balanced,5,5,Balanced,5,3,3,3
564,564,Balanced,6,5,Long Ball,6,6,3,3
565,565,Balanced,5,5,Balanced,5,7,3,3
566,566,Pressure On Heavy Touch,7,7,Balanced,6,3,3,3
567,567,Pressure On Heavy Touch,5,5,Balanced,6,5,3,3
568,568,Pressure On Heavy Touch,5,6,Balanced,7,4,3,3
569,569,Drop Back,4,4,Balanced,6,6,3,3
570,570,Balanced,5,5,Balanced,4,3,3,3
571,571,Balanced,7,7,Long Ball,7,3,3,3
572,572,Balanced,4,5,Balanced,5,3,3,3
573,573,Balanced,5,5,Balanced,5,4,3,3
574,574,Balanced,4,4,Long Ball,5,3,3,3
575,575,Drop Back,3,3,Balanced,5,3,3,3
576,576,Drop Back,4,5,Long Ball,5,3,3,3
577,577,Pressure On Heavy Touch,5,6,Balanced,5,3,3,3
578,578,Balanced,5,5,Long Ball,5,4,3,3
579,579,Balanced,5,5,Balanced,5,3,3,3
580,580,Balanced,6,6,Long Ball,5,5,3,3
581,581,Drop Back,4,4,Long Ball,6,3,3,3
582,582,Pressure On Heavy Touch,6,5,Long Ball,5,3,3,3
583,583,Balanced,6,6,Balanced,5,4,3,3
584,584,Balanced,6,5,Balanced,6,3,3,3
585,585,Balanced,5,5,Balanced,6,6,3,3
586,586,Drop Back,6,3,Fast Build Up,6,3,3,3
587,587,Balanced,7,5,Balanced,7,6,3,3
588,588,Drop Back,5,5,Fast Build Up,6,4,3,3
589,589,Balanced,4,6,Long Ball,4,3,3,3
590,590,Pressure On Heavy Touch,5,6,Balanced,7,8,3,3
591,591,Pressure On Heavy Touch,6,6,Balanced,5,6,3,3
592,592,Balanced,5,5,Long Ball,7,5,3,3
593,593,Balanced,6,5,Long Ball,6,3,3,3
594,594,Pressure On Heavy Touch,4,5,Long Ball,6,3,3,3
595,595,Balanced,3,6,Long Ball,7,3,3,3
596,596,Balanced,4,5,Balanced,6,3,3,3
597,597,Balanced,6,7,Balanced,7,5,3,3
598,598,Balanced,5,4,Balanced,5,3,3,3
599,599,Balanced,5,5,Long Ball,5,3,3,3
600,600,Balanced,5,6,Long Ball,5,3,3,3
601,601,Balanced,5,5,Balanced,5,4,3,3
602,602,Balanced,5,5,Balanced,5,3,3,3
603,603,Pressure On Heavy Touch,6,6,Balanced,6,3,3,3
604,604,Balanced,5,5,Balanced,5,6,3,3
605,605,Drop Back,3,3,Long Ball,6,3,3,3
606,606,Balanced,4,4,Long Ball,6,4,3,3
607,607,Balanced,6,5,Balanced,6,4,3,3
608,608,Pressure On Heavy Touch,4,5,Long Ball,6,3,3,3
609,609,Balanced,4,4,Balanced,5,4,3,3
610,610,Balanced,6,5,Long Ball,6,3,3,3
611,611,Balanced,5,5,Balanced,6,3,3,3
612,612,Balanced,4,4,Balanced,6,3,3,3
613,613,Pressure On Heavy Touch,5,5,Long Ball,7,5,3,3
614,614,Pressure On Heavy Touch,4,5,Possession,5,4,3,3
615,615,Press After Possession Loss,6,7,Possession,5,3,3,3
616,616,Balanced,6,4,Balanced,6,4,3,3
617,617,Drop Back,3,3,Balanced,5,3,3,3
618,618,Balanced,5,6,Balanced,5,4,3,3
619,619,Drop Back,6,5,Balanced,5,3,3,3
620,620,Balanced,4,4,Long Ball,5,4,3,3
621,621,Press After Possession Loss,5,6,Long Ball,6,6,3,3
622,622,Drop Back,5,3,Balanced,6,4,3,3
623,623,Drop Back,5,4,Fast Build Up,6,3,3,3
624,624,Balanced,4,4,Long Ball,6,3,3,3
625,625,Balanced,5,4,Balanced,5,3,3,3
626,626,Balanced,7,5,Balanced,7,3,3,3
627,627,Balanced,5,4,Balanced,6,3,3,3
628,628,Balanced,6,4,Balanced,6,4,3,3
629,629,Drop Back,4,4,Long Ball,6,5,3,3
630,630,Balanced,5,5,Long Ball,6,4,3,3
631,631,Balanced,5,4,Possession,6,5,3,3
632,632,Balanced,4,5,Balanced,7,3,3,3
633,633,Balanced,5,5,Balanced,6,3,3,3
634,634,Balanced,5,4,Balanced,6,3,3,3
635,635,Balanced,6,5,Long Ball,7,3,3,3
636,636,Balanced,4,5,Balanced,6,3,3,3
637,637,Drop Back,4,3,Fast Build Up,4,3,3,3
638,638,Balanced,5,5,Long Ball,5,3,3,3
639,639,Balanced,6,5,Long Ball,7,3,3,3
640,640,Balanced,5,4,Balanced,6,3,3,3
641,641,Balanced,5,5,Long Ball,5,3,3,3
642,642,Balanced,5,5,Balanced,5,3,3,3
643,643,Drop Back,4,4,Long Ball,6,4,3,3
644,644,Pressure On Heavy Touch,5,6,Balanced,7,3,3,3
645,645,Balanced,6,5,Balanced,6,4,3,3
646,646,Drop Back,4,3,Long Ball,3,3,3,3
647,647,Pressure On Heavy Touch,5,5,Balanced,6,6,3,3
648,648,Balanced,7,5,Long Ball,6,4,3,3
649,649,Pressure On Heavy Touch,5,7,Possession,6,6,3,3
650,650,Balanced,5,5,Balanced,5,3,3,3
651,651,Balanced,5,5,Balanced,5,3,3,3
652,652,Balanced,4,5,Balanced,5,5,3,3
653,653,Drop Back,4,4,Fast Build Up,4,3,3,3
654,654,Balanced,4,5,Balanced,5,3,3,3
655,655,Balanced,7,5,Long Ball,5,3,3,3
656,656,Balanced,6,5,Long Ball,6,3,3,3
657,657,Balanced,6,6,Long Ball,7,8,3,3
658,658,Pressure On Heavy Touch,5,5,Balanced,7,4,3,3
659,659,Balanced,5,7,Balanced,6,4,3,3
660,660,Drop Back,4,4,Long Ball,4,3,3,3
661,661,Balanced,5,4,Long Ball,6,3,3,3
662,662,Balanced,4,4,Long Ball,3,3,3,3
663,663,Balanced,5,5,Long Ball,6,3,3,3
664,664,Balanced,5,5,Long Ball,6,4,3,3
665,665,Balanced,6,4,Long Ball,5,3,3,3
666,666,Balanced,4,5,Balanced,4,3,3,3
667,667,Balanced,5,5,Long Ball,5,4,3,3
668,668,Balanced,7,5,Balanced,4,5,3,3
669,669,Balanced,6,5,Balanced,6,4,3,3
670,670,Drop Back,6,5,Fast Build Up,5,4,3,3
671,671,Balanced,4,5,Balanced,6,3,3,3
672,672,Pressure On Heavy Touch,5,6,Possession,5,5,3,3
673,673,Balanced,5,5,Long Ball,5,4,3,3
674,674,Balanced,5,4,Balanced,6,5,3,3
675,675,Balanced,6,5,Balanced,6,3,3,3
676,676,Balanced,6,6,Balanced,5,4,3,3
677,677,Balanced,4,5,Balanced,4,5,3,3
678,678,Balanced,4,4,Long Ball,5,3,3,3
679,679,Balanced,4,4,Long Ball,7,4,3,3
680,680,Balanced,7,5,Balanced,7,4,3,3
681,681,Balanced,5,5,Balanced,5,4,3,3
