drink,Volume (ml),Calories,Caffeine (mg),type
Shasta Cola,354.882,170,43,Soft Drinks
Shasta Diet Cola,354.882,0,47,Soft Drinks
Shasta Mountain Rush,354.882,150,54,Soft Drinks
Ski Soda,354.882,180,69,Soft Drinks
Slurpee,354.882,90,30,Soft Drinks
Sprite,354.882,140,0,Soft Drinks
Squirt Soda,354.882,140,0,Soft Drinks
Starbucks Refreshers Canned,354.882,90,50,Soft Drinks
Sun Drop Soda,354.882,170,64,Soft Drinks
Sunkist Orange Soda,354.882,160,19,Soft Drinks
Vernors Ginger Ale,354.882,140,0,Soft Drinks
Wave Soda,354.882,25,42,Soft Drinks
Wild Cherry Pepsi,354.882,160,38,Soft Drinks
Zevia Cola,354.882,0,45,Soft Drinks
Boost Nutritional Drink,236.588,240,5,Soft Drinks
Mucho Mango Energy Drink,236.588,100,0,Soft Drinks
Soda Stream,236.588,40,31,Soft Drinks
PG Tips Black Tea,200.50833,0,50,Tea
Sencha Green Tea Shot,189.2704,0,40,Tea
Xingtea Iced Green Tea,694.97725,50,110,Tea
Gold Peak Tea,547.10975,0,48,Tea
Pure Leaf Iced Tea,547.10975,160,69,Tea
Honest Iced Tea,499.79214999999994,70,63,Tea
Nestea Iced Tea,499.79214999999994,160,23,Tea
Oi Ocha Green Tea,499.79214999999994,5,60,Tea
Teas' Tea Oolong,499.79214999999994,0,70,Tea
Guayaki Canned Yerba Mate,458.38925,120,150,Tea
Inko's White Tea Energy,458.38925,100,165,Tea
Master Brew Kombucha,449.51719999999995,60,76,Tea
McDonalds Sweet Tea,946.352,160,100,Tea
Dunkin' Donuts Iced Tea,709.764,230,63,Tea
Fuze Iced Tea,709.764,160,24,Tea
Peace Tea,680.1904999999999,150,23,Tea
Lipton Iced Tea,591.47,110,25,Tea
SoBe Green Tea,591.47,200,7,Tea
Arizona Iced Tea,473.176,190,30,Tea
Biggby Iced Tea,473.176,0,38,Tea
Chick-fil-A Iced Tea,473.176,120,62,Tea
Guayaki Yerba Mate Bottled Tea,473.176,80,140,Tea
Snapple Tea,473.176,150,37,Tea
Southern Sweet Tea,473.176,128,41,Tea
Taiwanese Milk Tea,473.176,299,151,Tea
Wendy's Iced Tea,473.176,5,32,Tea
Xing Craft Brew,473.176,5,120,Tea
Brew Dr Kombucha Uplift,414.029,80,130,Tea
Brisk Iced Tea,354.882,70,11,Tea
KOE Kombucha,354.882,35,15,Tea
Tejava Iced Tea,354.882,0,50,Tea
Turkey Hill Iced Tea,354.882,120,64,Tea
Big Train Spiced Chai,236.588,210,65,Tea
Bigelow Tea,236.588,0,45,Tea
Brown Rice Tea,236.588,0,4,Tea
Chai Tea,236.588,0,50,Tea
Cold Brew Tea,236.588,0,70,Tea
Crystal Light Iced Tea,236.588,5,10,Tea
Fast Lane Black Tea,236.588,0,110,Tea
Guayusa Tea,236.588,0,41,Tea
HICAF Tea,236.588,0,110,Tea
K Cup Tea,236.588,0,41,Tea
Kombucha Tea,236.588,30,24,Tea
Lipton Natural Energy Tea,236.588,0,75,Tea
Lipton Tea,236.588,0,55,Tea
Matcha Tea,236.588,0,64,Tea
Morning Thunder Tea,236.588,0,45,Tea
Tazo Chai,236.588,0,47,Tea
Tea (Black),236.588,0,42,Tea
Tea (Decaf),236.588,0,4,Tea
Tea (Green),236.588,0,18,Tea
Tea (Herbal),236.588,0,0,Tea
Tea (Iced),236.588,0,47,Tea
Tea (Instant),236.588,0,40,Tea
Tea (Jasmine),236.588,0,25,Tea
Tea (Oolong),236.588,0,37,Tea
Tea (White),236.588,0,28,Tea
Teavana Tea,236.588,0,41,Tea
Twig Tea (Kukicha),236.588,0,25,Tea
Waka Instant Tea,236.588,0,30,Tea
Yellow Tea,236.588,0,63,Tea
Yerba Mate Tea,236.588,0,40,Tea
YMateina Yerba Mate,236.588,0,80,Tea
Zest Highly Caffeinated Tea,236.588,0,150,Tea
Oregon Chai Tea,177.441,130,45,Tea
Pacific Chai,177.441,90,29,Tea
Perrier Energize,250.19181000000003,35,99,Water
3 Water,499.79214999999994,0,50,Water
Heroec Energy Water,499.79214999999994,0,60,Water
Caribou BOUsted Sparkling Water,340.09524999999996,0,75,Water
Phocus Sparkling Water,340.09524999999996,0,75,Water
Poland Spring Sparkling Energy Water,340.09524999999996,35,75,Water
Perrier Sparkling Water,329.744525,0,0,Water
VitaminWater Energy,591.47,100,50,Water
VitaRain Zero Enhanced Water,591.47,0,42,Water
Water Joe,591.47,0,70,Water
Polar Frost Plus Energy,502.7495,10,67,Water
Hint Caffeine Kick Water,473.176,0,60,Water
Sparkling Ice +Caffeine,473.176,5,70,Water
AHA Sparkling Water,354.882,0,30,Water
Arti Sparkling Water,354.882,0,120,Water
Bubbl'r Sparkling Water,354.882,5,69,Water
Bubly Bounce Sparkling Water,354.882,0,35,Water
Bubly Sparkling Water,354.882,0,0,Water
GURU Sparkling Energy Water,354.882,0,100,Water
La Croix Sparkling Water,354.882,0,0,Water
Limitless Sparkling Water,354.882,0,35,Water
Pep Talk Sparkling Water,354.882,0,55,Water
Polar Seltzer Water,354.882,0,0,Water
Yerbae Sparkling Water,354.882,0,100,Water
Tonic Water,295.735,110,0,Water
MiO Energy Water Enhancer,236.588,0,60,Water
