quote,author,likes,category
"Of all the trees we could've hit, we had to get one that hits back.",J.K. Rowling,3416,humor|trees
"Whatever the cost of our libraries, the price is cheap compared to that of an ignorant nation.",Walter Cronkite,3412,education|ignorance|intelligence|libraries
"Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.",Jalaluddin Rumi,3411,change|cleverness|self|wisdom|world
"I didn’t need you, you idiot. I picked you. And then you picked me back.",John Green,3411,
"The real story of the Fleece: there were these two children of Zeus, Cadmus and Europa, okay? They were about to get offered up as human sacrifices, when they prayed to Zeus to save them. So Zeus sent this magical flying ram with golden wool, which picked them up in Greece and carried them all the way to Colchis in Asia Minor. Well, actually it carried Cadmus. Europa fell off and died along the way, but that's not important.""",Rick Riordan,3410,annabeth-chase|gold|humor|percy-jackson
"Understanding is the first step to acceptance, and only with acceptance can there be recovery.",J.K. Rowling,3410,acceptance|inspiration|inspirational|smart|understanding|wise
Reading furnishes the mind only with materials of knowledge; it is thinking that makes what we read ours.,John Locke,3410,knowledge|reading|thinking
"A ship is safe in harbor, but that's not what ships are for.",William G.T. Shedd,3410,courage|inspirational|risk
"Every now and then I like to do as I'm told, just to confuse people.",Tamora Pierce,3409,humor|obedience
All the secrets of the world are contained in books. Read at your own risk.,Lemony Snicket,3409,reading-secrets
"The individual has always had to struggle to keep from being overwhelmed by the tribe. If you try it, you will be lonely often, and sometimes frightened. But no price is too high to pay for the privilege of owning yourself.",Friedrich Nietzsche,3408,individuality
It's discouraging to think how many people are shocked by honesty and how few by deceit.,Noël Coward,3407,deceit|honesty|hypocrisy|morality|shock|top-8
Never give up...No one knows what's going to happen next.,L. Frank Baum,3404,
Forget safety.,Jalaluddin Rumi,3404,
"You think your pain and your heartbreak are unprecedented in the history of the world, but then you read.",James     Baldwin,3401,
"If you don't know, the thing to do is not to get scared, but to learn.",Ayn Rand,3398,atlas|shrugged
"From the moment I picked up your book until I put it down, I was convulsed with laughter. Some day I intend reading it.",Groucho Marx,3395,books|humor|reading
"No matter how much suffering you went through, you never wanted to let go of those memories.",Haruki Murakami,3392,letting-go|life|life-lessons|memories
Letting go doesn't mean that you don't care about someone anymore. It's just realizing that the only person you really have control over is yourself.,Deborah Reber,3390,acceptance|letting-go|love|moving-on
"I knew, in the silence that followed, that anything could happen here. It might be too late: again, I might have missed my chance. But I would at least know I tried, that I took my heart and extended my hand, whatever the outcome.",Sarah Dessen,3386,romance
"I stood still, vision blurring, and in that moment, I heard my heart break. It was a small, clean sound, like the snapping of a flower's stem.",Diana Gabaldon,3384,claire-fraser|historical-fiction|romance|scotland|time-travel
The capacity for friendship is God's way of apologizing for our families.,Jay McInerney,3383,family|friendship|humor
"If you ask me what I came to do in this world, I, an artist, will answer you: I am here to live out loud.",Émile Zola,3383,art|calling|life
Success makes so many people hate you. I wish it wasn't that way. It would be wonderful to enjoy success without seeing envy in the eyes of those around you.,Marilyn Monroe,3378,
Life shrinks or expands in proportion to one's courage.,Anaïs Nin,3377,courage|life
"If things start happening, don't worry, don't stew, just go right along and you'll start happening too.",Dr. Seuss,3376,dr-seuss
It's amazing how a little tomorrow can make up for a whole lot of yesterday.,John Guare,3375,future|hope
There is a stubbornness about me that never can bear to be frightened at the will of others. My courage always rises at every attempt to intimidate me.,Jane Austen,3375,courage|dignity|elizabeth-bennet|empowerment|fear|independence|intimidation|self-determination|strength|stubbornness|women
"A learning experience is one of those things that says, 'You know that thing you just did? Don't do that.",Douglas Adams,3374,life
"The best portion of a good man's life: his little, nameless unremembered acts of kindness and love.",William Wordsworth,3374,finale-of-middlemarch|tintern-abbey
"Books are the carriers of civilization...They are companions, teachers, magicians, bankers of the treasures of the mind. Books are humanity in print.",Barbara W. Tuchman,3370,
Today was good. Today was fun. Tomorrow is another one.,Dr. Seuss,3370,humor|rythmic|thoughtful
You never know what worse luck your bad luck has saved you from.,Cormac McCarthy,3365,luck
"Three may keep a secret, if two of them are dead.",Benjamin Franklin,3365,secrets
Tonight I can write the saddest lines,Pablo Neruda,3361,love|sadness
"Keep smiling, because life is a beautiful thing and there's so much to smile about.",Marilyn Monroe,3360,
"Your friend's poetry is terrible,"" he said.",Cassandra Clare,3359,humor
"I crave your mouth, your voice, your hair.",Pablo Neruda,3353,love|poetry
"It's all in the view. That's what I mean about forever, too. For any one of us our forever could end in an hour, or a hundred years from now. You never know for sure, so you'd better make every second count.",Sarah Dessen,3353,life
"Don't Gain The World & Lose Your Soul, Wisdom Is Better Than Silver Or Gold.",Bob Marley,3352,peace|soul|wealth|wisdom
Education is the ability to listen to almost anything without losing your temper or your self-confidence.,Robert Frost,3351,education
It is not that I'm so smart. But I stay with the questions much longer.,Albert Einstein,3350,intelligence|learning|wisdom
"Trees are poems the earth writes upon the sky, We fell them down and turn them into paper,",Kahlil Gibran,3350,poetry|wisdom
"If you want to really hurt you parents, and you don't have the nerve to be gay, the least you can do is go into the arts. I'm not kidding. The arts are not a way to make a living. They are a very human way of making life more bearable. Practicing an art, no matter how well or badly, is a way to make your soul grow, for heaven's sake. Sing in the shower. Dance to the radio. Tell stories. Write a poem to a friend, even a lousy poem. Do it as well as you possible can. You will get an enormous reward. You will have created something.",Kurt Vonnegut,3349,art|arts-and-humanities|creative-process|writing
"I'm tough, I'm ambitious, and I know exactly what I want. If that makes me a bitch, okay.",Madonna,3348,feminism|humor|women
"Keep in mind that people change, but the past doesn't.",Becca Fitzpatrick,3346,becca-fitzpatrick|hush-hush|nora|patch
"You should never be surprised when someone treats you with respect, you should expect it.",Sarah Dessen,3344,inspirational
Never be afraid to trust an unknown future to a known God.,Corrie ten Boom,3339,faith|future|god|trust
"One day you will kiss a man you can't breathe without, and find that breath is of little consequence.",Karen Marie Moning,3338,kiss|love
"People worry about kids playing with guns, and teenagers watching violent videos; we are scared that some sort of culture of violence will take them over. Nobody worries about kids listening to thousands - literally thousands - of songs about broken hearts and rejection and pain and misery and loss.",Nick Hornby,3338,music|sad
Don't feel sorry for yourself. Only assholes do that.,Haruki Murakami,3335,nagasawa
I don't know that love changes. People change. Circumstances change.,Nicholas Sparks,3334,
"One can never have enough socks,"" said Dumbledore. ""Another Christmas has come and gone and I didn't get a single pair. People will insist on giving me books.",J.K. Rowling,3333,books|christmas|deathly-hallows|desire|family|joke|socks
"When I was a boy of 14, my father was so ignorant I could hardly stand to have the old man around. But when I got to be 21, I was astonished at how much the old man had learned in seven years.",Mark Twain,3331,arrogance|humor|ignorance
Maybe everyone can live beyond what they're capable of.,Markus Zusak,3331,hope|inspirational|life|philosophy
"I felt my lungs inflate with the onrush of scenery—air, mountains, trees, people. I thought, ""This is what it is to be happy.",Sylvia Plath,3330,ecstasy|happiness|nature
A writer is someone for whom writing is more difficult than it is for other people.,Thomas Mann,3330,authors|creative-process|struggle|writers|writing
"Look again at that dot. That's here. That's home. That's us. On it everyone you love, everyone you know, everyone you ever heard of, every human being who ever was, lived out their lives. The aggregate of our joy and suffering, thousands of confident religions, ideologies, and economic doctrines, every hunter and forager, every hero and coward, every creator and destroyer of civilization, every king and peasant, every young couple in love, every mother and father, hopeful child, inventor and explorer, every teacher of morals, every corrupt politician, every ""superstar,"" every ""supreme leader,"" every saint and sinner in the history of our species lived there-on a mote of dust suspended in a sunbeam.",Carl Sagan,3329,earth|perspective|space
"I'll just have them change the entry in the demonology textbook from 'almost extinct' to 'not extinct enough for Alec. He prefers his monsters really, really extinct.' Will that make you happy?",Cassandra Clare,3329,humor
"So please, oh please, we beg, we pray, go throw your TV set away, and in its place you can install, a lovely bookshelf on the wall.",Roald Dahl,3326,
If you pick up a starving dog and make him prosperous he will not bite you. This is the principal difference between a dog and man.,Mark Twain,3326,animals|dogs
"Never say 'no' to adventures. Always say 'yes,' otherwise you'll lead a very dull life.",Ian Fleming,3322,
"I'm saying that I'm a moody, insecure, narrow-minded, jealous, borderline homicidal bitch, and I want you to promise me that you're okay with that, because it's who I am, and you're what I need.",Jeaniene Frost,3322,humor|love
A DEFINITION NOT FOUND,Markus Zusak,3322,children|love
"There are darknesses in life and there are lights, and you are one of the lights, the light of all lights.",Bram Stoker,3321,darkness|light|mina|van-helsing
"America will never be destroyed from the outside. If we falter and lose our freedoms, it will be because we destroyed ourselves.",Abraham Lincoln,3321,
"There are so many fragile things, after all. People break so easily, and so do dreams and hearts.",Neil Gaiman,3316,
"What you do makes a difference, and you have to decide what kind of difference you want to make.",Jane Goodall,3315,inspiration
"Was it hard?"" I ask.",Lisa Schroeder,3314,heartbreak|life|love
"That's why they call it the American Dream, because you have to be asleep to believe it.",George Carlin,3314,america|dream|funny|humor|wealth
"Worry never robs tomorrow of its sorrow, but only saps today of its strength.",A.J. Cronin,3313,
Lighthouses don’t go running all over an island looking for boats to save; they just stand there shining.,Anne Lamott,3312,
Don't be so humble - you are not that great.,Golda Meir,3312,funny|golda|meir|true
"Silence make the real conversations between friends. Not the saying, but the never needing to say that counts.",Margaret Lee Runbeck,3311,friendship
"It wouldn't be my move,"" Jace agreed. ""First the candy and flowers, then the apology letters, then the ravenous demon hordes. In that order.",Cassandra Clare,3309,jace|valentine
My imagination functions much better when I don't have to speak to people.,Patricia Highsmith,3307,conversations|distractions|imagination|quiet|solitude
"Once you had put the pieces back together, even though you may look intact, you were never quite the same as you'd been before the fall.",Jodi Picoult,3307,heartbreak|life
Be clearly aware of the stars and infinity on high. Then life seems almost enchanted after all.,Vincent Van Gogh,3305,
Then I realize what it is. It's him. Something about him makes me feel like I am about to fall. Or turn to liquid. Or burst into flames.,Veronica Roth,3304,love
"When you do things from your soul, you feel a river moving in you, a joy.",Jalaluddin Rumi,3304,joy
Do you want to know who you are? Don't ask. Act! Action will delineate and define you.,Thomas Jefferson,3304,inspiration|motivation
Many a book is like a key to unknown chambers within the castle of one’s own self.,Franz Kafka,3301,books|castle|self
"When it is dark enough, you can see the stars.",Ralph Waldo Emerson,3301,dark|stars
"Promise me you'll never forget me because if I thought you would, I'd never leave.",A.A. Milne,3299,goodbyes|love
"I've found that there is always some beauty left -- in nature, sunshine, freedom, in yourself; these can all help you.",Anne Frank,3298,
A dream you dream alone is only a dream. A dream you dream together is reality.,John Lennon,3297,beatles|connection|dreamers|dreaming|dreams
We take for granted the very things that most deserve our gratitude.,Cynthia Ozick,3295,
"If you ever find yourself in the wrong story, leave.",Mo Willems,3294,fairy-tales|humor|humorous|philosophy|psychology
I think there's just one kind of folks. Folks.,Harper Lee,3294,brotherhood-of-man|people|scout
"Don't be satisfied with stories, how things have gone with others. Unfold your own myth.",Jalaluddin Rumi,3293,courage|creativity|empowerment|independence|inspirational-stories|self-confidence|self-realization
"Maybe...you'll fall in love with me all over again.""",Ernest Hemingway,3292,infatuation|love
Failure is the condiment that gives success its flavor.,Truman Capote,3292,experience|failure|metaphor|success|wisdom
"Confront the dark parts of yourself, and work to banish them with illumination and forgiveness. Your willingness to wrestle with your demons will cause your angels to sing.",August Wilson,3291,character|courage|self-assessment|self-esteem|strength
"The best moments in reading are when you come across something – a thought, a feeling, a way of looking at things – which you had thought special and particular to you. Now here it is, set down by someone else, a person you have never met, someone even who is long dead. And it is as if a hand has come out and taken yours.",Alan Bennett,3290,books|history|reading
Real loneliness is not necessarily limited to when you are alone.,Charles Bukowski,3287,
"That's why when major badasses greet each other in movies, they don't say anything, they just nod. The nod means, 'I' am a badass, and I recognize that you, too, are a badass,' but they don't say anything because they're Wolverine and Magneto and it would mess up their vibe to explain.",Cassandra Clare,3286,city-of-bones|simon-lewis
"Anyone who falls in love is searching for the missing pieces of themselves. So anyone who's in love gets sad when they think of their lover. It's like stepping back inside a room you have fond memories of, one you haven't seen in a long time.",Haruki Murakami,3286,love
"What makes the desert beautiful,' said the little prince, 'is that somewhere it hides a well...",Antoine de Saint-Exupéry,3286,inspirational
"Knowledge speaks, but wisdom listens",Jimi Hendrix,3285,wisdom
"- ""Why don't you like to be touched?""",E.L. James,3282,
"I nodded, looking at Rachel with respect. ""You hit the Lord of the Titans in the eye with a blue plastic hairbrush.",Rick Riordan,3281,percy-jackson|rachel-elizabeth-dare
There is greatness in doing something you hate for the sake of someone you love.,Shmuley Boteach,3280,relationships
أحسد الأطفال الرضّع، لأنهم يملكون وحدهم حق الصراخ والقدرة عليه، قبل أن تروض الحياة حبالهم الصوتية، وتعلِّمهم الصمت,أحلام مستغانمي,3278,
,Charlotte Brontë,3278,ataraxy|defiance|empowerment|independence|individuality|self-assurance|self-awareness|self-containment|self-determination|self-esteem|self-reliance|self-respect|self-sufficiency|self-trust|solitude
Happiness [is] only real when shared,Jon Krakauer,3278,family|happiness|inspirational|love|marriage
"What if it lines up like it did in the Trojan War ... Athena versus Poseidon?""",Rick Riordan,3277,annabeth-chase|athena|percy-jackson|poseidon
To say goodbye is to die a little.,Raymond Chandler,3276,change|life|parting|romantics
"I cannot remember the books I've read any more than the meals I have eaten; even so, they have made me.",Ralph Waldo Emerson,3275,books|reading|we-are-what-we-eat|we-are-what-we-read|you-are-what-you-eat|you-are-what-you-read
Art and love are the same thing: It’s the process of seeing yourself in things that are not you.,Chuck Klosterman,3274,art|love|profound
The measure of intelligence is the ability to change.,Albert Einstein,3272,adaptation|flexibility|intelligence|open-mindedness|wisdom
"Never forget what you are, for surely the world will not. Make it your strength. Then it can never be your weakness.",George R.R. Martin,3271,
"She read books as one would breathe air, to fill up and live.",Annie Dillard,3271,books|literature|reading|words
"Let's think the unthinkable, let's do the undoable. Let us prepare to grapple with the ineffable itself, and see if we may not eff it after all.",Douglas Adams,3271,philosophy
I'm sure the universe is full of intelligent life. It's just been too intelligent to come here.,Arthur C. Clarke,3270,extraterrestrials|humor|intelligent-life|life|science|universe
You know what charm is: a way of getting the answer yes without having asked any clear question.,Albert Camus,3268,romance
"The thing that is really hard, and really amazing, is giving up on being perfect and beginning the work of becoming yourself.",Anna Quindlen,3268,
"Every time you smile at someone, it is an action of love, a gift to that person, a beautiful thing.",Mother Teresa,3267,paraphrased
"For me, trees have always been the most penetrating preachers. I revere them when they live in tribes and families, in forests and groves. And even more I revere them when they stand alone. They are like lonely persons. Not like hermits who have stolen away out of some weakness, but like great, solitary men, like Beethoven and Nietzsche. In their highest boughs the world rustles, their roots rest in infinity; but they do not lose themselves there, they struggle with all the force of their lives for one thing only: to fulfil themselves according to their own laws, to build up their own form, to represent themselves. Nothing is holier, nothing is more exemplary than a beautiful, strong tree. When a tree is cut down and reveals its naked death-wound to the sun, one can read its whole history in the luminous, inscribed disk of its trunk: in the rings of its years, its scars, all the struggle, all the suffering, all the sickness, all the happiness and prosperity stand truly written, the narrow years and the luxurious years, the attacks withstood, the storms endured. And every young farmboy knows that the hardest and noblest wood has the narrowest rings, that high on the mountains and in continuing danger the most indestructible, the strongest, the ideal trees grow.",Hermann Hesse,3267,eternity|fear|forests|history|holiness|home|life|longing|poet|roots|self-discovery|spirituality|strength|trees|trust
Do not go gentle into that good night.,Dylan Thomas,3265,
"You will find that it is necessary to let things go; simply for the reason that they are heavy. So let them go, let go of them. I tie no weights to my ankles.",C. JoyBell C.,3265,forgetting|forgiving|inspirational-life|inspirational-quotes|letting-go|life|life-and-living|moving-on|people
"You have to know what you stand for, not just what you stand against.",Laurie Halse Anderson,3264,defend
Wherever you go becomes a part of you somehow.,Anita Desai,3261,travel
"Crying is all right in its way while it lasts. But you have to stop sooner or later, and then you still have to decide what to do.",C.S. Lewis,3260,books|cry|crying|decisions
A woman without a man is like a fish without a bicycle.,Irina Dunn,3260,feminism|humour|misattributed-gloria-steinem
"The beginning of love is the will to let those we love be perfectly themselves, the resolution not to twist them to fit our own image. If in loving them we do not love what they are, but only their potential likeness to ourselves, then we do not love them: we only love the reflection of ourselves we find in them",Thomas Merton,3254,friendship|love|self-discovery|trust|truth
"No one knows for certain how much impact they have on the lives of other people. Oftentimes, we have no clue. Yet we push it just the same.",Jay Asher,3254,care|impact|life|reach-out|think
Cowards die many times before their deaths;,William Shakespeare,3254,dramatist-quotes
I want to grow old without facelifts. I want to have the courage to be loyal to the face I have made.,Marilyn Monroe,3253,marilyn-monroe
Life isn't finding shelter in the storm. It's about learning to dance in the rain.,Sherrilyn Kenyon,3251,
"And he took her in his arms and kissed her under the sunlit sky, and he cared not that they stood high upon the walls in the sight of many.",J.R.R. Tolkien,3251,gondor|romance
My Best Friend is a person who will give me a book I have not read.,Abraham Lincoln,3251,books
"But it is the nature of stars to cross, and never was Shakespeare more wrong than when he has Cassius note, ‘The fault, dear Brutus, is not in our stars / But in ourselves.",John Green,3248,tfios|the-fault-in-our-stars
"I was wise enough never to grow up, while fooling people into believing I had.",Margaret Mead,3247,
"If you treat an individual as he is, he will remain how he is. But if you treat him as if he were what he ought to be and could be, he will become what he ought to be and could be.",Johann Wolfgang von Goethe,3247,inspiration
There are books of which the backs and covers are by far the best parts.,Charles Dickens,3244,books|writing
An expert is a person who has made all the mistakes that can be made in a very narrow field.,Niels Bohr,3241,science
"He smiled understandingly-much more than understandingly. It was one of those rare smiles with a quality of eternal reassurance in it, that you may come across four or five times in life. It faced--or seemed to face--the whole eternal world for an instant, and then concentrated on you with an irresistible prejudice in your favor. It understood you just as far as you wanted to be understood, believed in you as you would like to believe in yourself, and assured you that it had precisely the impression of you that, at your best, you hoped to convey.",F. Scott Fitzgerald,3240,smiling
I suppose a fire that burns that bright is not meant to last.,Veronica Roth,3239,four|heartbreaking|tobias
و كلما أمسكت بحالة من حالاتي و قلت هذا هو أنا .. ما تلبث هذه الحالة أن تفلت من أصابعي و تحل محلها حالة أخرى .. هي أنا .. أيضاً..,مصطفى محمود,3239,
Winter is coming.,George R.R. Martin,3236,forcasting|mottos|winter
!لك شيء في هذا العالم.. فقم,غسان كنفاني,3229,
If you do not tell the truth about yourself you cannot tell it about other people.,Virginia Woolf,3227,honesty|lies|stories|truth
Politeness is deception in pretty packaging.,Veronica Roth,3226,
A book must be the axe for the frozen sea within us.,Franz Kafka,3222,books
As if you were on fire from within.,Pablo Neruda,3221,beauty|inner-beauty|love|passion
She refused to be bored chiefly because she wasn't boring.,Zelda Fitzgerald,3219,boredom
I am constantly torn between killing myself and killing everyone around me.,David Levithan,3215,homicide|suicide
"I could not tell you if I loved you the first moment I saw you, or if it was the second or third or fourth. But I remember the first moment I looked at you walking toward me and realized that somehow the rest of the world seemed to vanish when I was with you.",Cassandra Clare,3214,devotion|love|love-at-first-sight|true-love
"Without suffering, there'd be no compassion.",Nicholas Sparks,3210,
"Beauty is only skin deep, but ugly goes clean to the bone.",Dorothy Parker,3210,beauty|classic-insult|humor|ugly
"I am different, not less.",Temple Grandin,3208,
"أتمنى أن أبكي و أرتجف , التصق بواحد من الكبار , لكن الحقيقة القاسية هي أنك الكبار! .. أنت من يجب أن يمنح القوة و الأمن للآخرين!",أحمد خالد توفيق,3208,
The creative adult is the child who has survived.,Ursula K. Le Guin,3207,
"I can listen no longer in silence. I must speak to you by such means as are within my reach. You pierce my soul. I am half agony, half hope. Tell me not that I am too late, that such precious feelings are gone for ever. I offer myself to you again with a heart even more your own than when you almost broke it, eight years and a half ago. Dare not say that man forgets sooner than woman, that his love has an earlier death. I have loved none but you. Unjust I may have been, weak and resentful I have been, but never inconstant. You alone have brought me to Bath. For you alone, I think and plan. Have you not seen this? Can you fail to have understood my wishes? I had not waited even these ten days, could I have read your feelings, as I think you must have penetrated mine. I can hardly write. I am every instant hearing something which overpowers me. You sink your voice, but I can distinguish the tones of that voice when they would be lost on others. Too good, too excellent creature! You do us justice, indeed. You do believe that there is true attachment and constancy among men. Believe it to be most fervent, most undeviating, in F. W.",Jane Austen,3203,romance
"I am a cage, in search of a bird.",Franz Kafka,3202,franz-kafka
"If you love what you do and are willing to do what it takes, it's within your reach. And it'll be worth every minute you spend alone at night, thinking and thinking about what it is you want to design or build. It'll be worth it, I promise.",Steve Wozniak,3200,
Science and religion are not at odds. Science is simply too young to understand.,Dan Brown,3199,books|dan-brown|religion|science
"For whatever we lose (like a you or a me),",E.E. Cummings,3196,water
Always do what is right. It will gratify half of mankind and astound the other.,Mark Twain,3194,morals
"One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.",Johann Wolfgang von Goethe,3193,art|good-life|music|poetry|self-improvement
"Don't feel bad, I'm usually about to die.",Rick Riordan,3190,death|greek|humor|mythology|percy-jackson|sorry
So many things are possible just as long as you don't know they're impossible.,Norton Juster,3188,
"From there to here, from here to there, funny things are everywhere!",Dr. Seuss,3187,humor
"Where there is love, there is often also hate. They can exist side by side.",Cassandra Clare,3186,
"There is more to sex appeal than just measurements. I don't need a bedroom to prove my womanliness. I can convey just as much sex appeal, picking apples off a tree or standing in the rain.",Audrey Hepburn,3185,sex-appeal|women
You do not have to be good.,Mary Oliver,3185,beauty|birds|nature|poetry|shore|woods
"Beware; for I am fearless, and therefore powerful.",Mary Wollstonecraft Shelley,3180,
We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.,Plato,3180,darkness|dishonesty|fear|light|willful-ignorance
A common mistake that people make when trying to design something completely foolproof is to underestimate the ingenuity of complete fools.,Douglas Adams,3180,design|foolproof|ingenuity
"The beauty of a woman is not in the clothes she wears, the figure that she carries, or the way she combs her hair. The beauty of a woman is seen in her eyes, because that is the doorway to her heart, the place where love resides. True beauty in a woman is reflected in her soul. It's the caring that she lovingly gives, the passion that she shows & the beauty of a woman only grows with passing years.",Audrey Hepburn,3178,
"Some lose all mind and become soul,insane.",Charles Bukowski,3178,
"I wasn't actually in love, but I felt a sort of tender curiosity.",F. Scott Fitzgerald,3177,affection|amity|love
"Trust is like a mirror, you can fix it if it's broken, but you can still see the crack in that mother fucker's reflection.",Lady Gaga,3175,beyonce|lady-gaga|mirror|trust
There ain't no sin and there ain't no virtue. There's just stuff people do.,John Steinbeck,3174,
"In a way, it's nice to know that there are Greek gods out there, because you have somebody to blame when things go wrong. For instance, when you're walking away from a bus that's just been attacked by monster hags and blown up by lightning, and it's raining on top of everything else, most people might think that's just really bad luck; when you're a half-blood, you understand that some devine force is really trying to mess up your day.",Rick Riordan,3172,books|humor|olympians
"All women become like their mothers. That is their tragedy. No man does, and that is his.",Oscar Wilde,3171,women-mothers
"She says nothing at all, but simply stares upward into the dark sky and watches, with sad eyes, the slow dance of the infinite stars.",Neil Gaiman,3169,
I think the reward for conformity is that everyone likes you except yourself.,Rita Mae Brown,3168,conformity|individuality|self-love|self-respect
"I've been homesick for countries I've never been, and longed to be where I couldn't be.",John Cheever,3165,
"We can never judge the lives of others, because each person knows only their own pain and renunciation. It's one thing to feel that you are on the right path, but it's another to think that yours is the only path.",Paulo Coelho,3165,life
Nitwit! Blubber! Oddment! Tweak!,J.K. Rowling,3164,dumbledore
There are years that ask questions and years that answer.,Zora Neale Hurston,3164,inspiration
"When I am with you, we stay up all night.",Jalaluddin Rumi,3163,love
Rivers know this: there is no hurry. We shall get there some day.,A.A. Milne,3162,patience|perseverance
May the forces of evil become confused on the way to your house.,George Carlin,3159,benediction|evil|goodwill|humor|inspirational|wishes
"Ah, my daughter,ʺ he said. ʺEighteen, and already youʹve been accused of murder, aided felons, and acquired a death count higher than most guardians will ever see.ʺ He paused. ʺI couldnʹt be prouder.",Richelle Mead,3157,abe-mazur|last-sacrifice|rosemarie-hathaway
Open your heart. Someone will come. Someone will come for you. But first you must open your heart.,Kate DiCamillo,3157,edward
One thing you can't hide - is when you're crippled inside.,John Lennon,3157,beatles|emotions|hypocrisy|pain|suffering
"Because you can't argue with all the fools in the world. It's easier to let them have their way, then trick them when they're not paying attention.",Christopher Paolini,3156,common-sense|humor|smart
"It's not gray,"" Clary felt compelled to point out. ""It's green.""",Cassandra Clare,3155,clary|gray-book|humor|jace
"Our mothers always remain the strangest, craziest people we've ever met.",Marguerite Duras,3154,mothers
What is that you express in your eyes? It seems to me more than all the print I have read in my life.,Walt Whitman,3154,poetry
"Is it so bad, then, to be misunderstood? Pythagoras was misunderstood, and Socrates, and Jesus, and Luther, and Copernicus, and Galileo, and Newton, and every pure and wise spirit that ever took flesh. To be great is to be misunderstood.",Ralph Waldo Emerson,3154,greatness
"And thus the heart will break, yet brokenly live on.",George Gordon Byron,3153,
A good book is an event in my life.,Stendhal,3152,books|literature|reading
"If you don't read the newspaper, you're uninformed. If you read the newspaper, you're mis-informed.",Mark Twain,3151,misattributed-mark-twain|newspapers
Love is the absence of judgment.,Dalai Lama XIV,3150,inspiration
"He was going to live forever, or die in the attempt.",Joseph Heller,3149,
"The important thing to you is not how many years in your life, but how much life in your years!",Edward J. Stieglitz,3149,inspirational
"When I had nothing to lose, I had everything. When I stopped being who I am, I found myself.",Paulo Coelho,3148,
"You yourself, as much as anybody in the entire universe, deserve your love and affection",Sharon Salzberg,3148,inspiration|life|love|self-acceptance|self-esteem|wisdom
"The function of prayer is not to influence God, but rather to change the nature of the one who prays.",Søren Kierkegaard,3147,faith|god|prayer
"We've got to live, no matter how many skies have fallen.",D.H. Lawrence,3146,
The worst part of success is trying to find someone who is happy for you.,Bette Midler,3144,friendship|happiness|humor|inspirational|jealousy|success
"You will lose someone you can’t live without,and your heart will be badly broken, and the bad news is that you never completely get over the loss of your beloved. But this is also the good news. They live forever in your broken heart that doesn’t seal back up. And you come through. It’s like having a broken leg that never heals perfectly—that still hurts when the weather gets cold, but you learn to dance with the limp.",Anne Lamott,3143,grief|loss|recovery
"The beginning of love is the will to let those we love be perfectly themselves, the resolution not to twist them to fit our own image.",Thomas Merton,3142,
"Stay gold, Ponyboy, stay gold.",S.E. Hinton,3142,benediction|johnny-cade|ponyboy-curtis|ralph-macchio
"Don’t try to make life a mathematics problem with yourself in the center and everything coming out equal. When you’re good, bad things can still happen. And if you’re bad, you can still be lucky.",Barbara Kingsolver,3138,life|unfairness
"Ah! There is nothing like staying at home, for real comfort.",Jane Austen,3138,relaxation
"The moment you doubt whether you can fly, you cease for ever to be able to do it.",J.M. Barrie,3137,barrie|belief|fantasy|flying|imagination|kensington-gardens|london|magic|neverland|park|peter-pan|scotland|self-confidence
You can't depend on your eyes when your imagination is out of focus.,Mark Twain,3137,imagination
"When I was a child, adults would tell me not to make things up, warning me of what would happen if I did. As far as I can tell so far, it seems to involve lots of foreign travel and not having to get up too early in the morning.",Neil Gaiman,3137,
Beautiful face. Beautiful body. Horrible attitude. It was the holy trinity of hot boys.,Jennifer L. Armentrout,3135,boys|hot|humor
The past has no power over the present moment.,Eckhart Tolle,3130,education|inspirational|life|philosophy|truth|wisdom
"Fools talk, cowards are silent, wise men listen.",Carlos Ruiz Zafón,3127,
"You're just worried they'll hire a male instructor and he'll be hotter than you.""",Cassandra Clare,3125,city-of-fallen-angels|clary-fray|jace-lightwood
"Did you ever think that in a past life Alec was an old woman with ninety cats who was always yelling at the neighborhood kids to get off her lawn? Because I do,",Cassandra Clare,3125,jace
Creativity is intelligence having fun.,Albert Einstein,3124,
Try a little harder to be a little better.,Gordon B. Hinckley,3124,inspirational
We must be willing to let go of the life we planned so as to have the life that is waiting for us.,Joseph Campbell,3122,wisdom
Would it save you a lot of time if I just gave up and went mad now?,Douglas Adams,3120,british|humor|science-fiction|social-commentary|thumb|towel
"I am trying here to prevent anyone saying the really foolish thing that people often say about Him: I’m ready to accept Jesus as a great moral teacher, but I don’t accept his claim to be God. That is the one thing we must not say. A man who was merely a man and said the sort of things Jesus said would not be a great moral teacher. He would either be a lunatic — on the level with the man who says he is a poached egg — or else he would be the Devil of Hell. You must make your choice. Either this man was, and is, the Son of God, or else a madman or something worse. You can shut him up for a fool, you can spit at him and kill him as a demon or you can fall at his feet and call him Lord and God, but let us not come with any patronizing nonsense about his being a great human teacher. He has not left that open to us. He did not intend to.",C.S. Lewis,3119,faith|god|jesus
What's the good of living if you don't try a few things?,Charles M. Schulz,3117,cartoonist|humor|inspirational
