year_film,year_award,ceremony,category,nominee,film,win
1973,1974,31,Best Screenplay - Motion Picture,David S. Ward,"Sting, The",False
1973,1974,31,Best Screenplay - Motion Picture,Melvin Frank,"Touch of Class, A",False
1973,1974,31,Best Motion Picture - Foreign Language,"Pedestrian, The","West Germany, Maximilian Schell",True
1973,1974,31,Best Motion Picture - Foreign Language,"Alfredo, Alfredo","Italy, Pietro Germi",False
1973,1974,31,Best Motion Picture - Foreign Language,Day for Night,"France, François Truffaut",False
1973,1974,31,Best Motion Picture - Foreign Language,Kazablan,"Israel, Menahem Golan",False
1973,1974,31,Best Motion Picture - Foreign Language,State of Siege,"France, Constantin Costa-Gavras",False
1973,1974,31,Best Original Score - Motion Picture,Neil Diamond,Jonathan Livingston Seagull,True
1973,1974,31,Best Original Score - Motion Picture,Michel Legrand,Breezy,False
1973,1974,31,Best Original Score - Motion Picture,John Williams,Cinderella Liberty,False
1973,1974,31,Best Original Score - Motion Picture,Georges Delerue,"Day of the Dolphin, The",False
1973,1974,31,Best Original Score - Motion Picture,Alan Price,O Lucky Man!,False
1973,1974,31,Best Original Score - Motion Picture,Richard M. Sherman,Tom Sawyer,False
1973,1974,31,Best Original Song - Motion Picture,"Way We Were, The, Marvin Hamlisch, Alan Bergman, Marilyn Bergman","Way We Were, The",True
1973,1974,31,Best Original Song - Motion Picture,"Breezy's Song, Michel Legrand, Alan Bergman, Marilyn Bergman",Breezy,False
1973,1974,31,Best Original Song - Motion Picture,"Lonely Looking Sky, Neil Diamond",Jonathan Livingston Seagull,False
1973,1974,31,Best Original Song - Motion Picture,"Rosa Rosa, Dov Seltzer, Haim Hefer",Kazablan,False
1973,1974,31,Best Original Song - Motion Picture,"Send a Little Love My Way, Henry Mancini, Hal David",Oklahoma Crude,False
1973,1974,31,Best Original Song - Motion Picture,"All That Love Went To Waste, George Barrie, Sammy Cahn","Touch of Class, A",False
1973,1974,31,Best Television Series - Drama,"Waltons, The",,True
1973,1974,31,Best Television Series - Drama,Cannon,,False
1973,1974,31,Best Television Series - Drama,Columbo,,False
1973,1974,31,Best Television Series - Drama,Hawkins,,False
1973,1974,31,Best Television Series - Drama,Mannix,,False
1973,1974,31,Best Television Series - Drama,Police Story,,False
1973,1974,31,Best Television Series - Musical or Comedy,All In The Family,,True
1973,1974,31,Best Television Series - Musical or Comedy,"Carol Burnett Show, The",,False
1973,1974,31,Best Television Series - Musical or Comedy,"Mary Tyler Moore Show, The",,False
1973,1974,31,Best Television Series - Musical or Comedy,Sanford and Son,,False
1973,1974,31,Best Television Series - Musical or Comedy,The Sonny and Cher Comedy Hour,,False
1973,1974,31,Best Performance by an Actress In A Television Series - Drama,Lee Remick,"Blue Knight, The",True
1973,1974,31,Best Performance by an Actress In A Television Series - Drama,Michael Learned,"Waltons, The",False
1973,1974,31,Best Performance by an Actress In A Television Series - Drama,Julie London,Emergency,False
1973,1974,31,Best Performance by an Actress In A Television Series - Drama,Emily McLaughlin,General Hospital,False
1973,1974,31,Best Performance by an Actress In A Television Series - Drama,Susan St. James,McMillan and Wife,False
1973,1974,31,Best Performance by an Actor In A Television Series - Drama,James Stewart,Hawkins,True
1973,1974,31,Best Performance by an Actor In A Television Series - Drama,David Carradine,Kung Fu,False
1973,1974,31,Best Performance by an Actor In A Television Series - Drama,Mike Connors,Mannix,False
1973,1974,31,Best Performance by an Actor In A Television Series - Drama,Peter Falk,Columbo,False
1973,1974,31,Best Performance by an Actor In A Television Series - Drama,Richard Thomas,"Waltons, The",False
1973,1974,31,Best Performance by an Actor In A Television Series - Drama,Robert Young,"Marcus Welby, M.D.",False
1973,1974,31,Best Performance by an Actress in a Television Series - Musical or Comedy,Cher,The Sonny and Cher Comedy Hour,True
1973,1974,31,Best Performance by an Actress in a Television Series - Musical or Comedy,Jean Stapleton,All In The Family,True
1973,1974,31,Best Performance by an Actress in a Television Series - Musical or Comedy,Beatrice Arthur,Maude,False
1973,1974,31,Best Performance by an Actress in a Television Series - Musical or Comedy,Carol Burnett,"Carol Burnett Show, The",False
1973,1974,31,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary Tyler Moore,"Mary Tyler Moore Show, The",False
1973,1974,31,Best Performance by an Actor in a Television Series - Musical or Comedy,Jack Klugman,"Odd Couple, The (1970)",True
1973,1974,31,Best Performance by an Actor in a Television Series - Musical or Comedy,Alan Alda,M*A*S*H (TV Show),False
1973,1974,31,Best Performance by an Actor in a Television Series - Musical or Comedy,Dom De Luise,Lotsa Luck,False
1973,1974,31,Best Performance by an Actor in a Television Series - Musical or Comedy,Redd Foxx,Sanford and Son,False
1973,1974,31,Best Performance by an Actor in a Television Series - Musical or Comedy,Carroll O'Connor,All In The Family,False
1973,1974,31,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ellen Corby,"Waltons, The",True
1973,1974,31,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gail Fisher,Mannix,False
1973,1974,31,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Valerie Harper,"Mary Tyler Moore Show, The",False
1973,1974,31,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sally Struthers,All In The Family,False
1973,1974,31,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Loretta Swit,M*A*S*H (TV Show),False
1973,1974,31,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",McLean Stevenson,M*A*S*H (TV Show),True
1973,1974,31,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ed Asner,"Mary Tyler Moore Show, The",False
1973,1974,31,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Will Geer,"Waltons, The",False
1973,1974,31,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Harvey Korman,"Carol Burnett Show, The",False
1973,1974,31,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Strother Martin,Hawkins,False
1973,1974,31,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rob Reiner,All In The Family,False
1973,1974,31,Cecil B. deMille Award,Bette Davis,,False
1973,1974,31,New Star Of The Year - Actress,Tatum O'Neal,Paper Moon,True
1973,1974,31,New Star Of The Year - Actress,Linda Blair,"Exorcist, The",False
1973,1974,31,New Star Of The Year - Actress,Kay Lenz,Breezy,False
1973,1974,31,New Star Of The Year - Actress,Michelle Phillips,Dillinger,False
1973,1974,31,New Star Of The Year - Actress,Barbara Sigel,Time To Run,False
1973,1974,31,New Star Of The Year - Actor,Paul Le Mat,American Graffiti,True
1973,1974,31,New Star Of The Year - Actor,Kirk Calloway,Cinderella Liberty,False
1973,1974,31,New Star Of The Year - Actor,Ted Neeley,Jesus Christ Superstar,False
1973,1974,31,New Star Of The Year - Actor,Carl Anderson,Jesus Christ Superstar,False
1973,1974,31,New Star Of The Year - Actor,Robby Benson,Jeremy,False
1973,1974,31,Henrietta Award (World Film Favorites),Marlon Brando,,True
1973,1974,31,Henrietta Award (World Film Favorites),Elizabeth Taylor,,True
1973,1974,31,Documentary,Visions of Eight,,True
1973,1974,31,Documentary,Love,,False
1973,1974,31,Documentary,"Movies That Made Us, The",,False
1973,1974,31,Documentary,"Second Gun, The",,False
1973,1974,31,Documentary,Wattstax,,False
1974,1975,32,Best Motion Picture - Drama,Chinatown,,True
1974,1975,32,Best Motion Picture - Drama,"Conversation, The",,False
1974,1975,32,Best Motion Picture - Drama,Earthquake,,False
1974,1975,32,Best Motion Picture - Drama,"Godfather Part II, The",,False
1974,1975,32,Best Motion Picture - Drama,"Woman Under The Influence, A",,False
1974,1975,32,Best Motion Picture - Musical or Comedy,The Longest Yard,,True
1974,1975,32,Best Motion Picture - Musical or Comedy,Harry & Tonto,,False
1974,1975,32,Best Motion Picture - Musical or Comedy,"Little Prince, The",,False
1974,1975,32,Best Motion Picture - Musical or Comedy,"Three Musketeers, The",,False
1974,1975,32,Best Motion Picture - Musical or Comedy,"Front Page, The",,False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Drama,Gena Rowlands,"Woman Under The Influence, A",True
1974,1975,32,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Chinatown,False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Drama,Valerie Perrine,Lenny,False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Drama,Liv Ullmann,Scenes From a Marriage,False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Drama,Ellen Burstyn,Alice Doesn't Live Here Anymore,False
1974,1975,32,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,Chinatown,True
1974,1975,32,Best Performance by an Actor in a Motion Picture - Drama,James Caan,"Gambler, The",False
1974,1975,32,Best Performance by an Actor in a Motion Picture - Drama,Gene Hackman,"Conversation, The",False
1974,1975,32,Best Performance by an Actor in a Motion Picture - Drama,Dustin Hoffman,Lenny,False
1974,1975,32,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,"Godfather Part II, The",False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Raquel Welch,"Three Musketeers, The",True
1974,1975,32,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lucille Ball,Mame,False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diahann Carroll,Claudine,False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helen Hayes,Herbie Rides Again,False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cloris Leachman,Young Frankenstein,False
1974,1975,32,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Art Carney,Harry & Tonto,True
1974,1975,32,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Burt Reynolds,The Longest Yard,False
1974,1975,32,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Earl Jones,Claudine,False
1974,1975,32,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Lemmon,"Front Page, The",False
1974,1975,32,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Walter Matthau,"Front Page, The",False
1974,1975,32,Best Performance by an Actress in a Supporting Role in any Motion Picture,Karen Black,"Great Gatsby, The",True
1974,1975,32,Best Performance by an Actress in a Supporting Role in any Motion Picture,Beatrice Arthur,Mame,False
1974,1975,32,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Jones,The Towering Inferno,False
1974,1975,32,Best Performance by an Actress in a Supporting Role in any Motion Picture,Madeline Kahn,Young Frankenstein,False
1974,1975,32,Best Performance by an Actress in a Supporting Role in any Motion Picture,Diane Ladd,Alice Doesn't Live Here Anymore,False
1974,1975,32,Best Performance by an Actor in a Supporting Role in any Motion Picture,Fred Astaire,The Towering Inferno,True
1974,1975,32,Best Performance by an Actor in a Supporting Role in any Motion Picture,Eddie Albert,The Longest Yard,False
1974,1975,32,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bruce Dern,"Great Gatsby, The",False
1974,1975,32,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Huston,Chinatown,False
1974,1975,32,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sam Waterston,"Great Gatsby, The",False
1974,1975,32,Best Director - Motion Picture,Roman Polanski,Chinatown,True
1974,1975,32,Best Director - Motion Picture,John Cassavetes,"Woman Under The Influence, A",False
1974,1975,32,Best Director - Motion Picture,Francis Ford Coppola,"Conversation, The",False
1974,1975,32,Best Director - Motion Picture,Francis Ford Coppola,"Godfather Part II, The",False
1974,1975,32,Best Director - Motion Picture,Bob Fosse,Lenny,False
1974,1975,32,Best Screenplay - Motion Picture,Robert Towne,Chinatown,True
1974,1975,32,Best Screenplay - Motion Picture,Francis Ford Coppola,"Conversation, The",False
1974,1975,32,Best Screenplay - Motion Picture,Francis Ford Coppola,"Godfather Part II, The",False
1974,1975,32,Best Screenplay - Motion Picture,Stirling Silliphant,The Towering Inferno,False
1974,1975,32,Best Screenplay - Motion Picture,John Cassavetes,"Woman Under The Influence, A",False
1974,1975,32,Best Motion Picture - Foreign Language,Scenes From a Marriage,"Sweden, Ingmar Bergman",True
1974,1975,32,Best Motion Picture - Foreign Language,Amarcord,"Italy, Federico Fellini",False
1974,1975,32,Best Motion Picture - Foreign Language,"Apprenticeship of Duddy Kravitz, The","Canada, Ted Kotcheff",False
1974,1975,32,Best Motion Picture - Foreign Language,Lacombe Lucien,"France, Louis Malle",False
1974,1975,32,Best Motion Picture - Foreign Language,"Mad Adventures of 'Rabbi' Jacob, The","France, Gérard Oury",False
1974,1975,32,Best Original Score - Motion Picture,"Alan Jay Lerner, Frederick Loewe","Little Prince, The",True
1974,1975,32,Best Original Score - Motion Picture,Jerry Goldsmith,Chinatown,False
1974,1975,32,Best Original Score - Motion Picture,John Williams,Earthquake,False
1974,1975,32,Best Original Score - Motion Picture,Carmine Coppola,"Godfather Part II, The",False
1974,1975,32,Best Original Score - Motion Picture,Paul Williams,Phantom of the Paradise,False
1974,1975,32,Best Original Song - Motion Picture,"Benji's Theme (I Feel Love), Euel Box, Betty Box",Benji,True
1974,1975,32,Best Original Song - Motion Picture,"Sail the Summer Winds, John Barry, Don Black","Dove, The",False
1974,1975,32,Best Original Song - Motion Picture,"We May Never Love Like This Again, Al Kasha, Joel Hirschhorn",The Towering Inferno,False
1974,1975,32,Best Original Song - Motion Picture,"I Never Met a Rose, Frederick Loewe, Alan Jay Lerner","Little Prince, The",False
1974,1975,32,Best Original Song - Motion Picture,"On and On, Curtis Mayfield",Claudine,False
1974,1975,32,Best Television Series - Drama,Upstairs/Downstairs,,True
1974,1975,32,Best Television Series - Drama,Columbo,,False
1974,1975,32,Best Television Series - Drama,Kojak,,False
1974,1975,32,Best Television Series - Drama,Police Story,,False
1974,1975,32,Best Television Series - Drama,"Streets of San Francisco, The",,False
1974,1975,32,Best Television Series - Drama,"Waltons, The",,False
1974,1975,32,Best Television Series - Musical or Comedy,Rhoda,,True
1974,1975,32,Best Television Series - Musical or Comedy,Maude,,False
1974,1975,32,Best Television Series - Musical or Comedy,All In The Family,,False
1974,1975,32,Best Television Series - Musical or Comedy,"Carol Burnett Show, The",,False
1974,1975,32,Best Television Series - Musical or Comedy,"Mary Tyler Moore Show, The",,False
1974,1975,32,Best Performance by an Actress In A Television Series - Drama,Angie Dickinson,Police Woman,True
1974,1975,32,Best Performance by an Actress In A Television Series - Drama,Teresa Graves,Get Christie Love,False
1974,1975,32,Best Performance by an Actress In A Television Series - Drama,Michael Learned,"Waltons, The",False
1974,1975,32,Best Performance by an Actress In A Television Series - Drama,Jean Marsh,Upstairs/Downstairs,False
1974,1975,32,Best Performance by an Actress In A Television Series - Drama,Lee Meriwether,Barnaby Jones,False
1974,1975,32,Best Performance by an Actor In A Television Series - Drama,Telly Savalas,Kojak,True
1974,1975,32,Best Performance by an Actor In A Television Series - Drama,Richard Thomas,"Waltons, The",False
1974,1975,32,Best Performance by an Actor In A Television Series - Drama,Mike Connors,Mannix,False
1974,1975,32,Best Performance by an Actor In A Television Series - Drama,Michael Douglas,"Streets of San Francisco, The",False
1974,1975,32,Best Performance by an Actor In A Television Series - Drama,Peter Falk,Columbo,False
1974,1975,32,Best Performance by an Actress in a Television Series - Musical or Comedy,Valerie Harper,Rhoda,True
1974,1975,32,Best Performance by an Actress in a Television Series - Musical or Comedy,Carol Burnett,"Carol Burnett Show, The",False
1974,1975,32,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary Tyler Moore,"Mary Tyler Moore Show, The",False
1974,1975,32,Best Performance by an Actress in a Television Series - Musical or Comedy,Esther Rolle,Good Times,False
1974,1975,32,Best Performance by an Actress in a Television Series - Musical or Comedy,Jean Stapleton,All In The Family,False
1974,1975,32,Best Performance by an Actor in a Television Series - Musical or Comedy,Alan Alda,M*A*S*H (TV Show),True
1974,1975,32,Best Performance by an Actor in a Television Series - Musical or Comedy,Ed Asner,"Mary Tyler Moore Show, The",False
1974,1975,32,Best Performance by an Actor in a Television Series - Musical or Comedy,Redd Foxx,Sanford and Son,False
1974,1975,32,Best Performance by an Actor in a Television Series - Musical or Comedy,Bob Newhart,"Bob Newhart Show, The",False
1974,1975,32,Best Performance by an Actor in a Television Series - Musical or Comedy,Carroll O'Connor,All In The Family,False
1974,1975,32,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Betty Garrett,All In The Family,True
1974,1975,32,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ellen Corby,"Waltons, The",False
1974,1975,32,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julie Kavner,Rhoda,False
1974,1975,32,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Vicki Lawrence,"Carol Burnett Show, The",False
1974,1975,32,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Nancy Walker,McMillan and Wife,False
1974,1975,32,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Harvey Korman,"Carol Burnett Show, The",True
1974,1975,32,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Will Geer,"Waltons, The",False
1974,1975,32,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gavin MacLeod,"Mary Tyler Moore Show, The",False
1974,1975,32,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Whitman Mayo,Sanford and Son,False
1974,1975,32,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jimmie Walker,Good Times,False
1974,1975,32,Cecil B. deMille Award,Hal B. Wallis,,False
1974,1975,32,New Star Of The Year - Actress,Susan Flannery,The Towering Inferno,True
1974,1975,32,New Star Of The Year - Actress,Julie Gholson,Where the Lilies Bloom,False
1974,1975,32,New Star Of The Year - Actress,Valerie Harper,Freebie and The Bean,False
1974,1975,32,New Star Of The Year - Actress,Helen Reddy,Airport 1975,False
1974,1975,32,New Star Of The Year - Actress,Ann Turkel,99 and 44/100% Dead,False
1974,1975,32,New Star Of The Year - Actor,Joseph Bottoms,"Dove, The",True
1974,1975,32,New Star Of The Year - Actor,Steven Warner,"Little Prince, The",False
1974,1975,32,New Star Of The Year - Actor,Sam Waterston,"Great Gatsby, The",False
1974,1975,32,New Star Of The Year - Actor,Jim Hampton,The Longest Yard,False
1974,1975,32,New Star Of The Year - Actor,Lee Strasberg,"Godfather Part II, The",False
1974,1975,32,Henrietta Award (World Film Favorites),Robert Redford,,True
1974,1975,32,Henrietta Award (World Film Favorites),Barbra Streisand,,True
1974,1975,32,Documentary,Animals Are Beautiful People,,True
1974,1975,32,Documentary,"Birds Do It, Bees Do It",,False
1974,1975,32,Documentary,"Challenge, The",,False
1974,1975,32,Documentary,Hearts and Minds,,False
1974,1975,32,Documentary,I am a Dancer,,False
1974,1975,32,Documentary,Janis,,False
1975,1976,33,Best Motion Picture - Drama,One Flew Over The Cuckoo's Nest,,True
1975,1976,33,Best Motion Picture - Drama,Barry Lyndon,,False
1975,1976,33,Best Motion Picture - Drama,Dog Day Afternoon,,False
1975,1976,33,Best Motion Picture - Drama,Jaws,,False
1975,1976,33,Best Motion Picture - Drama,Nashville,,False
1975,1976,33,Best Motion Picture - Musical or Comedy,"Sunshine Boys, The",,True
1975,1976,33,Best Motion Picture - Musical or Comedy,Funny Lady,,False
1975,1976,33,Best Motion Picture - Musical or Comedy,"Return of the Pink Panther, The",,False
1975,1976,33,Best Motion Picture - Musical or Comedy,Shampoo,,False
1975,1976,33,Best Motion Picture - Musical or Comedy,Tommy,,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Drama,Louise Fletcher,One Flew Over The Cuckoo's Nest,True
1975,1976,33,Best Performance by an Actress in a Motion Picture - Drama,Glenda Jackson,Hedda,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Drama,Karen Black,"Day of the Locust, The",False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Three Days of the Condor,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Drama,Marilyn Hassett,"Other Side of the Mountain, The",False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,One Flew Over The Cuckoo's Nest,True
1975,1976,33,Best Performance by an Actor in a Motion Picture - Drama,Gene Hackman,French Connection II,False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Dog Day Afternoon,False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Drama,Maximilian Schell,"Man in the Glass Booth, The",False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Drama,James Whitmore,"Give 'Em Hell, Harry!",False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ann-Margret,Tommy,True
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julie Christie,Shampoo,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,Shampoo,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Liza Minnelli,Lucky Lady,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Barbra Streisand,Funny Lady,False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Walter Matthau,"Sunshine Boys, The",True
1975,1976,33,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Caan,Funny Lady,False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Peter Sellers,"Return of the Pink Panther, The",False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Warren Beatty,Shampoo,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Brenda Vaccaro,Jacqueline Susann's Once Is Not Enough,True
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ronee Blakley,Nashville,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Geraldine Chaplin,Nashville,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,Shampoo,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Barbara Harris,Nashville,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lily Tomlin,Nashville,False
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,Richard Benjamin,"Sunshine Boys, The",True
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,Charles Durning,Dog Day Afternoon,False
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,Henry Gibson,Nashville,False
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,Burgess Meredith,"Day of the Locust, The",False
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Cazale,Dog Day Afternoon,False
1975,1976,33,Best Director - Motion Picture,Milos Forman,One Flew Over The Cuckoo's Nest,True
1975,1976,33,Best Director - Motion Picture,Robert Altman,Nashville,False
1975,1976,33,Best Director - Motion Picture,Stanley Kubrick,Barry Lyndon,False
1975,1976,33,Best Director - Motion Picture,Sidney Lumet,Dog Day Afternoon,False
1975,1976,33,Best Director - Motion Picture,Steven Spielberg,Jaws,False
1975,1976,33,Best Screenplay - Motion Picture,Bo Goldman,One Flew Over The Cuckoo's Nest,True
1975,1976,33,Best Screenplay - Motion Picture,Frank Pierson,Dog Day Afternoon,False
1975,1976,33,Best Screenplay - Motion Picture,Peter Benchley,Jaws,False
1975,1976,33,Best Screenplay - Motion Picture,Joan Tewkesbury,Nashville,False
1975,1976,33,Best Screenplay - Motion Picture,Neil Simon,"Sunshine Boys, The",False
1975,1976,33,Best Motion Picture - Foreign Language,Lies My Father Told Me,"Canada, Ján Kadár",True
1975,1976,33,Best Motion Picture - Foreign Language,Hedda,"United Kingdom, Trevor Nunn",False
1975,1976,33,Best Motion Picture - Foreign Language,The Magic Flute,"Sweden, Ingmar Bergman",False
1975,1976,33,Best Motion Picture - Foreign Language,Special Section,"Italy, Constantin Costa-Gavras",False
1975,1976,33,Best Motion Picture - Foreign Language,And Now My Love,"France, Claude Lelouch",False
1975,1976,33,Best Original Score - Motion Picture,John Williams,Jaws,True
1975,1976,33,Best Original Score - Motion Picture,Maurice Jarre,"Man Who Would Be King, The",False
1975,1976,33,Best Original Score - Motion Picture,Charles Fox,"Other Side of the Mountain, The",False
1975,1976,33,Best Original Score - Motion Picture,Henry Mancini,"Return of the Pink Panther, The",False
1975,1976,33,Best Original Score - Motion Picture,"Fred Ebb, John Kander",Funny Lady,False
1975,1976,33,Best Original Song - Motion Picture,"I'm Easy, Keith Carradine",Nashville,True
1975,1976,33,Best Original Song - Motion Picture,"My Little Friend, Roy Budd, Sammy Cahn",Paper Tiger,False
1975,1976,33,Best Original Song - Motion Picture,"Now That We're In Love, George Barrie, Sammy Cahn",Whiffs,False
1975,1976,33,Best Original Song - Motion Picture,"Richard's Window, Charles Fox, Norman Gimbel","Other Side of the Mountain, The",False
1975,1976,33,Best Original Song - Motion Picture,"How Lucky Can You Get?, John Kander, Fred Ebb",Funny Lady,False
1975,1976,33,Best Television Series - Drama,Kojak,,True
1975,1976,33,Best Television Series - Drama,Baretta,,False
1975,1976,33,Best Television Series - Drama,Columbo,,False
1975,1976,33,Best Television Series - Drama,Petrocelli,,False
1975,1976,33,Best Television Series - Drama,Police Story,,False
1975,1976,33,Best Television Series - Musical or Comedy,Barney Miller,,True
1975,1976,33,Best Television Series - Musical or Comedy,"Carol Burnett Show, The",,False
1975,1976,33,Best Television Series - Musical or Comedy,Chico and The Man,,False
1975,1976,33,Best Television Series - Musical or Comedy,"Mary Tyler Moore Show, The",,False
1975,1976,33,Best Television Series - Musical or Comedy,All In The Family,,False
1975,1976,33,Best Performance by an Actress In A Television Series - Drama,Lee Remick,Jennie: Lady Randolph Churchill,True
1975,1976,33,Best Performance by an Actress In A Television Series - Drama,Angie Dickinson,Police Woman,False
1975,1976,33,Best Performance by an Actress In A Television Series - Drama,Rosemary Harris,Notorious Woman,False
1975,1976,33,Best Performance by an Actress In A Television Series - Drama,Michael Learned,"Waltons, The",False
1975,1976,33,Best Performance by an Actress In A Television Series - Drama,Lee Meriwether,Barnaby Jones,False
1975,1976,33,Best Performance by an Actor In A Television Series - Drama,Robert Blake,Baretta,True
1975,1976,33,Best Performance by an Actor In A Television Series - Drama,Telly Savalas,Kojak,True
1975,1976,33,Best Performance by an Actor In A Television Series - Drama,Peter Falk,Columbo,False
1975,1976,33,Best Performance by an Actor In A Television Series - Drama,Karl Malden,"Streets of San Francisco, The",False
1975,1976,33,Best Performance by an Actor In A Television Series - Drama,Barry Newman,Petrocelli,False
1975,1976,33,Best Performance by an Actress in a Television Series - Musical or Comedy,Cloris Leachman,Phyllis,True
1975,1976,33,Best Performance by an Actress in a Television Series - Musical or Comedy,Beatrice Arthur,Maude,False
1975,1976,33,Best Performance by an Actress in a Television Series - Musical or Comedy,Carol Burnett,"Carol Burnett Show, The",False
1975,1976,33,Best Performance by an Actress in a Television Series - Musical or Comedy,Valerie Harper,Rhoda,False
1975,1976,33,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary Tyler Moore,"Mary Tyler Moore Show, The",False
1975,1976,33,Best Performance by an Actor in a Television Series - Musical or Comedy,Alan Alda,M*A*S*H (TV Show),True
1975,1976,33,Best Performance by an Actor in a Television Series - Musical or Comedy,Redd Foxx,Sanford and Son,False
1975,1976,33,Best Performance by an Actor in a Television Series - Musical or Comedy,Hal Linden,Barney Miller,False
