game,platform,developer,genre,number_players,rating,release_date,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score
FIFA 15,XONE,EA Sports,Sports,,E,"Sep 23, 2014",27,6,0,21,26,45,82,54
Tales From The Borderlands: Episode 1 - Zer0 Sum,XONE,Telltale Games,Miscellaneous,,M,"Nov 26, 2014",7,1,0,7,3,0,82,82
Shantae and the Pirate's Curse,3DS,WayForward,Platformer,,T,"Oct 23, 2014",16,2,0,10,0,0,82,85
Sportsfriends,PS4,Die Gute Fabrik,Sports,,E10+,"May  6, 2014",17,4,0,4,2,2,82,63
Endless Legend,PC,Amplitude Studios,Strategy,Online Multiplayer,,"Apr 24, 2014",34,3,0,81,22,13,82,79
Kero Blaster,PC,Studio Pixel,General,No Online Multiplayer,,"May 11, 2014",13,0,1,3,0,0,82,73
The Wolf Among Us: Episode 3 - A Crooked Mile,PC,Telltale Games,Fantasy,,M,"Apr  8, 2014",31,7,0,21,2,1,82,86
Art of Balance,WIIU,Shin'en,Puzzle,,E,"Oct  9, 2014",8,1,0,4,1,0,82,85
NBA 2K15,XONE,Visual Concepts,Sports,Up to 10 ,E,"Oct  7, 2014",8,1,0,16,3,18,82,62
Child of Light,PS4,Ubisoft Montreal,Action,,E10+,"Apr 29, 2014",41,5,0,70,18,5,82,80
FIFA 15,PC,EA Sports,Sports,,E,"Sep 23, 2014",8,1,0,18,13,83,82,43
ETHER One,PC,White Paper Games,General,,E10+,"Mar 25, 2014",16,4,0,2,2,1,82,69
The Vanishing of Ethan Carter,PC,The Astronauts,Miscellaneous,No Online Multiplayer,M,"Sep 25, 2014",56,10,0,96,53,17,82,80
Soul Sacrifice Delta,VITA,SCE Japan Studio,Role-Playing,Up to 4 ,M,"May 13, 2014",23,1,0,22,2,0,82,85
Far Cry 4,XONE,Ubisoft Montreal,Action,Up to 10 ,M,"Nov 18, 2014",14,1,0,55,25,7,82,76
Age of Wonders III - Golden Realms,PC,Triumph Studios,Fantasy,,,"Sep 18, 2014",6,2,0,10,0,1,82,86
Dark Souls II: Crown of the Sunken King,PC,Namco Bandai Games,Role-Playing,,T,"Jul 22, 2014",17,2,0,9,9,4,82,74
Disgaea 4: A Promise Revisited,VITA,Nippon Ichi Software,Fantasy,No Online Multiplayer,T,"Aug 12, 2014",28,4,0,9,1,0,82,81
SteamWorld Dig,PS4,Image & Form,Action,,E10+,"Mar 18, 2014",15,3,0,17,8,3,82,73
Lethal League,PC,Reptile,Action,,,"Aug 27, 2014",9,2,0,8,2,0,82,77
Pro Evolution Soccer 2015,PC,Konami,Sports,,,"Nov 13, 2014",6,2,0,13,12,25,82,56
FIFA 15,PS4,EA Sports,Sports,Up to 22 ,E,"Sep 23, 2014",40,7,0,73,72,123,82,57
PixelJunk Shooter Ultimate,PS4,Double Eleven,Action,,E,"Jun  3, 2014",8,0,0,8,7,5,82,72
WildStar,PC,Carbine Studios,Sci-Fi,Online Multiplayer,T,"Jun  3, 2014",45,6,1,249,54,60,82,75
Broken Age: Act 1,PC,Double Fine Productions,General,No Online Multiplayer,,"Jan 28, 2014",54,10,0,48,11,13,82,77
Siesta Fiesta,3DS,Mojo Bones,Puzzle,,E,"Jul 24, 2014",14,2,0,1,0,0,81,74
Nidhogg,PC,Messhof,General,1-2 ,,"Jan 13, 2014",35,8,0,14,9,6,81,68
Kalimba,XONE,Press Play,Action,,E,"Dec 17, 2014",22,4,0,5,0,0,81,74
Madden NFL 15,PS4,EA Sports,Sports,,E,"Aug 26, 2014",34,3,0,32,23,19,81,61
Sunless Sea,PC,Failbetter Games,Sci-Fi,No Online Multiplayer,,"Jul  1, 2014",31,7,0,19,8,8,81,74
The Walking Dead: Season Two Episode 3 - In Harm's Way,PC,Telltale Games,General,,M,"May 13, 2014",32,7,0,27,10,2,81,83
Marvel Heroes 2015,PC,Gazillion,Role-Playing,,,"Jun  4, 2014",9,1,0,173,21,26,81,82
Wolfenstein: The New Order,PC,MachineGames,General,No Online Multiplayer,M,"May 19, 2014",20,3,0,277,60,46,81,82
Call of Duty: Advanced Warfare,XONE,Sledgehammer Games,Action,Up to 18 ,M,"Nov  3, 2014",45,8,0,118,62,96,81,55
Alien: Isolation,PC,Creative Assembly,Action Adventure,No Online Multiplayer,M,"Oct  6, 2014",32,9,0,328,53,37,81,84
Phoenix Wright: Ace Attorney Trilogy,3DS,NATSUME ATARI Inc.,Miscellaneous,,T,"Dec  9, 2014",29,5,0,11,2,1,81,85
Gunslugs,VITA,Abstraction Games,Action,,T,"Feb 18, 2014",8,0,0,1,0,2,81,72
Captain Toad: Treasure Tracker,WIIU,Nintendo EAD Tokyo ,Action,No Online Multiplayer,E,"Dec  5, 2014",67,11,0,70,6,3,81,86
Professor Layton and the Azran Legacy,3DS,Level 5,General,No Online Multiplayer,E10+,"Feb 28, 2014",48,10,0,9,2,1,81,81
Company of Heroes 2: Ardennes Assault,PC,"Relic, Sega, Relic Entertainment",Strategy,,M,"Nov 17, 2014",34,4,0,5,1,8,81,62
The Walking Dead: Season Two Episode 2 - A House Divided,PC,Telltale Games,General,,M,"Mar  4, 2014",31,9,0,37,10,6,81,85
Sunset Overdrive,XONE,Insomniac Games,General,Up to 8 ,M,"Oct 28, 2014",72,17,0,249,41,24,81,78
DG2: Defense Grid 2,PC,Hidden Path Entertainment,General,,,"Sep 23, 2014",19,2,0,10,5,7,81,68
Sid Meier's Civilization: Beyond Earth,PC,Firaxis Games,Strategy,,E10+,"Oct 23, 2014",65,12,1,69,113,141,81,55
Hatsune Miku: Project Diva f,VITA,Sega,Action,,T,"Mar  4, 2014",7,3,0,10,0,1,81,80
Wasteland 2,PC,InXile Entertainment,PC-style RPG,No Online Multiplayer,M,"Sep 18, 2014",53,12,0,169,53,51,81,73
Galactic Civilizations III,PC,Stardock,Strategy,Online Multiplayer,,"Mar 27, 2014",25,6,0,22,19,16,81,66
Valiant Hearts: The Great War,XONE,Ubisoft Montpellier,Platformer,,T,"Jun 25, 2014",12,4,0,30,5,1,81,81
Danganronpa 2: Goodbye Despair,VITA,Spike Chunsoft,Action,No Online Multiplayer,M,"Sep  2, 2014",44,6,0,14,1,0,81,88
Shadowrun: Dragonfall,PC,Harebrained Schemes LLC,General,,,"Feb 27, 2014",20,4,0,31,7,3,81,82
Hatsune Miku: Project Diva F 2nd,VITA,Sega,Action,,T,"Nov 18, 2014",7,1,0,7,1,0,81,85
Stick it to the Man!,WIIU,Zoink!,Action,,T,"May  1, 2014",10,1,0,4,2,0,81,75
Europa Universalis IV: Conquest of Paradise,PC,Paradox Development Studio,Strategy,,,"Jan 14, 2014",5,3,0,2,5,4,81,77
Company of Heroes 2: The Western Front Armies,PC,"Relic, Relic Entertainment",Strategy,,M,"Jun 23, 2014",26,3,0,19,3,4,80,69
Watch Dogs,PS4,Ubisoft Montreal,Modern,Up to 8 ,M,"May 27, 2014",64,16,0,380,233,162,80,64
Metal Gear Solid V: Ground Zeroes,PC,Kojima Productions,Action Adventure,No Online Multiplayer,M,"Dec 18, 2014",18,2,0,39,12,10,80,76
Trials Fusion,PC,RedLynx,Driving,,E10+,"Apr 16, 2014",11,1,0,5,6,7,80,69
Super Time Force,XONE,Capy Games,Action,,T,"May 14, 2014",30,6,0,7,3,1,80,66
The Banner Saga,PC,Stoic,Role-Playing,No Online Multiplayer,T,"Jan 14, 2014",59,15,0,89,42,28,80,80
Pix the Cat,PS4,Pasta Games,Action,,E,"Oct  7, 2014",10,2,0,8,7,4,80,60
Trials Fusion,XONE,RedLynx,Driving,,E10+,"Apr 16, 2014",24,4,0,22,9,9,80,71
Elite: Dangerous,PC,Frontier Developments,Sci-Fi,,T,"Dec 16, 2014",46,8,0,522,84,247,80,67
Game of Thrones: Episode One - Iron From Ice,XONE,Telltale Games,Action,,M,"Dec  3, 2014",11,3,0,12,2,2,80,79
The Sly Collection,VITA,Sanzaru Games,Miscellaneous,,E10+,"May 27, 2014",27,3,0,14,0,0,80,78
Danganronpa: Trigger Happy Havoc,VITA,Spike Chunsoft,Action Adventure,No Online Multiplayer,M,"Feb 11, 2014",48,6,1,24,7,1,80,87
Tales From The Borderlands: Episode 1 - Zer0 Sum,PS4,Telltale Games,Miscellaneous,,M,"Nov 25, 2014",12,3,0,11,3,2,80,79
Icewind Dale: Enhanced Edition,PC,"Black Isle Studios, Beamdog, Overhaul Games",Role-Playing,,,"Oct 30, 2014",11,2,0,13,3,1,80,73
Far Cry 4,PC,Ubisoft Montreal,Action,,M,"Nov 17, 2014",15,2,0,130,78,66,80,68
Super Time Force Ultra,PC,Capy Games,Action,No Online Multiplayer,,"Aug 25, 2014",8,1,0,6,0,0,80,65
Star Wars Pinball: Heroes Within,PS4,Zen Studios,Action,,E10+,"Apr 29, 2014",7,2,0,3,0,1,80,52
Luftrausers,PC,Vlambeer,General,,E,"Mar 18, 2014",35,10,0,5,7,0,80,68
Kirby: Triple Deluxe,3DS,HAL Labs,General,No Online Multiplayer,E,"May  2, 2014",54,14,0,54,5,0,80,87
Age of Wonders III,PC,Triumph Studios,Strategy,,T,"Mar 31, 2014",29,6,0,90,21,13,80,80
inFamous: Second Son,PS4,Sucker Punch,Sci-Fi,No Online Multiplayer,T,"Mar 21, 2014",69,20,1,501,131,43,80,80
Madden NFL 15,XONE,EA Sports,Sports,,E,"Aug 26, 2014",16,3,0,19,12,10,80,62
Football Manager 2015,PC,Sports Interactive,Sports,,,"Nov  7, 2014",28,8,0,8,11,19,80,61
BioShock Infinite: Burial at Sea - Episode Two,PC,Irrational Games,Shooter,,M,"Mar 25, 2014",25,8,1,46,13,7,80,85
ArcheAge,PC,XLGAMES,Role-Playing,,M,"Sep 16, 2014",9,2,0,101,34,292,80,37
Pushmo World,WIIU,Intelligent Systems,Miscellaneous,,E,"Jun 19, 2014",30,7,0,6,0,0,80,80
Wolfenstein: The New Order,PS4,MachineGames,General,,M,"May 20, 2014",60,13,0,215,31,16,79,81
Dungeon of the Endless,PC,Amplitude Studios,Strategy,Online Multiplayer,,"Oct 27, 2014",22,7,0,23,8,4,79,77
The Evil Within,XONE,Tango Gameworks,Horror,,M,"Oct 14, 2014",15,8,1,53,16,17,79,74
Valiant Hearts: The Great War,PC,Ubisoft Montpellier,Platformer,No Online Multiplayer,T,"Jun 25, 2014",21,7,0,67,12,4,79,86
Geometry Wars 3: Dimensions,PC,Lucid Games,Action,,E,"Nov 25, 2014",7,2,0,2,2,0,79,62
LittleBigPlanet 3,PS4,Sumo Digital,Action,Up to 4 ,E,"Nov 18, 2014",54,24,0,75,31,17,79,72
Alien: Isolation,PS4,Creative Assembly,Action Adventure,No Online Multiplayer,M,"Oct  7, 2014",39,10,1,190,35,14,79,82
Professor Layton VS Phoenix Wright Ace Attorney,3DS,Level 5,General,No Online Multiplayer,T,"Aug 29, 2014",55,13,1,13,6,0,79,83
Trials Fusion,PS4,RedLynx,Driving,Up to 4 ,E10+,"Apr 15, 2014",41,9,1,22,17,12,79,71
Resident Evil 4: Ultimate HD Edition,PC,"Capcom, QLOC",Action Adventure,No Online Multiplayer,M,"Feb 27, 2014",25,8,0,27,9,8,79,81
OlliOlli,VITA,Tom Hegarty,Sports,,E,"Jan 21, 2014",45,9,1,5,4,0,79,78
The Last Door,PC,The Game Kitchen,Adventure,,,"May 20, 2014",8,2,0,6,1,0,79,76
Teslagrad,WIIU,Rain Games,Action,,E,"Sep 11, 2014",11,4,0,3,3,0,79,81
Wolfenstein: The New Order,XONE,MachineGames,General,No Online Multiplayer,M,"May 20, 2014",15,3,0,77,13,3,79,78
Pro Evolution Soccer 2015,XONE,Konami,Action,Up to 22 ,E,"Nov 11, 2014",6,3,0,8,3,2,79,68
Scram Kitty and His Buddy on Rails,WIIU,Dakko Dakko,General,,E,"May 15, 2014",17,8,0,4,2,1,79,77
Atelier Rorona Plus: The Alchemist of Arland,VITA,Gust,Role-Playing,,T,"Jul 22, 2014",8,4,0,4,2,1,79,79
Dark Souls II: Crown of the Old Iron King,PC,From Software,Role-Playing,,,"Aug 26, 2014",12,3,0,5,3,2,79,76
DG2: Defense Grid 2,XONE,Hidden Path Entertainment,Strategy,,E10+,"Sep 24, 2014",5,3,0,2,2,1,78,70
The Journey Down: Chapter Two,PC,SkyGoblin,Adventure,No Online Multiplayer,,"Aug 25, 2014",9,2,0,1,1,1,78,71
Alien: Isolation,XONE,Creative Assembly,Action Adventure,,M,"Oct  7, 2014",18,6,0,66,12,5,78,79
The Walking Dead: Season Two Episode 5 - No Going Back,PC,Telltale Games,General,,M,"Aug 26, 2014",27,13,0,45,6,3,78,84
Call of Duty: Advanced Warfare,PC,Sledgehammer Games,Action,,M,"Nov  3, 2014",15,2,1,69,42,151,78,46
1001 Spikes,PS4,Nicalis,Action,,T,"Jun  3, 2014",6,2,0,1,1,0,78,66
Swords & Soldiers HD,WIIU,Two Tribes,Strategy,,T,"May 22, 2014",9,2,0,0,2,0,78,64
LISA,PC,Dingaling,Action,No Online Multiplayer,M,"Dec 15, 2014",5,2,0,19,2,0,78,87
OlliOlli,PC,Tom Hegarty,Sports,,E,"Jul 22, 2014",8,4,0,2,2,1,78,65
Strider,PC,Double Helix Games,Action Adventure,No Online Multiplayer,E10+,"Feb 19, 2014",6,4,0,15,4,0,78,75
Mario Golf: World Tour,3DS,Camelot Software Planning,Sports,Up to 4 ,E,"May  2, 2014",56,17,0,17,4,0,78,81
Don't Starve: Console Edition,PS4,Klei Entertainment,Action Adventure,,T,"Jan  7, 2014",26,10,0,40,15,16,78,71
Watch Dogs,XONE,Ubisoft Montreal,Action Adventure,Up to 8 ,M,"May 27, 2014",11,4,0,82,62,32,78,59
So Many Me,PC,Extend Interactive,Miscellaneous,No Online Multiplayer,RP,"Jul 17, 2014",6,1,0,6,0,0,78,71
Skylanders Trap Team,XONE,Toys for Bob,Action,,E10+,"Oct  5, 2014",18,4,0,3,0,0,78,71
GRID Autosport,PC,Codemasters,Driving,,E,"Jun 26, 2014",24,11,0,25,15,26,78,63
The Walking Dead: Season Two Episode 4 - Amid the Ruins,PC,Telltale Games,General,,M,"Jul 22, 2014",28,11,0,15,5,0,78,81
Hearthstone: Heroes of Warcraft - Curse of Naxxramas,PC,Blizzard Entertainment,Strategy,,,"Jul 22, 2014",9,3,0,2,2,3,78,65
Skylanders Trap Team,PS4,Toys for Bob,Action,,E10+,"Oct  5, 2014",34,12,0,4,1,2,78,56
Plants vs Zombies: Garden Warfare,PC,PopCap,General,,E10+,"Jun 24, 2014",9,2,0,21,8,10,78,77
Wargame: Red Dragon,PC,Eugen Systems,Strategy,,,"Apr 17, 2014",15,3,1,27,5,10,78,79
Inazuma Eleven,3DS,Level 5,Sports,,E10+,"Feb 13, 2014",8,7,0,3,0,0,78,79
Joe Dever's Lone Wolf HD Remastered,PC,Forge Reply,Action,No Online Multiplayer,,"Nov 27, 2014",11,2,0,3,2,2,78,68
Five Nights at Freddy's,PC,animdude,Action Adventure,No Online Multiplayer,,"Aug  8, 2014",5,3,0,76,31,42,78,71
Outlast,PS4,Red Barrels,Horror,,M,"Feb  4, 2014",24,9,0,96,26,4,78,78
Game of Thrones: Episode One - Iron From Ice,PS4,Telltale Games,Action,,M,"Dec  2, 2014",13,5,0,14,7,1,77,73
Sherlock Holmes: Crimes & Punishments,PC,Frogwares,Adventure,No Online Multiplayer,M,"Sep 29, 2014",20,12,0,21,6,1,77,77
Valiant Hearts: The Great War,PS4,Ubisoft Montpellier,Platformer,,T,"Jun 24, 2014",33,15,0,84,11,3,77,83
Mini Metro,PC,Dinosaur Polo Club,Strategy,No Online Multiplayer,,"Aug 11, 2014",6,2,0,9,5,0,77,77
The Incredible Adventures of Van Helsing II,PC,NeocoreGames,Role-Playing,,T,"Jun 13, 2014",24,12,0,25,13,10,77,76
Azure Striker Gunvolt,3DS,Inti Creates,Action,,E10+,"Aug 29, 2014",16,4,0,7,0,2,77,81
Surge Deluxe,VITA,FuturLab,Miscellaneous,,E,"Feb  4, 2014",13,5,0,1,1,1,77,70
NEO Scavenger,PC,Blue Bottle Games,Sci-Fi,,,"Dec 15, 2014",5,2,0,14,1,3,77,77
Child of Light,PC,Ubisoft Montreal,Action,No Online Multiplayer,E10+,"Apr 29, 2014",11,5,0,60,21,10,77,81
Watch Dogs,PC,Ubisoft Montreal,Miscellaneous,,M,"May 26, 2014",10,8,0,218,176,422,77,48
Tappingo 2,3DS,Goodbye Galaxy Games,Miscellaneous,,E,"Sep  4, 2014",3,4,0,0,0,0,77,74
Fantasia: Music Evolved,XONE,Harmonix Music Systems,Music,,E10+,"Oct 21, 2014",34,14,0,12,0,0,77,74
Strider,PS4,Double Helix Games,Fantasy,,E10+,"Feb 18, 2014",24,14,0,19,12,3,77,71
Sleeping Dogs: Definitive Edition,PS4,United Front Games,Action Adventure,,M,"Oct 14, 2014",22,12,0,27,15,8,77,73
The Keep,3DS,Cinemax,Role-Playing,,T,"Sep 11, 2014",6,3,0,4,1,0,77,79
Warriors Orochi 3 Ultimate,PS4,Omega Force,Action,2 ,T,"Sep  2, 2014",17,5,0,4,1,0,77,66
Tetrobot and Co.,WIIU,Swing Swing Submarine,Puzzle,,E,"Oct 30, 2014",6,2,0,1,0,0,77,85
DG2: Defense Grid 2,PS4,Hidden Path Entertainment,Strategy,2 ,E10+,"Sep 23, 2014",7,2,0,2,2,0,77,73
D4: Dark Dreams Don't Die,XONE,Access Games,Action,,M,"Sep 19, 2014",30,13,0,37,11,7,76,72
War Thunder,PS4,Gaijin Entertainment,Action,Up to 32 ,T,"Jun  3, 2014",11,6,0,24,12,32,76,59
Destiny,PS4,"Bungie Software, Bungie",Shooter,Up to 16 ,T,"Sep  9, 2014",60,34,1,775,498,553,76,61
Chariot,PS4,Frima Studio,Action,,E,"Sep 30, 2014",7,3,0,2,3,0,76,72
GoD Factory: Wingmen,PC,Nine Dots Studio,Simulation,,T,"Aug 29, 2014",8,3,0,0,0,0,76,66
Escape Goat 2,PC,MagicalTimeBean,Action,No Online Multiplayer,,"Mar 24, 2014",7,4,0,2,0,0,76,75
Pokemon Art Academy,3DS,Headstrong Games,Miscellaneous,,E,"Oct 24, 2014",15,7,0,3,1,0,76,78
Strider,XONE,Double Helix Games,Fantasy,,E10+,"Feb 19, 2014",16,10,0,9,3,1,76,70
Race the Sun,PS4,Flippfly,Action,,E,"Oct 21, 2014",5,3,1,6,9,1,76,61
The Fall,PC,Over The Moon,Action,No Online Multiplayer,,"May 30, 2014",12,5,0,9,6,4,76,72
Plants vs Zombies: Garden Warfare,XONE,PopCap,General,,E10+,"Feb 25, 2014",44,21,0,85,11,6,76,75
Samurai Warriors 4,PS4,Omega Force,Action,2 ,T,"Oct 21, 2014",18,13,0,12,1,0,76,76
The Wolf Among Us: Episode 2 - Smoke and Mirrors,PC,Telltale Games,Fantasy,,M,"Feb  4, 2014",26,17,0,32,9,2,76,83
Tower of Guns,PC,Terrible Posture Games,Action,,E10+,"Mar  4, 2014",11,5,0,5,2,1,76,72
Ratchet & Clank Collection,VITA,Mass Media,Miscellaneous,,E10+,"Jul 29, 2014",14,8,1,14,5,2,76,79
Broken Age,PC,Double Fine Productions,Third-Person,,E10+,"Jan 28, 2014",12,7,0,3,7,3,76,69
The Lost Chronicles of Zerzura,PC,Cranberry Production,Adventure,,,"Jul 10, 2014",7,1,1,0,0,0,76,69
Hyrule Warriors,WIIU,Omega Force,Action,No Online Multiplayer,T,"Sep 26, 2014",52,27,2,152,28,9,76,83
Lone Survivor: The Director's Cut,WIIU,"Curve Studios, superflat games",Action Adventure,,T,"Oct 16, 2014",5,2,0,0,0,0,76,80
XType Plus,WIIU,PhobosLab,Action,,E,"Aug 14, 2014",5,2,0,2,2,0,76,82
Metal Gear Solid V: Ground Zeroes,XONE,Kojima Productions,Action Adventure,,M,"Mar 18, 2014",8,5,0,15,15,24,76,55
Tales of Hearts R,VITA,7thChord,Role-Playing,,T,"Nov 11, 2014",23,12,0,13,5,0,76,81
Watch Dogs: Bad Blood,PS4,Ubisoft Montreal,Action Adventure,,M,"Sep 30, 2014",6,3,0,5,1,1,76,73
Borderlands: The Pre-Sequel,PC,2K Australia,Action,,M,"Oct 13, 2014",37,18,0,70,79,57,75,63
Pure Pool,PS4,VooFoo Studios,Alternative,2 ,E,"Jul 29, 2014",10,4,0,13,6,3,75,71
Plants vs Zombies: Garden Warfare,PS4,PopCap,Action,Up to 24 ,E10+,"Aug 19, 2014",16,6,1,37,5,5,75,75
Infested Planet,PC,Rocket Bear Games,Strategy,No Online Multiplayer,,"Mar  6, 2014",7,6,0,8,3,1,75,77
Hohokum,PS4,Honeyslug Ltd,General,,E10+,"Aug 12, 2014",29,28,0,3,3,3,75,63
Metal Gear Solid V: Ground Zeroes,PS4,Kojima Productions,Action Adventure,No Online Multiplayer,M,"Mar 18, 2014",40,30,0,136,92,78,75,63
Tropico 5,PC,"Haemimont, Haemimont Games",Tycoon,,T,"May 23, 2014",31,19,1,27,24,26,75,70
Jazzpunk,PC,Necrophone,General,,,"Feb  7, 2014",25,17,1,20,9,2,75,77
MIND: Path to Thalamus,PC,Carlos Coronado,Action,No Online Multiplayer,,"Aug  5, 2014",11,7,0,15,9,5,75,68
Inazuma Eleven Go: Shadow,3DS,Level 5,Sports,,,"Jun 13, 2014",9,5,0,1,0,0,75,71
Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha,XONE,Capcom Vancouver,Action,,M,"Jun  9, 2014",7,6,0,3,0,1,75,62
Gravity Crash Ultra,VITA,Just Add Water,Action,,E,"Aug 12, 2014",4,3,0,0,0,0,75,71
FRACT OSC,PC,Phosfiend Systems,Miscellaneous,,,"Apr 22, 2014",15,10,0,1,2,1,75,61
Destiny,XONE,"Bungie Software, Bungie",Shooter,Up to 16 ,T,"Sep  9, 2014",7,4,0,246,182,204,75,55
The Denpa Men 3: The Rise of Digitoll,3DS,Genius Sonority Inc.,Role-Playing,,E,"May  8, 2014",9,2,2,3,0,0,75,77
Stick it to the Man!,PS4,Zoink!,Action,,T,"May  6, 2014",9,3,0,16,14,10,75,67
The Evil Within,PS4,Tango Gameworks,Horror,No Online Multiplayer,M,"Oct 14, 2014",42,22,1,208,70,68,75,75
Roundabout,PC,No Goblin,Driving,No Online Multiplayer,M,"Sep 18, 2014",7,1,1,2,0,0,75,77
Fenix Rage,PC,Green Lava Studios,Action,No Online Multiplayer,,"Sep 24, 2014",11,9,0,1,2,1,75,69
Sleeping Dogs: Definitive Edition,XONE,United Front Games,Action Adventure,,M,"Oct 14, 2014",11,7,0,10,4,2,75,78
The Wolf Among Us: Episode 4 - In Sheep's Clothing,PC,Telltale Games,Fantasy,,M,"May 27, 2014",16,13,0,16,3,2,75,82
Road Not Taken,PC,Spry Fox,Miscellaneous,No Online Multiplayer,E,"Aug  5, 2014",9,11,0,2,1,1,75,65
Game of Thrones: Episode One - Iron From Ice,PC,Telltale Games,Action,,M,"Dec  2, 2014",28,13,3,26,17,13,75,73
Anomaly 2,PS4,11 bit studios,Strategy,,T,"Sep 16, 2014",8,7,0,0,0,1,74,69
Lara Croft and the Temple of Osiris,PS4,Nixxes Software,Action,Up to 4 ,T,"Dec  9, 2014",24,16,0,8,11,4,74,66
Dead Nation: Apocalypse Edition,PS4,Sony Interactive Entertainment,Action,,M,"Mar  4, 2014",19,10,0,25,17,6,74,71
Inazuma Eleven Go: Light,3DS,Level 5,Sports,,,"Jun 13, 2014",11,8,0,2,0,0,74,76
Awesomenauts Assemble!,PS4,"Abstraction Games, Ronimo Games",Strategy,Up to 6 ,T,"Mar  4, 2014",4,3,0,7,5,2,74,70
Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,PC,Pinkerton Road Studio,Adventure,,,"Oct 15, 2014",21,16,1,10,6,0,74,77
CastleStorm: Definitive Edition,PS4,Zen Studios,Strategy,2 ,T,"Sep 23, 2014",8,4,0,0,2,0,74,58
Shadows: Heretic Kingdoms,PC,Games Farm,Role-Playing,No Online Multiplayer,,"Jun 13, 2014",7,8,0,7,2,2,74,71
Dance Central Spotlight,XONE,Harmonix Music Systems,Action,,T,"Sep  2, 2014",9,10,0,5,4,2,74,67
Paper Monsters Recut,WIIU,Mobot Studios LLC,Action,,E,"Oct 16, 2014",4,2,1,0,1,0,74,80
Costume Quest 2,PS4,Double Fine Productions,Role-Playing,,E10+,"Oct 28, 2014",3,4,0,1,4,1,74,66
IL-2 Sturmovik: Battle of Stalingrad,PC,1C Game Studios,WWI,,T,"Aug 14, 2014",3,4,0,84,23,64,74,60
Cloud Chamber,PC,Investigate North Aps,Role-Playing,Massively Multiplayer,,"Aug  7, 2014",6,3,0,17,0,1,74,73
Yumi's Odd Odyssey,3DS,Studio Saizensen,Platformer,,E,"Mar 20, 2014",5,8,0,3,0,2,74,77
Shadow Warrior,XONE,Flying Wild Hog,Action,,M,"Oct 21, 2014",10,4,0,6,4,2,74,76
LEGO Batman 3: Beyond Gotham,XONE,TT Games,Action Adventure,,E10+,"Nov 11, 2014",15,10,0,4,3,2,74,70
Sherlock Holmes: Crimes & Punishments,PS4,Frogwares,Adventure,,M,"Sep 30, 2014",20,16,0,22,6,3,73,72
Life Goes On,PC,Infinite Monkeys,Platformer,No Online Multiplayer,,"Apr 17, 2014",10,7,0,2,2,0,73,72
Another World: 20th Anniversary Edition,WIIU,The Digital Lounge,Action,,T,"Jun 19, 2014",3,4,0,2,0,0,73,72
Project Spark,XONE,Microsoft Game Studios,General,,E10+,"Mar  4, 2014",17,9,0,15,9,6,73,69
Scrolls,PC,Mojang AB,Action,,,"Dec 12, 2014",8,6,0,11,3,3,73,75
Titanfall: Expedition,XONE,Respawn Entertainment,Action,,M,"May 15, 2014",6,4,0,5,12,4,73,47
Outlast: Whistleblower,PC,,Action Adventure,,M,"May  6, 2014",6,6,0,20,5,3,73,79
NES Remix 2,WIIU,Indies Zero ,Miscellaneous,,E,"Apr 25, 2014",20,16,0,3,0,1,73,80
Chariot,XONE,Frima Studio,Action,,E,"Oct  1, 2014",9,5,0,8,3,0,73,76
Space Run,PC,Passtech Games,Strategy,,,"Jun 13, 2014",8,9,0,12,6,1,73,76
Xeodrifter,3DS,Renegade Kid,Action,,E,"Dec 11, 2014",9,7,1,1,0,0,73,71
King's Bounty: Dark Side,PC,1C-Softclub,Strategy,No Online Multiplayer,,"May 16, 2014",6,7,0,5,3,5,73,63
Cosmophony,WIIU,Moving Player,Action,,E,"Oct 30, 2014",5,2,1,0,0,0,73,70
Fantasy Life,3DS,"Level 5, Brownie Brown",Role-Playing,No Online Multiplayer,E10+,"Oct 24, 2014",33,17,1,61,8,4,73,84
Never Alone,PS4,Upper One Games,Action,,E10+,"Nov 18, 2014",13,11,1,14,26,5,73,66
Freedom Wars,VITA,"Dimps Corporation, SCE Japan Studio",Role-Playing,,T,"Oct 28, 2014",24,15,0,39,10,7,73,83
MotoGP 14,PS4,Milestone S.r.l,Driving,,E,"Nov  4, 2014",16,12,0,1,1,0,73,65
Futuridium EP Deluxe,PS4,MixedBag Srl,Action,,E,"Sep 30, 2014",11,6,1,6,3,4,73,56
Hack 'n' Slash,PC,Double Fine Productions,Action,No Online Multiplayer,,"Sep  9, 2014",8,6,0,2,2,5,73,53
Lara Croft and the Temple of Osiris,PC,Nixxes Software,Action,,T,"Dec  8, 2014",8,9,0,2,3,2,73,56
Lords of the Fallen,PC,"City Interactive, Deck 13",Role-Playing,No Online Multiplayer,M,"Oct 28, 2014",14,22,0,66,32,34,73,69
LEGO Batman 3: Beyond Gotham,PS4,TT Games,Action Adventure,No Online Multiplayer,E10+,"Nov 11, 2014",20,23,0,10,4,4,73,69
Strike Vector,PC,"Strike Vector Team, Ragequit Corporation",General,,,"Jan 28, 2014",11,11,0,14,0,2,73,77
