Name,Origin,Description
Marry girl cake,China,"Also known as ""Dowry cake,"" a traditional Chinese pastry that was once a ceremonial cake used as wedding gifts in the traditional Chinese wedding ceremony, hence the name. Today, this cake is known more as a classic Chinese pastry rather than a wedding gift because it has lost most of its original significance due to cultural change. Essentially a lightly sweetened sponge cake that may take any number of shapes or appearances, and is considered large compared to the size of most pastries."
Masan,Tibet,"A pastry in Tibetan cuisine made with tsampa, dry cubic or curd cheese, yak butter, brown sugar and water."
Mazarin,Sweden,A Swedish shortcrust pastry filled with almond paste and glazed with icing. The pastry is presumed to be named after Cardinal Mazarin.
Miguelitos,"Spain (La Roda, Castile-La Mancha)","Pastry-cake prepared from soft puff pastry, filled with a creamy custard and covered with powdered sugar."
Milhoja,Argentina,"A dessert made with stacked layers of puff pastry filled with dulce de leche; a creamy mix of condensed milk, sugar, and vanilla; or sometimes white chocolate. In Argentina it's filled with Dulce de leche and topped with Italian merengue"
Milk-cream strudel,Central Europe,"A traditional Viennese strudel, a popular pastry in Austria and in many countries in Europe that once belonged to the Austro-Hungarian empire (1867–1918). The milk-cream strudel is an oven-baked pastry dough stuffed with a sweet bread, raisin and cream filling and served in the pan with hot vanilla sauce."
Mille-feuille,France,"The mille-feuille (French pronunciation: ​[mil fœj], ""thousand sheets""), vanilla slice, cream slice, custard slice, also known as the Napoleon or kremschnitt, is a pastry originating in France. Traditionally, a mille-feuille is made up of three layers of puff pastry (pâte feuilletée), alternating with two layers of pastry cream (crème pâtissière), but sometimes whipped cream, or jam are substituted. The top pastry layer is dusted with confectioner's sugar, and sometimes cocoa, or pulverized nuts (e.g. roasted almonds). Alternatively the top is glazed with icing or fondant in alternating white (icing) and brown (chocolate) stripes, and combed."
Mooncake,China,"A Chinese bakery product traditionally eaten during the Mid-Autumn Festival / Zhongqiu Festival. The festival is for lunar worship and moon watching, when mooncakes are regarded as an indispensable delicacy. Typically round or rectangular pastries. A rich thick filling usually made from red bean or lotus seed paste is surrounded by a thin (2–3 mm) crust and may contain yolks from salted duck eggs. Mooncakes are usually eaten in small wedges accompanied by Chinese tea."
Moorkop,Netherlands,"Consists of a profiterole (cream puff) filled with whipped cream. The top of the profiterole is glazed with white or dark chocolate. Often there is whipped cream on the top, with a slice of tangerine or a piece of pineapple."
Muskazine,Austria,"A rich Austrian cake made from almonds, spices, sugar, flour, eggs and jam. It is traditionally eaten at Christmas time, often accompanying a glass of sweet dessert wine."
Nazook,Armenia,"Also spelled nazouk or nazuk, it is a crisp, but soft, and buttery, sweet, but not too sweet, pastry made with flour, butter, sugar, sour cream, yeast, vanilla extract and eggs for the wash. After the dough is made, it is refrigerated, then rolled out flat, covered in a spread made of flour, sugar, vanilla and butter, kind of like a streusel topping, rolled up into a long skinny loaf shape. The strip is washed with egg wash, cut into sections and then baked."
Nun's puffs,France,"Made from butter, milk, flour, sugar, eggs and sometimes honey, recipes call for pan frying (traditionally in lard), re-frying and then baking, or baking straight away."
Nunt,Jewish,"A pastry originating from Jewish cuisine and vaguely resembles nougat. The pastry is predominantly served at the Jewish celebration of Purim, where self-made sweets are customarily given to neighbours and friends. Nunt is traditionally made from dark forest honey, which is cooked along with sugar and then mixed with coarsely cut walnuts. The result is placed on a smooth, wet board or an oiled marble plate, left to cool, and then cut into small rhombic-shaped pieces."
Öçpoçmaq,Russia (Tatar),"Sometimes known as treugolnik (треугольник) among the Russian population, a Tatar national dish, and an essential food in Tatar culture. Usually, öçpoçmaq is a triangular pastry, filled with minced beef, onion and potatoes. Öçpoçmaq is eaten with bouillon or with tea."
Ox-tongue pastry,China,"A Chinese fried dough food that is elliptical in shape and resembles an ox tongue. The pastry texture is chewy, with a soft interior and a crunchy crust."
Pain au chocolat,France,"""Chocolate bread"", also called a chocolatine in southern France and in French Canada, is a French pastry consisting of a cuboid-shaped piece of yeast-leavened laminated dough, similar to puff pastry, with one or two pieces of chocolate in the centre."
Pain aux raisins,France,"Typically a variant on the croissant or pain au chocolat, made with a leavened butter pastry, with raisins added, shaped in a spiral with a crème pâtissière filling. Known in Australia as an ""escargot"", a member of the pâtisserie viennoise family of baked foods."
Palmier,"France, French Algeria","A ""palm tree"" (French: palmier), ""pig's ear"" or ""elephant ear"" palmiers are a German, Spanish, French, Italian, Jewish, and Portuguese pastry (among other cuisines, like those of the former Spanish colonies in the Americas) formed in a palm or butterfly shape. Made using puff pastry, sugar and sometimes honey."
Pannekoek,United States by German Americans,"A style of pancake with origins in the Netherlands. Pannenkoeken are usually larger (up to a foot in diameter) and much thinner than their American or Scotch pancake counterparts, but not as thin as Crêpes."
Pan dulce,Latin America,"(literally ""sweet bread""), pan dulce is one of a common treat in Mexico and other Latin American countries."
Panzarotti,Italy (central and southern),"Filled, savory pastries, different forms of which are popular in Italy, Canada, and the United States. Panzerotti originated in central and southern Italy, especially in Apulia. They are small versions of the calzone or closed pizza, but produced with a softer dough. The most common fillings are tomato and mozzarella, but spinach, mushrooms, baby corn, and ham are often used. The dish has many variations."
Papanași,Romania,"A Papanași is a Romanian traditional fried pastry resembling a small sphere, usually filled with a soft cheese such as urdă and cherry or morello jam. Pictured is Papanași with sour cherries (morello) and powdered sugar."
Paper wrapped cake,Hong Kong,"Chinese pastry, one of the most standard pastries served in Hong Kong. It can also be found in most Chinatown bakery shops overseas. In essence, it is a chiffon cake baked in a paper cup."
Paris–Brest,France,"Made of choux pastry and a praline flavoured cream. It was created in 1891 to commemorate the Paris–Brest–Paris bicycle race. Its circular shape is representative of a wheel. It became popular with riders on the Paris–Brest cycle race, partly because of its energy-giving high calorific value, and is now found in pâtisseries all over France [1]."
Paste,Mexico,"Small pastry produced in central Mexico. Unlike empanadas, the filling ingredients for pastes are not cooked before they are wrapped in the pastry casing. Pastes use a firm and thin layer of dough."
Pastel,Latin America,"A name given to different typical dishes of many countries of Hispanic or Portuguese origin. For example, In Brazil, a pastel is a typical fast food Brazilian dish, consisting of thin pastry envelopes wrapped around assorted fillings, then deep fried in vegetable oil. Pictured is a Brazilian pastel."
Pastizz,Malta,"A savory pastry from Malta, pastizzi usually have a filling either of ricotta or of mushy peas, and are called pastizzi tal-irkotta, ""cheesecakes"", or pastizzi tal-piżelli, ""peacakes"", accordingly. Pastizzi are a popular and well-known Maltese food. Pictured are two varieties of Maltese pastizzi."
Pastry heart,"United States (Buffalo, New York area)","A regional dessert item found in the Buffalo, New York area. The pastry heart is a heart shaped flaky puff pastry, similar to a palmier or palm leaves pastry, that is usually topped with a white sugar icing that has a hard shell but is soft on the inside."
Pâté Chaud,Vietnam,"A puff pastry in Vietnamese cuisine, its name means ""hot pie"" in French. The pastry is made of a light layered and flaky exterior with a meat filling. Traditionally, the filling consists of a pork meat, but today, chicken and beef are commonly used."
Paxlava,Azerbaijan,"""Paxlava"" is traditional Azerbaijani pastry consist of different thin layers and poured bu sherbet (sweet water). Also contains nuts and walnuts."
Pecan pie,United States (southern),"Pecan pie is primarily composed of corn syrup or molasses and pecans, in a pastry pie crust. Tradition holds that the French invented pecan pie soon after settling in New Orleans, after being introduced to the nut by Native Americans. Attempts to trace the dish's origin, however, have not found any recipes dated earlier than 1897, and well-known cookbooks such as Fannie Farmer and The Joy of Cooking did not include it before 1940. The makers of Karo syrup popularized the dish and many of its recipes."
Filo,"Middle East, Balkans","Paper-thin sheets of unleavened flour dough used for making pastries. filo is often used in Middle Eastern and Balkan cuisine. Pictured is Baklava made with the dough. An early, thick form of filo appears to be of Central Asian Turkic origin. May also be spelt as ""Filo pastry""; this is quite a common spelling for this form of pastry in the United Kingdom."
Pie,,"A pie is a baked dish which is usually made of a pastry dough casing that covers or completely contains a filling of various sweet or savory ingredients. Pictured is a homemade meat pie. For an extensive list of pies, see: List of pies, tarts and flans."
Pineapple bun,Hong Kong,"A sweet pastry popular in Hong Kong, Macau, and some other areas in southern China including Guangzhou and Shenzen, and also in various Chinese communities around the world. The top of the pineapple bun (shaped to resemble a pineapple) is made of a dough similar to that used to make sugar cookies, which consists of sugar, eggs, flour, and lard. As such, it is crunchy and is quite sweet compared to the bread underneath. The bread dough underneath is the same used in Chinese style Western breads, which is a softer and sweeter dough compared to Western breads. Usually contains no actual pineapple."
Pineapple cake,Taiwan,"Pineapple cake is a sweet traditional Taiwanese pastry containing butter, flour, egg, sugar, and pineapple jam or pineapple slices."
Pionono,Hispanic,"May refer to several varieties of pastry popular in Spain, Latin America and The Philippines. Pictured are pionono in Málaga, Spain."
Pithivier,France (probably Pithiviers),"(Pithiviers in French) is a round, enclosed pie usually made by baking two disks of puff pastry, with filling stuffed in between. It has the appearance of a hump and is traditionally decorated with spiral lines drawn from the top outwards with the point of a knife, and scalloping the edge. The filling is always placed as a lump in the middle of the bottom dough layer, rather than spread on it, because it would then liquefy and leak during baking. The pie is traditionally finished with a distinct shine to the top of the crust, by egg-washing beforehand, or by caramelising a dusting of confectioner's sugar at the end of baking, or both. Whilst the filling of the Pithivier is often a sweet frangipane of almond paste, (optionally combined with fruit such as cherry or plum), savory pies with a meat or cheese filling can also be termed as a Pithivier."
Plăcintă,Romania,"Plăcintă is a Romanian traditional pastry resembling a thin, small round or square-shaped cake, usually filled with a soft cheese such as Urdă or apples."
Poffertjes (Dutch) Æbleskiver (Danish),Northern Europe,"A style of pancake with origins in the Northern Europe. They are much smaller and thicker than their American or Scotch pancake or as French Crêpes. They can be leavened by yeast, egg white, or a chemical agent like baking powder."
Pogača,Balkans,"Puff pastry eaten in Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Montenegro, North Macedonia, Serbia, Slovenia, Hungary (see pogácsa) and Turkey (where it is called poğaça) with variations. It is called pogatschen in Austria. Pogača is sometimes served hot as an appetizer instead of bread. Hot pogača filled with sour cream (or feta cheese in Turkey and Bulgaria) is considered a particularly delicious specialty."
Poppy seed roll,Central Europe,"Roll of sweet yeast bread (a viennoiserie) with a dense, rich, bittersweet filling of poppy seed. A popular cuisine in parts of Central Europe, Eastern Europe and in Israel. An alternative filling is a paste of minced walnuts, making it a walnut roll."
Pot pie,United States,"Baked savory pie with a bottom and top completely encased by flaky crusts and baked inside a pie tin to support its shape. This is in contrast to the Australian meat pie and many British regional variants on pie recipes, which may have a top of flaky pastry, but whose body is made from heavier, more mechanically stable shortcrust, hot water crust or similar pastry. The pot pie is a variation of the pasty. Many varieties of pot pies exist."
Prekmurska gibanica,Slovenia,"Gibanica or layered cake that includes a thinly-rolled pastry dough in its preparation. It originated in the region of Prekmurje, Slovenia. It contains poppy seeds, walnuts, apples, raisins, and ricotta fillings. Although native to Prekmurje, it has achieved the status of a national speciality of Slovenia. It is also popular in northern Croatia."
Pretzel,Europe,"Baked dough in soft and hard varieties and savory or sweet flavors in a unique knot-like shape, originating in Europe. The pretzel shape is a distinctive symmetrical looped form, with the ends of a long strip of dough intertwine brought together and then twisted back onto itself in a certain way (""a pretzel loop""). Sweet pastry pretzels exist with many various textures, toppings and coatings."
Profiterole,France,"Known as a ""cream puff"" in the United States, a profiterole is a choux pastry ball filled with whipped cream, pastry cream, or ice cream. This treat is typically very sweet. The puffs may be decorated or left plain or garnished with chocolate sauce, caramel, or a dusting of powdered sugar."
Puff pastry,Europe,"In baking, a puff pastry is a light, flaky, leavened pastry containing several layers of fat which is in solid state at 20 °C (68 °F). In raw form, puff pastry is a dough which is spread with solid fat and repeatedly folded and rolled out (never mashed, as this will destroy layering) and used to produce various pastries. It is sometimes called a ""water dough"" or détrempe."
Puits d'amour,France,A butter pastry with a hollow center. The center is usually stuffed with redcurrant jelly or raspberry jam; a later variation replaced the jam with vanilla pastry cream. The surface of the cake is sprinkled with confectioners' sugar or covered with caramel. The name has erotic connotations; it literally translates into English as 'wells of love.’
Punsch-roll,Sweden,"A Swedish, small cylindrical pastry covered with green marzipan with the ends dipped in chocolate, with an interior consisting of a mix of crushed cookies, butter, and cacao, flavoured with punsch liqueur. The Dutch variant is called mergpijpje, and is cream-colored instead of green. Often called dammsugare (""vacuum cleaner""), referring not only to its appearance, but also to the supposed practice of the pastry baker collecting crumbs from the day's cookies for filling. Other names are arraksrulle (as arrak is an ingredient in punsch) and ""150-ohmer"" (due to the brown-green-brown coloring). In Denmark, these treats are known as Træstammer (""wooden logs""); the interior cacao-paste is flavoured with rum and the marzipan is usually not coloured."
Punschkrapfen,Austria,"Translated in English as ""punch cake"", a classical confection of pastry with a rum flavor. It is similar to the French pastry, the petit four. Commonly available in pastry shops and bakeries in Austria. It is a cake filled with cake crumbs, nougat chocolate, apricot jam and then soaked with rum."
Qottab,Iran,"An almond-filled deep-fried Persian cake, prepared with flour, almonds, powdered sugar, vegetable oil, and cardamom. The city of Yazd is well known for its qottab."
Quesito,Puerto Rico,"A cheese-filled pastry twist from Puerto Rico. The cheese is usually whipped with vanilla, eggs, and sugar. The cheese can also be whipped with guava, papaya and other tropical fruit preserves. The mixture is stuffed into a dough that resembles puff pastry, coated in a sugary caramelized syrup, and baked."
Rab cake,Croatia,"A traditional Croatian cake which originates from the Adriatic island of Rab. Its main ingredients are almonds and Maraschino liqueur. Traditionally baked in the shape of a spiral, although today several shapes are popular. It is also a very popular souvenir because it has a shelf life of about two months."
Remonce,Denmark,"A Danish pastry filling or topping made from creamed butter and sugar, sometimes flavored with cinnamon, marzipan or nuts."
Reuzenbol,Netherlands,"Similar to a giant profiterole, or a larger version of a bossche bol."
Rhubarb tart,England,Consists of a pastry crust filled with rhubarb.
Rollò,Italy,"The rollà nisseno (from French roule) is a typical sweet of Caltanissetta produced by local bakers for a long time. It is consumed year-round, not being tied to any event or occasion. The ingredients are: whole eggs; flour, ground almonds, sugar, cocoa powder that characterizes the sponge cake which in turn rolls up the ricotta and the heart (marzipan)."
Roti john,Malaysia,"A type of sandwich using Baguette-type loaf served with omelette, minced meat and onion. A popular snack in Malaysia, also in Brunei and Singapore."
Roti tissue,Malaysia,"Also known as roti tisu or tissue prats, one of the more-creative-looking Malaysian Mamak foods. It is also known as roti helikopter (helicopter bread). Roti tissue is a thinner version of the traditional roti canai, as thin as a piece of 40–50 cm round-shaped tissue. The finishing touches to the making of roti tissue require skill, and they depend on the creativity of the maker. Pictured: Roti tissue, and a glass of Teh tarik"
Roze koek,Netherlands,"Roze koek (""pink cake"") is a typical Dutch pastry that consists of a small flat cake with a layer of pink fondant. The most well-known brand is Glacé."
Rugelach,Jewish (Ashkenazi),"A Jewish pastry of Ashkenazic origin. A more probable origin is that of its Eastern European (Romanian) traditional pastry counterpart called Cornulete. Traditional rugelach are made in the form of a crescent by rolling a triangle of dough around a filling. Some sources state that the rugelach and the French croissant share a common Viennese ancestor, crescent-shaped pastries commemorating the lifting of the Turkish siege in 1793 (this could be a reference to the Battle of Vienna in 1683). This appears to be an urban legend however, as both the rugelach and its supposed ancestor (the Kipfel or Kipferl) pre-date the Early Modern era, and the croissant in its modern form did not originate earlier than the 19th century (see viennoiserie)."
Runeberg's torte,Finland,"A Finnish pastry flavored with almonds and rum or arrack and it usually weighs about 100 grams. There is usually raspberry jam in a sugar ring on the tart. The torte got its name from the Finnish poet Johan Ludvig Runeberg (1804–1877) who, according to legend, enjoyed the torte with punsch for every breakfast."
Rustico,"Salento, Italy",Made with puff pastry and a stuffing that varies style by style
Sad cake,United Kingdom (Lancashire),"Similar to the Chorley cake, sad cakes are made using a similar recipe and have origins in East Lancashire, England. Sad cake is often up to 12 inches (30 cm) in diameter, as opposed to the Chorley cake being 3 to 5 inches (8 to 12 cm) and is made by rolling out the pastry and dropping raisins and or currants evenly over the pastry then folding in on several sides and then rolling out again to the required size, usually round but can be square."
Samosa,Indian subcontinent,"A fried or baked pastry with a savory filling such as spiced potatoes, onions, peas, lentils, ground lamb or chicken. The size, shape and consistency may vary, but many versions are triangular. Samosas are often accompanied by chutney. Samosas are a popular appetizer or snack in the Indian subcontinent, Southeast Asia, Central Asia and Southwest Asia, the Arabian Peninsula, the Mediterranean, the Horn of Africa, North Africa, and South Africa."
Schaumrolle,Austria,"Cone or tube of pastry, often filled with whipped cream"
Schnecken,Germany,"Schnecken were a traditional Saturday morning treat in German homes at the beginning of the 20th century, and was also commonly found in the Jewish immigrant communities in the Philadelphia and Baltimore areas of the United States. The name schnecken means ""snails"" in English, and refers to the shape of the pastry. Schnecken are commonly confused with rugelach, another German pastry that is different in two respects: (1) schnecken dough is made with sour cream, while rugelach is made with cream cheese; and (2) schnecken are rolled and sliced, whereas rugelach are formed from individual triangles of dough."
Schneeball,Germany,"Made from shortcrust pastry, they are especially popular in the area of German town of Rothenburg ob der Tauber (Bavaria). Its name (German for ""snowball"") derives from its round ball-like shape with a diameter of about eight to ten centimeters and the traditional decoration with confectioner's sugar. The main ingredients are flour, eggs, sugar, butter, cream, and plum schnaps. To give it the characteristic shape the dough is rolled out and cut with a dough cutter into even strips. The strips are then arranged alternately over and under a stick, or the handle of a wooden spoon. Eventually the stick is lifted and slowly removed while the dough stripes are formed into a loose ball. Using a special holder called a Schneeballeneisen in order to retain the shape, the ball is deep-fried in boiling fat until golden brown, and finally dusted with confectioner's sugar while still warm."
Schuxen,Germany,"A popular pastry in Upper Bavaria, schuxen is an elongate fried dough pastry made from rye flour and yeast. Similar to krapfen with the difference that it isn't sweet. Nowadays they are rare, and few bakers produce them."
Semla,Sweden,"The oldest version of the semla was a plain bread bun, eaten in a bowl of warm milk. In Swedish this is known as hetvägg, from Middle Low German hete Weggen (hot wedges) or German heisse Wecken (hot buns) and falsely interpreted as ""hotwall"". Today, the Swedish-Finnish semla[98] consists of a cardamom-spiced wheat bun which has its top cut off and insides scooped out, and is then filled with a mix of the scooped-out bread crumbs, milk and almond paste, topped with whipped cream. The cut-off top serves as a lid and is dusted with powdered sugar. Some people still eat it in a bowl of hot milk."
Sfenj,North Africa,"A Moroccan, Algerian and Tunisian doughnut, cooked in oil. Sfenjs are eaten sprinkled with sugar or soaked in honey. Sfenj is an Arabic word (""isfenj"") which means ""sponge""."
Sfințișori,"Romania, Moldova","Traditional pastries to commemorate the Christian feast of the Forty Martyrs of Sebaste. Sfințișori dough is baked in large shapes of the figure 8, then soaked in honey syrup with ground walnuts."
Sfogliatelle,Italy,"Sfogliatelle are shell shaped filled pastries native to Italian cuisine. ""Sfogliatelle"" means ""many leaves/layers,"" the pastry's texture resembling leaves stacked on each other. Filling recipes also vary; some examples are an orange-flavored ricotta filling, almond paste or candied peel of citron. Italian-American bakeries, especially in the New York City area, created a cousin pastry to the sfogliatelle in the 1900s called a ""lobster tail"" or ""egg plant"" version. The pastry has the same outside as sfogliatelle, but instead of the ricotta filling, there is a French cream, similar to whipped cream inside."
Shortcrust pastry,Europe,"Often used for the base of a tart, quiche or pie. It does not puff up during baking because it usually contains no leavening agent. It is possible to make shortcrust pastry with self-raising flour, however. Shortcrust pastry can be used to make both sweet and savory pies."
Shakarbura,Azerbaijan,Sweet dough with the filling of minсed nuts and sugar
Sou,China,"Dried flaky Chinese pastry found in a variety of Chinese cuisines. In dim sum restaurants, char siu sou (叉燒酥) is the most common version available. Other varieties may include century egg and lotus seed paste. These are commonly found in Hong Kong or Singapore in Asia. They may occasionally be found in some overseas Chinatowns. In Shanghai cuisine, a number of dried varieties are available, such as peanut sou (花生酥), green bean sou (綠豆酥) or walnut sou (核桃酥). People often buy them for souvenirs in boxed forms."
Spanakopita,Greece,"A Greek savory pastry is in the burek family of pastries. It typically consists of a filling of chopped spinach, feta cheese (sometimes in combination with ricotta cheese, as it is less expensive, and adds creaminess), onions or scallions, beaten egg, and seasoning. The filling is wrapped or layered in filo pastry with butter and/or olive oil, either in a large pan from which individual servings are cut, or rolled into individual triangular servings (see burek)."
Spina santa,Italy,"Sweet of the religious tradition of Caltanissetta, in memory of the Passion of Christ."
Streusel,Germany,"In baking and pastry making, streusel is a crumb topping prepared with butter, flour, and sugar that is baked on top of muffins, breads, pies, cakes (e.g. Streuselkuchen) and crumbles. Some modern recipes add spices and chopped nuts. Although the topping is of German origin, it is sometimes referred to as Danish or Swedish. Pictured is a caramel-apple cheesecake bar with streusel topping."
Strudel,Central Europe,"Layered pastry, typically with a sweet filling inside. Often served with cream. Strudel became well known and gained popularity in the 18th century through the Habsburg Empire. Pictured is a pecan strudel. See also – Apple strudel; Milk-cream strudel"
Stutenkerl,Germany,"Part of the Saint Nicholas tradition in the German speaking countries. Made of Stuten, sweet leavened dough, in the form of a man (Kerl is German for 'lad' or 'fellow'). Stutenkerl is available usually around Saint Nicholas' Day, December 6, but in parts of the Rhineland already at Saint Martin's Day in November. The pastry often has inserted raisins and a clay pipe. This pipe may have to do with the Protestant Reformation, to make the originally Catholic bishop figure more secular."
Sufganiyah,Israel,"A ball-shaped doughnut that is first deep-fried, then pierced and injected with jelly or custard, and then topped with powdered sugar. Widely consumed in Israel in the weeks leading up to and including the Hanukkah holiday. The same type of deep-fried bun is a traditional pastry in German speaking countries and has diverse names. There, it is traditionally consumed on New Year's Eve and the carnival holidays. In Denmark they are well known as Berliner van kuchen or just Berliner."
Suncake,Taiwan,"A suncake, or taiyang bing, is a popular Taiwanese dessert originally from the city of Taichung, Taiwan. The typical fillings consist of maltose (condensed malt sugar). The shape of suncakes is round, and they may vary in size. They are characterized by flaky crusts."
Sweetheart cake,China (Guangdong),"A traditional Chinese pastry with flaky and thin skin made with winter melon, almond paste, and sesame, and spiced with five spice powder (Chinese spice blend of fennel seed, star anise, licorice root and cloves)."
Taiyaki,Japan,A Japanese pastry shaped to resemble a bream or Asian carp and filled with red bean paste or other fillings such as custard and chocolate. It is derived from the similar Japanese pastry Imagawayaki. Taiyaki is also popular in other East Asian countries such as South Korea where it is known as bungeoppang.
Toaster pastry,United States,"Designed to be safely heated in a toaster, toaster pastries are a convenience food. Most toaster pastries have a fruit filling, but some contain dessert-like fillings such as chocolate or cinnamon. The Pop-Tarts brand of toaster pastries is an example of a mass-produced product widely available in the United States."
Torpil,Turkey (Balkans),"Typically torpedo or cone-shaped, stuffed with cream, dispersed to the Balkans during the Ottoman period. Also known as külah"
Tortell,Catalonia (Spain),"Typically O-shaped, stuffed with marzipan, and on some special occasions is topped with glazed fruit. It is traditionally eaten on January 6 (Epiphany), at the conclusion of the Twelve Days of Christmas."
Tortita negra,Spain,"Translated in English as ""Little black pastry"", a Spanish dessert which is flat at its base and round on the sides. They are eaten in Argentina, Colombia and Venezuela, and are a popular food at children's parties."
Trdelník,Slovakia,"A traditional cake and sweet pastry, known from Slovakia. There is similar variant of the Trdelník in the Czech Republic and Hungary (under a different name), originally coming from Skalica in Slovakia. It is made from rolled dough, wrapped around a stick, then grilled and topped with sugar and walnut mix."
Tu,Tibet,"Cheese cake, prepared with yak butter, brown sugar and water, made into a pastry."
Turnover,,"Made by placing a filling on a piece of dough, folding the dough over, and sealing it. Turnovers can be sweet or savory and are often made as a sort of portable meal or dessert, similar to a sandwich. Pictured is a sweet turnover made from puff pastry."
Utap,Philippines,"An oval-shaped puff pastry, especially common in Cebu, where it originated. It usually consists of a combination of flour, shortening, coconut, and sugar. In order to achieve the texture of the pastry, it must undergo a two-stage baking process."
Vatrushka,Eastern Europe,"Ring of dough and cottage cheese in the middle, often with raisins or bits of fruit"
Vetkoek,South Africa,"A traditional Afrikaner pastry, it consists of dough deep-fried in cooking oil and either filled with cooked mince (ground beef) or spread with syrup, honey, or jam."
Viennoiserie,France,"Viennoiserie (French etymological sense: 'things of Vienna') are baked goods made from a yeast-leavened dough in a manner similar to bread, or from puff pastry, but with added ingredients (particularly eggs, butter, milk, cream and sugar) giving them a richer, sweeter character. The dough is often layered. Examples include: croissants; Vienna bread and its French equivalent, pain viennois, often shaped into baguettes; brioche; pain au chocolat; pain au lait; pain aux raisins; chouquettes; Danish pastries; bugnes; and chausson aux pommes, the French style of apple turnover."
Vol-au-vent,France (Paris),"French for ""windblown"" to describe its lightness, it is a small hollow case of puff pastry. It has been claimed to have been invented by Antonin Carême in his pastry-shop opened in Rue de la Paix, France in 1803–04. But the pastry is mentioned at least as far back as 1797; its origin then is obscure. Vols-au-vent are typically made by cutting two circles in rolled out puff pastry, cutting a hole in one of them, then stacking the ring-shaped piece on top of the disc-shaped piece."
Welsh cake,Wales,"Welsh cakes are made from flour, butter/lard, currants, eggs, milk, and spices such as cinnamon and nutmeg.They are roughly circular, a few inches (7–8 cm) in diameter and about half an inch (1–1.5 cm) thick. Fried in butter in a pan or on a bakestone, Welsh cakes are served hot or cold and dusted with caster sugar. They are frequently made fresh and sold in bakeries throughout Wales but can also be bought pre-packed in good supermarkets in the rest of the UK."
Xuixo,Spain (Catalonia),A cylindrical pastry filled with crema catalana that is deep fried and covered with crystallized sugar.
Yurla,Tibet,"Wheat pastry with butter, particularly common in Nyainrong County in northern Tibet."
Zeeuwse bolus,"Zeeland, Netherlands, (Jewish (Sephardic))","Sweet pastry from the Dutch province of Zeeland, made by baking a type of dough in a spiral shape and then covered with treacle and cinnamon."
Zlebia,North Africa,"A version of the South Asian jalebi (qv) found in areas of north and northwest Africa such as Morocco, Algeria, Tunisia, and Libya. Natural ingredients include flour, yeast, yoghurt, and sugar. This is then mixed with water and cardamom."
