default,student,balance,income
Yes,No,1515,48688
Yes,Yes,1237,14862
No,No,2058,55021
No,No,0,34836
No,No,468,25231
No,No,794,43335
No,Yes,468,6365
No,No,732,42693
Yes,No,1631,38906
Yes,No,1465,58699
Yes,No,1550,56273
No,Yes,767,18846
No,No,23,42016
No,No,1189,29889
Yes,Yes,1486,17854
No,No,0,44547
No,No,450,52446
No,No,414,37825
No,Yes,1312,16221
Yes,No,1478,31515
No,Yes,1298,20491
Yes,No,1278,36675
No,Yes,957,19676
No,Yes,1246,15756
Yes,No,1396,40371
No,No,855,40412
No,Yes,1086,23576
No,Yes,1470,17876
Yes,Yes,1895,16394
No,Yes,203,16433
No,No,633,29213
Yes,No,1531,43930
No,No,963,60084
Yes,Yes,2123,23836
No,Yes,1006,19065
No,Yes,1039,21212
No,No,1347,58953
No,Yes,455,12587
Yes,No,1800,48708
No,No,377,41901
No,No,1047,59765
No,No,584,35517
Yes,No,1666,25054
No,No,0,39469
No,No,972,26231
No,No,608,22555
No,No,317,63021
No,No,1057,54652
Yes,No,2228,27438
No,No,817,32974
No,No,401,51338
No,Yes,1882,15968
No,Yes,681,19925
No,No,446,49645
No,No,468,44285
Yes,No,1865,49604
No,Yes,270,15728
No,No,1171,52278
No,No,29,36972
Yes,No,1412,37283
Yes,No,1893,31821
No,No,2096,49992
No,No,610,52124
Yes,No,1099,42590
Yes,No,1763,46227
No,No,456,43943
Yes,No,1511,53506
No,No,787,45772
No,No,146,49925
No,No,436,46071
No,No,230,44232
No,Yes,550,19110
Yes,No,1655,25639
Yes,No,2288,52043
No,No,894,37903
No,No,624,48345
No,No,1240,46148
No,No,808,29212
No,No,815,26231
No,No,0,29542
No,No,1656,29816
No,Yes,1211,14186
No,Yes,1926,12283
Yes,No,1170,46692
No,Yes,58,23639
No,No,198,58598
No,Yes,1016,15099
No,No,902,37905
No,No,1690,46228
No,No,681,29980
No,No,462,50229
Yes,Yes,2654,21930
No,No,1253,34304
No,Yes,1196,19665
Yes,No,2413,38540
No,No,793,35157
No,Yes,964,21436
No,No,714,48115
No,No,726,42272
No,No,424,29502
No,Yes,501,26425
No,No,538,40773
Yes,No,961,27600
No,No,0,42745
Yes,Yes,2008,18601
No,No,618,29836
Yes,No,1751,38381
No,No,535,43917
No,No,1039,26217
No,No,0,50258
No,No,1381,48394
No,Yes,973,21590
Yes,Yes,2110,19345
No,No,936,40240
No,No,1047,40974
No,No,783,37428
No,No,0,34882
Yes,Yes,1789,17667
No,No,1010,34055
No,No,1714,52779
Yes,No,1750,51578
No,Yes,1544,11102
No,No,817,40088
No,Yes,1790,21938
No,No,0,42616
No,No,457,49908
No,No,935,21730
No,Yes,1557,17132
No,No,275,35761
No,No,59,36000
No,No,1008,20326
No,No,1184,25196
Yes,No,1858,35525
Yes,No,1322,23229
No,Yes,1129,13580
No,No,399,45360
No,Yes,1421,11134
No,No,907,28577
No,No,1008,30801
No,No,408,35984
No,No,541,37640
No,No,999,51420
No,No,900,40848
Yes,No,1920,57242
No,No,631,46841
No,No,1257,30834
No,No,760,45921
No,No,1489,37758
No,No,1099,48202
No,No,0,38165
No,No,1143,50690
No,No,0,37553
Yes,Yes,1902,12464
No,Yes,1204,19302
No,No,641,32628
No,No,790,45303
No,No,702,47811
No,No,913,29414
No,No,1417,38015
No,No,1153,17598
No,No,1025,22741
No,No,264,45987
No,No,692,47038
No,No,944,47463
No,No,1250,37012
No,No,1225,42203
Yes,Yes,1013,19651
No,No,943,48198
