Title,Genre,GenreLabels,Premiere,Seasons,SeasonsParsed,EpisodesParsed,Length,MinLength,MaxLength,Status,Active,Table,Language
Malibu Rescue: The Series,Comedy,comedy,3-Jun-19,"1 season, 8 episodes",1,8,22–26 min.,22,26 ,Pending,1,Children,English
Club de Cuervos,Comedy-drama,comedy-drama,7-Aug-15,"4 seasons, 45 episodes",4,45,36–94 min.,36,94 ,Ended,0,ForeignLanguage,Spanish
Marseille,Political drama,"political,drama",5-May-16,"2 seasons, 16 episodes",2,16,35–53 min.,35,53 ,Ended,0,ForeignLanguage,French
Estocolmo,Crime drama,"crime,drama",11-Nov-16,"1 season, 13 episodes",1,13,37–49 min.,37,49 ,Ended,0,ForeignLanguage,Spanish
0.03,Science fiction,science-fiction,25-Nov-16,"3 seasons, 26 episodes",3,26,38–51 min.,38,51 ,Pending,1,ForeignLanguage,Portuguese
Ingobernable,Political drama,"political,drama",24-Mar-17,"2 seasons, 27 episodes",2,27,32–50 min.,32,50 ,Pending,1,ForeignLanguage,Spanish
Cable Girls,Period drama,"period,drama",28-Apr-17,"3 seasons, 24 episodes",3,24,41–63 min.,41,63 ,Renewed,1,ForeignLanguage,Spanish
My Only Love Song,Comedy,comedy,9-Jun-17,"1 season, 20 episodes",1,20,27–30 min.,27,30 ,Ended,0,ForeignLanguage,Korean
Suburra: Blood on Rome,Crime drama,"crime,drama",6-Oct-17,"2 seasons, 18 episodes",2,18,42–62 min.,42,62 ,Renewed,1,ForeignLanguage,Italian
Blazing Transfer Students,Action comedy,"action,comedy",10-Nov-17,"1 season, 8 episodes",1,8,23–28 min.,23,28 ,Ended,0,ForeignLanguage,Japanese
Dark,Science fiction,science-fiction,1-Dec-17,"2 seasons, 18 episodes",2,18,45–61 min.,45,61 ,Renewed,1,ForeignLanguage,German
Edha,Drama,drama,16-Mar-18,"1 season, 10 episodes",1,10,38–43 min.,38,43 ,Ended,0,ForeignLanguage,Spanish
The Mechanism,Crime drama,"crime,drama",23-Mar-18,"2 seasons, 16 episodes",2,16,39–55 min.,39,55 ,Pending,1,ForeignLanguage,Portuguese
The Rain,Post-apocalyptic drama,"post-apocalyptic,drama",4-May-18,"2 seasons, 14 episodes",2,14,36–49 min.,36,49 ,Renewed,1,ForeignLanguage,Danish
Club de Cuervos Presents: The Ballad of Hugo Sánchez,Comedy,comedy,17-Jun-18,"1 season, 6 episodes",1,6,29–37 min.,29,37 ,Ended,0,ForeignLanguage,Spanish
Sacred Games,Drama,drama,6-Jul-18,"1 season, 8 episodes",1,8,43–55 min.,43,55 ,Renewed,1,ForeignLanguage,Hindi
Samantha!,Comedy,comedy,6-Jul-18,"2 seasons, 14 episodes",2,14,25–37 min.,25,37 ,Pending,1,ForeignLanguage,Portuguese
Jimmy: The True Story of a True Idiot,Comedy,comedy,20-Jul-18,"1 season, 9 episodes",1,9,39–64 min.,39,64 ,Pending,1,ForeignLanguage,Japanese
Switched,Science fiction,science-fiction,1-Aug-18,"1 season, 6 episodes",1,6,33–44 min.,33,44 ,Ended,0,ForeignLanguage,Japanese
The House of Flowers,Comedy,comedy,10-Aug-18,"1 season, 13 episodes",1,13,27–37 min.,27,37 ,Renewed,1,ForeignLanguage,Spanish
Ghoul,Horror miniseries,"horror,miniseries",24-Aug-18,3 episodes,0,3 ,44–50 min.,44,50 ,Miniseries,0,ForeignLanguage,Hindi
YG Future Strategy Office,Comedy,comedy,5-Oct-18,"1 season, 8 episodes",1,8,20–29 min.,20,29 ,Pending,1,ForeignLanguage,Korean
Élite,Crime teen drama,"crime,teen,drama",5-Oct-18,"1 season, 8 episodes",1,8,47–56 min.,47,56 ,Renewed,1,ForeignLanguage,Spanish
Wild District,Crime drama,"crime,drama",19-Oct-18,"1 season, 10 episodes",1,10,40–48 min.,40,48 ,Renewed,1,ForeignLanguage,Spanish
1983,Spy thriller,"spy,thriller",30-Nov-18,"1 season, 8 episodes",1,8,50–63 min.,50,63 ,Renewed,1,ForeignLanguage,Polish
Baby,Drama,drama,30-Nov-18,"1 season, 6 episodes",1,6,40–49 min.,40,49 ,Renewed,1,ForeignLanguage,Italian
Dogs of Berlin,Drama,drama,7-Dec-18,"1 season, 10 episodes",1,10,51–62 min.,51,62 ,Pending,1,ForeignLanguage,German
The Hook Up Plan,Romantic comedy,"romantic,comedy",7-Dec-18,"1 season, 8 episodes",1,8,24–29 min.,24,29 ,Renewed,1,ForeignLanguage,French
The Protector,Supernatural mystery,"supernatural,mystery",14-Dec-18,"2 seasons, 18 episodes",2,18,31–51 min.,31,51 ,Renewed,1,ForeignLanguage,Turkish
Diablero,Horror fantasy thriller,"horror,fantasy,thriller",21-Dec-18,"1 season, 8 episodes",1,8,36–44 min.,36,44 ,Renewed,1,ForeignLanguage,Spanish
Selection Day,Drama,drama,28-Dec-18,"1 season, 12 episodes",1,12,19–28 min.,19,28 ,Pending,1,ForeignLanguage,Hindi
Kingdom,Fantasy,fantasy,25-Jan-19,"1 season, 6 episodes",1,6,44–57 min.,44,57 ,Renewed,1,ForeignLanguage,Korean
Always a Witch,Supernatural drama,"supernatural,drama",1-Feb-19,"1 season, 10 episodes",1,10,39–43 min.,39,43 ,Renewed,1,ForeignLanguage,Spanish
Go! Live Your Way,Musical,musical,22-Feb-19,"2 seasons, 30 episodes",2,30,36–44 min.,36,44 ,Pending,1,ForeignLanguage,Spanish
Delhi Crime,Police procedural,"police,procedural",22-Mar-19,"1 season, 7 episodes",1,7,45–64 min.,45,64 ,Pending,1,ForeignLanguage,Hindi
Most Beautiful Thing,Period drama,"period,drama",22-Mar-19,"1 season, 7 episodes",1,7,35–56 min.,35,56 ,Renewed,1,ForeignLanguage,Portuguese
Crime Diaries: The Candidate,Crime anthology series,"crime,anthology,series",22-Mar-19,8 episodes,0,8 ,32–48 min.,32,48 ,Miniseries,0,ForeignLanguage,Spanish
Osmosis,Science fiction/drama,"science-fiction,drama",29-Mar-19,"1 season, 8 episodes",1,8,41–45 min.,41,45 ,Pending,1,ForeignLanguage,French
Quicksand,Crime drama,"crime,drama",5-Apr-19,"1 season, 6 episodes",1,6,41–49 min.,41,49 ,Pending,1,ForeignLanguage,Swedish
Persona,Drama anthology series,"drama,anthology,series",11-Apr-19,"1 season, 4 episodes",1,4,19–27 min.,19,27 ,Ended,0,ForeignLanguage,Korean
My First First Love,Romantic comedy,"romantic,comedy",18-Apr-19,"1 season, 8 episodes",1,8,46–56 min.,46,56 ,Renewed,1,ForeignLanguage,Korean
Crime Diaries: Night Out,Crime anthology series,"crime,anthology,series",3-May-19,8 episodes,0,8 ,38–48 min.,38,48 ,Miniseries,0,ForeignLanguage,Spanish
High Seas,Mystery period drama,"mystery,period,drama",24-May-19,"1 season, 8 episodes",1,8,39–49 min.,39,49 ,Renewed,1,ForeignLanguage,Spanish
How to Sell Drugs Online (Fast),Dark comedy,"dark,comedy",31-May-19,"1 season, 6 episodes",1,6,24–32 min.,24,32 ,Pending,1,ForeignLanguage,German
Jinn,Fantasy adventure,"fantasy,adventure",13-Jun-19,"1 season, 5 episodes",1,5,25–47 min.,25,47 ,Pending,1,ForeignLanguage,Arabic
Yankee,Drama,drama,14-Jun-19,"1 season, 25 episodes",1,25,36–44 min.,36,44 ,Pending,1,ForeignLanguage,Spanish
Leila,Drama,drama,14-Jun-19,"1 season, 6 episodes",1,6,40–54 min.,40,54 ,Pending,1,ForeignLanguage,Hindi
Family Business,Comedy,comedy,28-Jun-19,TBA,0,0,29 min.,0,0,Pending,1,ForeignLanguage,French
The Chosen One,Thriller drama,"thriller,drama",28-Jun-19,TBA,0,0,TBA,0,0,Pending,1,ForeignLanguage,Portuguese
Typewriter,Horror,horror,19-Jul-19,TBA,0,0,TBA,0,0,Pending,1,ForeignLanguage,Hindi
The Naked Director,Drama,drama,8-Aug-19,TBA,0,0,TBA,0,0,Pending,1,ForeignLanguage,Japanese
Sintonia,Drama,drama,9-Aug-19,TBA,0,0,TBA,0,0,Pending,1,ForeignLanguage,Portuguese
Love Alarm,Romantic comedy,"romantic,comedy",22-Aug-19,TBA,0,0,TBA,0,0,Pending,1,ForeignLanguage,Korean
Russell Peters Vs. the World,Comedy,comedy,3-Oct-13,"1 season, 4 episodes",1,4,26–29 min.,26,29 ,Ended,0,DocuSeries,English
Chef's Table,Culinary art,"culinary,art",26-Apr-15,"6 volumes, 30 episodes",0,30,42–58 min.,42,58 ,Renewed,1,DocuSeries,English
Making a Murderer,Crime drama,"crime,drama",18-Dec-15,"2 parts, 20 episodes",0,20,47–77 min.,47,77 ,Pending,1,DocuSeries,English
Chelsea Does,Comedy,comedy,23-Jan-16,"1 season, 4 episodes",1,4,62–74 min.,62,74 ,Ended,0,DocuSeries,English
Cooked,Culinary art,"culinary,art",19-Feb-16,4 episodes,0,4 ,50–58 min.,50,58 ,Miniseries,0,DocuSeries,English
Last Chance U,Sport,sport,29-Jul-16,"3 parts, 23 episodes",0,23,50–76 min.,50,76 ,Renewed,1,DocuSeries,English
Fearless,Sport,sport,19-Aug-16,6 episodes,0,6 ,50–58 min.,50,58 ,Miniseries,0,DocuSeries,English
Chef's Table: France,Culinary art,"culinary,art",2-Sep-16,"1 season, 4 episodes",1,4,41–54 min.,41,54 ,Ended,0,DocuSeries,English
Roman Empire,Historical drama,"historical,drama",11-Nov-16,"3 seasons, 15 episodes",3,15,38–48 min.,38,48 ,Pending,1,DocuSeries,English
Captive,Documentary,documentary,9-Dec-16,8 episodes,0,8 ,59–73 min.,59,73 ,Miniseries,0,DocuSeries,English
Abstract: The Art of Design,Biography,biography,10-Feb-17,"1 season, 8 episodes",1,8,41–48 min.,41,48 ,Ended,0,DocuSeries,English
13 Reasons Why: Beyond the Reasons,Interview,interview,31-Mar-17,"2 seasons, 2 episodes",2,2,29–67 min.,29,67 ,Pending,1,DocuSeries,English
Five Came Back,Historical drama,"historical,drama",31-Mar-17,3 episodes,0,3 ,59–69 min.,59,69 ,Miniseries,0,DocuSeries,English
Hot Girls Wanted: Turned On,Documentary,documentary,21-Apr-17,6 episodes,0,6 ,41–58 min.,41,58 ,Miniseries,0,DocuSeries,English
The Keepers,Crime drama,"crime,drama",19-May-17,7 episodes,0,7 ,56–66 min.,56,66 ,Miniseries,0,DocuSeries,English
Daughters of Destiny,Documentary,documentary,28-Jul-17,4 episodes,0,4 ,56–65 min.,56,65 ,Miniseries,0,DocuSeries,English
Fire Chasers,Miniseries,miniseries,8-Sep-17,4 episodes,0,4 ,50–58 min.,50,58 ,Miniseries,0,DocuSeries,English
The Confession Tapes,True crime,"true,crime",8-Sep-17,"2 seasons, 11 episodes",2,11,41–54 min.,41,54 ,Pending,1,DocuSeries,English
Jack Whitehall: Travels with My Father,Travel documentary,"travel,documentary",22-Sep-17,"2 seasons, 11 episodes",2,11,28–32 min.,28,32 ,Pending,1,DocuSeries,English
The Day I Met El Chapo,Biography,biography,20-Oct-17,"1 season, 3 episodes",1,3,48–61 min.,48,61 ,Ended,0,DocuSeries,English
Shot in the Dark,True crime,"true,crime",17-Nov-17,"1 season, 8 episodes",1,8,34–41 min.,34,41 ,Ended,0,DocuSeries,English
Wormwood,Psychological drama,"psychological,drama",15-Dec-17,6 chapters,0,0,41–48 min.,41,48 ,Miniseries,0,DocuSeries,English
72 Dangerous Animals: Latin America,Nature,nature,22-Dec-17,"1 season, 12 episodes",1,12,41–46 min.,41,46 ,Ended,0,DocuSeries,English
Dope,Documentary,documentary,22-Dec-17,"2 seasons, 8 episodes",2,8,43–48 min.,43,48 ,Renewed,1,DocuSeries,English
The Toys That Made Us,Documentary,documentary,22-Dec-17,"2 seasons, 8 episodes",2,8,43–51 min.,43,51 ,Renewed,1,DocuSeries,English
Rotten,Documentary,documentary,5-Jan-18,"1 season, 6 episodes",1,6,48–58 min.,48,58 ,Ended,0,DocuSeries,English
Somebody Feed Phil,Travel documentary,"travel,documentary",12-Jan-18,"2 seasons, 12 episodes",2,12,55–63 min.,55,63 ,Renewed,1,DocuSeries,English
Drug Lords,Documentary,documentary,19-Jan-18,"2 seasons, 8 episodes",2,8,42–47 min.,42,47 ,Ended,0,DocuSeries,English
Dirty Money,Documentary,documentary,26-Jan-18,"1 season, 6 episodes",1,6,50–77 min.,50,77 ,Renewed,1,DocuSeries,English
Coach Snoop,Sport,sport,2-Feb-18,"1 season, 8 episodes",1,8,28–30 min.,28,30 ,Ended,0,DocuSeries,English
First Team: Juventus,Sport,sport,16-Feb-18,"2 parts, 6 episodes",0,6,37–42 min.,37,42 ,Pending,1,DocuSeries,English
Ugly Delicious,Travel documentary,"travel,documentary",23-Feb-18,"1 season, 8 episodes",1,8,46–55 min.,46,55 ,Renewed,1,DocuSeries,English
Flint Town,Documentary,documentary,2-Mar-18,8 episodes,0,8 ,35–48 min.,35,48 ,Miniseries,0,DocuSeries,English
Girls Incarcerated,Documentary,documentary,2-Mar-18,"2 seasons, 16 episodes",2,16,37–47 min.,37,47 ,Pending,1,DocuSeries,English
Wild Wild Country,Documentary,documentary,16-Mar-18,6 episodes,0,6 ,64–72 min.,64,72 ,Miniseries,0,DocuSeries,English
Rapture,Documentary,documentary,30-Mar-18,"1 season, 8 episodes",1,8,52–63 min.,52,63 ,Ended,0,DocuSeries,English
Bobby Kennedy for President,History,history,27-Apr-18,4 chapters,0,0,59–66 min.,59,66 ,Miniseries,0,DocuSeries,English
Evil Genius: The True Story of America's Most Diabolical Bank Heist,True crime,"true,crime",11-May-18,4 episodes,0,4 ,46–54 min.,46,54 ,Miniseries,0,DocuSeries,English
Explained,Docu-series,docu-series,23-May-18,"1 season, 20 episodes",1,20,14–20 min.,14,20 ,Renewed,1,DocuSeries,English
November 13: Attack on Paris,Documentary,documentary,1-Jun-18,3 episodes,0,3 ,47–59 min.,47,59 ,Miniseries,0,DocuSeries,English
Dark Tourist,Travel documentary,"travel,documentary",20-Jul-18,"1 season, 8 episodes",1,8,39–42 min.,39,42 ,Pending,1,DocuSeries,English
Marching Orders,Docu-series,docu-series,3-Aug-18,"1 season, 12 episodes",1,12,9–14 min.,9,14 ,Pending,1,DocuSeries,English
72 Dangerous Animals: Asia,Nature,nature,10-Aug-18,"1 season, 12 episodes",1,12,44–48 min.,44,48 ,Pending,1,DocuSeries,English
Afflicted,Docu-series,docu-series,10-Aug-18,"1 season, 7 episodes",1,7,37–46 min.,37,46 ,Pending,1,DocuSeries,English
Follow This,Docu-series,docu-series,23-Aug-18,"3 parts, 20 episodes",0,20,15–20 min.,15,20 ,Ended,0,DocuSeries,English
Boca Juniors Confidential,Docu-series,docu-series,14-Sep-18,"1 season, 4 episodes",1,4,40–44 min.,40,44 ,Pending,1,DocuSeries,English
"Salt, Fat, Acid, Heat",Travel documentary,"travel,documentary",11-Oct-18,4 episodes,0,4 ,40–48 min.,40,48 ,Miniseries,0,DocuSeries,English
FightWorld,Travel documentary,"travel,documentary",12-Oct-18,"1 season, 5 episodes",1,5,41–44 min.,41,44 ,Pending,1,DocuSeries,English
Terrorism Close Calls,Docu-series,docu-series,26-Oct-18,"1 season, 10 episodes",1,10,47–49 min.,47,49 ,Pending,1,DocuSeries,English
Medal of Honor,Docu-series,docu-series,9-Nov-18,"1 season, 8 episodes",1,8,46–61 min.,46,61 ,Pending,1,DocuSeries,English
Dogs,Docu-series,docu-series,16-Nov-18,"1 season, 6 episodes",1,6,50–53 min.,50,53 ,Renewed,1,DocuSeries,English
Vai Anitta,Docu-series,docu-series,16-Nov-18,"1 season, 6 episodes",1,6,25–35 min.,25,35 ,Pending,1,DocuSeries,English
Inside the Real Narcos,Docu-series,docu-series,14-Dec-18,"1 season, 3 episodes",1,3,45–46 min.,45,46 ,Pending,1,DocuSeries,English
Sunderland 'Til I Die,Sport,sport,14-Dec-18,"1 season, 8 episodes",1,8,37–46 min.,37,46 ,Pending,1,DocuSeries,English
The Innocent Man,True crime,"true,crime",14-Dec-18,6 episodes,0,6 ,42–52 min.,42,52 ,Miniseries,0,DocuSeries,English
7 Days Out,Docu-series,docu-series,21-Dec-18,"1 season, 6 episodes",1,6,47–48 min.,47,48 ,Pending,1,DocuSeries,English
Murder Mountain,True crime,"true,crime",28-Dec-18,"1 season, 6 episodes",1,6,43 min.,0,0,Pending,1,DocuSeries,English
Trigger Warning with Killer Mike,Docu-series,docu-series,18-Jan-19,"1 season, 6 episodes",1,6,22–27 min.,22,27 ,Pending,1,DocuSeries,English
Conversations with a Killer: The Ted Bundy Tapes,True crime,"true,crime",24-Jan-19,4 episodes,0,4 ,51–74 min.,51,74 ,Miniseries,0,DocuSeries,English
Examination of Conscience,True crime,"true,crime",25-Jan-19,"1 season, 3 episodes",1,3,51–54 min.,51,54 ,Pending,1,DocuSeries,English
Larry Charles: The Dangerous World of Comedy,Docu-series,docu-series,15-Feb-19,"1 season, 4 episodes",1,4,51–66 min.,51,66 ,Pending,1,DocuSeries,English
Losers,Sport,sport,1-Mar-19,"1 collection, 8 episodes",0,8,25–37 min.,25,37 ,Pending,1,DocuSeries,English
Cricket Fever: Mumbai Indians,Sport,sport,1-Mar-19,"1 season, 8 episodes",1,8,33–44 min.,33,44 ,Pending,1,DocuSeries,English
Formula 1: Drive to Survive,Sport,sport,8-Mar-19,"1 season, 10 episodes",1,10,27–41 min.,27,41 ,Pending,1,DocuSeries,English
The Disappearance of Madeleine McCann,True crime,"true,crime",15-Mar-19,8 episodes,0,8 ,43–65 min.,43,65 ,Miniseries,0,DocuSeries,English
Our Planet,Nature documentary,"nature,documentary",5-Apr-19,8 episodes,0,8 ,49–54 min.,49,54 ,Miniseries,0,DocuSeries,English
Street Food,Culinary art,"culinary,art",26-Apr-19,"1 season, 9 episodes",1,9,30–34 min.,30,34 ,Pending,1,DocuSeries,English
1994,Docu-series,docu-series,17-May-19,5 episodes,0,5 ,44–52 min.,44,52 ,Miniseries,0,DocuSeries,English
Killer Ratings,Docu-series,docu-series,31-May-19,"1 season, 7 episodes",1,7,42–58 min.,42,58 ,Pending,1,DocuSeries,English
The Chef Show,Culinary art,"culinary,art",7-Jun-19,"1 season, 8 episodes",1,8,26–33 min.,26,33 ,Pending,1,DocuSeries,English
The Alcàsser Murders,True crime,"true,crime",14-Jun-19,"1 season, 5 episodes",1,5,53–66 min.,53,66 ,Pending,1,DocuSeries,English
Exhibit A,True crime,"true,crime",28-Jun-19,TBA,0,0,TBA,0,0,Pending,1,DocuSeries,English
The Last Czars,Docu-series,docu-series,3-Jul-19,TBA,0,0,TBA,0,0,Pending,1,DocuSeries,English
White Rabbit Project,Science investigation,"science,investigation",9-Dec-16,"1 season, 10 episodes",1,10,45–48 min.,45,48 ,Ended,0,Reality,English
Chasing Cameron,Celebrity,celebrity,27-Dec-16,"1 season, 10 episodes",1,10,26–33 min.,26,33 ,Ended,0,Reality,English
Ultimate Beastmaster,Competition,competition,24-Feb-17,"3 seasons, 29 episodes",3,29,41–84 min.,41,84 ,Pending,1,Reality,English
Queer Eye,Makeover reality,"makeover,reality",7-Feb-18,"3 seasons, 24 episodes",3,24,43–52 min.,43,52 ,Renewed,1,Reality,English
Nailed It!,Competition,competition,9-Mar-18,"3 seasons, 19 episodes",3,19,12–35 min.,12,35 ,Pending,1,Reality,English
Fastest Car,Motoring television series,"motoring,television,series",6-Apr-18,"1 season, 8 episodes",1,8,43–52 min.,43,52 ,Renewed,1,Reality,English
Cooking on High,Cooking show,"cooking,show",22-Jun-18,"1 season, 12 episodes",1,12,13–15 min.,13,15 ,Ended,0,Reality,English
Sugar Rush,Baking competition,"baking,competition",13-Jul-18,"1 season, 8 episodes",1,8,51–55 min.,51,55 ,Renewed,1,Reality,English
Amazing Interiors,Reality,reality,20-Jul-18,"1 season, 12 episodes",1,12,21–28 min.,21,28 ,Pending,1,Reality,English
Magic for Humans,Reality,reality,17-Aug-18,"1 season, 6 episodes",1,6,22–25 min.,22,25 ,Renewed,1,Reality,English
Stay Here,Reality,reality,17-Aug-18,"1 season, 8 episodes",1,8,31–33 min.,31,33 ,Pending,1,Reality,English
First and Last,Reality,reality,7-Sep-18,"1 season, 6 episodes",1,6,38–43 min.,38,43 ,Pending,1,Reality,English
Car Masters: Rust to Riches,Motoring television series,"motoring,television,series",14-Sep-18,"1 season, 8 episodes",1,8,31–40 min.,31,40 ,Pending,1,Reality,English
Battlefish,Reality,reality,21-Sep-18,"1 season, 8 episodes",1,8,38–46 min.,38,46 ,Pending,1,Reality,English
Made In Mexico,Spanish language reality series,"spanish,language,reality,series",28-Sep-18,"1 season, 8 episodes",1,8,45–54 min.,45,54 ,Pending,1,Reality,English
Dancing Queen,Celebrity,celebrity,5-Oct-18,"1 season, 8 episodes",1,8,38–46 min.,38,46 ,Pending,1,Reality,English
The Curious Creations of Christine McConnell,Cooking show,"cooking,show",12-Oct-18,"1 season, 6 episodes",1,6,24–29 min.,24,29 ,Ended,0,Reality,English
Haunted,Horror,horror,19-Oct-18,"1 season, 6 episodes",1,6,20–31 min.,20,31 ,Pending,1,Reality,English
Westside,Music,music,9-Nov-18,"1 season, 8 episodes",1,8,46–58 min.,46,58 ,Pending,1,Reality,English
The Final Table,Culinary competition,"culinary,competition",20-Nov-18,"1 season, 10 episodes",1,10,48–60 min.,48,60 ,Pending,1,Reality,English
Death by Magic,Reality,reality,30-Nov-18,"1 season, 8 episodes",1,8,31–39 min.,31,39 ,Pending,1,Reality,English
Nailed It! Holiday,Reality competition,"reality,competition",7-Dec-18,"1 season, 7 episodes",1,7,33–35 min.,33,35 ,Pending,1,Reality,English
Tidying Up with Marie Kondo,Reality show,"reality,show",1-Jan-19,"1 season, 8 episodes",1,8,35–47 min.,35,47 ,Pending,1,Reality,English
Nailed It! Mexico,Reality,reality,8-Feb-19,"1 season, 6 episodes",1,6,32–34 min.,32,34 ,Pending,1,Reality,English
Dating Around,Reality,reality,14-Feb-19,"1 season, 6 episodes",1,6,24–30 min.,24,30 ,Pending,1,Reality,English
Selling Sunset,Reality,reality,22-Mar-19,"1 season, 8 episodes",1,8,28–42 min.,28,42 ,Pending,1,Reality,English
You vs. Wild,Interactive Reality,"interactive,reality",10-Apr-19,"1 season, 8 episodes",1,8,14–26 min.,14,26 ,Pending,1,Reality,English
Flinch,Reality television/game show,"reality,television,game,show",3-May-19,"1 season, 10 episodes",1,10,20–25 min.,20,25 ,Pending,1,Reality,English
Jailbirds,Reality television,"reality,television",10-May-19,"1 season, 10 episodes",1,10,37–47 min.,37,47 ,Pending,1,Reality,English
Awake: The Million Dollar Game,Reality television,"reality,television",14-Jun-19,"1 season, 8 episodes",1,8,35–41 min.,35,41 ,Pending,1,Reality,English
Chelsea,Late-night,late-night,11-May-16,"2 seasons, 120 episodes",2,120,27–64 min.,27,64 ,Ended,0,VarietyTalk,English
Bill Nye Saves the World,Science,science,21-Apr-17,"3 seasons, 25 episodes",3,25,26–41 min.,26,41 ,Ended,0,VarietyTalk,English
Beyond Stranger Things,Aftershow,aftershow,27-Oct-17,"1 season, 7 episodes",1,7,15–25 min.,15,25 ,Pending,1,VarietyTalk,English
My Next Guest Needs No Introduction with David Letterman,Interview,interview,12-Jan-18,"2 seasons, 12 episodes",2,12,41–58 min.,41,58 ,Pending,1,VarietyTalk,English
The Joel McHale Show with Joel McHale,Comedy,comedy,18-Feb-18,"2 parts, 19 episodes",0,19,22–28 min.,22,28 ,Ended,0,VarietyTalk,English
A Little Help with Carol Burnett,Variety show,"variety,show",4-May-18,"1 season, 12 episodes",1,12,21–29 min.,21,29 ,Ended,0,VarietyTalk,English
Busted!,Korean language variety show,"korean,language,variety,show",4-May-18,"1 season, 10 episodes",1,10,75–98 min.,75,98 ,Renewed,1,VarietyTalk,Korean
The Break with Michelle Wolf,Late-night,late-night,27-May-18,"1 season, 10 episodes",1,10,27 min.,27,27,Renewed,1,VarietyTalk,English
Norm Macdonald Has a Show,Talk show,"talk,show",14-Sep-18,"1 season, 10 episodes",1,10,26–35 min.,26,35 ,Pending,1,VarietyTalk,English
Patriot Act with Hasan Minhaj,Talk show,"talk,show",28-Oct-18,"3 volumes, 19 episodes",0,19,23–30 min.,23,30 ,Renewed,1,VarietyTalk,English
The Fix,Panel show,"panel,show",14-Dec-18,"1 season, 10 episodes",1,10,23–31 min.,23,31 ,Pending,1,VarietyTalk,English
