song_title,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target
Headlines,Drake,0.369,0.662,236733,0.571,0.000197,6,0.0908,-7.382,0,0.106,152.009,4,0.442,1
Michael Jackson,Das Racist,0.00096,0.573,256800,0.946,0.00191,7,0.115,-5.065,1,0.377,151.817,4,0.769,1
Need You Now,Cut Copy,0.0244,0.605,369387,0.755,0.586,1,0.0937,-5.169,1,0.0358,122.3,4,0.367,1
Abducted,Cults,0.00632,0.374,172960,0.937,0.0207,9,0.186,-3.882,1,0.082,149.812,4,0.337,1
Gucci Gucci,Kreayshawn,0.158,0.714,187293,0.924,1.29E-05,10,0.91,-2.91,0,0.0662,77.516,4,0.897,1
Eyes Be Closed,Washed Out,0.00441,0.207,287667,0.878,0.421,4,0.341,-7.212,1,0.0449,89.969,4,0.135,1
Echoes,Washed Out,0.0729,0.589,248200,0.938,0.942,2,0.166,-10.475,0,0.0567,120.007,4,0.556,1
The Daily Mail,Radiohead,0.652,0.36,217798,0.362,0.000128,10,0.107,-7.102,1,0.0385,116.846,4,0.144,1
Civilization,Justice,0.00091,0.516,251011,0.66,0,9,0.0663,-5.002,0,0.0489,112.065,4,0.238,1
Punch Drunk Love,Teams vs. Star Slinger,0.126,0.579,212227,0.767,3.28E-05,9,0.384,-3.713,1,0.078,144.001,4,0.67,1
Principles,Benoit & Sergio,0.0184,0.845,415371,0.59,0.00581,0,0.084,-8.225,1,0.0538,126.024,4,0.346,1
Slow Peels,Com Truise,0.0914,0.568,277335,0.662,0.459,8,0.317,-10.651,0,0.257,173.937,4,0.452,1
Dead Wrong,Hanni El Khatib,0.154,0.716,208027,0.724,0.000309,9,0.224,-8.06,1,0.24,137.131,4,0.698,1
Do It Roger,Zapp,0.386,0.791,317467,0.729,0.0126,11,0.0771,-9.856,0,0.054,108.274,4,0.717,1
Pharaohs (feat. Roses Gabor),SBTRKT,0.00983,0.795,218147,0.578,0.743,5,0.115,-8.507,0,0.0569,127.014,4,0.639,1
No Fun,The Stooges,0.00215,0.584,318373,0.761,0.0217,9,0.0989,-5.056,1,0.0287,122.494,4,0.722,1
Computer Love,Zapp,0.676,0.679,282308,0.709,0,7,0.292,-5.851,0,0.133,84.543,4,0.677,1
Dutchie Courage,Star Slinger,0.0693,0.646,180036,0.947,0,1,0.283,-2.762,1,0.119,164.111,4,0.957,1
Osaka Loop Line,Discovery,0.0961,0.704,241733,0.49,0.000114,9,0.157,-6.667,1,0.339,155.909,4,0.646,1
White Horse,Laid Back,0.00254,0.812,237320,0.554,0.698,7,0.0558,-10.978,1,0.0567,123.289,4,0.786,1
Abataka - Original Mix,Ida Engberg,0.394,0.76,520133,0.971,0.775,5,0.138,-4.582,0,0.0549,125.439,4,0.992,1
Danger! High Voltage (Soulchild Radio Mix),Electric Six,2.15E-05,0.657,214600,0.699,0.153,11,0.0525,-4.718,0,0.0297,123.017,4,0.531,1
Say Please,Teams vs. Star Slinger,0.185,0.731,207496,0.812,0.154,5,0.131,-6.691,1,0.0608,91.96,4,0.861,1
You Don't Love Me (No No No),Dawn Penn,0.00649,0.805,213280,0.596,0.00772,7,0.299,-6.007,1,0.119,81.004,4,0.753,1
The Yes Strut,Teams vs. Star Slinger,0.00947,0.718,171933,0.844,0.711,8,0.122,-8.045,1,0.0581,94.988,4,0.54,1
86 Carrot Gold,Teams vs. Star Slinger,0.0507,0.597,183798,0.746,0.000198,11,0.493,-7.991,0,0.542,172.215,4,0.891,1
Close to Me,Teams vs. Star Slinger,0.738,0.698,101039,0.923,8.21E-06,1,0.296,-5.382,0,0.316,95.009,4,0.779,1
How Do You See Me Now,Zdar,0.000419,0.823,259680,0.811,0.0745,1,0.176,-6.158,1,0.0661,104.63,4,0.718,1
See Me Now,Cassius,0.00176,0.819,231747,0.777,0.0931,8,0.0627,-7.734,0,0.0614,104.651,4,0.769,1
Every Freakin' - DJ Ayres remix,DJ Eleven,0.02,0.671,200754,0.781,0,2,0.0718,-5.363,1,0.311,134.02,4,0.684,1
Dance Our Way,DJ Eleven,0.00402,0.872,198101,0.565,0.237,7,0.0947,-10.236,1,0.0708,125.992,4,0.885,1
Flashing Lights,DJ Ayres,0.00241,0.85,205663,0.664,0.0672,0,0.192,-9.141,1,0.105,126.018,4,0.584,1
The Daily Mail,Radiohead,0.652,0.36,217798,0.362,0.000128,10,0.107,-7.102,1,0.0385,116.845,4,0.144,1
Bizness,tUnE-yArDs,0.196,0.76,263733,0.76,0.00185,10,0.113,-5.964,0,0.0509,111.01,4,0.616,1
Long Heels Red Bottoms,Trina,0.0305,0.874,217783,0.492,0,2,0.117,-4.898,1,0.328,64.992,4,0.644,1
I Wanna Be Your Dog,The Stooges,0.0229,0.527,188560,0.871,0.155,4,0.419,-8.708,1,0.0354,120.722,4,0.12,1
Jealousy,Martin Solveig,0.000963,0.767,317320,0.712,0.00275,5,0.243,-7.28,1,0.0564,125.025,4,0.947,1
Embody,Sebastian,0.233,0.328,225627,0.827,0.00517,6,0.632,-2.545,0,0.252,103.127,4,0.709,1
Love In Motion - feat. Mayer Hawthorne,Sebastian,0.0175,0.702,185840,0.773,0.00165,9,0.651,-3.741,1,0.214,100.006,4,0.484,1
Save the World,Swedish House Mafia,0.00314,0.654,410897,0.734,0.000249,0,0.0802,-6.216,1,0.112,126.995,4,0.243,1
Myth,Beach House,0.0369,0.448,258653,0.733,0.0425,3,0.169,-6.238,1,0.0292,142.008,4,0.404,1
Ready 2 Go,Martin Solveig,0.0152,0.542,265480,0.854,0,8,0.0639,-5.041,1,0.0445,128.041,4,0.262,1
We Are Young - The Popopopops Remix,Juveniles,0.00206,0.469,235301,0.821,0.00914,2,0.258,-5.055,0,0.0397,173.964,4,0.226,1
Bop Gun (One Nation) - Radio Edit,Ice Cube,0.429,0.857,287200,0.889,5.21E-06,6,0.143,-4.382,1,0.0795,103.072,4,0.82,1
La Funky,Destructo feat. Oliver,0.000407,0.796,279952,0.774,0.812,9,0.0784,-4.833,0,0.0509,124.989,4,0.327,1
In My Mind (Axwell Remix),Ivan Gough & Feenixpawl feat. Georgi Kay,0.0401,0.67,400742,0.897,0.0021,7,0.293,-5.19,0,0.0922,127.994,4,0.294,1
On'n'On - Ruined by Rick Rubin,Justice,0.000299,0.697,238206,0.68,0.00674,2,0.125,-6.847,1,0.0318,98.002,4,0.288,1
Don't Die,Killer Mike,0.0193,0.352,248133,0.807,6.04E-06,0,0.0963,-7.781,1,0.173,90.772,4,0.0459,1
Van Vogue,Azealia Banks,0.122,0.687,357280,0.799,0.0011,1,0.107,-9.181,0,0.355,128.001,4,0.0397,1
How Do You Do?,Hot Chip,0.0998,0.666,285320,0.811,0.0614,11,0.0588,-5.079,0,0.0357,124.954,4,0.955,1
Night And Day,Hot Chip,0.0285,0.764,270680,0.768,0.0235,5,0.122,-5.614,1,0.0382,125.988,4,0.627,1
Don't Deny Your Heart,Hot Chip,0.0132,0.677,271480,0.86,0.0119,1,0.0487,-5.074,1,0.0348,121.989,4,0.793,1
Focused - feat. Kid Cudi,Wale,0.275,0.735,212333,0.801,0,1,0.137,-5.067,1,0.0554,123.094,4,0.491,1
Neptune,Lemonade,0.000483,0.286,242653,0.694,0.00252,6,0.0773,-7.481,1,0.0335,169.904,4,0.411,1
"Function - feat. YG, IAmSu & Problem",E-40,0.00138,0.881,259200,0.564,0,2,0.0983,-5.239,1,0.232,100.032,4,0.36,1
Didn't You,Cloud Nothings,0.0086,0.246,237947,0.843,0.241,4,0.137,-10.022,1,0.0396,80.047,4,0.681,1
Search Party,Small Black,0.000248,0.515,172520,0.876,0.156,5,0.0606,-5.448,1,0.0375,105.128,4,0.707,1
Mi Swing es Tropical,Nickodemus,0.0227,0.816,222920,0.894,7.23E-05,6,0.331,-9.243,1,0.0819,99.995,4,0.968,1
Stock Exchange,Miss Kittin,0.00569,0.715,346773,0.518,0.772,5,0.0983,-11,0,0.0699,129.87,4,0.923,1
Changes,Crazy P,0.0365,0.829,336906,0.637,0.0233,5,0.267,-9.481,0,0.0882,120.761,4,0.688,1
Play This (Also),J Rocc,0.289,0.444,346360,0.978,0.778,6,0.171,-6.238,1,0.0998,125.371,4,0.463,1
Obedear,Purity Ring,0.232,0.612,212944,0.725,0.011,6,0.395,-5.775,0,0.0966,195.972,4,0.153,1
Slow Down,Poolside,0.0989,0.7,285211,0.718,0.0609,2,0.218,-5.882,1,0.0535,81.997,4,0.343,1
I Don't Like,Chief Keef,0.000869,0.754,295867,0.877,0,2,0.0576,-3.486,1,0.0586,132.033,4,0.557,1
Sleeping Ute,Grizzly Bear,0.148,0.327,275286,0.654,0.00442,6,0.0939,-6.258,0,0.0364,102.532,3,0.262,1
Hands On the Wheel (feat. a$Ap Rocky),ScHoolboy Q,0.0173,0.646,197132,0.778,0,1,0.0702,-7.44,0,0.103,127.813,4,0.173,1
The Kids Were Wrong,Memoryhouse,0.00991,0.486,252707,0.526,0.158,0,0.0976,-9.041,1,0.0272,75.461,4,0.726,1
Walk With Me,Memoryhouse,0.473,0.551,283373,0.504,0.664,7,0.0818,-11.166,1,0.0309,115.998,4,0.137,1
Her Fantasy,Matthew Dear,0.0246,0.586,374133,0.806,0.000167,1,0.353,-9.542,1,0.0548,110.325,4,0.207,1
Der Kommissar,After The Fire,0.00909,0.694,337187,0.716,0.000814,7,0.0772,-7.468,1,0.0513,121.427,4,0.896,1
Slow Down,Clyde Carson,0.122,0.817,220987,0.528,0,1,0.284,-6.551,1,0.0656,100.997,4,0.161,1
Genesis,Grimes,0.0764,0.611,255320,0.677,0.0698,10,0.241,-6.745,0,0.034,166.04,4,0.233,1
About to Die,Dirty Projectors,0.419,0.727,239360,0.657,0,0,0.0624,-5.307,1,0.188,82.553,4,0.794,1
Best Night,The War On Drugs,0.229,0.485,330920,0.793,0.784,0,0.406,-8.693,1,0.0573,131.951,4,0.295,1
Brothers,The War On Drugs,0.0413,0.52,269000,0.872,0.725,8,0.161,-8.104,1,0.0483,111.958,4,0.524,1
We Own The Sky,M83,0.000105,0.399,304907,0.761,0.0456,9,0.0757,-6.318,1,0.0334,140.084,4,0.244,1
Chicken Half,Sugarman Three,0.52,0.582,212602,0.903,0.779,0,0.243,-4.505,1,0.0335,119.457,4,0.902,1
Two Of Hearts,Stacey Q,0.0833,0.852,237533,0.523,0,5,0.106,-6.716,0,0.032,130.154,4,0.648,1
The Perfect Kiss,New Order,0.0156,0.623,289640,0.806,0.0769,0,0.201,-8.533,1,0.0352,130.049,4,0.847,1
Can I Kick It?,A Tribe Called Quest,0.145,0.844,265400,0.688,0.00351,4,0.104,-8.594,0,0.291,96.671,4,0.747,1
Sure Thing,Miguel,0.0275,0.684,195373,0.603,0.000311,11,0.191,-8.127,0,0.0989,81,4,0.508,1
Kim & Jessie,M83,0.000103,0.498,322933,0.553,0.528,5,0.273,-6.193,1,0.0332,111.015,4,0.228,1
Outro,M83,0.0329,0.162,247027,0.254,0.122,2,0.0631,-11.251,1,0.0359,108.943,4,0.0778,1
We Are the People,Empire of the Sun,0.0842,0.671,272175,0.784,0.0121,4,0.231,-5.514,0,0.0303,122.995,4,0.545,1
Look At Where We Are,Hot Chip,0.597,0.792,239427,0.387,0.000106,8,0.0757,-8.192,0,0.0464,136.996,4,0.677,1
Don't Owe You a Thang,Gary Clark Jr.,0.0801,0.417,213853,0.944,0.00141,9,0.0862,-5.192,1,0.0459,109.721,4,0.376,1
Money Trees,Kendrick Lamar,0.0726,0.739,386907,0.526,0,4,0.215,-7.384,0,0.101,143.948,4,0.374,1
Hood Pass Intact feat. MC Eiht,DÃ¢m-Funk,0.203,0.791,286213,0.916,0,2,0.0924,-2.009,1,0.178,103.709,4,0.62,1
Got No Money,FIDLAR,0.00341,0.491,128187,0.935,0.348,1,0.121,-4.22,1,0.0343,157.993,4,0.964,1
Birthday Song,2 Chainz,0.0581,0.748,306600,0.586,0,1,0.156,-2.554,1,0.0512,140.067,4,0.162,1
Oh,FIDLAR,7.79E-05,0.351,141305,0.931,0.129,6,0.226,-5.746,0,0.0539,126.394,4,0.604,1
No Waves,FIDLAR,0.001,0.48,139560,0.964,0.000273,7,0.131,-3.681,1,0.0656,98.496,4,0.579,1
Wake Bake Skate,FIDLAR,3.41E-05,0.123,99413,0.963,0.0329,10,0.292,-4.182,1,0.0543,198.04,4,0.68,1
No Ass,FIDLAR,0.00814,0.401,93267,0.972,0.878,0,0.382,-2.236,1,0.0886,152.839,4,0.405,1
Black Out Stout,FIDLAR,0.00023,0.228,182600,0.886,0.848,9,0.307,-3.87,0,0.0497,165.201,4,0.499,1
Plague,Crystal Castles,0.0214,0.465,295880,0.633,0.79,11,0.105,-9.493,0,0.0578,130.074,4,0.0451,1
Kerosene,Crystal Castles,0.11,0.438,192000,0.539,0,8,0.143,-9.578,1,0.166,166.649,5,0.0759,1
Wrath Of God,Crystal Castles,0.0036,0.396,186627,0.601,0.531,0,0.116,-9.347,1,0.0515,129.996,4,0.351,1
Pale Flesh,Crystal Castles,0.000183,0.596,178800,0.628,0.00767,5,0.187,-7.582,0,0.0503,139.965,4,0.52,1
Past Lives,DIIV,0.000964,0.276,141627,0.766,0.858,7,0.15,-6.012,0,0.0373,158.188,4,0.547,1
Pictures Of Matchstick Men,Status Quo,0.104,0.241,194600,0.588,0.00042,7,0.087,-6.914,1,0.0313,171.882,4,0.506,1
Get Up,Craig Bratley,0.000341,0.821,397166,0.902,0.909,11,0.0898,-7.203,1,0.0542,112.98,4,0.269,1
Cloud Atlas End Title,Tom Tykwer,0.854,0.354,476164,0.228,0.8,0,0.113,-10.304,1,0.0296,82.758,3,0.0745,1
Keep You,Wild Belle,0.0372,0.638,210160,0.897,0.00748,7,0.0691,-5.78,0,0.0504,133.948,4,0.915,1
Anything New,Bibio,0.0101,0.651,247360,0.642,0.000186,2,0.0902,-4.276,1,0.167,88.237,4,0.711,1
Adorn,Miguel,0.0543,0.625,193147,0.576,4.07E-05,11,0.187,-5.693,0,0.175,179.063,4,0.223,1
Louie Louie,Toots & The Maytals,0.169,0.759,346160,0.772,0.0687,7,0.0668,-8.052,1,0.125,89.245,4,0.752,1
Under Mi Sensi,Barrington Levy,0.0175,0.726,190360,0.664,0,0,0.195,-6.275,1,0.108,75.571,4,0.494,1
Loner,Burial,0.8,0.611,448315,0.9,0.872,1,0.19,-10.026,1,0.0593,129.729,4,0.322,1
Murderer,Barrington Levy,0.0845,0.865,233300,0.549,0.158,0,0.081,-10.083,1,0.244,142.8,4,0.619,1
Space Cakes - Original,Tanner Ross,0.00135,0.794,375179,0.481,0.883,6,0.0833,-11.97,1,0.149,114.003,4,0.314,1
"There, There",Radiohead,0.0193,0.614,323600,0.677,0.518,9,0.108,-8.317,0,0.0323,126.477,4,0.726,1
Nightcall,Kavinsky,0.0113,0.535,258413,0.857,0.00751,9,0.472,-5.2,0,0.0543,91.053,4,0.431,1
Jacket & Tie,Toyan,0.453,0.815,230307,0.672,0,8,0.112,-5.675,1,0.27,151.362,4,0.813,1
Doom And Gloom - Jeff Bhasker Mix,The Rolling Stones,0.00104,0.595,247175,0.794,0.00733,0,0.0693,-5.186,1,0.0345,131.619,4,0.685,1
All Of Me,Tanlines,4.06E-05,0.683,230587,0.698,0.000113,9,0.058,-6.255,1,0.0395,125.999,4,0.962,1
Females Welcomed (feat. Reija Lee),Trinidad James,0.0829,0.722,192026,0.619,0,9,0.0533,-8.324,0,0.352,140.031,4,0.606,1
Blueberry (Pills & Cocaine) (feat. Danny Brown),Darq E Freaker,0.0985,0.647,277375,0.841,0,10,0.897,-2.507,1,0.164,139.963,4,0.886,1
Max Can't Surf,FIDLAR,0.000455,0.428,146227,0.972,0.000854,11,0.313,-4.329,0,0.0514,133.064,4,0.48,1
Wait for the Man,FIDLAR,9.19E-06,0.325,109533,0.918,0.000288,2,0.276,-4.823,1,0.071,95.537,4,0.184,1
Inspector Norse,Todd Terje,0.074,0.912,400751,0.781,0.762,7,0.348,-7.018,0,0.0444,119.978,4,0.891,1
Love Sosa,Chief Keef,0.0324,0.771,246573,0.416,0,0,0.111,-8.188,0,0.0894,131.952,4,0.218,1
This Time Around,Softwar,0.00069,0.759,398615,0.764,0.719,10,0.116,-7.416,0,0.0446,117.996,4,0.315,1
See Blind Through,Canyons,0.135,0.691,264213,0.737,0.0291,10,0.127,-5.758,0,0.0447,108.049,4,0.675,1
Vowels = space and time,Grimes,0.139,0.701,261120,0.822,0.0526,6,0.0726,-6.13,1,0.0366,129.03,4,0.739,1
Be A Body,Grimes,0.263,0.736,260413,0.58,0.663,5,0.101,-9.643,0,0.0485,140.04,4,0.144,1
Unchained (The Payback / Untouchable),James Brown,0.131,0.564,171573,0.912,8.05E-06,5,0.369,-4.718,0,0.143,92.054,4,0.582,1
Stomp - Dirty,5kinAndBone5,0.164,0.824,181800,0.513,0,8,0.0487,-9.591,1,0.208,99.938,4,0.568,1
Borrowed Time,Parquet Courts,0.0451,0.406,152040,0.74,0.722,0,0.637,-7.232,1,0.031,92.333,4,0.822,1
Young N*****,Gucci Mane,0.116,0.762,204293,0.883,0,0,0.3,-4.397,1,0.18,140.974,4,0.781,1
All Gold Everything,Trinidad James,0.078,0.54,187847,0.77,0,7,0.0846,-7.748,1,0.354,99.882,4,0.62,1
What I Might Do - Club Mix,Ben Pearce,0.109,0.834,389508,0.481,0.822,8,0.111,-9.511,1,0.135,121.999,4,0.306,1
I Love It (feat. Charli XCX) - Original Version,Icona Pop,0.00855,0.714,155337,0.905,2.55E-05,8,0.146,-2.663,1,0.0289,125.927,4,0.824,1
Kenosha,Swearin',0.0015,0.36,162168,0.774,0.807,3,0.0996,-8.758,1,0.0384,80.205,4,0.664,1
Fineshrine,Purity Ring,0.018,0.609,209760,0.798,8.68E-06,5,0.434,-4.448,0,0.0404,130.034,4,0.405,1
Flow,Disclosure,0.0047,0.777,309180,0.688,0.69,8,0.096,-8.692,0,0.0681,126.019,4,0.18,1
C'Est La Vie,Booba,0.135,0.749,267307,0.647,0,2,0.142,-6.878,1,0.137,146.024,4,0.196,1
Caramel,Booba,0.0202,0.67,260853,0.544,0.00792,1,0.14,-9.643,0,0.124,140.037,4,0.331,1
O.G,Booba,0.00627,0.684,228907,0.637,0,9,0.297,-6.378,1,0.061,140.063,4,0.245,1
HLM 3,Lunatic,0.151,0.633,321627,0.85,0,5,0.0556,-5.915,0,0.344,97.933,4,0.761,1
The Mighty Ming - Original Club Mix,Funkagenda,0.049,0.594,457205,0.77,0.9,0,0.103,-7.082,1,0.0629,125.987,4,0.14,1
Harlem Shake,Baauer,0.0119,0.473,196664,0.794,0.00218,9,0.418,-5.151,1,0.0462,139.313,4,0.293,1
Purp Walk,Lunice,0.00207,0.931,255844,0.606,0.461,1,0.092,-8.366,1,0.269,94.018,4,0.865,1
Do You Like It? (Feat. Kool A.D),Chaz Van Queen,0.432,0.744,232611,0.685,0,7,0.319,-8.332,1,0.34,87.675,4,0.56,1
Gucci On The Rise,Gucci Mane,0.0452,0.752,150053,0.783,0,9,0.194,-7.507,1,0.151,159.912,4,0.611,1
Hate Bein' Sober,Chief Keef,0.00469,0.821,280173,0.469,0,8,0.141,-7.152,1,0.0473,132.002,4,0.321,1
Traffic,Lil Reese,0.00271,0.908,237293,0.513,0,2,0.141,-5.318,1,0.0973,130.047,4,0.256,1
Hold Me Back,Rick Ross,0.0401,0.636,267147,0.702,0,11,0.105,-5.437,1,0.0743,125.998,4,0.471,1
Oldie,Odd Future,0.239,0.839,636213,0.583,0,1,0.262,-5.941,1,0.268,87.99,4,0.557,1
Started From the Bottom,Drake,0.0425,0.79,173160,0.531,0,8,0.266,-6.968,1,0.197,86.306,4,0.498,1
Dum Dum,Baauer,0.0596,0.787,121874,0.81,0.125,5,0.625,-7.822,1,0.0993,77.505,4,0.606,1
Higher - Extended,Just Blaze and Baauer,0.000451,0.603,342020,0.978,0.493,11,0.404,-1.367,0,0.186,150.072,4,0.496,1
"Gone, Gone",Juicy J,0.00402,0.937,225940,0.67,0,9,0.108,-6.149,1,0.107,136.029,4,0.592,1
Rock Creek Park,The Blackbyrds,0.0912,0.748,275907,0.703,0.0036,2,0.0635,-11.869,1,0.0663,110.615,4,0.618,1
Leaving Babylon,Bad Brains,0.00741,0.727,250587,0.235,0.0159,0,0.0769,-20.263,1,0.16,127.16,4,0.59,1
Trap Shit V7,UZ,0.000117,0.857,222330,0.948,0.816,10,0.317,-6.901,0,0.204,140.002,4,0.669,1
Good Life - Original 12'' Mix,Inner City,0.0295,0.793,432800,0.978,0.0331,11,0.0764,-9.229,0,0.0648,124.922,4,0.711,1
Big Fun - Original 12'' Mix,Inner City,0.0492,0.738,461560,0.808,0.734,10,0.036,-9.772,0,0.0522,120.248,4,0.816,1
Piss Test (feat. Juicy J & Dany Brown),A-Trak,0.00905,0.864,223071,0.86,0,11,0.183,-1.92,1,0.178,140.029,4,0.883,1
Can't Seem To Make You Mine,Sky Saxon & The Seeds,0.0234,0.688,219618,0.457,0,7,0.127,-9.86,1,0.0338,109.278,4,0.645,1
Borderline,Classixx,0.423,0.786,267160,0.525,0.461,1,0.0876,-8.271,0,0.0388,128.014,4,0.43,1
Elevate - Q45 Remix,Toni Toni Lee,0.00201,0.734,394857,0.686,0.11,5,0.0408,-9.781,0,0.0761,128.021,4,0.543,1
With You (feat. Alexis Taylor),Carte Blanche (feat. Alexis Taylor),0.0196,0.765,246823,0.891,0.0145,9,0.0293,-6.43,0,0.0514,126.99,4,0.564,1
Can't Shake This Feeling,Grum,0.00263,0.725,238640,0.798,2.14E-06,0,0.0791,-6.75,0,0.162,124.045,4,0.72,1
Check Me Out Like,Blaqstarr,0.014,0.962,156800,0.592,0.642,9,0.134,-11.716,0,0.108,130.684,4,0.361,1
Second Summer,YACHT,0.00167,0.845,292654,0.455,5.97E-05,11,0.0414,-5.209,1,0.0693,119.987,4,0.832,1
Demon To Lean On,Wavves,0.000321,0.5,261587,0.95,0.0293,6,0.382,-4.333,1,0.0677,120.038,4,0.298,1
Walk In The Park,Beach House,0.0537,0.648,322760,0.547,0.0439,5,0.0826,-6.547,1,0.0245,141.378,4,0.851,1
Reckless (With Your Love),Azari & III,0.00576,0.77,347387,0.69,0.0107,9,0.0684,-4.903,0,0.0977,118.989,4,0.721,1
Reckless (With Your Love) - Tensnake Remix,Azari & III,3.13E-05,0.61,420384,0.907,0.698,11,0.23,-5.857,0,0.0384,112.007,4,0.397,1
Never Be Your Woman (Shy FX Radio Edit) [feat. Emeli SandÃ©],Wiley,0.00318,0.663,146906,0.877,0.00217,5,0.124,-3.37,0,0.0538,135.989,4,0.396,1
(Bonus) Break Her Down,Iamsu!,0.000548,0.831,155042,0.373,0.000362,1,0.1,-6.896,1,0.157,96.115,4,0.356,1
Molly Ringwald,Danny Brown,0.0482,0.653,141724,0.817,0,1,0.157,-5.077,1,0.239,135.345,4,0.493,1
8 Feet Tall,Problem,8.34E-05,0.72,255135,0.748,0,5,0.11,-7.607,1,0.447,182.064,4,0.555,1
36 Chamber Flow,Flatbush Zombies,0.769,0.808,118353,0.593,2.07E-06,1,0.111,-9.395,1,0.344,89.876,4,0.88,1
Trill Hoe,Western Tink,0.0302,0.798,216585,0.481,0,7,0.128,-10.488,1,0.314,127.136,4,0.64,1
Saturday Love,Toro y Moi,0.00706,0.586,245733,0.915,0.236,6,0.192,-6.264,1,0.031,117.99,4,0.747,1
Sweater Weather,The Neighbourhood,0.15,0.695,240040,0.615,0.000212,7,0.0879,-5.325,0,0.042,124.015,4,0.425,1
Oh My - Club Mix,The Partysquad,0.00749,0.587,250299,0.784,0.0126,9,0.264,-4.878,1,0.0469,139.99,4,0.13,1
Saltkin,Purity Ring,0.0765,0.675,205533,0.862,0.000609,8,0.364,-5.309,0,0.0501,124.982,4,0.819,1
Lofticries,Purity Ring,0.116,0.671,239613,0.73,0.000356,8,0.201,-6.773,1,0.0369,112.011,4,0.302,1
Get It In,Iamsu!,0.00221,0.632,156614,0.793,0,10,0.171,-4.171,0,0.102,189.992,4,0.393,1
My Bad - Club Mix,The Partysquad,0.0106,0.774,227327,0.92,0.433,11,0.146,-4.213,1,0.25,128.97,4,0.223,1
I'm Different,2 Chainz,0.0415,0.941,207040,0.685,0,10,0.08,-5.24,1,0.0752,97.524,4,0.695,1
Get Lucky - Radio Edit,Daft Punk,0.0426,0.794,248413,0.811,1.07E-06,6,0.101,-8.966,0,0.038,116.047,4,0.865,1
Had A Dream,EMP DASME,0.0436,0.805,192623,0.634,0,7,0.0579,-7.759,1,0.0535,143.944,4,0.76,1
Recover,CHVRCHES,0.00584,0.394,225680,0.669,0,7,0.334,-4.461,1,0.056,169.929,4,0.195,1
Now Is Not the Time,CHVRCHES,0.0347,0.635,224747,0.459,0.000184,2,0.077,-7.59,1,0.0491,114.865,4,0.345,1
MDA,Problem,0.00116,0.669,211042,0.765,0,8,0.312,-7.885,1,0.051,131.946,4,0.163,1
Pop That,French Montana,0.0637,0.742,304880,0.912,0,6,0.599,-1.188,0,0.13,137.975,4,0.562,1
Young & Gettin' It - feat. Kirko Bangz,Meek Mill,0.244,0.624,205973,0.752,0,4,0.131,-5.43,1,0.121,134.021,4,0.862,1
Best Wishes,Iamsu!,0.45,0.622,218480,0.628,0,7,0.251,-9.964,0,0.243,144.812,4,0.304,1
Kids,Iamsu!,0.121,0.719,216000,0.66,0,2,0.127,-8.22,1,0.0829,119.996,4,0.357,1
Levitate,Paper Diamond,0.000478,0.525,200015,0.8,0.429,11,0.319,-11.484,1,0.122,80.032,4,0.52,1
Get Free (feat. Amber of Dirty Projectors),Major Lazer,0.14,0.525,291162,0.538,0.117,11,0.095,-9.366,0,0.0783,175.953,4,0.791,1
Balance,Future Islands,0.000373,0.472,246427,0.855,0.93,0,0.887,-6.937,1,0.069,154.908,4,0.166,1
The Lion - Original Mix,The Partysquad,0.00417,0.9,262168,0.929,2.04E-05,7,0.524,-0.718,1,0.148,129.991,4,0.566,1
For Your Love - Club Edit,The Partysquad,0.000839,0.802,334849,0.586,0.0212,5,0.0587,-6.245,1,0.103,128.011,4,0.407,1
For Your Love - Olav Basoski Remix,The Partysquad,0.000423,0.723,358436,0.669,0.936,11,0.0751,-5.026,0,0.0582,126.013,4,0.156,1
Slippinâ€™,Quadron,0.284,0.797,253187,0.508,0.00859,9,0.356,-8.154,0,0.0455,118.032,4,0.958,1
Take You On,Peaches,0.00255,0.869,224107,0.426,0.534,7,0.113,-8.187,1,0.202,127.059,4,0.457,1
One of Those Nights,Juicy J,0.0302,0.756,256933,0.595,1.98E-06,1,0.146,-6.924,1,0.0333,130.031,4,0.0681,1
Get Lucky - Daft Punk Remix,Daft Punk,0.0267,0.821,632693,0.793,1.37E-05,6,0.0751,-9.003,0,0.0391,116.009,4,0.91,1
No Way Back,Adonis,0.000891,0.806,297907,0.772,0.864,6,0.101,-14.369,1,0.0856,125.325,4,0.436,1
Ride The Rhythm,On The House featuring Marshall Jefferson,0.152,0.702,420107,0.504,5.11E-06,9,0.22,-16.794,1,0.342,121.374,4,0.794,1
Move Your Body - Extended Mix,Benny Benassi,0.0956,0.646,282791,0.929,1.12E-06,2,0.159,-1.501,1,0.194,128.995,4,0.229,1
Rockin' In The Free World,Neil Young,0.000736,0.491,281853,0.883,3.19E-05,4,0.369,-4.986,0,0.0306,131.75,4,0.516,1
Feels Like We Only Go Backwards,Tame Impala,0.028,0.291,192960,0.901,0.627,2,0.116,-2.327,0,0.0563,150.052,4,0.511,1
Half Full Glass of Wine,Tame Impala,0.274,0.683,266173,0.776,0.0748,0,0.0885,-7.029,1,0.0754,126.18,4,0.667,1
