title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80,2011,NA,82
The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80
One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90,80
Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,61,80
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91,80
Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88,80
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79,80
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84,80
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92,80
Magic Mike,R,"pervasive sexual content, brief graphic nudity, language and some drug use",100,2012,77,80
Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80,2012,63,80
Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98,80
Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80,80
The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,93,80
The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
Home,PG,mild action and some rude humor,60,2015,94,80
How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
Finding Dory,PG,mild thematic elements,60,2016,98,80
Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100,2016,91,80
Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69,80
Girlboss,TV-MA,,110,2017,94,80
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
Felipe Neto: My Life Makes No Sense,TV-MA,,110,2017,NA,82
Cheer Squad,TV-PG,,70,2016,61,80
Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,98,80
Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2012,85,80
The Tudors,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2010,NA,82
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89,80
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,80
Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92,80
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80
Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,NA,82
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91,80
Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2005,90,80
White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93,80
House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91,80
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73,80
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81,80
Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92,80
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,80
Unconditional,PG-13,some violent content and mature thematic elements,80,2012,NA,82
Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,80
The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,73,80
Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,79,80
The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
The 100,NR,This movie has not been rated.,124,2016,97,80
Witches of East End,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,NA,82
Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,56,80
London Has Fallen,R,strong violence and language throughout,100,2016,96,80
Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,83,80
Bloodline,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
Velvet,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84,80
Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
Kurt Seyit & Sura,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,NA,82
The Returned,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,NA,82
The Girl in the Book,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,NA,82
Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88,80
Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,80
Ingobernable,TV-MA,,110,2017,96,80
Girlboss,TV-MA,,110,2017,94,80
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
MerlÌ?,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,NA,82
Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
100 Metros,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97,80
Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,95,80
Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,86,80
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89,80
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97,80
Burn Notice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,85,80
Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,80
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93,80
Luther,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,69,80
Hawaii Five-0,TV-14,"dialogue, language, sexual situations and violence",90,2016,96,80
House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91,80
Last Man Standing,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,97,80
Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84,80
Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93,80
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92,80
Touch,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,68,80
Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
Breakout Kings,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88,80
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,80
Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,96,80
The Following,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,NA,82
"Drugs, Inc.",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,NA,82
Longmire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92,80
Ripper Street,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61,80
Death in Paradise,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77,80
Marvel's Agents of S.H.I.E.L.D.,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,89,80
Crossing Lines,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,66,80
London Has Fallen,R,strong violence and language throughout,100,2016,96,80
Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
Marvel's Iron Fist,TV-MA,,110,2017,98,80
The Honorable Woman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,NA,82
Transporter: The Series,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,NA,82
Gotham,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,85,80
Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95,80
How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
Narcos,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,94,80
American Odyssey,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,NA,82
Aquarius,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,NA,82
Hap and Leonard,TV-MA,,110,2016,57,80
Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81,80
Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88,80
Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84,80
Travelers,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,86,80
The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57,80
I.T,NR,,124,2016,NA,82
Bordertown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,80
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,97,80
Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89,80
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62,80
Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,80
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,79,80
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79,80
White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93,80
Blue Bloods,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91,80
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73,80
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84,80
Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93,80
Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92,80
Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,88,80
Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,80
Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98,80
Rectify,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80,80
Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,80
The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61,80
The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
American Crime,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,70,80
Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81,80
Scream,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81,80
The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94,80
Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88,80
Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84,80
American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,79,80
Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,80
No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
Girlboss,TV-MA,,110,2017,94,80
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57,80
Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
The Nightmare Before Christmas,PG,some scary images,60,1993,84,80
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,80
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,NA,82
Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57,80
Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,80
The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,NA,82
We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,NA,82
Thomas & Friends: Thomas & the Runaway Kite,TV-Y,Suitable for all ages.,10,2010,NA,82
Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,NA,82
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,Suitable for all ages.,10,2010,NA,82
Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93,80
Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89,80
The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77,80
Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66,80
Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,NA,82
Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73,80
Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71,80
The Super Mario Bros. Super Show!,TV-Y7,Suitable for children ages 7 and older,41,1989,NA,82
Power Rangers Zeo,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1996,NA,82
Oscar's Oasis,TV-G,Suitable for all ages.,35,2011,NA,82
Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,NA,82
The Adventures of Chuck & Friends,TV-Y,Suitable for all ages.,10,2011,NA,82
Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
Thomas & Friends: King of the Railway,TV-G,Suitable for all ages.,35,2013,NA,82
LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,NA,82
Max Steel,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2014,NA,82
Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,NA,82
Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60,2014,NA,82
VeggieTales in the House,TV-Y,Suitable for all ages.,10,2016,NA,82
Thunder and the House Of Magic,TV-G,Suitable for all ages.,35,2013,NA,82
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71,80
Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,NA,82
Slugterra: Slug Fu Showdown,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,NA,82
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,NA,82
Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83,80
Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
Bunks,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,NA,82
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,NA,82
Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,NA,82
Angry Birds,TV-G,Suitable for all ages.,35,2013,NA,82
Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61,80
Nexo Knights,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,NA,82
The Nightmare Before Christmas,PG,some scary images,60,1993,84,80
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67,80
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,80
The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57,80
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77,80
Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66,80
Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,NA,82
The Cat in the Hat Knows a Lot About That!,TV-Y,Suitable for all ages.,10,2014,NA,82
Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73,80
Bob the Builder,TV-Y,Suitable for all ages.,10,2015,NA,82
Beyblade: Metal Fusion,TV-Y7,Suitable for children ages 7 and older,41,2009,NA,82
Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1997,NA,82
Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,NA,82
DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,NA,82
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,67,80
Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88,80
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2011,NA,82
Super Buddies,G,General Audiences. Suitable for all ages.,35,2013,NA,82
Tad: The Lost Explorer,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,NA,82
PokÌ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74,80
Ratchet and Clank,PG,action and some rude humor,60,2016,74,80
Pac-Man and the Ghostly Adventures,TV-Y7,Suitable for children ages 7 and older,41,2014,NA,82
Iron Man & Captain America: Heroes United,PG,"action and violence throughout, and mild language",60,2014,NA,82
Power Rangers Super Megaforce,TV-Y7,Suitable for children ages 7 and older,41,2014,NA,82
Chuggington,TV-Y,Suitable for all ages.,10,2015,NA,82
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71,80
The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78,80
Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,NA,82
Some Assembly Required,TV-G,Suitable for all ages.,35,2015,NA,82
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Kulipari: An Army of Frogs,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
Robocar Poli,TV-Y,Suitable for all ages.,10,2012,NA,82
LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,NA,82
Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83,80
Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,NA,82
Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
PokÌ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56,80
Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
The Deep,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,NA,82
Growing Up Wild,G,,35,2016,80,80
The Little Rascals,PG,some rude dialogue,60,1994,86,80
Flubber,PG,slapstick action and mild language,60,1997,83,80
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,80
Lilo & Stitch,PG,mild sci-fi action,60,2002,95,80
Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82,80
The Three Musketeers,G,General Audiences. Suitable for all ages.,35,2004,NA,82
Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,35,2004,NA,82
The Pacifier,PG,"action violence, language and rude humor",60,2005,91,80
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,NA,82
Bee Movie,PG,mild suggestive humor,60,2007,94,80
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,80
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89,80
Super Why!,TV-Y,Suitable for all ages.,10,2015,68,80
Jessie,TV-G,Suitable for all ages.,35,2015,88,80
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,NA,82
Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85,80
Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
Pocoyo,TV-Y,Suitable for all ages.,10,2007,67,80
Home,PG,mild action and some rude humor,60,2015,94,80
Chuggington,TV-Y,Suitable for all ages.,10,2015,NA,82
Octonauts,TV-Y,Suitable for all ages.,10,2015,NA,82
Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88,80
Mother Goose Club,TV-Y,Suitable for all ages.,10,2016,NA,82
