Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
1,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,chicken,citrus fruit,tropical fruit,other vegetables,whole milk,whipped/sour cream,rolls/buns,pastry,flour,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,
4,specialty cheese,hygiene articles,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,frankfurter,sausage,citrus fruit,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,frozen vegetables,white bread,brown bread,pasta,vinegar,soda,salty snack,detergent,,,,,,,,,,,,,,,,
2,pip fruit,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pork,other vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,beef,root vegetables,other vegetables,whole milk,dessert,yogurt,rolls/buns,margarine,jam,soda,liquor (appetizer),waffles,chocolate marshmallow,candy,bathroom cleaner,light bulbs,,,,,,,,,,,,,,,,
2,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,dental care,male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,sausage,turkey,beef,citrus fruit,herbs,flour,margarine,Instant food products,bottled water,,,,,,,,,,,,,,,,,,,,,,,
2,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,beef,tropical fruit,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ham,whole milk,domestic eggs,tea,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,
19,finished products,chicken,pork,beef,hamburger meat,berries,butter,domestic eggs,rolls/buns,brown bread,pastry,flour,Instant food products,soda,salty snack,chocolate,specialty chocolate,hygiene articles,flower (seeds),,,,,,,,,,,,,
4,dessert,beverages,ice cream,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,rolls/buns,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,sausage,liver loaf,misc. beverages,fruit/vegetable juice,canned beer,salty snack,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
8,citrus fruit,soda,misc. beverages,canned beer,chocolate,specialty chocolate,candy,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,curd,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,yogurt,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,root vegetables,whole milk,oil,mustard,fruit/vegetable juice,waffles,dishes,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
2,organic sausage,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pork,tropical fruit,other vegetables,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,dessert,yogurt,rolls/buns,meat spreads,bottled water,soda,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,citrus fruit,root vegetables,other vegetables,whipped/sour cream,processed cheese,rolls/buns,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
11,hamburger meat,root vegetables,frozen vegetables,rolls/buns,brown bread,margarine,soda,fruit/vegetable juice,white wine,kitchen towels,newspapers,,,,,,,,,,,,,,,,,,,,,
10,citrus fruit,tropical fruit,pip fruit,grapes,berries,root vegetables,other vegetables,beverages,Instant food products,long life bakery product,,,,,,,,,,,,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,rolls/buns,canned fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ham,other vegetables,condensed milk,domestic eggs,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,beverages,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,brown bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,frankfurter,sausage,whole milk,margarine,sauces,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,frozen dessert,margarine,snack products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,citrus fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,frankfurter,pork,herbs,other vegetables,butter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,
13,frankfurter,sausage,other vegetables,whole milk,butter,curd,dessert,yogurt,brown bread,pastry,waffles,chocolate,dishes,,,,,,,,,,,,,,,,,,,
4,yogurt,beverages,bottled beer,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,whipped/sour cream,condensed milk,domestic eggs,flour,oil,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,
1,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,chicken,beef,pip fruit,berries,other vegetables,whole milk,whipped/sour cream,frozen fruits,frozen meals,domestic eggs,salty snack,,,,,,,,,,,,,,,,,,,,,
2,sausage,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pip fruit,other vegetables,whole milk,whipped/sour cream,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled water,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,chicken,UHT-milk,frozen vegetables,ice cream,pickled vegetables,bottled beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
9,sausage,tropical fruit,other vegetables,butter,sliced cheese,domestic eggs,rolls/buns,brown bread,napkins,,,,,,,,,,,,,,,,,,,,,,,
4,chicken,pork,butter,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,pork,yogurt,beverages,frozen vegetables,frozen meals,rolls/buns,potato products,bottled beer,chocolate marshmallow,kitchen towels,,,,,,,,,,,,,,,,,,,,,,
4,ham,rolls/buns,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,citrus fruit,root vegetables,domestic eggs,margarine,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,rolls/buns,pastry,pasta,soda,fruit/vegetable juice,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
6,tropical fruit,nuts/prunes,whole milk,whipped/sour cream,waffles,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
6,other vegetables,whole milk,whipped/sour cream,condensed milk,rolls/buns,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
3,other vegetables,white bread,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,pork,tropical fruit,root vegetables,whipped/sour cream,UHT-milk,frozen vegetables,roll products,oil,bottled water,candy,,,,,,,,,,,,,,,,,,,,,,
5,pastry,sugar,mustard,chewing gum,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frankfurter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,berries,cookware,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,photo/film,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,whole milk,butter,curd,frozen vegetables,bottled water,bottled beer,detergent,potted plants,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
1,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,sausage,sliced cheese,cream cheese,candy,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,hamburger meat,other vegetables,margarine,sugar,baking powder,sweet spreads,fruit/vegetable juice,chewing gum,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,other vegetables,specialty cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,chicken,whole milk,frozen vegetables,brown bread,sugar,dog food,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ice cream,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,pork,tropical fruit,root vegetables,herbs,whole milk,butter,domestic eggs,rolls/buns,baking powder,bottled water,rum,salty snack,chocolate,hygiene articles,,,,,,,,,,,,,,,,,,
7,citrus fruit,pip fruit,other vegetables,whole milk,butter,yogurt,salt,,,,,,,,,,,,,,,,,,,,,,,,,
3,frozen meals,pastry,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ham,meat,chicken,tropical fruit,berries,soft cheese,specialty cheese,long life bakery product,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,
4,hamburger meat,hard cheese,pasta,canned vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,soda,misc. beverages,sparkling wine,chewing gum,specialty chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frankfurter,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,frozen meals,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sausage,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,canned beer,male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,tropical fruit,onions,spread cheese,coffee,canned beer,liquor (appetizer),red/blush wine,dental care,light bulbs,newspapers,,,,,,,,,,,,,,,,,,,,,,
2,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,ham,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,canned beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,cat food,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,sausage,meat,pork,root vegetables,other vegetables,sliced cheese,margarine,cat food,coffee,dental care,,,,,,,,,,,,,,,,,,,,,,
2,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,brown bread,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pip fruit,whole milk,rolls/buns,pickled vegetables,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,hamburger meat,other vegetables,frozen vegetables,frozen meals,cat food,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,
2,long life bakery product,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ham,whipped/sour cream,beverages,domestic eggs,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,butter,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,seasonal products,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,brown bread,bottled water,soda,fruit/vegetable juice,bottled beer,newspapers,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,
9,beef,root vegetables,other vegetables,margarine,salty snack,waffles,specialty chocolate,kitchen towels,newspapers,,,,,,,,,,,,,,,,,,,,,,,
3,dessert,soft cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sausage,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,canned fish,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,sausage,finished products,beverages,domestic eggs,pastry,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,citrus fruit,tropical fruit,frozen meals,frozen dessert,rolls/buns,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sausage,bottled beer,liquor,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,pip fruit,whole milk,pastry,waffles,cake bar,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
2,frankfurter,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,citrus fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,frankfurter,beef,brown bread,margarine,soda,candy,,,,,,,,,,,,,,,,,,,,,,,,,,
2,chocolate,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ham,tropical fruit,pip fruit,grapes,berries,other vegetables,curd,dessert,yogurt,rolls/buns,margarine,honey,specialty chocolate,detergent,napkins,cling film/bags,,,,,,,,,,,,,,,,
3,frankfurter,brown bread,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,rolls/buns,white bread,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pip fruit,zwieback,salty snack,cake bar,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,sausage,root vegetables,whole milk,rolls/buns,brown bread,margarine,soda,long life bakery product,cake bar,,,,,,,,,,,,,,,,,,,,,,,
3,root vegetables,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pork,brown bread,salt,liquor,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,whole milk,yogurt,rolls/buns,waffles,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tropical fruit,domestic eggs,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,chicken,citrus fruit,root vegetables,other vegetables,beverages,ice cream,rice,Instant food products,sweet spreads,canned fish,soda,fruit/vegetable juice,red/blush wine,newspapers,shopping bags,,,,,,,,,,,,,,,,,
3,bottled beer,liquor,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whipped/sour cream,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,beef,root vegetables,white wine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,other vegetables,soda,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,meat,citrus fruit,root vegetables,whole milk,dessert,yogurt,waffles,detergent,,,,,,,,,,,,,,,,,,,,,,,,
3,fish,rolls/buns,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,whole milk,sliced cheese,long life bakery product,candy,hair spray,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,hamburger meat,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,whole milk,dessert,yogurt,sliced cheese,rolls/buns,soda,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,
1,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frozen meals,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pip fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,yogurt,frozen vegetables,decalcifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,frozen meals,pasta,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ham,frozen meals,rolls/buns,canned fish,coffee,instant coffee,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ice cream,canned fruit,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pork,frozen potato products,rolls/buns,margarine,coffee,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,tropical fruit,root vegetables,other vegetables,butter,dessert,sliced cheese,frozen vegetables,ice cream,frozen dessert,rolls/buns,Instant food products,baking powder,canned fish,fruit/vegetable juice,newspapers,shopping bags,,,,,,,,,,,,,,,,
5,whole milk,pastry,sugar,soda,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pork,tropical fruit,white bread,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,dessert,frozen potato products,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,onions,other vegetables,spread cheese,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,frankfurter,curd,semi-finished bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,white bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,pork,beef,other vegetables,curd,whipped/sour cream,specialty cheese,dental care,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
2,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,berries,salt,organic products,cat food,soda,bottled beer,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,
4,frankfurter,root vegetables,bottled beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,root vegetables,whole milk,hard cheese,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,finished products,pip fruit,frozen potato products,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bottled water,misc. beverages,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,margarine,coffee,instant coffee,soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,hamburger meat,whole milk,canned vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,root vegetables,onions,other vegetables,whole milk,curd,yogurt,frozen fish,waffles,,,,,,,,,,,,,,,,,,,,,,,,
7,root vegetables,onions,other vegetables,curd,whipped/sour cream,pickled vegetables,specialty vegetables,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frozen fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pork,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,fruit/vegetable juice,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,yogurt,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,cream cheese,rolls/buns,candy,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,sausage,hamburger meat,citrus fruit,other vegetables,dessert,yogurt,frozen meals,frozen potato products,white bread,fruit/vegetable juice,long life bakery product,chocolate,candy,house keeping products,,,,,,,,,,,,,,,,,,
4,soda,bottled beer,liquor,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,yogurt,hard cheese,sugar,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,roll products,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soft cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,frankfurter,pork,tropical fruit,whole milk,whipped/sour cream,frozen vegetables,frozen fish,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,,,
29,meat,turkey,tropical fruit,root vegetables,onions,other vegetables,whole milk,butter,yogurt,whipped/sour cream,sliced cheese,hard cheese,frozen meals,frozen dessert,domestic eggs,white bread,salt,rice,oil,margarine,mustard,baking powder,dog food,bottled water,fruit/vegetable juice,rum,long life bakery product,chocolate,cooking chocolate,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,frozen potato products,rolls/buns,oil,bottled water,canned beer,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
5,other vegetables,margarine,coffee,canned beer,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,
5,frankfurter,pork,whole milk,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,misc. beverages,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sausage,UHT-milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,butter,yogurt,rolls/buns,detergent,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,frankfurter,pork,beef,hamburger meat,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,cream cheese,frozen vegetables,domestic eggs,rolls/buns,sugar,mustard,ketchup,meat spreads,canned fish,bottled beer,chewing gum,decalcifier,hygiene articles,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,kitchen towels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,other vegetables,whole milk,bottled water,soda,fruit/vegetable juice,salty snack,dental care,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
4,butter,ice cream,margarine,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,sausage,whole milk,domestic eggs,rolls/buns,fruit/vegetable juice,light bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,
12,frankfurter,pork,pip fruit,root vegetables,other vegetables,whole milk,butter milk,yogurt,cream cheese,rolls/buns,brown bread,soda,,,,,,,,,,,,,,,,,,,,
6,liver loaf,root vegetables,other vegetables,whole milk,frozen vegetables,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,
1,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,frankfurter,tropical fruit,root vegetables,whole milk,curd,dessert,frozen vegetables,pastry,instant coffee,tea,newspapers,,,,,,,,,,,,,,,,,,,,,
1,meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,chicken,soda,liquor,white wine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,other vegetables,hard cheese,processed cheese,cereals,pickled vegetables,long life bakery product,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
6,pip fruit,whole milk,dessert,butter milk,rolls/buns,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,
6,other vegetables,whole milk,processed cheese,white bread,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
2,yogurt,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,root vegetables,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UHT-milk,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,dessert,butter milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,hamburger meat,pip fruit,other vegetables,whole milk,yogurt,cream cheese,margarine,sugar,baking powder,meat spreads,bottled water,chewing gum,,,,,,,,,,,,,,,,,,,,
