Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
495,00:27:26,Hansjörg Kunze,GDR,1959-12-28,4,Oslo,1988-07-02,Men,"10,000 m"
496,00:27:26.010000,Abderrahim Goumri,MAR,1976-05-21,1,Praha,2001-06-18,Men,"10,000 m"
497,00:27:26.020000,Gideon Ngatuny,KEN,1986-10-10,4,Niigata,2010-09-24,Men,"10,000 m"
498,00:27:26.110000,Saïd Aouita,MAR,1959-11-02,1,Oslo,1986-07-05,Men,"10,000 m"
499,00:27:26.120000,Luke Kipkosgei,KEN,1975-11-27,1,Melbourne,1996-11-25,Men,"10,000 m"
499,00:27:26.120000,Sileshi Sihine,ETH,1983-01-29,9,Bruxelles,2002-08-30,Men,"10,000 m"
501,00:27:26.200000,Aron Kifle,ERI,1998-02-20,2,Bydgoszcz,2016-07-19,Men,"10,000 m"
502,00:27:26.240000,Khalid El Amri,MAR,1977-03-20,7,Hengelo,2005-05-29,Men,"10,000 m"
503,00:27:26.260000,Aloÿs Nizigama,BDI,1966-06-18,1,Tokyo,1995-06-10,Men,"10,000 m"
504,00:27:26.290000,Kamiel Maase,NED,1971-10-20,10,Bruxelles,2002-08-30,Men,"10,000 m"
504,00:27:26.290000,Bernard Kiprop Kipyego,KEN,1986-07-16,8,Bruxelles,2005-08-26,Men,"10,000 m"
506,00:27:26.310000,John Cheruiyot Korir,KEN,1981-12-13,7,Bruxelles,2007-09-14,Men,"10,000 m"
506,00:27:26.310000,Silas Kipruto,KEN,1984-09-26,8,Hengelo,2008-05-24,Men,"10,000 m"
508,00:27:26.330000,Micah Kogo,KEN,1986-06-03,7,Berlin,2009-08-17,Men,"10,000 m"
509,00:27:26.430000,Hammou Boutayeb,MAR,1956-01-01,1,Seattle,1990-07-25,Men,"10,000 m"
509,00:27:26.430000,Paul Tanui,KEN,1990-12-22,1,Kumagaya,2013-09-20,Men,"10,000 m"
511,00:27:26.550000,Charles Kamathi,KEN,1978-05-18,3,Bruxelles,2001-08-24,Men,"10,000 m"
512,00:27:26.560000,Mekubo Mogusu,KEN,1986-12-25,1,Niigata,2009-05-31,Men,"10,000 m"
513,00:27:26.680000,Jacob Kiplimo,UGA,1900-11-14,3,Bydgoszcz,2016-07-19,Men,"10,000 m"
514,00:27:26.690000,Leul Gebrselassie,ETH,1993-09-20,6,Hengelo,2016-06-29,Men,"10,000 m"
515,00:27:26.840000,Galen Rupp,USA,1986-05-08,7,Daegu,2011-08-28,Men,"10,000 m"
516,00:27:26.860000,Felix Limo,KEN,1980-08-22,4,Bruxelles,2001-08-24,Men,"10,000 m"
517,00:27:26.900000,Fita Bayissa,ETH,1972-12-15,2,Durban,1993-06-24,Men,"10,000 m"
518,00:27:26.920000,Edward Waweru,KEN,1990-10-03,2,Kobe,2014-04-19,Men,"10,000 m"
518,00:27:26.920000,Johana Maina,KEN,1990-12-24,2,Machida,2015-11-28,Men,"10,000 m"
520,00:27:26.930000,Wilson Kiprop,KEN,1987-04-14,1,Nairobi,2010-06-26,Men,"10,000 m"
521,00:27:26.950000,Alex Hagelsteens,BEL,1956-07-15,3,Oslo,1982-06-26,Men,"10,000 m"
521,00:27:26.950000,Francesco Panetta,ITA,1963-01-10,1,Stockholm,1987-06-30,Men,"10,000 m"
523,00:27:27.040000,Aron Kifle,ERI,1998-02-20,1,Leiden,2016-06-11,Men,"10,000 m"
524,00:27:27.090000,Juan Armando Quintanilla,MEX,1968-04-19,2,London,1995-07-07,Men,"10,000 m"
525,00:27:27.170000,Bedan Karoki,KEN,1990-08-21,6,Moskva,2013-08-10,Men,"10,000 m"
526,00:27:27.190000,Tebalu Zawude,ETH,1987-11-02,1,Brazzaville,2015-09-14,Men,"10,000 m"
527,00:27:27.280000,Boniface Kiprop,UGA,1985-10-12,10,Beijing,2008-08-17,Men,"10,000 m"
528,00:27:27.300000,Birhan Nebebew,ETH,1994-08-14,10,Eugene,2016-05-27,Men,"10,000 m"
529,00:27:27.330000,Imane Merga,ETH,1988-10-15,11,Eugene,2016-05-27,Men,"10,000 m"
530,00:27:27.360000,Christopher Thompson,GBR,1981-04-17,4,Palo Alto,2011-05-01,Men,"10,000 m"
531,00:27:27.430000,Moses Kurong,UGA,1994-07-07,2,Leiden,2016-06-11,Men,"10,000 m"
532,00:27:27.470000,Jon Brown,GBR,1971-02-27,2,Hengelo,1997-05-31,Men,"10,000 m"
533,00:27:27.550000,Leonard Barsoton,KEN,1994-10-21,2,Brazzaville,2015-09-14,Men,"10,000 m"
534,00:27:27.560000,Paul Tanui,KEN,1990-12-22,11,Eugene,2012-06-01,Men,"10,000 m"
535,00:27:27.570000,Hunegnaw Mesfin,ETH,1989-01-31,5,Neerpelt,2008-05-31,Men,"10,000 m"
535,00:27:27.570000,Joshua Cheptegei,UGA,1996-09-12,8,Eugene,2015-05-29,Men,"10,000 m"
537,00:27:27.590000,Geoffrey Mutai,KEN,1981-10-07,2,Nairobi,2010-06-26,Men,"10,000 m"
538,00:27:27.640000,Mekubo Mogusu,KEN,1986-12-25,1,Tokyo,2008-05-18,Men,"10,000 m"
539,00:27:27.660000,Salvatore Antibo,ITA,1962-02-07,1,Bruxelles,1989-08-25,Men,"10,000 m"
540,00:27:27.700000,Fernando Mamede,POR,1951-11-01,1,Lisboa,1981-05-30,Men,"10,000 m"
540,00:27:27.700000,Haile Gebrselassie,ETH,1973-04-18,5,Athínai,2004-08-20,Men,"10,000 m"
542,00:27:27.800000,Juan Carlos de la Ossa,ESP,1976-11-25,1,Barakaldo,2005-04-02,Men,"10,000 m"
543,00:27:27.870000,Elijah Korir,KEN,1978-04-15,5,Bruxelles,1997-08-22,Men,"10,000 m"
544,00:27:27.960000,Cameron Levins,CAN,1989-03-28,1,Palo Alto,2012-04-29,Men,"10,000 m"
545,00:27:28,Patrick Ivuti,KEN,1978-06-30,1,Barakaldo,2000-07-08,Men,"10,000 m"
546,00:27:28.070000,John Ngugi,KEN,1962-05-10,2,Bruxelles,1989-08-25,Men,"10,000 m"
546,00:27:28.070000,Joseph Kimani,KEN,1972-09-21,2,Knoxville,1995-04-06,Men,"10,000 m"
548,00:27:28.080000,Tadesse Tola,ETH,1987-10-31,2,El Djezair,2007-07-19,Men,"10,000 m"
549,00:27:28.100000,Nguse Tesfaldet,ERI,1986-11-10,2,Wageningen,2012-05-30,Men,"10,000 m"
550,00:27:28.110000,Atsedu Tsegay,ETH,1991-12-17,5,Sollentuna,2013-06-27,Men,"10,000 m"
551,00:27:28.120000,Marilson dos Santos,BRA,1977-08-06,4,Neerpelt,2007-06-02,Men,"10,000 m"
552,00:27:28.130000,Mathew Kisorio,KEN,1989-05-16,3,Nairobi,2010-06-26,Men,"10,000 m"
553,00:27:28.190000,Tim Nelson,USA,1984-02-27,5,Palo Alto,2011-05-01,Men,"10,000 m"
554,00:27:28.220000,Matt Tegenkamp,USA,1982-01-19,6,Palo Alto,2011-05-01,Men,"10,000 m"
555,00:27:28.270000,Jeremiah Karemi Thuku,KEN,1994-07-07,2,Abashiri,2014-07-06,Men,"10,000 m"
556,00:27:28.310000,Juan Carlos de la Ossa,ESP,1976-11-25,1,Vigo,2008-07-12,Men,"10,000 m"
557,00:27:28.350000,Charles Kamathi,KEN,1978-05-18,3,Kobe,2005-04-24,Men,"10,000 m"
557,00:27:28.350000,Peter Muriuki,KEN,1983-01-01,9,Bruxelles,2006-08-25,Men,"10,000 m"
559,00:27:28.360000,Ondoro Osoro,KEN,1967-12-03,5,Bruxelles,1994-08-19,Men,"10,000 m"
560,00:27:28.380000,Mark Bett,KEN,1976-12-22,1,Villeneuve d'Ascq,1998-07-11,Men,"10,000 m"
560,00:27:28.380000,Josphat Muchiri Ndambiri,KEN,1985-02-12,3,Kobe,2007-04-22,Men,"10,000 m"
562,00:27:28.400000,Adugna Takele,ETH,1989-02-26,3,Brazzaville,2015-09-14,Men,"10,000 m"
563,00:27:28.420000,Gideon Ngatuny,KEN,1986-10-10,1,Kasamatsu,2006-09-30,Men,"10,000 m"
564,00:27:28.480000,Samuel Chelanga,KEN,1985-02-23,1,Berkeley,2009-04-24,Men,"10,000 m"
565,00:27:28.500000,Kenneth Kipkemoi,KEN,1984-08-02,7,Moskva,2013-08-10,Men,"10,000 m"
566,00:27:28.600000,Julius Gitahi,KEN,1978-04-29,1,Konosu,1996-10-05,Men,"10,000 m"
567,00:27:28.640000,Stephen Sambu,KEN,1988-07-07,7,Palo Alto,2011-05-01,Men,"10,000 m"
568,00:27:28.670000,Henry Rono,KEN,1952-02-12,4,Oslo,1982-06-26,Men,"10,000 m"
568,00:27:28.670000,Salah Hissou,MAR,1972-01-16,3,Athínai,1997-08-06,Men,"10,000 m"
570,00:27:28.690000,John Kariuki,KEN,1986-11-10,4,Kobe,2005-04-24,Men,"10,000 m"
571,00:27:28.710000,Emmanuel Bett,KEN,1983-03-30,9,Eugene,2013-05-31,Men,"10,000 m"
572,00:27:28.800000,Mark Nenow,USA,1957-11-16,2,Oslo,1986-07-05,Men,"10,000 m"
573,00:27:28.820000,Abera Ertiban,ETH,1988-03-13,5,Neerpelt,2007-06-02,Men,"10,000 m"
573,00:27:28.820000,Juan Luis Barrios,MEX,1983-06-24,3,Wageningen,2012-05-30,Men,"10,000 m"
575,00:27:28.860000,Mohamed Farah,GBR,1983-03-23,1,Marseille,2010-06-05,Men,"10,000 m"
576,00:27:28.870000,Thomas Osano,KEN,1970-06-04,3,Oslo,1991-07-06,Men,"10,000 m"
577,00:27:29.060000,Alberto Salazar,USA,1958-08-07,2,Paris,1982-07-09,Men,"10,000 m"
578,00:27:29.070000,Josephat Machuka,KEN,1973-12-12,1,Göteborg,1995-08-05,Men,"10,000 m"
579,00:27:29.080000,Gideon Ngatuny,KEN,1986-10-10,1,Okayama,2009-09-25,Men,"10,000 m"
580,00:27:29.090000,Gordon Mugi,KEN,1981-11-27,5,Bruxelles,2001-08-24,Men,"10,000 m"
581,00:27:29.100000,Edward Waweru,KEN,1990-10-03,1,Fukagawa,2012-06-27,Men,"10,000 m"
582,00:27:29.110000,Josphat Muchiri Ndambiri,KEN,1985-02-12,2,Okayama,2009-09-25,Men,"10,000 m"
583,00:27:29.120000,Charles Kamathi,KEN,1978-05-18,1,Pontevedra,2003-07-20,Men,"10,000 m"
584,00:27:29.130000,Titus Mbishei,KEN,1990-10-28,4,Nairobi,2010-06-26,Men,"10,000 m"
585,00:27:29.160000,Craig Virgin,USA,1955-08-02,1,Paris,1980-07-17,Men,"10,000 m"
586,00:27:29.210000,Nguse Tesfaldet,ERI,1986-11-10,8,Moskva,2013-08-10,Men,"10,000 m"
587,00:27:29.270000,Khalid Skah,MAR,1967-01-29,1,Bruxelles,1990-08-10,Men,"10,000 m"
588,00:27:29.310000,Eshetu Wondimu,ETH,1982-01-26,9,Hengelo,2008-05-24,Men,"10,000 m"
589,00:27:29.330000,Selim Bayrak,TUR,1987-11-30,11,Beijing,2008-08-17,Men,"10,000 m"
590,00:27:29.400000,Leonard Korir,KEN,1986-12-10,8,Palo Alto,2011-05-01,Men,"10,000 m"
591,00:27:29.410000,Wodajo Bulti,ETH,1957-03-11,1,Helsinki,1987-07-02,Men,"10,000 m"
592,00:27:29.430000,Geoffrey Kipngeno,KEN,1984-04-10,6,Neerpelt,2007-06-02,Men,"10,000 m"
593,00:27:29.440000,Luke Kipkosgei,KEN,1975-11-27,1,Melbourne,1997-12-18,Men,"10,000 m"
594,00:27:29.450000,Paul Tergat,KEN,1969-06-17,5,Oslo,1994-07-22,Men,"10,000 m"
594,00:27:29.450000,Josphat Kiprono Menjo,KEN,1979-08-20,1,Barakaldo,2006-06-24,Men,"10,000 m"
596,00:27:29.470000,Charles Kamathi,KEN,1978-05-18,13,Bruxelles,2003-09-05,Men,"10,000 m"
597,00:27:29.510000,Jaouad Gharib,MAR,1972-05-22,2,Praha,2001-06-18,Men,"10,000 m"
598,00:27:29.600000,José Rios,ESP,1974-03-15,2,Pontevedra,2003-07-20,Men,"10,000 m"
599,00:27:29.610000,Christopher Thompson,GBR,1981-04-17,6,Palo Alto,2010-05-01,Men,"10,000 m"
600,00:27:29.690000,Kota Murayama,JPN,1993-02-23,3,Machida,2015-11-28,Men,"10,000 m"
601,00:27:29.730000,Collis Birmingham,AUS,1984-12-27,2,Berkeley,2009-04-24,Men,"10,000 m"
602,00:27:29.740000,Tetsuya Yoroizaka,JPN,1990-03-20,4,Machida,2015-11-28,Men,"10,000 m"
603,00:27:29.810000,Patrick Tiernan,AUS,1994-09-11,1,Palo Alto,2017-05-05,Men,"10,000 m"
604,00:27:29.820000,John Cheruiyot,KEN,1990-07-05,1,Brasschaat,2010-07-11,Men,"10,000 m"
604,00:27:29.820000,Samuel Chelanga,KEN,1985-02-23,2,Palo Alto,2012-04-29,Men,"10,000 m"
606,00:27:29.900000,Henry Rono,KEN,1952-02-12,1,Eugene,1982-04-10,Men,"10,000 m"
607,00:27:29.940000,Hendrick Ramaala,RSA,1972-02-02,1,Port Elizabeth,1999-02-22,Men,"10,000 m"
608,00:27:29.950000,Wilson Busienei,UGA,1981-08-18,4,Hengelo,2004-05-31,Men,"10,000 m"
609,00:27:29.970000,Habte Jifar,ETH,1976-01-29,2,Hengelo,1998-06-01,Men,"10,000 m"
610,00:27:30,Alberto Salazar,USA,1958-08-07,2,Eugene,1982-04-10,Men,"10,000 m"
610,00:27:30,Mohamed Ahmed,CAN,1991-01-05,2,Palo Alto,2017-05-05,Men,"10,000 m"
612,00:27:30.020000,Joseph Kimani,KEN,1972-09-21,6,Göteborg,1995-08-08,Men,"10,000 m"
613,00:27:30.040000,Julius Kiptoo,KEN,1977-09-04,2,Melbourne,1997-12-18,Men,"10,000 m"
614,00:27:30.080000,John Thuo,KEN,1985-11-27,3,Okayama,2009-09-25,Men,"10,000 m"
614,00:27:30.080000,Yacob Jarso,ETH,1988-02-05,4,Okayama,2009-09-25,Men,"10,000 m"
616,00:27:30.170000,Haile Gebrselassie,ETH,1973-04-18,3,Durban,1993-06-24,Men,"10,000 m"
617,00:27:30.220000,Paul Tanui,KEN,1990-12-22,1,Fukuoka,2012-09-21,Men,"10,000 m"
618,00:27:30.230000,John Cheruiyot Korir,KEN,1981-12-13,1,Praha,2000-06-05,Men,"10,000 m"
619,00:27:30.260000,Habte Jifar,ETH,1976-01-29,3,Hengelo,1997-05-31,Men,"10,000 m"
620,00:27:30.300000,Brendan Foster,GBR,1948-01-12,1,London,1978-06-23,Men,"10,000 m"
620,00:27:30.300000,Benjamin Maiyo,KEN,1978-10-06,4,Ostrava,2004-06-08,Men,"10,000 m"
622,00:27:30.320000,Patrick Mutunga,KEN,1994-11-20,2,Fukagawa,2012-06-27,Men,"10,000 m"
623,00:27:30.370000,Shem Kororia,KEN,1972-09-25,1,Bratislava,1996-05-29,Men,"10,000 m"
624,00:27:30.390000,Paul Koech,KEN,1969-06-25,4,Athínai,1997-08-06,Men,"10,000 m"
625,00:27:30.420000,Mohamed Farah,GBR,1983-03-23,1,London,2012-08-04,Men,"10,000 m"
626,00:27:30.460000,John Cheruiyot Korir,KEN,1981-12-13,9,Bruxelles,2005-08-26,Men,"10,000 m"
627,00:27:30.470000,Samson Kimobwa,KEN,1955-09-15,1,Helsinki,1977-06-30,Men,"10,000 m"
628,00:27:30.500000,John Kariuki,KEN,1986-11-10,4,Kobe,2007-04-22,Men,"10,000 m"
628,00:27:30.500000,Kevin Chelimo,KEN,1983-02-14,9,Palo Alto,2011-05-01,Men,"10,000 m"
628,00:27:30.500000,Hizkel Tewelde,ERI,1986-09-15,3,Leiden,2016-06-11,Men,"10,000 m"
631,00:27:30.510000,Edward Waweru,KEN,1990-10-03,2,Kumagaya,2013-09-20,Men,"10,000 m"
632,00:27:30.530000,Mike Kigen,KEN,1986-01-15,9,Bruxelles,2011-09-16,Men,"10,000 m"
632,00:27:30.530000,Diego Estrada,USA,1989-12-12,9,Eugene,2015-05-29,Men,"10,000 m"
634,00:27:30.560000,José Manuel Martinez,ESP,1971-10-22,3,Pontevedra,2003-07-20,Men,"10,000 m"
635,00:27:30.570000,Hendrick Ramaala,RSA,1972-02-02,2,Villeneuve d'Ascq,1998-07-11,Men,"10,000 m"
636,00:27:30.580000,Boniface Kiprop,UGA,1985-10-12,6,Bruxelles,2008-09-05,Men,"10,000 m"
637,00:27:30.590000,Paul Tanui,KEN,1990-12-22,1,Fukuoka,2016-05-21,Men,"10,000 m"
638,00:27:30.610000,Mike Kigen,KEN,1986-01-15,15,Eugene,2011-06-03,Men,"10,000 m"
639,00:27:30.650000,Bedan Karoki,KEN,1990-08-21,1,Naka,2013-05-18,Men,"10,000 m"
640,00:27:30.660000,Moses Mosop,KEN,1985-07-17,5,Ostrava,2004-06-08,Men,"10,000 m"
641,00:27:30.670000,Abiyote Guta,ETH,1985-01-01,7,Neerpelt,2007-06-02,Men,"10,000 m"
642,00:27:30.680000,Juan Luis Barrios,MEX,1983-06-24,10,Palo Alto,2011-05-01,Men,"10,000 m"
643,00:27:30.690000,Hansjörg Kunze,GDR,1959-12-28,2,Jena,1983-05-28,Men,"10,000 m"
644,00:27:30.790000,Nguse Amlosom,ERI,1986-11-10,9,Rio de Janeiro,2016-08-13,Men,"10,000 m"
645,00:27:30.800000,David Bedford,GBR,1949-12-30,1,London,1973-07-13,Men,"10,000 m"
646,00:27:30.850000,Josphat Kipkoech Bett,KEN,1990-06-12,1,Bydgoszcz,2008-07-09,Men,"10,000 m"
647,00:27:30.900000,Galen Rupp,USA,1986-05-08,2,London,2012-08-04,Men,"10,000 m"
648,00:27:30.930000,Simon Maina Munyi,KEN,1978-03-18,5,Bruxelles,2000-08-25,Men,"10,000 m"
649,00:27:30.940000,Khalid El Amri,MAR,1977-03-20,12,Hengelo,2007-05-26,Men,"10,000 m"
649,00:27:30.940000,Kenneth Kipkemoi,KEN,1984-08-02,6,Eugene,2014-05-30,Men,"10,000 m"
651,00:27:30.990000,Martti Vainio,FIN,1950-12-30,1,Praha,1978-08-29,Men,"10,000 m"
652,00:27:31,Saïd Bérioui,MAR,1975-06-03,3,Villeneuve d'Ascq,1998-07-11,Men,"10,000 m"
653,00:27:31.070000,Timothy Toroitich,UGA,1991-10-10,10,Eugene,2013-05-31,Men,"10,000 m"
654,00:27:31.100000,Dominic Kirui,KEN,1967-04-12,3,Oslo,1997-07-04,Men,"10,000 m"
654,00:27:31.100000,John Kariuki,KEN,1986-11-10,1,Fukuroi,2005-10-22,Men,"10,000 m"
656,00:27:31.150000,Aron Rono,KEN,1982-11-01,11,Palo Alto,2011-05-01,Men,"10,000 m"
657,00:27:31.160000,Thierry Pantel,FRA,1964-07-06,3,Oslo,1990-07-14,Men,"10,000 m"
658,00:27:31.190000,Nick Rose,GBR,1951-12-30,3,Oslo,1983-07-09,Men,"10,000 m"
659,00:27:31.290000,Simon Ndirangu,KEN,1985-11-01,1,Tokyo,2005-05-13,Men,"10,000 m"
660,00:27:31.340000,Todd Williams,USA,1969-03-07,3,Knoxville,1995-04-06,Men,"10,000 m"
661,00:27:31.380000,Chris Derrick,USA,1990-10-17,3,Palo Alto,2012-04-29,Men,"10,000 m"
662,00:27:31.410000,Josphat Muchiri Ndambiri,KEN,1985-02-12,5,Osaka,2007-08-27,Men,"10,000 m"
663,00:27:31.430000,Tariku Bekele,ETH,1987-01-21,3,London,2012-08-04,Men,"10,000 m"
664,00:27:31.460000,Abdihakem Abdirahman,USA,1977-01-01,13,Hengelo,2007-05-26,Men,"10,000 m"
664,00:27:31.460000,Bouabdellah Tahri,FRA,1978-12-20,12,Palo Alto,2011-05-01,Men,"10,000 m"
666,00:27:31.480000,Venanzio Ortis,ITA,1955-01-29,2,Praha,1978-08-29,Men,"10,000 m"
666,00:27:31.480000,Titus Mbishei,KEN,1990-10-28,10,Eugene,2015-05-29,Men,"10,000 m"
668,00:27:31.500000,Aleksandras Antipovas,LTU,1955-03-09,3,Praha,1978-08-29,Men,"10,000 m"
669,00:27:31.540000,William Sigei,KEN,1969-10-11,7,Bruxelles,1995-08-25,Men,"10,000 m"
670,00:27:31.560000,Tim Nelson,USA,1984-02-27,7,Palo Alto,2010-05-01,Men,"10,000 m"
671,00:27:31.570000,Philip Kemei,KEN,1977-06-06,4,Villeneuve d'Ascq,1998-07-11,Men,"10,000 m"
672,00:27:31.600000,Aloÿs Nizigama,BDI,1966-06-18,1,Kagoshima,1996-10-05,Men,"10,000 m"
673,00:27:31.610000,Josphat Muchiri Ndambiri,KEN,1985-02-12,1,Gifu,2007-09-21,Men,"10,000 m"
673,00:27:31.610000,John Thuo Kimondo,KEN,1985-11-27,1,Fukuroi,2008-10-18,Men,"10,000 m"
673,00:27:31.610000,Moukhled Al-Outaibi,KSA,1980-04-30,1,Radès,2012-06-09,Men,"10,000 m"
673,00:27:31.610000,Bedan Karoki,KEN,1990-08-21,1,Nairobi,2013-07-13,Men,"10,000 m"
677,00:27:31.650000,Titus Mbishei,KEN,1990-10-28,2,Bydgoszcz,2008-07-09,Men,"10,000 m"
678,00:27:31.680000,Henry Rono,KEN,1952-02-12,1,Melbourne,1980-02-06,Men,"10,000 m"
679,00:27:31.730000,Richard Chelimo,KEN,1972-04-21,1,Bruxelles,1992-08-28,Men,"10,000 m"
680,00:27:31.760000,Edward Waweru,KEN,1990-10-03,3,Abashiri,2014-07-06,Men,"10,000 m"
681,00:27:31.860000,Elijah Korir,KEN,1978-04-15,7,Bruxelles,1998-08-28,Men,"10,000 m"
681,00:27:31.860000,Leonard Barsoton,KEN,1994-10-21,12,Eugene,2016-05-27,Men,"10,000 m"
681,00:27:31.860000,Abraham Cheroben,BRN,1992-11-10,10,Rio de Janeiro,2016-08-13,Men,"10,000 m"
684,00:27:31.870000,Khalid Skah,MAR,1967-01-29,8,Bruxelles,1998-08-28,Men,"10,000 m"
685,00:27:31.890000,Tesfaye Girma,ETH,1982-09-25,2,Fukuroi,2005-10-22,Men,"10,000 m"
686,00:27:31.920000,Shaun Creighton,AUS,1967-05-14,2,Melbourne,1996-11-25,Men,"10,000 m"
687,00:27:31.940000,Geoffrey Kamworor,KEN,1992-11-28,11,Rio de Janeiro,2016-08-13,Men,"10,000 m"
688,00:27:31.950000,John Thuo,KEN,1985-11-27,1,Tajimi,2010-05-15,Men,"10,000 m"
689,00:27:32,Goitom Kifle,ERI,1993-12-03,11,Eugene,2013-05-31,Men,"10,000 m"
690,00:27:32.020000,Girma Tola,ETH,1975-10-13,3,Hengelo,1998-06-01,Men,"10,000 m"
690,00:27:32.020000,Assefa Mezgebu,ETH,1978-06-19,8,Hengelo,2005-05-29,Men,"10,000 m"
692,00:27:32.100000,Peter Kirui,KEN,1988-01-02,1,Nairobi,2011-07-16,Men,"10,000 m"
693,00:27:32.180000,David Chelule,KEN,1977-07-07,2,Bratislava,1996-05-29,Men,"10,000 m"
693,00:27:32.180000,Shadrack Kipchirchir,USA,1989-02-22,3,Palo Alto,2017-05-05,Men,"10,000 m"
695,00:27:32.300000,Thomas Kiplitan,KEN,1983-06-15,2,Palo Alto,2004-04-30,Men,"10,000 m"
696,00:27:32.310000,Dieter Baumann,GER,1965-02-09,3,Lisboa,1998-04-04,Men,"10,000 m"
697,00:27:32.430000,Samuel Wanjiru,KEN,1986-11-10,1,Kobe,2005-04-23,Men,"10,000 m"
697,00:27:32.430000,Jacob Chesari,KEN,1984-04-06,5,Nairobi,2010-06-26,Men,"10,000 m"
699,00:27:32.440000,Kenenisa Bekele,ETH,1982-06-13,4,London,2012-08-04,Men,"10,000 m"
700,00:27:32.480000,Assefa Mezgebu,ETH,1978-06-19,5,Athínai,1997-08-06,Men,"10,000 m"
701,00:27:32.520000,Are Nakkim,NOR,1964-02-13,4,Oslo,1990-07-14,Men,"10,000 m"
701,00:27:32.520000,Yacob Jarso,ETH,1988-02-05,1,Yokohama,2008-11-23,Men,"10,000 m"
703,00:27:32.580000,Dejene Asfaw,ETH,1979-01-23,2,Yokohama,2010-09-25,Men,"10,000 m"
704,00:27:32.590000,Byron Piedra,ECU,1982-08-09,13,Palo Alto,2011-05-01,Men,"10,000 m"
705,00:27:32.600000,Tilahun Regessa,ETH,1990-01-18,6,Neerpelt,2008-05-31,Men,"10,000 m"
706,00:27:32.610000,Zersenay Tadese,ERI,1982-02-08,1,Gavá,2004-06-13,Men,"10,000 m"
707,00:27:32.630000,Fabiano Joseph Naasi,TAN,1985-12-24,14,Bruxelles,2003-09-05,Men,"10,000 m"
708,00:27:32.650000,Brendan Foster,GBR,1948-01-12,4,Praha,1978-08-29,Men,"10,000 m"
709,00:27:32.710000,Paul Tanui,KEN,1990-12-22,3,Kobe,2011-04-24,Men,"10,000 m"
710,00:27:32.720000,Bilisuma Shume,BRN,1989-07-19,1,Guangzhou,2010-11-26,Men,"10,000 m"
710,00:27:32.720000,John Thuo,KEN,1985-11-27,3,Fukagawa,2012-06-27,Men,"10,000 m"
712,00:27:32.760000,Paul Tanui,KEN,1990-12-22,2,Nairobi,2013-07-13,Men,"10,000 m"
713,00:27:32.790000,Dennis Masai,KEN,1991-12-01,12,Eugene,2012-06-01,Men,"10,000 m"
714,00:27:32.800000,José Rios,ESP,1974-03-15,2,Barakaldo,2000-07-08,Men,"10,000 m"
715,00:27:32.810000,Fabiano Joseph Naasi,TAN,1985-12-24,1,Watford,2003-07-05,Men,"10,000 m"
716,00:27:32.820000,Ondoro Osoro,KEN,1967-12-03,4,Knoxville,1995-04-06,Men,"10,000 m"
717,00:27:32.830000,Bedan Karoki,KEN,1990-08-21,3,Kobe,2014-04-19,Men,"10,000 m"
718,00:27:32.850000,Fernando Mamede,POR,1951-11-01,1,Lisboa,1983-08-20,Men,"10,000 m"
719,00:27:32.860000,Daniele Meucci,ITA,1985-10-07,4,Palo Alto,2012-04-29,Men,"10,000 m"
720,00:27:32.900000,Wilson Kiprop,KEN,1987-04-14,2,Nairobi,2011-07-16,Men,"10,000 m"
720,00:27:32.900000,Diego Estrada,MEX,1989-12-12,5,Palo Alto,2012-04-29,Men,"10,000 m"
722,00:27:32.910000,Wilson Kiprop,KEN,1987-04-14,1,Nairobi,2010-07-28,Men,"10,000 m"
723,00:27:32.940000,Bedan Karoki,KEN,1990-08-21,5,London,2012-08-04,Men,"10,000 m"
724,00:27:32.960000,El Hassan El Abbassi,BRN,1979-07-15,7,Eugene,2014-05-30,Men,"10,000 m"
725,00:27:32.970000,Salim Kipsang,KEN,1979-12-22,6,Bruxelles,2000-08-25,Men,"10,000 m"
725,00:27:32.970000,Dennis Masai,KEN,1991-12-01,10,Bruxelles,2011-09-16,Men,"10,000 m"
727,00:27:33.020000,Wilfred Taragon,KEN,1985-02-15,14,Hengelo,2007-05-26,Men,"10,000 m"
728,00:27:33.040000,Hassan Mead,USA,1989-08-28,11,Eugene,2015-05-29,Men,"10,000 m"
729,00:27:33.090000,Essa Ismail Rasheed,QAT,1986-12-14,2,Guangzhou,2010-11-26,Men,"10,000 m"
730,00:27:33.100000,Hansjörg Kunze,GDR,1959-12-28,1,Potsdam,1984-05-05,Men,"10,000 m"
731,00:27:33.130000,Leonard Barsoton,KEN,1994-10-21,1,Fukagawa,2013-06-29,Men,"10,000 m"
732,00:27:33.140000,Francesco Panetta,ITA,1963-01-10,1,Bruxelles,1988-08-19,Men,"10,000 m"
732,00:27:33.140000,Patrick Muendo Mwaka,KEN,1992-11-02,3,Fukuroi,2011-10-15,Men,"10,000 m"
734,00:27:33.200000,Ismaïl Sghyr,FRA,1972-03-16,7,Bruxelles,2000-08-25,Men,"10,000 m"
735,00:27:33.260000,Silas Kipruto,KEN,1984-09-26,7,Bruxelles,2008-09-05,Men,"10,000 m"
736,00:27:33.280000,Laban Chege,KEN,1969-09-10,4,Oslo,1997-07-04,Men,"10,000 m"
