CountryCode,IOC,FIFA,ShortName,TableName,LongName,Alpha2Code,CurrencyUnit,SpecialNotes,Region,IncomeGroup,Wb2Code,NationalAccountsBaseYear,NationalAccountsReferenceYear,SnaPriceValuation,LendingCategory,OtherGroups,SystemOfNationalAccounts,AlternativeConversionFactor,PppSurveyYear,BalanceOfPaymentsManualInUse,ExternalDebtReportingStatus,SystemOfTrade,GovernmentAccountingConcept,ImfDataDisseminationStandard,LatestPopulationCensus,LatestHouseholdSurvey,SourceOfMostRecentIncomeAndExpenditureData,VitalRegistrationComplete,LatestAgriculturalCensus,LatestIndustrialData,LatestTradeData,LatestWaterWithdrawalData
ZAR,NA,NA,Dem. Rep. Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,CD,Congolese franc,Based on official government statistics; the new base year 2005.,Sub-Saharan Africa,Low income,ZR,2005,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,19992001,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),1984,"Demographic and Health Survey (DHS), 2013/14","1-2-3 survey (1-2-3), 2005/06",NA,NA,NA,NA,2005
DNK,DEN,DEN,Denmark,Denmark,Kingdom of Denmark,DK,Danish krone,NA,Europe & Central Asia,High income: OECD,DK,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Income tax registers (ITR), 2010",Yes,2010,2010,2013,2009
DJI,DJI,DJI,Djibouti,Djibouti,Republic of Djibouti,DJ,Djibouti franc,NA,Middle East & North Africa,Lower middle income,DJ,1990,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,NA,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2006","Priority survey (PS), 2002",NA,NA,NA,2009,2e3
DMA,DMA,DMA,Dominica,Dominica,Commonwealth of Dominica,DM,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,DM,2006,NA,Value added at basic prices (VAB),Blend,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,NA,NA,Yes,NA,NA,2012,2004
DOM,DOM,DOM,Dominican Republic,Dominican Republic,Dominican Republic,DO,Dominican peso,NA,Latin America & Caribbean,Upper middle income,DO,2007,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2014","Integrated household survey (IHS), 2012",NA,2012/13,NA,2012,2005
EAS,NA,NA,East Asia & Pacific (all income levels),East Asia & Pacific (all income levels),East Asia & Pacific (all income levels),Z4,NA,East Asia and Pacific regional aggregate (including high-income economies).,NA,NA,Z4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAP,NA,NA,East Asia & Pacific (developing only),East Asia & Pacific,East Asia & Pacific (developing only),4E,NA,East Asia and Pacific regional aggregate (does not include high-income economies).,NA,NA,4E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECU,ECU,ECU,Ecuador,Ecuador,Republic of Ecuador,EC,U.S. dollar,National accounts have been revised from 1965 onward based on official government data; the new base year is 2007. The large upward changes are due to an improved calculation method for nominal GDP.,Latin America & Caribbean,Upper middle income,EC,2007,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey (RHS), 2004","Integrated household survey (IHS), 2013",NA,2013/15,2008,2013,2005
EGY,EGY,EGY,Egypt,"Egypt, Arab Rep.",Arab Republic of Egypt,EG,Egyptian pound,Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2001/02.,Middle East & North Africa,Lower middle income,EG,2001/02,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2006,"Demographic and Health Survey (DHS), 2014","Expenditure survey/budget survey (ES/BS), 2011",Yes,2009/2010,2010,2013,2e3
SLV,ESA,SLV,El Salvador,El Salvador,Republic of El Salvador,SV,U.S. dollar,NA,Latin America & Caribbean,Lower middle income,SV,1990,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Multiple Indicator Cluster Survey (MICS), 2014","Integrated household survey (IHS), 2012",Yes,2007/2008,NA,2013,2005
GNQ,GEQ,EQG,Equatorial Guinea,Equatorial Guinea,Republic of Equatorial Guinea,GQ,Central African CFA franc,National accounts have been revised from 1980 onward based on IMF data and official government statistics; the new base year is 2006.,Sub-Saharan Africa,High income: nonOECD,GQ,2006,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1968 System of National Accounts methodology.,196584,2011,NA,NA,General trade system,Budgetary central government,NA,2002,"Demographic and Health Survey (DHS), 2011","Priority survey (PS), 2006",NA,NA,NA,NA,2e3
ERI,ERI,ERI,Eritrea,Eritrea,State of Eritrea,ER,Eritrean nakfa,"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.",Sub-Saharan Africa,Low income,ER,2000,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,NA,NA,"IMF Balance of Payments Manual, 6th edition.",Estimate,NA,NA,NA,1984,"Demographic and Health Survey (DHS), 2002","Priority survey (PS), 1993",NA,NA,2011,2003,2004
EST,EST,EST,Estonia,Estonia,Republic of Estonia,EE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,EE,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,198795,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2011",Yes,2010,2011,2013,2007
ETH,ETH,ETH,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,ET,Ethiopian birr,"Fiscal year end: July 7; reporting period for national accounts data: FY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2010/11.",Sub-Saharan Africa,Low income,ET,2010/11,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014","Expenditure survey/budget survey (ES/BS), 2010/11",NA,NA,2009,2013,2002
EMU,NA,NA,Euro area,Euro area,Euro area,XC,NA,Euro area aggregate.,NA,NA,XC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECS,NA,NA,Europe & Central Asia (all income levels),Europe & Central Asia (all income levels),Europe & Central Asia (all income levels),Z7,NA,Europe and Central Asia regional aggregate (including high-income economies).,NA,NA,Z7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA,NA,NA,Europe & Central Asia (developing only),Europe & Central Asia,Europe & Central Asia (developing only),7E,NA,Europe and Central Asia regional aggregate (does not include high-income economies).,NA,NA,7E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUU,NA,NA,European Union,European Union,European Union,EU,NA,European Union aggregate.,NA,NA,EU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRO,NA,FRO,Faeroe Islands,Faeroe Islands,Faeroe Islands,FO,Danish krone,NA,Europe & Central Asia,High income: nonOECD,FO,NA,NA,Value added at basic prices (VAB),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,NA,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,NA,NA,2011,NA,NA,Yes,NA,NA,2009,NA
FJI,FIJ,FIJ,Fiji,Fiji,Republic of Fiji,FJ,Fijian dollar,"Based on data from the Bureau of Statistics, national accounts data on the expenditure side have been revised from 2005 onward; the new base year is 2005.",East Asia & Pacific,Upper middle income,FJ,2005,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,NA,"Expenditure survey/budget survey (ES/BS), 2008/09",Yes,2009,2010,2013,2e3
FIN,FIN,FIN,Finland,Finland,Republic of Finland,FI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,FI,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,NA,"Integrated household survey (IHS), 2010",Yes,2010,2010,2013,2005
FCS,NA,NA,Fragile and conflict affected situations,Fragile and conflict affected situations,Fragile situations,F1,NA,"Fragile situations aggregate. Note:  Countries with fragile situations are primarily International Development Association-eligible countries and nonmember or inactive countries and territories with a 3.2 or lower harmonized average of the World Bank's Country Policy and Institutional Assessment rating and the corresponding rating by a regional development bank, or that have had a UN or regional peacebuilding and political mission (for example by the African Union, European Union, or Organization of American States) or peacekeeping mission (for example, by the African Union, European Union, North Atlantic Treaty Organization, or Organization of American States) during the last three years.  This definition is pursuant to an agreement between the World Bank and other multilateral development banks at the start of the International Development Association 15 round in 2007. The list of countries and territories with fragile situations  is imperfect and used here to reflect a complex concept. The World Bank continues to work with partners and client countries to refine the concept.",NA,NA,F1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRA,FRA,FRA,France,France,French Republic,FR,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,FR,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2006. Rolling census based on continuous sample survey.,NA,"Expenditure survey/budget survey (ES/BS), 2005",Yes,2010,2010,2013,2007
PYF,NA,TAH,French Polynesia,French Polynesia,French Polynesia,PF,CFP franc,NA,East Asia & Pacific,High income: nonOECD,PF,1990,NA,NA,NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011 (household consumption only).,NA,NA,Special trade system,NA,NA,2007,NA,NA,Yes,NA,NA,2013,NA
GAB,GAB,GAB,Gabon,Gabon,Gabonese Republic,GA,Central African CFA franc,Based on IMF data and official government statistics; the new base year is 2001.,Sub-Saharan Africa,Upper middle income,GA,2001,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,1993,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,NA,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ)/Integrated household survey (IHS), 2005",NA,NA,NA,2009,2005
GEO,GEO,GEO,Georgia,Georgia,Georgia,GE,Georgian lari,NA,Europe & Central Asia,Lower middle income,GE,Original chained constant price data are rescaled.,1996,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,199095,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2002,"Multiple Indicator Cluster Survey (MICS), 2005; Reproductive Health Survey (RHS), 2005","Integrated household survey (IHS), 2012",Yes,NA,2011,2013,2008
DEU,GER,GER,Germany,Germany,Federal Republic of Germany,DE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,DE,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Integrated household survey (IHS), 2010",Yes,2010,2010,2013,2007
GHA,GHA,GHA,Ghana,Ghana,Republic of Ghana,GH,New Ghanaian cedi,"In 2010, the Ghana Statistical Service revised the base year for Ghana's national accounts series from 1993 to 2006. The new GDP data were about 60 percent higher than previously reported and incorporated improved data sources and methodology.",Sub-Saharan Africa,Lower middle income,GH,2006,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,197387,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2014","Living Standards Measurement Study Survey (LSMS), 2012",NA,2013/ 2014,2003,2013,2e3
GRC,GRE,GRE,Greece,Greece,Hellenic Republic,GR,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,GR,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Integrated household survey (IHS), 2010",Yes,2009,2007,2013,2007
GRL,NA,NA,Greenland,Greenland,Greenland,GL,Danish krone,NA,Europe & Central Asia,High income: nonOECD,GL,1990,NA,NA,NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,NA,NA,NA,General trade system,NA,NA,2010,NA,NA,Yes,NA,NA,2013,NA
GRD,GRN,GRN,Grenada,Grenada,Grenada,GD,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,GD,2006,NA,Value added at basic prices (VAB),Blend,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Reproductive Health Survey (RHS), 1985",NA,Yes,2012,NA,2009,2005
GUM,GUM,GUM,Guam,Guam,Guam,GU,U.S. dollar,NA,East Asia & Pacific,High income: nonOECD,GU,NA,NA,NA,NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011 (household consumption only).,NA,NA,General trade system,NA,NA,2010,NA,NA,Yes,2007,NA,NA,NA
GTM,GUA,GUA,Guatemala,Guatemala,Republic of Guatemala,GT,Guatemalan quetzal,NA,Latin America & Caribbean,Lower middle income,GT,2001,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2002,"Reproductive Health Survey (RHS), 2008/09","Living Standards Measurement Study Survey (LSMS), 2011",Yes,2013,NA,2013,2006
GIN,GUI,GUI,Guinea,Guinea,Republic of Guinea,GN,Guinean franc,NA,Sub-Saharan Africa,Low income,GN,2003,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2014,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",NA,NA,NA,2008,2001
GNB,GBS,GNB,Guinea-Bissau,Guinea-Bissau,Republic of Guinea-Bissau,GW,West African CFA franc,"In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates.",Sub-Saharan Africa,Low income,GW,2005,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,NA,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2014","Core Welfare Indicator Questionnaire Survey (CWIQ), 2010",NA,NA,NA,2005,2e3
GUY,GUY,GUY,Guyana,Guyana,Co-operative Republic of Guyana,GY,Guyana dollar,"In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.",Latin America & Caribbean,Lower middle income,GY,2006,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,NA,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,NA,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2014","Integrated household survey (IHS), 1998",NA,NA,NA,2013,2010
HTI,HAI,HAI,Haiti,Haiti,Republic of Haiti,HT,Haitian gourde,"Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.",Latin America & Caribbean,Low income,HT,1986/87,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1991,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,NA,General Data Dissemination System (GDDS),2003,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013","Integrated household survey (IHS), 2012",NA,2008/ 2009,NA,1997,2e3
HPC,NA,NA,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),XE,NA,Heavily indebted poor countries aggregate.,NA,NA,XE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HIC,NA,NA,High income,High income,High income,XD,NA,"High income group aggregate. High-income economies are those in which 2014 GNI per capita was $12,736 or more.",NA,NA,XD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOC,NA,NA,High income: nonOECD,High income: nonOECD,High income: nonOECD,XR,NA,"High income nonOECD aggregate. High-income economies are those in which 2014 GNI per capita was $12,736 or more.",NA,NA,XR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OEC,NA,NA,High income: OECD,High income: OECD,High income: OECD,XS,NA,"High income OECD members aggregate. High-income economies are those in which 2014 GNI per capita was $12,736 or more.",NA,NA,XS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HND,HON,HON,Honduras,Honduras,Republic of Honduras,HN,Honduran lempira,NA,Latin America & Caribbean,Lower middle income,HN,2000,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,198889,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2013",NA,2013,NA,2012,2003
HKG,HKG,HKG,"Hong Kong SAR, China","Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,HK,Hong Kong dollar,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",East Asia & Pacific,High income: nonOECD,HK,Original chained constant price data are rescaled.,2013,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,NA,Yes,NA,2011,2012,NA
HUN,HUN,HUN,Hungary,Hungary,Hungary,HU,Hungarian forint,"April 2012 database update: Based on data from the Organisation for Economic Co-operation and Development, national accounts data were revised for 1991 onward.",Europe & Central Asia,High income: OECD,HU,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2012",Yes,2010,2010,2013,2007
ISL,ISL,ISL,Iceland,Iceland,Republic of Iceland,IS,Iceland krona,NA,Europe & Central Asia,High income: OECD,IS,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Integrated household survey (IHS), 2010",Yes,2010,2005,2013,2005
IND,IND,IND,India,India,Republic of India,IN,Indian rupee,Fiscal year end: March 31; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2011/12. India reports using SNA 2008.,South Asia,Lower middle income,IN,2011/12,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2005/06","Integrated household survey (IHS), 2011/12",NA,2011,2010,2013,2010
IDN,INA,IDN,Indonesia,Indonesia,Republic of Indonesia,ID,Indonesian rupiah,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. New base year is 2010.,East Asia & Pacific,Lower middle income,ID,2010,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2013",NA,2013,2011,2013,2e3
IRN,IRI,IRN,Iran,"Iran, Islamic Rep.",Islamic Republic of Iran,IR,Iranian rial,Fiscal year end: March 20; reporting period for national accounts data: FY.,Middle East & North Africa,Upper middle income,IR,2004/05,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,19802002,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Iran's Multiple Indicator Demographic and Health Survey (IrMIDHS), 2010","Expenditure survey/budget survey (ES/BS), 2005",Yes,2013,2010,2011,2004
IRQ,IRQ,IRQ,Iraq,Iraq,Republic of Iraq,IQ,Iraqi dinar,NA,Middle East & North Africa,Upper middle income,IQ,2007,NA,Value added at producer prices (VAP),IBRD,NA,Country uses the 1968 System of National Accounts methodology.,"1997, 2004",2011,"IMF Balance of Payments Manual, 6th edition.",NA,NA,NA,General Data Dissemination System (GDDS),1997,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2012",NA,2011/2012,2011,NA,2e3
IRL,IRL,IRL,Ireland,Ireland,Ireland,IE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,IE,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Integrated household survey (IHS), 2010",Yes,2010,2010,2013,1979
IMY,NA,NA,Isle of Man,Isle of Man,Isle of Man,IM,Pound sterling,NA,Europe & Central Asia,High income: nonOECD,IM,2003,NA,NA,NA,NA,Country uses the 1968 System of National Accounts methodology.,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,Yes,NA,NA,NA,NA
ISR,ISR,ISR,Israel,Israel,State of Israel,IL,Israeli new shekel,Based on official government statistics for chain linked series; the new reference year is 2010.,Middle East & North Africa,High income: OECD,IL,Original chained constant price data are rescaled.,2010,Value added at producer prices (VAP),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,NA,"Expenditure survey/budget survey (ES/BS), 2010",Yes,NA,2010,2013,2004
ITA,ITA,ITA,Italy,Italy,Italian Republic,IT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,IT,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,NA,"Income survey (IS), 2010",Yes,2010,2010,2013,2e3
JAM,JAM,JAM,Jamaica,Jamaica,Jamaica,JM,Jamaican dollar,"April 2013 database update: Based on official government statistics, national accounts data were revised for 2002 onward; the base year changed to 2007.",Latin America & Caribbean,Upper middle income,JM,2007,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011","Living Standards Measurement Study Survey (LSMS), 2010",NA,2007,NA,2013,1993
JPN,JPN,JPN,Japan,Japan,Japan,JP,Japanese yen,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income: OECD,JP,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,NA,"Integrated household survey (IHS), 2008",Yes,2010,2010,2013,2001
