ranking,company,customer_satisfaction,employee_engagement_and_development,innovation,social_responsibility,financial_strength,effectiveness
398,Constellation Brands Inc A,53.1,54.1,51.7,44.5,45.8,49.7
398,Packaging Corp of America,53.7,53.5,41.8,52.2,48.1,49.7
398,State Street Corp,42.3,40.2,48.6,67.2,44.7,49.7
398,Toro Co,53.9,54.8,47.1,42.9,53.8,49.7
403,Kansas City Southern Inc,47.3,55.1,44.4,53.7,47.4,49.6
404,Carters Inc,58.7,46,47.4,47.9,48.9,49.5
404,UGI Corp,45.4,65.5,51,40.1,48.6,49.5
404,Walgreens Boots Alliance Inc,47.4,37.6,49.5,61.2,49.4,49.5
407,American Intl Group Inc,32.2,42.5,68.8,51,49.8,49.4
407,American Tower Corp A,48.5,48.2,50.5,49.5,51.8,49.4
407,WESCO Intl Inc,55.9,39,49.8,54.1,47.3,49.4
410,Boise Cascade Co,46.5,44.9,43.3,49.4,70.2,49.3
410,Chipotle Mexican Grill Inc,55.1,38.8,49.1,49.9,56.6,49.3
410,Cree Inc,69.4,46.9,42.8,49.7,36.7,49.3
410,IQVIA Holdings Inc,47.7,54.2,50.8,47.3,47.7,49.3
410,Sunrun Inc,69.9,49.2,40,49,38.5,49.3
415,Fifth Third Bancorp (OH),44,53.9,45.7,55.3,47.1,49.2
415,Lincoln National Corp,42.9,51.9,42.6,60.5,46.8,49.2
415,Sensata Technologies Holding plc,54.4,41.9,51.3,52.1,45.2,49.2
415,Trinseo SA,62.7,35.1,47.7,51.7,50,49.2
419,The Kraft Heinz Company,55.6,45.7,49,49.8,45.6,49.1
420,Fuller H.B. Co,60,46.7,46.5,47.3,46.4,49
420,Science Applications International Corp,45.8,51.3,51.5,49.9,47,49
422,Carlisle Cos,51.3,52.7,50.7,45.2,46.8,48.9
422,Enphase Energy Inc,48.1,52.7,43.4,37.8,75.7,48.9
422,Zynga Inc A,46.8,61.3,45.8,47.5,45,48.9
425,Domtar Corp,60.9,41.5,45.3,54.5,40.8,48.8
425,Flowserve Corp,54.9,50.7,46.3,49.1,44,48.8
425,Howmet Aerospace Inc,56.8,34.5,49.7,56,46,48.8
425,Jefferies Financial Group Inc,51,57.1,44.2,41.8,57.3,48.8
425,Skyworks Solutions Inc,49.7,45.9,48.1,46.6,59.2,48.8
430,Fidelity National Financial Inc,48.5,47.1,48.7,45.5,59.7,48.7
430,Pulte Group Inc,51.7,55.7,43.3,43.2,56.9,48.7
430,VeriSign Inc,40.2,52.7,47.8,45.4,65.2,48.7
433,Axalta Coating Systems Ltd,56.8,42.4,47,52.1,45.7,48.6
433,Berry Global Group Inc,48.8,43.1,52.9,51.5,47.2,48.6
433,Cintas Corp,45.6,46.9,49.8,49.2,55.2,48.6
433,Lennox International Inc,48.6,50.9,42.7,46.3,62.6,48.6
433,Norfolk Southern Corp,56.7,25.2,50.4,59.2,51.1,48.6
433,Timken Co,49.2,48.1,46.9,52.5,48,48.6
439,CH Robinson Worldwide Inc,55,46.5,43.7,48.8,53.2,48.5
439,Everest Re Group Ltd,45.1,43.5,49.5,50.6,58.4,48.5
439,"Five9, Inc",53.5,65.5,42.4,40.2,46.5,48.5
439,Pinnacle West Capital (AZ),37.4,56.5,44.1,59.3,44.6,48.5
443,CME Group Inc A,48.4,55.1,46.7,48.5,45.7,48.4
444,ABM Industries Inc,55.5,35.6,45.5,57.7,47.9,48.3
444,Entegris Inc,53.4,53.4,46.6,40.6,54.8,48.3
444,Fidelity National Information,54.3,48.7,45.8,52.1,41.1,48.3
444,Flowers Foods Inc,56.7,40.8,48.8,50.1,47.3,48.3
444,MarketAxess Holdings,41.6,56.6,41.1,44.9,67.9,48.3
444,Monster Beverage Corp New,47.2,53.3,50.6,37.5,62.5,48.3
444,United Rentals Inc,39.3,55,46.8,54.1,48.2,48.3
451,CSX Corporation,50.2,31.8,45.5,61.5,52.7,48.1
451,Dover Corp,53,44.2,48.6,47.3,51.8,48.1
451,Kelly Services A,51.2,44.2,46,54.9,45.5,48.1
451,Masimo Corp,49.3,50,51.4,38.9,59.5,48.1
451,Sealed Air Corp,50.7,41.6,47.7,49.7,55.6,48.1
456,American Airlines Group Inc,51.7,35.8,69.1,53.2,21.1,48
456,Emcor Group Inc,53.4,54.9,44.1,44.5,48.3,48
458,Avnet Inc,54.8,42.7,46.3,53,43.9,47.9
458,"Expedia Group, Inc",44.8,55.4,63.7,43.6,29.2,47.9
458,KeyCorp,44.1,51.7,43.5,55.7,46.2,47.9
458,Paycom Software Inc,50,59.4,43.8,39.4,55.9,47.9
462,Brinker Intl Inc,53.4,53.5,51.2,39.9,46.4,47.8
462,MGM Resorts International,52.5,42.5,53,51.3,39.3,47.8
462,Nisource Inc,44.6,46.9,42.9,61,43.5,47.8
462,Palo Alto Networks Inc,50.8,57.7,46.7,47.3,38.2,47.8
462,Zebra Technologies Corp,44.4,51.5,47,45.9,57.6,47.8
467,Aon plc,36.6,49,48.9,53.6,54.3,47.7
467,CIENA Corp,42.7,62.2,43.5,45.7,50.8,47.7
467,Cincinnati Financial Corp,46.5,49.8,42.5,44.6,66,47.7
467,Paylocity Holding Corp,50.4,58.3,44.8,41,51.8,47.7
467,Plexus Corp,47.1,47.1,56.4,43.6,47.8,47.7
472,Biomarin Pharmaceutical Inc,53.6,60.2,46,42.8,38.9,47.6
472,Realty Income Corp,43.4,60.8,42.2,51.2,43.3,47.6
472,Valero Energy Corp,48.3,54.1,45.1,51.6,40.9,47.6
472,Wayfair Inc A,49.3,42.3,55.8,35.5,66.4,47.6
476,Mohawk Industries Inc,53.1,43,46.9,50.4,47.7,47.5
477,Catalent Inc,45.4,44.3,47,53.3,51.1,47.4
478,Bill.com Holdings Inc,66.1,47.9,49,38.8,39.6,47.3
478,"Discovery, Inc C",43.7,53.8,53.3,44.1,46.2,47.3
478,Synchrony Financial,40.6,57.5,42.9,50.9,50.1,47.3
481,Arch Capital Group Ltd,47.1,55.3,45.7,42,54.7,47.2
481,Parker-Hannifin Corp,46.8,46.9,43.9,52.8,50.7,47.2
481,Splunk Inc,55.8,63.9,46.8,46.1,22.3,47.2
484,CF Industries Holdings,40.4,55.7,45.8,51.4,46.4,47.1
484,Fortune Brands Home & Security Inc,46.7,59,44.9,41.9,51.1,47.1
484,Hanover Insurance Group Inc,41.2,58.5,42.8,49.2,50.1,47.1
484,PACCAR Inc,55.6,40.9,46.6,48.7,49,47.1
484,"Zoom Video Communications, Inc",32.3,63.3,52,35.3,65.2,47.1
489,Realogy Holdings Corp,55.7,44.7,46.6,47.4,45.3,47
489,Vulcan Materials Co,52.4,51,42.8,47.7,46.9,47
489,WEC Energy Group Inc,47.1,43.6,42.4,57.9,47,47
489,WestRock Co,52.6,44,50.3,48.8,42.2,47
493,Capri Holdings Ltd,59.5,46.5,46.6,43.3,44.4,46.9
493,Ceridian HCM Holding Inc,59,52.6,42.4,42.8,44.5,46.9
493,"Coca-Cola Consolidated, Inc",48.6,42.9,64.5,33,53.6,46.9
493,Liberty Media SiriusXM-A,53.5,61.4,48.8,34.9,43.3,46.9
497,"Qorvo, Inc",50.1,50.5,44.2,43.1,55.6,46.8
497,WP Carey Inc,45.9,51.6,48.5,47.8,45,46.8
499,Lyft Inc-A,50.5,55.5,62.8,39,24.9,46.7
499,McKesson Corp,40.5,53.5,45.1,54.5,43.1,46.7
501,A.O. Smith Corp,47,46.4,48.3,46.3,52.2,46.6
501,Broadcom Inc,45.2,42,52.3,45.7,55.3,46.6
503,CMS Energy Corp,41.7,46.9,44.4,56.9,45.8,46.5
503,INSULET CORP,50.3,44.1,44.9,49.5,50.5,46.5
503,STERIS plc,56,49.3,42.6,45.4,46.2,46.5
503,Terex Corp,53.8,43.6,45.9,49.4,45,46.5
507,Arrow Electronics Inc,62.9,35.7,42.4,48.9,49.2,46.4
507,Charles River Laboratories International Inc,53,43.1,44,48.4,51,46.4
507,Fortive Corp,56.8,40.3,46.2,47.8,47.1,46.4
510,ArcBest Corporation,46.5,59.3,41.3,44.3,48.7,46.3
510,Chegg Inc,45.3,56.5,48.9,40.8,48.4,46.3
510,J.B. Hunt Transport Services,51.2,46.8,44.6,46.3,50.3,46.3
510,Omnicom Group,30.9,55.2,47.4,53.3,50.2,46.3
510,Pegasystems Inc,51.2,55,45,43.3,44.2,46.3
515,Bruker BioSciences Corp,56.9,48.2,45,39.4,51.9,46.2
515,Commscope Holding Co Inc,46.5,46.4,48.4,55.1,35.8,46.2
515,Genuine Parts Co,48.8,47.1,46.5,47.2,48.1,46.2
515,"Marvell Technology, Inc",52.7,54.1,45,43.6,42.1,46.2
515,Unum Group,40,48.5,46.3,54.7,45.8,46.2
520,Monolithic Power Systems,46.6,51.9,45,38.7,61.7,46.1
520,US Foods Holding Corp,56.4,41.6,47.7,47.9,41.5,46.1
522,American Axle & Mfg Holdings,55.2,39.4,48.1,49.3,43,46
522,Resideo Technologies Inc,55.2,42.4,46.8,45.7,47.2,46
524,Boston Beer Inc A,40.5,61.5,47,34.2,60.7,45.9
524,Essex Property Trust,45.4,60.5,38.6,48.2,44.5,45.9
524,Macy’s Inc,42.1,40.2,48.2,59.4,41.4,45.9
524,Signet Jewelers Ltd,47.1,40,44.1,55,49.4,45.9
528,"Datadog, Inc",57.4,51.6,47.8,36,46.1,45.8
528,Foot Locker Inc,46.6,45.4,43.1,50.3,52,45.8
528,Hubbell Inc,53.8,38.7,51.3,44.4,47.9,45.8
528,Kemper Corporation,45.9,49.6,53,42.5,44.7,45.8
528,Lamb Weston Holdings Inc,51,47.5,45.9,45.4,46.9,45.8
528,M&T Bank Corp,48.3,47.6,49.7,45,45.2,45.8
528,Penske Auto Group,46.1,48.4,46.1,46.5,50.3,45.8
535,Alexandria Real Estate Eqty,42,54.9,44.5,47.6,47.3,45.7
535,Citizens Financial Group Inc,48.7,49.6,48.3,44.2,45.1,45.7
535,Concentrix Corp,60.2,39,46.5,43.6,47.9,45.7
535,Fiserv Inc,46.8,43.2,56.1,44.2,43.9,45.7
535,O-I Glass Inc,46.7,48.1,49.3,44.8,47,45.7
535,Phillips 66,33.3,58.1,48.6,52.8,39.1,45.7
535,Ross Stores Inc,50,42,48.8,44.8,52,45.7
535,Sirius XM Holdings Inc,51.1,49.5,52.5,38.5,45.1,45.7
535,United States Steel Corp,49.1,42.8,48.4,48.3,46,45.7
544,Bio-Techne Corp,57.2,43.9,43.2,43.2,50.7,45.6
544,Broadridge Financial Solutions Inc,43.1,48.3,45.2,49.5,49.9,45.6
544,CDW Corp,48.4,52,44.4,40.3,54.9,45.6
544,Crane Co,54.3,41.3,49,43.7,48,45.6
544,Horizon Therapeutics,44.4,54.5,44.6,37.6,61.4,45.6
544,Spirit Aerosystems Holdings A,51.1,46.3,47.9,49.7,36.8,45.6
550,Avangrid Inc,30.4,48,48,60.2,43.9,45.5
550,MSC Industrial Direct A,56.8,47.2,41.2,44.2,47.4,45.5
550,Pinterest Inc,46.7,54.1,46.8,40.6,49.6,45.5
550,Service Corp Intl,47.8,47.1,46.6,41.4,56.3,45.5
550,Worthington Industries Inc,56.1,44.6,46.7,35.3,59.2,45.5
550,Zillow Group Inc C,45.3,61.8,43.1,41.6,45.4,45.5
556,Atmos Energy Corp,48.3,57.8,44.8,40.6,45,45.4
556,Jack Henry & Associates Inc,51.2,47.6,44.9,42.7,51,45.4
556,"MongoDB, Inc",59.6,66.3,41.9,35.4,31.8,45.4
556,PriceSmart Inc,36.8,51.5,60.7,38.9,46.5,45.4
556,Tempur Sealy Intl Inc,45.5,41.2,44.7,46.1,62,45.4
561,Berkshire Hathaway B,47.4,29.8,56.8,31.7,80.1,45.3
561,Kinder Morgan Inc,38.7,49.7,44.1,54.7,45,45.3
561,SVB Financial Group,34.2,62.5,47.4,41,52.8,45.3
564,Cloudflare Inc-A,63.5,54,41.6,38,38.1,45.2
564,Willis Towers Watson PLC,39.4,50.6,45.2,49.7,49.5,45.2
566,Century Communities Inc,50.3,45.9,44.8,41.8,54.7,45.1
566,First American Financial Corp,39.9,49.8,50.5,43.3,52.2,45.1
566,Royal Caribbean Group,38.5,61.4,48.8,56.9,17.2,45.1
566,Twitter Inc,22,59.6,57.9,46.3,46.1,45.1
570,Centerpoint Energy Inc,47.5,47.1,45.7,48,44.2,45
570,Domino’s Pizza Inc,50.6,35.8,49.5,35.5,71,45
570,Raymond James Financial Inc,47.5,52.7,46.1,41.2,48.3,45
570,Tyler Technologies Inc,52.5,51.2,44.5,40.9,46.2,45
574,Carrier Global Corp,50.2,33.9,45.2,51.7,52.3,44.9
575,Burlington Stores Inc,51.3,35.9,44.6,52.1,48,44.8
575,Fresh Del Monte Produce,59.6,41.1,46.5,42.3,43.8,44.8
575,Insperity Inc,39.7,57.8,44.4,40.7,54.3,44.8
575,PPL Corp,43.3,36.2,51,54.6,44,44.8
575,The Williams Companies Inc,37.6,50.6,42.4,55.1,45.1,44.8
580,Commercial Metals Co,44.6,48.9,41.8,48.9,49.5,44.7
580,Exact Sciences Corp,50.5,63.4,41.2,45.7,28.2,44.7
580,Franklin Resources Inc,38.8,49.4,40.7,54.4,48.3,44.7
580,Lithia Motors Inc,43.1,46.4,45.2,44.8,56.2,44.7
580,Qurate Retail Inc-A,41.5,49.5,50.6,42.9,49.1,44.7
580,SolarEdge Technologies Inc,47.2,45.3,40.6,46,57.5,44.7
580,Urban Outfitters,51.8,41.4,48.3,44.7,46.3,44.7
587,American Homes 4 Rent A,44.6,54,44.2,44.9,44.9,44.6
587,Clean Harbors Inc,53.9,40.4,48.4,43,47,44.6
589,Cerner Corp,41.2,42.1,48.4,50.5,48.6,44.5
589,Snap On Inc,51.5,46.2,45.6,40.5,51.1,44.5
591,GoDaddy Inc A,48.2,52.7,47.3,40.3,43.6,44.4
591,MSCI Inc,26.4,59,45.2,43.8,62.5,44.4
591,Palantir Technologies Inc Class A,68.8,52.9,48.7,36.7,19.8,44.4
591,Skechers USA Inc A,53.2,40,54.5,37.1,48.3,44.4
591,Teleflex Inc,42.9,51.3,46.5,45.1,45.8,44.4
596,Occidental Petroleum,41.3,49.4,46.2,58.6,27.2,44.3
596,ViacomCBS Inc B,37.1,43.6,50.4,50.9,47.5,44.3
598,Alliant Energy Corp,43.1,36.2,48.5,54.6,45.4,44.2
598,Graphic Packaging Holding Co,48.4,42.1,41.8,52.1,45,44.2
598,Incyte Corp,50.1,47.9,45.5,41.2,48.2,44.2
598,Martin Marietta Materials,45.9,52.6,42.2,44,47.9,44.2
602,"Albertsons Companies, Inc",41.7,42.8,56.6,39.3,51.8,44.1
602,Alnylam Pharmaceuticals Inc,52.9,64,45.8,39.5,24.2,44.1
602,AmerisourceBergen Corp,37,47.2,42.9,57.7,41.9,44.1
602,Devon Energy Corp,37.7,40.6,46.4,60.3,39.8,44.1
602,Nordson Corp,48.8,42.3,46.8,44.9,48.6,44.1
602,Patterson Cos Inc,45.6,56,41.2,42.7,47.1,44.1
608,Amkor Technology Inc,48.3,38.3,44.1,48.4,52.3,44
608,FirstEnergy Corp,36.2,50.3,47.3,49.5,45.4,44
608,Herbalife Nutrition Ltd.,31.4,58.9,48,38.7,58.5,44
608,Huntington Ingalls Industries Inc,48.7,44.3,48.8,41.8,47.8,44
612,Bed Bath & Beyond Inc,56.8,33.4,53.2,42.3,43.2,43.9
612,Pool Corp,45,18.4,60.8,41.6,68.4,43.9
612,Seaboard Corp,55.7,49.1,48.8,30.2,51.6,43.9
612,Wynn Resorts Ltd,56.7,47.3,44.9,48.4,27,43.9
616,Dynatrace Inc,50.9,54.9,48.6,32.1,46.8,43.8
616,Horton D.R. Inc,48.3,45.2,43.5,36.6,63.8,43.8
616,Veritiv Corporation,40.8,51.2,43.1,48.1,46.2,43.8
616,Zions Bancorporation N.A.,50.3,43,47.9,42.6,46.1,43.8
620,Dentsply Sirona Inc,50,37.4,51.3,44.6,44.9,43.7
620,Edison Intl,40.7,36.1,46.5,57,45.7,43.7
620,F5 Networks Inc,45.1,52.9,44.4,42.6,45,43.7
620,Federal Realty Invt Trust,43.6,48.7,41.4,52,41.2,43.7
620,Meritor Inc,44.2,46.9,49.7,43.8,44.1,43.7
620,Vail Resorts Inc,60.9,35.5,43.7,45,44,43.7
626,Diebold Nixdorf Incorporated,62.1,37.6,42.4,46.9,38.1,43.6
626,East West Bancorp Inc,51.5,44,46.1,41.9,46.5,43.6
626,Encompass Health Corp,46.7,46.4,47.2,42.2,47.7,43.6
626,Perrigo Company plc,46.1,53,46.3,43.6,38.4,43.6
626,Reinsurance Group of America,33.6,61.5,42,46.9,45.5,43.6
631,Duke Realty Corp,43.9,51.3,40.8,45,49.6,43.5
631,O’Reilly Automotive,53.7,34.8,40.9,39.6,67.8,43.5
631,"Voya Financial, Inc",32.4,49.7,44.4,53.6,46.8,43.5
634,"Cboe Global Markets, Inc",37,57.2,43,44.5,48.2,43.4
634,Granite Construction Inc,52.1,47.7,41.8,45.4,40.9,43.4
636,Fox Corp B,45.4,27.5,55.1,46.8,52.5,43.3
636,Marathon Petroleum Corp,42,46.8,40.5,56.5,37.9,43.3
636,Paychex Inc,29.6,49.9,46,47.2,58.2,43.3
636,SBA Communications Corp,30.1,66.5,43.4,42.5,47.1,43.3
640,AMETEK Inc,46.7,42.3,47.3,43.6,48.8,43.2
640,Cognex Corp,47,50.4,45.4,35.7,54.1,43.2
640,"Coupa Software, Inc",56.3,62.5,42.5,36.5,28.3,43.2
640,Wabtec,49.6,41.7,49,44,42.2,43.2
644,Asbury Automotive Group Inc,43.5,47.1,46.8,39.4,54.4,43.1
644,Microchip Technology Inc,39.5,45,50.7,45.7,45.4,43.1
644,NOV Inc,58.9,43.7,44.1,43.6,34.5,43.1
644,Novocure Limited,42.6,50.5,43.2,34.7,65.1,43.1
644,NVR Inc,39,55.5,42.7,34.6,63.8,43.1
644,Pioneer Natural Resources,44.8,43.4,42.8,52.2,41.3,43.1
650,The ODP Corporation,47.4,43,47,45,43.8,43
651,Athene Holding,43.2,44.6,49.4,35,60.5,42.9
651,Landstar System Inc,44.8,44.6,43.5,38.9,61.2,42.9
651,"Ulta Beauty, Inc",54.2,41.6,45.6,38.1,50.5,42.9
651,WR Berkley Corp,33.7,50.8,44.1,48.2,50.4,42.9
655,IAC InterActiveCorp,42.1,48.2,46.4,34.9,61.6,42.8
655,"Tri Pointe Homes, Inc",51.1,47.2,42.3,39.6,49.1,42.8
657,Axis Capital Hldgs Ltd,37.4,51.6,43.5,45.4,49.5,42.7
657,Black Knight Inc,42.7,43.8,48.3,45.9,44.3,42.7
657,Carmax Inc,39.5,48.9,46.1,44.3,48.2,42.7
657,Cheniere Energy Inc,59.3,39.9,41.7,47.2,35.1,42.7
657,Extra Space Storage Inc,40.3,51.2,43.1,43,50.8,42.7
657,Union Pacific Corp,48.6,11.5,47.5,60,56.6,42.7
663,Delphi Technologies plc,51.6,40.6,49.5,43.9,37.4,42.6
663,Novavax Inc,49,45.5,44.4,35.6,57.1,42.6
663,XPO Logistics Inc,42.5,44.8,44.2,47,47.1,42.6
666,Centene Corp,39.5,46.6,43.2,47.5,49.1,42.5
666,Costar Group Inc,46.2,43.4,50.6,38.7,48,42.5
668,HCA Healthcare Inc,43.1,38.5,45.6,42.8,59,42.4
668,US Cellular Corp,40.8,51.8,50.2,39.1,43.1,42.4
668,Westlake Chemical Corp,40.7,53.8,53.1,33.2,46.7,42.4
671,American Financial Group,41.4,53.2,40.2,40.5,53.7,42.3
671,Bloomin’ Brands Inc,51.5,38.6,46.5,39.8,51,42.3
671,Olin Corp,49.1,41.2,47,42.5,45,42.3
674,Invitation Homes,40.8,54.2,43.7,41.8,44.9,42.2
674,PPD Inc,49.5,50.6,45.6,34.8,46.8,42.2
674,RingCentral Inc A,41.3,62.9,43.1,38.8,38.8,42.2
674,Simon Property Group A,47.7,32.9,41.7,51.4,50.7,42.2
674,Zimmer Biomet Holdings Inc,35.5,46,48.4,48.3,44.4,42.2
679,Arthur J. Gallagher & Co,43.6,43.8,40.1,47.5,50.7,42.1
679,Lennar Corp A,46,48,43.1,35.7,57.3,42.1
679,News Corp B,47.9,41.1,41.2,48.7,44.4,42.1
682,Charter Communications Inc A,22.6,42.1,54.8,49.4,54,42
682,CNA Financial Corp (IL),40.9,50.4,47.6,38.3,48.7,42
682,Copart Inc,49.3,39.7,48.3,32.4,61,42
682,Old Dominion Freight Line Inc,45,49.3,40.7,36,60,42
682,RenaissanceRe Hldgs,34.6,57.5,42.8,43.2,47.2,42
687,Assurant Inc,31.3,45.2,45.3,52.2,47.9,41.9
687,Cooper Companies Inc,54.4,30.9,42.5,41.4,59.2,41.9
687,Insight Enterprises Inc,39.5,50.7,44.8,42,47.7,41.9
687,PG&E Corporation,27.7,50.2,44,55.7,42,41.9
691,"DoorDash, Inc Class A",50.5,52.5,47.9,33.3,39.9,41.8
691,LKQ Corp,51.8,36.7,44.8,42.5,48.9,41.8
691,Petco Health and Wellness Company Class A,48.9,32.7,47.3,47.7,44.9,41.8
694,MAXIMUS Inc,49.6,40.8,45.2,40.1,49.4,41.7
695,Fastenal Co,49.8,39.1,43.6,37.5,57.8,41.6
695,Mastec Inc,49.6,39.4,45.3,41.3,48.3,41.6
695,Public Storage,40.3,36.9,43.2,50.2,52.1,41.6
695,Sanderson Farms,48.2,44,42.7,40.1,50.5,41.6
695,Toll Brothers Inc,42.9,48.7,45.7,39.4,47.6,41.6
695,TransUnion,32.9,56.7,42,44.2,47.9,41.6
701,Abiomed Inc,43,47.3,46.3,35.2,55.6,41.5
701,Amphenol Corp A,33.4,36.5,51.2,48.6,51.6,41.5
701,Sanmina Corp,55.9,30.3,45.3,44,47.1,41.5
701,The Brink’s Co,51.3,31.1,55.2,39.3,44.7,41.5
705,CNO Financial Group Inc,36.2,45.6,41.1,51.3,46.5,41.4
705,Loews Corp,58.7,40.5,43.3,35.6,46.8,41.4
705,People’s United Financial Inc,52.5,41.1,43,41.8,43.9,41.4
705,"United Airlines Holding, Inc",44.7,42.4,50.9,49.9,26,41.4
709,Mercury General Corp,43.3,44.1,43,37.7,59.1,41.3
710,Casey’s General Stores Inc,51.8,34.3,48.4,39.2,49.2,41.2
710,Coty Inc,52.4,34,46.9,46.1,38.6,41.2
710,Elanco Animal Health Inc,49.7,53.5,46.3,33.6,39.2,41.2
710,IPG Photonics Corp,53.3,36.9,42.2,44.6,43.8,41.2
710,Tenet Healthcare,45.3,38.1,43.7,44.4,51.2,41.2
715,Alleghany Corp (NY),44.1,40.7,47.8,40,50.1,41.1
715,Synnex Corp,38.8,48.2,43.2,41.4,51.9,41.1
717,Ingersoll Rand Inc,39.1,52.7,45.9,39.9,43.1,41
717,Jazz Pharmaceuticals plc,39.7,57.7,44.5,37,43,41
717,Leggett & Platt,42.2,41.9,50,39.5,48,41
717,Stifel Financial Corp,57,39.9,40.9,37.9,48.1,41
721,AutoNation Inc,48,38.4,43.6,40.6,52.8,40.9
721,OneMain Holdings Inc,35,47.8,42.5,45.5,51.1,40.9
721,Sprouts Farmers Markets Inc,45.3,34.2,43.8,47.9,48.6,40.9
724,H&R Block Inc,42.8,41,40.1,44.7,54,40.8
724,Owens & Minor Inc,44.2,43.2,44.5,39.5,51.1,40.8
726,"Match Group, Inc",35.9,38.2,49.5,40.8,58.8,40.7
726,Reynolds Consumer Products Inc,40.3,59.9,43.4,31.4,49.7,40.7
728,Adient Inc,46.8,42,46.8,39.9,43.8,40.6
728,"Teladoc Health, Inc",52.4,53.9,46.8,35.4,28.1,40.6
728,Teledyne Technologies Inc,55.6,32.5,49.8,35.6,47.5,40.6
731,Crown Castle Intl Corp,33.4,45.2,45.2,46.9,48.2,40.5
732,Arconic Corp,47.7,35.6,47.9,44.1,41.6,40.4
733,Equity Lifestyle Properties Inc,39.9,41.7,48.6,40.6,48.5,40.3
733,RPM International Inc,55,41.4,42.5,34,49.5,40.3
735,Advance Auto Parts Inc,44.4,33.7,44.8,46.7,48.1,40.2
735,ASGN Incorporated,43.1,41.8,46.6,40.3,46.9,40.2
735,Magellan Health Inc,40.1,42.3,48,44.9,40.3,40.2
735,Post Holdings Inc,48.8,41.7,46.6,37.8,43.7,40.2
739,Dollar Tree Inc,48.9,27.5,50.9,42,48.3,40.1
739,Equitable Holdings Inc,50.3,42.1,43.7,39.8,41.9,40.1
739,StoneX Group Inc,40.5,48.3,42.7,39.3,49.8,40.1
739,Watsco Inc,42.7,50.2,41,35.2,53.8,40.1
743,Navistar Intl Corp,30.2,46.4,49.1,47.2,41.4,40
743,"Syneos Health, Inc",45.3,47.9,46.4,34.3,45.7,40
743,TreeHouse Foods Inc,48,31.2,46.8,46.5,42.7,40
746,Lions Gate Entertainment (US)-A,50,39.2,45.5,39.6,42.9,39.9
746,Sun Communities,42.7,49.6,41.4,39.7,45.1,39.9
748,APA Corporation,39.4,43.7,41.9,52.3,34.1,39.8
748,Pilgrims Pride Corp,45.8,39.2,45.5,42.4,43.2,39.8
748,RH,27.5,32.4,52.7,43.1,64.7,39.8
748,ScanSource Inc,45.9,42.2,42.7,42.9,42.3,39.8
752,MDU Resources Group Inc,45.6,44.1,38,43.6,46.4,39.7
752,Rollins Inc,42.8,44.3,44.1,35,55.2,39.7
752,VICI Properties Inc,49,33.9,42.3,43.4,49,39.7
752,Vornado Realty Trust,46.5,39.9,45.4,49.6,28.3,39.7
756,ADT Inc,50.9,37.6,46.6,39,41.7,39.6
757,Big Lots Inc,49.8,32.8,41.6,43.8,48.8,39.5
757,Interactive Brokers Group A,42.1,45.1,42.6,36.9,53.3,39.5
759,Quanta Services Inc,43.1,33.8,47.6,42.1,49.3,39.4
760,Applied Industrial Technologies,47.9,36.2,47.1,38.2,46.6,39.3
761,"Roper Technologies, Inc",47.5,37.6,43.6,40.5,46.5,39.2
761,Telephone & Data Systems Inc,44.4,45.9,44.5,37.4,43.3,39.2
763,Dillards Inc A,47,30.3,46.2,40.3,52.9,39.1
764,Andersons Inc,45.2,42,47.6,36.3,43.6,39
764,Carnival Corp,36.4,50.7,42.7,57.2,15.2,39
764,Five Below Inc,48.8,38.1,43.8,35.9,51,39
764,"Floor & Decor Holdings, Inc-A",43.6,40.3,44,37.6,51.7,39
768,Group 1 Automotive Inc,44.8,36.6,42,40.3,53.1,38.9
769,FleetCor Technologies Inc,33.4,46.8,43.8,42,48.4,38.8
769,Mid-America Apt Communties,38.7,54.7,37.9,38.5,46.3,38.8
769,"Sally Beauty Holdings, Inc",53,27.1,43.2,41.5,50.3,38.8
769,UDR Inc,43.3,47.8,38.8,48.2,31,38.8
773,Booking Holdings Inc,42.5,31.3,50.4,46.6,37.7,38.7
773,Brown & Brown Inc,30.3,44.8,50.2,39.1,49.9,38.7
775,Markel Corp,47.7,31.1,46.4,35.6,56.3,38.6
776,TriNet Group Inc,43.8,39.2,41.6,36.6,56.1,38.4
777,Diamondback Energy Inc,52.9,39.3,42.4,40.3,34.8,38.2
777,Meritage Corp,38.1,39.6,45.7,36.4,55.7,38.2
779,"Guardant Health, Inc",52.9,53.6,48.3,32,19.4,38.1
780,"Southwest Gas Holdings, Inc",41.3,47.6,43.4,36.1,44.2,38
781,Carvana Co-A,40.6,46,43.1,34.3,50.2,37.9
781,Conduent Inc,49.1,29.8,45.5,42.2,42.9,37.9
781,"Lumen Technologies, Inc",25.2,38.1,50.2,49.1,44.5,37.9
784,Axon Enterprise Inc,46.8,48.9,43.1,34.4,36.9,37.8
784,BJ’s Wholesale Club Holdings,45.7,28.9,44,41.3,51.9,37.8
786,Beacon Roofing Supply,43.6,39,42.7,39.5,46.2,37.7
787,Ovintiv Inc,45,30.9,41.8,55,29.1,37.6
787,Targa Resources Corp,40.3,48.9,39.9,37.9,44.1,37.6
789,Transocean Ltd,31.2,45.7,43,45.4,42.7,37.5
790,HollyFrontier Corporation,35.7,43.5,40.5,46.5,40.6,37.4
