Rank,Title,RatingTomatometer,No. of Reviews,Genres
82,Welcome To Leith (2015),98,43,documentary
83,Keep On Keepin' On (2014),98,41,documentary
84,Let The Fire Burn (2013),98,42,documentary
85,Restrepo (2010),96,114,documentary
86,The Life and Times of Hank Greenberg (2000),97,65,documentary
87,Born To Be Wild (2011),98,49,documentary
88,Surfwise (2007),98,44,documentary
89,"Lo and Behold, Reveries of the Connected World (2016)",94,132,documentary
90,Bus 174 (Ônibus 174) (2003),97,78,documentary
91,Stories We Tell (2013),94,134,documentary
92,Wordplay (2006),95,120,documentary
93,Control Room (2004),96,110,documentary
94,Burma VJ: Reporter i et Lukket Land (Burma VJ: Reporting from a Closed Country) (2008),97,62,documentary
95,No End in Sight (2007),96,95,documentary
96,49 Up (2006),97,65,documentary
97,The Cove (2009),95,128,documentary
98,Winged Migration (2003),95,133,documentary
99,Muscle Shoals (2013),96,82,documentary
100,The Queen of Versailles (2012),95,111,documentary
1,Black Panther (2018),97,444,drama
2,Lady Bird (2017),99,349,drama
3,Citizen Kane (1941),100,80,drama
4,BlacKkKlansman (2018),95,371,drama
5,Moonlight (2016),98,347,drama
6,Wonder Woman (2017),93,410,drama
7,All About Eve (1950),100,65,drama
8,Metropolis (1927),99,118,drama
9,A Quiet Place (2018),95,330,drama
10,Spotlight (2015),97,344,drama
11,Dunkirk (2017),92,413,drama
12,Selma (2015),99,289,drama
13,Casablanca (1942),97,77,drama
14,La Grande illusion (Grand Illusion) (1938),97,66,drama
15,The Godfather (1972),98,88,drama
16,Call Me by Your Name (2018),95,311,drama
17,Arrival (2016),94,389,drama
18,Leave No Trace (2018),100,208,drama
19,Star Wars: The Last Jedi (2017),91,419,drama
20,Logan (2017),93,371,drama
21,The Shape of Water (2017),92,392,drama
22,Boyhood (2014),97,302,drama
23,The Maltese Falcon (1941),100,53,drama
24,Gravity (2013),96,335,drama
25,12 Years a Slave (2013),95,348,drama
26,Argo (2012),96,340,drama
27,Repulsion (1965),100,60,drama
28,Sunset Boulevard (1950),98,61,drama
29,Thor: Ragnarok (2017),92,370,drama
30,Rear Window (1954),100,64,drama
31,The Battle of Algiers (La Battaglia di Algeri) (1967),98,85,drama
32,Baby Driver (2017),93,343,drama
33,The Florida Project (2017),96,274,drama
34,Alien (1979),97,110,drama
35,La La Land (2016),91,414,drama
36,Manchester by the Sea (2016),95,318,drama
37,Bicycle Thieves (Ladri di biciclette) (1949),98,57,drama
38,M (1931),100,51,drama
39,Taxi Driver (1976),98,82,drama
40,Touch of Evil (1958),96,74,drama
41,Seven Samurai (Shichinin no Samurai) (1956),100,58,drama
42,Spider-Man: Homecoming (2017),92,350,drama
43,All Quiet on the Western Front (1930),100,42,drama
44,Hell or High Water (2016),97,259,drama
45,War for the Planet of the Apes (2017),93,323,drama
46,12 Angry Men (Twelve Angry Men) (1957),100,50,drama
47,The Treasure of the Sierra Madre (1948),100,45,drama
48,"Three Billboards Outside Ebbing, Missouri (2017)",91,363,drama
49,The Babadook (2014),98,227,drama
50,A Streetcar Named Desire (1951),98,56,drama
51,Vertigo (1958),96,71,drama
52,The 400 Blows (Les Quatre cents coups) (1959),100,55,drama
53,Rebecca (1940),100,51,drama
54,Brooklyn (2015),97,258,drama
55,The Night of the Hunter (1955),98,65,drama
56,Lawrence of Arabia (1962),98,80,drama
57,Army of Shadows (L'Armée des ombres) (1969),97,72,drama
58,The Dark Knight (2008),94,332,drama
59,The Death of Stalin (2018),96,228,drama
60,The Wrestler (2008),98,225,drama
61,Rashômon (1951),98,52,drama
62,Jaws (1975),97,79,drama
63,The Wages of Fear (1953),100,43,drama
64,L.A. Confidential (1997),99,109,drama
65,Creed (2015),95,285,drama
66,Open City (1946),100,42,drama
67,On the Waterfront (1954),98,62,drama
68,Harry Potter and the Deathly Hallows - Part 2 (2011),96,320,drama
69,The Grapes of Wrath (1940),100,44,drama
70,Tokyo Story (Tôkyô monogatari) (1953),100,41,drama
71,The Big Sleep (1946),97,59,drama
72,Roman Holiday (1953),98,53,drama
73,The Hurt Locker (2009),97,277,drama
74,The Last Picture Show (1971),100,51,drama
75,Cool Hand Luke (1967),100,49,drama
76,The Leopard (1963),100,46,drama
77,Star Wars: Episode IV - A New Hope (1977),93,114,drama
78,Paterson (2016),96,241,drama
79,Phantom Thread (2018),91,303,drama
80,Room (2015),94,293,drama
81,Hidden Figures (2017),93,284,drama
82,"I, Tonya (2018)",89,341,drama
83,"The Godfather, Part II (1974)",97,72,drama
84,Chinatown (1974),98,64,drama
85,Battleship Potemkin (1925),100,45,drama
86,The Searchers (1956),100,42,drama
87,The Post (2018),88,357,drama
88,Anatomy of a Murder (1959),100,42,drama
89,Gone With the Wind (1939),92,89,drama
90,Carol (2015),94,285,drama
91,Nightcrawler (2014),95,251,drama
92,Star Trek (2009),94,342,drama
93,Before Midnight (2013),98,189,drama
94,The Conformist (1970),98,53,drama
95,Au Hasard Balthazar (1966),100,40,drama
96,Things to Come (L'avenir) (2016),100,135,drama
97,The Red Shoes (1948),96,55,drama
98,Schindler's List (1993),97,93,drama
99,La Dolce Vita (1960),97,58,drama
100,Sweet Smell of Success (1957),98,48,drama
1,Get Out (2017),98,339,horror
2,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),100,50,horror
3,A Quiet Place (2018),95,330,horror
4,Psycho (1960),97,89,horror
5,King Kong (1933),98,56,horror
6,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",97,62,horror
7,Repulsion (1965),100,60,horror
8,The Bride of Frankenstein (1935),100,43,horror
9,The Babadook (2014),98,227,horror
10,Rosemary's Baby (1968),99,69,horror
11,Frankenstein (1931),100,46,horror
12,Aliens (1986),99,68,horror
13,It Follows (2015),96,240,horror
14,Let the Right One In (2008),98,183,horror
15,Night of the Living Dead (1968),97,64,horror
16,Hereditary (2018),89,317,horror
17,Eyes Without a Face (1962),98,54,horror
18,Freaks (1932),94,53,horror
19,The Witch (2016),91,308,horror
20,The Silence of the Lambs (1991),96,89,horror
21,Pan's Labyrinth (2006),95,229,horror
22,Evil Dead 2: Dead by Dawn (1987),98,56,horror
23,The Birds (1963),96,52,horror
24,Halloween (1978),95,65,horror
25,Gojira (1956),93,70,horror
26,Don't Look Now (1973),96,53,horror
27,The Vanishing (Spoorloos) (1988),98,46,horror
28,The Innocents (1961),96,48,horror
29,The Cabin in the Woods (2012),91,272,horror
30,A Girl Walks Home Alone at Night (2014),96,122,horror
31,Drag Me to Hell (2009),92,261,horror
32,It (2017),85,339,horror
33,Invasion of the Body Snatchers (1978),94,54,horror
34,The Evil Dead (1981),95,59,horror
35,The Endless (2018),95,111,horror
36,Carrie (1976),93,60,horror
37,Re-Animator (1985),95,58,horror
38,Young Frankenstein (1974),93,57,horror
39,The Loved Ones (2012),98,55,horror
40,Nosferatu: Phantom der Nacht (Nosferatu the Vampyre) (1979),94,54,horror
41,The Love Witch (2016),95,107,horror
42,Room 237 (2013),94,128,horror
43,Suspiria (1977),93,54,horror
44,Train to Busan (Busanhaeng) (2016),95,97,horror
45,A Nightmare on Elm Street (1984),94,50,horror
46,Shaun of the Dead (2004),92,205,horror
47,The Host (2007),93,151,horror
48,Dracula (1931),91,46,horror
49,The Fly (1986),92,59,horror
50,Zombieland (2009),90,244,horror
51,What Ever Happened to Baby Jane? (1962),92,50,horror
52,CAM (2018),94,79,horror
53,Eraserhead (1977),91,56,horror
54,It Comes At Night (2017),87,226,horror
55,Dawn of the Dead (1979),93,40,horror
56,Don't Breathe (2016),88,217,horror
57,Phantom Of The Opera (1925),91,46,horror
58,We Are Still Here (2015),95,43,horror
59,The Wicker Man (1973),90,49,horror
60,Little Shop of Horrors (1986),90,51,horror
61,The Texas Chainsaw Massacre (1974),88,59,horror
62,Let Me In (2010),88,227,horror
63,Frankenweenie (2012),87,213,horror
64,Upgrade (2018),87,166,horror
65,Halloween (2018),79,323,horror
66,The Blair Witch Project (1999),87,156,horror
67,The Exorcist (1973),86,74,horror
68,The Conjuring (2013),86,213,horror
69,The Dead Zone (1983),90,42,horror
70,Bone Tomahawk (2015),91,85,horror
71,Misery (1990),89,65,horror
72,The Shining (1980),86,73,horror
73,Cronos (1994),90,51,horror
74,The Orphanage (2007),87,177,horror
75,28 Days Later (2003),86,225,horror
76,Gerald's Game (2017),90,69,horror
77,The Devil's Candy (2017),91,47,horror
78,An American Werewolf in London (1981),88,51,horror
79,Near Dark (1987),88,48,horror
80,Poltergeist (1982),86,59,horror
81,Henry: Portrait of a Serial Killer (1986),86,59,horror
82,This Is the End (2013),83,221,horror
83,Chronicle (2012),85,175,horror
84,The Descent (2006),85,173,horror
85,The Omen (1976),86,43,horror
86,Donnie Darko: The Director's Cut (2004),90,42,horror
87,Save the Green Planet (2004),90,40,horror
88,Slither (2006),86,138,horror
89,Ginger Snaps (2001),89,57,horror
90,The Autopsy of Jane Doe (2016),87,98,horror
91,A Field in England (2014),88,68,horror
92,Backcountry (2015),89,46,horror
93,"Goodnight Mommy (Ich seh, Ich seh) (2015)",85,140,horror
94,Altered States (1980),86,43,horror
95,The Thing (1982),84,61,horror
96,Better Watch Out (2017),88,58,horror
97,They Live (1988),85,60,horror
98,The House of the Devil (2009),87,97,horror
99,The Conjuring 2 (2016),80,240,horror
100,The Others (2001),84,160,horror
1,The Wizard of Oz (1939),98,111,kids|family
2,Inside Out (2015),98,347,kids|family
3,E.T. The Extra-Terrestrial (1982),98,125,kids|family
4,Coco (2017),97,308,kids|family
5,Paddington 2 (2018),100,216,kids|family
6,Incredibles 2 (2018),94,332,kids|family
7,Snow White and the Seven Dwarfs (1937),98,47,kids|family
8,Toy Story 2 (1999),100,163,kids|family
9,Up (2009),98,290,kids|family
10,The Jungle Book (2016),95,307,kids|family
11,Toy Story 3 (2010),98,299,kids|family
12,Finding Nemo (2003),99,262,kids|family
13,Pinocchio (1940),100,47,kids|family
14,Harry Potter and the Deathly Hallows - Part 2 (2011),96,320,kids|family
15,Toy Story (1995),100,81,kids|family
16,The LEGO Movie (2014),96,240,kids|family
17,Moana (2016),95,261,kids|family
18,Mary Poppins (1964),100,48,kids|family
19,Miracle on 34th Street (1947),96,47,kids|family
20,It's a Wonderful Life (1946),93,74,kids|family
21,Ratatouille (2007),96,246,kids|family
22,How to Train Your Dragon (2010),98,205,kids|family
23,The Incredibles (2004),97,239,kids|family
24,Yellow Submarine (1968),97,59,kids|family
25,Paddington (2015),98,151,kids|family
26,Beauty and the Beast (1991),94,113,kids|family
27,Chicken Run (2000),97,170,kids|family
28,The Princess Bride (1987),97,71,kids|family
29,My Life as a Zucchini (Ma vie de courgette) (2017),98,127,kids|family
30,101 Dalmatians (1961),98,46,kids|family
31,The Nightmare Before Christmas (1993),95,94,kids|family
32,Big (1988),97,74,kids|family
33,Fantasia (1940),96,50,kids|family
34,"Monsters, Inc. (2001)",96,193,kids|family
35,The Lego Batman Movie (2017),90,289,kids|family
36,The Iron Giant (1999),96,136,kids|family
37,Spirited Away (2002),97,183,kids|family
38,Song Of The Sea (2014),99,88,kids|family
39,Who Framed Roger Rabbit (1988),97,63,kids|family
40,Babe (1995),97,70,kids|family
41,The Lion King (1994),93,123,kids|family
42,The Muppets (2011),95,220,kids|family
43,About Elly (2015),99,69,kids|family
44,Wallace & Gromit: The Curse of the Were-Rabbit (2005),95,181,kids|family
45,My Fair Lady (1964),96,48,kids|family
46,The Straight Story (1999),96,91,kids|family
47,Hugo (2011),93,219,kids|family
48,Aladdin (1992),94,69,kids|family
49,Fantastic Mr. Fox (2009),92,231,kids|family
50,Enchanted (2007),93,189,kids|family
51,Frozen (2013),90,233,kids|family
52,The Breadwinner (2017),95,95,kids|family
53,Coraline (2009),90,261,kids|family
54,Lady and the Tramp (1955),93,40,kids|family
55,Antz (1998),93,91,kids|family
56,Jason and the Argonauts (1963),93,42,kids|family
57,How to Train Your Dragon 2 (2014),91,176,kids|family
58,Bambi (1942),90,48,kids|family
59,The Secret of Roan Inish (1995),95,44,kids|family
60,My Neighbor Totoro (1988),94,49,kids|family
61,Big Hero 6 (2014),89,212,kids|family
62,Harry Potter and the Prisoner of Azkaban (2004),90,255,kids|family
63,The Little Mermaid (1989),92,65,kids|family
64,Spy Kids (2001),93,127,kids|family
65,How Green Was My Valley (1941),90,41,kids|family
66,L'Heure d'été (Summer Hours) (2009),94,105,kids|family
67,Pete's Dragon (2016),88,226,kids|family
68,A Bug's Life (1998),92,85,kids|family
69,Princess Mononoke (Mononoke-hime) (1999),92,106,kids|family
70,A Monster Calls (2017),86,247,kids|family
71,Arthur Christmas (2011),92,163,kids|family
72,Harry Potter and the Goblet of Fire (2005),88,249,kids|family
73,James and the Giant Peach (1996),92,73,kids|family
74,That Thing You Do! (1996),93,57,kids|family
75,Teen Titans Go! To the Movies (2018),91,116,kids|family
76,Willy Wonka and the Chocolate Factory (1971),91,46,kids|family
77,Ponyo (2009),91,164,kids|family
78,Shrek 2 (2004),89,235,kids|family
79,Tangled (2010),89,219,kids|family
80,First Position (2012),93,73,kids|family
81,Shrek (2001),88,202,kids|family
82,Lassie (2006),93,68,kids|family
83,Duma (2005),93,61,kids|family
84,Winnie the Pooh (2011),91,127,kids|family
85,Rango (2011),88,216,kids|family
86,A Christmas Story (1983),89,56,kids|family
87,ParaNorman (2012),88,177,kids|family
88,The Peanuts Movie (2015),87,187,kids|family
89,The Sound of Music (1965),85,61,kids|family
90,Kung Fu Panda (2008),87,182,kids|family
91,Wreck-it Ralph (2012),87,180,kids|family
92,Millions (2005),88,160,kids|family
93,The Secret of Kells (2010),91,81,kids|family
94,Howl's Moving Castle (2005),87,177,kids|family
95,Cinderella (2015),84,228,kids|family
96,Disneynature Bears (2014),91,56,kids|family
97,The Muppet Movie (1979),88,48,kids|family
98,Harry Potter and the Half-Blood Prince (2009),83,272,kids|family
99,The Karate Kid (1984),88,43,kids|family
100,Freaky Friday (2003),87,151,kids|family
1,The Wizard of Oz (1939),98,111,musical|performing_arts
2,Singin' in the Rain (1952),100,50,musical|performing_arts
3,A Hard Day's Night (1964),98,106,musical|performing_arts
4,La La Land (2016),91,414,musical|performing_arts
5,Pinocchio (1940),100,47,musical|performing_arts
6,An American in Paris (1951),95,62,musical|performing_arts
7,The Red Shoes (1948),96,55,musical|performing_arts
8,Mary Poppins (1964),100,48,musical|performing_arts
9,Gentlemen Prefer Blondes (1953),98,40,musical|performing_arts
10,Yellow Submarine (1968),97,59,musical|performing_arts
11,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (1964),98,55,musical|performing_arts
12,Beauty and the Beast (1991),94,113,musical|performing_arts
13,20 Feet From Stardom (2013),99,118,musical|performing_arts
14,The Last Waltz (1978),98,47,musical|performing_arts
15,Amy (2015),95,209,musical|performing_arts
16,Some Like It Hot (1959),96,54,musical|performing_arts
17,Fantasia (1940),96,50,musical|performing_arts
18,Sing Street (2016),95,199,musical|performing_arts
19,The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),98,40,musical|performing_arts
20,Once (2007),97,156,musical|performing_arts
21,Anvil! The Story of Anvil (2009),98,135,musical|performing_arts
22,The Lion King (1994),93,123,musical|performing_arts
23,Waste Land (2010),100,70,musical|performing_arts
24,West Side Story (1961),94,65,musical|performing_arts
25,Amadeus (1984),94,86,musical|performing_arts
26,Afghan Star (2009),100,60,musical|performing_arts
27,Hairspray (1988),98,42,musical|performing_arts
28,We Are the Best! (2014),96,129,musical|performing_arts
29,Everyday Sunshine: The Story of Fishbone (2011),100,45,musical|performing_arts
30,Bill Cunningham New York (2011),99,72,musical|performing_arts
31,My Fair Lady (1964),96,48,musical|performing_arts
32,Rivers and Tides: Andy Goldsworthy Working With Time (2002),99,71,musical|performing_arts
33,Johnny Guitar (1954),95,44,musical|performing_arts
34,What's Love Got To Do With It? (1993),96,53,musical|performing_arts
35,Aladdin (1992),94,69,musical|performing_arts
36,Beware Of Mr. Baker (2012),98,52,musical|performing_arts
37,Sound City (2013),98,45,musical|performing_arts
38,Nashville (1975),92,53,musical|performing_arts
39,Keep On Keepin' On (2014),98,41,musical|performing_arts
40,Wordplay (2006),95,120,musical|performing_arts
41,49 Up (2006),97,65,musical|performing_arts
42,The Full Monty (1997),96,47,musical|performing_arts
43,Muscle Shoals (2013),96,82,musical|performing_arts
44,Marley (2012),95,106,musical|performing_arts
45,Hairspray (2007),91,217,musical|performing_arts
46,Searching for Sugar Man (2012),94,125,musical|performing_arts
47,Les Plages d'Agnès (The Beaches of Agnes) (2008),96,71,musical|performing_arts
48,Festival Express (2003),96,80,musical|performing_arts
49,"20,000 Days on Earth (2014)",95,84,musical|performing_arts
50,Exit Through The Gift Shop (2010),95,110,musical|performing_arts
51,Funny Girl (1968),93,44,musical|performing_arts
52,Love & Mercy (2015),90,203,musical|performing_arts
53,Born Into Brothels (2004),95,107,musical|performing_arts
54,Pina (2011),95,102,musical|performing_arts
55,Crumb (1995),95,43,musical|performing_arts
56,The Little Mermaid (1989),92,65,musical|performing_arts
57,Marina Abramovic: The Artist Is Present (2012),96,45,musical|performing_arts
58,Los Angeles Plays Itself (2003),96,45,musical|performing_arts
59,Straight Outta Compton (2015),88,227,musical|performing_arts
60,Lost in La Mancha (2003),94,100,musical|performing_arts
61,Lagaan: Once Upon a Time in India (2001),95,59,musical|performing_arts
62,Hedwig and the Angry Inch (2001),93,108,musical|performing_arts
63,Crazy Heart (2009),90,205,musical|performing_arts
64,My Kid Could Paint That (2007),94,83,musical|performing_arts
65,End of the Century: The Story of the Ramones (2004),95,62,musical|performing_arts
66,The Wrecking Crew (2015),94,68,musical|performing_arts
67,Willy Wonka and the Chocolate Factory (1971),91,46,musical|performing_arts
68,Dave Chappelle's Block Party (2006),92,125,musical|performing_arts
69,The Filth and the Fury (2000),95,40,musical|performing_arts
70,The Sapphires (2013),91,135,musical|performing_arts
71,Sing Your Song (2012),95,40,musical|performing_arts
72,Tangled (2010),89,219,musical|performing_arts
73,A Band Called Death (2013),94,49,musical|performing_arts
74,Florence Foster Jenkins (2016),87,211,musical|performing_arts
75,My Architect (2004),93,91,musical|performing_arts
76,Little Shop of Horrors (1986),90,51,musical|performing_arts
77,Every Little Step (2009),92,96,musical|performing_arts
78,U2 3D (2007),92,88,musical|performing_arts
79,Sid and Nancy (1986),88,64,musical|performing_arts
80,Scratch (2002),93,46,musical|performing_arts
81,The Sound of Music (1965),85,61,musical|performing_arts
82,F for Fake (1974),88,50,musical|performing_arts
83,Ballets Russes (2005),92,59,musical|performing_arts
84,Standing in the Shadows of Motown (2002),91,92,musical|performing_arts
85,Shine (1996),91,44,musical|performing_arts
86,Born To Be Blue (2016),89,114,musical|performing_arts
87,Five Easy Pieces (1970),87,46,musical|performing_arts
88,Neil Young: Heart of Gold (2006),90,98,musical|performing_arts
89,Buena Vista Social Club (1999),91,46,musical|performing_arts
90,Topsy-Turvy (1999),89,84,musical|performing_arts
91,Chicago (2002),85,252,musical|performing_arts
92,Sweeney Todd: The Demon Barber of Fleet Street (2007),85,224,musical|performing_arts
93,The Devil and Daniel Johnston (2006),89,110,musical|performing_arts
94,The Muppet Movie (1979),88,48,musical|performing_arts
95,Caesar Must Die (2013),91,47,musical|performing_arts
96,Metallica: Some Kind of Monster (2004),89,123,musical|performing_arts
97,The Punk Singer (2013),90,62,musical|performing_arts
98,Control (2007),88,112,musical|performing_arts
99,Mamma Mia! Here We Go Again (2018),80,239,musical|performing_arts
100,Beats Rhymes & Life: The Travels of a Tribe Called Quest (2011),90,59,musical|performing_arts
1,Citizen Kane (1941),100,80,mystery|suspense
2,Get Out (2017),98,339,mystery|suspense
3,The Third Man (1949),99,78,mystery|suspense
4,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),100,50,mystery|suspense
5,A Quiet Place (2018),95,330,mystery|suspense
6,Spotlight (2015),97,344,mystery|suspense
7,Arrival (2016),94,389,mystery|suspense
8,Psycho (1960),97,89,mystery|suspense
9,Laura (1944),100,60,mystery|suspense
10,The Maltese Falcon (1941),100,53,mystery|suspense
11,Argo (2012),96,340,mystery|suspense
12,Repulsion (1965),100,60,mystery|suspense
13,North by Northwest (1959),99,72,mystery|suspense
14,Rear Window (1954),100,64,mystery|suspense
15,Alien (1979),97,110,mystery|suspense
16,M (1931),100,51,mystery|suspense
17,Taxi Driver (1976),98,82,mystery|suspense
18,Touch of Evil (1958),96,74,mystery|suspense
19,Hell or High Water (2016),97,259,mystery|suspense
20,The Babadook (2014),98,227,mystery|suspense
21,Vertigo (1958),96,71,mystery|suspense
22,Rebecca (1940),100,51,mystery|suspense
23,The Night of the Hunter (1955),98,65,mystery|suspense
24,Rosemary's Baby (1968),99,69,mystery|suspense
25,Rashômon (1951),98,52,mystery|suspense
26,Jaws (1975),97,79,mystery|suspense
27,The Wages of Fear (1953),100,43,mystery|suspense
28,L.A. Confidential (1997),99,109,mystery|suspense
29,Harry Potter and the Deathly Hallows - Part 2 (2011),96,320,mystery|suspense
30,The Big Sleep (1946),97,59,mystery|suspense
31,The Lady Vanishes (1938),98,41,mystery|suspense
32,High Noon (1952),96,50,mystery|suspense
33,Skyfall (2012),92,362,mystery|suspense
34,"The Godfather, Part II (1974)",97,72,mystery|suspense
35,Chinatown (1974),98,64,mystery|suspense
36,The Post (2018),88,357,mystery|suspense
37,Anatomy of a Murder (1959),100,42,mystery|suspense
38,Invasion of the Body Snatchers (1956),98,56,mystery|suspense
39,Nightcrawler (2014),95,251,mystery|suspense
40,Strangers on a Train (1951),98,44,mystery|suspense
41,The 39 Steps (1935),96,46,mystery|suspense
42,The Salesman (Forushande) (2017),96,187,mystery|suspense
43,Badlands (1974),98,52,mystery|suspense
44,The Manchurian Candidate (1962),98,54,mystery|suspense
45,Eyes Without a Face (1962),98,54,mystery|suspense
46,Freaks (1932),94,53,mystery|suspense
47,The Conversation (1974),98,48,mystery|suspense
48,The Silence of the Lambs (1991),96,89,mystery|suspense
49,Forbidden Planet (1956),98,42,mystery|suspense
50,101 Dalmatians (1961),98,46,mystery|suspense
51,Goldfinger (1964),97,60,mystery|suspense
52,Le Cercle Rouge (1970),95,59,mystery|suspense
53,Sunrise: A Song of Two Humans (1927),98,51,mystery|suspense
54,Casino Royale (2006),94,252,mystery|suspense
55,Eye In The Sky (2016),95,200,mystery|suspense
56,All Is Lost (2013),94,228,mystery|suspense
57,The Guilty (Den skyldige) (2018),99,88,mystery|suspense
58,Blood Simple (1984),94,98,mystery|suspense
59,Peeping Tom (1960),96,49,mystery|suspense
60,Assault on Precinct 13 (1976),98,42,mystery|suspense
61,No Country for Old Men (2007),93,279,mystery|suspense
62,Looper (2012),93,257,mystery|suspense
63,The Birds (1963),96,52,mystery|suspense
64,Halloween (1978),95,65,mystery|suspense
65,The Fugitive (1993),96,74,mystery|suspense
66,Bridge of Spies (2015),91,284,mystery|suspense
67,Mad Max 2: The Road Warrior (1982),98,43,mystery|suspense
68,Searching (2018),92,214,mystery|suspense
69,Mandy (2018),92,213,mystery|suspense
70,Who Framed Roger Rabbit (1988),97,63,mystery|suspense
71,Close Encounters of the Third Kind (1977),96,57,mystery|suspense
72,Diva (1981),98,48,mystery|suspense
73,Dr. No (1962),96,54,mystery|suspense
74,Ex Machina (2015),92,251,mystery|suspense
75,Sicario (2015),92,250,mystery|suspense
76,Jurassic Park (1993),91,123,mystery|suspense
77,Don't Look Now (1973),96,53,mystery|suspense
78,10 Cloverfield Lane (2016),90,289,mystery|suspense
79,In the Line of Fire (1993),96,67,mystery|suspense
80,From Russia With Love (1964),96,55,mystery|suspense
81,The Vanishing (Spoorloos) (1988),98,46,mystery|suspense
82,Elevator to the Gallows (Ascenseur pour l'échafaud) (1958),93,55,mystery|suspense
83,In the Heat of the Night (1967),96,47,mystery|suspense
84,Wake in Fright (2012),100,51,mystery|suspense
85,Three Colors: Blue (Trois Couleurs: Bleu) (1993),98,43,mystery|suspense
86,Blue Ruin (2014),96,136,mystery|suspense
87,The Cabin in the Woods (2012),91,272,mystery|suspense
88,The Killer (1989),98,40,mystery|suspense
89,The Bourne Ultimatum (2007),92,263,mystery|suspense
90,To Catch a Thief (1955),95,44,mystery|suspense
91,Gone Girl (2014),87,335,mystery|suspense
92,The Imitation Game (2014),90,265,mystery|suspense
93,Blue Velvet (1986),94,68,mystery|suspense
94,L'Avventura (1960),95,43,mystery|suspense
95,Diabolique (Les Diaboliques) (1955),95,42,mystery|suspense
96,A Girl Walks Home Alone at Night (2014),96,122,mystery|suspense
97,Children of Men (2006),92,244,mystery|suspense
98,Wild Tales (2015),95,148,mystery|suspense
99,You Were Never Really Here (2018),89,240,mystery|suspense
100,Drag Me to Hell (2009),92,261,mystery|suspense
1,It Happened One Night (1934),98,54,romance
2,Casablanca (1942),97,77,romance
3,The Big Sick (2017),98,274,romance
4,Call Me by Your Name (2018),95,311,romance
5,Singin' in the Rain (1952),100,50,romance
6,The Shape of Water (2017),92,392,romance
7,The Adventures of Robin Hood (1938),100,45,romance
8,The Philadelphia Story (1940),100,56,romance
9,Vertigo (1958),96,71,romance
10,On the Waterfront (1954),98,62,romance
11,Roman Holiday (1953),98,53,romance
12,Gone With the Wind (1939),92,89,romance
13,An American in Paris (1951),95,62,romance
14,Carol (2015),94,285,romance
15,Before Midnight (2013),98,189,romance
16,The Red Shoes (1948),96,55,romance
17,The African Queen (1951),98,42,romance
18,City Lights (1931),98,45,romance
19,Beauty and The Beast (La Belle et la bête) (1946),95,63,romance
20,Miracle on 34th Street (1947),96,47,romance
21,Annie Hall (1977),97,71,romance
22,The Artist (2011),95,304,romance
23,Her (2013),94,260,romance
24,Only Yesterday (1991),100,53,romance
25,Gentlemen Prefer Blondes (1953),98,40,romance
26,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (1964),98,55,romance
27,Beauty and the Beast (1991),94,113,romance
28,Three Colors: Red (Trois couleurs: Rouge) (1994),100,52,romance
29,The Princess Bride (1987),97,71,romance
30,The Best Years of Our Lives (1946),96,48,romance
31,Bringing Up Baby (1938),95,42,romance
32,Sunrise: A Song of Two Humans (1927),98,51,romance
33,The Hustler (1961),98,43,romance
34,Before Sunrise (1995),100,42,romance
35,Sideways (2004),96,227,romance
36,The Apartment (1960),94,62,romance
37,Groundhog Day (1993),96,77,romance
38,Wings of Desire (1987),98,51,romance
39,The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),98,40,romance
40,Bull Durham (1988),97,66,romance
41,"Crouching Tiger, Hidden Dragon (2001)",97,153,romance
42,Sense and Sensibility (1995),98,59,romance
43,Lost In Translation (2003),95,228,romance
44,Enough Said (2013),95,182,romance
45,Titanic (1997),89,184,romance
46,Slumdog Millionaire (2008),91,277,romance
47,West Side Story (1961),94,65,romance
48,Elevator to the Gallows (Ascenseur pour l'échafaud) (1958),93,55,romance
49,God's Own Country (2017),97,110,romance
50,Your Name. (Kimi No Na Wa.) (2017),97,110,romance
51,Three Colors: Blue (Trois Couleurs: Bleu) (1993),98,43,romance
52,Say Anything... (1989),98,43,romance
53,To Catch a Thief (1955),95,44,romance
54,Daughters of the Dust (1991),98,40,romance
55,Manhattan (1979),95,62,romance
56,A Girl Walks Home Alone at Night (2014),96,122,romance
57,Shakespeare in Love (1998),92,137,romance
58,Giant (1956),95,40,romance
59,Up in the Air (2009),91,278,romance
60,Eternal Sunshine Of The Spotless Mind (2004),93,238,romance
61,The Lunchbox (2014),96,105,romance
62,Before Sunset (2004),95,172,romance
63,Dave (1993),95,58,romance
64,The Town (2010),93,222,romance
65,Midnight in Paris (2011),93,215,romance
66,From Here to Eternity (1953),92,50,romance
67,Four Weddings and a Funeral (1994),95,66,romance
68,A Summer's Tale (2014),98,46,romance
69,The Crying Game (1992),94,66,romance
70,Enchanted (2007),93,189,romance
71,Big Night (1996),96,56,romance
