rank,title,studio,lifetime_gross,year
4739,Henry V,Gold.,10161099,1989
4740,Bats,Dest.,10155690,1999
4741,The Fountain,WB,10144010,2006
4742,Hoodwinked Too! Hood vs. Evil,Wein.,10143779,2011
4743,The Walk,TriS,10137502,2015
4744,Prom,BV,10130219,2011
4745,Swimming Pool,Focus,10130108,2003
4746,A Family Thing,MGM,10125417,1996
4747,Brokedown Palace,Fox,10115013,1999
4748,Possession (2002),Focus,10113733,2002
4749,Buddy,Sony,10113400,1997
4750,The Wash,Lions,10097538,2001
4751,The Girl with the Dragon Tattoo,MBox,10095170,2010
4752,Under the Cherry Moon,WB,10090429,1986
4753,Pulse: A Stomp Odyssey (IMAX),GSF,10086514,2002
4754,Mrs. Winterbourne,Sony,10082005,1996
4755,Shakedown,Uni.,10068039,1988
4756,Boiling Point,WB,10058318,1993
4757,National Lampoon's Class Reunion,Fox,10054150,1982
4758,Marshall,ORF,10051659,2017
4759,Cry Wolf,Rog.,10047674,2005
4760,Lucky Numbers,Par.,10042516,2000
4761,Godzilla 2000,Sony,10037390,2000
4762,What's Eating Gilbert Grape,Par.,10032765,1993
4763,Next Day Air,Sum.,10027047,2009
4764,Dirty Work,MGM,10023282,1998
4765,The Lady in the Van,SPC,10021175,2015
4766,Hope and Glory,Col.,10021120,1987
4767,Cutthroat Island,MGM,10017322,1995
4768,A Little Princess,WB,10015449,1995
4769,Penelope,Sum.,10011996,2008
4770,BRATZ,LGF,10010209,2007
4771,The Unbearable Lightness of Being,Orion,10006806,1988
4772,The Two Jakes,Par.,10005969,1990
4773,Terror in the Aisles,Uni.,10004817,1984
4774,Once Bitten,Gold.,10000000,1985
4775,The Hollywood Knights,Col.,10000000,1980
4776,Nashville,Par.,9984123,1975
4777,Lassie,Par.,9979683,1994
4778,Criminal Law,Hemd,9974446,1989
4779,Dudley Do-Right,Uni.,9974410,1999
4780,Murphy's Law,Can.,9947631,1986
4781,Brazil,Uni.,9929135,1985
4782,Immortal Beloved,Sony,9914409,1994
4783,Straight Time,WB,9900000,1978
4784,Very Bad Things,Poly,9898412,1998
4785,The Onion Field,AVCO,9890597,1979
4786,Night Falls on Manhattan,Par.,9889670,1997
4787,Miami Blues,Orion,9888167,1990
4788,Explorers,Par.,9873044,1985
4789,Dunston Checks In,Fox,9871065,1996
4790,Serial,Par.,9870727,1980
4791,Maid to Order,NCeV,9868521,1987
4792,Jade,Par.,9851610,1995
4793,La Grande Seduction,Ode.,9844180,2003
4794,3 Strikes,MGM,9832166,2000
4795,Hanky Panky,Col.,9823934,1982
4796,"He Said, She Said",Par.,9804775,1991
4797,Bad Dreams,Fox,9797098,1988
4798,The Express,Uni.,9793406,2008
4799,The Swan Princess,NL,9771658,1994
4800,Everyone Says I Love You,Mira.,9759200,1996
4801,The Hidden,NL,9747988,1987
4802,Amos & Andrew,Col.,9745803,1993
4803,Rendition,NL,9736045,2007
4804,Cloak and Dagger,Uni.,9719952,1984
4805,Somewhere in Time,Uni.,9709597,1980
4806,Flesh and Bone,Par.,9709451,1993
4807,The Journey of Natty Gann,BV,9708373,1985
4808,Blue Valentine,Wein.,9706328,2010
4809,Space Camp,Fox,9697739,1986
4810,Duplex,Mira.,9692135,2003
4811,The Butcher's Wife,Par.,9689816,1991
4812,Simone,NL,9688676,2002
4813,The Baby-Sitters Club,Sony,9685976,1995
4814,The Perfect Match,LGF,9669521,2016
4815,I Don't Know How She Does It,Wein.,9662284,2011
4816,Hotel Mumbai,BST,9651611,2019
4817,Country,BV,9640000,1984
4818,Belly,Art.,9639390,1998
4819,Popstar: Never Stop Never Stopping,Uni.,9639125,2016
4820,Without a Trace,Fox,9632062,1983
4821,Digimon: The Movie,Fox,9631153,2000
4822,Wrongfully Accused,WB,9623329,1998
4823,The Wife,SPC,9601092,2018
4824,The Spanish Prisoner,SPC,9586993,1998
4825,Comes a Horseman,MGM,9585769,1978
4826,Carbon Copy,Emb,9566593,1981
4827,Scenes From a Mall,BV,9563393,1991
4828,Midnight Sun,Global Road,9561064,2018
4829,Fair Game (2010),Sum.,9540691,2010
4830,She's the One,FoxS,9538948,1996
4831,Thank You for Your Service (2017),Uni.,9536300,2017
4832,Death Sentence,Fox,9534258,2007
4833,Matinee,Uni.,9532895,1993
4834,From the Hip,DEG,9518342,1987
4835,Smart People,Mira.,9511289,2008
4836,Shall We Dance?,Mira.,9499091,1997
4837,The Red Violin,Lions,9495408,1998
4838,Chaplin,TriS,9493259,1992
4839,Bullet to the Head,WB,9489829,2013
4840,Guilty by Suspicion,WB,9480198,1991
4841,Away We Go,Focus,9451946,2009
4842,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Col.,9440272,1964
4843,Once,FoxS,9439923,2007
4844,Sleepover,MGM,9436390,2004
4845,The Visitor,Over.,9427089,2008
4846,Rock Dog,LG/S,9420546,2017
4847,Village of the Damned,Uni.,9418365,1995
4848,Fun Size,Par.,9409538,2012
4849,Angie,BV,9398308,1994
4850,Black Snake Moan,ParV,9396870,2007
4851,Fierce Creatures,Uni.,9381260,1997
4852,Tully (2018),Focus,9369755,2018
4853,Tuff Turf,Orion,9369329,1985
4854,Dragonball Evolution,Fox,9362785,2009
4855,The Frisco Kid,WB,9346177,1979
4856,Hellraiser 4: Bloodline,Mira.,9336886,1996
4857,We're Back! A Dinosaur's Story,Uni.,9317021,1993
4858,Bobby Deerfield,Col.,9300000,1977
4859,Talk to Her,SPC,9285469,2002
4860,Lost in Yonkers,Col.,9285189,1993
4861,No Manches Frida 2,PNT,9270920,2019
4862,Ringmaster,Art.,9257103,1998
4863,Celtic Pride,BV,9255027,1996
4864,Hardcore Henry,STX,9252038,2016
4865,Dark Blue,UA,9250301,2003
4866,Havana,Uni.,9243140,1990
4867,Mrs. Brown,Mira.,9229808,1997
4868,A Serious Man,Focus,9228768,2009
4869,Gladiator (1992),Col.,9223441,1992
4870,Super Babies: Baby Geniuses 2,Triu,9219388,2004
4871,Shoot the Moon,MGM,9217530,1982
4872,Everybody's Fine,Mira.,9208876,2009
4873,Bernie,MNE,9206470,2012
4874,Return of the Living Dead 2,Lori,9205924,1988
4875,Bad Boys (1983),Uni.,9190819,1983
4876,Body Parts,Par.,9188150,1991
4877,Traffik,LGF,9186156,2018
4878,The Four Horsemen of the Apocalypse,MPC,9183673,1921
4879,You Can Count on Me,ParC,9183362,2000
4880,Tyler Perry Presents Peeples,LGF,9177065,2013
4881,Get Low,SPC,9176933,2010
4882,A Mighty Heart,ParV,9176787,2007
4883,A Single Man,Wein.,9176000,2009
4884,Pennies From Heaven,MGM,9171289,1981
4885,Ulee's Gold,MGM,9161691,1997
4886,Stone Cold,Col.,9151887,1991
4887,Switching Channels,TriS,9129999,1988
4888,Tap,TriS,9114702,1989
4889,Meet the Blacks,Free,9097072,2016
4890,Warlock,Trim.,9094451,1991
4891,Sweet Dreams,TriS,9085049,1985
4892,Le Divorce,FoxS,9081057,2003
4893,Un Gallo con Muchos Huevos,LGF,9080818,2015
4894,A Midsummer Night's Sex Comedy,WB,9077269,1982
4895,The Lobster (US Release),A24,9077245,2016
4896,Trail of the Pink Panther,MGM,9056073,1982
4897,First Daughter,Fox,9055921,2004
4898,Salmon Fishing in the Yemen,CBS,9047981,2012
4899,The Boy in the Striped Pajamas,Mira.,9046156,2008
4900,Conquest of the Planet of the Apes,Fox,9043472,1972
4901,Apollo 11,Neon,9039891,2019
4902,Target,WB,9023199,1985
4903,Trippin',Oct.,9017070,1999
4904,The Ice Harvest,Focus,9016782,2005
4905,Transamerica,Wein.,9015303,2005
4906,Renegades,Uni.,9015164,1989
4907,White Sands,WB,9011574,1992
4908,Tribute,Fox,9000000,1980
4909,Saturn 3,AFD,9000000,1980
4910,Deadly Friend,WB,8988731,1986
4911,Aliens of the Deep (IMAX),BV,8968684,2005
4912,Alien Adventure (IMAX),NWav,8959784,1999
4913,Teaching Mrs. Tingle,Mira.,8951935,1999
4914,Saved!,UA,8940582,2004
4915,In the Mouth of Madness,NL,8924549,1995
4916,Bolero,Can.,8914881,1984
4917,The Next Karate Kid,Col.,8914777,1994
4918,Late for Dinner,Col.,8906823,1991
4919,The Formula,MGM,8894289,1980
4920,Salsa - The Motion Picture,Can.,8892589,1988
4921,"Mystery, Alaska",BV,8891623,1999
4922,Battle of the Year,SGem,8888355,2013
4923,The Inkwell,BV,8880705,1994
4924,White Fang II: Myth of the White Wolf,BV,8878839,1994
4925,Queen of Katwe,BV,8874389,2016
4926,Unfriended: Dark Web,BH Tilt,8866745,2018
4927,Apt Pupil,Sony,8863193,1998
4928,Nightbreed,Fox,8862354,1990
4929,Battle for the Planet of the Apes,Fox,8844595,1973
4930,Movie 43,Rela.,8840453,2013
4931,The Deep End,FoxS,8823109,2001
4932,Ratchet & Clank,Focus,8821329,2016
4933,Can You Ever Forgive Me?,FoxS,8803865,2018
4934,Body Double,Col.,8801940,1984
4935,Scandal,Mira.,8800000,1989
4936,Before and After,BV,8797839,1996
4937,The Seeker: The Dark Is Rising,Fox,8794452,2007
4938,Oxford Blues,MGM,8793152,1984
4939,The Five Heartbeats,Fox,8750400,1991
4940,Mad Max,Film,8750000,1980
4941,Whatever It Takes,Sony,8745680,2000
4942,True Believer,Col.,8742750,1989
4943,Street Fighter: The Legend of Chun-Li,Fox,8742261,2009
4944,Suspect Zero,Par.,8725813,2004
4945,John Carpenter's Ghosts of Mars,SGem,8709640,2001
4946,If You Could See What I Hear,JenF,8693512,1982
4947,Mischief,Fox,8692426,1985
4948,Clean and Sober,WB,8674093,1988
4949,Once Upon a Crime,MGM,8669847,1992
4950,Bingo,TriS,8667684,1991
4951,My Life in Ruins,FoxS,8665206,2009
4952,The Puppet Masters,BV,8647042,1994
4953,The Man with One Red Shoe,Fox,8645411,1985
4954,That Was Then... This Is Now,Par.,8630068,1985
4955,Secret Admirer,Orion,8622757,1985
4956,Manhunter,DEG,8620929,1986
4957,All Dogs Go to Heaven 2,MGM,8620678,1996
4958,The Bounty,Orion,8613462,1984
4959,U2: Rattle and Hum,Par.,8600823,1988
4960,Boat Trip,Art.,8600126,2003
4961,Pollock,SPC,8598593,2000
4962,An Unfinished Life,Mira.,8586392,2005
4963,Death at a Funeral (2007),MGM,8580428,2007
4964,The Lost City of Z,BST,8580410,2017
4965,High Spirits,TriS,8578231,1988
4966,Strange Brew,MGM,8571374,1983
4967,Leprechaun,Trim.,8556940,1993
4968,Blue Velvet,DEG,8551228,1986
4969,Serenity (2019),Aviron,8547045,2019
4970,Les Invasions Barbares,All.,8544975,2003
4971,The Rich Man's Wife,BV,8543587,1996
4972,The Care Bears Movie 2,Col.,8540346,1986
4973,Without a Clue,Orion,8539181,1988
4974,Ski Patrol,Triu,8533973,1990
4975,The Big Brawl,WB,8527743,1980
4976,MacGruber,Uni.,8525600,2010
4977,The Quiet Ones,LGF,8509867,2014
4978,Troop Beverly Hills,Col.,8508843,1989
4979,Stick,Uni.,8489518,1985
4980,Nothing But Trouble,WB,8479793,1991
4981,Wise Guys,MGM,8475466,1986
4982,Legends of Oz: Dorothy's Return,CE,8462027,2014
4983,Tender Mercies,Uni.,8443124,1983
4984,Bebe's Kids,Par.,8442162,1992
4985,Play It to the Bone,BV,8434146,1999
4986,1984,Gold.,8430492,1984
4987,The Awakening,WB,8415112,1980
4988,Amy,A24,8413144,2015
4989,Pushing Tin,Fox,8408835,1999
4990,Dr. Giggles,Uni.,8403433,1992
4991,Sex Drive,Sum.,8402485,2008
4992,Twice in a Lifetime,Bud,8402424,1985
4993,Something Wicked This Way Comes,BV,8400000,1983
4994,Meteor,AIP,8400000,1979
4995,The Importance of Being Earnest,Mira.,8384929,2002
4996,The Last Temptation of Christ,Uni.,8373585,1988
4997,Smoke,Mira.,8367636,1995
4998,Death to Smoochy,WB,8364691,2002
4999,Turbo: A Power Rangers Movie,Fox,8363899,1997
5000,Something Wild,Orion,8362969,1986
5001,Twin Dragons,Mira.,8359717,1999
5002,Mr. Jones,TriS,8345845,1993
5003,My Life as a Dog,Skou,8345266,1987
5004,A Simple Wish,Uni.,8345056,1997
5005,Return to Paradise,Poly,8341087,1998
5006,Tenacious D in: The Pick of Destiny,NL,8334575,2006
5007,The Man,NL,8330720,2005
5008,Lipstick,Par.,8328666,1976
5009,Mandela: Long Walk to Freedom,Wein.,8323085,2013
5010,Larger Than Life,MGM,8315693,1996
5011,Johnny English Reborn,Uni.,8305970,2011
5012,The Love Letter,DW,8302478,1999
5013,Shadow of the Vampire,Lions,8293784,2000
5014,The Cooler,Lions,8291572,2003
5015,Reckless,MGM,8289916,1984
5016,The Fish That Saved Pittsburgh,MGM,8281246,1979
5017,Deadly Blessing,MGM,8279042,1981
5018,All About My Mother,SPC,8272296,1999
5019,Early Man,LGF,8267544,2018
5020,Cry-Baby,Uni.,8266343,1990
5021,Satisfaction,Fox,8253123,1988
5022,Christopher Columbus: The Discovery,WB,8251071,1992
5023,The Blob,TriS,8247943,1988
5024,Tall Tale,BV,8247627,1995
5025,The Promise (2017),ORF,8224288,2017
5026,Sidney Sheldon's Bloodline,Par.,8218695,1979
5027,Blue Steel,MGM,8217997,1990
5028,Black Robe,Gold.,8211952,1991
5029,"Whose Life Is It, Anyway?",MGM,8206145,1981
5030,Lucas,Fox,8200000,1986
5031,Cadillac Records,Sony,8195551,2008
5032,Bajrangi Bhaijaan,Eros,8178001,2015
5033,Nick of Time,Par.,8175346,1995
5034,Firestorm,Fox,8165212,1998
5035,Cheetah,BV,8153677,1989
5036,Deepstar Six,TriS,8143225,1989
5037,Funny About Love,Par.,8141292,1990
5038,Code Name: The Cleaner,NL,8135024,2007
5039,Delta Farce,LGF,8130530,2007
5040,Dead Bang,WB,8125592,1989
5041,Prince of the City,WB,8124257,1981
5042,Mad Hot Ballroom,ParC,8117961,2005
5043,Hoot,NL,8117637,2006
5044,The Road,W/Dim.,8117000,2009
5045,Before Midnight,SPC,8114627,2013
5046,Dirty Pretty Things,Mira.,8112414,2003
5047,Inherent Vice,WB,8110975,2014
5048,A Cure for Wellness,Fox,8106986,2017
5049,The Philadelphia Experiment,NW,8103330,1984
5050,Fresh,Mira.,8094616,1994
5051,The Shootist,Par.,8091910,1976
5052,Streets of Fire,Uni.,8089290,1984
5053,Connie and Carla,Uni.,8085771,2004
5054,The Adventures of Baron Munchausen,Col.,8083123,1989
5055,My Giant,Sony,8072007,1998
5056,Bella,RAtt.,8070537,2007
5057,Woo,NL,8064972,1998
5058,The Painted Veil,WIP,8060487,2006
5059,Punisher: War Zone,LGF,8050977,2008
5060,The Death of Stalin,IFC,8047856,2018
5061,Aspen Extreme,BV,8041049,1993
5062,Dead Ringers,Fox,8038508,1988
5063,The Ice Storm,FoxS,8038061,1997
5064,Haunted Honeymoon,Orion,8033397,1986
5065,Dhoom 3,Yash,8031955,2013
5066,The Texas Chainsaw Massacre 2,Can.,8025872,1986
5067,Jerusalem,NGE,8020721,2013
5068,Pirate Radio,Focus,8017917,2009
5069,The Meteor Man,MGM,8016708,1993
5070,Dragon Ball Z: Resurrection 'F',FUN,8008363,2015
5071,The Great White Hype,Fox,8008255,1996
5072,Machete Kills,ORF,8008161,2013
5073,Blackhat,Uni.,8005980,2015
5074,The Wild Life (2016),LG/S,8005586,2016
5075,Night Crossing,BV,8000000,1982
5076,Dazed and Confused,Gram.,7993039,1993
5077,The Pirate Movie,Fox,7983086,1982
5078,Strange Days,Fox,7959291,1995
5079,Blankman,Col.,7941977,1994
5080,A Thousand Acres,BV,7936780,1997
5081,American Hot Wax,Par.,7932571,1978
5082,Unstrung Heroes,BV,7929434,1995
5083,The Chase,Fox,7924955,1994
5084,Bushwhacked,Fox,7919823,1995
5085,Arbitrage,RAtt.,7919574,2012
5086,Miracle at St. Anna,BV,7919117,2008
5087,The Brink's Job,Uni.,7909950,1978
5088,Sanju,FIP,7909317,2018
5089,Just the Way You Are,MGM,7889694,1984
5090,Teen Wolf Too,Atl,7888703,1987
5091,The Funhouse,Uni.,7886857,1981
5092,The Space Between Us,STX,7885294,2017
5093,City of Ember,Fox,7873007,2008
5094,Trumbo (2015),BST,7857741,2015
5095,D.A.R.Y.L.,Par.,7840873,1985
5096,Fatal Instinct,MGM,7839327,1993
5097,The Night Listener,Mira.,7836393,2006
5098,Hoop Dreams,FL,7830611,1994
5099,The Little Drummer Girl,WB,7828841,1984
5100,Dead Calm,WB,7825009,1989
5101,Serial Mom,Sav.,7820688,1994
5102,Slither,Uni.,7802450,2006
5103,In Bruges,Focus,7800824,2008
5104,House II,NW,7800000,1987
5105,Vampire Academy,Wein.,7791979,2014
5106,The Best of Times,Uni.,7790931,1986
5107,If Looks Could Kill,WB,7788597,1991
5108,Bad Words,Focus,7779614,2014
5109,Sirens,Mira.,7770731,1994
5110,"Enemies, A Love Story",Fox,7754571,1989
5111,Loving ,Focus,7751969,2016
5112,The Return,Rog.,7749851,2006
5113,The Beast Within,MGM,7742572,1982
5114,Being Julia,SPC,7739049,2004
5115,Unsane,BST,7732899,2018
5116,Surviving the Game,NL,7727256,1994
5117,"The Cook, The Thief, His Wife and Her Lover",Mira.,7724701,1990
5118,Disorganized Crime,BV,7723506,1989
5119,A New Life,Par.,7721852,1988
5120,Expelled: No Intelligence Allowed,RM,7720487,2008
5121,Tupac: Resurrection,Par.,7718961,2003
5122,Dolphins and Whales: Tribes of the Ocean 3D,3D,7714996,2008
5123,The Collector,Free,7712114,2009
5124,Anna (2019),LG/S,7710340,2019
5125,Kevin Hart: Laugh at My Pain,Code,7706436,2011
5126,Vertigo,Par.,7705225,1958
5127,Penguins (Disneynature),BV,7699452,2019
5128,Mr. & Mrs. Bridge,Mira.,7698010,1990
5129,Mortdecai,LGF,7696134,2015
5130,Sarah's Key,Wein.,7693187,2011
5131,The Imaginarium of Doctor Parnassus,SPC,7689607,2009
5132,Runaway Train,Can.,7683620,1985
5133,Strictly Business,WB,7683267,1991
5134,He-Man and She-Ra in The Secret of the Sword,Atl,7660857,1985
5135,The Order,Fox,7660806,2003
5136,Fatso,Fox,7653061,1980
5137,The Prisoner of Zenda (1979),Uni.,7650600,1979
5138,Beautiful Boy (2018),Amazon,7649973,2018
5139,Journey to the South Pacific,IMAX,7642450,2013
5140,The Girl Who Played with Fire,MBox,7638241,2010
5141,Quicksilver,Col.,7634909,1986
5142,Ninja 3: The Domination,Can.,7610785,1984
5143,Losing Isaiah,Par.,7603766,1995
5144,Promised Land (2012),Focus,7597898,2012
5145,While We're Young,A24,7587485,2015
5146,Sprung,Trim.,7575028,1997
5147,Krippendorf's Tribe,BV,7571115,1998
5148,City of God,Mira.,7564459,2003
5149,Hackers,MGM,7563728,1995
5150,Over Her Dead Body,NL,7563670,2008
5151,Into the Night,Uni.,7562164,1985
5152,The Jerky Boys,BV,7557877,1995
5153,El Cantante,PicH,7556712,2007
5154,Wanted: Dead or Alive,NW,7555000,1987
5155,Proof,Mira.,7535331,2005
5156,Damage,NL,7532911,1992
5157,The Curse of the Jade Scorpion,DW,7517191,2001
5158,The Amazing Panda Adventure,WB,7506759,1995
5159,The Man Who Wasn't There,USA,7504257,2001
5160,Nothing Like the Holidays,Over.,7503736,2008
5161,Martian Child,NL,7500310,2007
5162,The Sugarland Express,Uni.,7500000,1974
5163,How to Beat the High Cost of Living,Film,7500000,1980
5164,How to Become a Detective,Film,7500000,1980
5165,Agatha,WB,7500000,1979
5166,I Know Who Killed Me,Sony,7498716,2007
5167,The Trip to Bountiful,Isld,7491903,1985
5168,It Runs in the Family,MGM,7491839,2003
5169,Foxes,MGM,7470348,1980
5170,Cyrus,FoxS,7468936,2010
5171,Stealing Home,WB,7467504,1988
5172,Taking Woodstock,Focus,7460204,2009
5173,A Good Year,Fox,7459300,2006
5174,I'll See You In My Dreams,BST,7449681,2015
5175,Goin' South,Par.,7435671,1978
5176,Harley Davidson and the Marlboro Man,MGM,7434726,1991
5177,Maximum Overdrive,DEG,7433663,1986
5178,Doogal,Wein.,7417319,2006
5179,Kids,Mira.,7412216,1995
5180,Clifford,Orion,7408745,1994
5181,Tex,BV,7400000,1982
5182,Ironweed,TriS,7393346,1987
5183,Paranoia,Rela.,7385015,2013
5184,The Squid and the Whale,IDP,7372734,2005
5185,The Condemned,LGF,7371706,2007
5186,Witchboard,PEC,7369373,1986
5187,Mid90s,A24,7362439,2018
5188,Clean Slate,MGM,7355425,1994
5189,The Crucible,Fox,7343114,1996
5190,Iceman,Uni.,7343032,1984
5191,Wild America,WB,7342923,1997
5192,Alice,Orion,7331647,1990
5193,King of the Gypsies,Par.,7325177,1978
5194,Babies,Focus,7320323,2010
5195,Bones,NL,7316658,2001
5196,Mississippi Masala,Gold.,7308786,1992
5197,Sarafina!,BV,7306242,1992
5198,Who's That Girl,WB,7305209,1987
5199,Outside Providence,Mira.,7302522,1999
5200,Wild Hearts Can't Be Broken,BV,7294835,1991
5201,Eat Drink Man Woman,Gold.,7294403,1994
5202,The Forsaken,SGem,7288451,2001
5203,Lorenzo's Oil,Uni.,7286388,1993
5204,Phantasm II,Uni.,7282851,1988
5205,She's So Lovely,Mira.,7281450,1997
5206,Run Lola Run,SPC,7267585,1999
5207,Big Trouble,BV,7267307,2002
5208,Barcelona,FL,7266973,1994
5209,Searching for Bobby Fischer,Par.,7266383,1993
5210,Buddy Buddy,MGM,7258543,1981
5211,Friends with Kids,RAtt.,7251073,2012
5212,B.A.P.S.,NL,7246735,1997
5213,Off Limits,Fox,7242035,1988
5214,Rush,MGM,7241350,1991
5215,The Missionary,Col.,7241180,1982
5216,Johnny Handsome,TriS,7237794,1989
5217,Let there be Light,ADC,7233471,2017
5218,Zeus and Roxanne,MGM,7233324,1997
5219,Force 10 From Navarone,AIP,7230000,1978
5220,Gold,Wein.,7227038,2017
5221,All the King's Men,Sony,7221458,2006
5222,Mulholland Drive,Uni.,7220243,2001
5223,The Big Red One,MGM,7206220,1980
5224,The Big Year,Fox,7204138,2011
5225,Transylvania 6-5000,NW,7196872,1985
5226,Encounter in the 3rd Dimension (IMAX),NWav,7195792,1999
5227,The Green Inferno,BH Tilt,7192291,2015
5228,American Dreamz,Uni.,7191830,2006
5229,1492: Conquest of Paradise,Par.,7191399,1992
5230,Paradise Alley,Uni.,7185518,1978
5231,North,Col.,7182747,1994
5232,Women on the Verge of a Nervous Breakdown,OrionC,7179298,1988
5233,The Boy Who Could Fly,Fox,7177431,1986
5234,10 to Midnight,MGM,7175592,1983
5235,The Hoax,Mira.,7164995,2007
5236,The Orphanage,PicH,7161284,2007
5237,The Name of the Rose,Fox,7153487,1986
5238,Dear God,Par.,7138523,1996
5239,She's Gotta Have It,Isld,7137502,1986
5240,I am Not Your Negro,Magn.,7123919,2017
5241,Hardbodies,Col.,7121719,1984
5242,Beatriz At Dinner,RAtt.,7115854,2017
5243,Silence (2016),Par.,7100177,2016
5244,Where Eagles Dare,MGM,7100000,1969
5245,A Separation,SPC,7099055,2011
5246,The Bad News Bears Go to Japan,Par.,7092495,1978
5247,Before the Devil Knows You're Dead,Think,7084227,2007
5248,Seeking a Friend for the End of the World,Focus,7078738,2012
5249,Trapped,Sony,7073251,2002
5250,How She Move,ParV,7070641,2008
5251,Quills,FoxS,7065332,2000
5252,The Stunt Man,Fox,7063886,1980
5253,Phat Girlz,FoxS,7061128,2006
5254,Pride,LGF,7057600,2007
5255,Alphabet City,Atl,7035585,1984
5256,House Arrest,MGM,7032782,1996
5257,Star Kid,Trim.,7029025,1998
5258,Turistas,FoxA,7027762,2006
5259,Three Wishes,Sav.,7027517,1995
5260,Screwed,Uni.,7027345,2000
5261,BASEketball,Uni.,7027290,1998
5262,Bug,LGF,7025810,2007
5263,Kissing Jessica Stein,FoxS,7025722,2002
5264,Last of the Dogmen,Sav.,7024389,1995
5265,Running with Scissors,Sony,7022827,2006
5266,Hiding Out,DEG,7019441,1987
5267,Black Nativity,FoxS,7018189,2013
5268,An American Carol,Viv.,7013191,2008
5269,Crossover,Sony,7009668,2006
5270,International Velvet,MGM,7009238,1978
5271,The Triplets of Belleville,SPC,7007149,2003
5272,Our Brand Is Crisis (2015),WB,7002261,2015
5273,Buena Vista Social Club,Art.,7002182,1999
5274,Cat People,Uni.,7000000,1982
5275,Fearless,WB,6995302,1993
5276,Relentless,NL,6985999,1989
5277,Children of the Corn II,Mira.,6980986,1993
5278,Grandma (2015),SPC,6980524,2015
5279,Trial by Jury,WB,6971777,1994
5280,I Ought to Be in Pictures,Fox,6968359,1982
5281,Shag: The Movie,Hemd,6957975,1989
5282,La Cage aux Folles 2,MGM,6950125,1981
5283,Suburban Commando,NL,6948859,1991
5284,Red Sonja,MGM,6948633,1985
5285,Blue City,Par.,6947787,1986
5286,Sexy Beast,FoxS,6946056,2001
5287,State and Main,FL,6944471,2000
5288,Almost an Angel,Par.,6939946,1990
5289,The Wedding Banquet,Gold.,6933459,1993
5290,Take Me Home Tonight,Rela.,6928068,2011
5291,A Cry in the Dark,WB,6908797,1988
5292,Birth of the Dragon,BH Tilt,6901965,2017
5293,Shut In,EC,6900335,2016
5294,The Amateur,Fox,6892098,1982
5295,Willard,NL,6886089,2003
5296,Redline,Chic.,6881022,2007
5297,Thunderbirds,Uni.,6880917,2004
5298,Death Wish 4: The Crackdown,Can.,6880310,1987
5299,"Woman, Thou Art Loosed",Magn.,6879730,2004
5300,The Brothers Grimsby,Sony,6874837,2016
5301,Cedar Rapids,FoxS,6861102,2011
5302,Never Talk to Strangers,Sony,6858261,1995
5303,Romantic Comedy,MGM,6857733,1983
5304,Running Scared,NL,6855137,2006
5305,The Spectacular Now,A24,6854611,2013
5306,200 Cigarettes,Par.,6852450,1999
5307,The Collection,LD,6842058,2012
5308,Exit to Eden,Sav.,6841570,1994
5309,The Pope of Greenwich Village,MGM,6836201,1984
5310,Moonlight Mile,BV,6835856,2002
5311,Panther,Gram.,6834525,1995
5312,Mixed Nuts,Sony,6821850,1994
5313,Dog Days (2018),LD,6809080,2018
5314,The Chipmunk Adventure,Gold.,6804312,1987
5315,Trick or Treat,DEG,6797218,1986
5316,Boy Erased,Focus,6788692,2018
5317,Fanny and Alexander,Emb,6783304,1983
5318,Conviction,FoxS,6783129,2010
5319,In the Valley of Elah,WIP,6777741,2007
5320,Runaway,TriS,6770587,1984
5321,Ladies in Lavender,IDP,6765081,2005
5322,Me and Earl and the Dying Girl,FoxS,6758416,2015
5323,Caught Up,Live,6754958,1998
5324,The Young Black Stallion (IMAX),BV,6751389,2003
5325,"Seraphin, un homme et son peche",All.,6749187,2002
5326,Smoke Signals,Mira.,6745362,1998
5327,The Mambo Kings,WB,6742168,1992
5328,Amour,SPC,6739492,2012
5329,Fortress,Mira.,6739141,1993
5330,Baahubali: The Beginning,BSC,6738000,2015
5331,9 1/2 Weeks,MGM,6735922,1986
5332,Loving Vincent,Good Deed,6735118,2017
5333,Town & Country,NL,6719973,2001
5334,American History X,NL,6719864,1998
5335,Hotel Artemis,Global Road,6708147,2018
5336,Roger and Me,WB,6706368,1989
5337,The Snowman,Uni.,6700035,2017
5338,Delta Force 2: Operation Stranglehold,MGM,6698361,1990
5339,U-Turn,Sony,6682098,1997
5340,The Closet (Le Placard),Mira.,6678894,2001
5341,Hairspray (1988),NL,6671108,1988
5342,City Island,Anch.,6671036,2010
5343,Nightmares,Uni.,6670680,1983
5344,Six Weeks,Uni.,6668025,1982
5345,The Golden Seal,Gold.,6666725,1983
5346,Forced Vengeance,MGM,6660333,1982
5347,Where the Buffalo Roam,Uni.,6659377,1980
5348,I Dreamed of Africa,Sony,6651522,2000
5349,Swing Shift,WB,6650206,1984
5350,Fresh Horses,Col.,6640346,1988
5351,Black Moon Rising,NW,6637565,1986
5352,Spider-Man / Men in Black II,Sony,6632970,2002
5353,Femme Fatale,WB,6630252,2002
5354,The Savages,FoxS,6623082,2007
5355,The Gong Show Movie,Uni.,6621520,1980
