show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,type
80200549,When They See Us,,"Asante Blackk, Caleel Harris, Ethan Herisse, Jharrel Jerome, Marquis Rodriguez, Jovan Adepo, Chris Chalk, Justin Cunningham, Freddy Miyares, Michael Kenneth Williams, Marsha Stephanie Blake, Kylie Bunbury, Aunjanue Ellis, Vera Farmiga, Felicity Huffman, John Leguizamo, Niecy Nash",United States,"May 31, 2019",2019,TV-MA,1 Season,"Crime TV Shows, TV Dramas",Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,TV Show
70202150,My Week with Marilyn,Simon Curtis,"Michelle Williams, Kenneth Branagh, Eddie Redmayne, Dominic Cooper, Philip Jackson, Derek Jacobi, Toby Jones, Michael Kitchen, Julia Ormond, Simon Russell Beale, Dougray Scott, Zoë Wanamaker, Emma Watson, Judi Dench","United Kingdom, United States","May 30, 2019",2011,R,99 min,"Dramas, Romantic Movies","While filming a movie in England, Hollywood icon Marilyn Monroe slips away with a young Brit for a week of self-discovery and frivolity.",Movie
81010699,Svaha: The Sixth Finger,Jang Jae-hyun,"Lee Jung-jae, Park Jung-min, Lee Jae-in, Yoo Ji-tae, Jung Jin-young, Lee Da-wit, Jin Seon-kyu, Ji Seung-hyeon, Min Tanaka",South Korea,"May 30, 2019",2019,TV-14,123 min,"International Movies, Thrillers",A minister who researches religious cults turns to his Buddhist monk friend for help investigating a new group with mysterious origins.,Movie
70299863,The One I Love,Charlie McDowell,"Mark Duplass, Elisabeth Moss, Ted Danson",United States,"May 30, 2019",2014,R,91 min,"Comedies, Dramas, Independent Movies","Confronted with the potential end of their marriage, Ethan and Sophie take off for a weekend together, hoping to negotiate their future.",Movie
80066080,DC's Legends of Tomorrow,Rob Seidenglanz,"Victor Garber, Brandon Routh, Caity Lotz, Franz Drameh, Amy Pemberton, Dominic Purcell, Maisie Richardson-Sellers, Nick Zano, Arthur Darvill, Wentworth Miller, Tala Ashe, Adam Tsekhman, Christina Brucato, Simon Merrells, Nils Hognestad, Jes Macallan, Keiynan Lonsdale",United States,,2018,TV-14,4 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy","A mysterious ""time master"" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil.",TV Show
81087094,Lifechanger,Justin McConnell,"Lora Burke, Jack Foley, Bill Oberst Jr., Elitsa Bako, Sam James White, Rachel Vanduzer, Steve Kasan",Canada,"May 28, 2019",2018,TV-MA,84 min,"Horror Movies, Independent Movies, Thrillers","A shapeshifter has to kill, then inhabit his victims, or die. But as his need for new bodies speeds up, he finally faces down his own mortality.",Movie
80221447,The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston","Mackenzie Foy, Keira Knightley, Helen Mirren, Morgan Freeman, Matthew Macfadyen, Eugenio Derbez, Miranda Hart, Jack Whitehall, Ellie Bamber, Richard E. Grant, Omid Djalili, Tom Sweet, Misty Copeland, Sergei Polunin, Meera Syal",United States,"May 28, 2019",2018,PG,99 min,Children & Family Movies,"When her late mother gifts her a key, Clara embarks on a dreamlike journey full of fantasy and conflict in this retelling of the holiday classic.",Movie
70242063,After Porn Ends,Bryce Wagoner,,United States,"May 27, 2019",2012,NR,93 min,Documentaries,"This documentary explores the careers of some of porn's top stars and examines their adjustment to ""normal"" society after leaving adult entertainment.",Movie
81013657,Charmed,,"Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie",United States,"May 27, 2019",2019,TV-PG,1 Season,"TV Dramas, TV Sci-Fi & Fantasy","After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy.",TV Show
80994222,Historical Roasts,,"Jeff Ross, Bob Saget, James Adomian, Rachel Feinstein, Jerry Minor, Ayden Mayeri, Jaleel White, Natasha Leggero, Yamaneika Saunders, John Stamos, Nikki Glaser, Seth Green, Fortune Feimster, Jon Lovitz, Mindy Rickles, Gilbert Gottfried, Sasheer Zamata, Brandon T. Jackson, Ryan Phillippe, Ken Marino, Bridget Everett, John Gemberling, Leonardo Nam, Josh Homme",United States,"May 27, 2019",2019,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies","""Roastmaster General"" Jeff Ross and a slew of guest stars poke fun at major historical figures while also honoring their enduring impact on the world.",TV Show
70285581,Outlander,,"Caitriona Balfe, Sam Heughan, Tobias Menzies, Gary Lewis, Graham McTavish, Lotte Verbeek, Duncan Lacroix, Laura Donnelly, Bill Paterson, Stephen Walters, Grant O'Rourke, Simon Callow, Richard Rankin, Sophie Skelton, David Berry, Romann Berrux, Ed Speleers, Maria Doyle Kennedy, Tim Downie",United States,,2016,TV-MA,2 Seasons,"Romantic TV Shows, TV Action & Adventure, TV Dramas",This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.,TV Show
80065386,Supergirl,Jesse Warn,"Melissa Benoist, Mehcad Brooks, Chyler Leigh, Jeremy Jordan, David Harewood, Calista Flockhart, Emma Tremblay, Adrian Pasdar, Katie McGrath, David St. Louis, Odette Annable, Floriana Lima, Erica Durance",United States,,2019,TV-14,4 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy","To avert a disaster, Kara Danvers reveals her powers and true identity: She is Superman's cousin, now known as Supergirl, protector of National City.",TV Show
80993756,Kiss The Series,,"Lapassalal Jiravechsoontornkul, Mook Worranit Thawornwong, Jirakit Thawornwong, Sattaphong Phiangphor",,"May 26, 2019",2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","After a night out, Sandee wakes to discover she and her buddy have either taken their platonic friendship to a whole new level or ruined it forever.",TV Show
81034931,Rampant,Kim Sung-hoon,"Hyun Bin, Jang Dong-gun, Jo Woo-jin, Jeong Man-sik, Lee Sun-bin, Kim Eui-sung, Cho Dal-hwan, Seo Ji-hye, Kim Tae-woo, Kim Joo-hyuk",South Korea,"May 26, 2019",2018,TV-MA,122 min,"Action & Adventure, Horror Movies, International Movies","When Prince Lee Cheong returns to Joseon after his brother’s death, he finds the kingdom plagued by deadly creatures – but they’re not the only threat.",Movie
80993739,Sotus The Series,,"Sangpotirat Perawat, Ruangroj Prachaya",Thailand,"May 25, 2019",2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","When freshman engineering student Kongpob stands up to older bully Arthit, their confrontation soon leads to a deep attraction between the two boys.",TV Show
81132060,Thackeray,,,India,"May 25, 2019",2019,TV-MA,1 Season,TV Shows,"From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray.",TV Show
81002195,After Maria,Nadia Hallgren,,United States,"May 24, 2019",2019,TV-PG,38 min,Documentaries,"Displaced by Hurricane Maria, three Puerto Rican women navigate their families' uncertain futures as their federal housing aid in New York expires.",Movie
81029429,Hyper HardBoiled Gourmet Report,,Kazutoyo Koyabu,,"May 24, 2019",2017,TV-MA,1 Season,"Docuseries, International TV Shows","To live is to eat. For people around the world in precarious and dangerous circumstances, eating itself is dangerous, precarious – and essential.",TV Show
81046255,Joy,Sudabeh Mortezai,"Anwulika Alphonsus, Mariam Precious Sanusi, Angela Ekeleme",Austria,"May 24, 2019",2019,TV-MA,101 min,"Dramas, Independent Movies, International Movies","Close to paying off her debts, a Nigerian sex worker in Austria coaches a reluctant novice, and assesses the risks of taking a faster path to freedom.",Movie
80218306,Rim of the World,McG,"Jack Gore, Miya Cech, Benjamin Flores Jr., Alessio Scalzotto, Andrew Bachelor, Annabeth Gish, Scott MacArthur, Dean S. Jagger, Michael Beach, Lynn Collins, David Theune, Tony Cavalero, Carl McDowell, Punam Patel, Jason Rogel, Chris Wylde, Rudy Mancuso, Amanda Cerny, Allan Graf, Cameron Fuller, Richard Gore, Peter Parros, Annie Cavalero",United States,"May 24, 2019",2019,TV-14,99 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","Stranded at a summer camp when aliens attack the planet, four teens with nothing in common embark on a perilous mission to save the world.",Movie
80117554,She's Gotta Have It,,"DeWanda Wise, Cleo Anthony, Lyriq Bent, Anthony Ramos, Chyna Layne, Margot Bingham, Ilfanesh Hadera, Elvis Nolasco, De'Adre Aziza",United States,,2018,TV-MA,2 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas",Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film.,TV Show
80211638,The Perfection,Richard Shepard,"Allison Williams, Logan Browning, Steven Weber, Alaina Huffman, Mark Kandborg, Graeme Duffy",United States,"May 24, 2019",2019,TV-MA,91 min,"Horror Movies, LGBTQ Movies, Thrillers","In this twisty horror-thriller, a once-promising music prodigy reconnects with her former mentors, only to find them taken with a talented new pupil.",Movie
80197889,WHAT / IF,,"Renée Zellweger, Jane Levy, Blake Jenner, Keith Powers, Samantha Marie Ware, Juan Castano, Dave Annable, Saamer Usmani, Daniella Pineda, John Clarence Stewart, Louis Herthum",United States,"May 24, 2019",2019,TV-MA,1 Season,"TV Dramas, TV Thrillers","Desperate to secure funding for her med tech startup, an idealistic scientist and her husband strike an outrageous deal with a mysterious investor.",TV Show
80133311,Riverdale,Rob Seidenglanz,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse, Marisol Nichols, Madelaine Petsch, Ashleigh Murray, Mädchen Amick, Luke Perry, Casey Cott, Charles Melton, Mark Consuelos, Lochlyn Munro, Peter Bryant, Colin Lawrence, Molly Ringwald, Asha Bromfield, Barclay Hope, Hayley Law, Martin Cummins, Sarah Habel, Nathalie Boltt, Skeet Ulrich",United States,,2019,TV-14,3 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries","While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery.",TV Show
81036190,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,"Mike Diva, Akiva Schaffer","Andy Samberg, Akiva Schaffer, Jorma Taccone, Hannah Simone, Jenny Slate, Sterling K. Brown, Jim O'Heir, Maya Rudolph, Stephanie Beatriz, Alana Haim, Este Haim, Danielle Haim",,"May 23, 2019",2019,TV-MA,30 min,"Comedies, Music & Musicals, Sports Movies",The Lonely Island spoofs notorious baseball stars Jose Canseco and Mark McGwire in this visual rap album set in the Bash Brothers' 1980s heyday.,Movie
80244680,A Tale of Two Kitchens,Trisha Ziff,,,"May 22, 2019",2019,TV-G,30 min,"Documentaries, International Movies","Mexico City restaurant star Gabriela Cámara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture.",Movie
80027042,The Flash,Glen Winter,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",United States,,2019,TV-14,5 Seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.,TV Show
81057229,The Man Who Feels No Pain,Vasan Bala,"Abhimanyu Dassani, Radhika Madan, Gulshan Devaiah, Mahesh Manjrekar, Jimit Trivedi, Loveleen Mishra, Sartaaj Kakkar, Riva Arora",India,"May 22, 2019",2018,TV-MA,137 min,"Action & Adventure, Comedies, International Movies","Leveraging his ability to withstand pain, a young man trains to follow in the footsteps of his martial-arts hero in this high-action, meta comedy.",Movie
70242081,Arrow,James Bamford,"Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland, Paul Blackthorne, Emily Bett Rickards, John Barrowman, Colton Haynes, Susanna Thompson, Anna Hopkins, Juliana Harkavy, Adrian Holmes, Kathleen Gati, Echo Kellum, Rick Gonzalez, Dominic Bogart, Manu Bennett",United States,,2019,TV-14,7 Seasons,"Crime TV Shows, TV Action & Adventure","Based on DC Comics' Green Arrow, an affluent playboy becomes a vengeful superhero, saving the city from villains armed with just a bow and arrows.",TV Show
80121348,Moonlight,Barry Jenkins,"Trevante Rhodes, André Holland, Janelle Monáe, Ashton Sanders, Jharrel Jerome, Alex Hibbert, Jaden Piner, Naomie Harris, Mahershala Ali",United States,"May 21, 2019",2016,R,111 min,"Dramas, Independent Movies, LGBTQ Movies","In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.",Movie
81011598,Wanda Sykes: Not Normal,Linda Mendoza,Wanda Sykes,United States,"May 21, 2019",2019,TV-MA,66 min,Stand-Up Comedy,"Wanda Sykes tackles politics, reality TV, racism and the secret she'd take to the grave in this rollicking, no-holds-barred stand-up special.",Movie
81005364,Zero,Aanand Rai,"Shah Rukh Khan, Anushka Sharma, Katrina Kaif, Mohammed Zeeshan Ayyub, Tigmanshu Dhulia, Sheeba Chaddha, Brijendra Kala, Mallika Dua, Abhay Deol, Madhavan",India,"May 21, 2019",2018,TV-14,159 min,"Comedies, Dramas, International Movies","Through his relationships with two wildly different women, a vertically challenged bachelor with a larger-than-life persona must discover his purpose.",Movie
80223556,Prince of Peoria,,"Gavin Lewis, Theodore Barnes, Shelby Simmons, Cynthia Kaye McWilliams",United States,,2019,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",A prankster prince who wants to experience life as an ordinary teen leaves his kingdom to live incognito with a single mom and her studious son.,TV Show
80170690,Rosario Tijeras,,"Bárbara de Regil, José María de Tavira, Antonio Gaona, Hernán Mendoza, Vanessa Bauche, Christian Vasquez, José Sefami, Ariel López Padilla",Mexico,,2018,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Worlds collide when a vengeance-obsessed young woman from the other side of the tracks captures the attention of two well-off friends.,TV Show
81043473,SGT. Will Gardner,Max Martini,"Max Martini, Omari Hardwick, Lily Rabe, Elisabeth Röhm, Robert Patrick, Dermot Mulroney, Gary Sinise, JoBeth Williams, Luis Bordonada, Leo Martini",United States,"May 19, 2019",2019,TV-MA,125 min,Dramas,"A homeless vet who has PTSD steals a motorcycle and hits the road, trying to sort out what life means now that war is in the rear-view mirror.",Movie
80080768,The Blackcoat's Daughter,Osgood Perkins,"Emma Roberts, Kiernan Shipka, Lucy Boynton, Lauren Holly, James Remar, Greg Ellwand, Elana Krausz, Heather Tod Mitchell, Peter James Haworth, Emma Holzer","Canada, United States","May 18, 2019",2015,R,95 min,"Horror Movies, Independent Movies, Thrillers","When their parents fail to pick them up for winter break, two students stay on at an all-girls boarding school in the company of a terrible presence.",Movie
81061407,The Brawler,Ken Kushner,"Zach McGowan, Amy Smart, Joe Pantoliano, Burt Young, Tony Darrow, Nick Loeb, Taryn Manning, Jason James Richter",United States,"May 18, 2019",2019,TV-MA,95 min,"Dramas, Independent Movies, Sports Movies","Newly famous after challenging Muhammad Ali for a championship title, boxer Chuck Wepner spirals down the slippery slope of being a celebrity.",Movie
80991872,1994,Diego Enrique Osorno,,Mexico,"May 17, 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",TV Show
81077863,Born in Gaza,Hernán Zin,,Spain,"May 17, 2019",2014,TV-14,70 min,"Documentaries, International Movies",This documentary focuses on the devastating violence of the Israel-Palestine conflict and its effects on the children of Gaza.,Movie
81077851,Born in Syria,Hernán Zin,,"Denmark, Spain","May 17, 2019",2016,TV-14,87 min,"Documentaries, International Movies",This intimate documentary follows a group of Syrian children refugees who narrowly escape a life of torment and integrate into a foreign land.,Movie
81073590,Dying to Tell,Hernán Zin,,Spain,"May 17, 2019",2018,TV-MA,88 min,"Documentaries, International Movies","Seeking answers after a life-changing incident in 2012, filmmaker Hernán Zin interviews other war reporters about the personal toll of their work.",Movie
81103108,First Impression,Arthur Muhammad,"Lamman Rucker, Lisa Arrindell Anderson, Elise Neal, Kendrick Cross",United States,"May 17, 2019",2018,TV-14,96 min,"Comedies, Romantic Movies","Unaware they’ve matched online, a struggling writer embellishes his lifestyle to impress a successful exec with whom he sparks an unexpected romance.",Movie
80999455,It's Bruno!,,"Solvan ""Slick"" Naim, Rob Morgan, Shakira Barrera, Jade Eshete, Adriane Lenox, Donnell Rawlings, Eden Marryshow, Sam Eliad, Devale Ellis, J. Ray Acosta",United States,"May 17, 2019",2019,TV-MA,1 Season,TV Comedies,"An old-school Brooklyn native devotes his days to caring for his adorable dog, Bruno – and making sure the neighbors show his pooch the proper respect.",TV Show
80236341,Maria,Pedring A. Lopez,"Cristine Reyes, Germaine De Leon, KC Montero, Ronnie Lazaro, Freddie Webb",Philippines,"May 17, 2019",2019,TV-MA,90 min,"Action & Adventure, International Movies","An ex-assassin tries to leave her dark past behind until a power-hungry gang targets her and her family, forcing her to summon her killer instincts.",Movie
80179138,Nailed It,,"Nicole Byer, Jacques Torres",United States,,2019,TV-PG,3 Seasons,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",TV Show
80191050,ReMastered: The Lion's Share,Sam Cullman,,,"May 17, 2019",2019,TV-14,84 min,"Documentaries, Music & Musicals","After discovering the family of Solomon Linda, the writer of ""The Lion Sleeps Tonight,"" a reporter tries to help them fight for fair compensation.",Movie
81041271,Saverio Raimondo: Il Satiro Parlante,Francesco Imperato,Saverio Raimondo,Italy,"May 17, 2019",2019,TV-MA,53 min,Stand-Up Comedy,"Italian comic and satirist Saverio Raimondo regales a Milan crowd with tales of online antics, awkward injuries and white-knuckle flights.",Movie
80216758,See You Yesterday,Stefon Bristol,"Eden Duncan-Smith, Dante Crichlow, Astro, Johnathan Nieves, Marsha Stephanie Blake, Wavyy Jonez, Myra Lucretia Taylor",United States,"May 17, 2019",2019,TV-MA,87 min,"Dramas, Sci-Fi & Fantasy, Thrillers","As two teen prodigies try to master the art of time travel, a tragic police shooting sends them on a series of dangerous trips to the past.",Movie
80154610,The Rain,,"Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken, Jessica Dinnage, Sonny Lindberg, Angela Bundalovic, Lars Simonsen","Denmark, United States",,2019,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","Six years after a brutal virus wipes out most of Scandinavia's population, two siblings join a band of young survivors seeking safety – and answers.",TV Show
81092192,Well-Intended Love,,"Xu Kaicheng, Simona Wang, Ian Yi, Huang Qian Shuo, Yang Hao Ming, Liu Jia Xi",China,"May 17, 2019",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","To secure a bone marrow donation, an actress diagnosed with leukemia makes a marriage pact with a young CEO – but love and secrets get in the way.",TV Show
80191680,White Gold,,"Ed Westwick, James Buckley, Joe Thomas, Lauren O'Rourke, Linzey Cocker, Nigel Lindsay, Lloyd Hutchinson, Lee Ross",United Kingdom,,2019,TV-MA,2 Seasons,"British TV Shows, International TV Shows, TV Comedies","In 1980s Essex, cocky salesman Vincent Swan and his unscrupulous team will do anything to get the sale – including throwing honesty out the window.",TV Show
80998967,Good Sam,Kate Melville,"Tiya Sircar, Chad Connell, Marco Grazzini, Jesse Camacho, Mark Camacho, Elana Dunkelman, Kelly Hope Taylor, Kenny Wong, Daniela Sandiford, Christina Tannous",United States,"May 16, 2019",2019,TV-PG,90 min,"Children & Family Movies, Dramas",A curious reporter finds love while pursuing the story of a mysterious figure who's leaving bags of cash for strangers around New York City.,Movie
81038047,Jonaki,Aditya Vikram Sengupta,"Lolita Chatterjee, Sumanto Chattopadhyay, Ratnabali Bhattacharjee, Jim Sarbh, Indrajit Sinha, Sandershika Tamang, Arunima Sinha, Satya Priya Chakraborty, Christel Das, Burjor Patel",India,"May 16, 2019",2018,TV-14,96 min,"Dramas, Independent Movies, International Movies","In this quiet, wistful drama, a woman on her deathbed searches her fraying memories for love and fulfillment through surreal, meditative tableaux.",Movie
60021906,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,"Govinda, Mohnish Bahl, Sharad Kapoor, Satish Kaushik, Anupam Kher, Kiran Kumar, Rambha, Sushmita Sen",India,"May 16, 2019",2001,TV-PG,150 min,"Comedies, International Movies, Sci-Fi & Fantasy",The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.,Movie
70142827,Limitless,Neil Burger,"Bradley Cooper, Abbie Cornish, Robert De Niro, Andrew Howard, Anna Friel, Johnny Whitworth, Tomas Arana, Robert John Burke, Darren Goldstein, T.V. Carpio",United States,"May 16, 2019",2011,PG-13,105 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers","With his writing career dragging, Eddie Morra finds his life turning around after he takes a drug that provides astonishing mental focus.",Movie
70149579,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,"Anshuman Jha, Rajkummar Rao, Amit Sial, Arya Banerjee, Neha Chauhan, Atul Mongia, Shruti, Herry Tangdi",India,"May 16, 2019",2010,TV-MA,112 min,"Dramas, Independent Movies, International Movies",This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.,Movie
70109375,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,"Vivek Oberoi, Zayed Khan, Shriya Saran, Nikitin Dheer, Shabbir Ahluwalia, Sunil Shetty, Shweta Bhardwaj",India,"May 16, 2019",2008,TV-MA,119 min,"Action & Adventure, International Movies, Music & Musicals",A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.,Movie
70289558,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,"Akshay Kumar, Imran Khan, Sonakshi Sinha, Sonali Bendre, Sarfaraz Khan, Mahesh Manjrekar, Abhimanyu Singh, Kurush Deboo, Pitobash, Chetan Hansraj",India,"May 16, 2019",2013,TV-14,142 min,"Dramas, International Movies, Music & Musicals","This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control.",Movie
81085319,PATRICK (2019),Mandie Fletcher,"Beattie Edmondson, Ed Skrein, Tom Bennett, Jennifer Saunders",United Kingdom,"May 16, 2019",2019,TV-PG,94 min,Comedies,"When a schoolteacher inherits an adorable pug, she has to find a way to take care of it while dealing with her flatlining love life.",Movie
70117577,Take Me Home Tonight,Michael Dowse,"Topher Grace, Anna Faris, Dan Fogler, Teresa Palmer, Chris Pratt, Michael Biehn, Jeanie Hackett, Lucy Punch, Michelle Trachtenberg, Demetri Martin","United States, Germany","May 16, 2019",2011,R,97 min,"Comedies, Romantic Movies","Set in the financial boom of the late 1980s, this tale centers on a recent college grad trying to figure out what to do with his life.",Movie
81110388,7 Din Mohabbat In,"Meenu Gaur, Farjad Nabi","Mahira Khan, Sheheryar Munawar, Javed Sheikh, Hina Dilpazeer, Amna Ilyas, Mira Sethi, Rimal Ali, Salahuddin Tunio, Aamir Qureshi, Adnan Shah",Pakistan,"May 15, 2019",2018,TV-PG,137 min,"Comedies, International Movies, Music & Musicals","Given just seven days by a genie to find a girl who will fall for him, a nerdy young man embarks on a madcap and messy search for his would-be wife.",Movie
80220311,All the Devil's Men,Matthew Hope,"Milo Gibson, Sylvia Hoeks, Gbenga Akinnagbe, William Fichtner, Joseph Millson, Elliot Cowan, Perry Fitzpatrick, Warren Rusher",United Kingdom,"May 15, 2019",2018,R,100 min,Action & Adventure,A battle-scarred Special Ops military vet joins a CIA-funded assignment to take down a Russian terrorist and his trigger-happy comrades.,Movie
81110389,Cake,Asim Abbasi,"Aamina Sheikh, Sanam Saeed, Adnan Malik, Mohammad Ahmad, Beo Rana Zafar, Faris Khalid, Hira Hussain, Mikaal Zulfiqar","United Kingdom, Pakistan","May 15, 2019",2018,TV-14,125 min,"Comedies, Dramas, International Movies","When their aging father’s illness reunites two sisters under one roof, new tensions arise between them as old wounds and hidden secrets surface.",Movie
70245163,Call the Midwife,Philippa Lowthorpe,"Vanessa Redgrave, Bryony Hannah, Helen George, Jenny Agutter, Pam Ferris, Laura Main, Judy Parfitt, Cliff Parisi, Stephen McGann, Ben Caplan, Miranda Hart, Jessica Raine, Max Macmillan, Victoria Yeates, Jack Ashton, Emerald Fennell, Linda Bassett",United Kingdom,,2018,TV-14,8 Seasons,"British TV Shows, International TV Shows, TV Dramas",This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent.,TV Show
81112772,Dennis and Gnasher Unleashed,,"Freddie Fox, Kathryn Drysdale, Rasmus Hardiker, Joanna Ruiz, Ryan Sampson, Kelly Marie Stewart",United Kingdom,"May 15, 2019",2017,TV-Y7,1 Season,"British TV Shows, Kids' TV, TV Comedies","Fearless Dennis, his loyal dog Gnasher and best friends Rubi, JJ and Pieface quench their thirst for adventure by wreaking havoc all over Beanotown.",TV Show
70111279,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,"Sanjay Dutt, Arjun Rampal, Malaika Arora, Aashish Chaudhary, Neha Uberoi, Urmila Matondkar, Manoj Joshi, Daya Shanker Pandey, Pushkar Jog, Kulbhushan Kharbanda",India,"May 15, 2019",2008,TV-14,128 min,"Comedies, Dramas, International Movies",A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.,Movie
81123050,Hamid,Aijaz Khan,"Talha Arshad Reshi, Rasika Dugal, Vikas Kumar, Sumit Kaul, Bashir Lone, Gurveer Singh, Ashraf Nagoo, Mir Sarvar",India,"May 15, 2019",2018,TV-14,108 min,"Dramas, Independent Movies, International Movies","Wanting his missing father to come home, a Kashmiri boy repeatedly attempts to call God for help – until one day, a hardened army officer picks up.",Movie
81037237,"Heidi, bienvenida a casa",,"Chiara Francia, Mercedes Lambre, Victorio D'Alessandro, Mario Guerci, Florencia Benítez, Victoria Ramos",Argentina,"May 15, 2019",2017,TV-G,1 Season,"Kids' TV, Spanish-Language TV Shows","Inspired by the classic novel, this telenovela follows Heidi, who leaves her happy life in the mountains behind when her aunt takes her to the big city.",TV Show
81087124,I Hear You,,"Riley Wang, Zhao Lusi, Zhang Jiongmin, Gratitude Dai, Yuan Hao",,"May 15, 2019",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Love blooms between a bubbly, aspiring voice actress and a cool, enigmatic violin-maker after they cross paths on a reality TV show.",TV Show
70007056,Kucch To Hai,Anil V. Kumar,"Tusshar Kapoor, Esha Deol, Natasha, Jeetendra, Rishi Kapoor",India,"May 15, 2019",2003,TV-14,136 min,"Dramas, International Movies, Thrillers","A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge.",Movie
70035357,Kyaa Kool Hai Hum,Sangeeth Sivan,"Tusshar Kapoor, Riteish Deshmukh, Isha Koppikar, Neha Dhupia, Anupam Kher, Jay Sean",India,"May 15, 2019",2005,TV-14,165 min,"Comedies, International Movies, Music & Musicals","Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck.",Movie
80108481,Kyaa Kool Hain Hum 3,Umesh Ghadge,"Tusshar Kapoor, Aftab Shivdasani, Krishna Abhishek, Mandana Karimi, Shakti Kapoor, Darshan Jariwala, Sushmita Mukherjee, Meghna Naidu, Anand Kumar, Claudia Ciesla",India,"May 15, 2019",2016,R,124 min,"Comedies, International Movies","When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father.",Movie
70153178,Once Upon a Time in Mumbaai,Milan Luthria,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut, Prachi Desai, Randeep Hooda, Imran Hasnee, Dhiru Dwivedi",India,"May 15, 2019",2010,NR,133 min,"Dramas, International Movies, Music & Musicals","Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime.",Movie
