"quote","movie","type","year"
"It's not who I am underneath, but what I do that defines me","Batman Begins","movie","2005"
"Didn't I tell you about the football field in the bathroom cupboard?","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","movie","2005"
"Why do we fall sir? So that we can learn to pick ourselves up.","Batman Begins","movie","2005"
"What's comin' will come and we'll meet it when it does.","Harry Potter and the Goblet of Fire","movie","2005"
"Happiness is the most insidious prison of all, Evey.","V for Vendetta","movie","2005"
"All's fair in Love and Basketball baby","Love and Basketball","movie","2005"
"Be it a stone or a grain of sand, in water they both sink.","OldBoy","movie","2005"
"They don't know that we know they know we know.","Friends","tv","2005"
"That's what she said.","The Office","tv","2005"
"I'm sorry father, for you there is only death. But our destiny is life!","The Fountain","movie","2006"
"If you ain't first, you're last.","Taladega Nights","movie","2006"
"Walk that walk and go forward all the time. Don't just talk that talk, walk it and go forward. Also, the walk didn't have to be long strides; baby steps counted too. Go forward.","The Pursuit of Happyness","movie","2006"
"I can't really remember when I last had any hope, and I certainly can't remember when anyone else did either. Because really, since women stopped being able to have babies, what's left to hope for?","Children Of Men","movie","2006"
"Y'know that ringing in your ears? That 'eeeeeeeeee'? That's the sound of the ear cells dying, like their swan song. Once it's gone you'll never hear that frequency again. Enjoy it while it lasts.","Children Of Men","movie","2006"
"Life’s simple. You make choices and you don’t look back.","The Fast and The Furious: Tokyo Drift","movie","2006"
"I'm gonna say what any man with two penises would say when his tailor asks him if he dresses right or left... Yes.","Lucky Number Slevin","movie","2006"
"People can't do somethin' themselves, they wanna tell you you can't do it. If you want somethin', go get it. Period. ","The pursuit of Happyness","movie","2006"
"Speed. I am speed.","Cars","movie","2006"
"I'm just one stomach flu away from my goal weight.","Devil wears Prada","movie","2006"
"Float like a cadillac sting like a beemer.","Cars","movie","2006"
"The world is your oyester. It's up to you to find the pearls.","The Pursuit of Happyness","movie","2006"
"Florals? For Spring. Groundbreaking.","The Devil Wears Prada","movie","2006"
"Nobody is gonna hit as hard as life, but it ain’t how hard you can hit. It’s how hard you can get hit and keep moving forward. It’s how much you can take, and keep moving forward. That’s how winning is done.","Rocky Balboa","movie","2006"
"Very nice!","Borat","movie","2006"
"I have had it with these motherfuckin' snakes on this motherfuckin' plane!","Snakes on a Plane","movie","2006"
"Don’t ever let somebody tell you, you can’t do something. Not even me. Alright?","The Pursuit of Happyness","movie","2006"
"Death is the road to awe.","The Fountain","movie","2006"
"The past can't hurt you anymore, unless you let it.","V for Vendetta","movie","2006"
"This is Sparta!","300","movie","2006"
"That's the beauty of argument. When you argue correctly, you're never wrong.","Thank You for Smoking","movie","2006"
"Dear 8-pound, 6-ounce newborn infant Jesus...","Talledega Nights: The Ballad of Ricky Bobby","movie","2006"
"Are you watching closely?","The Prestige","movie","2006"
"Dreams remind us what reality is.","A Scanner Darkly","movie","2006"
"TIA This is Africa","Blood Diamond","movie","2006"
"When you're looking for a cancer kid, he should be hopeless. He should have a wheelchair, he should have trouble talking, he should have a little pet goldfish in a Zip-lock bag, hopeless.","Thank You for Smoking","movie","2006"
"You got a dream... You gotta protect it. People can't do somethin' themselves, they wanna tell you you can't do it. If you want somethin', go get it. Period.","The Pursuit of Happyness","movie","2006"
"Give Them Nothing... But take from Them Everything!","300","movie","2007"
"If we admit that human life can be ruled by reason, then all possibility of life is destroyed.","Into the Wild","movie","2007"
"The woods are lovely, dark and deep, and I have promises to keep and miles to go before I sleep. Did you hear me butterfly? Miles to go before you sleep.","Death Proof","movie","2007"
"I read somewhere... how important it is in life not necessarily to be strong... but to feel strong.","Into the Wild","movie","2007"
" Spider-Pig, Spider-Pig. Does whatever a Spider-Pig does. Can he swing from a web? No he can't, he's a pig. Look out! He is a Spider-Pig!","The Simpsons movie","movie","2007"
"When you want something in life, you just gotta reach out and grab it.","Into the Wild","movie","2007"
"...And I also know how important it is in life not necessarily to be strong but to feel strong. To measure yourself at least once. To find yourself at least once in the most ancient of human conditions. Facing the blind death stone alone, with nothing to help you but your hands and your own head","Into the Wild","movie","2007"
"Anyway, my mum always said things we lose have a way of coming back to us in the end, if not always in the way we expect.","Harry potter and the Order of the Phoenix","movie","2007"
"They all deserve to die. Even you, Mrs. Lovett. Even I. Because the lives of the wicked should be made brief. For the rest of us death would be relief.","Sweeney Todd: The Demon Barber of Fleet Street ","movie","2007"
"As long as the concept of winners exists, there must also be losers.","Naruto Shippuden","anime","2007"
"We’ve all got both light and darkness inside us. What matters is the part we choose to act on. That’s who we really are.","Harry Potter and the Order of the Phoenix","movie","2007"
"Not anyone can become a great artist, but a great artist can come from anywhere.","Ratatouille","movie","2007"
"Happiness is only real when shared","Into the Wild","movie","2007"
"Bazinga!","The Big Bang theory","tv","2007"
"What's the most you ever lost on a coin toss?","No Country for Old Men","movie","2007"
"There's no room for softness... not in Sparta. No place for weakness. Only the hard and strong may call themselves Spartans. Only the hard, only the strong.","300","movie","2007"
"I never realized how much I loved being home unless I'd been somewhere really different for awhile.","Juno","movie","2007"
"We've all got both light and darkness inside us. What matters is the part we choose to act on. That's who we really are.","Harry Potter and the Order of the Phoenix","movie","2007"
"These are desperate times, Mrs Lovett. And desperate measures are called for.","Sweeney Todd: The Demon Barber of Fleet Street","movie","2007"
"I'm already pregnant. So, what other shenanigans could I get myself into?","Juno","movie","2007"
"Music's the only thing that makes sense anymore, man. Play it loud enough, it keeps the demons at bay.","Across the Universe","movie","2007"
"Some people feel like they don't deserve love. They walk away quietly into empty spaces, trying to close the gaps of the past.","Into the Wild","movie","2007"
"But when you forgive, you love. And when you love, God's light shines through you.","Into the Wild","movie","2007"
"Sometimes, informations is more dangerous than weapons","Naruto Shippuden","movie","2007"
" It's not about what I want. It's about what's fair!","The Dark Knight","movie","2008"
" About three things I was absolutely certain. First, Edward was a vampire. Second, there was part of him-and I didn't know how potent that part might be- that thirsted for my blood. and third, I was unconditionally and irrevocably in love with him.","Twilight","movie","2008"
"Some men just want to watch the world burn. ","The Dark Knight","movie","2008"
"It is within my power to drastically change his cirumstances, but I don't want to give that man a gift he doesn't deserve.","Seven Pounds","movie","2008"
"I don't know what kind of gun this is. I only know the sound it makes when it kills a man.","Tropic Thunder","movie","2008"
"Sometimes the truth isn’t good enough, sometimes people deserve more. Sometimes people deserve to have their faith rewarded    ","The Dark Knight","movie","2008"
"It's not about money...it’s about sending a message. Everything burns!","The Dark Knight","movie","2008"
"If you let my daughter go now, that'll be the end of it. I will not look for you, I will not pursue you. But if you don't, I will look for you, I will find you, and I will kill you.","Taken","movie","2008"
"There is no secret ingredient. It’s just you.","Kung Fu Panda","movie","2008"
"Why so serious?","The Dark Knight","movie","2008"
"You either die a hero, or you live long enough to see yourself become the villain.","Batman: The Dark Knight","movie","2008"
"Give me a scotch!","Iron Man","movie","2008"
"I don't read the script. The script reads me.","Tropic Thunder","movie","2008"
"Me? I know who I am. I'm a dude playing a dude disguised as another dude.","Tropic Thunder","movie","2008"
"May the odds ever be in your favor.","The Hunger Games","movie","2008"
"Don't talk like you're one of them","The Dark knight","movie","2008"
"Our lives are defined by opportunities, even the ones we miss.","Benjamin Button","movie","2008"
"You see, in their last moments people show you who they really are.","The Dark Knight","movie","2008"
"If you’re good at something, never do it for free.","The Dark Knight","movie","2008"
"I'm not a big fat panda. I'm THE big fat panda.","Kung Fu Panda","movie","2008"
"You either die a hero or live long enough to see yourself become the villian.","The Dark Knight","movie","2008"
"Let's put a smile on that face!","The Dark Knight","movie","2008"
"I believe whatever doesn’t kill you, simply makes you stranger.","The Dark Knight","movie","2008"
"Is it better to be feared or respected? I say, is it too much to ask for both?","Ironman 1","movie","2008"
"Madness, as you know, is like gravity, all it takes is a little push.","The Dark Knight","movie","2008"
"I am not in danger, I am the danger","Breaking Bad","movie","2008"
"Some men just want to watch the world burn.","The Dark Knight","movie","2008"
"Does it depress you? To know just how alone you really are?","The Dark Knight","movie","2008"
"Fuck them kids","Soul Men","movie","2008"
"Do i look like a guy with plan?","the dark knight","movie","2008"
"It's not about what I want. It's about what's fair!","The Dark Knight","movie","2008"
"Nobody panics when things go “according to plan”. Even if the plan is horrifying!","The Dark Knight","movie","2008"
"Adventure is out there","Up","movie","2009"
"Nobody knows this mall better than I do.","Paul Blart: Mall Cop","movie","2009"
"If what I think is happening is happening, it better not be.","Fantastic Mr. Fox","movie","2009"
"I love you too, but I shouldn't have married you.","Fantastic Mr. Fox","movie","2009"
"I love rumors! Facts can be so misleading, but rumors, true or false, are often revealing","Inglorious Basterds","movie","2009"
"Just because she likes the same bizzaro crap you do doesn't mean she's your soul mate.","500 Days of Summer","movie","2009"
"Didn't I tell you not to come to my house? Nobody touches my child!","Obsessed","movie","2009"
"You've ever been to Del Frisco's? They cater, so for lunch I would love a twenty ounce porterhouse steak, medium maybe a little charred, with all the trimmings pommes frites, asparagus, and butter squash.","Law Abiding Citizen","movie","2009"
"We're all different... Him, especially. But there's something kind of fantastic about that, isn't there?","Fantastic Mr. Fox","movie","2009"
"It is impossible to manufacture or imitate love","Harry Potter and the Half-Blood Prince","movie","2009"
"Every path is the right path. Everything could've been anything else. And it would have just as much meaning.","Mr Nobody","movie","2009"
"Hell is a teenage girl.","Jennifer's Body","movie","2009"
"It was my bad. I was never a very good practical joker.","Zombieland","movie","2009"
"This weapon seems made to order for the Brothers Grimm downstairs.","Pulp Fiction","movie","2009"
"Am I being flirted with by a psychotic rat?","Fantastic Mr. Fox","movie","2009"
"Well, how carefully should I tread? Because apparently I just killed two people, and you were about to let me walk right out that door! How MISGUIDED are you? I feed you a couple of bullshit legal precedents, and there you go - you jump on it like a bitch in heat.","Law Abiding Citizen","movie","2009"
"Redemption? Sure. But in the end, he's just another dead rat in a garbage pail behind a Chinese restaurant.","Fantastic Mr. Fox","movie","2009"
"What happens in vegas stays in vegas","The Hangover","movie","2009"
"Whoops. Broke your 350 year old doorknob","The Social Network","movie","2010"
"Which would be worse, to live a monster or die as a good man?","Shutter Island","movie","2010"
"You cocky cock! You'll pay for your crimes against humanity!","Scott Pilgrim VS. The World","movie","2010"
"You want to know the difference between a master and a beginner? The master has failed more times that the beginner has ever tried.","Karate Kid","movie","2010"
"An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.","Inception","movie","2010"
"There's a benefit to losing: You get to learn from your mistakes.","Megamind","movie","2010"
"A million dollars isn't cool. You know what's cool?","The Social Network","movie","2010"
"It is a curious thing, Harry, but perhaps those who are best suited to power are those who have never sought it.","Harry Potter and the Deathly Hallows","movie","2010"
"Dreams feel real while we're in them. It's only when we wake up that we realize something was actually strange.","Inception","movie","2010"
"You have nothing to fear, if you have nothing to hide.","Harry Potter and the Deathly Hallows","movie","2010"
"Only he knew the price he paid, to become the greatest birder of all time.","The Big Year","movie","2011"
"Zaldrīzes buzdari iksos daor! (A dragon is not a slave!)","Game of Thrones","tv","2011"
"I'm so much better when you're around","One Day","movie","2011"
"The problem is, I pretty much fancy everyone. It's like I've just got out of prison all of the time.","One Day","movie","2011"
"When you play game of thrones, you win or you die, there is no middle ground!","Game of Thrones","tv","2011"
"A tortilla is either corn or wheat. But a corn tortilla folded and filled is a taco, whereas a filled wheat tortilla is a burrito. Deep fry a burrito, it's a chimichanga.Toast a tortilla, it's a tostada. Roll it, it's an enchilada.","One Day","movie","2011"
"No one should be immortal, if even one person has to die.","In Time","movie","2011"
"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?","Harry Potter and the Deathly Hallows","movie","2011"
"The winter is coming.","Game of Thrones","tv","2011"
"Winter is coming!","Game of Thrones","tv","2011"
"Chaos is a ladder!","Game of Thrones","tv","2011"
"A Lannister always pays his debts","Game of Thrones","movie","2011"
"You is kind. You is smart. You is important.","The Help","movie","2011"
"For a guy with a four digit IQ, I must have missed something.","Limitless","movie","2011"
"Go to work and have a fun.","The Raid Redemption","movie","2011"
"Hodor","Game of Thrones","movie","2011"
"Never Stop Looking for What's Not There.","The Magic of Belle Isle","movie","2012"
"Cause if we can't protect the Earth, you can be damn sure we'll avenge it.","The Avengers","movie","2012"
"You had my curiosity. But now you have my attention.","Django Unchained","movie","2012"
"Gentlemen, you had my curiosity, but now you have my attention.","Django Unchained","movie","2012"
"There are those who say fate is something beyond our command, that destiny is not our own. But I know better. Our fate lives within us. You only have to be brave enough to see it.","Brave","movie","2012"
"Above all, don't lose hope","Life of Pi","movie","2012"
"That’s my secret, Captain. I’m always angry.","The Avengers ","movie","2012"
"I'm a huge fan of the way you lose control and turn into an enormous green rage monster.","The Avengers","movie","2012"
"Better clench up, Legolas.","The Avengers","movie","2012"
"Bright day uh, Bright Boy?","Django Unchained","movie","2012"
"Where there's life there's hope.","The Hobbit","movie","2012"
"Ah you think darkness is your ally? You merely adopted the dark. I was born in it, molded by it. I didn't see the light until I was already a man, by then it was nothing to me but blinding","Dark Knight Rises","movie","2012"
"Following's not really my style.","Marvel's The Avengers","movie","2012"
"There was an idea to bring together a group of remarkable people, to see if we could become something more","The Avengers","movie","2012"
" That's what I do: I drink and I know things.","Game of Thrones","tv","2012"
"Genius, billionaire, playboy, philanthropist.","The Avengers","movie","2012"
"I love you, but you don't know what you're talking about.","Moonrise Kingdom","movie","2012"
"When you stop trying to force the solution, it'll happen on its own.","The Flash","tv","2012"
"The law says that you cannot touch. But I think I see a lot of lawbreakers up in this house tonight","Magic Mike","movie","2012"
"We accept the love we think we deserve","The Perks of Being a Wallflower.","movie","2012"
"All The people I've murdered by letting you live...","Batman: The Dark Knight Returns","movie","2013"
"Sometimes you gotta run before you can walk","Ironman 3","movie","2013"
"Look closer because the closer you think you are the less you actually see","Now You See Me","movie","2013"
"I have nothing to prove to you","Captain Marvel","movie","2013"
"Let us learn to show our friendship for a man when he is alive and not after he is dead.","The Great Gatsby","movie","2013"
"If wishes could be granted, if desires could be fulfilled, then I wouldn’t wish or desire for anything after all. The things you’re handed on a silver platter are never genuine, and never everlasting. And that is why I’ll always keep searching.","Oregairu","anime","2013"
"The people who are crazy enough to think that they can change the world, are the one's who do","Jobs","movie","2013"
"A wise man can learn more from his enemies than a fool from his friends.","Rush","movie","2013"
"There's no nobility in poverty.","The Wolf of Wall Street","movie","2013"
"You’ve changed, Bilbo Baggins. You’re not the same hobbit as the one who left the Shire.","The Hobbit: The Desolation of Smaug","movie","2013"
"I warned your grandfather of what his greed would summon, but he would not listen.","The Hobbit: The Desolation of Smaug","movie","2013"
"Let it go!","Frozen","movie","2013"
"Proximity to power deludes some into thinking they wield it.","House of Cards","tv","2013"
"Just remember: if you look in the face of evil, evil's gonna look right back at you.","American Horror Story","tv","2013"
"The only thing we're allowed to believe is that we won't regret the choice we made.","Attack on Titan","anime","2013"
"You have got to be willing to crash and burn. If you are afraid of failing, you wont get very far","Steve Jobs","movie","2013"
"It's the loneliest feeling not to know who you are","Alita: Battle Angel","movie","2013"
"I just try to live every day as if it was the final day of my extraordinary, ordinary life.","About Time","movie","2013"
"I don't want to survive. I want to live.","12 years a slave","movie","2013"
"Look At Me, I'm The Captain Now","Captian Phillips","movie","2013"
"You don't turn your back on family, Even when they do","The Fast and The Furious 8","movie","2013"
"Some people say it's more hygienic than a handshake. But who's to say you can't get shit on your fist?","Alan Partridge: Alpha Papa","movie","2013"
"I'm not sure, about anything.","What If","movie","2013"
"People don’t buy stock; it gets sold to them. Don’t ever forget that.","The Wolf of Wall Street","movie","2013"
"The heart is not like a box that gets filled up; it expands in size the more you love. I'm different from you. This doesn't make me love you any less. It actually makes me love you more.","Her","movie","2013"
"People who can’t throw something important away, can never hope to change anything.","Attack on Titan","anime","2013"
"Well, I don't want to survive. I want to live.","12 Years a Slave","movie","2013"
"We're all traveling through time, together, everyday of our lives... All we can do is do our best to relish this remarkable life.","About Time","movie","2013"
"Rather than a person who hurts others, become the person getting hurt","Tokyo Ghoul","anime","2014"
"It's not magic, it's talent and sweat.","Silicon Valley HBO","movie","2014"
"The truth is a matter of circumstances, it’s not all things to all people all the time.","Captain America: The Winter Soldier","movie","2014"
"Don't wait for things to get easier, simpler, better. Life will always be complicated. Learn to be happy right now. Otherwise, you'll run out of time.","The Intouchables","movie","2014"
"Even a broken clock is right twice a day.","The Imitation Game","movie","2014"
"Not quite my tempo.","Whiplash","movie","2014"
"Popularity is the slutty little cousin of prestige.","Birdman","movie","2014"
"Look, you're beautiful and you're talented. And I'm lucky to have you.","Birdman","movie","2014"
"One day it’ll grow, and every time I look at it, I’ll remember. Remember everything that happened: the good, the bad and how lucky I am that I made it home.","The Hobbit: The Battle of Five Armies","movie","2014"
"That’s what you always do, you confuse love for admiration.","Birdman","movie","2014"
"If more people valued home above gold, this world would be a merrier place.","The Hobbit: The Battle of Five Armies","movie","2014"
"Only a fool argues for the pride of a dead man.","The Raid 2: Berandal","movie","2014"
"They never see you coming, do they Bob?","The Drop","movie","2014"
"Sometimes it is the people who no one imagines anything of who do the things that no one can imagine.","The Imitation Game","movie","2014"
"I am Groot.","Guardians of the Galaxy","movie","2014"
"The only thing standing between you and your goal is the bullshit story you keep telling yourself as to why you can/'t achieve it.","Wolf of the Wall Street","movie","2014"
"So many times in my life I screwed up: I've talked when I should've listened, I've been harsh when I should've been tender.","Ad Astra","movie","2014"
"Dragon sickness. I’ve seen it before. That look, the terrible need. It is a fierce and jealous love, Bilbo. It sent his grandfather mad.","The Hobbit: The Battle of Five Armies","movie","2014"
"People keep asking if I'm back and I haven't really had an answer, but yeah, I'm thinking I'm back.","John Wick","movie","2014"
"Do not go gentle into that good night. Rage, rage against the dying of the light.","Interstellar","movie","2014"
"There are no two words in the English language more harmful than good job.","Whiplash","movie","2014"
"You don't get to choose if you get hurt in this world,but you do have a say in who hearts you","Fault in our stars","movie","2014"
"We used to look up at the sky and wonder at our place in the stars, now we just look down and worry about our place in the dirt.","Interstellar","movie","2014"
"The price of freedom is high, and it's the price I am willing to pay","Captain America: The Winter Soldier","movie","2014"
"I'm not going to launch those ships. Captain's orders.","Captain America: The Winter Soldier","movie","2014"
"Ideals are peaceful; history is violent.","Fury","war","2014"
"Dress like a kingsman.","KINGSMAN: The Secret Service","movie","2014"
"Nobody exists on purpose, nobody belongs anywhere, everybody's gonna die. Come watch TV?","Rick and Morty","tv","2014"
"Wubba lubba dub dub!","Rick and Morty","tv","2014"
"Having a family doesn’t mean that you stop being an individual. You know the best thing you can do for the people that depend on you? Be honest with them, even if it means setting them free.","Rick and Morty","tv","2014"
"There are no two words in the English language more harmful than good job","Whiplash","movie","2014"
"Machines can never think as humans do but just because something thinks differently from you, does it mean it's not thinking?","The Imitation Game","movie","2014"
"Pain demands to be felt","Fault in our stars","movie","2014"
"I know it's not ordinary. But who ever loved ordinary?","The Imitation Game","movie","2014"
"Were you rushing or were you dragging?","Whiplash","movie","2014"
"No system is safe.","Who Am I","movie","2014"
"Everyone’s a whore, Grace. We just sell different parts of ourselves.","Peaky Blinders","tv","2014"
"We are all different. However bad life may seem, there is always something you can do, and succeed at. While there's life, there is hope.","The Theory of Everything","movie","2014"
"Come find me when you wake up!","Edge Of Tomorrow","movie","2014"
"You never would have come here unless you believed you were going to save them. Evolution has yet to transcend that simple barrier. We can care deeply - selflessly - about those we know, but that empathy rarely extends beyond our line of sight.","Interstellar","movie","2014"
"This world’s a treasure, but it’s been telling us to leave for a while now.","Interstellar","movie","2014"
"A machine doesn't improvise well because you cannot program a fear of death. Our survival instinct is our greatest source of inspiration.","Interstellar","movie","2014"
"Not my tempo.","Whiplash","movie","2014"
"Mankind was born on Earth. It was never meant to die here.","Interstellar","movie","2014"
"Hardest time to lie to somebody is when they're expecting to be lied to.","The Imitation Game","movie","2014"
"Some infinities are bigger than other infinities.","The Fault in our stars","movie","2014"
"If an angelic being fell from the sky and tried to live in this world of ours I think even they would commit many wrongs.","Tokyo Ghoul","anime","2014"
"I'm on a roller-coaster that only goes up, my friend.","The Fault in Our Stars","movie","2014"
"It's not because we can't take vengeance that we should feel sorry. The real reason to feel sorry... is when one is hung up on revenge and can't live their own life.","Tokyo Ghoul","anime","2014"
"Sometimes it's people closest to us who lie to us best","Arrow","tv","2015"
"You become responsible, forever, for everything you tamed.","The Little Prince","movie","2015"
"Mark Watney, Space Pirate.","The Martian","movie","2015"
"How do you know the angel and the devil inside me aren’t the same thing?","Daredevil","tv","2015"
"I am the scales of justice, conductor of the choir of death!","Mad Max","movie","2015"
"Oh what a day. What a lovely day!","Mad Max","movie","2015"
"Witness me!","Mad Max","movie","2015"
"I'm going to have to science the s*** out of this.","The Martian","movie","2015"
"Just because someone stumbles and loses their path, doesn’t mean they’re lost forever.","X-Men: Days of Future Past","movie","2015"
"Manners maketh man","KINGSMAN: The Secret Service","movie","2015"
"Haven't you ever wanted something so ba that it becomes more than a want?","Rebel of the Sands","movie","2015"
"When I get back home, I want all the praise to go towards me.","The Martian","movie","2015"
"What a treacherous thing to believe that a person is more than a person?","Paper Towns","movie","2015"
"Examined from another angle, your faults and weaknesses can be weapons","Assassination classroom","anime","2015"
"People keeps secret computers don't","Arrow","tv","2015"
"That's not how the force works!","Star Wars: Episode VII - The Force Awakens","movie","2015"
"But if you tame me, then we shall need each other, to me you shall be unique in all the world, to you i shall be unique.","The Little Prince","movie","2015"
"Chewie, we're home.","The Force Awakens","movie","2015"
"My tastes are very singular.","Fifty Shades of Grey ","movie","2015"
"It is only with the heart that one can see rightly; what is essential is invisible to the eye","The Little Prince","movie","2015"
"Like the oldman said, together","Avengers - Age of Ultron","movie","2015"
"Power belongs to those who take it.","Mr. Robot","tv","2015"
"That light saber was luke's, and his father's before him, and now it calls to you!","Star Wars: The Force Awakens","movie","2015"
"I don't have friends. I got family.","Furious 7","movie","2015"
"A bit of madness is key","La La Land","movie","2016"
"Secrecy is security and security is victory.","Snowden","movie","2016"
"Once in a while when I wake up. I find myself crying.","Kimi No Nawa","movie","2016"
"When life gets you down, you know what you gotta do? Just keep swimming.","Finding Dory","movie","2016"
"Bombs won't stop terrorism, brains will, and we don't have nearly enough of those.","Snowden","movie","2016"
"Marriage is buying a house for someone you hate","The Nice Guys","movie","2016"
"At some point, you gotta decide for yourself who you gonna be. Can't let nobody make that decision for you.","Moonlight","movie","2016"
"Life’s a little bit messy. We all make mistakes. No matter what type of animal you are, change starts with you.","Zootopia","movie","2016"
"For Azeroth, for the Alliance!","Warcraft","movie","2016"
"When you love someone, you work it out. You don't just throw it away. You have to be careful with it, you might never get it again.","Nocturnal Animals","movie","2016"
"You're right, Aurora. But the drowning man will always try and drag somebody down with him. It ain't right, but the man's drowning.","Passengers","movie","2016"
"Tell me... do you bleed? You will!","BATMAN V SUPERMAN: DAWN OF JUSTICE","movie","2016"
"You can’t buy love, but you can rent it for three minutes!","Deadpool","movie","2016"
"Life’s a little bit messy. We all make mistakes. No matter what type of animal you are, change starts with you.","Zootopia","Anime","2016"
"I can do this all day!","Captain America: Civil War","movie","2016"
"My dad used to say, 'If you live an ordinary life, all you'll have are ordinary stories. You have to live a life of adventure.'","Passengers","movie","2016"
"Start With Where You're From","Lion","movie","2016"
"PWinston... tell them... Tell them all... Whoever comes, whoever it is... I'll kill them. I'll kill them all.","John Wick 2","movie","2017"
"Do you know what a Cinnabon is? It's bread! And frosting! And cinnamon! They heat it up! Really hot!","Bee Movie","movie","2017"
"Life is a big trap, made up of little traps... If you listen hard... sometimes you could hear them snap shut.","Sense8","tv","2017"
"Don't do anything I would do, and definitely don't do anything I wouldn't do...","Spider-Man: Homecoming","movie","2017"
"There’s no hiding from this, son.","Dunkirk","movie","2017"
"When all seems lost, a few brave souls can save everything we've ever known.","Transformers : The Light Night","movie","2017"
"I promise you ... No matter where we will be in this world ... I promise we will meet again.","Your Name","movie","2017"
"Unfortunately, we’re all human. Except me, of course.","Mr.Robot","tv","2017"
"Break hearts, not promises.","Turtles All the Way Down","movie","2017"
"Every time we get a chance to get ahead they move the finish line, every time.","Hidden Figures","movie","2017"
"When we lose our principles, we invite chaos.","Mr. Robot","tv","2017"
"People walk around, act like they know what hate means. Nah, no one does, until you hate yourself. I mean truly hate yourself. That’s power.","Mr. Robot","tv","2017"
"We Shall Never Surrender.","Dunkirk","movie","2017"
"I have burrowed underneath your brain. I am nested there. I am the scream in your mind. You will cooperate.","Mr. Robot","tv","2017"
"Treasure the experience. Dreams fade away after you wake up","Your Name","movie","2017"
"Leave One Wolf Alive and the Sheep are Never Safe","Game of Thrones Season 7","movie","2017"
"Love's the most powerful emotion and that makes it the most dangerous","Arrow","tv","2017"
"You’re so dark! Are you sure you’re not from the DC universe? I love dubstep!","Deadpool 2","movie","2018"
"If you want to change things in a big way, then you gotta make some big changes.","Creed 2","movie","2018"
"Just because something works doesn’t mean it can’t be improved.","Black Panther","movie","2018"
"There is no such thing as magic, just illusion. Things only change when we change them. But you have to do it skillfully, in secret. Then it seems like magic.","Dark","tv","2018"
"The darkest nights produce the brightest stars.","Bumblebee","movie","2018"
"That’s one small step for man, one giant leap for mankind.","First Man","movie","2018"
"Is this your king?","Black Panther","movie","2018"
"That person who helps others simply because it should or must be done, and because it is the right thing to do, is indeed without a doubt, a real superhero.","Spider-Man: Into the Spider-Verse","movie","2018"
"If we didn’t do what we loved, we wouldn’t exist.","Adonis, Creed II","movie","2018"
"Sometimes we think we have to do it all on our own. But we don’t.","Creed 2","movie","2018"
"I just wanted to take another look at you.","A Star Is Born","movie","2018"
"The hardest choices require the strongest wills","Avengers: Infinity War","movie","2018"
"What’s done is done, when we say it’s done.","Mission Impossible: fallout","movie","2018"
"Change is like death. You don’t know what it looks like until you’re standing at the gates.","Jurassic World: Fallen Kingdom","movie","2018"
"Being a hero doesn't mean you are invincible. It just means you're brave enough to stand up, and do what's needed.","Two Heroes","movie","2018"
"Sometimes, when you're feeling helpless, the secret is to help someone else. Get out of your own head. Trust me. The next time someone asks for help, say yes.","The Good Place","tv","2018"
"Yeah. Well, you’re right. I thought it was more important to be somebody out there than the damn failure I was here at my own home. Anyway, for what it’s worth, I’m here now.","The Mule","movie","2018"
"Whatever it takes!","Avengers : Infinity War","movie","2018"
"That does put a smile on my face.","Avengers: Infinity War","movie","2018"
"For I am a Sinner in the hands of an angry God, Bloody Mary, Full of Vodka, Blessed are you among cocktails, pray for me now, at the hour of my death, which I hope is soon. Amen","Archer","tv","2018"
"Being genius is not enough, it takes courage to change people's hearts.","Green Book","movie","2018"
"Elsa, the past is not what it seems. You must find the truth.","Frozen II","movie","2019"
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","Maleficent:The Mistress of Evil","movie","2019"
"I can do this all day","Avengers: Endgame","movie","2019"
"I love you 3000.","Avengers: Endgame","movie","2019"
"I laugh in the face of danger","The Lion King","movie","2019"
"Being brave doesn’t mean you go looking for trouble.","The Lion King","movie","2019"
"Lord knows, I’ve held onto way too much hate in my life. But all we have is now. All we have is now.","Waves","movie","2019"
"All I have are negative thoughts.","Joker","movie","2019"
"Nothing is funnier than unhappiness.","Avengers: Endgame","movie","2019"
"Is it just me, or is it getting crazier out there?","Joker","movie","2019"
" If you want to get crazy. We can get crazy.","Us","movie","2019"
"A new chapter of my life has begun. Already, I can feel the weight of this crown I wear.","The King","movie","2019"
"You all love twisting the knife into one another.","Knives Out","movie","2019"
"Things are very uncomfortable between us, but we’re stuck in a house together.","The Lodge","movie","2019"
"Pearl Harbor is the greatest intelligence failure in American history.","Midway","movie","2019"
"There’s nothing you can’t do if you try.","Dr Stone","anime","2019"
"I just want to escape. Dad always wanted me to travel the world. Someday.","Abominable","movie","2019"
"They have all the money, all the firepower, and they’ll use it. I know, I was one of them.","Dark Waters","movie","2019"
"I think the best thing we can do is to let people know that each one of them is precious.","A Beautiful Day in the Neighbourhood","movie","2019"
"Well, I’ve got no leashes, or fences. With me, every day could be an adventure.","The Lady and the Tramp","movie","2019"
