Country,ISO3,Rank,Total Population,Manpower Available,Fit-for-Service,Reaching Military Age,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Fighter Aircraft,Attack Aircraft,Transport Aircraft,Trainer Aircraft,Total Helicopter Strength,Attack Helicopters,Combat Tanks,Armored Fighting Vehicles,Self-Propelled Artillery,Towed Artillery,Rocket Projectors,Total Naval Assets,Aircraft Carriers,Frigates,Destroyers,Corvettes,Submarines,Patrol Craft,Mine Warfare Vessels,Production (bbl/dy),Consumption (bbl/dy),Proven Reserves (bbl),Labor Force,Merchant Marine Strength,Major Ports / Terminals,Roadway Coverage (km),Railway Coverage (km),Serivecable Airports,Defense Budget,External Debt,Foreign Exchange / Gold,Purchasing Power Parity,Square Land Area (km),Coastline (km),Shared Borders (km),Waterways (km)
Latvia,LAT,103,1965686,850000,850000,20500,17155,9155,8000,4,0,0,4,0,4,0,0,250,0,20,0,18,0,0,0,0,0,11,6,50,33670,0,968700,11,2,72440,2239,42,280,40020,7507,50870,64589,498,1370,300
Uruguay,URU,104,3351016,1555000,1305000,54500,25900,25000,900,50,0,13,17,11,10,0,79,434,6,64,0,20,0,2,0,0,0,3,3,100,49200,0,1736000,16,1,77732,1641,133,490,21300,14850,73930,176215,660,1591,1600
Paraguay,PAR,105,6862812,3360000,2845000,146000,183200,10700,172500,31,0,0,38,15,10,0,9,63,0,50,0,40,0,0,0,0,0,24,0,0,27200,0,3291000,19,4,29500,36,799,145,15420,6059,64120,406752,Landlocked,4655,3100
Honduras,HON,106,8893259,4100000,3066000,190000,76000,12000,64000,35,3,12,17,4,9,0,19,122,0,56,0,59,0,0,0,0,0,20,0,100,58200,0,3625000,88,4,14742,44,103,205,8042,3846,43190,112090,832,1575,465
Botswana,BOT,107,2209208,948157,565101,22208,9000,9000,0,43,10,10,9,8,16,0,0,30,0,20,0,0,0,0,0,0,0,0,0,0,18000,0,1177000,0,0,17916,0,74,470,2386,7682,35900,581730,Landlocked,4347,Minimum not met.
Kyrgyzstan,KYR,108,5727553,3000000,2377000,111000,23700,13700,10000,6,0,0,4,0,6,2,150,438,30,159,21,0,0,0,0,0,0,0,0,1000,35100,40000000,2778000,0,1,34000,470,28,240,7728,1838,21010,199951,Landlocked,4573,600
Mozambique,MOZ,109,25930150,4600000,5620000,555000,11200,11200,0,15,8,8,3,1,5,2,96,335,0,100,12,8,0,0,0,0,0,6,0,0,24000,0,13310000,2,3,30331,4787,98,86,9554,1541,35310,799380,2470,4783,460
Estonia,EST,110,1258545,600000,465000,13000,35000,5000,30000,6,0,0,0,6,4,0,0,318,0,66,0,6,0,0,0,0,0,0,3,100,29500,0,651200,25,6,58412,1196,18,335,19050,475,38700,45228,3794,657,335
Cameroon,CAM,111,24360803,9300000,5515000,430000,25000,15000,10000,34,0,0,17,12,16,0,0,100,0,0,0,64,0,0,0,0,0,9,0,80830,30000,200000000,9612000,0,3,51350,1245,33,370,7375,2416,77240,475440,400,5018,Minimum not met.
Tajikistan,TAJ,112,8330946,4035000,3200000,152000,14900,7400,7500,25,0,0,15,4,20,6,37,46,0,10,3,0,0,0,0,0,0,0,0,200,15300,12000000,2209000,0,0,27767,680,24,75,3976,416,25810,143100,Landlocked,4130,200
Slovenia,SLV,113,1978029,942000,775000,20000,15500,7500,8000,28,0,2,16,13,16,0,84,247,0,54,0,2,0,0,0,0,0,2,0,0,50500,0,918700,24,1,38985,1228,16,790,51650,851,66130,20273,47,1211,Minimum not met.
Niger,NGR,114,18638600,6600000,4415000,370000,11000,5500,5500,17,0,2,10,0,7,1,0,157,0,0,0,0,0,0,0,0,0,0,0,20000,57700,150000000,6500000,0,0,18949,0,30,85,2729,903,20270,1267000,Landlocked,5834,300
Nicaragua,NIC,115,5966798,3005000,2565000,140000,13000,13000,0,19,0,0,20,1,16,0,84,253,0,272,163,30,0,0,0,0,0,18,0,0,34070,0,3013000,0,2,22111,0,147,44,11100,2442,33490,130370,910,1253,2220
Ivory Coast,IVC,116,23740424,10300000,6556000,490000,17450,17450,0,5,0,0,5,1,4,0,5,85,0,36,0,10,0,0,0,0,0,5,0,36000,22760,100000000,8543000,0,3,81996,660,27,440,15840,4952,87120,322463,515,3458,980
Mali,MAL,117,17467108,6000000,3795000,320000,15500,7500,8000,14,9,9,3,1,3,3,24,135,0,10,0,0,0,0,0,0,0,0,0,0,5440,0,6283000,0,1,22474,593,25,76,3626,3074,38090,1240192,Landlocked,7908,0
Republic of the Congo,ROC,118,4852412,1900000,1150000,100000,12000,10000,2000,15,4,4,3,1,10,3,48,100,0,0,6,6,0,0,0,0,0,1,0,250000,180000,1600000000,1807000,1,6,17289,886,27,135,4817,1989,30270,342000,169,5008,1120
Madagascar,MAD,119,24430325,9900000,7075000,500000,21600,13500,8100,20,0,0,6,2,4,0,12,103,0,17,0,8,0,0,0,0,0,7,0,0,20150,0,12980000,1,4,34476,854,83,56,4007,780,37490,587040,4828,0,600
Gabon,GAB,120,1738541,705000,400000,36000,4850,4850,0,33,6,9,18,6,16,0,0,250,0,30,0,10,0,0,0,0,0,3,0,240000,20000,2000000000,674700,2,5,9170,649,44,81,5158,1585,36220,267667,885,3261,1600
Bosnia and Herzegovina,BOS,121,3861912,2400000,2000000,52000,12750,12750,0,20,0,0,11,0,20,0,149,100,15,40,110,0,0,0,0,0,0,0,0,0,36000,0,1480000,0,5,22926,601,24,250,9768,4800,42530,51197,20,1543,Minimum not met.
Macedonia,MAC,122,2100025,1046540,871803,31064,24055,8055,16000,16,0,0,8,4,16,4,31,330,0,144,24,0,0,0,0,0,0,0,0,0,20000,0,957400,0,0,14182,700,10,108,7680,2576,30130,25713,Landlocked,838,280
Dominican Republic,DOM,123,10606865,3535621,1767810,105855,65925,50925,15000,58,0,8,4,6,26,0,6,20,0,20,0,33,0,0,0,0,0,24,0,0,115000,0,5133000,0,5,19705,496,36,110,26050,6924,161900,48320,1288,376,350
Laos,LAO,124,7019073,3200000,2302000,145000,130000,30000,100000,25,0,0,17,0,22,0,55,185,0,149,0,36,0,0,0,0,0,61,0,0,3520,0,3500000,0,0,39568,0,41,18,11980,1024,40960,236800,Landlocked,5274,4600
El Salvador,ESL,125,6156670,3100000,2455000,141000,47000,20000,27000,52,0,15,26,3,30,0,0,123,0,70,0,4,0,0,0,0,0,3,0,0,46210,0,2788000,0,2,6918,283,68,165,14900,3201,54790,21041,307,590,Minimum not met.
Panama,PAN,126,3705246,900000,1500000,64000,34000,12000,22000,25,0,0,19,4,15,0,0,65,0,0,0,20,0,0,0,0,0,8,0,0,101400,0,1611000,6413,3,11978,76,117,145,22900,3878,93120,75420,2490,687,800
Namibia,NAM,127,2436469,570000,665000,53000,15500,9500,6000,31,6,6,10,14,8,2,10,113,0,30,4,8,0,0,0,0,0,6,0,0,26800,0,1210000,1,2,44138,2626,112,120,6515,1762,27040,824292,1572,4220,Minimum not met.
Somalia,SOM,128,10817354,2700000,2700000,203000,15900,15900,0,25,0,0,0,0,0,0,140,430,0,230,0,3,0,0,0,0,0,11,0,0,5650,0,3109000,1,2,22100,0,61,58,3054,30,4431,637657,3025,2385,Minimum not met.
Central African Republic,CAR,129,5507257,2300000,1320000,110000,5825,5825,0,4,0,0,4,0,2,0,4,51,0,24,0,0,0,0,0,0,0,0,0,0,120000,0,2421000,0,2,20278,0,39,18,686,4128,3206,622984,Landlocked,5920,2800
Mauritania,MAU,130,3677293,1523335,1061515,72942,20870,15870,5000,26,0,2,4,9,4,0,35,70,0,194,0,5,0,0,0,0,0,5,0,4000,13000,20000000,1356000,0,2,10628,728,30,39,3585000,1186,16710,1030700,754,5002,Minimum not met.
Sierra Leone,SIE,131,6018888,1402400,835830,32848,10750,10750,0,5,0,0,2,0,5,0,2,10,0,0,0,10,0,0,0,0,0,10,0,0,4400,0,2678000,215,3,11300,0,8,13,1561,2332,10640,71740,402,1093,800
Suriname,SUR,132,585824,131700,77100,3030,2270,2170,100,3,0,0,0,0,3,0,0,40,0,0,0,3,0,0,0,0,0,3,0,17000,17000,88970000,154100,0,2,4304,0,55,67,1439,393,8547,163820,386,1907,1200
Bhutan,BUT,133,750125,175000,104300,4100,7500,7500,0,4,0,0,2,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,353000,0,0,10578,0,2,10,2261,15,6432,38394,Landlocked,1136,Minimum not met.
