id,english,japanese,chinese,french
526,Gigalith,ギガイアス,庞岩怪,Gigalithe
527,Woobat,コロモリ,滚滚蝙蝠,Chovsourir
528,Swoobat,ココロモリ,心蝙蝠,Rhinolove
529,Drilbur,モグリュー,螺钉地鼠,Rototaupe
530,Excadrill,ドリュウズ,龙头地鼠,Minotaupe
531,Audino,タブンネ,差不多娃娃,Nanméouïe
532,Timburr,ドッコラー,搬运小匠,Charpenti
533,Gurdurr,ドテッコツ,铁骨土人,Ouvrifier
534,Conkeldurr,ローブシン,修建老匠,Bétochef
535,Tympole,オタマロ,圆蝌蚪,Tritonde
536,Palpitoad,ガマガル,蓝蟾蜍,Batracné
537,Seismitoad,ガマゲロゲ,蟾蜍王,Crapustule
538,Throh,ナゲキ,投摔鬼,Judokrak
539,Sawk,ダゲキ,打击鬼,Karaclée
540,Sewaddle,クルミル,虫宝包,Larveyette
541,Swadloon,クルマユ,宝包茧,Couverdure
542,Leavanny,ハハコモリ,保姆虫,Manternel
543,Venipede,フシデ,百足蜈蚣,Venipatte
544,Whirlipede,ホイーガ,车轮球,Scobolide
545,Scolipede,ペンドラー,蜈蚣王,Brutapode
546,Cottonee,モンメン,木棉球,Doudouvet
547,Whimsicott,エルフーン,风妖精,Farfaduvet
548,Petilil,チュリネ,百合根娃娃,Chlorobule
549,Lilligant,ドレディア,裙儿小姐,Fragilady
550,Basculin,バスラオ,野蛮鲈鱼,Bargantua
551,Sandile,メグロコ,黑眼鳄,Mascaïman
552,Krokorok,ワルビル,混混鳄,Escroco
553,Krookodile,ワルビアル,流氓鳄,Crocorible
554,Darumaka,ダルマッカ,火红不倒翁,Darumarond
555,Darmanitan,ヒヒダルマ,达摩狒狒,Darumacho
556,Maractus,マラカッチ,沙铃仙人掌,Maracachi
557,Dwebble,イシズマイ,石居蟹,Crabicoque
558,Crustle,イワパレス,岩殿居蟹,Crabaraque
559,Scraggy,ズルッグ,滑滑小子,Baggiguane
560,Scrafty,ズルズキン,头巾混混,Baggaïd
561,Sigilyph,シンボラー,象征鸟,Cryptéro
562,Yamask,デスマス,哭哭面具,Tutafeh
563,Cofagrigus,デスカーン,死神棺,Tutankafer
564,Tirtouga,プロトーガ,原盖海龟,Carapagos
565,Carracosta,アバゴーラ,肋骨海龟,Mégapagos
566,Archen,アーケン,始祖小鸟,Arkéapti
567,Archeops,アーケオス,始祖大鸟,Aéroptéryx
568,Trubbish,ヤブクロン,破破袋,Miamiasme
569,Garbodor,ダストダス,灰尘山,Miasmax
570,Zorua,ゾロア,索罗亚,Zorua
571,Zoroark,ゾロアーク,索罗亚克,Zoroark
572,Minccino,チラーミィ,泡沫栗鼠,Chinchidou
573,Cinccino,チラチーノ,奇诺栗鼠,Pashmilla
574,Gothita,ゴチム,哥德宝宝,Scrutella
575,Gothorita,ゴチミル,哥德小童,Mesmérella
576,Gothitelle,ゴチルゼル,哥德小姐,Sidérella
577,Solosis,ユニラン,单卵细胞球,Nucléos
578,Duosion,ダブラン,双卵细胞球,Méios
579,Reuniclus,ランクルス,人造细胞卵,Symbios
580,Ducklett,コアルヒー,鸭宝宝,Couaneton
581,Swanna,スワンナ,舞天鹅,Lakmécygne
582,Vanillite,バニプッチ,迷你冰,Sorbébé
583,Vanillish,バニリッチ,多多冰,Sorboul
584,Vanilluxe,バイバニラ,双倍多多冰,Sorbouboul
585,Deerling,シキジカ,四季鹿,Vivaldaim
586,Sawsbuck,メブキジカ,萌芽鹿,Haydaim
587,Emolga,エモンガ,电飞鼠,Emolga
588,Karrablast,カブルモ,盖盖虫,Carabing
589,Escavalier,シュバルゴ,骑士蜗牛,Lançargot
590,Foongus,タマゲタケ,哎呀球菇,Trompignon
591,Amoonguss,モロバレル,败露球菇,Gaulet
592,Frillish,プルリル,轻飘飘,Viskuse
593,Jellicent,ブルンゲル,胖嘟嘟,Moyade
594,Alomomola,ママンボウ,保姆曼波,Mamanbo
595,Joltik,バチュル,电电虫,Statitik
596,Galvantula,デンチュラ,电蜘蛛,Mygavolt
597,Ferroseed,テッシード,种子铁球,Grindur
598,Ferrothorn,ナットレイ,坚果哑铃,Noacier
599,Klink,ギアル,齿轮儿,Tic
600,Klang,ギギアル,齿轮组,Clic
601,Klinklang,ギギギアル,齿轮怪,Cliticlic
602,Tynamo,シビシラス,麻麻小鱼,Anchwatt
603,Eelektrik,シビビール,麻麻鳗,Lampéroie
604,Eelektross,シビルドン,麻麻鳗鱼王,Ohmassacre
605,Elgyem,リグレー,小灰怪,Lewsor
606,Beheeyem,オーベム,大宇怪,Neitram
607,Litwick,ヒトモシ,烛光灵,Funécire
608,Lampent,ランプラー,灯火幽灵,Mélancolux
609,Chandelure,シャンデラ,水晶灯火灵,Lugulabre
610,Axew,キバゴ,牙牙,Coupenotte
611,Fraxure,オノンド,斧牙龙,Incisache
612,Haxorus,オノノクス,双斧战龙,Tranchodon
613,Cubchoo,クマシュン,喷嚏熊,Polarhume
614,Beartic,ツンベアー,冻原熊,Polagriffe
615,Cryogonal,フリージオ,几何雪花,Hexagel
616,Shelmet,チョボマキ,小嘴蜗,Escargaume
617,Accelgor,アギルダー,敏捷虫,Limaspeed
618,Stunfisk,マッギョ,泥巴鱼,Limonde
619,Mienfoo,コジョフー,功夫鼬,Kungfouine
620,Mienshao,コジョンド,师父鼬,Shaofouine
621,Druddigon,クリムガン,赤面龙,Drakkarmin
622,Golett,ゴビット,泥偶小人,Gringolem
623,Golurk,ゴルーグ,泥偶巨人,Golemastoc
624,Pawniard,コマタナ,驹刀小兵,Scalpion
625,Bisharp,キリキザン,劈斩司令,Scalproie
626,Bouffalant,バッフロン,爆炸头水牛,Frison
627,Rufflet,ワシボン,毛头小鹰,Furaiglon
628,Braviary,ウォーグル,勇士雄鹰,Gueriaigle
629,Vullaby,バルチャイ,秃鹰丫头,Vostourno
630,Mandibuzz,バルジーナ,秃鹰娜,Vaututrice
631,Heatmor,クイタラン,熔蚁兽,Aflamanoir
632,Durant,アイアント,铁蚁,Fermite
633,Deino,モノズ,单首龙,Solochi
634,Zweilous,ジヘッド,双首暴龙,Diamat
635,Hydreigon,サザンドラ,三首恶龙,Trioxhydre
636,Larvesta,メラルバ,燃烧虫,Pyronille
637,Volcarona,ウルガモス,火神蛾,Pyrax
638,Cobalion,コバルオン,勾帕路翁,Cobaltium
639,Terrakion,テラキオン,代拉基翁,Terrakium
640,Virizion,ビリジオン,毕力吉翁,Viridium
641,Tornadus,トルネロス,龙卷云,Boréas
642,Thundurus,ボルトロス,雷电云,Fulguris
643,Reshiram,レシラム,莱希拉姆,Reshiram
644,Zekrom,ゼクロム,捷克罗姆,Zekrom
645,Landorus,ランドロス,土地云,Démétéros
646,Kyurem,キュレム,酋雷姆,Kyurem
647,Keldeo,ケルディオ,凯路迪欧,Keldeo
648,Meloetta,メロエッタ,美洛耶塔,Meloetta
649,Genesect,ゲノセクト,盖诺赛克特,Genesect
650,Chespin,ハリマロン,哈力栗,Marisson
651,Quilladin,ハリボーグ,胖胖哈力,Boguérisse
652,Chesnaught,ブリガロン,布里卡隆,Blindépique
653,Fennekin,フォッコ,火狐狸,Feunnec
654,Braixen,テールナー,长尾火狐,Roussil
655,Delphox,マフォクシー,妖火红狐,Goupelin
656,Froakie,ケロマツ,呱呱泡蛙,Grenousse
657,Frogadier,ゲコガシラ,呱头蛙,Croâporal
658,Greninja,ゲッコウガ,甲贺忍蛙,Amphinobi
659,Bunnelby,ホルビー,掘掘兔,Sapereau
660,Diggersby,ホルード,掘地兔,Excavarenne
661,Fletchling,ヤヤコマ,小箭雀,Passerouge
662,Fletchinder,ヒノヤコマ,火箭雀,Braisillon
663,Talonflame,ファイアロー,烈箭鹰,Flambusard
664,Scatterbug,コフキムシ,粉蝶虫,Lépidonille
665,Spewpa,コフーライ,粉蝶蛹,Pérégrain
666,Vivillon,ビビヨン,彩粉蝶,Prismillon
667,Litleo,シシコ,小狮狮,Hélionceau
668,Pyroar,カエンジシ,火炎狮,Némélios
669,Flabébé,フラベベ,花蓓蓓,Flabébé
670,Floette,フラエッテ,花叶蒂,FLOETTE
671,Florges,フラージェス,花洁夫人,Florges
672,Skiddo,メェークル,坐骑小羊,Cabriolaine
673,Gogoat,ゴーゴート,坐骑山羊,Chevroum
674,Pancham,ヤンチャム,顽皮熊猫,Pandespiègle
675,Pangoro,ゴロンダ,流氓熊猫,Pandarbare
676,Furfrou,トリミアン,多丽米亚,Couafarel
677,Espurr,ニャスパー,妙喵,Psystigri
678,Meowstic,ニャオニクス,超能妙喵,Mistigrix
679,Honedge,ヒトツキ,独剑鞘,Monorpale
680,Doublade,ニダンギル,双剑鞘,Dimoclès
681,Aegislash,ギルガルド,坚盾剑怪,Exagide
682,Spritzee,シュシュプ,粉香香,Fluvetin
683,Aromatisse,フレフワン,芳香精,Cocotine
684,Swirlix,ペロッパフ,绵绵泡芙,Sucroquin
685,Slurpuff,ペロリーム,胖甜妮,Cupcanaille
686,Inkay,マーイーカ,好啦鱿,Sepiatop
687,Malamar,カラマネロ,乌贼王,Sepiatroce
688,Binacle,カメテテ,龟脚脚,Opermine
689,Barbaracle,ガメノデス,龟足巨铠,Golgopathe
690,Skrelp,クズモー,垃垃藻,Venalgue
691,Dragalge,ドラミドロ,毒藻龙,Kravarech
692,Clauncher,ウデッポウ,铁臂枪虾,Flingouste
693,Clawitzer,ブロスター,钢炮臂虾,Gamblast
694,Helioptile,エリキテル,伞电蜥,Galvaran
695,Heliolisk,エレザード,光电伞蜥,Iguolta
696,Tyrunt,チゴラス,宝宝暴龙,Ptyranidur
697,Tyrantrum,ガチゴラス,怪颚龙,Rexillius
698,Amaura,アマルス,冰雪龙,Amagara
699,Aurorus,アマルルガ,冰雪巨龙,Dragmara
700,Sylveon,ニンフィア,仙子伊布,Nymphali
701,Hawlucha,ルチャブル,摔角鹰人,Brutalibré
702,Dedenne,デデンネ,咚咚鼠,DEDENNE
703,Carbink,メレシー,小碎钻,Strassie
704,Goomy,ヌメラ,黏黏宝,Mucuscule
705,Sliggoo,ヌメイル,黏美儿,Colimucus
706,Goodra,ヌメルゴン,黏美龙,Muplodocus
707,Klefki,クレッフィ,钥圈儿,Trousselin
708,Phantump,ボクレー,小木灵,Brocélôme
709,Trevenant,オーロット,朽木妖,Desséliande
710,Pumpkaboo,バケッチャ,南瓜精,Pitrouille
711,Gourgeist,パンプジン,南瓜怪人,Banshitrouye
712,Bergmite,カチコール,冰宝,Grelaçon
713,Avalugg,クレベース,冰岩怪,Séracrawl
714,Noibat,オンバット,嗡蝠,Sonistrelle
715,Noivern,オンバーン,音波龙,Bruyverne
716,Xerneas,ゼルネアス,哲尔尼亚斯,Xerneas
717,Yveltal,イベルタル,伊裴尔塔尔,Yveltal
718,Zygarde,ジガルデ,基格尔德,Zygarde
719,Diancie,ディアンシー,蒂安希,Diancie
720,Hoopa,フーパ,胡帕,Hoopa
721,Volcanion,ボルケニオン,波尔凯尼恩,Volcanion
722,Rowlet,モクロー,木木枭,Brindibou
723,Dartrix,フクスロー,投羽枭,Efflèche
724,Decidueye,ジュナイパー,狙射树枭,Archéduc
725,Litten,ニャビー,火斑喵,Flamiaou
726,Torracat,ニャヒート,炎热喵,Matoufeu
727,Incineroar,ガオガエン,炽焰咆哮虎,Félinferno
728,Popplio,アシマリ,球球海狮,Otaquin
729,Brionne,オシャマリ,花漾海狮,Otarlette
730,Primarina,アシレーヌ,西狮海壬,Oratoria
731,Pikipek,ツツケラ,小笃儿,Picassaut
732,Trumbeak,ケララッパ,喇叭啄鸟,Piclairon
733,Toucannon,ドデカバシ,铳嘴大鸟,Bazoucan
734,Yungoos,ヤングース,猫鼬少,Manglouton
735,Gumshoos,デカグース,猫鼬探长,Argouste
736,Grubbin,アゴジムシ,强颚鸡母虫,Larvibule
737,Charjabug,デンヂムシ,虫电宝,Chrysapile
738,Vikavolt,クワガノン,锹农炮虫,Lucanon
739,Crabrawler,マケンカニ,好胜蟹,Crabagarre
740,Crabominable,ケケンカニ,好胜毛蟹,Crabominable
741,Oricorio,オドリドリ,花舞鸟,Plumeline
742,Cutiefly,アブリー,萌虻,Bombydou
743,Ribombee,アブリボン,蝶结萌虻,Rubombelle
744,Rockruff,イワンコ,岩狗狗,Rocabot
745,Lycanroc,ルガルガン,鬃岩狼人,Lougaroc
746,Wishiwashi,ヨワシ,弱丁鱼,Froussardine
747,Mareanie,ヒドイデ,好坏星,Vorastérie
748,Toxapex,ドヒドイデ,超坏星,Prédastérie
749,Mudbray,ドロバンコ,泥驴仔,Tiboudet
750,Mudsdale,バンバドロ,重泥挽马,Bourrinos
751,Dewpider,シズクモ,滴蛛,Araqua
752,Araquanid,オニシズクモ,滴蛛霸,Tarenbulle
753,Fomantis,カリキリ,伪螳草,Mimantis
754,Lurantis,ラランテス,兰螳花,Floramantis
755,Morelull,ネマシュ,睡睡菇,Spododo
756,Shiinotic,マシェード,灯罩夜菇,Lampignon
757,Salandit,ヤトウモリ,夜盗火蜥,Tritox
758,Salazzle,エンニュート,焰后蜥,Malamandre
759,Stufful,ヌイコグマ,童偶熊,Nounourson
760,Bewear,キテルグマ,穿着熊,Chelours
761,Bounsweet,アマカジ,甜竹竹,Croquine
762,Steenee,アママイコ,甜舞妮,Candine
763,Tsareena,アマージョ,甜冷美后,Sucreine
764,Comfey,キュワワー,花疗环环,Guérilande
765,Oranguru,ヤレユータン,智挥猩,Gouroutan
766,Passimian,ナゲツケサル,投掷猴,Quartermac
767,Wimpod,コソクムシ,胆小虫,Sovkipou
768,Golisopod,グソクムシャ,具甲武者,Sarmuraï
769,Sandygast,スナバァ,沙丘娃,Bacabouh
770,Palossand,シロデスナ,噬沙堡爷,Trépassable
771,Pyukumuku,ナマコブシ,拳海参,Concombaffe
772,Type: Null,タイプ：ヌル,属性：空,Silvallié
773,Silvally,シルヴァディ,银伴战兽,Météno
774,Minior,メテノ,小陨星,Dodoala
775,Komala,ネッコアラ,树枕尾熊,Boumata
776,Turtonator,バクガメス,爆焰龟兽,Togedemaru
777,Togedemaru,トゲデマル,托戈德玛尔,Mimiqui
778,Mimikyu,ミミッキュ,谜拟Ｑ,Denticrisse
779,Bruxish,ハギギシリ,磨牙彩皮鱼,Draïeul
780,Drampa,ジジーロン,老翁龙,Sinistrail
781,Dhelmise,ダダリン,破破舵轮,Bébécaille
782,Jangmo-o,ジャラコ,心鳞宝,Écaïd
783,Hakamo-o,ジャランゴ,鳞甲龙,Ékaïser
784,Kommo-o,ジャラランガ,杖尾鳞甲龙,Tokorico
785,Tapu Koko,カプ・コケコ,卡璞・鸣鸣,Tokopiyon
786,Tapu Lele,カプ・テテフ,卡璞・蝶蝶,Tokotoro
787,Tapu Bulu,カプ・ブルル,卡璞・哞哞,Tokopisco
788,Tapu Fini,カプ・レヒレ,卡璞・鳍鳍,Cosmog
789,Cosmog,コスモッグ,科斯莫古,Cosmovum
790,Cosmoem,コスモウム,科斯莫姆,Solgaleo
791,Solgaleo,ソルガレオ,索尔迦雷欧,Lunala
792,Lunala,ルナアーラ,露奈雅拉,Zéroïd
793,Nihilego,ウツロイド,虚吾伊德,Mouscoto
794,Buzzwole,マッシブーン,爆肌蚊,Cancrelove
795,Pheromosa,フェローチェ,费洛美螂,Câblifère
796,Xurkitree,デンジュモク,电束木,Bamboiselle
797,Celesteela,テッカグヤ,铁火辉夜,Katagami
798,Kartana,カミツルギ,纸御剑,Engloutyran
799,Guzzlord,アクジキング,恶食大王,Necrozma
800,Necrozma,ネクロズマ,奈克洛兹玛,Magearna
801,Magearna,マギアナ,玛机雅娜,Marshadow
802,Marshadow,マーシャドー,玛夏多,Vémini
803,Poipole,ベベノム,毒贝比,Mandrillon
804,Naganadel,アーゴヨン,四颚针龙,Ama-Ama
805,Stakataka,ツンデツンデ,垒磊石,Pierroteknik
806,Blacephalon,ズガドーン,砰头小丑,Zeraora
807,Zeraora,ゼラオラ,捷拉奥拉,Meltan
808,Meltan,メルタン,美录坦,Melmetal
809,Melmetal,メルメタル,美录梅塔,
