id,text,author,likes
1664,Beautiful face. Beautiful body. Horrible attitude. It was the holy trinity of hot boys.,Jennifer L. Armentrout,3135 likes
1665,The past has no power over the present moment.,Eckhart Tolle,3130 likes
1666,"Fools talk, cowards are silent, wise men listen.",Carlos Ruiz Zafón,3127 likes
1667,"You're just worried they'll hire a male instructor and he'll be hotter than you."" ",Cassandra Clare,3125 likes
1668,"Did you ever think that in a past life Alec was an old woman with ninety cats who was always yelling at the neighborhood kids to get off her lawn? Because I do,",Cassandra Clare,3125 likes
1669,Creativity is intelligence having fun.,Albert Einstein,3124 likes
1670,Try a little harder to be a little better.,Gordon B. Hinckley,3124 likes
1671,We must be willing to let go of the life we planned so as to have the life that is waiting for us.,Joseph Campbell,3122 likes
1672,Would it save you a lot of time if I just gave up and went mad now?,Douglas Adams,3120 likes
1673,"I am trying here to prevent anyone saying the really foolish thing that people often say about Him: I’m ready to accept Jesus as a great moral teacher, but I don’t accept his claim to be God. That is the one thing we must not say. A man who was merely a man and said the sort of things Jesus said would not be a great moral teacher. He would either be a lunatic — on the level with the man who says he is a poached egg — or else he would be the Devil of Hell. You must make your choice. Either this man was, and is, the Son of God, or else a madman or something worse. You can shut him up for a fool, you can spit at him and kill him as a demon or you can fall at his feet and call him Lord and God, but let us not come with any patronizing nonsense about his being a great human teacher. He has not left that open to us. He did not intend to.",C.S. Lewis,3119 likes
1674,What's the good of living if you don't try a few things?,Charles M. Schulz,3117 likes
1675,It is forbidden to kill; therefore all murderers are punished unless they kill in large numbers and to the sound of trumpets.,Voltaire,3117 likes
1676,"I loved you like a man loves a woman he never touches, only writes to, keeps little photographs of.",Charles Bukowski,3117 likes
1677,"The saddest people I've ever met in life are the ones who don't care deeply about anything at all. Passion and satisfaction go hand in hand, and without them, any happiness is only temporary, because there's nothing to make it last.",Nicholas Sparks,3114 likes
1678,"When did we see each other face-to-face? Not until you saw into my cracks and I saw into yours. Before that, we were just looking at ideas of each other, like looking at your window shade but never seeing inside. But once the vessel cracks, the light can get in. The light can get out.",John Green,3112 likes
1679,"If conversation was the lyrics, laughter was the music, making time spent together a melody that could be replayed over and over without getting stale.",Nicholas Sparks,3110 likes
1680,"What she was finding also was how one book led to another, doors kept opening wherever she turned and the days weren't long enough for the reading she wanted to do.",Alan Bennett,3110 likes
1681,"If I had a world of my own, everything would be nonsense. Nothing would be what it is, because everything would be what it isn't. And contrary wise, what is, it wouldn't be. And what it wouldn't be, it would. You see?",Lewis Carroll,3110 likes
1682,Time is an illusion. Lunchtime doubly so.,Douglas Adams,3110 likes
1683,"Suffering has been stronger than all other teaching, and has taught me to understand what your heart used to be. I have been bent and broken, but - I hope - into a better shape.",Charles Dickens,3109 likes
1684,"My tongue will tell the anger of my heart, or else my heart concealing it will break.",William Shakespeare,3102 likes
1685,"Really, the combination of the scabs and the ointment looks hideous. I can't help enjoying his distress.",Suzanne Collins,3100 likes
1686,So many things become beautiful when you really look.,Lauren Oliver,3099 likes
1687,"You could have fooled me. Everytime I called you, Luke said you were sick. I figured you were avoiding me. Again.""",Cassandra Clare,3092 likes
1688,The pleasure of all reading is doubled when one lives with another who shares the same books.,Katherine Mansfield,3091 likes
1689,Reputation is what other people know about you. Honor is what you know about yourself.,Lois McMaster Bujold,3089 likes
1690,Illegal aliens have always been a problem in the United States. Ask any Indian.,Robert Orben,3087 likes
1691,Tears shed for another person are not a sign of weakness. They are a sign of a pure heart.,José N. Harris,3085 likes
1692,"Honestly, if you were any slower, you’d be going backward.",J.K. Rowling,3085 likes
1693,"You want to know about anybody? See what books they read, and how they've been read...",Keri Hulme,3082 likes
1694,"You'd think people had better things to gossip about,"" said Ginny as she sat on the common room floor, leaning against Harry’s legs and reading the Daily Prophet. ""Three Dementor attacks in a week, and all Romilda Vane does is ask me if it’s true you’ve got a Hippogriff tattooed across your chest.""",J.K. Rowling,3082 likes
1695,The helpful thought for which you look,Edward Gorey,3081 likes
1696,"you can, you should, and if you’re brave enough to start, you will.",Stephen King,3080 likes
1697,"Knock, And He'll open the door",Jalaluddin Rumi,3080 likes
1698,"A child can teach an adult three things: to be happy for no reason, to always be busy with something, and to know how to demand with all his might that which he desires.",Paulo Coelho,3078 likes
1699,"No persons are more frequently wrong, than those who will not admit they are wrong.",François de La Rochefoucauld,3078 likes
1700,"All alone! Whether you like it or not, alone is something you'll be quite a lot!",Dr. Seuss,3077 likes
1701,Here is a lesson in creative writing. First rule: Do not use semicolons. They are transvestite hermaphrodites representing absolutely nothing. All they do is show you've been to college.,Kurt Vonnegut,3077 likes
1702,Time is the coin of your life. You spend it. Do not allow others to spend it for you.,Carl Sandburg,3076 likes
1703,"I thought I'd lie on the floor and writhe in pain for a while,"" he grunted, ""It relaxes me.""",Cassandra Clare,3075 likes
1704,"Must you go? I was rather hoping you'd stay and be a ministering angel, but if you must go, you must.""",Cassandra Clare,3074 likes
1705,A diary with no drawings of me in it? Where are the torrid fantasies? The romance covers?,Cassandra Clare,3073 likes
1706,"When people don't express themselves, they die one piece at a time.",Laurie Halse Anderson,3071 likes
1707,"The best fantasy is written in the language of dreams. It is alive as dreams are alive, more real than real ... for a moment at least ... that long magic moment before we wake.",George R.R. Martin,3071 likes
1708,There is no place like home.,L. Frank Baum,3071 likes
1709,"She leaned down and looked at his lifeless face and Leisel kissed her best friend, Rudy Steiner, soft and true on his lips. He tasted dusty and sweet. He tasted like regret in the shadows of trees and in the glow of the anarchist's suit collection. She kissed him long and soft, and when she pulled herself away, she touched his mouth with her fingers...She did not say goodbye. She was incapable, and after a few more minutes at his side, she was able to tear herself from the ground. It amazes me what humans can do, even when streams are flowing down their faces and they stagger on...",Markus Zusak,3070 likes
1710,"Every time you are tempted to react in the same old way, ask if you want to be a prisoner of the past or a pioneer of the future.",Deepak Chopra,3069 likes
1711,You only get one life. It's actually your duty to live it as fully as possible.,Jojo Moyes,3068 likes
1712,God can't give us peace and happiness apart from Himself because there is no such thing.,C.S. Lewis,3067 likes
1713,"I like to see people reunited, I like to see people run to each other, I like the kissing and the crying, I like the impatience, the stories that the mouth can't tell fast enough, the ears that aren't big enough, the eyes that can't take in all of the change, I like the hugging, the bringing together, the end of missing someone.",Jonathan Safran Foer,3066 likes
1714,"I could easily forgive his pride, if he had not mortified mine.",Jane Austen,3066 likes
1715,"Travel is fatal to prejudice, bigotry, and narrow-mindedness, and many of our people need it sorely on these accounts. Broad, wholesome, charitable views of men and things cannot be acquired by vegetating in one little corner of the earth all one's lifetime.",Mark Twain,3065 likes
1716,You can't stop the future,Jay Asher,3064 likes
1717,Art enables us to find ourselves and lose ourselves at the same time.,Thomas Merton,3064 likes
1718,"There are some things you can't share without ending up liking each other, and knocking out a twelve-foot mountain troll is one of them.",J.K. Rowling,3064 likes
1719,"The trouble is not in dying for a friend, but in finding a friend worth dying for.",Mark Twain,3064 likes
1720,"I was within and without, simultaneously enchanted and repelled by the inexhaustible variety of life.",F. Scott Fitzgerald,3063 likes
1721,"If you would tell me the heart of a man, tell me not what he reads, but what he rereads.",François Mauriac,3062 likes
1722,"I don't want tea,"" said Clary, with muffled force. ""I want to find my mother. And then I want to find out who took her in the first place, and I want to kill them.""",Cassandra Clare,3060 likes
1723,"Give her hell from us, Peeves.",J.K. Rowling,3059 likes
1724,May the odds be ever in your favor!,Suzanne Collins,3057 likes
1725,"The spell. Victor said you had to want me... to care about me... for it to work."" When he didn't say anything, I tried to grip his shirt, but my fingers were too weak. ""Did you? Did you want me?""",Richelle Mead,3057 likes
1726,I cannot believe in a God who wants to be praised all the time.,Friedrich Nietzsche,3057 likes
1727,He who has a why to live for can bear almost any how.,Friedrich Nietzsche,3057 likes
1728,You shall know the truth and the truth shall make you mad.,Aldous Huxley,3051 likes
1729,"Somewhere over the rainbow, skies are blue, and the dreams that you dare to dream really do come true.",E.Y. Harburg,3050 likes
1730,There is no exquisite beauty… without some strangeness in the proportion.,Edgar Allan Poe,3050 likes
1731,Trying to define yourself is like trying to bite your own teeth.,Alan W. Watts,3049 likes
1732,Have no fear of perfection - you'll never reach it.,Salvador Dalí,3047 likes
1733,"I have come to accept the feeling of not knowing where I am going. And I have trained myself to love it. Because it is only when we are suspended in mid-air with no landing in sight, that we force our wings to unravel and alas begin our flight. And as we fly, we still may not know where we are going to. But the miracle is in the unfolding of the wings. You may not know where you're going, but you know that so long as you spread your wings, the winds will carry you.",C. JoyBell C.,3046 likes
1734,There's things that happen in a person's life that are so scorched in the memory and burned into the heart that there's no forgetting them.,John Boyne,3043 likes
1735,"The world is a dangerous place to live, not because of the people who are evil, but because of the people who don't do anything about it.",Albert Einstein,3039 likes
1736,"I always channel my emotions into my work. That way, I don't hurt anyone but myself.",Suzanne Collins,3037 likes
1737,"Books are not made to be believed, but to be subjected to inquiry. When we consider a book, we mustn't ask ourselves what it says but what it means...",Umberto Eco,3036 likes
1738,Don't compromise yourself - you're all you have.,John Grisham,3034 likes
1739,"In time, the hurt began to fade and it was easier to just let it go. At least I thought it was. But in every boy I met in the next few years, I found myself looking for you, and when the feelings got too strong, I'd write you another letter. But I never sent them for fear of what I might find. By then, you'd gone on with your life and I didn't want to think about you loving someone else. I wanted to remember us like we were that summer. I didn't ever want to lose that.",Nicholas Sparks,3032 likes
1740,"Dreams like a podcast,",Rick Riordan,3031 likes
1741,"No matter what he does, every person on earth plays a central role in the history of the world. And normally he doesn't know it.",Paulo Coelho,3031 likes
1742,"Hello babies. Welcome to Earth. It's hot in the summer and cold in the winter. It's round and wet and crowded. On the outside, babies, you've got a hundred years here. There's only one rule that I know of, babies-""God damn it, you've got to be kind.",Kurt Vonnegut,3031 likes
1743,"Did you know that 'I told you so' has a brother,Jacob?"" she asked cutting me off. ""His name is 'Shut the hell up'.",Stephenie Meyer,3030 likes
1744,"Though she be but little, she is fierce!",William Shakespeare,3030 likes
1745,Youth can not know how age thinks and feels. But old men are guilty if they forget what it was to be young.,J.K. Rowling,3029 likes
1746,I wrote the story myself. It's about a girl who lost her reputation and never missed it.,Mae West,3028 likes
1747,"She had always wanted words, she loved them; grew up on them. Words gave her clarity, brought reason, shape.",Michael Ondaatje,3027 likes
1748,"The darker the night, the brighter the stars, ",Fyodor Dostoyevsky,3027 likes
1749,"There was another life that I might have had, but I am having this one.",Kazuo Ishiguro,3026 likes
1750,"When I was about eight, I decided that the most wonderful thing, next to a human being, was a book.",Margaret Walker,3024 likes
1751,"The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well.",Ralph Waldo Emerson,3022 likes
1752,"The more you know who you are, and what you want, the less you let things upset you.",Stephanie Perkins,3021 likes
1753,"I believe a strong woman may be stronger than a man, particularly if she happens to have love in her heart. I guess a loving woman is indestructible.",John Steinbeck,3021 likes
1754,No book can be appreciated until it has been slept with and dreamed over.,Eugene Field,3020 likes
1755,"Wheresoever you go, go with all your heart.",Confucius,3018 likes
1756,"Dwell on the beauty of life. Watch the stars, and see yourself running with them.",Marcus Aurelius,3018 likes
1757,Quotation is a serviceable substitute for wit.,Oscar Wilde,3018 likes
1758,There is only one page left to write on. I will fill it with words of only one syllable. I love. I have loved. I will love.,Audrey Niffenegger,3017 likes
1759,"When you laugh, laugh like hell. And when you get angry, get good and angry. Try to be alive. You will be dead soon enough.",William Saroyan,3015 likes
1760,"Then the Grinch thought of something he hadn't before! What if Christmas, he thought, doesn't come from a store. What if Christmas...perhaps...means a little bit more!",Dr. Seuss,3014 likes
1761,We didn't talk about anything heavy or light. We were just there together. And that was enough,Stephen Chbosky,3014 likes
1762,"Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.",Steve Maraboli,3013 likes
1763,Do your little bit of good where you are; it's those little bits of good put together that overwhelm the world.,Desmond Tutu,3012 likes
1764,"Everything has beauty, but not everyone sees it.",Confucius,3012 likes
1765,"I fell in love with him. But I don't just stay with him by default as if there's no one else available to me. I stay with him because I choose to, every day that I wake up, every day that we fight or lie to each other or disappoint each other. I choose him over and over again, and he chooses me.",Veronica Roth,3011 likes
1766,Nowadays people know the price of everything and the value of nothing.,Oscar Wilde,3011 likes
1767,"let me live, love, and say it well in good sentences",Sylvia Plath,3010 likes
1768,I lived in books more than I lived anywhere else.,Neil Gaiman,3008 likes
1769,It is easier to forgive an enemy than to forgive a friend.,William Blake,3007 likes
1770,Truth only means something when it's hard to admit.,Nicholas Sparks,3006 likes
1771,"Words are pale shadows of forgotten names. As names have power, words have power. Words can light fires in the minds of men. Words can wring tears from the hardest hearts.",Patrick Rothfuss,3006 likes
1772,"You're an idiot.""",Cassandra Clare,3003 likes
1773,"In a time of destruction, create something.",Maxine Hong Kingston,3002 likes
1774,"Atheism turns out to be too simple. If the whole universe has no meaning, we should never have found out that it has no meaning...",C.S. Lewis,3002 likes
1775,"I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived. I did not wish to live what was not life, living is so dear; nor did I wish to practise resignation, unless it was quite necessary. I wanted to live deep and suck out all the marrow of life, to live so sturdily and Spartan-like as to put to rout all that was not life, to cut a broad swath and shave close, to drive life into a corner, and reduce it to its lowest terms...",Henry David Thoreau,3002 likes
1776,"Every one of us is, in the cosmic perspective, precious. If a human disagrees with you, let him live. In a hundred billion galaxies, you will not find another.",Carl Sagan,3001 likes
1777,"Remember, darkness does not always equate to evil, just as light does not always bring good.",P.C. Cast,3001 likes
1778,Out of suffering have emerged the strongest souls; the most massive characters are seared with scars.,Kahlil Gibran,3001 likes
1779,Nothing in the world is ever completely wrong. Even a stopped clock is right twice a day.,Paulo Coelho,2999 likes
1780,"Anyway, I keep picturing all these little kids playing some game in this big field of rye and all. Thousands of little kids, and nobody's around - nobody big, I mean - except me. And I'm standing on the edge of some crazy cliff. What I have to do, I have to catch everybody if they start to go over the cliff - I mean if they're running and they don't look where they're going I have to come out from somewhere and catch them. That's all I do all day. I'd just be the catcher in the rye and all. I know it's crazy, but that's the only thing I'd really like to be.",J.D. Salinger,2999 likes
1781,"I have absolutely no pleasure in the stimulants in which I sometimes so madly indulge. It has not been in the pursuit of pleasure that I have periled life and reputation and reason. It has been the desperate attempt to escape from torturing memories, from a sense of insupportable loneliness and a dread of some strange impending doom.",Edgar Allan Poe,2998 likes
1782,"Your beliefs become your thoughts, ",Mahatma Gandhi,2993 likes
1783,"Pain insists upon being attended to. God whispers to us in our pleasures, speaks in our consciences, but shouts in our pains. It is his megaphone to rouse a deaf world.",C.S. Lewis,2993 likes
1784,Ask not what you can do for your country. Ask what’s for lunch.,Orson Welles,2993 likes
1785,"Whatever you're meant to do, do it now. The conditions are always impossible.",Doris Lessing,2991 likes
1786,My soul will find yours.,Jude Deveraux,2991 likes
1787,It is absurd to divide people into good and bad. People are either charming or tedious.,Oscar Wilde,2991 likes
1788,Yesterday is gone. Tomorrow has not yet come. We have only today. Let us begin.,Mother Teresa,2990 likes
1789,A good traveler has no fixed plans and is not intent on arriving.,Lao Tzu,2990 likes
1790,"I've got the guts to die. What I want to know is, have you got the guts to live?",Tennessee Williams,2987 likes
1791,Fill your paper with the breathings of your heart.,William Wordsworth,2987 likes
1792,One of the advantages of being disorganized is that one is always having surprising discoveries.,A.A. Milne,2985 likes
1793,"Dreams do come true, if only we wish hard enough. You can have anything in life if you will sacrifice everything else for it.",J.M. Barrie,2985 likes
1794,Happiness is holding someone in your arms and knowing you hold the whole world.,Orhan Pamuk,2984 likes
1795,Reading brings us unknown friends,Honoré de Balzac,2983 likes
1796,They who can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety.,Benjamin Franklin,2982 likes
1797,"Are you implying that shreds of my reputation remain intact?"" Will demanded with mock horror. ""Clearly I have been doing something wrong. Or not something wrong, as the case may be."" ",Cassandra Clare,2981 likes
1798,"A word to the wise ain't necessary, it's the stupid ones who need advice.",Bill Cosby,2980 likes
1799,"When you find your path, you must not be afraid. You need to have sufficient courage to make mistakes. Disappointment, defeat, and despair are the tools God uses to show us the way.",Paulo Coelho,2980 likes
1800,Most books on witchcraft will tell you that witches work naked. This is because most books on witchcraft were written by men.,Neil Gaiman,2980 likes
1801,Great minds are always feared by lesser minds.,Dan Brown,2979 likes
1802,"I'm going to wake Peeta,"" I say.",Suzanne Collins,2978 likes
1803,"And when at last you find someone to whom you feel you can pour out your soul, you stop in shock at the words you utter— they are so rusty, so ugly, so meaningless and feeble from being kept in the small cramped dark inside you so long.",Sylvia Plath,2978 likes
1804,"He was gone, and I did not have time to tell him what I had just now realized: that I forgave him, and that she forgave us, and that we had to forgive to survive in the labyrinth. There were so many of us who would have to live with things done and things left undone that day. Things that did not go right, things that seemed okay at the time because we could not see the future. If only we could see the endless string of consequences that result from our smallest actions. But we can’t know better until knowing better is useless. And as I walked back to give Takumi’s note to the Colonel, I saw that I would never know. I would never know her well enough to know her thoughts in those last minutes, would never know if she left us on purpose. But the not-knowing would not keep me from caring, and I would always love Alaska Young, my crooked neighbor, with all my crooked heart.",John Green,2978 likes
1805,"You have power over your mind - not outside events. Realize this, and you will find strength.",Marcus Aurelius,2975 likes
1806,"Who in the world am I? Ah, that's the great puzzle.",Lewis Carroll,2975 likes
1807,Compassion is the basis of morality.,Arthur Schopenhauer,2975 likes
1808,A book lying idle on a shelf is wasted ammunition.,Henry Miller,2974 likes
1809,I meant what I said and I said what I meant. An elephant's faithful one-hundred percent!,Dr. Seuss,2970 likes
1810,A house without books is like a room without windows.,Horace Mann,2970 likes
1811,"I haven't been everywhere, but it's on my list.",Susan Sontag,2969 likes
1812,"Learn to value yourself, which means: fight for your happiness.",Ayn Rand,2969 likes
1813,"Always go to other people's funerals, otherwise they won't come to yours.",Yogi Berra,2968 likes
1814,"It was a mistake,"" you said. But the cruel thing was, it felt like the mistake was mine, for trusting you.",David Levithan,2967 likes
1815,Let me give you a piece of advice. The handsome young fellow who's trying to rescue you from a hideous fate is never wrong. Not even if he says the sky is purple and made of hedgehogs.,Cassandra Clare,2967 likes
1816,"It is a good rule after reading a new book, never to allow yourself another new one till you have read an old one in between.",C.S. Lewis,2967 likes
1817,People who deny the existence of dragons are often eaten by dragons. From within.,Ursula K. Le Guin,2965 likes
1818,Maybe there is a beast… maybe it's only us.,William Golding,2964 likes
1819,A girl should be two things: who and what she wants.,Coco Chanel,2961 likes
1820,Let us learn to show our friendship for a man when he is alive and not after he is dead.,F. Scott Fitzgerald,2959 likes
1821,Is it possible for home to be a person and not a place?,Stephanie Perkins,2957 likes
1822,"We are all alone, born alone, die alone, and—in spite of True Romance magazines—we shall all someday look back on our lives and see that, in spite of our company, we were alone the whole way. I do not say lonely—at least, not all the time—but essentially, and finally, alone. This is what makes your self-respect so important, and I don't see how you can respect yourself if you must look in the hearts and minds of others for your happiness.",Hunter S. Thompson,2956 likes
1823,It's funny how humans can wrap their mind around things and fit them into their version of reality.,Rick Riordan,2956 likes
1824,"Even in half demon hunter clothes, Clary thought, he looked like the kind of boy who'd come over your house to pick you up for a date and be polite to your parents and nice to your pets.",Cassandra Clare,2954 likes
1825,The only way to get rid of temptation is to yield to it.,Oscar Wilde,2953 likes
1826,"People come, people go – they’ll drift in and out of your life, almost like characters in a favorite book. When you finally close the cover, the characters have told their story and you start up again with another book, complete with new characters and adventures. Then you find yourself focusing on the new ones, not the ones from the past.",Nicholas Sparks,2947 likes
1827,"Expose yourself to your deepest fear; after that, fear has no power, and the fear of freedom shrinks and vanishes. You are free.",Jim Morrison,2945 likes
1828,The only thing better than imagining Dimitri carrying me in his arms was imagining him shirtless while carrying me in his arms.,Richelle Mead,2944 likes
1829,Talk sense to a fool and he calls you foolish.,Euripides,2944 likes
1830,"To be, or not to be: that is the question:",William Shakespeare,2943 likes
1831,I'm on Aslan's side even if there isn't any Aslan to lead it. I'm going to live as like a Narnian as I can even if there isn't any Narnia.,C.S. Lewis,2943 likes
1832,A half-read book is a half-finished love affair.,David Mitchell,2943 likes
1833,"I'm not sentimental--I'm as romantic as you are. The idea, you know,",F. Scott Fitzgerald,2942 likes
1834,"If you're lonely when you're alone, you're in bad company.",Jean-Paul Sartre,2942 likes
1835,"Whenever you read a cancer booklet or website or whatever, they always list depression among the side effects of cancer. But, in fact, depression is not a side effect of cancer. Depression is a side effect of dying.",John Green,2941 likes
1836,Tact is the ability to tell someone to go to hell in such a way that they look forward to the trip.,Winston S. Churchill,2941 likes
1837,"The world is indeed comic, but the joke is on mankind.",H.P. Lovecraft,2940 likes
1838,Success is stumbling from failure to failure with no loss of enthusiasm.,Winston S. Churchill,2940 likes
1839,"Courage is resistance to fear, mastery of fear - not absence of fear.",Mark Twain,2940 likes
1840,"Even the strongest and bravest must sometimes weep. It shows they have a great heart, one that can feel compassion for others.",Brian Jacques,2939 likes
1841,Scared is what you're feeling. Brave is what you're doing.,Emma Donoghue,2935 likes
1842,People change and forget to tell each other.,Lillian Hellman,2935 likes
1843,"Sometimes beautiful things come into our lives out of nowhere. We can't always understand them, but we have to trust in them. I know you want to question everything, but sometimes it pays to just have a little faith.",Lauren Kate,2934 likes
1844,Let our scars fall in love.,Galway Kinnell,2932 likes
1845,"If you think you are too small to make a difference, try sleeping with a mosquito.",Dalai Lama XIV,2932 likes
1846,"Sometimes when I look at you, I feel I'm gazing at a distant star. ",Haruki Murakami,2930 likes
1847,"Tis the privilege of friendship to talk nonsense, and to have her nonsense respected.",Charles Lamb,2930 likes
1848,"But who can say what's best? That's why you need to grab whatever chance you have of happiness where you find it, and not worry about other people too much. My experience tells me that we get no more than two or three such chances in a life time, and if we let them go, we regret it for the rest of our lives.",Haruki Murakami,2929 likes
1849,A snowball in the face is surely the perfect beginning to a lasting friendship.,Markus Zusak,2928 likes
1850,But he who dares not grasp the thorn ,Anne Brontë,2928 likes
1851,"Make your mistakes, take your chances, look silly, but keep on going. Don’t freeze up.",Thomas Wolfe,2927 likes
1852,"The pleasure of remembering had been taken from me, because there was no longer anyone to remember with. It felt like losing your co-rememberer meant losing the memory itself, as if the things we'd done were less real and important than they had been hours before.",John Green,2926 likes
1853,"Everyone is a moon, and has a dark side which he never shows to anybody.",Mark Twain,2923 likes
1854,"being alone never felt right. sometimes it felt good, but it never felt right.",Charles Bukowski,2922 likes
1855,Adults are just obsolete children and the hell with them.,Dr. Seuss,2922 likes
1856,Sometimes you read a book so special that you want to carry it around with you for months after you've finished just to stay near it.,Markus Zusak,2921 likes
1857,"If people refuse to look at you in a new light and they can only see you for what you were, only see you for the mistakes you've made, if they don't realize that you are not your mistakes, then they have to go.",Steve Maraboli,2920 likes
1858,"Remember if people talk behind your back, it only means you are two steps ahead.",Fannie Flagg,2919 likes
1859,I must have loved you a lot.,Suzanne Collins,2918 likes
1860,"For what it’s worth: it’s never too late or, in my case, too early to be whoever you want to be. There’s no time limit, stop whenever you want. You can change or stay the same, there are no rules to this thing. We can make the best or the worst of it. I hope you make the best of it. And I hope you see things that startle you. I hope you feel things you never felt before. I hope you meet people with a different point of view. I hope you live a life you’re proud of. If you find that you’re not, I hope you have the courage to start all over again.",Eric Roth,2918 likes
1861,"When I get lonely these days, I think: So BE lonely, Liz. Learn your way around loneliness. Make a map of it. Sit with it, for once in your life. Welcome to the human experience. But never again use another person's body or emotions as a scratching post for your own unfulfilled yearnings.",Elizabeth Gilbert,2917 likes
1862,"I love books, by the way, way more than movies. Movies tell you what to think. A good book lets you choose a few thoughts for yourself. Movies show you the pink house. A good book tells you there's a pink house and lets you paint some of the finishing touches, maybe choose the roof style,park your own car out front. My imagination has always topped anything a movie could come up with. Case in point, those darned Harry Potter movies. That was so not what that part-Veela-chick, Fleur Delacour, looked like.",Karen Marie Moning,2916 likes
1863,I like flaws. I think they make things interesting.,Sarah Dessen,2914 likes
1864,I drink to make other people more interesting.,Ernest Hemingway,2913 likes
1865,To love oneself is the beginning of a lifelong romance.,Oscar Wilde,2913 likes
1866,"We are the music makers, and we are the dreamers of dreams.",Arthur O'Shaughnessy,2913 likes
1867,"This is what you shall do; Love the earth and sun and the animals, despise riches, give alms to every one that asks, stand up for the stupid and crazy, devote your income and labor to others, hate tyrants, argue not concerning God, have patience and indulgence toward the people, take off your hat to nothing known or unknown or to any man or number of men, go freely with powerful uneducated persons and with the young and with the mothers of families, read these leaves in the open air every season of every year of your life, re-examine all you have been told at school or church or in any book, dismiss whatever insults your own soul, and your very flesh shall be a great poem and have the richest fluency not only in its words but in the silent lines of its lips and face and between the lashes of your eyes and in every motion and joint of your body.",Walt Whitman,2910 likes
1868,But in the end one needs more courage to live than to kill himself.,Albert Camus,2909 likes
1869,"Good books tell the truth, even when they're about things that never have been and never will be. They're truthful in a different way.",Stanisław Lem,2908 likes
1870,It's no good pretending that any relationship has a future if your record collections disagree violently or if your favorite films wouldn't even speak to each other if they met at a party.,Nick Hornby,2908 likes
1871,"Happiness consists in getting enough sleep. Just that, nothing more.",Robert A. Heinlein,2907 likes
1872,Life is a series of natural and spontaneous changes. Don't resist them; that only creates sorrow. Let reality be reality. Let things flow naturally forward in whatever way they like.,Lao Tzu,2905 likes
1873,"You wanna fly, you got to give up the shit that weighs you down.",Toni Morrison,2904 likes
1874,"Have a heart that never hardens, and a temper that never tires, and a touch that never hurts.",Charles Dickens,2904 likes
1875,Youth is happy because it has the capacity to see beauty. Anyone who keeps the ability to see beauty never grows old.,Franz Kafka,2902 likes
1876,A man who procrastinates in his choosing will inevitably have his choice made for him by circumstance.,Hunter S. Thompson,2901 likes
1877,"And I guess I realized at that moment that I really did love her. Because there was nothing to gain, and that didn't matter.",Stephen Chbosky,2900 likes
1878,"Tomorrow may be hell, but today was a good writing day, and on the good writing days nothing else matters.",Neil Gaiman,2900 likes
1879,"If you end up with a boring miserable life because you listened to your mom, your dad, your teacher, your priest, or some guy on television telling you how to do your shit, then you deserve it.",Frank Zappa,2897 likes
1880,A childhood without books – that would be no childhood. That would be like being shut out from the enchanted place where you can go and find the rarest kind of joy.,Astrid Lindgren,2895 likes
1881,"If there's a single lesson that life teaches us, it's that wishing doesn't make it so.",Lev Grossman,2895 likes
1882,و كن من أنتَ حيث تكون ,Mahmoud Darwish,2895 likes
1883,Faith is not the belief that God will do what you want. It is the belief that God will do what is right.,Max Lucado,2893 likes
1884,"The only real prison is fear, and the only real freedom is freedom from fear",Aung San Suu Kyi,2892 likes
1885,"It ain't what they call you, it's what you answer to.",W.C. Fields,2892 likes
1886,A truth that's told with bad intent,William Blake,2892 likes
1887,It is thanks to my evening reading alone that I am still more or less sane.,W.G. Sebald,2888 likes
1888,"Stories can conquer fear, you know. They can make the heart bigger.",Ben Okri,2888 likes
1889,Families are messy. Immortal families are eternally messy. Sometimes the best we can do is to remind each other that we're related for better or for worse...and try to keep the maiming and killing to a minimum.,Rick Riordan,2888 likes
1890,Jace shook his blond head in exasperation. ,Cassandra Clare,2887 likes
1891,There must be those among whom we can sit down and weep and still be counted as warriors.,Adrienne Rich,2886 likes
1892,"Children must be taught how to think, not what to think.",Margaret Mead,2885 likes
1893,"Peeta, how come I never know when you're having a nightmare? I say.",Suzanne Collins,2884 likes
1894,It is never too late to be wise.,Daniel Defoe,2882 likes
1895,You can have it all. Just not all at once.,Oprah Winfrey,2882 likes
1896,It's been my experience that you can nearly always enjoy things if you make up your mind firmly that you will.,L.M. Montgomery,2879 likes
1897,إن المرأة تحب رجلها ليس لأنه أقوى الرجال، و لا أوسمهم، و لا أغناهم، بل لأنه هو.. بضعفه و قوته.. و الحب ليس إستعراض قوة لكنه طاقة عطاء دافئة مستمرة,أحمد خالد توفيق,2877 likes
1898,"I cannot go to school today""",Shel Silverstein,2874 likes
1899,"I know I am but summer to your heart, and not the full four seasons of the year.",Edna St. Vincent Millay,2873 likes
1900,Older men declare war. But it is youth that must fight and die.,Herbert Hoover,2873 likes
1901,It is the time you have wasted for your rose that makes your rose so important.,Antoine de Saint-Exupéry,2871 likes
