#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Where/How,Shadow,Catch Difficulty,Vision,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
56.0,anchovy,https://acnhcdn.com/latest/MenuIcon/Fish81.png,https://acnhcdn.com/latest/BookFishIcon/FishAntyobiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobi.png,200.0,Sea,Small,Very Easy,Very Wide,0.0,2–5,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,1x1,No,"There are more than 140 species of anchovy, but they do all have some things in common. They are small and feed by simply swimming with their mouths open to filter food particles from the sea. (In my sleepier moments, I sometimes wish I could do that...)",I caught an anchovy! Stay away from my pizza!,71.0,Pet,Blue,Red,No lighting,Fish81,FishAntyobi,FtrFishAntyobi,4201.0,LzuWkSQP55uEpRCP5
15.0,frog,https://acnhcdn.com/latest/MenuIcon/Fish11.png,https://acnhcdn.com/latest/BookFishIcon/FishKaeruCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKaeru.png,120.0,Pond,Small,Easy,Very Wide,0.0,7–9,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,All day,1x1,No,"I understand that frogs converse with fellow frogs through a number of varied calls, as it were. Ribbit! My prince has arrived! Gribbit riiibbit! This pond is tragic! Ribbity rib't! I think you're splendid! Hoo hoo, of course I have no clue what they're saying, but I like to think if I practice enough, I might!",I caught a frog! Or it's a new neighbor...and I have some apologizing to do.,71.0,Pet,Green,Black,Fluorescent,Fish11,FishKaeru,FtrFishKaeru,2226.0,LcQLs85qPPdLajLje
43.0,gar,https://acnhcdn.com/latest/MenuIcon/Fish35.png,https://acnhcdn.com/latest/BookFishIcon/FishGaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishGa.png,6000.0,Pond,X-Large,Hard,Wide,50.0,1–2,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,2x1,Yes,"Hoo hoo! So you have snagged a gar. Did you know this beastly fish can grow up to nine feet long? Indeed, the gar is a remnant of times long past— a living fossil, if you will. It not only has sharp teeth and armor-like scalesn, it has the ability to take breaths of air as well! Ah, to look upon this unusual fish is to get a glimpse of our prehistoric past.",I caught a gar! Yar! It's a gar! Har har!,71.0,Pet,Brown,Black,Fluorescent,Fish35,FishGa,FtrFishGa,2252.0,x5yAYQgMJW9Kf7WyM
19.0,giant snakehead,https://acnhcdn.com/latest/MenuIcon/Fish16.png,https://acnhcdn.com/latest/BookFishIcon/FishRaigyoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishRaigyo.png,5500.0,Pond,Large,Hard,Medium,50.0,2,NA,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9 AM – 4 PM,2x1,Yes,"The giant snakehead is quite a sight to behold, wot! One glance conjurs up visions of its namesake. This resilient creature can even find a home in the mud, where it is able to breathe. As a matter of fact, it dislikes cold weather, so during wintertime the mud serves as its temporary home. I hear that they eat anything that swims past their head. While odd, I feel a sense of owlship with them.",I caught a giant snakehead! Um...but I asked for a medium?,71.0,Pet,Black,Black,Fluorescent,Fish16,FishRaigyo,FtrFishRaigyo,2231.0,KyWQRd8W2FePM42wB
68.0,giant trevally,https://acnhcdn.com/latest/MenuIcon/Fish70.png,https://acnhcdn.com/latest/BookFishIcon/FishRouninajiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishGT.png,4500.0,Pier,X-Large,Very Hard,Very Narrow,20.0,1,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,2x1,Yes,"The giant trevally, as befits its name, can reach six feet in length and 180 pounds! Its size and strength have made it a favored opponent for anglers since time immemorial. They are also ingenious hunters, sometimes taking advantage of other predators to distract their prey. There have even been documented cases of them attacking —gulp— birds.","I caught a giant trevally! Yeah, I'm pretty well-trevalled.",71.0,Pet,Black,Black,Fluorescent,Fish70,FishRouninaji,FtrFishGT,2276.0,53qtm8cMH4RfqJiAH
29.0,golden trout,https://acnhcdn.com/latest/MenuIcon/Fish79.png,https://acnhcdn.com/latest/BookFishIcon/FishGoldenTorautoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishGoldenTorauto.png,15000.0,River (clifftop),Medium,Very Hard,Very Narrow,100.0,1,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,1x1,Yes,"The golden trout is a beautifully colored fish that can only live in very clean waters. They are difficult to come across since they are found only in high mountain streams. As a side note, I find it much easier to appreciate fish that aren't such prima donnas about everything.",I caught a golden trout! But the real treasure? Friendship.,71.0,Pet,Brown,Black,Fluorescent,Fish79,FishGoldenTorauto,FtrFishGoldenTorauto,4193.0,wwGzR7FzWNJ7cDz9X
7.0,goldfish,https://acnhcdn.com/latest/MenuIcon/Fish7.png,https://acnhcdn.com/latest/BookFishIcon/FishKingyoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKingyo.png,1300.0,Pond,X-Small,Easy,Medium,0.0,1–4,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,No,"Goldfish are so cute and delicate... but do you know how big they can get? Why, they can grow up to... a foot in length! Well, sometimes. The size of the tank they're kept in tends to restrict their growth. And just how big will this goldfish get in our large museum tank? I look forward to finding out!",I caught a goldfish! It's worth its weight in fish!,71.0,Pet,Red,Light blue,No lighting,Fish7,FishKingyo,FtrFishKingyo,329.0,5NwmwhEQxBNZCPiBR
74.0,great white shark,https://acnhcdn.com/latest/MenuIcon/Fish62.png,https://acnhcdn.com/latest/BookFishIcon/FishSameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishSame.png,15000.0,Sea,X-Large w/Fin,Very Hard,Narrow,50.0,2,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,3x2,No,"Great white sharks are obviously known first and foremost for their biting. They are masters of the craft! They do lose teeth regularly through biting-related activities, but, luckily, those teeth grow back quickly. In fact, their missing teeth can be regrown in a single day. Just imagine their tooth-fairy-related income!",I caught a great white shark! Watch out for its jaws!,71.0,Pet,Blue,Blue,No lighting,Fish62,FishSame,FtrFishSame,2280.0,EPypAeJGuTDGFJRnx
34.0,guppy,https://acnhcdn.com/latest/MenuIcon/Fish29.png,https://acnhcdn.com/latest/BookFishIcon/FishGuppiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishGuppi.png,1300.0,River,X-Small,Easy,Medium,0.0,2–3,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,1x1,No,"Oh my! Would you look at that! Such a beautiful, snazzy little fellow that guppy is! The shape and coloration of guppy fins are all unique. Quite eye-catching, I must say. Do you imagine they host contests for ""most snazzy""? And...do you suppose I might receive an invite?","I caught a guppy! Welcome to the team, newbie!",71.0,Pet,Blue,Black,Fluorescent,Fish29,FishGuppi,FtrFishGuppi,2245.0,WtdZnARNxnWRobej2
73.0,hammerhead shark,https://acnhcdn.com/latest/MenuIcon/Fish61.png,https://acnhcdn.com/latest/BookFishIcon/FishShumokuzameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishShumokuzame.png,8000.0,Sea,X-Large w/Fin,Hard,Narrow,20.0,1,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,2x1,Yes,"The hammerhead shark is known for its distinctive, hammer-shaped head, hence the name. Er, obviously. Anyhoot, this oddly shaped head allows the beast to see 360 degrees around itself, from top to bottom. Imagine being able to see so widely! You could check for untied shoelaces AND imminent rain simultaneously!",I caught a hammerhead shark! I hit the nail on the head!,71.0,Pet,Black,Black,Fluorescent,Fish61,FishShumokuzame,FtrFishShumokuzame,2279.0,guHT5g6H7tJEyqYzf
57.0,horse mackerel,https://acnhcdn.com/latest/MenuIcon/Fish46.png,https://acnhcdn.com/latest/BookFishIcon/FishAjiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAji.png,150.0,Sea,Small,Very Easy,Wide,0.0,14–21,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,Yes,"Supposedly the horse mackerel derives its name from a-false-myth about its strengh as a swimmer. The gist of it is that these fish are so powerful underwater that smaller fish can ride them as steeds! It's absurd, of course. Where would these alleged fish jockeys attach a saddle, much less horseshoes? One does wish that people would construct their legends with a BIT more scientific plausibility!","I caught a horse mackerel! Of course, Mack...er...el.",71.0,Pet,Blue,Black,Fluorescent,Fish46,FishAji,FtrFishAji,2264.0,L24RYPaEcm9ZXkTui
10.0,killifish,https://acnhcdn.com/latest/MenuIcon/Fish9.png,https://acnhcdn.com/latest/BookFishIcon/FishMedakaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishMedaka.png,300.0,Pond,X-Small,Medium,Medium,0.0,3–4,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,1x1,No,"Ah, the magnificent killifish! Did you know there are over 1,000 different species? My own favorite killifish species are the mangrove, which can live on land for weeks, breathing air! And the mummichog, the first fish ever brought to space. I wonder if the killifish you've brought me is related to either those intrepid explorers?",I caught a killifish! The streams are safe again.,71.0,Pet,Yellow,Black,Fluorescent,Fish9,FishMedaka,FtrFishMedaka,2222.0,ZR9dsEApEXCjtXu3k
32.0,king salmon,https://acnhcdn.com/latest/MenuIcon/Fish28.png,https://acnhcdn.com/latest/BookFishIcon/FishKingsalmonCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKingsalmon.png,1800.0,River (mouth),X-Large,Hard,Medium,20.0,5,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,2x1,Yes,"The king salmon didn't get its name for nothing.This stately fish can weigh in at up to 130 pounds! It's clear why it's referred to as the king of salmon. I imagine even the mightiest net can catch no more than a few at a time.I must say it's a miracle to me that you didn't get dragged out to sea by this one, wot!",WOO-HOO! I caught a King salmon! Checkmate!,71.0,Pet,Gray,Black,Fluorescent,Fish28,FishKingsalmon,FtrFishKingsalmon,2243.0,Pf5cXKo8pzdB45rAA
6.0,koi,https://acnhcdn.com/latest/MenuIcon/Fish6.png,https://acnhcdn.com/latest/BookFishIcon/FishNishikigoiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishNishikigoi.png,4000.0,Pond,Large,Easy,Medium,20.0,1–4,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,1x1,Yes,"Koi are a variety of carp bred for their color mutations...starting more than a thousand years ago! Well, one glance at their impressive coloring tells you that the centuries of effort were worth it. And even today people still selectively breed koi in search of new color combinations! One marvels at the thought of what the koi may look like in another thousand years.",I caught a koi! I don't know why it's so shy... or such a bad speller...,71.0,Pet,Red,White,Fluorescent,Fish6,FishNishikigoi,FtrFishNishikigoi,2220.0,kNwjLeqjg8bFevfiG
17.0,loach,https://acnhcdn.com/latest/MenuIcon/Fish13.png,https://acnhcdn.com/latest/BookFishIcon/FishDojouCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishDojou.png,400.0,River,Small,Easy,Wide,0.0,12–16,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,1x1,No,"Loaches are a large group of bottom-feeding freshwater fish. Because there are so many species, it is difficult to generalize about them all. The one thing they all have in common is perhaps their most unappealing trait; the name 'loach.' Repellent, isn't it? They should have just called it the 'cockloach' and been done with it, eh wot! Loach...loach... It just tastes terrible in the beak.",I caught a loach! It's...looking at me with reproach.,71.0,Pet,Brown,Blue,No lighting,Fish13,FishDojou,FtrFishDojou,2228.0,95yBKrQ4tdyWj4H25
69.0,mahi-mahi,https://acnhcdn.com/latest/MenuIcon/Fish82.png,https://acnhcdn.com/latest/BookFishIcon/FishShiiraCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishShiira.png,6000.0,Pier,X-Large,Very Hard,Very Narrow,50.0,1,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,2x1,Yes,"The mahi-mahi is an ocean fish known for its wide, somewhat-cute face. It can reach over six feet long. It is known by different names including ""dolphinfish,"" even though it has no relation to dolphins. They live in only in warm, tropical waters...which perhaps explains the relaxed, happy look on their faces.",I caught a mahi-mahi! It's all mahine-mahine.,71.0,Pet,Yellow,Black,Fluorescent,Fish82,FishShiira,FtrFishShiira,4202.0,D7gY39QDo8BBNs2Ne
33.0,mitten crab,https://acnhcdn.com/latest/MenuIcon/Fish66.png,https://acnhcdn.com/latest/BookFishIcon/FishSyanhaiganiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishShanghai.png,2000.0,River,Small,Hard,Narrow,20.0,3–5,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,1x1,No,"The mitten crab was named for its impossibly adorable and fuzzy little pincers. These cute crustaceans embark on quite the journey. They're first born in brackish waters. Then they mature in freshwater. Finally, they travel to the ocean to create more mitten crabs!Hoo! How I delight in the thought of thousands of tiny mittened crabs scuttling about!",I caught a mitten crab! One more and I'm ready for winter!,71.0,Pet,Black,Blue,No lighting,Fish66,FishSyanhaigani,FtrFishShanghai,2244.0,s2jqSYbMWBX6qCLDm
64.0,moray eel,https://acnhcdn.com/latest/MenuIcon/Fish55.png,https://acnhcdn.com/latest/BookFishIcon/FishUtsuboCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishUtsubo.png,2000.0,Sea,Long,Easy,Medium,20.0,2,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,2x1,Yes,"Despite its rather frightening features, the moray eel is really a very cowardly fish. It lives its life hiding in caves, and will only attack if you're looking for a fight. You've heard of a ""bark that is worse than the bite""? Well, the moray eel has a face that's worse than its fight!","I caught a moray eel! When you're in love, that's a moray!",71.0,Pet,Brown,Black,Fluorescent,Fish55,FishUtsubo,FtrFishUtsubo,2271.0,4nLynLTMRtoqcCfh4
52.0,Napoleonfish,https://acnhcdn.com/latest/MenuIcon/Fish43.png,https://acnhcdn.com/latest/BookFishIcon/FishNaporeonfishCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishNaporeonfish.png,10000.0,Sea,XX-Large,Hard,Medium,50.0,1,NA,NA,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2x1,Yes,"Quite the catch you've brought! The stately and debonair Napoleonfish is truly something to behold. Those beady eyes! That bumpy head! That bold blue-green coloring! Alas, this quirky creature is quite endangered due to a variety of factors. Needless to say, we must do our very best to take care of our lumpy friend and its environment.",I caught a Napoleonfish! It's not as big as it thinks!,71.0,Pet,Light blue,Black,Fluorescent,Fish43,FishNaporeonfish,FtrFishNaporeonfish,2260.0,dm4THC3AYR6CZ8bvJ
38.0,neon tetra,https://acnhcdn.com/latest/MenuIcon/Fish31.png,https://acnhcdn.com/latest/BookFishIcon/FishNeontetoraCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishNeontetora.png,500.0,River,X-Small,Easy,Medium,0.0,2–3,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,1x1,No,"Hoo! Wonderful! The neon tetra is truly a marvel of the tropical-fish world. Just look at how tiny it is! And how very filled with...neon! I imagine its environment must be just as flashy as it is for it to have developed such colors. I wonder how flashy I might be, had I been raised somewhere even half as vibrant?",I caught a neon tetra! Wasn't hard to track.,71.0,Pet,Light blue,Black,Fluorescent,Fish31,FishNeontetora,FtrFishNeontetora,2248.0,aEyRb96wcz9m8yjFN
35.0,nibble fish,https://acnhcdn.com/latest/MenuIcon/Fish67.png,https://acnhcdn.com/latest/BookFishIcon/FishDokutaafishCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishDoctor.png,1500.0,River,X-Small,Medium,Narrow,20.0,2,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,1x1,No,Nibble fish are best known for their use in a certain skin treatment. This treatment has apparently been used for thousands of years. I have never experienced said treatment because they eat your dead skin with their little toothless mouths! Can you imagine anything so repellent?! Please don't ask me any follow-up questions. Hoo.,"I caught a nibble fish! Come to think of it, I could use a bite!",71.0,Pet,Brown,Blue,No lighting,Fish67,FishDokutaafish,FtrFishDoctor,2246.0,pkPKYsMiXsTWNz4L4
78.0,oarfish,https://acnhcdn.com/latest/MenuIcon/Fish69.png,https://acnhcdn.com/latest/BookFishIcon/FishRyuuguunotukaiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishRyugu.png,9000.0,Sea,XX-Large,Hard,Very Narrow,50.0,1,All day,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,3x2,No,"The oarfish is a long, eel-like fish that can supposedly reach up to 36 feet in length. They appear in various legends as things like messengers of the gods. It seems to me a creature like that could explain the myth of massive, ship-crushing sea serpents. It is, of course, well documented that people tend to exaggerate the size of ""the one that got away"".",I caught an oarfish! I hope I catch morefish!,71.0,Pet,Red,Blue,No lighting,Fish69,FishRyuuguunotukai,FtrFishRyugu,2283.0,qgvEPGk759xaBqwXP
70.0,ocean sunfish,https://acnhcdn.com/latest/MenuIcon/Fish60.png,https://acnhcdn.com/latest/BookFishIcon/FishManbouCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishManbou.png,4000.0,Sea,X-Large w/Fin,Hard,Very Narrow,20.0,1,NA,NA,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,2x2,No,"The ocean sunfish is a large relative of the blowfish with an unusual shape, like a fish head with a tail. They are a fairly relaxed species, often content to ride where the currents take them. This is fortunate as, otherwise, the sight of a large head coming toward you might be alarming!",I caught an ocean sunfish! Good thing I'm wearing ocean sunscreen!,71.0,Pet,Blue,Orange,No lighting,Fish60,FishManbou,FtrFishManbou,2278.0,6BwK6LHbjFAKzgE82
62.0,olive flounder,https://acnhcdn.com/latest/MenuIcon/Fish51.png,https://acnhcdn.com/latest/BookFishIcon/FishHirameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishHirame.png,800.0,Sea,X-Large,Medium,Narrow,0.0,4–6,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,2x1,Yes,"Did you know that the olive flounder is the same shape as other fish when it hatches? But as it grows, it gets both wider and flatter, and can reach some three feet long. These flat fish spend much of their lives buried under the sandy ocean floor, waiting for prey to happen by. Imagine the surprise for said prey when they strike. It would be as if your kitchen floor were to bite you.",I caught an olive flounder! That's not the pits!,71.0,Pet,Beige,Black,Fluorescent,Fish51,FishHirame,FtrFishHirame,2269.0,TXSteKMHuQ9ZfqPXm
2.0,pale chub,https://acnhcdn.com/latest/MenuIcon/Fish1.png,https://acnhcdn.com/latest/BookFishIcon/FishOikawaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishOikawa.png,200.0,River,X-Small,Easy,Wide,0.0,6–9,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,1x1,No,"The pale chub is a river fish with simple back-and-silver coloring. Interestingly, the males' coloring becomes most vibrant when he's trying to attract a mate! Though normally plain, these fellows really know how to look stylish when they want to. Perhaps I could learn a thing or two from the pale chub...",I caught a pale chub! That name seems a bit judgy...,71.0,Pet,Blue,Blue,No lighting,Fish1,FishOikawa,FtrFishOikawa,2216.0,pCn9TLap3rWiLYfnF
24.0,pike,https://acnhcdn.com/latest/MenuIcon/Fish20.png,https://acnhcdn.com/latest/BookFishIcon/FishPaikuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishPaiku.png,1800.0,River,X-Large,Medium,Medium,20.0,1–2,NA,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,2x1,Yes,"The pike has always reminded me a bit of salmon, although a pike can grow rather larger. These brutes can grow to over four feet long, sometimes MUCH over! Hoo hoo! It is carnivorous and preys not only on other fish, but also mammals and some waterfowl. If I were to ever meet one in the water, I would have a most difficult time keeping my wits about me.",I caught a pike! Think a swordfish would be up for a duel?,71.0,Pet,Green,Black,Fluorescent,Fish20,FishPaiku,FtrFishPaiku,2235.0,XxrB6iKQPhBkYKaXD
40.0,piranha,https://acnhcdn.com/latest/MenuIcon/Fish32.png,https://acnhcdn.com/latest/BookFishIcon/FishPiraniaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishPirania.png,2500.0,River,Small,Very Easy,Very Wide,20.0,1–3,NA,NA,NA,NA,NA,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,NA,NA,NA,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,9 AM – 4 PM; 9 PM – 4 AM,1x1,Yes,"I am not exactly a fan of the piranha, despite knowing that they're mostly harmless. But those nasty, pointy teeth, Hoo. These infamous little blighters will attack when in groups. Imagine all of those hundreds of tiny teeth! To think that they're floundering about our peaceful waters, just waiting to strike. Well, never fear— I shall keep THIS one under the strictest lock and key, with nary a bathroom break allowed!",I caught a piranha! Sure hope it was the only one!,71.0,Pet,Green,Black,Fluorescent,Fish32,FishPirania,FtrFishPirania,2249.0,5C59HAFxmwNSjH4Zq
25.0,pond smelt,https://acnhcdn.com/latest/MenuIcon/Fish21.png,https://acnhcdn.com/latest/BookFishIcon/FishWakasagiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishWakasagi.png,400.0,River,Small,Easy,Wide,0.0,18–20,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,1x1,No,"For many, thinking of pond smelt inevitably leads to thoughts of ice fishing in frozen rivers and lakes. Ice fishing involves making a round hole in the ice, dropping in your fishing line, and...waiting. Not to rain on anyone else's idea of fun, but...well, perhaps I shouldn't say anything.",I caught a pond smelt! Whoever smelt it dealt it!,71.0,Pet,Orange,Blue,No lighting,Fish21,FishWakasagi,FtrFishWakasagi,2236.0,DDb2GPEjapPmbYbWG
