Name,Image,High-Res Texture,Genuine,Category,Buy,Sell,Color 1,Color 2,Size,Real Artwork Title,Artist,Description,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
scary painting,https://acnhcdn.com/latest/FtrIcon/FtrArtOotaniOniji.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,Ōtani Oniji the 3rd as Yakko Edobei,"Tōshūsai Sharaku, 1794, Woodblock print","A print from the mid-Edo period by Tōshūsai Sharaku depicting a famous actor of the time. Sharaku made roughly 140 ukiyo-e prints in his career, even though it only spanned around 10 months!",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtOotaniOniji,66.0,mPutXzCMyFowYqPHu
scary painting,https://acnhcdn.com/latest/FtrIcon/FtrArtOotaniOnijiFake.png,,No,Wall-mounted,4980.0,0.0,None,None,1x1,Ōtani Oniji the 3rd as Yakko Edobei,"Tōshūsai Sharaku, 1794, Woodblock print","A print from the mid-Edo period by Tōshūsai Sharaku depicting a famous actor of the time. Sharaku made roughly 140 ukiyo-e prints in his career, even though it only spanned around 10 months!",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtOotaniOnijiFake,65.0,xfEX3LgBZxdy8cWnv
scenic painting,https://acnhcdn.com/latest/FtrIcon/FtrArtHunterSnow.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,2x1.5,The Hunters in The Snow,"Pieter Brueghel the Elder, 1565, Oil on wood panel","A landscape artist from the late Renaissance period, Brueghel was known as the ""Peasant Artist."" He earned the title for depicting scenes from common peasant life, such as the moment captured here. Note the contrast between the weary hunters and the people frolicking below on icy ponds.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtHunterSnow,2.0,9zdd3tRyrgvHg7MHR
scenic painting,https://acnhcdn.com/latest/FtrIcon/FtrArtHunterSnowFake.png,,No,Wall-mounted,4980.0,0.0,None,None,2x1.5,The Hunters in The Snow,"Pieter Brueghel the Elder, 1565, Oil on wood panel","A landscape artist from the late Renaissance period, Brueghel was known as the ""Peasant Artist."" He earned the title for depicting scenes from common peasant life, such as the moment captured here. Note the contrast between the weary hunters and the people frolicking below on icy ponds.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtHunterSnowFake,12629.0,xXvgi6GY62Kiy7ZPc
serene painting,https://acnhcdn.com/latest/FtrIcon/FtrArtPortraitCecilia.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,Lady with an Ermine,"Leonardo da Vinci, circa 1490, Oil on wood panel","One of only four portraits of women painted by da Vinci, one of which is the ""Mona Lisa. ""Some believe that the ""ermine"" is not actually an ermine, but rather a white ferret!",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtPortraitCecilia,24.0,xWDYCn59iCuXXFYCa
serene painting,https://acnhcdn.com/latest/FtrIcon/FtrArtPortraitCeciliaFake.png,,No,Wall-mounted,4980.0,0.0,None,None,1x1,Lady with an Ermine,"Leonardo da Vinci, circa 1490, Oil on wood panel","One of only four portraits of women painted by da Vinci, one of which is the ""Mona Lisa. ""Some believe that the ""ermine"" is not actually an ermine, but rather a white ferret!",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtPortraitCeciliaFake,23.0,DAFG5byhuAns7SeNJ
sinking painting,https://acnhcdn.com/latest/FtrIcon/FtrArtOphelia.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,Ophelia,"John Everett Millais, 1852, Oil on canvas","Ophelia is a tragic figure in the Shakespearean play ""Hamlet."" There is an otherworldly expression on her face as she lies unconscious in a river. She is surrounded by the beauty of nature as she floats between life and death.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtOphelia,12621.0,7ku7mD4CEkRPAfvgf
solemn painting,https://acnhcdn.com/latest/FtrIcon/FtrArtLasMeninas.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,2x2,Las Meninas,"Diego Velázquez, circa 1656, Oil on canvas","This famous piece by Velázquez, who served the Spanish court, shows us something about perspective. It depicts a young princess with her ""ladies-in-waiting."" The artist himself is seen to the left. The king and queen are reflected in the mirror to the artist's right, so the perspective is that of the king. The king...watching the artist...paint the king and the queen...",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtLasMeninas,72.0,Rdxe9rejLcZB9FPPj
solemn painting,https://acnhcdn.com/latest/FtrIcon/FtrArtLasMeninasFake.png,,No,Wall-mounted,4980.0,0.0,None,None,2x2,Las Meninas,"Diego Velázquez, circa 1656, Oil on canvas","This famous piece by Velázquez, who served the Spanish court, shows us something about perspective. It depicts a young princess with her ""ladies-in-waiting."" The artist himself is seen to the left. The king and queen are reflected in the mirror to the artist's right, so the perspective is that of the king. The king...watching the artist...paint the king and the queen...",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtLasMeninasFake,71.0,nk6zayAkJFzinuKDK
tremendous statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureHoumuwuDing.png,NA,Yes,Housewares,4980.0,1245.0,None,None,2x1,Houmuwu Ding,"Artist Unknown, 1200 BCE, Bronze",This bronze ding from ancient China is the largest and heaviest ever found. The script on the inside suggests it was created to honor the king's mother.,Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureHoumuwuDing,12537.0,jNGr7gorm7HSW3saj
tremendous statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureHoumuwuDingFake.png,NA,No,Housewares,4980.0,0.0,None,None,2x1,Houmuwu Ding,"Artist Unknown, 1200 BCE, Bronze",This bronze ding from ancient China is the largest and heaviest ever found. The script on the inside suggests it was created to honor the king's mother.,Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureHoumuwuDingFake,12538.0,JixcFeWLnkcAy7rnu
twinkling painting,https://acnhcdn.com/latest/FtrIcon/FtrArtStarryNight.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,The Starry Night,"Vincent van Gogh, 1889, Oil on canvas","Van Gogh's signature piece, painted while he was hospitalized at an asylum. This view from his room includes memories and imaginations. In letters to friends, the artist called it a failure.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtStarryNight,12618.0,vd2Naaf6TREFTQsdy
valiant statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureSamothrace.png,NA,Yes,Housewares,4980.0,1245.0,None,None,2x2,Nike of Samothrace,"Artist Unknown, circa 190 BCE, Marble","A statue of the goddess of victory, Nike, found on Samothrace. It shows Nike alighting on the prow of a ship. Originally found in separate pieces, it has largely been restored, but the arms and head are still missing.",Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureSamothrace,1345.0,stPbtNz5bpPCb3eRy
valiant statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureSamothraceFake.png,NA,No,Housewares,4980.0,0.0,None,None,2x2,Nike of Samothrace,"Artist Unknown, circa 190 BCE, Marble","A statue of the goddess of victory, Nike, found on Samothrace. It shows Nike alighting on the prow of a ship. Originally found in separate pieces, it has largely been restored, but the arms and head are still missing.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureSamothraceFake,1346.0,FWFGsBRxrdnE4RSXa
warm painting,https://acnhcdn.com/latest/FtrIcon/FtrArtClothedMaja.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,2x1,The Clothed Maja,"Francisco de Goya, circa 1805, Oil on canvas","It is said that this painting is a more discreet version of an earlier work known as ""The Nude Maja."" It is also known that Francisco de Goya was quite popular in his own time. Could these facts be related? A third, unrelated fact-the word ""maja"" refers to a ""stylish young lady of Madrid.""",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtClothedMaja,34.0,SD7NXc97t2b4f74xi
warrior statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureHeibayo.png,NA,Yes,Housewares,4980.0,1245.0,None,None,1x1,Terracotta Army,"Artist Unknown, 210 BCE, Earthenware","These terracotta warriors were buried with the first Qin emperor to protect him in the afterlife. Nearly 2,000 years later, in 1974, about 8,000 of them were found. Each life-sized statue is said to have been handmade with different poses, expressions, and clothing.",Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureHeibayo,12539.0,5ZWqwpgKjNRGgT44E
warrior statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureHeibayoFake.png,NA,No,Housewares,4980.0,0.0,None,None,1x1,Terracotta Army,"Artist Unknown, 210 BCE, Earthenware","These terracotta warriors were buried with the first Qin emperor to protect him in the afterlife. Nearly 2,000 years later, in 1974, about 8,000 of them were found. Each life-sized statue is said to have been handmade with different poses, expressions, and clothing.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureHeibayoFake,12540.0,phB8tH4gdSYwq48Gs
wild painting left half,https://acnhcdn.com/latest/FtrIcon/FtrArtRaijin.png,,Yes,Housewares,4980.0,1245.0,None,None,2x1,Folding Screen of Fūjin and Raijin,"Tawaraya Sōtatsu, 17th century, Gold leaf and ink on paper","This folding screen shows dynamic brushwork of Fūjin and Raijin on a gold-leaf background. It is thought to be the masterpiece of Tawaraya Sōtatsu, an early-Edo- period artist. The simplification of the subjects is a style that was carried on by Ogata Kōrin. It's a style still in use today in the Rinpa school of Japanese painting.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtRaijin,12570.0,hMQkJiQG5cNGQxKCE
wild painting left half,https://acnhcdn.com/latest/FtrIcon/FtrArtRaijinFake.png,,No,Housewares,4980.0,0.0,None,None,2x1,Folding Screen of Fūjin and Raijin,"Tawaraya Sōtatsu, 17th century, Gold leaf and ink on paper","This folding screen shows dynamic brushwork of Fūjin and Raijin on a gold-leaf background. It is thought to be the masterpiece of Tawaraya Sōtatsu, an early-Edo- period artist. The simplification of the subjects is a style that was carried on by Ogata Kōrin. It's a style still in use today in the Rinpa school of Japanese painting.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtRaijinFake,12571.0,E9szuomHevSfq8yY3
wild painting right half,https://acnhcdn.com/latest/FtrIcon/FtrArtFuujin.png,,Yes,Housewares,4980.0,1245.0,None,None,2x1,Folding Screen of Fūjin and Raijin,"Tawaraya Sōtatsu, 17th century, Gold leaf and ink on paper","This folding screen shows dynamic brushwork of Fūjin and Raijin on a gold-leaf background. It is thought to be the masterpiece of Tawaraya Sōtatsu, an early-Edo- period artist. The simplification of the subjects is a style that was carried on by Ogata Kōrin. It's a style still in use today in the Rinpa school of Japanese painting.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtFuujin,76.0,rcXt6qMXZh9jj4ojN
wild painting right half,https://acnhcdn.com/latest/FtrIcon/FtrArtFuujinFake.png,,No,Housewares,4980.0,0.0,None,None,2x1,Folding Screen of Fūjin and Raijin,"Tawaraya Sōtatsu, 17th century, Gold leaf and ink on paper","This folding screen shows dynamic brushwork of Fūjin and Raijin on a gold-leaf background. It is thought to be the masterpiece of Tawaraya Sōtatsu, an early-Edo- period artist. The simplification of the subjects is a style that was carried on by Ogata Kōrin. It's a style still in use today in the Rinpa school of Japanese painting.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtFuujinFake,75.0,aKefsi2sySXJkzPLo
wistful painting,https://acnhcdn.com/latest/FtrIcon/FtrArtPearlEarring.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,Girl with a Pearl Earring,"Johannes Vermeer, circa 1665, Oil on canvas","Also known as ""Girl with a Turban,"" this piece uses ultramarine paint, which was expensive at the time. It seems the expense was worth it, as the vivid blue colors draw the eye and help make the piece a classic. The only question is... Is that a real pearl earring? Or something else...",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtPearlEarring,28.0,Mupx2ny4sM3Kbfs3v
wistful painting,https://acnhcdn.com/latest/FtrIcon/FtrArtPearlEarringFake.png,,No,Wall-mounted,4980.0,0.0,None,None,1x1,Girl with a Pearl Earring,"Johannes Vermeer, circa 1665, Oil on canvas","Also known as ""Girl with a Turban,"" this piece uses ultramarine paint, which was expensive at the time. It seems the expense was worth it, as the vivid blue colors draw the eye and help make the piece a classic. The only question is... Is that a real pearl earring? Or something else...",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtPearlEarringFake,27.0,c7zw6f8Dbe5h9oJni
worthy painting,https://acnhcdn.com/latest/FtrIcon/FtrArtLibertyLeading.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,2x1.5,Liberty Leading the People,"Eugène Delacroix, 1830, Oil on canvas","Painted by leading 19th century Romantic artist Delacroix in the same year as a French revolution. The woman in the center is often mistaken for Joan of Arc, but she is actually the fictional ""Marianne.""",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtLibertyLeading,68.0,8R3LhTWJzqHmPPPvK
