Name,Icon Image,Photo Image,House Image,Species,Gender,Personality,Subtype,Hobby,Birthday,Catchphrase,Favorite Song,Favorite Saying,Style 1,Style 2,Color 1,Color 2,Default Clothing,Wallpaper,Flooring,Furniture List,Furniture Name List,Filename,Unique Entry ID
Claude,https://acnhcdn.com/latest/NpcIcon/rbt11.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt11.png,https://acnhcdn.com/drivesync/render/houses/rbt11_325_Claude.png,Rabbit,Male,Lazy,A,Nature,12/3,hopalong,Pondering,Don't judge a rabbit by its ears.,Simple,Simple,Black,Colorful,8202.0,manga-library wall,simple white flooring,1241;3672;1759;2605;2560;4003;2554;3439;3438;7466;7599;2731,DIY workbench;cardboard box;stack of books;wooden simple bed;wooden chest;cute music player;double sofa;wooden table;wooden end table;retro dotted rug;board game;digital alarm clock,rbt11,PPFtt3uWkRQNMg2tZ
Claudia,https://acnhcdn.com/latest/NpcIcon/tig05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlTig05.png,https://acnhcdn.com/drivesync/render/houses/tig05_375_Claudia.png,Tiger,Female,Snooty,A,Music,11/22,ooh la la,K.K. Synth,A tiger can't change its stripes.,Gorgeous,Elegant,Purple,White,4737.0,cityscape wall,simple red flooring,3957;2554;790;3615;3971;1840;3971;4030;3951;4107;975;4017,antique bed;double sofa;hi-fi stereo;open-frame kitchen;imperial partition;whirlpool bath;imperial partition;bathroom towel rack;antique console table;infused-water dispenser;fruit basket;shower set,tig05,xCyuFvwryTntgPgvW
Clay,https://acnhcdn.com/latest/NpcIcon/ham05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHam05.png,https://acnhcdn.com/drivesync/render/houses/ham05_197_Clay.png,Hamster,Male,Lazy,A,Nature,10/19,thump,K.K. Safari,Life is just a bowl of cherries.,Elegant,Simple,Beige,Brown,7859.0,dig-site wall,dig-site flooring,3675;343;343;1430;295;3398;303;4073;7393;3398;2559,hay bed;tiki torch;tiki torch;bonfire;ammonite;stone stool;trilobite;classic pitcher;pond stone;stone stool;pot,ham05,K9s2bvx54sfHw8mZ8
Cleo,https://acnhcdn.com/latest/NpcIcon/hrs07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs07.png,https://acnhcdn.com/drivesync/render/houses/hrs07_7_Cleo.png,Horse,Female,Snooty,A,Education,2/9,sugar,K.K. Fusion,There's something lovable in all of us.,Cute,Elegant,Light blue,White,4570.0,office wall,monochromatic tile flooring,3672;4125;3672;1708;832;832;4116;840;1744;3987;3987;1850;3560;840;1750;3590,cardboard box;wooden bookshelf;cardboard box;cassette player;modern office chair;modern office chair;whiteboard;office desk;wall clock;wall-mounted phone;wall-mounted phone;laptop;iron worktable;office desk;document stack;desktop computer,hrs07,XwxskQMt5rJT8EnH5
Clyde,https://acnhcdn.com/latest/NpcIcon/hrs10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs10.png,https://acnhcdn.com/drivesync/render/houses/hrs10_215_Clyde.png,Horse,Male,Lazy,B,Play,5/1,clip clawp,Neapolitan,The grass is always greener.,Simple,Cute,Green,White,8966.0,orange wall,birch flooring,1792;7392;4546;1263;1241;3616;2713;7134;3975;4011;3976,cushion;candy machine;pear bed;pear wardrobe;DIY workbench;system kitchen;refrigerator;wooden low table;orange end table;cherry speakers;orange wall-mounted clock,hrs10,2iBqzRfTRaddw2EXi
Coach,https://acnhcdn.com/latest/NpcIcon/bul07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBul07.png,https://acnhcdn.com/drivesync/render/houses/bul07_50_Coach.png,Bull,Male,Jock,A,Fitness,4/29,stubble,Mr. K.K.,"Fool me once, shame on you. Fool me twice, shame on me.",Active,Active,Blue,Red,3246.0,chain-link fence,racetrack flooring,2010;3821;7535;4006;4006;4081;7535;2020;4226;4006;3946;7800;3960,ball;air circulator;kettlebell;climbing wall;climbing wall;camping cot;kettlebell;director's chair;basketball hoop;climbing wall;outdoor table;protein shaker bottle;handy water cooler,bul07,mYwCLsd8MxLwWALjQ
Cobb,https://acnhcdn.com/latest/NpcIcon/pig08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPig08.png,https://acnhcdn.com/drivesync/render/houses/pig08_305_Cobb.png,Pig,Male,Jock,B,Education,10/7,hot dog,Pondering,Might makes right.,Simple,Active,White,Blue,8946.0,gray shanty wall,concrete flooring,1434;4125;4125;4125;1750;3968;3943;7371;1759;4116;3672;3697;4034;7159;4034;1759;1759,sleeping bag;wooden bookshelf;wooden bookshelf;wooden bookshelf;document stack;homework set;ironwood DIY workbench;sloppy rug;stack of books;whiteboard;cardboard box;portable radio;scattered papers;cardboard sofa;scattered papers;stack of books;stack of books,pig08,mTNPvAaoYMmPndYnm
Coco,https://acnhcdn.com/latest/NpcIcon/rbt02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt02.png,https://acnhcdn.com/drivesync/render/houses/rbt02_316_Coco.png,Rabbit,Female,Normal,B,Education,3/1,doyoing,K.K. Jongara,Don't put off till tomorrow what you can do today.,Simple,Cute,Beige,Green,4167.0,rammed-earth wall,floral rush-mat flooring,4393;4073;343;343;3398;3398;3675;3229;3397;4073;4025;2559,old-fashioned washtub;classic pitcher;tiki torch;tiki torch;stone stool;stone stool;hay bed;clothesline;stone table;classic pitcher;unglazed dish set;pot,rbt02,2g7sGcTtHcJeWtwNM
Cole,https://acnhcdn.com/latest/NpcIcon/rbt18.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt18.png,https://acnhcdn.com/drivesync/render/houses/rbt18_332_Cole.png,Rabbit,Male,Lazy,A,Nature,8/10,coooooool,K.K. Faire,Little pitchers have big ears.,Simple,Cute,Orange,Colorful,3288.0,tropical vista,sandy-beach flooring,3468;7259;665;664;669;1117;7148;7868;9584;3697;3345;7359,beach towel;palm-tree lamp;wave breaker;beach chair;ukulele;sand castle;life ring;surfboard;beach ball;portable radio;lifeguard chair;colorful vinyl sheet,rbt18,YaWjP3XtbFqn8YPNd
Colton,https://acnhcdn.com/latest/NpcIcon/hrs11.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs11.png,https://acnhcdn.com/drivesync/render/houses/hrs11_216_Colton.png,Horse,Male,Smug,A,Nature,5/22,check it,K.K. Chorale,Make hay while the sun shines.,Gorgeous,Elegant,Blue,Red,4433.0,palace wall,palace tile,7236;2554;5956;3681;3957;1875;742;915;685,lily record player;double sofa;Aquarius urn;piano bench;antique bed;grand piano;fireplace;cuckoo clock;Dala horse,hrs11,GgsrLhmh3FL4ZiAPB
Cookie,https://acnhcdn.com/latest/NpcIcon/dog08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog08.png,https://acnhcdn.com/drivesync/render/houses/dog08_126_Cookie.png,Dog,Female,Peppy,B,Fashion,6/18,arfer,Bubblegum K.K.,Don't lose sight of what you're really after.,Cute,Cute,Green,Light blue,7916.0,pink quilt wall,birch flooring,7134;3624;4001;3995;3998;3997;4002;4000;3996;4003;7322,wooden low table;cute bed;cute vanity;cute DIY table;cute sofa;cute wardrobe;cute floor lamp;cute tea table;cute wall-mounted clock;cute music player;pink heart rug,dog08,YvNrsTEJsqkpdRNqL
Cousteau,https://acnhcdn.com/latest/NpcIcon/flg10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg10.png,https://acnhcdn.com/drivesync/render/houses/flg10_167_Cousteau.png,Frog,Male,Jock,B,Fitness,12/17,oui oui,Imperial K.K.,"Jump first, ask questions later.",Elegant,Gorgeous,Green,Red,2672.0,exquisite wall,imperial tile,10742;10742;7796;8415;3971;7797;3974;3970;329;7797;3972;794;7282,bamboo stool;bamboo stool;imperial dining table;imperial dining lantern;imperial partition;imperial dining chair;imperial low table;imperial decorative shelves;goldfish;imperial dining chair;imperial chest;phonograph;hanging scroll,flg10,XPhZym7Wxu926eLD8
Cranston,https://acnhcdn.com/latest/NpcIcon/ost06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlOst06.png,https://acnhcdn.com/drivesync/render/houses/ost06_273_Cranston.png,Ostrich,Male,Lazy,A,Nature,9/23,sweatband,K.K. Faire,Hard work beats talent.,Simple,Cool,Beige,Brown,4154.0,white subway-tile wall,stone tile,3971;3973;3974;3949;725;7348;7348;3972;3428;4338;997;7282;3970;8415,imperial partition;imperial bed;imperial low table;anthurium plant;paper lantern;red carpet;red carpet;imperial chest;wall-mounted TV (50 in.);portable record player;incense burner;hanging scroll;imperial decorative shelves;imperial dining lantern,ost06,Wbivs7b7D3NZ7q9y9
Croque,https://acnhcdn.com/latest/NpcIcon/flg17.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg17.png,https://acnhcdn.com/drivesync/render/houses/flg17_173_Croque.png,Frog,Male,Cranky,A,Nature,7/18,as if,K.K. Folk,"Where there's smoke, there's fire.",Elegant,Cool,Red,Orange,9127.0,autumn wall,colored-leaves flooring,7142;10743;533;533;533;3675;7345;7788;7390;7408,simple DIY workbench;bamboo speaker;tree standee;tree standee;tree standee;hay bed;shanty mat;leaf campfire;leaf stool;maple-leaf pond stone,flg17,SqHZjtuNfu7DAXYDE
Cube,https://acnhcdn.com/latest/NpcIcon/pgn02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPgn02.png,https://acnhcdn.com/drivesync/render/houses/pgn02_289_Cube.png,Penguin,Male,Lazy,B,Play,1/29,brainfreeze,Farewell,Sometimes you gotta learn to chill.,Simple,Cute,Yellow,Colorful,8203.0,snowflake wall,simple white flooring,1557;2558;83;3205;1565;4279;7346;5543;4067;1561;1145;4003;1559,wooden-block bed;wooden-block chair;rocking horse;wooden-block stereo;wooden-block table;frozen-treat set;snowflake rug;wooden-blockstool;tabletop festive tree;wooden-block chest;snow globe;cute music player;wooden-block bench,pgn02,YskkqbSnYwCh63Sru
Curlos,https://acnhcdn.com/latest/NpcIcon/shp08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlShp08.png,https://acnhcdn.com/drivesync/render/houses/shp08_345_Curlos.png,Sheep,Male,Smug,B,Nature,5/8,shearly,K.K. Salsa,"If you want to know yourself better, ask your neighbors.",Active,Gorgeous,Red,Green,8204.0,wild-wood wall,dark herringbone flooring,791;2554;7348;1803;1277;1177;4139;954;4123;4138;383;4144;704,jukebox;double sofa;red carpet;drum set;cacao tree;foosball table;diner counter table;espresso maker;mini-cactus set;diner counter chair;acoustic guitar;diner neon clock;tapestry,shp08,B6tM7dBSpcaMrAGrF
Curly,https://acnhcdn.com/latest/NpcIcon/pig00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPig00.png,https://acnhcdn.com/drivesync/render/houses/pig00_300_Curly.png,Pig,Male,Jock,B,Fitness,7/26,nyoink,K.K. Reggae,Get fired up!,Simple,Active,Yellow,Colorful,5262.0,common wall,wooden-knot flooring,4030;2554;3251;2713;1232;8298;1229;5543;3439;4003;4118;7352;3282,bathroom towel rack;double sofa;gas range;refrigerator;water cooler;bunk bed;bathroom sink;wooden-blockstool;wooden table;cute music player;magnetic knife rack;yellow argyle rug;pop-up toaster,pig00,kRGwwKyoSLKh9g2Tk
Curt,https://acnhcdn.com/latest/NpcIcon/bea02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBea02.png,https://acnhcdn.com/drivesync/render/houses/bea02_388_Curt.png,Bear,Male,Cranky,A,Nature,7/1,fuzzball,Comrade K.K.,A Bell saved is a Bell earned.,Cool,Cool,Blue,White,6835.0,chain-link fence,sandlot,787;1433;1434;4393;4094;7163;3229;3819;1429;3672;889,tape deck;campfire cookware;sleeping bag;old-fashioned washtub;floating-biotope planter;cardboard chair;clothesline;oil-barrel bathtub;campfire;cardboard box;camp stove,bea02,w7y7v3w49B7KkDXbg
Cyd,https://acnhcdn.com/latest/NpcIcon/elp12.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlElp12.png,https://acnhcdn.com/drivesync/render/houses/elp12_158_Cyd.png,Elephant,Male,Cranky,A,Music,6/9,rockin',K.K. Metal,"Do what you want, but do it loud!",Cool,Active,Black,Yellow,3256.0,skull wall,skull-print flooring,3943;3200;3195;1803;3270;9642;3193;3196;3559;132;4757,ironwood DIY workbench;ironwood bed;ironwood cart;drum set;ironwood kitchenette;iron closet;ironwood chair;ironwood dresser;iron wall lamp;succulent plant;throwback skull radio,elp12,edCh8EDStBMbyskYa
Cyrano,https://acnhcdn.com/latest/NpcIcon/ant00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlAnt00.png,https://acnhcdn.com/drivesync/render/houses/ant00_12_Cyrano.png,Anteater,Male,Cranky,B,Education,3/9,ah-CHOO,K.K. Lament,Don't punch your nose to spite your face.,Cool,Active,Yellow,Beige,4249.0,shoji screen,tatami,722;3230;3658;3556;3554;7048;7047;716,hearth;futon;bamboo basket;bamboo stopblock;bamboo candleholder;pile of zen cushions;zen cushion;screen,ant00,JaNDeYdAuiJCYZbAx
Daisy,https://acnhcdn.com/latest/NpcIcon/dog07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog07.png,https://acnhcdn.com/drivesync/render/houses/dog07_125_Daisy.png,Dog,Female,Normal,B,Education,11/16,bow-WOW,Forest Life,It's not always a dog-eat-dog world.,Simple,Cute,Colorful,Blue,4613.0,blue blossoming wall,simple white flooring,4125;4132;3701;3702;2560;4003;4111;7134;3467;7132;3252;7346,wooden bookshelf;yucca;writing desk;writing chair;wooden chest;cute music player;old-fashioned alarm clock;wooden low table;tea set;wooden double bed;LCD TV (50 in.);snowflake rug,dog07,2u92atfG2uMg2J8sS
Deena,https://acnhcdn.com/latest/NpcIcon/duk04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk04.png,https://acnhcdn.com/drivesync/render/houses/duk04_137_Deena.png,Duck,Female,Normal,B,Education,6/27,woowoo,Mr. K.K.,Duck...duck...GOOSE!,Simple,Cute,Colorful,Blue,3059.0,perforated-board wall,natural-block flooring,1875;3681;1058;1449;833;2012;1308;1308;4121;1744,grand piano;piano bench;music stand;cello;upright locker;chalkboard;school chair;school chair;marimba;wall clock,duk04,dXBazBPxXu9QGrAzM
Deirdre,https://acnhcdn.com/latest/NpcIcon/der04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDer04.png,https://acnhcdn.com/drivesync/render/houses/der04_112_Deirdre.png,Deer,Female,Big Sister,A,Play,5/4,whatevs,K.K. Bossa,"Legs of an antelope, heart of an eagle.",Simple,Simple,Orange,Orange,7844.0,autumn wall,colored-leaves flooring,7142;4038;808;4003;6081;4708;805;1620;3808;6075;6078,simple DIY workbench;log stool;mush table;cute music player;tree's bounty arch;mush low stool;mush lamp;hammock;mush log;tree's bounty mobile;tree's bounty lamp,der04,ibnMhhdYMGHYr9RAZ
Del,https://acnhcdn.com/latest/NpcIcon/crd04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCrd04.png,https://acnhcdn.com/drivesync/render/houses/crd04_105_Del.png,Alligator,Male,Cranky,B,Fitness,5/27,gronk,Pondering,The hero is brave in deeds as well as words.,Cool,Simple,Blue,White,2655.0,industrial wall,ship deck,3563;3943;3560;3992;1567;1567;8417;7529;7529;7526;4026;7280;7280;3560;7528;7262;7599;7280,iron shelf;ironwood DIY workbench;iron worktable;key holder;oil barrel;oil barrel;wall-mounted tool board;folding chair;folding chair;outdoor generator;utility sink;gears;gears;iron worktable;tool cart;metal can;board game;gears,crd04,Eqn3ZXJtMBrEYtm7u
Deli,https://acnhcdn.com/latest/NpcIcon/mnk08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMnk08.png,https://acnhcdn.com/drivesync/render/houses/mnk08_249_Deli.png,Monkey,Male,Lazy,A,Nature,5/24,monch,K.K. Étude,"Righty tighty, lefty loosey.",Gorgeous,Elegant,Purple,Brown,3262.0,blue simple-cloth wall,simple blue flooring,4125;3584;929;3701;3702;2554;3490;3438;2560;2605;7134;4111;1411;4003;1850;7467,wooden bookshelf;writing poster;air conditioner;writing desk;writing chair;double sofa;wooden waste bin;wooden end table;wooden chest;wooden simple bed;wooden low table;old-fashioned alarm clock;globe;cute music player;laptop;blue dotted rug,mnk08,zh7aML2hmMKy5bbiR
Derwin,https://acnhcdn.com/latest/NpcIcon/duk08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk08.png,https://acnhcdn.com/drivesync/render/houses/duk08_140_Derwin.png,Duck,Male,Lazy,B,Play,5/25,derrrr,K.K. Stroll,Everything in moderation. Except for snacks.,Simple,Elegant,Yellow,Beige,7764.0,backyard-fence wall,backyard lawn,4003;4379;4379;2329;3509;2329;1116;1631;1199,cute music player;springy ride-on;springy ride-on;tire toy;garden bench;tire toy;sandbox;garden faucet;tricycle,duk08,nBcDHyXheHurcisiL
Diana,https://acnhcdn.com/latest/NpcIcon/der08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDer08.png,https://acnhcdn.com/drivesync/render/houses/der08_116_Diana.png,Deer,Female,Snooty,A,Education,1/4,no doy,Farewell,Sometimes you have to lose to win.,Elegant,Gorgeous,Purple,Pink,3573.0,white botanical-tile wall,stone tile,3468;4054;1840;4017;3983;4051;3340;7236;742;4046;10244,beach towel;rattan low table;whirlpool bath;shower set;shell bed;rattan vanity;deer decoration;lily record player;fireplace;rattan end table;fragrance sticks,der08,QGyW9QJjjxo3jta6j
Diva,https://acnhcdn.com/latest/NpcIcon/flg18.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg18.png,https://acnhcdn.com/drivesync/render/houses/flg18_174_Diva.png,Frog,Female,Big Sister,A,Fitness,10/2,ya know,K.K. Oasis,Eyes are the windows to the soul.,Gorgeous,Elegant,Purple,Light blue,3441.0,ancient wall,rocky-mountain flooring,5959;5959;8702;8702;8825;3473;3772;5165;5165;5165,Cancer table;Cancer table;sphinx;sphinx;golden casket;golden seat;golden candlestick;wall-mounted candle;wall-mounted candle;wall-mounted candle,flg18,FmQ9x68HncTm8vdsG
Dizzy,https://acnhcdn.com/latest/NpcIcon/elp01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlElp01.png,https://acnhcdn.com/drivesync/render/houses/elp01_149_Dizzy.png,Elephant,Male,Lazy,B,Play,7/14,woo-oo,Two Days Ago,Keep it mellow.,Simple,Simple,Yellow,Blue,8200.0,yellow playroom wall,backyard lawn,86;1558;3623;5543;4111;3584;85;3205;1557;1561,elephant slide;wooden-block bookshelf;toy box;wooden-blockstool;old-fashioned alarm clock;writing poster;train set;wooden-block stereo;wooden-block bed;wooden-block chest,elp01,vthzJrsaM6Y7dykA5
Dobie,https://acnhcdn.com/latest/NpcIcon/wol04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlWol04.png,https://acnhcdn.com/drivesync/render/houses/wol04_381_Dobie.png,Wolf,Male,Cranky,A,Nature,2/17,ohmmm,Agent K.K.,Old longings never truly fade.,Simple,Cool,Brown,Beige,4212.0,classic-library wall,dark herringbone flooring,3784;3561;1759;8036;3951;4106;4029;4034;4116;3672;1750;3672;3958;3783;794;1759;4110;1211,den chair;iron hanger stand;stack of books;yellow Persian rug;antique console table;pendulum clock;rotary phone;scattered papers;whiteboard;cardboard box;document stack;cardboard box;antique mini table;den desk;phonograph;stack of books;essay set;typewriter,wol04,YjMXvmH5eovNYShdE
Doc,https://acnhcdn.com/latest/NpcIcon/rbt10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt10.png,https://acnhcdn.com/drivesync/render/houses/rbt10_324_Doc.png,Rabbit,Male,Lazy,B,Education,3/16,old bunny,Pondering,One cannot live on carrots alone.,Simple,Elegant,Gray,Beige,3225.0,classic-library wall,dark-block flooring,1326;3784;4125;4125;2012;3951;4106;794;3584;4030;4072;3683;3783;7348;7333;4016;1929,skeleton;den chair;wooden bookshelf;wooden bookshelf;chalkboard;antique console table;pendulum clock;phonograph;writing poster;bathroom towel rack;toilet-cleaning set;plain sink;den desk;red carpet;ivory simple bath mat;lab-experiments set;toilet,rbt10,iasth9JRLdRvLzuQ7
Dom,https://acnhcdn.com/latest/NpcIcon/shp15.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlShp15.png,https://acnhcdn.com/drivesync/render/houses/shp15_351_Dom.png,Sheep,Male,Jock,A,Play,3/18,indeedaroo,K.K. Country,Be true to your most shiny self.,Active,Cute,Red,Colorful,4211.0,backyard-fence wall,backyard lawn,3675;1708;4038;5970;3962;5973;338;5973;4042;5973;1157;1631;1082;5973,hay bed;cassette player;log stool;firewood;inflatable sofa;log stakes;lawn mower;log stakes;log bench;log stakes;brick oven;garden faucet;picnic basket;log stakes,shp15,T6YJZ7vj2X52zmDcp
Dora,https://acnhcdn.com/latest/NpcIcon/mus00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMus00.png,https://acnhcdn.com/drivesync/render/houses/mus00_250_Dora.png,Mouse,Female,Normal,B,Education,2/18,squeaky,K.K. Faire,The squeaky wheel gets the cheese.,Simple,Elegant,Blue,Light blue,4407.0,dojo wall,floral rush-mat flooring,717;10743;739;3230;3557;7047;10742;3554;7048;7282,clay furnace;bamboo speaker;tea table;futon;bamboo floor lamp;zen cushion;bamboo stool;bamboo candleholder;pile of zen cushions;hanging scroll,mus00,9Qpj5fqp4E8PvGGFw
Dotty,https://acnhcdn.com/latest/NpcIcon/rbt01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt01.png,https://acnhcdn.com/drivesync/render/houses/rbt01_315_Dotty.png,Rabbit,Female,Peppy,B,Fashion,3/14,wee one,Drivin',It's always a good hare day.,Simple,Cute,Blue,Black,8359.0,green intricate wall,pine-board flooring,3251;4027;1845;2561;4132;928;2605;7134;3436;9766;7137;3438;3275;7354;3467;3282;4338,gas range;floral swag;simple kettle;floor lamp;yucca;pot rack;wooden simple bed;wooden low table;wooden wardrobe;mini fridge;wooden full-length mirror;wooden end table;ironwood clock;green shaggy rug;tea set;pop-up toaster;portable record player,rbt01,CRMJaAokcTnrXsQdp
Drago,https://acnhcdn.com/latest/NpcIcon/crd08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCrd08.png,https://acnhcdn.com/drivesync/render/houses/crd08_108_Drago.png,Alligator,Male,Lazy,A,Nature,2/12,burrrn,Imperial K.K.,There is no room for two dragons in one pond.,Elegant,Gorgeous,Orange,Red,3462.0,imperial wall,imperial tile,3971;6031;6031;7797;7796;8415;8415;3972;794;3970;3972;7021,imperial partition;cherry-blossom branches;cherry-blossom branches;imperial dining chair;imperial dining table;imperial dining lantern;imperial dining lantern;imperial chest;phonograph;imperial decorative shelves;imperial chest;sea horse model,crd08,qjqzytG4LCEoong4w
Drake,https://acnhcdn.com/latest/NpcIcon/duk09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk09.png,https://acnhcdn.com/drivesync/render/houses/duk09_141_Drake.png,Duck,Male,Lazy,B,Play,6/25,quacko,K.K. Blues,...Quack.,Cool,Simple,Brown,Red,3630.0,cabin wall,common flooring,85;2605;3122;4572;4044;2560;4338;4119;8035;3438;742;2731,train set;wooden simple bed;mini DIY workbench;shaded floor lamp;log extra-long sofa;wooden chest;portable record player;macrame tapestry;blue Persian rug;wooden end table;fireplace;digital alarm clock,duk09,CKAsCWnKjfQYG8R7v
Drift,https://acnhcdn.com/latest/NpcIcon/flg04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg04.png,https://acnhcdn.com/drivesync/render/houses/flg04_162_Drift.png,Frog,Male,Jock,B,Fitness,10/9,dribbit,K.K. Metal,Always go for the gold!,Simple,Active,Orange,Red,3323.0,gray shanty wall,skull-print flooring,941;3563;8417;3943;3200;3194;3196;132;4757;1288,DJ's turntable;iron shelf;wall-mounted tool board;ironwood DIY workbench;ironwood bed;ironwood low table;ironwood dresser;succulent plant;throwback skull radio;fan palm,flg04,gf6jM4si5zSEFjf9w
Ed,https://acnhcdn.com/latest/NpcIcon/hrs06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs06.png,https://acnhcdn.com/drivesync/render/houses/hrs06_212_Ed.png,Horse,Male,Smug,B,Nature,9/16,greenhorn,K.K. Ballad,Beauty is pretty!,Gorgeous,Elegant,Black,Gray,3690.0,blue delicate-blooms wall,rosewood flooring,2554;4015;3957;4106;3951;3949;4028;742;6545;796,double sofa;shower booth;antique bed;pendulum clock;antique console table;anthurium plant;retro radiator;fireplace;Ed's photo;retro stereo,hrs06,JmHu7aFcqj9hxKupZ
Egbert,https://acnhcdn.com/latest/NpcIcon/chn02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlChn02.png,https://acnhcdn.com/drivesync/render/houses/chn02_91_Egbert.png,Chicken,Male,Lazy,B,Play,10/14,doodle-duh,Lucky K.K.,You gotta break a few eggs to make an omelet.,Simple,Simple,Beige,Brown,4446.0,cabin wall,wooden-knot flooring,3468;3468;1232;4015;3689;3689;4044;4044;4037;7333;7333;4042;7333;1892;4048,beach towel;beach towel;water cooler;shower booth;sauna heater;sauna heater;log extra-long sofa;log extra-long sofa;log wall-mounted clock;ivory simple bath mat;ivory simple bath mat;log bench;ivory simple bath mat;hourglass;rattan towel basket,chn02,jRwtNxCCWuznSMCZy
Elise,https://acnhcdn.com/latest/NpcIcon/mnk05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMnk05.png,https://acnhcdn.com/drivesync/render/houses/mnk05_246_Elise.png,Monkey,Female,Snooty,B,Fashion,3/21,puh-lease,K.K. Bossa,"Do as I say, not as I do.",Elegant,Gorgeous,Purple,Red,4791.0,abstract wall,simple purple flooring,3971;3957;4053;3615;4046;3784;4129;4027;3958;4015;3783;794;1211,imperial partition;antique bed;rattan armchair;open-frame kitchen;rattan end table;den chair;monstera;floral swag;antique mini table;shower booth;den desk;phonograph;typewriter,mnk05,taRZ4jRFMGPkxCZo4
Ellie,https://acnhcdn.com/latest/NpcIcon/elp07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlElp07.png,https://acnhcdn.com/drivesync/render/houses/elp07_155_Ellie.png,Elephant,Female,Normal,A,Nature,5/12,li'l one,K.K. Ballad,You need the sour to highlight the sweet.,Simple,Cute,Gray,Pink,3633.0,beige art-deco wall,rose flooring,4132;1081;3681;3957;3951;3959;794;1042;7368;4027;3958;4069;7137,yucca;upright piano;piano bench;antique bed;antique console table;antique wardrobe;phonograph;metronome;lacy rug;floral swag;antique mini table;table lamp;wooden full-length mirror,elp07,odt2kdswLHE2YMkQd
Elmer,https://acnhcdn.com/latest/NpcIcon/hrs03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs03.png,https://acnhcdn.com/drivesync/render/houses/hrs03_209_Elmer.png,Horse,Male,Lazy,B,Play,10/5,tenderfoot,K.K. Country,"The horse doesn't pull the cart, the oats do.",Simple,Cool,Blue,White,3705.0,backyard-fence wall,backyard lawn,4038;5970;7142;3675;880;1631;5972;4043;3229;1708,log stool;firewood;simple DIY workbench;hay bed;wooden bucket;garden faucet;wild log bench;log round table;clothesline;cassette player,hrs03,LcRhQqeH8u7PboJ73
Eloise,https://acnhcdn.com/latest/NpcIcon/elp03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlElp03.png,https://acnhcdn.com/drivesync/render/houses/elp03_151_Eloise.png,Elephant,Female,Snooty,B,Fashion,12/8,tooooot,K.K. Soul,An elephant never forgets.,Elegant,Simple,Green,Orange,8818.0,yellow intricate wall,brown floral flooring,929;4052;4049;4053;4109;3275;4054;4076;3775;998;1050;3975;796,air conditioner;rattan bed;rattan wardrobe;rattan armchair;double-door refrigerator;ironwood clock;rattan low table;nail-art set;hanging terrarium;kitchen island;mixer;orange end table;retro stereo,elp03,6QughAEZFkYZ5vKpw
