Name,Image,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
cute red wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute01.png,No,NA,No,1880.0,470.0,Red,White,NA,Nook's Cranny,,Four Pane,Gray Wood,Glass,Curtains,White Lace,Cloth,151.0,fancy,child's room,None,Cute Walls,For sale,1.0.0,1.0.0,RoomTexWallCute01,7216.0,qYZyrdquxzvHErF5n
cute white wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute00.png,No,NA,No,1880.0,470.0,White,White,NA,Nook's Cranny,,Four Pane,Gray Wood,Glass,Curtains,White Lace,Cloth,151.0,fancy,child's room,None,Cute Walls,For sale,1.0.0,1.0.0,RoomTexWallCute00,7215.0,McKcAab2qjAaviYvA
cute yellow wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute03.png,No,NA,No,1880.0,470.0,Yellow,White,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,White Lace,Stone,151.0,fancy,child's room,None,Cute Walls,For sale,1.0.0,1.0.0,RoomTexWallCute03,7218.0,6j8PFwiuCwkN7GP5b
dark wooden-mosaic wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMixPlankWood01.png,No,NA,Yes,NFS,1800.0,Black,Black,NA,Crafting,,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Tile,103.0,living room,shop,None,Wood Plank Walls,Not for sale,1.0.0,1.0.0,RoomTexWallMixPlankWood01,4860.0,zZ6oMsuRibBQMkCA7
dark-chocolate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChocolate00.png,No,NA,No,3000.0,750.0,Brown,Brown,NA,Saharah,,None,NA,NA,None,NA,Plain,451.0,fancy,None,None,Chocolate,Not for sale,1.0.0,1.0.0,RoomTexWallChocolate00,4932.0,MWLvj23WuHrEJkMjk
desert vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallDesert00.png,Yes,Synchro,No,3000.0,750.0,Beige,Gray,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,folk art,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallDesert00,5488.0,o45mte3eFoaM3ts98
dig-site wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStratum00.png,No,NA,No,3000.0,750.0,Brown,Beige,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,garden,horror,None,Stone Walls,Not for sale,1.0.0,1.0.0,RoomTexWallStratum00,5222.0,Rj3X2dJ5WfYu3wpMP
dirt-clod wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOldSoil00.png,No,NA,No,200.0,50.0,Beige,Brown,NA,Nook's Cranny,,Four Pane,Natural Wood,Screen,None,NA,Wood,151.0,horror,None,None,Stone Walls,For sale,1.0.0,1.0.0,RoomTexWallOldSoil00,4856.0,LCJDGnfwuHqkgfxJB
dojo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBaseboards00.png,No,NA,No,3000.0,750.0,Yellow,Beige,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,fitness,zen-style,None,Wood Walls,Not for sale,1.0.0,1.0.0,RoomTexWallBaseboards00,5227.0,sLYrC9TRZJDMCZjM6
dungeon wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallJail00.png,Yes,NA,No,3000.0,750.0,Black,Gray,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,horror,None,None,Special Inorganic Walls,Not for sale,1.0.0,1.0.0,RoomSpWallJail00,5509.0,zcHJb34EruL2Szn87
exquisite wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChina00.png,No,NA,No,3000.0,750.0,Brown,White,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,zen-style,shop,None,Asia,Not for sale,1.0.0,1.0.0,RoomTexWallChina00,4866.0,TPZRP5K6z87YHs6TC
forest wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMushForest00.png,No,NA,Yes,NFS,44000.0,Black,Black,NA,Crafting,,None,NA,NA,None,NA,Stone,201.0,garden,None,mush,Nature Walls,Not for sale,1.0.0,1.0.0,RoomTexWallMushForest00,7187.0,ogwkK7pveFmag6MXj
future-tech wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallTechnology00.png,Yes,Synchro,No,3000.0,750.0,Black,Black,NA,Saharah,,None,NA,NA,None,NA,Plain,451.0,horror,folk art,None,Special Inorganic Walls,Not for sale,1.0.0,1.0.0,RoomSpWallTechnology00,5494.0,JawM9P46KeFwGXdsm
garbage-heap wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGarbage00.png,No,NA,Yes,NFS,120.0,Light blue,Gray,NA,Crafting,,None,NA,NA,None,NA,Wood,103.0,garage,horror,None,Neta Walls,Not for sale,1.0.0,1.0.0,RoomTexWallGarbage00,5229.0,KfoTScCc4NZruFYd8
gold-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFusumaGorgeous00.png,No,NA,Yes,NFS,20750.0,Yellow,Yellow,NA,Crafting,,None,NA,NA,None,NA,Gold,103.0,zen-style,expensive,None,Japanese Style,Not for sale,1.0.0,1.0.0,RoomTexWallFusumaGorgeous00,4820.0,CucFATJt8EtZmbKFX
golden wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGold00.png,No,NA,Yes,NFS,40000.0,Yellow,Brown,NA,Crafting,,None,NA,NA,None,NA,Stone,103.0,expensive,horror,golden,Asia,Not for sale,1.0.0,1.0.0,RoomTexWallGold00,4894.0,uyLj28ErYLEjpYzEF
gray diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner02.png,No,NA,No,2420.0,605.0,White,Colorful,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,151.0,fancy,shop,None,Diner Walls,For sale,1.0.0,1.0.0,RoomTexWallDiner02,7243.0,eTcpWCGHCzsdGRs7k
gray molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold02.png,No,NA,No,1980.0,495.0,Gray,Gray,NA,Nook's Cranny,,Sliding Pane,Black Metal,Glass,None,NA,Stone,151.0,expensive,shop,None,Panel Mold Walls,For sale,1.0.0,1.0.0,RoomTexWallPanelMold02,4872.0,49g9WCb7cvS8kpqDF
gray shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin00.png,No,NA,No,620.0,155.0,Gray,Gray,NA,Nook's Cranny,,Single Pane,Gray Wood,Glass,Slatted Blinds,White Plastic,Cloth,151.0,garage,None,None,Tin Walls,For sale,1.0.0,1.0.0,RoomTexWallTin00,4923.0,7uz4sbe5zSfsa8PqK
gray-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe02.png,No,NA,No,1520.0,380.0,Gray,White,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Roller Shades,White,Wood,151.0,fancy,child's room,None,Stripe Walls,For sale,1.0.0,1.0.0,RoomTexWallStripe02,4944.0,xWHnQXK7duTWZ8GrD
green blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry03.png,No,NA,No,1760.0,440.0,Green,Brown,NA,Nook's Cranny,,Four Pane,Light Wood,Glass,Curtains,Green Checkered,Wood,151.0,fancy,living room,None,Country,For sale,1.0.0,1.0.0,RoomTexWallCountry03,4903.0,ZPCtPY4gYYKPn7ipQ
green delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor02.png,No,NA,No,1900.0,475.0,Green,Black,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,151.0,expensive,living room,None,Manor Walls,For sale,1.0.0,1.0.0,RoomTexWallManor02,4898.0,rsBmsGkcmQYWzEivw
green flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower01.png,No,NA,No,1780.0,445.0,Green,Beige,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,Green,Stone,151.0,fancy,living room,None,Flower Walls,For sale,1.0.0,1.0.0,RoomTexWallFlower01,4935.0,oYN6MCEQENZymoKdm
green honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb02.png,No,NA,No,1680.0,420.0,Green,Green,NA,Nook's Cranny,,Sliding Pane,Gray Metal,Glass,None,NA,Wood,151.0,bathroom,facility,None,Honeycomb,For sale,1.0.0,1.0.0,RoomTexWallHoneycomb02,4913.0,Aws33pgNCEygKeaB4
green intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop02.png,No,NA,No,1570.0,392.0,Green,White,NA,Nook's Cranny,,Four Pane,Gray Wood,Glass,Roller Shades,White,Cloth,151.0,living room,shop,None,Flower Pop Walls,For sale,1.0.0,1.0.0,RoomTexWallFlowerPop02,6878.0,hD6uCKiZPpJC6eqom
green molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold03.png,No,NA,No,1980.0,495.0,Green,White,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Wood,151.0,fancy,child's room,None,Panel Mold Walls,For sale,1.0.0,1.0.0,RoomTexWallPanelMold03,6854.0,L5cttCqv5dPEpZNwm
green painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood01.png,No,NA,No,1650.0,412.0,Green,Green,NA,Nook's Cranny,,Four Pane,White Wood,Glass,None,NA,Cloth,151.0,fancy,child's room,None,Painted Wood,For sale,1.0.0,1.0.0,RoomTexWallPaintWood01,4949.0,wDrM2ExdLkKTKohtr
green playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy02.png,No,NA,No,2540.0,635.0,Green,Green,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Stone,151.0,child's room,fancy,None,Toy Walls,For sale,1.0.0,1.0.0,RoomTexWallToy02,6866.0,hrZPmBpEgQ8SZm2oe
green wedding wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallChurch02.png,No,NA,No,NFS,750.0,None,None,NA,Cyrus,Only available during Wedding Season,None,NA,NA,None,NA,Stone,437.0,party,expensive,wedding,Cloth Walls,Not for sale,1.2.0,1.2.1c,RoomSpWallChurch02,12469.0,WvGCWHyf2NKwuiZ7Z
green-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco04.png,No,NA,No,1600.0,400.0,Green,Green,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,None,NA,Cloth,151.0,fancy,living room,None,Stucco Walls,For sale,1.0.0,1.0.0,RoomTexWallStucco04,4812.0,3ZHQo8e8Wqgw4cpwy
groovy wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPsyche00.png,No,NA,No,1280.0,320.0,Orange,Orange,NA,Nook's Cranny,,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Stone,151.0,party,None,None,Cloth Walls,For sale,1.0.0,1.0.0,RoomTexWallPsyche00,4846.0,gt5Bv4qHoaZ9QCyj4
harmonious wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOriental00.png,No,NA,No,1780.0,445.0,Brown,Brown,NA,Nook's Cranny,,None,NA,NA,None,NA,Wood,151.0,zen-style,shop,None,Asia,For sale,1.0.0,1.0.0,RoomTexWallOriental00,11180.0,uCzqeq8GvfKRsWRd4
heavy-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallThickCurtain00.png,No,NA,No,3000.0,750.0,Red,Black,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,music,party,None,Cloth Walls,Not for sale,1.0.0,1.0.0,RoomTexWallThickCurtain00,4878.0,mKPtEN398qGZ7Yryu
honeycomb wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoney00.png,No,NA,Yes,NFS,3600.0,Yellow,Yellow,NA,Crafting,,None,NA,NA,None,NA,Stone,103.0,fancy,facility,None,Tile Walls,Not for sale,1.0.0,1.0.0,RoomTexWallHoney00,4865.0,hB3LqvkNidDmzrZ8z
honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb00.png,No,NA,No,1680.0,420.0,Brown,Brown,NA,Nook's Cranny,,Sliding Pane,Black Metal,Glass,None,NA,Stone,151.0,bathroom,facility,None,Honeycomb,For sale,1.0.0,1.0.0,RoomTexWallHoneycomb00,4909.0,S3bCMm6KGHKF6Ynzg
ice wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallIce00.png,Yes,NA,Yes,NFS,8200.0,Light blue,Light blue,NA,Crafting,,None,NA,NA,None,NA,Plain,444.0,freezing cold,facility,frozen,Special Walls,Not for sale,1.0.0,1.0.0,RoomSpWallIce00,5505.0,d84Y3R4CzrtjCasov
iceberg wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallIceFloe00.png,No,NA,Yes,NFS,4000.0,Light blue,White,NA,Crafting,,None,NA,NA,None,NA,Stone,201.0,freezing cold,None,None,Neta Walls,Not for sale,1.0.0,1.0.0,RoomTexWallIceFloe00,5662.0,XqrwARWP9bzsmsjiF
imperial wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDynasty00.png,No,NA,No,3000.0,750.0,Red,Red,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,expensive,None,None,Asia,Not for sale,1.0.0,1.0.0,RoomTexWallDynasty00,5224.0,YkuzvDjqXDB9CYHhm
industrial wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFactory00.png,No,NA,No,3000.0,750.0,Black,Black,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,facility,None,None,Iron Walls,Not for sale,1.0.0,1.0.0,RoomTexWallFactory00,4876.0,ao5GCHQqnwssDNRGN
ivy wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallIvy00.png,No,NA,No,3000.0,750.0,Brown,Green,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,facility,shop,None,Nature Walls,Not for sale,1.0.0,1.0.0,RoomTexWallIvy00,4850.0,t6XmWqkyhZt8Axyeh
Jingle wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallXmas00.png,Yes,Synchro,Yes,NFS,2500.0,Green,Colorful,NA,Crafting,,None,NA,NA,None,NA,Stone,201.0,fancy,party,festive,Special Walls,Not for sale,1.0.0,1.0.0,RoomSpWallXmas00,5230.0,ZjBHKK8ckePAaKpxe
jungle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallJungle00.png,No,NA,Yes,NFS,1380.0,Green,Green,NA,Crafting,,None,NA,NA,None,NA,Cloth,103.0,garden,facility,None,Nature Walls,Not for sale,1.0.0,1.0.0,RoomTexWallJungle00,5457.0,pJFdFWHgQRiYAn67i
kisses wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallKiss00.png,No,NA,No,3000.0,750.0,Pink,White,NA,Saharah,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Tile,451.0,party,fancy,None,Cloth Walls,Not for sale,1.0.0,1.0.0,RoomTexWallKiss00,4881.0,ZeuGwoWptbyaQDsbu
laboratory wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallLabo00.png,Yes,Random,No,3000.0,750.0,Black,Black,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,facility,None,None,Special Inorganic Walls,Not for sale,1.0.0,1.0.0,RoomSpWallLabo00,5495.0,kNrqC5Xs7RFybYfkN
lattice wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLattice00.png,No,NA,No,1780.0,445.0,Brown,Brown,NA,Nook's Cranny,,None,NA,NA,None,NA,Stone,151.0,zen-style,shop,None,Asia,For sale,1.0.0,1.0.0,RoomTexWallLattice00,4830.0,ZQFuCuh6fdtufMYzs
magma-cavern wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallVolcano00.png,Yes,Synchro,No,3000.0,750.0,Orange,Orange,NA,Saharah,,None,NA,NA,None,NA,Cloth,451.0,horror,None,None,Special Warm Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallVolcano00,5506.0,ugvpYYqX4F9bgLbnj
manga-library wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLibrary01.png,No,NA,Yes,NFS,1050.0,White,White,NA,Crafting,,None,NA,NA,None,NA,Plain,103.0,facility,den,None,Library Walls,Not for sale,1.0.0,1.0.0,RoomTexWallLibrary01,4838.0,wRBeXRoDHw6Curx44
mangrove wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMangrove00.png,No,NA,No,3000.0,750.0,Green,Green,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,garden,None,None,Nature Walls,Not for sale,1.0.0,1.0.0,RoomTexWallMangrove00,5514.0,j8cYo8ozHYBaAm3JH
marine pop wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFish00.png,No,NA,No,NFS,805.0,Light blue,Blue,NA,Fishing Tourney,,Four Pane,Gray Wood,Glass,Roller Shades,White,Plain,501.0,ocean,child's room,None,Cloth Walls,Not for sale,1.0.0,1.0.0,RoomTexWallFish00,4879.0,DmheJHpCg6xk8dX3R
meadow vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallHighLands00.png,Yes,Synchro,No,3000.0,750.0,Green,Light blue,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,garden,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallHighLands00,5484.0,QdWj45HftWrWwC3dH
mermaid wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallMermaid00.png,Yes,,Yes,NFS,23520.0,Pink,Light blue,NA,Crafting,,None,NA,NA,None,NA,Stone,451.0,ocean,fancy,mermaid,Special Warm Nature Walls,Not for sale,1.3.0,1.3.0,RoomSpWallMermaid00,12566.0,MP44TSDm3ADQzbMq2
misty-garden wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallRain00.png,Yes,Random,No,3000.0,585.0,Gray,Gray,NA,Saharah,,None,NA,NA,None,NA,Cloth,451.0,garden,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallRain00,11915.0,hgiWgFTr76YtZH8sH
mod wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMod00.png,No,NA,No,1220.0,305.0,Orange,Orange,NA,Nook's Cranny,,Four Pane,Natural Wood,Glass,Roller Shades,Undyed,Wood,151.0,party,None,None,Cloth Walls,For sale,1.0.0,1.0.0,RoomTexWallMod00,4908.0,Tiya4QoMRwThyKcG8
modern shoji-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallShojiModem00.png,Yes,NA,No,1150.0,287.0,Brown,White,NA,Nook's Cranny,,None,NA,NA,None,NA,Wood,151.0,zen-style,shop,None,Japanese Style,For sale,1.0.0,1.0.0,RoomSpWallShojiModem00,4864.0,WBh8T7xJBavLRKZpB
modern tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud02.png,No,NA,No,1750.0,437.0,Brown,Brown,NA,Nook's Cranny,,Circle,Dark Wood,Screen,None,NA,Stone,151.0,zen-style,shop,None,Tea Room Walls,For sale,1.0.0,1.0.0,RoomTexWallMud02,11178.0,Yk5NZC7SSyjDEpnA7
modern wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMixwood00.png,No,NA,Yes,NFS,1800.0,Brown,Brown,NA,Crafting,,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Wood,103.0,living room,child's room,None,Wood Walls,Not for sale,1.0.0,1.0.0,RoomTexWallMixwood00,4904.0,KZjTLMR8uhbpJGQ64
monochromatic dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot00.png,No,NA,No,1100.0,275.0,Gray,White,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,Curtains,White,Stone,151.0,fancy,child's room,None,Dot,For sale,1.0.0,1.0.0,RoomTexWallDot00,4892.0,SWkrbmL8ME6NeQd9Q
monochromatic-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile00.png,No,NA,No,1420.0,355.0,Gray,White,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151.0,bathroom,facility,None,Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallTile00,4910.0,6pk8nNbm4EmT3PrBr
mortar wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPlaster00.png,No,NA,No,3000.0,750.0,Gray,Gray,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,zen-style,None,None,Stone Walls,Not for sale,1.0.0,1.0.0,RoomTexWallPlaster00,5215.0,mfRLEniEAEB9YAjCY
mosaic-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMosaicTile00.png,No,NA,No,1450.0,362.0,Black,White,NA,Nook's Cranny,,Four Pane,Gray Wood,Glass,Roller Shades,White,Stone,151.0,bathroom,facility,None,Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallMosaicTile00,4862.0,2T8d9sRKwijHhESDS
mossy-garden wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMoss00.png,No,NA,No,3000.0,750.0,Green,Green,NA,Saharah,,None,NA,NA,None,NA,Cloth,451.0,zen-style,None,None,Nature Walls,Not for sale,1.0.0,1.0.0,RoomTexWallMoss00,5458.0,nuuPHdxH5skMPdehs
mush wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMush00.png,No,NA,Yes,NFS,21400.0,Orange,Brown,NA,Crafting,,Four Pane,White Wood,Glass,Roller Shades,Undyed,Wood,201.0,fancy,None,mush,Cloth Walls,Not for sale,1.0.0,1.0.0,RoomTexWallMush00,5164.0,6xJHWgQgJA9e2n4jJ
Nook Inc. wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFirst00.png,No,NA,No,NFS,6000.0,White,Light blue,1200.0,Nook Miles Shop,,Four Pane,Dark Wood,Glass,Curtains,White,Plain,151.0,fancy,shop,None,Cloth Walls,Not for sale,1.0.0,1.0.0,RoomTexWallFirst00,6004.0,e7uEC5di7XvHpvkuk
ocean-horizon wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallHorizon00.png,Yes,Synchro,No,3000.0,750.0,Blue,Light blue,NA,Saharah,,None,NA,NA,None,NA,Tile,451.0,ocean,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallHorizon00,5486.0,BYpn3AZyJ8PWCAxHj
office wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOffice00.png,No,NA,No,3000.0,750.0,White,Light blue,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,office,None,None,Special Walls,Not for sale,1.0.0,1.0.0,RoomTexWallOffice00,5218.0,gSMtrRvmA9mYgtKtD
old wallpaper,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOld00.png,No,NA,No,200.0,50.0,Beige,Beige,NA,Nook's Cranny,,Four Pane,White Wood,Glass,None,NA,Stone,151.0,horror,None,None,Cloth Walls,For sale,1.0.0,1.0.0,RoomTexWallOld00,4857.0,LvLyyhmz3TH3qjBi4
olive desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco03.png,No,NA,No,2440.0,610.0,Yellow,Yellow,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Cloth,151.0,bathroom,facility,None,Morocco,For sale,1.0.0,1.0.0,RoomTexWallMorocco03,6863.0,z5bNEBbKNL56CwQKo
orange camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage03.png,No,NA,No,1150.0,287.0,Orange,Orange,NA,Nook's Cranny,,Single Pane,Gray Wood,Glass,Slatted Blinds,White Plastic,Cloth,151.0,party,child's room,None,Camouflage,For sale,1.0.0,1.0.0,RoomTexWallCamouflage03,6855.0,xiaFSrf6okC624pCz
orange molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold00.png,No,NA,No,1980.0,495.0,Orange,Beige,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Cloth,151.0,fancy,child's room,None,Panel Mold Walls,For sale,1.0.0,1.0.0,RoomTexWallPanelMold00,4870.0,zW3vwqmKDGhK68rCJ
orange wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOrange00.png,No,NA,Yes,NFS,4000.0,Orange,Orange,NA,Crafting,,Four Pane,Gray Wood,Glass,Roller Shades,White,Stone,103.0,fancy,child's room,fruits,Fruit Walls,Not for sale,1.0.0,1.0.0,RoomTexWallOrange00,4915.0,4GirW6p4notkWfhs7
orange-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco01.png,No,NA,No,1600.0,400.0,Orange,Orange,NA,Nook's Cranny,,Four Pane,Natural Wood,Glass,None,NA,Stone,151.0,fancy,child's room,None,Stucco Walls,For sale,1.0.0,1.0.0,RoomTexWallStucco01,4809.0,TFsdbmb9sti7Gz3pt
paintball wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallAtelier00.png,No,NA,No,3000.0,750.0,White,Colorful,NA,Saharah,,Single Pane,Gray Metal,Glass,Slatted Blinds,Aluminium,Stone,451.0,garage,facility,None,Stone Walls,Not for sale,1.0.0,1.0.0,RoomTexWallAtelier00,4854.0,qnE76Sd6WdnihirBL
palace wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallPalace00.png,Yes,NA,No,3000.0,750.0,Beige,White,NA,Saharah,,None,NA,NA,None,NA,Cloth,451.0,expensive,folk art,None,Special Inorganic Walls,Not for sale,1.0.0,1.0.0,RoomSpWallPalace00,5502.0,fGigBL7P6sRsv25Au
party wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallParty00.png,No,NA,No,NFS,370.0,Colorful,White,NA,Birthday,,Four Pane,Dark Wood,Glass,Roller Shades,White,Wood,573.0,party,fancy,None,Cloth Walls,Not for sale,1.0.0,1.0.0,RoomTexWallParty00,5226.0,9v4H4NeFMQR9tKLj7
pastel dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot01.png,No,NA,No,1100.0,275.0,White,Colorful,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,Curtains,White,Cloth,151.0,fancy,child's room,None,Dot,For sale,1.0.0,1.0.0,RoomTexWallDot01,4899.0,m4ha6kr7tPuio5AcL
pastel puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle00.png,No,NA,No,1540.0,385.0,White,White,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151.0,fancy,child's room,None,Puzzle Walls,For sale,1.0.0,1.0.0,RoomTexWallPuzzle00,4886.0,b3EvGiavTx8QPHrfP
peach two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile04.png,No,NA,No,1850.0,462.0,Pink,Pink,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Cloth,151.0,bathroom,facility,None,Two-Tone Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallTwoToneTile04,6857.0,m9bGMPzT4cjdMddyY
peach wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPeach00.png,No,NA,Yes,NFS,4000.0,Pink,Pink,NA,Crafting,,Four Pane,Gray Wood,Glass,Roller Shades,White,Cloth,103.0,fancy,child's room,fruits,Fruit Walls,Not for sale,1.0.0,1.0.0,RoomTexWallPeach00,4918.0,cpGXBrDm4SXGAXraz
pear wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPear00.png,No,NA,Yes,NFS,4000.0,Green,Green,NA,Crafting,,Four Pane,Gray Wood,Glass,Roller Shades,White,Tile,103.0,fancy,child's room,fruits,Fruit Walls,Not for sale,1.0.0,1.0.0,RoomTexWallPear00,4917.0,vtaaw7vsoJD8meQuM
