Name,Image,VFX,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
leopard-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAnimal00.png,No,No,1300.0,325.0,Orange,Brown,NA,Nook's Cranny,,151.0,party,fancy,None,Animal Floor,For sale,1.0.0,1.0.0,RoomTexFloorAnimal00,4959.0,GsWLFhWAiRsNrY2XC
light herringbone flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHerringbone00.png,No,No,1200.0,300.0,Beige,Beige,NA,Nook's Cranny,,151.0,living room,shop,None,Herringbone,For sale,1.0.0,1.0.0,RoomTexFloorHerringbone00,5061.0,GQXNBcZoQRYRyRYGP
light parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCountry00.png,No,No,1560.0,390.0,Beige,Brown,NA,Nook's Cranny,,151.0,living room,shop,None,Country,For sale,1.0.0,1.0.0,RoomTexFloorCountry00,5022.0,HqokjwEnZtgcjNSgH
light wood-pattern flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleParquet00.png,No,No,1500.0,375.0,Beige,Beige,NA,Nook's Cranny,,151.0,living room,shop,None,Simple Parquet,For sale,1.0.0,1.0.0,RoomTexFloorSimpleParquet00,4991.0,osG5BdoAX86kEitnu
lobby flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorLobby00.png,No,No,3000.0,750.0,Purple,Black,NA,Saharah,,451.0,facility,party,None,Cloth Floors,Not for sale,1.0.0,1.0.0,RoomTexFloorLobby00,5034.0,nQCnxLKNXAQ7JqtyB
lunar surface,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorLunar00.png,No,Yes,NFS,7500.0,White,Gray,NA,Crafting,,103.0,space,None,stars,Nature - White,Not for sale,1.0.0,1.0.0,RoomTexFloorLunar00,4968.0,n8j4WToan9efgnJDM
marine pop flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorFishPop00.png,No,No,2020.0,505.0,Blue,Blue,NA,Nook's Cranny,,151.0,child's room,fancy,None,Cloth Floors,For sale,1.0.0,1.0.0,RoomTexFloorFishPop00,5024.0,yajaXefi94Mx32KAy
mermaid flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorMermaid00.png,Yes,Yes,NFS,20975.0,Light blue,Pink,NA,Crafting,,451.0,ocean,fancy,mermaid,Nature - White,Not for sale,1.3.0,1.3.0,RoomSpFloorMermaid00,12568.0,XLgLk68xXpgf344N2
mint dot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDot01.png,No,No,800.0,200.0,Green,Green,NA,Nook's Cranny,,151.0,fancy,child's room,None,Dot,For sale,1.0.0,1.0.0,RoomTexFloorDot01,5026.0,CCEfvKqoZ7TQXWFqM
modern wood flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMixwood00.png,No,No,1280.0,320.0,Brown,Brown,NA,Nook's Cranny,,151.0,living room,child's room,None,Wood Floors,For sale,1.0.0,1.0.0,RoomTexFloorMixwood00,5044.0,jBLBPkiSgmkL52L5n
money flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBill00.png,No,Yes,NFS,25000.0,White,White,NA,Crafting,,103.0,expensive,None,None,Decadence,Not for sale,1.0.0,1.0.0,RoomTexFloorBill00,4986.0,M9tBbGtQcTpPWCGeQ
monochromatic dot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDot00.png,No,No,800.0,200.0,Gray,White,NA,Nook's Cranny,,151.0,fancy,child's room,None,Dot,For sale,1.0.0,1.0.0,RoomTexFloorDot00,5023.0,CJ6ukTuEqDXvFx5kM
monochromatic tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPanel00.png,No,No,1620.0,405.0,Black,White,NA,Nook's Cranny,,151.0,den,living room,None,Panel,For sale,1.0.0,1.0.0,RoomTexFloorPanel00,5067.0,wyRDyuntjJqsgxEvz
mossy-garden flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMoss00.png,No,No,3000.0,750.0,Green,Green,NA,Saharah,,451.0,zen-style,garden,None,Nature - Green,Not for sale,1.0.0,1.0.0,RoomTexFloorMoss00,5234.0,3KGLDP2eT6i3A7jaw
natural-block flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquet00.png,No,No,1380.0,345.0,Brown,Beige,NA,Nook's Cranny,,151.0,school,None,None,Parquet,For sale,1.0.0,1.0.0,RoomTexFloorParquet00,5033.0,BaHnYrekt2ngfWeCQ
Nook Inc. flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorFirst00.png,No,No,NFS,6000.0,Brown,Brown,1200.0,Nook Miles Shop,,151.0,school,shop,None,Wood Floors,Not for sale,1.0.0,1.0.0,RoomTexFloorFirst00,6005.0,tHvrMW72TDM3ezhRx
oasis flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorOasis00.png,Yes,No,3000.0,750.0,Beige,Light blue,NA,Saharah,,451.0,garden,folk art,None,Special Inorganic Floors,Not for sale,1.0.0,1.0.0,RoomSpFloorOasis00,5255.0,Apr3HrqodwkiBk5ZQ
olive desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco03.png,No,No,2100.0,525.0,Yellow,Brown,NA,Nook's Cranny,,151.0,bathroom,facility,None,Morocco,For sale,1.0.0,1.0.0,RoomTexFloorMorocco03,6928.0,LwaiMzRi8kw2Xw35j
orange camo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCamouflage03.png,No,No,1320.0,330.0,Orange,Orange,NA,Nook's Cranny,,151.0,party,child's room,None,Camouflage,For sale,1.0.0,1.0.0,RoomTexFloorCamouflage03,6845.0,e2cw6YYcpWZdfH38F
orange retro flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorKitchen00.png,No,No,1540.0,385.0,Orange,Orange,NA,Nook's Cranny,,151.0,kitchen,shop,None,Kitchen Floors,For sale,1.0.0,1.0.0,RoomTexFloorKitchen00,5043.0,GpDHr3gHCZSrK5bfx
paintball flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAtelier00.png,No,No,3000.0,750.0,White,Colorful,NA,Saharah,,451.0,garage,facility,None,Stone Floors,Not for sale,1.0.0,1.0.0,RoomTexFloorAtelier00,4988.0,vC2oYRMxbZXYazKYW
palace tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPalace00.png,No,No,3000.0,750.0,White,White,NA,Saharah,,451.0,expensive,folk art,None,Luxury,Not for sale,1.0.0,1.0.0,RoomTexFloorPalace00,5051.0,ZBN9trZ7YTDgN5z3Y
parking flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParking00.png,No,No,3000.0,750.0,Black,Gray,NA,Saharah,,451.0,facility,None,None,Sidewalk,Not for sale,1.0.0,1.0.0,RoomTexFloorParking00,4997.0,Lx2JZuP8F6xS28PPG
party flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParty00.png,No,No,NFS,370.0,Colorful,Gray,NA,Birthday,,573.0,party,fancy,None,Decadence,Not for sale,1.0.0,1.0.0,RoomTexFloorParty00,5241.0,8vy7YrhEnTpt8GjWT
pastel puzzle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPuzzleMat00.png,No,No,1450.0,362.0,White,White,NA,Nook's Cranny,,151.0,fancy,child's room,None,Puzzle Mat,For sale,1.0.0,1.0.0,RoomTexFloorPuzzleMat00,4956.0,nGtvPzJvdJb5xmQo8
patchwork-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPatchworkTile00.png,No,No,2100.0,525.0,White,White,NA,Nook's Cranny,,151.0,expensive,shop,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorPatchworkTile00,4995.0,hCAe3badxv5faWwGE
pine-board flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimple00.png,No,No,2500.0,625.0,Beige,Beige,NA,Nook's Cranny,,151.0,living room,child's room,None,Wood Floors,For sale,1.0.0,1.0.0,RoomTexFloorSimple00,5019.0,B3GmKqXBaKNeugExA
pink-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPaintWood02.png,No,No,1040.0,260.0,Pink,Pink,NA,Nook's Cranny,,151.0,fancy,child's room,None,Painted Wood,For sale,1.0.0,1.0.0,RoomTexFloorPaintWood02,5059.0,wXCN3tKY2rDen6D6s
pirate flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPirates00.png,No,No,NFS,750.0,Blue,Brown,NA,Gullivarrr,,451.0,ocean,expensive,pirate,Luxury,Not for sale,1.3.0,1.3.0,RoomTexFloorPirates00,12569.0,RaD6jMvqDehvYkgSg
purple camo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCamouflage02.png,No,No,1320.0,330.0,Purple,Purple,NA,Nook's Cranny,,151.0,party,child's room,None,Camouflage,For sale,1.0.0,1.0.0,RoomTexFloorCamouflage02,5017.0,JZ5JuDTqYYu8PQZrJ
purple desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco02.png,No,No,2100.0,525.0,Purple,White,NA,Nook's Cranny,,151.0,bathroom,facility,None,Morocco,For sale,1.0.0,1.0.0,RoomTexFloorMorocco02,6927.0,4e7h4ZuzEKJb5ua3v
purple puzzle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPuzzleMat03.png,No,No,1450.0,362.0,Purple,Colorful,NA,Nook's Cranny,,151.0,fancy,None,None,Puzzle Mat,For sale,1.0.0,1.0.0,RoomTexFloorPuzzleMat03,7185.0,xi7QC9EcD34PNSdzt
pyramid tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorEgypt00.png,No,No,3000.0,750.0,Beige,Beige,NA,Saharah,,451.0,folk art,None,None,Luxury,Not for sale,1.0.0,1.0.0,RoomTexFloorEgypt00,5054.0,kcHqZKGAjAwFcQxNg
racetrack flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAthletics00.png,No,No,3000.0,750.0,Green,Green,NA,Saharah,,451.0,fitness,school,None,Sports Floor,Not for sale,1.0.0,1.0.0,RoomTexFloorAthletics00,4996.0,QDiAF633q7ohZqqTK
ramshackle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRuins00.png,No,No,3000.0,750.0,Beige,Beige,NA,Saharah,,451.0,horror,None,None,Decadence,Not for sale,1.0.0,1.0.0,RoomTexFloorRuins00,5240.0,tx4WSnBkFsrJZHe7b
random-square-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSquareTile00.png,No,No,1360.0,340.0,White,White,NA,Nook's Cranny,,151.0,facility,shop,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorSquareTile00,4973.0,3GqKtZdottDaNdNvP
rattan flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRattan00.png,No,No,1100.0,275.0,Beige,Beige,NA,Nook's Cranny,,151.0,facility,shop,rattan,Wood Floors,For sale,1.0.0,1.0.0,RoomTexFloorRattan00,4967.0,C5WxH5ZD5LcXeGL56
red dot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDot02.png,No,No,800.0,200.0,Red,Red,NA,Nook's Cranny,,151.0,fancy,child's room,None,Dot,For sale,1.0.0,1.0.0,RoomTexFloorDot02,5027.0,RRjt2eaLkEJv9Hk6W
red-and-black vinyl flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileChecker01.png,No,No,1150.0,287.0,Red,Gray,NA,Nook's Cranny,,151.0,expensive,None,None,Tile Checker,For sale,1.0.0,1.0.0,RoomTexFloorTileChecker01,5047.0,y9Bcpqd5GNvw29DbR
red-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBrick01.png,No,No,1040.0,260.0,Red,Brown,NA,Nook's Cranny,,151.0,facility,shop,None,Brick,For sale,1.0.0,1.0.0,RoomTexFloorBrick01,4975.0,tknYxCq8ztLx7Tibi
rocky-mountain flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRock00.png,No,No,3000.0,750.0,Beige,Beige,NA,Saharah,,451.0,garden,None,None,Nature - Brown,Not for sale,1.0.0,1.0.0,RoomTexFloorRock00,5239.0,BKwXAcy5Q9mW2GJkH
rose flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRoseCarpet00.png,No,No,2200.0,550.0,Red,Red,NA,Nook's Cranny,,151.0,fancy,expensive,None,Cloth Floors,For sale,1.0.0,1.0.0,RoomTexFloorRoseCarpet00,4958.0,5vGSvnYMFe4A5LRte
rosewood flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRoseWood00.png,No,No,2420.0,605.0,Gray,Gray,NA,Nook's Cranny,,151.0,expensive,living room,None,Wood Floors,For sale,1.0.0,1.0.0,RoomTexFloorRoseWood00,5063.0,jA7bCaTtZq6Z2r4gr
rubber-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRubberTile00.png,No,No,700.0,175.0,Gray,Gray,NA,Nook's Cranny,,151.0,facility,shop,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorRubberTile00,5163.0,YiBqEKfe7i4EuseqS
rush tatami,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTatami01.png,No,No,2200.0,550.0,Beige,Beige,NA,Nook's Cranny,,151.0,zen-style,living room,None,Tatami,For sale,1.0.0,1.0.0,RoomTexFloorTatami01,5079.0,rnwpHPKqefSS5Hhz8
rush tatami flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTatamiPanel01.png,No,No,2200.0,550.0,Beige,Beige,NA,Nook's Cranny,,151.0,zen-style,living room,None,Tatami Panel,For sale,1.0.0,1.0.0,RoomTexFloorTatamiPanel01,5078.0,CYDJXEYacE5fPeLYJ
Saharah's desert,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDesert00.png,No,No,3000.0,750.0,Beige,Beige,NA,Saharah,,451.0,folk art,None,None,Nature - White,Not for sale,1.0.0,1.0.0,RoomTexFloorDesert00,4983.0,7cH3CsBAarxRhAkZ5
sakura-wood flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSolidWood00.png,No,Yes,NFS,3200.0,Pink,Pink,NA,Crafting,,201.0,child's room,fancy,None,Wood Floors,Not for sale,1.0.0,1.0.0,RoomTexFloorSolidWood00,5056.0,QB6ZXiQbMQ6iWexQm
sandlot,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorEmptyLot00.png,No,No,3000.0,750.0,Yellow,Beige,NA,Saharah,,451.0,garden,None,None,Nature - Brown,Not for sale,1.0.0,1.0.0,RoomTexFloorEmptyLot00,4985.0,HZM5De52k9N4E3iei
sandy-beach flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSand00.png,No,Yes,NFS,4120.0,Beige,Beige,NA,Crafting,,103.0,ocean,None,None,Nature - White,Not for sale,1.0.0,1.0.0,RoomTexFloorSand00,4970.0,tDrdWs28RgvnyTMNC
sci-fi flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorSF00.png,Yes,Yes,NFS,7500.0,Black,Black,NA,Crafting,,103.0,space,facility,None,Special Inorganic Floors,Not for sale,1.0.0,1.0.0,RoomSpFloorSF00,5270.0,NAEGL6s5arLj9y2ku
scramble crosswalk,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorScramble00.png,No,No,3000.0,750.0,Gray,Gray,NA,Saharah,,451.0,facility,None,None,Sidewalk,Not for sale,1.0.0,1.0.0,RoomTexFloorScramble00,5010.0,EHdRo9mbi9QhCtdYN
sepia puzzle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPuzzleMat02.png,No,No,1450.0,362.0,Colorful,Colorful,NA,Nook's Cranny,,151.0,fancy,child's room,None,Puzzle Mat,For sale,1.0.0,1.0.0,RoomTexFloorPuzzleMat02,7184.0,ND2rTCs7dZjKiGXjC
ship deck,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSeaView00.png,No,No,4000.0,1000.0,Beige,Beige,NA,Nook's Cranny,,151.0,ocean,None,None,Sports Floor,For sale,1.0.0,1.0.0,RoomTexFloorSeaView00,4950.0,X9tRZEzQMKRKd5rnz
sidewalk flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSidewalk01.png,No,No,3000.0,750.0,Gray,Brown,NA,Saharah,,451.0,shop,facility,None,Sidewalk,Not for sale,1.0.0,1.0.0,RoomTexFloorSidewalk01,5008.0,3FteXxettQm7iZF2p
simple blue flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleCarpet01.png,No,No,1500.0,375.0,Blue,Blue,NA,Nook's Cranny,,151.0,den,living room,None,Simple Carpet,For sale,1.0.0,1.0.0,RoomTexFloorSimpleCarpet01,5001.0,JKvF62fyqF6Pg9igx
simple purple flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleCarpet03.png,No,No,1500.0,375.0,Purple,Purple,NA,Nook's Cranny,,151.0,den,expensive,None,Simple Carpet,For sale,1.0.0,1.0.0,RoomTexFloorSimpleCarpet03,5003.0,qn6BKtgHm5tmoDtAG
simple red flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleCarpet00.png,No,No,1500.0,375.0,Red,Red,NA,Nook's Cranny,,151.0,den,expensive,None,Simple Carpet,For sale,1.0.0,1.0.0,RoomTexFloorSimpleCarpet00,5000.0,5WEw368jE8FK9LcPa
simple white flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleCarpet04.png,No,No,1500.0,375.0,White,White,NA,Nook's Cranny,,151.0,living room,shop,None,Simple Carpet,For sale,1.0.0,1.0.0,RoomTexFloorSimpleCarpet04,5004.0,RwMEDYWk9YBgrtXmY
ski-slope flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGelande00.png,No,Yes,NFS,3200.0,White,White,NA,Crafting,,201.0,freezing cold,None,None,Nature - White,Not for sale,1.0.0,1.0.0,RoomTexFloorGelande00,4989.0,NpqGszuaZckXifyju
skull-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSkull00.png,No,No,3000.0,750.0,Black,Black,NA,Nook's Cranny,,151.0,horror,child's room,None,Cloth Floors,For sale,1.0.0,1.0.0,RoomTexFloorSkull00,5248.0,Ghp5z68RNmKQDDCzz
slate flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSlate00.png,No,No,1380.0,345.0,Gray,Gray,NA,Nook's Cranny,,151.0,facility,shop,None,Stone Floors,For sale,1.0.0,1.0.0,RoomTexFloorSlate00,5233.0,hchG9hWK9Ci3iXzTN
starry-sands flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSandStar00.png,No,Yes,NFS,7720.0,Beige,White,NA,Crafting,,201.0,ocean,fancy,None,Nature - White,Not for sale,1.0.0,1.0.0,RoomTexFloorSandStar00,7239.0,54Jcui933sPTvdqXY
steel flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSteel00.png,No,Yes,NFS,5250.0,Gray,Gray,NA,Crafting,,103.0,garage,facility,None,Iron,Not for sale,1.0.0,1.0.0,RoomTexFloorSteel00,4960.0,nYi4jRsp3MXrnPPDR
stone tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMarble00.png,No,No,3000.0,750.0,White,White,NA,Nook's Cranny,,151.0,expensive,facility,None,Stone Floors,For sale,1.0.0,1.0.0,RoomTexFloorMarble00,5069.0,RNMhc9jJApavmhgPC
stripe flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorStripe00.png,No,No,1200.0,300.0,Colorful,Gray,NA,Nook's Cranny,,151.0,living room,child's room,None,Cloth Floors,For sale,1.0.0,1.0.0,RoomTexFloorStripe00,4963.0,5CY9wQTePbYzQTDF2
sumo ring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArena00.png,No,No,3000.0,750.0,Beige,Beige,NA,Saharah,,451.0,fitness,zen-style,None,Sports Floor,Not for sale,1.0.0,1.0.0,RoomTexFloorArena00,5013.0,qKfY2Nnx5ApBzgGEF
swamp flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBog00.png,No,No,3000.0,750.0,Black,Gray,NA,Saharah,,451.0,garden,horror,None,Nature - Brown,Not for sale,1.0.0,1.0.0,RoomTexFloorBog00,5238.0,vTPvWC9bkZyeP7BxS
tatami,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTatami00.png,No,No,2200.0,550.0,Beige,Beige,NA,Nook's Cranny,,151.0,zen-style,living room,None,Tatami,For sale,1.0.0,1.0.0,RoomTexFloorTatami00,5039.0,jdcZQ9LCDoroeYKws
tatami flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTatamiPanel00.png,No,No,2200.0,550.0,Green,White,NA,Nook's Cranny,,151.0,zen-style,living room,None,Tatami Panel,For sale,1.0.0,1.0.0,RoomTexFloorTatamiPanel00,5077.0,Qo5nLhbZ7iD5JLP4Z
terra-cotta flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileTerracotta00.png,No,No,1800.0,450.0,Orange,Orange,NA,Nook's Cranny,,151.0,facility,shop,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorTileTerracotta00,4971.0,Ec8TrwurFcmQKi4CZ
tiger-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAnimal03.png,No,No,1300.0,325.0,Black,Orange,NA,Nook's Cranny,,151.0,party,fancy,None,Animal Floor,For sale,1.0.0,1.0.0,RoomTexFloorAnimal03,6848.0,uz5PotSZqNAT5kgtT
train-station flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPlatform00.png,No,No,3000.0,750.0,Beige,Brown,NA,Saharah,,451.0,facility,None,None,Sidewalk,Not for sale,1.0.0,1.0.0,RoomTexFloorPlatform00,5009.0,khwvshrYhvaL9FPsC
underwater flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorFishTank00.png,Yes,Yes,NFS,6600.0,Blue,Light blue,NA,Crafting,,201.0,ocean,None,None,Special Nature Floors,Not for sale,1.0.0,1.0.0,RoomSpFloorFishTank00,5268.0,bGowh78amRY7uJsYE
water flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorWater00.png,Yes,Yes,NFS,7200.0,Light blue,Blue,NA,Crafting,,201.0,ocean,None,None,Special Nature Floors,Not for sale,1.0.0,1.0.0,RoomSpFloorWater00,5030.0,opJSK2mkCqkBRQTW3
western desert,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorWilderness00.png,No,No,3000.0,750.0,Beige,Beige,NA,Saharah,,451.0,folk art,horror,None,Nature - Brown,Not for sale,1.0.0,1.0.0,RoomTexFloorWilderness00,4984.0,24mkYXzRGCvGibXQ9
white honeycomb tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycomb03.png,No,No,1420.0,355.0,White,White,NA,Nook's Cranny,,151.0,bathroom,facility,None,Honeycomb,For sale,1.0.0,1.0.0,RoomTexFloorHoneycomb03,5042.0,RKrRAgjoevjYsLwTp
white iron-parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetIron03.png,No,No,2350.0,587.0,White,White,NA,Nook's Cranny,,151.0,expensive,living room,None,Iron Parquet,For sale,1.0.0,1.0.0,RoomTexFloorParquetIron03,6843.0,ZFAq3rRLCCRRgAcF7
white mosaic-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile00.png,No,No,900.0,225.0,White,White,NA,Nook's Cranny,,151.0,bathroom,facility,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorTile00,5020.0,23nmmfSJ7pvKyeuFZ
white wedding flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMarbleTile00.png,No,No,NFS,750.0,None,None,NA,Cyrus,Only available during Wedding Season,437.0,party,expensive,wedding,Tile Floors,Not for sale,1.2.0,1.2.1c,RoomTexFloorMarbleTile00,12431.0,GYZ8kvbfYK7i2NcvT
white-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBrick00.png,No,No,1040.0,260.0,White,White,NA,Nook's Cranny,,151.0,facility,shop,None,Brick,For sale,1.0.0,1.0.0,RoomTexFloorBrick00,4974.0,83vQYs26vwE7aa4bZ
white-chocolates flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorChocolate01.png,No,No,3000.0,750.0,White,Beige,NA,Saharah,,451.0,fancy,None,None,Chocolate,Not for sale,1.0.0,1.0.0,RoomTexFloorChocolate01,5052.0,b2WBXQkcAqfJ48RH3
white-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPaintWood03.png,No,No,1040.0,260.0,White,White,NA,Nook's Cranny,,151.0,living room,child's room,None,Painted Wood,For sale,1.0.0,1.0.0,RoomTexFloorPaintWood03,5060.0,JdnrGbAMW7FBxrw5P
wildflower meadow,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGrassland01.png,No,No,3000.0,750.0,Green,Green,NA,Saharah,,451.0,garden,fancy,None,Grassland,Not for sale,1.0.0,1.0.0,RoomTexFloorGrassland01,5006.0,dYb6DAfZQJTGN7svs
wooden-knot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCedar00.png,No,No,780.0,195.0,Brown,Brown,NA,Nook's Cranny,,151.0,living room,child's room,None,Wood Floors,For sale,1.0.0,1.0.0,RoomTexFloorCedar00,5049.0,ttyLLQ39Dc3fK32JE
yellow floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDecoWood00.png,No,No,1520.0,380.0,Yellow,Yellow,NA,Nook's Cranny,,151.0,shop,living room,None,Deco Wood,For sale,1.0.0,1.0.0,RoomTexFloorDecoWood00,5073.0,R69sMEPHQGu7fBzuQ
zebra-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAnimal02.png,No,No,1300.0,325.0,Black,White,NA,Nook's Cranny,,151.0,party,fancy,None,Animal Floor,For sale,1.0.0,1.0.0,RoomTexFloorAnimal02,4962.0,9Mdszd5EgwJ6omLPf
