#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Where/How,Weather,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
57.0,giant stag,https://acnhcdn.com/latest/MenuIcon/Ins47.png,https://acnhcdn.com/latest/BookInsectIcon/InsectOhkuwagataCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectOhkuwagataCropped.png,10000.0,On trees (any kind),Any weather,50.0,5,NA,NA,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"It is said the giant stag is a popular pet among bug enthusiasts. Though how one might consider oneself enthusiastic about bugs is quite beyond me... But I digress. Giant stags look fearsome with their enormous curved mandibles. But in truth, they're really quite cowardly. Oh how they love to hide away in rotting wood, only to reveal themselves under the cover of dark. Hoot! I shall never turn off the lights again!",Whoaaa! I caught a giant stag! I'm gonna need way bigger pockets...,64.0,Pet,Black,Black,Ins47,InsectOhkuwagata,FtrInsectOhkuwagata,637.0,KhrTLzayFz23zz2kn
40.0,giant water bug,https://acnhcdn.com/latest/MenuIcon/Ins76.png,https://acnhcdn.com/latest/BookInsectIcon/InsectTagameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectTagameCropped.png,2000.0,On rivers/ponds,Any weather,50.0,5,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,1x1,No,"How to put this gently? Ah yes... BEWARE the giant water bug! I tell you, this vicious predator has been known to attack fish, frogs, and even snakes! SNAKES! Truth be told, no one is safe! Its nickname is ""the toe-biter,"" for goodness sakes! Now, one final fact before I faint... The gruesome bug uses its nose...to inject its prey...with digestive juices. Hoo... Must stop thinking about...the unthinkable.",I caught a giant water bug! It should've stayed in the water!,64.0,Pet,Brown,Blue,Ins76,InsectTagame,FtrInsectTagame,5157.0,ZsDdBvqAjZMG8EQkZ
61.0,giraffe stag,https://acnhcdn.com/latest/MenuIcon/Ins77.png,https://acnhcdn.com/latest/BookInsectIcon/InsectGirafanokogirikuwagataCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectGirafanokogirikuwagataCropped.png,12000.0,On palm trees,Any weather,100.0,1,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"The giraffe stag beetle is a bug of preposterous proportions. Not only is its body rather large, it has two long, jagged jaws that can put it over five inches in size! The giraffe stag beetle's long jaws have been compared to the long neck of the giraffe...hence the name. But I say such comparisons are a stretch. Giraffe necks are NOT lined with spikes! If I were a giraffe, I would protest.",I caught a giraffe stag! Does that make it a longhorn?,64.0,Pet,Black,Black,Ins77,InsectGirafanokogirikuwagata,FtrInsectGirafanokogirikuwagata,3482.0,PSChjzMhGwhnsHTs4
60.0,golden stag,https://acnhcdn.com/latest/MenuIcon/Ins50.png,https://acnhcdn.com/latest/BookInsectIcon/InsectOugononikuwagataCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectOugononikuwagataCropped.png,12000.0,On palm trees,Any weather,100.0,1,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"Yes. Yes. The golden stag beetle is quite the prize thanks to its metallic gold coloring. But let me speak plainly... The golden stag is NOT made of gold. It is made of BUG, through and through. And thus it is vile! Golden stag? Bah! Gross stag is more like it.",Wooooow! I caught a golden stag! Does this mean I can retire?,64.0,Pet,Black,Yellow,Ins50,InsectOugononikuwagata,FtrInsectOugononikuwagata,638.0,2C8cSphidFCBPxYEe
54.0,goliath beetle,https://acnhcdn.com/latest/MenuIcon/Ins55.png,https://acnhcdn.com/latest/BookInsectIcon/InsectGoraiasuohtsunohanamuguriCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectGoraiasuohtsunohanamuguriCropped.png,8000.0,On palm trees,Any weather,100.0,2,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,1x1,Yes,"Hoo! Ewww! The goliath beetle is a colossal creature that can grow up to four-inches long. Yes, they love to sup on sap and pollen, and frolic among the flowers. But did you know, the goliath beetle has a horn upon its head that it uses to fight its foes? And picture this... Each one of this behemoth's legs ends in pincers! Deep...calming...breaths...",I caught a goliath beetle! Am I a legend or what?,64.0,Pet,Red,Black,Ins55,InsectGoraiasuohtsunohanamuguri,FtrInsectGoraiasuohtsunohanamuguri,596.0,wZQMZfhtRyPFAapmF
19.0,grasshopper,https://acnhcdn.com/latest/MenuIcon/Ins32.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKirigirisuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKirigirisuCropped.png,160.0,On the ground,Any except rain,0.0,60,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,No,"Grasshoppers are known for making a ""chirping"" sound. Though it doesn't sound like chirping to me... They make this rude racket by rubbing their hind legs against their wings. And though they eat seeds and pollen, they sometimes prey on smaller insects too. I say! Such violent table manners should not be tolerated! Horrible hoppers.",I caught a grasshopper! They're a grass act!,64.0,Pet,Green,Beige,Ins32,InsectKirigirisu,FtrInsectKirigirisu,613.0,zkzSLJPkkcwXwShKc
7.0,great purple emperor,https://acnhcdn.com/latest/MenuIcon/Ins74.png,https://acnhcdn.com/latest/BookInsectIcon/InsectOhmurasakiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectOhmurasakiCropped.png,3000.0,Flying near flowers,Any except rain,50.0,5,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,1x1,Yes,"The great purple emperor lives high in the treetops and is renowned for its pretty purple-hued wings. Its impressive bird-like wingspan and elusive nature have made it a favorite among butterfly aficionados. But truth be told, the so-called great purple emperor has some not-so-great personal peculiarities. For one...it has two horrid HORNS upon its head when it is in its caterpillar form. For two...it has been known to dine on feces and animal carcasses! Hoo! That's why I call it the Emperor of EWWW!",I caught a great purple emperor! Its purple reign is over now!,64.0,Pet,Purple,Orange,Ins74,InsectOhmurasaki,FtrInsectOhmurasaki,3479.0,ZSre7sheZoRqsJwHQ
70.0,hermit crab,https://acnhcdn.com/latest/MenuIcon/Ins66.png,https://acnhcdn.com/latest/BookInsectIcon/InsectYadokariCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectYadokariCropped.png,1000.0,Disguised on shoreline,Any weather,0.0,25,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,1x1,Yes,"The hermit crab is not an insect... Though it most certainly resembles one. Blech! It looks much like a spider—what with its creepy eyes and crawly legs—but is, in fact, a crustacean. As such, the hermit crab has 10 legs and also wears a shell. But it doesn't grow this shell itself. It slips its soft body into shells left behind by snails, you see, and moves into ever-larger ones as it grows. Talk about a strange way to make a home.",I caught a hermit crab! I think it wanted to be left alone!,64.0,Pet,Beige,Pink,Ins66,InsectYadokari,FtrInsectYadokari,651.0,TzbsfYgE4k2qo7fHN
24.0,honeybee,https://acnhcdn.com/latest/MenuIcon/Ins11.png,https://acnhcdn.com/latest/BookInsectIcon/InsectMitsubachiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectMitsubachiCropped.png,200.0,Flying near flowers,Any except rain,0.0,30,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,1x1,No,"Did you know it takes a team of honeybees working together to transform flower nectar into honey? Indeed, forager bees suck nectar from flowers into their ""honey stomachs"" and then fly it to the hive. Hive bees then chew the substance and spit it into the honeycomb, fluttering their wings to dry it out. Yes, you could say honey is a tasty tribute to the hard work of the humble honeybee. Oh! Oh my! You mustn't confuse my lengthy description for admiration! At the end of the day, honeybees are still insects, and thus still ghastly! A wee bit less ghastly than most, I admit.","I caught a honeybee! Ah, sweet success!",64.0,Pet,Yellow,Blue,Ins11,InsectMitsubachi,FtrInsectMitsubachi,623.0,yeWiAiqDRwinvumDm
63.0,horned atlas,https://acnhcdn.com/latest/MenuIcon/Ins52.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKohkasasuohkabutoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKohkasasuohkabutoCropped.png,8000.0,On palm trees,Any weather,100.0,2,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"Beware the horned atlas! I tell you, this rhinoceros beetle is known for its violent temperament! The males use the three large horns on their heads to fight amongst each other for dominance. But it is their young that truly give me the cold sweats. You see, their larvae grow quite large and, worst of all...they bite! It is the stuff of nightmares, I say.",I caught a horned atlas! I didn't even need a map!,64.0,Pet,Black,Black,Ins52,InsectKohkasasuohkabuto,FtrInsectKohkasasuohkabuto,615.0,S93y8gxrSHFNCFmwJ
62.0,horned dynastid,https://acnhcdn.com/latest/MenuIcon/Ins51.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKabutomushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKabutomushiCropped.png,1350.0,On trees (any kind),Any weather,0.0,35,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"The horned dynastid's head is shaped like a samurai warrior's helmet, hootie-hoo! It would be a most impressive fact if their large size wasn't so horrifying! Adult males use their huge horned heads for fighting and digging, while the females have no such need. As for their larvae and pupae, they too are quite large and feed on rotting wood at a tremendous pace. A foul feast, indeed!",I caught a horned dynastid! I'd hate to hear it honk that schnoz!,64.0,Pet,Brown,Black,Ins51,InsectKabutomushi,FtrInsectKabutomushi,612.0,zaG8qsKLpbTjysx7D
64.0,horned elephant,https://acnhcdn.com/latest/MenuIcon/Ins53.png,https://acnhcdn.com/latest/BookInsectIcon/InsectZoukabutoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectZoukabutoCropped.png,8000.0,On palm trees,Any weather,100.0,2,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"The horned elephant beetle certainly lives up to its namesake. Not only does the horn on its head resemble the trunk of an elephant... It is also one of the heaviest beetles in the world! Size aside, allow me to reveal the real reason I find horned elephant beetles so repugnant... Their backs are covered in a fine coat of hair! Hirsute beetles! Hoot! The horror!",I caught a horned elephant! I think it's too small to ride...,64.0,Pet,Beige,Black,Ins53,InsectZoukabuto,FtrInsectZoukabuto,653.0,M7SHXNEMf78nJD6fE
65.0,horned hercules,https://acnhcdn.com/latest/MenuIcon/Ins54.png,https://acnhcdn.com/latest/BookInsectIcon/InsectHerakuresuohkabutoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectHerakuresuohkabutoCropped.png,12000.0,On palm trees,Any weather,100.0,1,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"The horned hercules is not only known for its tremendous strength, but for its size as well. It can grow up to seven-inches long and has powerful pincers covered in hair that help with gripping! As if this weren't ghastly enough, these behemoth beetles let loose a foul odor that fends off enemies... And offends my sense of smell.",I caught a horned hercules! Guess I was stronger!,64.0,Pet,Yellow,Black,Ins54,InsectHerakuresuohkabuto,FtrInsectHerakuresuohkabuto,600.0,TqhEomNEMDZ2wcTpk
45.0,jewel beetle,https://acnhcdn.com/latest/MenuIcon/Ins44.png,https://acnhcdn.com/latest/BookInsectIcon/InsectTamamushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectTamamushiCropped.png,2400.0,On tree stumps,Any except rain,20.0,5,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,1x1,Yes,"The green shimmer of the jewel beetle's wings is nothing short of nauseating...yes? No? Well, so says you. Though...jewel beetles were once prized by collectors who turned their iridescent wings into pretty jewelry. Why anyone would want to wear bug parts on their body is beyond me. Fashion foul indeed.",I caught a jewel beetle! It's a real gem!,64.0,Pet,Green,Black,Ins44,InsectTamamushi,FtrInsectTamamushi,645.0,TYFowxRG4ydcvotkQ
43.0,ladybug,https://acnhcdn.com/latest/MenuIcon/Ins37.png,https://acnhcdn.com/latest/BookInsectIcon/InsectTentoumushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectTentoumushiCropped.png,200.0,On flowers,Any except rain,0.0,40,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,NA,NA,NA,NA,NA,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,1x1,No,"Yes. Yes. Ladybugs are quite beloved thanks to their tiny round shape and adorable spots. To that I say BAH! The fact of the matter is, some have stripes instead of spots. And SOME have no markings at all! No, I shall never understand why it is said that when a ladybug lands on you...you'll have good luck. I shall only have a fainting spell.","I caught a ladybug! Sorry to disturb you, ma'am.",64.0,Pet,Red,Green,Ins37,InsectTentoumushi,FtrInsectTentoumushi,647.0,pYSSbvXzkuFneRvQ7
16.0,long locust,https://acnhcdn.com/latest/MenuIcon/Ins13.png,https://acnhcdn.com/latest/BookInsectIcon/InsectShoryobattaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectShoryobattaCropped.png,200.0,On the ground,Any weather,0.0,50,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,1x1,Yes,"As if the average locust weren't large enough...we must suffer the long locust too! The wretched beasts are known for their unusually long hind legs as well as their elongated heads. But that is hardly the long locusts' worst trait... I tell you, they spit brown goo when they're scared!","I caught a long locust! Or, as I call it, a looooocust.",64.0,Pet,Green,Blue,Ins13,InsectShoryobatta,FtrInsectShoryobatta,644.0,Q57sgq4hQTNZAqWXj
15.0,Madagascan sunset moth,https://acnhcdn.com/latest/MenuIcon/Ins79.png,https://acnhcdn.com/latest/BookInsectIcon/InsectNishikiohtsubamegaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectNishikiohtsubamegaCropped.png,2500.0,Flying near flowers,Any except rain,20.0,5,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,1x1,Yes,"The Madagascan sunset moth is said to be the most beautiful moth in the world...a sentiment even I can't deny. While most moths are nocturnal, this one flutters about during the day, making good use of the light. That is, when the daylight reflects off its wings, a kaleidoscope of colors are revealed! Oh! Eh...too bad it has such startling red feet as a caterpillar. I might have found it almost tolerable otherwise. Almost, but not quite.","I caught a Madagascan sunset moth! Wow, you're not from around here!",64.0,Pet,Green,Pink,Ins79,InsectNishikiohtsubamega,FtrInsectNishikiohtsubamega,3484.0,EFWMygLqnJinFoXSW
42.0,man-faced stink bug,https://acnhcdn.com/latest/MenuIcon/Ins78.png,https://acnhcdn.com/latest/BookInsectIcon/InsectJinmenkamemushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectJinmenkamemushiCropped.png,1000.0,On flowers,Any except rain,20.0,20,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,1x1,Yes,"Never mind this stink bug's smell. What you have here is a bug...with a FACE...on its BACK!! Wot-wot! Simply put, the man-faced stink bug has markings on its shell that resemble a human face. Once you notice this face, you cannot UN-notice it. Indeed, this face might haunt you forever. At least the face will distract you from the stink.",I caught a man-faced stink bug! Reminds me of my uncle!,64.0,Pet,Black,Orange,Ins78,InsectJinmenkamemushi,FtrInsectJinmenkamemushi,3483.0,zvr84Jvf4s6K23XJ5
22.0,mantis,https://acnhcdn.com/latest/MenuIcon/Ins15.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKamakiriCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKamakiriCropped.png,430.0,On flowers,Any except rain,0.0,30,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,1x1,Yes,Hoo! Don't let the mantis's angelic pose fool you...for it is truly monstrous. The mantis is known for its large size and tremendous strength...and for sickle-like arms that pack a punch. And though they tend to eat bugs and spiders...mantises have been known to dine on small animals too! And those eerie eyes! Oh my! Did you know it has five of them! Two big ones and three small! I shall faint if I think on it further...,"I caught a mantis! Man, 'tis so cool!",64.0,Pet,Green,Green,Ins15,InsectKamakiri,FtrInsectKamakiri,607.0,Qko2mfz7SaESpMcCv
17.0,migratory locust,https://acnhcdn.com/latest/MenuIcon/Ins14.png,https://acnhcdn.com/latest/BookInsectIcon/InsectTonosamabattaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectTonosamabattaCropped.png,600.0,On the ground,Any weather,20.0,10,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"Ah yes, the lone migratory locust. It seems like such a harmless hopper as it bounces about in the grass. But beware! When these pests band together and travel in swarms, they leave devastation in their wake! Migratory locusts have gathered by the millions throughout history, wiping out crops and causing famine. That's why I always say, ""Never let a locust hang out with its friends!"". That is precisely how a plague begins.",I caught a migratory locust! Things just went south for this guy!,64.0,Pet,Green,Orange,Ins14,InsectTonosamabatta,FtrInsectTonosamabatta,648.0,dkGagcjd7aZwFEszw
56.0,miyama stag,https://acnhcdn.com/latest/MenuIcon/Ins45.png,https://acnhcdn.com/latest/BookInsectIcon/InsectMiyamakuwagataCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectMiyamakuwagataCropped.png,1000.0,On trees (any kind),Any weather,0.0,35,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"The miyama stag has protrusions on its head that resemble ears... And yet, the ugly lumps are not ears! It is, however, called a ""stag"" beetle because of the large, deer-like horns upon its head. And the word ""miyama"" in its name means ""deep mountain"" in Japanese. Feel free to call it what you like. I will simply call it DISGUSTING. ""Disgusting stag beetle"" does have a ring.",I caught a miyama stag! Its mandibles are jaw-dropping!,64.0,Pet,Black,Black,Ins45,InsectMiyamakuwagata,FtrInsectMiyamakuwagata,624.0,qRGGm6MfuP4Aqdk3M
37.0,mole cricket,https://acnhcdn.com/latest/MenuIcon/Ins33.png,https://acnhcdn.com/latest/BookInsectIcon/InsectOkeraCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectOkeraCropped.png,500.0,Underground (dig where noise is loudest),Any weather,0.0,30,All day,All day,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,NA,1x1,Yes,"Be warned, there is nowhere one might hide from the mole cricket. This plump pest has powerful front claws made for digging holes, and oh how it loves to burrow underground! A cousin to the grasshopper, it also has wings and can easily take to the air. And I swear this on my pinfeathers... Some have even been seen walking on water! Oh mercy, I may need a moment. This is making me feel rather woozy...",I caught a mole cricket! I really dug it!,64.0,Pet,Brown,Yellow,Ins33,InsectOkera,FtrInsectOkera,634.0,HMWPGeeKw9LP6ucSq
8.0,monarch butterfly,https://acnhcdn.com/latest/MenuIcon/Ins4.png,https://acnhcdn.com/latest/BookInsectIcon/InsectOhkabamadaraCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectOhkabamadaraCropped.png,140.0,Flying near flowers,Any except rain,0.0,70,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 5 PM,4 AM – 5 PM,4 AM – 5 PM,NA,NA,NA,4 AM – 5 PM,4 AM – 5 PM,4 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"Did you know the monarch butterfly migrates south for the winter and returns north for the summer? Indeed, these horrid orange beasties do not tolerate the cold and travel 3,000 miles to escape the winter. During the journey, they cluster together in trees by the thousands just to stay warm. Imagine! Hordes of the foul flittering fiends huddled together in one place! If only they'd put on tiny coats instead.",I caught a monarch butterfly! Guess the butterflies are a democracy now!,64.0,Pet,Orange,Blue,Ins4,InsectOhkabamadara,FtrInsectOhkabamadara,636.0,BJPKSZMZ2tkLXkWjL
73.0,mosquito,https://acnhcdn.com/latest/MenuIcon/Ins58.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKaCropped.png,130.0,Flying,Any except rain,0.0,50,NA,NA,NA,NA,NA,5 PM – 4 AM,5 PM – 4 AM,5 PM – 4 AM,5 PM – 4 AM,NA,NA,NA,5 PM – 4 AM,5 PM – 4 AM,5 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 4 AM,1x1,No,"As everyone knows, the mosquito is a vampiric pest that sucks blood from innocent bystanders. But did you know that only the females suck blood? Hoo! It's true! They need it to make their eggs. When they sink their snout into our skin, they inject us with a saliva that helps them slurp up their meal. It's that saliva that makes us itch and scratch, you know. Hoo! So rude!",I caught a mosquito! It's itching for a fight!,64.0,Pet,Black,White,Ins58,InsectKa,FtrInsectKa,606.0,3mMZ74qpWWnoizJHh
13.0,moth,https://acnhcdn.com/latest/MenuIcon/Ins9.png,https://acnhcdn.com/latest/BookInsectIcon/InsectGaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectGaCropped.png,130.0,Flying near light sources,Any except rain,0.0,25,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,1x1,No,"Many think the moth is strictly a nocturnal creature. Alas, no! These frightful fluttering beasts have been known to haunt the daylight and twilight hours too. Thus, there is no time of day one might escape the moth trait I dislike most of all—those feathery antennae! The mere thought of them gives my feathers goosebumps. And I'm no goose.",I caught a moth! And I had a ball doing it!,64.0,Pet,Beige,Yellow,Ins9,InsectGa,FtrInsectGa,592.0,7Kd97rqbYBuzuCHgf
23.0,orchid mantis,https://acnhcdn.com/latest/MenuIcon/Ins16.png,https://acnhcdn.com/latest/BookInsectIcon/InsectHanakamakiriCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectHanakamakiriCropped.png,2400.0,On white flowers,Any except rain,20.0,15,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,1x1,Yes,The orchid mantis is a bug whose brilliant colors and petal-shaped limbs give it the look of a flower. This masterful mimicry allows it to hide from predators in among the orchids. But oh this fraudulent flower! It lures other insects in to drink its nectar... And makes a meal of them instead! Imagine! To behold a beautiful bud... only to discover it's a bug instead! A repulsive revelation indeed!,I caught an orchid mantis! Our friendship is blooming!,64.0,Pet,White,Pink,Ins16,InsectHanakamakiri,FtrInsectHanakamakiri,598.0,9b4v6nMrrThHEtNbB
