Name,Framed Image,Album Image,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
K.K. Western,https://acnhcdn.com/latest/FtrIcon/mjk_Western.png,https://acnhcdn.com/latest/Audio/mjk_Western.png,3200.0,800.0,103.0,Brown,Gray,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""A little blue..."" as your mood",For sale,1.0.0,1.0.0,mjk_Western,2452.0,AnjsMygxJozFjZCGC
King K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Daimyo.png,https://acnhcdn.com/latest/Audio/mjk_Daimyo.png,3200.0,800.0,103.0,Brown,Yellow,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""A little blue..."" as your mood",For sale,1.0.0,1.0.0,mjk_Daimyo,2466.0,B6siK6dLxCJACfGZY
Lucky K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Irish.png,https://acnhcdn.com/latest/Audio/mjk_Irish.png,3200.0,800.0,103.0,Brown,White,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""A little grumpy..."" as your mood",For sale,1.0.0,1.0.0,mjk_Irish,2424.0,jCGA9eAgRjkLuNf2q
Marine Song 2001,https://acnhcdn.com/latest/FtrIcon/mjk_HunaUta2001.png,https://acnhcdn.com/latest/Audio/mjk_HunaUta2001.png,3200.0,800.0,103.0,Brown,Light blue,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""Laid-back."" as your mood",For sale,1.0.0,1.0.0,mjk_HunaUta2001,2468.0,F8BvgZMycRgAjJv2A
Mountain Song,https://acnhcdn.com/latest/FtrIcon/mjk_Alpine.png,https://acnhcdn.com/latest/Audio/mjk_Alpine.png,3200.0,800.0,103.0,Brown,Light blue,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""I feel good!"" as your mood",For sale,1.0.0,1.0.0,mjk_Alpine,2467.0,5gDvnQ4uLnLwL85MK
Mr. K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Sensei.png,https://acnhcdn.com/latest/Audio/mjk_Sensei.png,3200.0,800.0,103.0,Brown,Beige,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""Laid-back."" as your mood",For sale,1.0.0,1.0.0,mjk_Sensei,2453.0,tGCobmkpe7AKsPmyn
My Place,https://acnhcdn.com/latest/FtrIcon/mjk_BokuNoBasho.png,https://acnhcdn.com/latest/Audio/mjk_BokuNoBasho.png,3200.0,800.0,103.0,Brown,Green,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""Laid-back."" as your mood",For sale,1.0.0,1.0.0,mjk_BokuNoBasho,2460.0,gQvdSw38P4QZwpkCh
Neapolitan,https://acnhcdn.com/latest/FtrIcon/mjk_Napolitan.png,https://acnhcdn.com/latest/Audio/mjk_Napolitan.png,3200.0,800.0,103.0,Brown,Black,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""I feel good!"" as your mood",For sale,1.0.0,1.0.0,mjk_Napolitan,2469.0,GDhwzHPsaEws6ciix
Only Me,https://acnhcdn.com/latest/FtrIcon/mjk_OnlyMe.png,https://acnhcdn.com/latest/Audio/mjk_OnlyMe.png,3200.0,800.0,103.0,Brown,Gray,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""A little blue..."" as your mood",For sale,1.0.0,1.0.0,mjk_OnlyMe,2444.0,wwhnr7dEdx36E8SRv
Pondering,https://acnhcdn.com/latest/FtrIcon/mjk_KangaeChu.png,https://acnhcdn.com/latest/Audio/mjk_KangaeChu.png,3200.0,800.0,103.0,Brown,Black,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""Laid-back."" as your mood",For sale,1.0.0,1.0.0,mjk_KangaeChu,2463.0,Gkk2Ck8DK627tiZkS
Rockin' K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_RocknRoll.png,https://acnhcdn.com/latest/Audio/mjk_RocknRoll.png,3200.0,800.0,103.0,Brown,Black,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""A little grumpy..."" as your mood",For sale,1.0.0,1.0.0,mjk_RocknRoll,2432.0,asXTn3mfi7tzowcuj
Soulful K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Gospel.png,https://acnhcdn.com/latest/Audio/mjk_Gospel.png,3200.0,800.0,103.0,Brown,Orange,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""Laid-back."" as your mood",For sale,1.0.0,1.0.0,mjk_Gospel,2437.0,g2F79ptmGzFrrFf55
Space K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Minimal.png,https://acnhcdn.com/latest/Audio/mjk_Minimal.png,3200.0,800.0,103.0,Brown,White,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""It's hard to say."" as your mood",For sale,1.0.0,1.0.0,mjk_Minimal,2483.0,WbnqF3FqDQYJwfXed
Spring Blossoms,https://acnhcdn.com/latest/FtrIcon/mjk_HaruNoKomorebi.png,https://acnhcdn.com/latest/Audio/mjk_HaruNoKomorebi.png,3200.0,800.0,103.0,Brown,Pink,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""I feel good!"" as your mood",For sale,1.0.0,1.0.0,mjk_HaruNoKomorebi,2476.0,q4ZmbxwwgjaNzvR4e
Stale Cupcakes,https://acnhcdn.com/latest/FtrIcon/mjk_BlueOnigiri.png,https://acnhcdn.com/latest/Audio/mjk_BlueOnigiri.png,3200.0,800.0,103.0,Brown,Blue,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""A little blue..."" as your mood",For sale,1.0.0,1.0.0,mjk_BlueOnigiri,2475.0,wh9i62k97gw3B34ER
Steep Hill,https://acnhcdn.com/latest/FtrIcon/mjk_NiDanZaka.png,https://acnhcdn.com/latest/Audio/mjk_NiDanZaka.png,3200.0,800.0,103.0,Brown,Orange,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""A little blue..."" as your mood",For sale,1.0.0,1.0.0,mjk_NiDanZaka,2470.0,v3WHjrpgdgeZ3jaFC
Surfin' K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Eleki.png,https://acnhcdn.com/latest/Audio/mjk_Eleki.png,3200.0,800.0,103.0,Brown,Blue,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""A little grumpy..."" as your mood",For sale,1.0.0,1.0.0,mjk_Eleki,2446.0,HEX474yLBRZ5xY5Pv
The K. Funk,https://acnhcdn.com/latest/FtrIcon/mjk_Funk.png,https://acnhcdn.com/latest/Audio/mjk_Funk.png,3200.0,800.0,103.0,Brown,Orange,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""It's hard to say."" as your mood",For sale,1.0.0,1.0.0,mjk_Funk,2435.0,8ciaF2Yxuhc5Jqpar
To the Edge,https://acnhcdn.com/latest/FtrIcon/mjk_NamiNami.png,https://acnhcdn.com/latest/Audio/mjk_NamiNami.png,3200.0,800.0,103.0,Brown,White,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""It's hard to say."" as your mood",For sale,1.0.0,1.0.0,mjk_NamiNami,2462.0,P5ABGwMHvnYiFHcQN
Two Days Ago,https://acnhcdn.com/latest/FtrIcon/mjk_Ototoi.png,https://acnhcdn.com/latest/Audio/mjk_Ototoi.png,3200.0,800.0,103.0,Brown,Black,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""A little blue..."" as your mood",For sale,1.0.0,1.0.0,mjk_Ototoi,2459.0,AzAHbHLA9oY2ihxrq
Wandering,https://acnhcdn.com/latest/FtrIcon/mjk_Horo.png,https://acnhcdn.com/latest/Audio/mjk_Horo.png,3200.0,800.0,103.0,Brown,Gray,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""Laid-back."" as your mood",For sale,1.0.0,1.0.0,mjk_Horo,2477.0,eDgjD4iS8sHZ64k3k
Welcome Horizons,https://acnhcdn.com/latest/FtrIcon/mjk_MainTheme.png,https://acnhcdn.com/latest/Audio/mjk_MainTheme.png,NFS,800.0,103.0,Brown,None,1x1,K.K. concert,Received on your first time seeing KK perform,Not for sale,1.0.0,1.0.0,mjk_MainTheme,4318.0,eBR8TwgdbAKWEQc3T
Hazure01,,,3200.0,800.0,0.0,None,None,1x1,K.K. concert,Played by K.K. if you request something he doesn't have (does not give take-home track),Not in catalog,1.0.0,1.0.0,mjk_Miss1,4315.0,yzpTLMjxFrMMyPe9t
Hazure02,,,3200.0,800.0,0.0,None,None,1x1,K.K. concert,Played by K.K. if you request something he doesn't have (does not give take-home track),Not in catalog,1.0.0,1.0.0,mjk_Miss2,4316.0,oeZ6a9qJA54fyuwA3
Hazure03,,,3200.0,800.0,0.0,None,None,1x2,K.K. concert,Played by K.K. if you request something he doesn't have (does not give take-home track),Not in catalog,1.0.0,1.0.0,mjk_Miss3,4317.0,cXrvAEgQstHcnP5Zf
