Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Style,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
retro sports bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderSports0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderSports0.png,Blue,No,1400.0,350.0,23.0,White,Blue,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,2.0,No,For sale,1.0.0,1.0.0,BagShoulderSports0,984.0,7302.0,vY7qcZFdWb3HgSv7L
retro sports bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderSports2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderSports2.png,Black,No,1400.0,350.0,23.0,Black,Yellow,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,3.0,No,For sale,1.0.0,1.0.0,BagShoulderSports2,984.0,12008.0,nGhHjk4GEKSQwvARA
sacoche bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderSacosh2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderSacosh2.png,Black,No,980.0,245.0,23.0,Black,White,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,1.0,No,For sale,1.0.0,1.0.0,BagShoulderSacosh2,985.0,11975.0,NRYqQLN2Beq4jpDBJ
sacoche bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderSacosh1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderSacosh1.png,Red,No,980.0,245.0,23.0,Red,Yellow,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,2.0,No,For sale,1.0.0,1.0.0,BagShoulderSacosh1,985.0,11974.0,LYnLwBnwTYcMp4fr9
sacoche bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderSacosh0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderSacosh0.png,Blue,No,980.0,245.0,23.0,Blue,Green,1x1,NA,Kicks,,All Year,Active,outdoorsy; sporty,3.0,No,For sale,1.0.0,1.0.0,BagShoulderSacosh0,985.0,7304.0,n82fhWWNSv8kyFJc2
shellfish pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderShell0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderShell0.png,NA,Yes,NFS,10800.0,201.0,White,White,1x1,NA,Crafting,,All Year,Cute,fairy tale; vacation,1.0,No,Not for sale,1.0.0,1.0.0,BagShoulderShell0,982.0,7494.0,XEsQxMf7k9qvjYxPF
snowflake pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderSnow0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderSnow0.png,NA,Yes,NFS,2400.0,201.0,Light blue,White,1x1,NA,Crafting,,All Year,Elegant,fairy tale; party; vacation,1.0,No,Not for sale,1.0.0,1.0.0,BagShoulderSnow0,981.0,7493.0,gW7R4HX8hjZEHAFtB
square backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackSquare1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackSquare1.png,Pink,No,1300.0,325.0,23.0,Pink,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy; sporty,1.0,No,For sale,1.0.0,1.0.0,BagBackpackSquare1,989.0,11967.0,wN6jaJRRvg6cQZXhk
square backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackSquare0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackSquare0.png,Yellow,No,1300.0,325.0,23.0,Yellow,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy; sporty,2.0,No,For sale,1.0.0,1.0.0,BagBackpackSquare0,989.0,7500.0,2RYepaMxTnXMZ9tXg
square backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackSquare2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackSquare2.png,Green,No,1300.0,325.0,23.0,Green,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy; sporty,3.0,No,For sale,1.0.0,1.0.0,BagBackpackSquare2,989.0,11968.0,rJain6G9X749mG5p7
star pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderStar0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderStar0.png,NA,Yes,NFS,3000.0,103.0,Yellow,Yellow,1x1,NA,Crafting,,All Year,Cute,fairy tale; party; vacation,1.0,No,Not for sale,1.0.0,1.0.0,BagShoulderStar0,977.0,7489.0,3WQ8vSWtHMjZ6YPtR
straw pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderRattan0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderRattan0.png,NA,No,980.0,245.0,23.0,Brown,Brown,1x1,NA,Kicks,,All Year,Simple,comfy; vacation,1.0,No,For sale,1.0.0,1.0.0,BagShoulderRattan0,976.0,7488.0,CGs3z4dKEkH82FDyq
studded backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackStuds1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackStuds1.png,White,No,1560.0,390.0,23.0,White,Gray,1x1,NA,Kicks,,All Year,Cool,everyday; goth,1.0,No,For sale,1.0.0,1.0.0,BagBackpackStuds1,992.0,12006.0,e6iev2NrSfaxSg5nr
studded backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackStuds0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackStuds0.png,Black,No,1560.0,390.0,23.0,Black,Yellow,1x1,NA,Kicks,,All Year,Cool,everyday; goth,2.0,No,For sale,1.0.0,1.0.0,BagBackpackStuds0,992.0,7503.0,mTMCDJnwtFJzvQ9rs
tackle bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderFishing0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderFishing0.png,NA,No,NFS,175.0,501.0,Blue,Orange,1x1,NA,Fishing Tourney,,All Year,Active,outdoorsy; sporty; work,1.0,No,Not for sale,1.0.0,1.0.0,BagShoulderFishing0,966.0,7478.0,prkWCjgn7gTK4X8QH
tool bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderTool0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderTool0.png,NA,No,910.0,227.0,23.0,Black,Yellow,1x1,NA,Kicks,,All Year,Active,outdoorsy; work,1.0,No,For sale,1.0.0,1.0.0,BagShoulderTool0,983.0,7497.0,KiXvv8fvv7CN5sFDx
town backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTown3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTown3.png,Red,No,1040.0,260.0,23.0,Red,Red,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy,1.0,No,For sale,1.0.0,1.0.0,BagBackpackTown3,957.0,11945.0,wkeZwbrp9BoHTEPRZ
town backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTown1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTown1.png,Orange,No,1040.0,260.0,23.0,Orange,Orange,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy,2.0,No,For sale,1.0.0,1.0.0,BagBackpackTown1,957.0,6839.0,aZasytqebQRikaZZZ
town backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTown0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTown0.png,Green,No,1040.0,260.0,23.0,Green,Green,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy,3.0,No,For sale,1.0.0,1.0.0,BagBackpackTown0,957.0,6838.0,sm5eKnwyeNyKGXQLC
town backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTown2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTown2.png,Blue,No,1040.0,260.0,23.0,Blue,Blue,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy,4.0,No,For sale,1.0.0,1.0.0,BagBackpackTown2,957.0,11944.0,WGhvofsBw6pFs5c93
travel pouch,https://acnhcdn.com/latest/ClosetIcon/BagShoulderTravel0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderTravel0.png,Pink,No,840.0,210.0,23.0,Pink,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy,1.0,No,For sale,1.0.0,1.0.0,BagShoulderTravel0,958.0,2550.0,ygrWBZtknqDLLH8Rn
travel pouch,https://acnhcdn.com/latest/ClosetIcon/BagShoulderTravel1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderTravel1.png,Green,No,840.0,210.0,23.0,Green,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy,2.0,No,For sale,1.0.0,1.0.0,BagShoulderTravel1,958.0,12000.0,oX3GfBwtMfcQ4STtd
travel pouch,https://acnhcdn.com/latest/ClosetIcon/BagShoulderTravel2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderTravel2.png,Light blue,No,840.0,210.0,23.0,Light blue,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy,3.0,No,For sale,1.0.0,1.0.0,BagShoulderTravel2,958.0,12001.0,SSHDSgfSasCP6AgmW
travel pouch,https://acnhcdn.com/latest/ClosetIcon/BagShoulderTravel3.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderTravel3.png,Purple,No,840.0,210.0,23.0,Purple,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy,4.0,No,For sale,1.0.0,1.0.0,BagShoulderTravel3,958.0,12002.0,HTjXg6MXwPZCwEtmJ
traveler's backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackJourney0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackJourney0.png,Orange,No,2940.0,735.0,23.0,Orange,Beige,1x1,NA,Kicks,,All Year,Simple,fairy tale; outdoorsy; work,1.0,No,For sale,1.0.0,1.0.0,BagBackpackJourney0,988.0,7499.0,ag2m7kcBg83aCARGE
traveler's backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackJourney1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackJourney1.png,Blue,No,2940.0,735.0,23.0,Blue,Beige,1x1,NA,Kicks,,All Year,Simple,fairy tale; outdoorsy; work,2.0,No,For sale,1.0.0,1.0.0,BagBackpackJourney1,988.0,11965.0,iprTWWTSARJtHTKqF
traveler's backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackJourney2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackJourney2.png,Brown,No,2940.0,735.0,23.0,Brown,Beige,1x1,NA,Kicks,,All Year,Simple,fairy tale; outdoorsy; work,3.0,No,For sale,1.0.0,1.0.0,BagBackpackJourney2,988.0,11966.0,ehhBAiZqTHaTExHYP
