Name,Image,DIY,Buy,Sell,Color 1,Color 2,Size,Size Category,Miles Price,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
rubber mud mat,https://acnhcdn.com/latest/FtrIcon/RugRectRubberScraperS00.png,No,1000.0,250.0,Green,Green,2x1 ,Small,NA,Saharah,,253.0,school,None,None,Slender Rugs,For sale,1.0.0,1.0.0,RugRectRubberScraperS00,7339.0,Er4wGFd53SAq3zsGX
shanty mat,https://acnhcdn.com/latest/FtrIcon/RugSquareOldStrawL00.png,No,2000.0,500.0,Brown,Beige,4x4 ,Large,NA,Saharah,,253.0,zen-style,None,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareOldStrawL00,7345.0,jLR8r3aHpRe4yJyxA
shell rug,https://acnhcdn.com/latest/FtrIcon/RugOtherShellM00.png,Yes,NFS,5400.0,Beige,Pink,3x3 ,Medium,NA,Crafting,,103.0,ocean,fancy,shell,Park Rugs,Not for sale,1.0.0,1.0.0,RugOtherShellM00,7362.0,kC3KJRKazh5c6m2uN
simple green bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS03.png,No,1000.0,250.0,Green,Green,2x1 ,Small,NA,Saharah,,253.0,bathroom,None,None,Slender Rugs,For sale,1.0.0,1.0.0,RugRectBathmatS03,7516.0,zfRhHqsvfBg5D6CJA
simple medium avocado mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM03.png,No,1500.0,375.0,Green,Green,3x3 ,Medium,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleM03,7524.0,9BzJWMCmruohLvY8x
simple medium black mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM07.png,No,1500.0,375.0,Black,Black,3x3 ,Medium,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleM07,7539.0,Nmx4FN5RX5LJ2xRF8
simple medium blue mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM02.png,No,1500.0,375.0,Blue,Blue,3x3 ,Medium,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleM02,7523.0,7nEjDqYTsZdF3n8Ky
simple medium brown mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM01.png,No,1500.0,375.0,Brown,Brown,3x3 ,Medium,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleM01,7519.0,FAqsC7JonfkPt3jc2
simple medium orange mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM05.png,No,1500.0,375.0,Orange,Orange,3x3 ,Medium,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleM05,7536.0,Bt6N5gWJJNtdNg8TC
simple medium purple mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM06.png,No,1500.0,375.0,Purple,Purple,3x3 ,Medium,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleM06,7538.0,9WryqBnvAMiSF7vJ6
simple medium red mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM04.png,No,1500.0,375.0,Red,Red,3x3 ,Medium,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleM04,7540.0,yB22Mz4KP2wbzjYtv
simple navy bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS01.png,No,1000.0,250.0,Gray,Gray,2x1 ,Small,NA,Saharah,,253.0,bathroom,None,None,Slender Rugs,For sale,1.0.0,1.0.0,RugRectBathmatS01,7518.0,AZQdF6gMi89DXP9K3
simple pink bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS02.png,No,1000.0,250.0,Pink,Pink,2x1 ,Small,NA,Saharah,,253.0,bathroom,None,None,Slender Rugs,For sale,1.0.0,1.0.0,RugRectBathmatS02,7517.0,Lqze8wPcmFatBMFDw
simple small avocado mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS03.png,No,1000.0,250.0,Green,Green,2x2 ,Small,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleS03,7520.0,PKfPEbTw8C55Qc5oH
simple small black mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS07.png,No,1000.0,250.0,Black,Black,2x2 ,Small,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleS07,7543.0,uSGDYs7hCuxMBTZbi
simple small blue mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS02.png,No,1000.0,250.0,Blue,Blue,2x2 ,Small,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleS02,7521.0,Q7FSQ4q6Hzt2YihKH
simple small brown mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS01.png,No,1000.0,250.0,Brown,Brown,2x2 ,Small,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleS01,7522.0,aKCpcBCjrn6wWcyw2
simple small orange mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS05.png,No,1000.0,250.0,Orange,Orange,2x2 ,Small,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleS05,7541.0,WomwFGQsQgogZNtQf
simple small purple mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS06.png,No,1000.0,250.0,Purple,Purple,2x2 ,Small,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleS06,7542.0,h7wpDFdwKgJs2BvgG
simple small red mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS04.png,No,1000.0,250.0,Red,Red,2x2 ,Small,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleS04,7537.0,nRakPP7nXacJB3YHX
sloppy rug,https://acnhcdn.com/latest/FtrIcon/RugOtherSloppyL00.png,No,2000.0,500.0,Light blue,Light blue,4x4 ,Large,NA,Saharah,,253.0,living room,child's room,None,Simple Rugs,For sale,1.0.0,1.0.0,RugOtherSloppyL00,7371.0,337rrvb9iapfJC4nb
snowflake rug,https://acnhcdn.com/latest/FtrIcon/RugRoundSnowM00.png,No,1500.0,375.0,Light blue,White,3x3 ,Medium,NA,Saharah,,253.0,freezing cold,fancy,None,Shaggy Round Rugs,For sale,1.0.0,1.0.0,RugRoundSnowM00,7346.0,upNaAkxPwQRHP6NXi
tatami mat,https://acnhcdn.com/latest/FtrIcon/RugRectTatamiM00.png,No,1500.0,375.0,Green,Yellow,3x2 ,Medium,NA,Saharah,,253.0,zen-style,None,None,Wood Rugs,For sale,1.0.0,1.0.0,RugRectTatamiM00,7369.0,m7efgfNG3HZR6G29s
tropical rug,https://acnhcdn.com/latest/FtrIcon/RugRoundIslandM00.png,No,1500.0,375.0,Green,Beige,3x3 ,Medium,NA,Saharah,,253.0,ocean,None,None,Park Rugs,For sale,1.0.0,1.0.0,RugRoundIslandM00,7358.0,tjgfDcBRhWQrxhjzk
turquoise heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM01.png,No,1500.0,375.0,Light blue,Light blue,3x3 ,Medium,NA,Saharah,,253.0,fancy,child's room,None,Heart Rugs,For sale,1.0.0,1.0.0,RugOtherHeartM01,7579.0,MeN8d4a4YKoFc2zDW
white heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM03.png,No,1500.0,375.0,White,White,3x3 ,Medium,NA,Saharah,,253.0,fancy,child's room,None,Heart Rugs,For sale,1.0.0,1.0.0,RugOtherHeartM03,7578.0,ur5qNz9QEkkCEPRDQ
white message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS00.png,No,1000.0,250.0,White,White,2x1 ,Small,NA,Saharah,,253.0,child's room,None,None,Message Mats,For sale,1.0.0,1.0.0,RugOtherMessageS00,7338.0,ey5h5kDoaHvTgEdkj
white rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM03.png,No,1500.0,375.0,White,White,3x3 ,Medium,NA,Saharah,,253.0,fancy,expensive,flowers,Rose Rug,For sale,1.0.0,1.0.0,RugOtherRoseM03,8757.0,fWrizz9CC3Lg8apM2
white simple medium mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM00.png,No,1500.0,375.0,Beige,White,3x3 ,Medium,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleM00,7335.0,vXD2oADv2fg4QRCp6
white simple small mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS00.png,No,1000.0,250.0,Beige,White,2x2 ,Small,NA,Saharah,,253.0,living room,facility,None,Simple Rugs,For sale,1.0.0,1.0.0,RugSquareSimpleS00,7336.0,vhxZi6oAZWm9gxRfK
white wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM03.png,No,NFS,375.0,None,None,3x2,Medium,NA,Cyrus,Only available during Wedding Season,437.0,party,expensive,wedding,Slender Pattern Rugs,Not for sale,1.2.0,1.2.1c,RugRectJuneBrideM03,12464.0,At7cbGksXn6rvhkQr
white wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM02.png,No,1500.0,375.0,White,White,3x2 ,Medium,NA,Saharah,,253.0,outdoors,None,None,Wood Rugs,For sale,1.0.0,1.0.0,RugRectDeckM02,7381.0,nmBMJkGHnxGdzYzzP
yellow argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL00.png,No,2000.0,500.0,Yellow,Yellow,4x3 ,Large,NA,Saharah,,253.0,living room,fancy,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectArgyleL00,7352.0,TEzohiZZfTSxoSNpd
yellow blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM02.png,No,1500.0,375.0,Yellow,Brown,3x3 ,Medium,NA,Saharah,,253.0,living room,None,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareBlockM02,11103.0,Gb4rwvjZv74CDT8qE
yellow checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL01.png,No,2000.0,500.0,Yellow,Green,4x4 ,Large,NA,Saharah,,253.0,living room,child's room,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareCheckQuiltL01,7462.0,GdqeFkwTpKJLFQpyK
yellow kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL03.png,No,2000.0,500.0,Yellow,Beige,5x5 ,Large,NA,Saharah,,253.0,living room,None,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareKirimL03,9315.0,274gPov62L9zR3onG
yellow kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS01.png,No,1000.0,250.0,Yellow,Yellow,2x1 ,Small,NA,Saharah,,253.0,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,1.0.0,RugRectKitchenS01,8395.0,CyGFnLgFnD3jrgKio
yellow medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM03.png,No,1500.0,375.0,Yellow,Yellow,3x3 ,Medium,NA,Saharah,,253.0,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,1.0.0,RugRoundSimpleM03,9544.0,TfKNppy5CiswuZGSw
yellow message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS02.png,No,1000.0,250.0,Yellow,Yellow,2x1 ,Small,NA,Saharah,,253.0,child's room,None,None,Message Mats,For sale,1.0.0,1.0.0,RugOtherMessageS02,9311.0,6NpR38JASvkZDezYq
yellow Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL02.png,No,2000.0,500.0,Yellow,Beige,5x5 ,Large,NA,Saharah,,253.0,expensive,living room,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquarePersianL02,8036.0,HdsBjfD2ongYrBt5m
yellow rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM02.png,No,1500.0,375.0,Yellow,Yellow,3x3 ,Medium,NA,Saharah,,253.0,fancy,expensive,flowers,Rose Rug,For sale,1.0.0,1.0.0,RugOtherRoseM02,8759.0,jta8sYzY36aqcjp3T
yellow small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS03.png,No,1000.0,250.0,Yellow,Yellow,2x2 ,Small,NA,Saharah,,253.0,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,1.0.0,RugRoundSimpleS03,9547.0,FS2ZvZLcRQDHp6hHr
yellow stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL00.png,No,2000.0,500.0,Yellow,White,4x3 ,Large,NA,Saharah,,253.0,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectBorderL00,7351.0,mJP9gz2YZAcQsWELE
yellow vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM03.png,No,1500.0,375.0,Yellow,Colorful,3x2 ,Medium,NA,Saharah,,253.0,garden,None,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectVinylM03,7403.0,8tMeC24TcYdot9ZuC
yellow-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS02.png,No,1000.0,250.0,Yellow,Black,2x1 ,Small,NA,Saharah,,253.0,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,1.0.0,RugRectNativeKitchenS02,7596.0,B76hfTkYR2vm96Hfd
