Name,Image,Buy,Sell,Description,HHA Base Points,Color 1,Color 2,Size,Source,Museum,Interact,Catalog,Filename,Internal ID,Unique Entry ID
ptera body,https://acnhcdn.com/latest/FtrIcon/FtrFossilPteranodonA.png,NFS,4000.0,"The mighty Pteranodon! Among the very largest animals ever to fly, they were role models to us all. With a wingspan of over 23 feet in some cases, I find it simply stunning that they ever did more than glide! But fly they did, soaring dynamically and dramatically over land and sea! I wish I could have seen it...",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilPteranodonA,206.0,6oAjXjSy7DqrbifKT
quetzal torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilQuetzalcoatlusA.png,NFS,4500.0,"The Quetzalcoatlus! The undisputed ruler of the skies...at least during the late Cretaceous period. It had a magnificent wingspan of roughly 36 feet, making it one of the largest flying animals ever! While it no doubt soared magnificently, we now know that it also crawled on all fours. It's a bit disappointing, really... This illustrious sky god scrabbling on the ground like a common beetle... They say you should never meet your heroes...",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilQuetzalcoatlusA,4697.0,SoS8Q55cyTsEyqeZi
right megalo side,https://acnhcdn.com/latest/FtrIcon/FtrFossilMegalocerosA.png,NFS,5500.0,"The Megaloceros was a relative of the deer that lived during the Ice Age, long after the dinosaurs. It was also known as ""megaloceros giganteus""...which just means ""deer with large horns"". True to their name, they were deer with antlers spanning roughly 10 feet across! Imagine the majesty! While smaller than many dinosaurs, they were nonetheless a very charismatic example of megafauna.",87.0,Beige,Brown,2x2,Assessing fossils,Room 3,No,Not for sale,FtrFossilMegalocerosA,4658.0,6qFWqu3vKF9SuPjRE
right ptera wing,https://acnhcdn.com/latest/FtrIcon/FtrFossilPteranodonB.png,NFS,4500.0,"The mighty Pteranodon! Among the very largest animals ever to fly, they were role models to us all. With a wingspan of over 23 feet in some cases, I find it simply stunning that they ever did more than glide! But fly they did, soaring dynamically and dramatically over land and sea! I wish I could have seen it...",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilPteranodonB,207.0,z45jBDDaRufwQkiEf
right quetzal wing,https://acnhcdn.com/latest/FtrIcon/FtrFossilQuetzalcoatlusB.png,NFS,5000.0,"The Quetzalcoatlus! The undisputed ruler of the skies...at least during the late Cretaceous period. It had a magnificent wingspan of roughly 36 feet, making it one of the largest flying animals ever! While it no doubt soared magnificently, we now know that it also crawled on all fours. It's a bit disappointing, really... This illustrious sky god scrabbling on the ground like a common beetle... They say you should never meet your heroes...",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilQuetzalcoatlusB,4698.0,aAXrsXuY5cTjq4yKi
sabertooth skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilSmilodonA.png,NFS,2500.0,"Chief actor in my most terrifying nightmares, the Sabertooth Tiger was a mighty predator of long ago. Its most famous feature, obviously, is its razor-sharp, eight-inch-long, t-t-te-tee-te-tee...FANGS! I'm sorry—this is so unprofessional of me. Come on, Blathers! Stiff upper beak, eh wot!d While no one has seen a living specimen for some 10,000 years, we must remain ever vigilant!",87.0,Brown,Brown,2x2,Assessing fossils,Room 3,No,Not for sale,FtrFossilSmilodonA,213.0,4xkrLpphWXubgtRPw
sabertooth tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilSmilodonB.png,NFS,2000.0,"Chief actor in my most terrifying nightmares, the Sabertooth Tiger was a mighty predator of long ago. Its most famous feature, obviously, is its razor-sharp, eight-inch-long, t-t-te-tee-te-tee...FANGS! I'm sorry—this is so unprofessional of me. Come on, Blathers! Stiff upper beak, eh wot!d While no one has seen a living specimen for some 10,000 years, we must remain ever vigilant!",87.0,Brown,Brown,2x2,Assessing fossils,Room 3,No,Not for sale,FtrFossilSmilodonB,214.0,iXfTo3dxakDrLZxnv
shark-tooth pattern,https://acnhcdn.com/latest/FtrIcon/FtrFossilShark.png,NFS,1000.0,"This shark-tooth pattern comes from the lower jaw of an ancient shark of the genus Helicoprion. Its teeth seem to have grown in a distinctive arrangement rather disturbingly termed a ""tooth-whorl"". I say ""seem"" because shark skeletons are made not of bone, but cartilage, except for their teeth. Consequently, their bodies are never preserved as fossils, and questions about their jaws remain unanswered. The size and placement in the stone of the shark's teeth are actually the only things we have to work with. Sometimes in research we must maintain a stiff upper lip, even in the absence of a stiff lower jaw!",87.0,Beige,Brown,1x1,Assessing fossils,Room 1,No,Not for sale,FtrFossilShark,302.0,yKE5xwKL9EeCJdN4D
spino skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilSpinosaurusA.png,NFS,4000.0,"Ahem. Yes. The Spinosaurus was a very large, carnivorous dinosaur, roughly the size of a T. Rex. Unlike its more famous cousin, however, Spinosaurus seems to have spent a great deal of time in water. Similar to modern crocodiles, this creature lived on a diet of fish AND land-dwelling animals. Personally, I am simply relieved that it did not seek FLYING prey.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,Yes,Not for sale,FtrFossilSpinosaurusA,222.0,qbzMLGPcJWikeTWAG
spino tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilSpinosaurusC.png,NFS,2500.0,"Ahem. Yes. The Spinosaurus was a very large, carnivorous dinosaur, roughly the size of a T. Rex. Unlike its more famous cousin, however, Spinosaurus seems to have spent a great deal of time in water. Similar to modern crocodiles, this creature lived on a diet of fish AND land-dwelling animals. Personally, I am simply relieved that it did not seek FLYING prey.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilSpinosaurusC,224.0,7gnFZgeb6qq6K34Tb
spino torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilSpinosaurusB.png,NFS,3000.0,"Ahem. Yes. The Spinosaurus was a very large, carnivorous dinosaur, roughly the size of a T. Rex. Unlike its more famous cousin, however, Spinosaurus seems to have spent a great deal of time in water. Similar to modern crocodiles, this creature lived on a diet of fish AND land-dwelling animals. Personally, I am simply relieved that it did not seek FLYING prey.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilSpinosaurusB,223.0,Ap8LgQD6Ht4dryTjk
stego skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilStegosaurusA.png,NFS,5000.0,"You can't talk about Stegosaurus without talking about the distinctive diamond-shaped plates on its back. These plates, while made of bone, were not actually connected to the animal's skeleton! They simply grew out from the skin, remarkably enough, and were up to two feet tall and similarly wide. It's not clear exactly how the plates were arranged or what they were for. Yet more mysteries of the ancients!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilStegosaurusA,226.0,DqsxWDoY5Mue6eQxg
stego tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilStegosaurusC.png,NFS,4000.0,"You can't talk about Stegosaurus without talking about the distinctive diamond-shaped plates on its back. These plates, while made of bone, were not actually connected to the animal's skeleton! They simply grew out from the skin, remarkably enough, and were up to two feet tall and similarly wide. It's not clear exactly how the plates were arranged or what they were for. Yet more mysteries of the ancients!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilStegosaurusC,228.0,DQgfeZCeApGKBazBL
stego torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilStegosaurusB.png,NFS,4500.0,"You can't talk about Stegosaurus without talking about the distinctive diamond-shaped plates on its back. These plates, while made of bone, were not actually connected to the animal's skeleton! They simply grew out from the skin, remarkably enough, and were up to two feet tall and similarly wide. It's not clear exactly how the plates were arranged or what they were for. Yet more mysteries of the ancients!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilStegosaurusB,227.0,Lv7ChzGsofd3qEjDL
T. rex skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilTRexA.png,NFS,6000.0,"I'd say that T. Rex is the 800-pound gorilla of the dinosaur world, but it likely weighed well over nine tons. This fearsome chap is practically synonymous with the word ""dinosaur"", and for good reason! At up to 42 feet long with banana-sized teeth, it was one of the largest carnivores ever to walk the earth. It's unclear how fast T. Rex was since estimates vary wildly... I am just relieved I will never have to escape one. Hoo.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,Yes,Not for sale,FtrFossilTRexA,238.0,9DunYGEb3QhJLwpPu
T. rex tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilTRexC.png,NFS,5000.0,"I'd say that T. Rex is the 800-pound gorilla of the dinosaur world, but it likely weighed well over nine tons. This fearsome chap is practically synonymous with the word ""dinosaur"", and for good reason! At up to 42 feet long with banana-sized teeth, it was one of the largest carnivores ever to walk the earth. It's unclear how fast T. Rex was since estimates vary wildly... I am just relieved I will never have to escape one. Hoo.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilTRexC,240.0,AfeJAEkmJCdgtMrWj
T. rex torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilTRexB.png,NFS,5500.0,"I'd say that T. Rex is the 800-pound gorilla of the dinosaur world, but it likely weighed well over nine tons. This fearsome chap is practically synonymous with the word ""dinosaur"", and for good reason! At up to 42 feet long with banana-sized teeth, it was one of the largest carnivores ever to walk the earth. It's unclear how fast T. Rex was since estimates vary wildly... I am just relieved I will never have to escape one. Hoo.",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilTRexB,239.0,q9voJCHs9X5b32TWf
tricera skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilTriceratopsA.png,NFS,5500.0,"As herbivores go, Triceratops was unusually well equipped for combat, wot! Its three horns and impressive, bony frill probably helped it fight off predators like T. Rex! The frill may also have been involved in temperature regulation, or else in attracting mates. Does it seem to you like virtually all distinctive dinosaur features were for body heat or attracting mates?",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,Yes,Not for sale,FtrFossilTriceratopsA,242.0,ueCYTncJDsf2RYJYx
tricera tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilTriceratopsC.png,NFS,4500.0,"As herbivores go, Triceratops was unusually well equipped for combat, wot! Its three horns and impressive, bony frill probably helped it fight off predators like T. Rex! The frill may also have been involved in temperature regulation, or else in attracting mates. Does it seem to you like virtually all distinctive dinosaur features were for body heat or attracting mates?",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilTriceratopsC,244.0,TXbdqeAkhjtqBJAWC
tricera torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilTriceratopsB.png,NFS,5000.0,"As herbivores go, Triceratops was unusually well equipped for combat, wot! Its three horns and impressive, bony frill probably helped it fight off predators like T. Rex! The frill may also have been involved in temperature regulation, or else in attracting mates. Does it seem to you like virtually all distinctive dinosaur features were for body heat or attracting mates?",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilTriceratopsB,243.0,s2EGQuuStMSwFdT8y
trilobite,https://acnhcdn.com/latest/FtrIcon/FtrFossilTrilobite.png,NFS,1300.0,"Trilobites were ancient and extinct before the dinosaurs ever appeared! It boggles the mind! Hoo! They were also one of the most successful classes of animal ever, existing for over 300 million years. Some 50,000 species have been identified in sizes ranging from three millimeters to over two feet! Alas, that is the very limit of my enthusiasm for them, though, they look rather too much like bugs.",87.0,Beige,Brown,1x1,Assessing fossils,Room 1,No,Not for sale,FtrFossilTrilobite,303.0,qFoqCvDTBd2oyC5Gz
