Name,Inventory Image,Storage Image,DIY,Stack Size,Buy,Sell,Miles Price,Source,Source Notes,HHA Base Points,Tag,Color 1,Color 2,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
large star fragment,https://acnhcdn.com/latest/MenuIcon/StarPieceRare.png,https://acnhcdn.com/latest/FtrIcon/StarpieceRare.png,No,10.0,NFS,2500.0,NA,Wishing on shooting stars,,0.0,NA,None,None,1.0.0,1.0.0,StarpieceRare,5984.0,FA6nhbrBzK7ESdoDL
leaf egg,https://acnhcdn.com/latest/MenuIcon/EggLeaf.png,https://acnhcdn.com/latest/FtrIcon/EggLeaf.png,No,30.0,NFS,200.0,NA,Hardwood Tree,Shaking decorated trees; Only available during Bunny Day,0.0,NA,None,None,1.1.0,1.1.0a,EggLeaf,12511.0,3rZgwsLcirdRrMrND
Leo fragment,https://acnhcdn.com/latest/MenuIcon/StarpieceLeo.png,https://acnhcdn.com/latest/FtrIcon/StarpieceLeo.png,No,10.0,NFS,500.0,NA,Wishing on shooting stars,"Only available during the Leo Zodiac, July 23 - August 22",0.0,NA,None,None,1.0.0,1.0.0,StarpieceLeo,5992.0,kxQAgnSXcGbYHtNLB
Libra fragment,https://acnhcdn.com/latest/MenuIcon/StarpieceLibra.png,https://acnhcdn.com/latest/FtrIcon/StarpieceLibra.png,No,10.0,NFS,500.0,NA,Wishing on shooting stars,"Only available during the Libra Zodiac, September 23 - October 23",0.0,NA,None,None,1.0.0,1.0.0,StarpieceLibra,5994.0,SRpunGqz97ZSyQeKq
light-blue wrapping paper,https://acnhcdn.com/latest/MenuIcon/WPaperLightBlue.png,https://acnhcdn.com/latest/FtrIcon/WPaperLightBlue.png,No,10.0,160.0,40.0,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,WPaperLightBlue,7689.0,k6ZfmjnoDpGqHWweS
lily-of-the-valley plant,https://acnhcdn.com/latest/MenuIcon/PltSuzuran.png,,No,1.0,NFS,222.0,NA,5-star town status,,0.0,Plants,None,None,1.0.0,1.0.0,PltSuzuran2,7651.0,LXttqtLN2HF8PhQbu
lost item,https://acnhcdn.com/latest/MenuIcon/Porch.png,https://acnhcdn.com/latest/FtrIcon/LostQuestBagDust.png,No,1.0,NFS,NA,NA,On ground,,0.0,NA,None,None,1.0.0,1.0.0,LostQuestBag,2374.0,uncR4zC9xppuSkiij
lost item,https://acnhcdn.com/latest/MenuIcon/Book.png,https://acnhcdn.com/latest/FtrIcon/LostQuestBookDust.png,No,1.0,NFS,NA,NA,On ground,,0.0,NA,None,None,1.0.0,1.0.0,LostQuestBook,2375.0,ymD8pZhYvP99PRiYr
lost item,https://acnhcdn.com/latest/MenuIcon/LostQuestMemo.png,https://acnhcdn.com/latest/FtrIcon/LostQuestNoteDust.png,No,1.0,NFS,NA,NA,On ground,,0.0,NA,None,None,1.0.0,1.0.0,LostQuestNote,5426.0,Fd7AxQwkCjc5RmfRW
manila clam,https://acnhcdn.com/latest/MenuIcon/ShellFishAsari.png,https://acnhcdn.com/latest/FtrIcon/FtrShellFishAsari.png,No,1.0,NFS,100.0,NA,Clam dig spot,,0.0,NA,None,None,1.0.0,1.0.0,FtrShellFishAsari,2567.0,JFoiWRD9rYYRQchWY
maple leaf,https://acnhcdn.com/latest/MenuIcon/AutumnLeaf.png,https://acnhcdn.com/latest/FtrIcon/AutumnLeaf.png,No,10.0,NFS,NA,NA,Catching with a net,Only available during Maple Leaf Season,0.0,NA,None,None,1.0.0,1.0.0,AutumnLeaf,7374.0,iNPeEEqdSxkjKFPDS
medicine,https://acnhcdn.com/latest/MenuIcon/Medicine.png,https://acnhcdn.com/latest/FtrIcon/ItemMedicine.png,Yes,10.0,400.0,100.0,NA,Nook's Cranny,,0.0,Hospital,None,None,1.0.0,1.0.0,ItemMedicine,2777.0,3pirDraBT9LTcGCDc
message bottle,https://acnhcdn.com/latest/MenuIcon/BottleRecipe.png,,No,1.0,NFS,NA,NA,Beach,,0.0,NA,None,None,1.0.0,1.0.0,MessageBottle,5793.0,euJRD9W3hqTR3YeGC
mint wrapping paper,https://acnhcdn.com/latest/MenuIcon/WPaperMint.png,https://acnhcdn.com/latest/FtrIcon/WPaperMint.png,No,10.0,160.0,40.0,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,WPaperMint,7688.0,J7HrFYe8eAajkNBPk
money tree,https://acnhcdn.com/latest/MenuIcon/PltMoney.png,,No,1.0,NFS,240.0,NA,Burying bells in a glowing spot,,0.0,Plants,None,None,1.0.0,1.0.0,PltMoney4,4426.0,ePzXeAjEBZXBhxuAF
moving kit,https://acnhcdn.com/latest/MenuIcon/TentWhite.png,,No,1.0,NFS,NA,NA,Tom Nook,,0.0,NA,None,None,1.0.0,1.0.0,MovingKitPlayer,5358.0,MyYYwJYdNvcGSEoFZ
museum moving kit,https://acnhcdn.com/latest/MenuIcon/TentWhite.png,,No,1.0,NFS,NA,NA,Tom Nook,,0.0,NA,None,None,1.0.0,1.0.0,MovingKitMuseum,5361.0,nrLWMtL3jGmWYDAQM
navy wrapping paper,https://acnhcdn.com/latest/MenuIcon/WPaperNavy.png,https://acnhcdn.com/latest/FtrIcon/WPaperNavy.png,No,10.0,160.0,40.0,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,WPaperNavy,7691.0,Ms5AhyNbJL5DuZrh2
Nook Miles Ticket,https://acnhcdn.com/latest/MenuIcon/PlaneTicket.png,,No,10.0,NFS,10000.0,2000.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,171.0,NA,None,None,1.0.0,1.0.0,MilePlaneTicket,5851.0,FAn9xRZvpBRAad3E6
old tire,https://acnhcdn.com/latest/MenuIcon/Tire.png,https://acnhcdn.com/latest/FtrIcon/TrashTire.png,No,1.0,NFS,10.0,NA,Fishing,Large shadow,0.0,NA,None,None,1.0.0,1.0.0,TrashTire,3470.0,3S8juGp87QfHvtpyq
orange,https://acnhcdn.com/latest/MenuIcon/Orange.png,https://acnhcdn.com/latest/FtrIcon/Orange.png,No,10.0,400.0,500.0,NA,Orange Tree,,0.0,NA,None,None,1.0.0,1.0.0,Orange,2214.0,T54w2hgHB3Edytw3f
orange cosmos,https://acnhcdn.com/latest/MenuIcon/Cosmos4.png,https://acnhcdn.com/latest/FtrIcon/FlwCosmosOrange.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Orange,Green,1.0.0,1.0.0,FlwCosmosOrange,2871.0,Hvp5sHy7uPHnH2Qda
orange hyacinths,https://acnhcdn.com/latest/MenuIcon/Hyacinth3.png,https://acnhcdn.com/latest/FtrIcon/FlwHyacinthOrange.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Orange,Green,1.0.0,1.0.0,FlwHyacinthOrange,3741.0,H7pirF6ynSFrpgLMN
orange lilies,https://acnhcdn.com/latest/MenuIcon/Yuri3.png,https://acnhcdn.com/latest/FtrIcon/FlwYuriOrange.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Orange,Green,1.0.0,1.0.0,FlwYuriOrange,2995.0,Y8kaixfp7SEvzCDCd
orange pansies,https://acnhcdn.com/latest/MenuIcon/Pansi4.png,https://acnhcdn.com/latest/FtrIcon/FlwPansyRedYellow.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Red,Green,1.0.0,1.0.0,FlwPansyRedYellow,2919.0,atQLxZD4CSqYsaNkM
orange roses,https://acnhcdn.com/latest/MenuIcon/Rose4.png,https://acnhcdn.com/latest/FtrIcon/FlwRoseOrange.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Orange,Green,1.0.0,1.0.0,FlwRoseOrange,2947.0,MsnwoMvrqgeH2ZrG6
orange tree,https://acnhcdn.com/latest/MenuIcon/PltOrange.png,,No,1.0,NFS,300.0,NA,Planting an orange,,0.0,Plants,None,None,1.0.0,1.0.0,PltOrange4,3365.0,RjcKphnD5xgCxeMFM
orange tulips,https://acnhcdn.com/latest/MenuIcon/Turip6.png,https://acnhcdn.com/latest/FtrIcon/FlwTulipOrange.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Orange,Green,1.0.0,1.0.0,FlwTulipOrange,2895.0,h9SC924x9vkjSAsBC
orange windflowers,https://acnhcdn.com/latest/MenuIcon/Anemone2.png,https://acnhcdn.com/latest/FtrIcon/FlwAnemonesOrange.png,No,10.0,NFS,40.0,NA,Picking flowers,,87.0,Plants,Orange,Green,1.0.0,1.0.0,FlwAnemonesOrange,3713.0,dCQyoCdY9JFYxHXbR
orange wrapping paper,https://acnhcdn.com/latest/MenuIcon/WPaperOrange.png,https://acnhcdn.com/latest/FtrIcon/WPaperOrange.png,No,10.0,160.0,40.0,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,WPaperOrange,7685.0,brMQqHjgqsMz5kdtb
orange-cosmos plant,https://acnhcdn.com/latest/MenuIcon/PltCosmos4.png,,No,1.0,NFS,80.0,NA,Red/yellow cosmos,,0.0,Plants,None,None,1.0.0,1.0.0,PltCosmosOrange3,3832.0,ZMn3hzNpMRg9vkW7E
orange-hyacinth plant,https://acnhcdn.com/latest/MenuIcon/PltHyacinth3.png,,No,1.0,NFS,80.0,NA,Red/yellow hyacinths,,0.0,Plants,None,None,1.0.0,1.0.0,PltHyacinthOrange3,3916.0,Qm6vasEvBMXEaWDgF
orange-lily plant,https://acnhcdn.com/latest/MenuIcon/PltYuri3.png,,No,1.0,NFS,80.0,NA,Red/yellow lilies,,0.0,Plants,None,None,1.0.0,1.0.0,PltYuriOrange3,3894.0,b2dp3BnCjLEQTcyHt
orange-pansy plant,https://acnhcdn.com/latest/MenuIcon/PltPansi4.png,,No,1.0,NFS,80.0,NA,Red/yellow pansies,,0.0,Plants,None,None,1.0.0,1.0.0,PltPansyRedYellow3,3856.0,NN4tLZwnXJA7nsQJF
orange-rose plant,https://acnhcdn.com/latest/MenuIcon/PltRose4.png,,No,1.0,NFS,80.0,NA,Red/yellow roses,,0.0,Plants,None,None,1.0.0,1.0.0,PltRoseOrange3,3870.0,WN72HFoZ3fyhwQ5NG
orange-tea-olive bush,https://acnhcdn.com/latest/MenuIcon/PltBushOsmathusOrange.png,,No,1.0,560.0,140.0,NA,Digging up a fully grown bush,,0.0,NA,None,None,1.2.0,1.2.0,PltBushOsmathusOrange2,12482.0,ijnrJoK6XMityJZDM
orange-tea-olive nursery,https://acnhcdn.com/latest/MenuIcon/PltBushOsmathusOrange.png,,No,1.0,280.0,70.0,NA,Planting a bush start,,0.0,NA,None,None,1.2.0,1.2.0,PltBushOsmathusOrange0,12754.0,YiNQSEMBSiYzc45YQ
orange-tea-olive start,https://acnhcdn.com/latest/ShopPlant/SeedBushOsmathusOrange.png,https://acnhcdn.com/latest/FtrIcon/SeedBushOsmathusOrange.png,No,10.0,280.0,70.0,NA,Leif,,0.0,NA,None,None,1.2.0,1.2.0,SeedBushOsmathusOrange,12480.0,QRyD9Q4f7vzqQdeCs
orange-tulip plant,https://acnhcdn.com/latest/MenuIcon/PltTurip6.png,,No,1.0,NFS,80.0,NA,Red/yellow tulips,,0.0,Plants,None,None,1.0.0,1.0.0,PltTulipOrange3,3844.0,iYi6dRqA3vA8fb4oZ
orange-windflower bag,https://acnhcdn.com/latest/MenuIcon/SeedPaperbag3.png,https://acnhcdn.com/latest/FtrIcon/SeedAnemonesOrange.png,No,10.0,240.0,60.0,NA,Nook's Cranny,,0.0,Plants,None,None,1.0.0,1.0.0,SeedAnemonesOrange,3714.0,HuPd5NbyLkkFvigEo
orange-windflower plant,https://acnhcdn.com/latest/MenuIcon/PltAnemone2.png,,No,1.0,NFS,40.0,NA,Seed bag,,0.0,Plants,None,None,1.0.0,1.0.0,PltAnemonesOrange3,3900.0,E9PAkZEzQ3HaJiRqy
peach,https://acnhcdn.com/latest/MenuIcon/Peach.png,https://acnhcdn.com/latest/FtrIcon/Peach.png,No,10.0,400.0,500.0,NA,Peach Tree,,0.0,NA,None,None,1.0.0,1.0.0,Peach,2286.0,qjF3dwhQy3e2LiWtr
peach tree,https://acnhcdn.com/latest/MenuIcon/PltPeach.png,,No,1.0,NFS,300.0,NA,Planting a peach,,0.0,Plants,None,None,1.0.0,1.0.0,PltPeach4,3375.0,jr4TgJyTJyZ933o6T
pear,https://acnhcdn.com/latest/MenuIcon/Pear.png,https://acnhcdn.com/latest/FtrIcon/Pear.png,No,10.0,400.0,500.0,NA,Pear Tree,,0.0,NA,None,None,1.0.0,1.0.0,Pear,2285.0,pnTL7PHd4rtyzkanu
pear tree,https://acnhcdn.com/latest/MenuIcon/PltPear.png,,No,1.0,NFS,300.0,NA,Planting a pear,,0.0,Plants,None,None,1.0.0,1.0.0,PltPear4,3370.0,7kQWGcj7EmNqj8KiL
pearl,https://acnhcdn.com/latest/MenuIcon/Pearl.png,,No,30.0,NFS,10000.0,NA,Diving,,251.0,NA,None,None,1.3.0,1.3.0,Pearl,12968.0,EtiYMntRoS8RN53Rn
pine cone,https://acnhcdn.com/latest/MenuIcon/DIYPinecone.png,https://acnhcdn.com/latest/FtrIcon/DIYPinecone.png,No,30.0,NFS,200.0,NA,Cedar Tree,Shaking; Only available during Fall,0.0,NA,None,None,1.0.0,1.0.0,DIYPinecone,5728.0,pKvkjhsyir2FimNts
pink cosmos,https://acnhcdn.com/latest/MenuIcon/Cosmos3.png,https://acnhcdn.com/latest/FtrIcon/FlwCosmosPink.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Pink,Green,1.0.0,1.0.0,FlwCosmosPink,2867.0,898Ts8bbEr7iNZzGG
pink hyacinths,https://acnhcdn.com/latest/MenuIcon/Hyacinth4.png,https://acnhcdn.com/latest/FtrIcon/FlwHyacinthPink.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Pink,Green,1.0.0,1.0.0,FlwHyacinthPink,3738.0,wNbmG4DKhkErfibGX
pink lilies,https://acnhcdn.com/latest/MenuIcon/Yuri4.png,https://acnhcdn.com/latest/FtrIcon/FlwYuriPink.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Pink,Green,1.0.0,1.0.0,FlwYuriPink,2991.0,kiCkkhX3PNkfauJXo
pink mums,https://acnhcdn.com/latest/MenuIcon/Mum3.png,https://acnhcdn.com/latest/FtrIcon/FlwMumPink.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Pink,Green,1.0.0,1.0.0,FlwMumPink,3765.0,xNhBxScQvumKJeYDz
pink roses,https://acnhcdn.com/latest/MenuIcon/Rose3.png,https://acnhcdn.com/latest/FtrIcon/FlwRosePink.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Pink,Green,1.0.0,1.0.0,FlwRosePink,2943.0,Y3XgoGJjbP4FARKP8
pink tulips,https://acnhcdn.com/latest/MenuIcon/Turip3.png,https://acnhcdn.com/latest/FtrIcon/FlwTulipPink.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Pink,Green,1.0.0,1.0.0,FlwTulipPink,2891.0,xsXifs2QAihKWQneZ
pink windflowers,https://acnhcdn.com/latest/MenuIcon/Anemone3.png,https://acnhcdn.com/latest/FtrIcon/FlwAnemonesPink.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Pink,Green,1.0.0,1.0.0,FlwAnemonesPink,3720.0,ap2QtwXRXd3rCw99D
pink wrapping paper,https://acnhcdn.com/latest/MenuIcon/WPaperPink.png,https://acnhcdn.com/latest/FtrIcon/WPaperPink.png,No,10.0,160.0,40.0,NA,Nook's Cranny,,0.0,NA,None,None,1.0.0,1.0.0,WPaperPink,7684.0,nRfsjMz6ctyb5gpGt
pink-azalea bush,https://acnhcdn.com/latest/MenuIcon/PltAzaleaPink.png,,No,1.0,560.0,140.0,NA,Digging up a fully grown bush,,0.0,NA,None,None,1.2.0,1.2.0,PltAzaleaPink2,3788.0,jy3SJweiZ5ketX4zg
pink-azalea nursery,https://acnhcdn.com/latest/MenuIcon/PltAzaleaPink.png,,No,1.0,280.0,70.0,NA,Planting a bush start,,0.0,NA,None,None,1.2.0,1.2.0,PltAzaleaPink0,12748.0,Ez7WK3mA2WD5CeyHb
pink-azalea start,https://acnhcdn.com/latest/ShopPlant/SeedAzaleaPink.png,https://acnhcdn.com/latest/FtrIcon/SeedAzaleaPink.png,No,10.0,280.0,70.0,NA,Leif,,0.0,NA,None,None,1.2.0,1.2.0,SeedAzaleaPink,3786.0,R69MFoTNoTFaAFokq
pink-camellia bush,https://acnhcdn.com/latest/MenuIcon/PltBushCamelliaPink.png,,No,1.0,560.0,140.0,NA,Digging up a fully grown bush,,0.0,NA,None,None,1.2.0,1.2.0,PltBushCamelliaPink2,12492.0,tKaeYZdRmGtTShfmH
pink-camellia nursery,https://acnhcdn.com/latest/MenuIcon/PltBushCamelliaPink.png,,No,1.0,280.0,70.0,NA,Planting a bush start,,0.0,NA,None,None,1.2.0,1.2.0,PltBushCamelliaPink0,12756.0,dCLfqkekaY3tAFmvc
pink-camellia start,https://acnhcdn.com/latest/ShopPlant/SeedBushCamelliaPink.png,https://acnhcdn.com/latest/FtrIcon/SeedBushCamelliaPink.png,No,10.0,280.0,70.0,NA,Leif,,0.0,NA,None,None,1.2.0,1.2.0,SeedBushCamelliaPink,12490.0,nWKkXpxtQqLCtmPEG
pink-cosmos plant,https://acnhcdn.com/latest/MenuIcon/PltCosmos3.png,,No,1.0,NFS,80.0,NA,Red/white cosmos,,0.0,Plants,None,None,1.0.0,1.0.0,PltCosmosPink3,3830.0,sPeds6o4kAXvts6mc
pink-hyacinth plant,https://acnhcdn.com/latest/MenuIcon/PltHyacinth4.png,,No,1.0,NFS,80.0,NA,Red/white hyacinths,,0.0,Plants,None,None,1.0.0,1.0.0,PltHyacinthPink3,3914.0,3w8JnddzGnc2yb4LF
pink-hydrangea bush,https://acnhcdn.com/latest/MenuIcon/PltHydrangeaPink.png,,No,1.0,560.0,140.0,NA,Digging up a fully grown bush,,0.0,NA,None,None,1.2.0,1.2.0,PltHydrangeaPink2,3796.0,t3sEjgXcrmrJ9WbS7
pink-hydrangea nursery,https://acnhcdn.com/latest/MenuIcon/PltHydrangeaPink.png,,No,1.0,280.0,70.0,NA,Planting a bush start,,0.0,NA,None,None,1.2.0,1.2.0,PltHydrangeaPink0,12750.0,6FZYjcB7o4msQZhhM
pink-hydrangea start,https://acnhcdn.com/latest/ShopPlant/SeedHydrangeaPink.png,https://acnhcdn.com/latest/FtrIcon/SeedHydrangeaPink.png,No,10.0,280.0,70.0,NA,Leif,,0.0,NA,None,None,1.2.0,1.2.0,SeedHydrangeaPink,3794.0,MeN5MT4W7J4dbcWcC
pink-lily plant,https://acnhcdn.com/latest/MenuIcon/PltYuri4.png,,No,1.0,NFS,80.0,NA,Red/white lilies,,0.0,Plants,None,None,1.0.0,1.0.0,PltYuriPink3,3892.0,iRrTAcjkNBukdsAQm
pink-mum plant,https://acnhcdn.com/latest/MenuIcon/PltMum3.png,,No,1.0,NFS,80.0,NA,Red/white mums,,0.0,Plants,None,None,1.0.0,1.0.0,PltMumPink3,3930.0,yP44c6mMQC7u5udxv
pink-rose plant,https://acnhcdn.com/latest/MenuIcon/PltRose3.png,,No,1.0,NFS,80.0,NA,Red/white roses,,0.0,Plants,None,None,1.0.0,1.0.0,PltRosePink3,3868.0,wpLag9jyPSoMr6wcW
pink-tulip plant,https://acnhcdn.com/latest/MenuIcon/PltTurip3.png,,No,1.0,NFS,80.0,NA,Red/white tulips,,0.0,Plants,None,None,1.0.0,1.0.0,PltTulipPink3,3842.0,usSvXn26PTCuavTHo
pink-windflower plant,https://acnhcdn.com/latest/MenuIcon/PltAnemone3.png,,No,1.0,NFS,80.0,NA,Red/orange windflowers,,0.0,Plants,None,None,1.0.0,1.0.0,PltAnemonesPink3,3904.0,YJfanQias2fdR9t9X
Pisces fragment,https://acnhcdn.com/latest/MenuIcon/StarpiecePisces.png,https://acnhcdn.com/latest/FtrIcon/StarpiecePisces.png,No,10.0,NFS,500.0,NA,Wishing on shooting stars,"Only available during the Pisces Zodiac, February 19 - March 20",0.0,NA,None,None,1.0.0,1.0.0,StarpiecePisces,5987.0,nCwjX8yHBFefjAion
pitfall seed,https://acnhcdn.com/latest/MenuIcon/SeedPitfall.png,https://acnhcdn.com/latest/FtrIcon/PitfallSeed.png,Yes,10.0,NFS,140.0,NA,Crafting,,0.0,NA,None,None,1.0.0,1.0.0,PitfallSeed,2578.0,HYdEMJJQXzoudrWDT
plot 1 housing kit,https://acnhcdn.com/latest/MenuIcon/TentWhite.png,,No,1.0,NFS,NA,NA,Tom Nook,,0.0,NA,None,None,1.0.0,1.0.0,HousingKitRcoQuestA,5827.0,2JkqabfsQ26vYe7Fp
plot 2 housing kit,https://acnhcdn.com/latest/MenuIcon/TentWhite.png,,No,1.0,NFS,NA,NA,Tom Nook,,0.0,NA,None,None,1.0.0,1.0.0,HousingKitRcoQuestB,5828.0,h63H2kQtzWceBt57Y
plot 3 housing kit,https://acnhcdn.com/latest/MenuIcon/TentWhite.png,,No,1.0,NFS,NA,NA,Tom Nook,,0.0,NA,None,None,1.0.0,1.0.0,HousingKitRcoQuestC,5829.0,5JGfxP3vczLy755Y4
Pocket Organization Guide,https://acnhcdn.com/latest/MenuIcon/HowtoBookExpansion.png,,No,1.0,NFS,NA,5000.0,Nook Miles Redemption,,0.0,NA,None,None,1.0.0,1.0.0,HowtoBookPocketExpansion,9052.0,rMYGGvqwXxrzrA2FG
present,https://acnhcdn.com/latest/MenuIcon/Present.png,,No,1.0,NFS,222.0,NA,Mail,,0.0,Seasonal Decor,None,None,1.0.0,1.0.0,DummyPresentbox,4480.0,eKkBqvy3TwbZbNQWZ
present (black),https://acnhcdn.com/latest/MenuIcon/WBagBlack.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingBlack.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingBlack,7714.0,Fz8reyFJoWrSLQSvq
present (blue),https://acnhcdn.com/latest/MenuIcon/WBagBlue.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingBlue.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingBlue,7708.0,f38mKJ6yzmhtjyWXS
present (brown),https://acnhcdn.com/latest/MenuIcon/WBagBrown.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingBrown.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingBrown,7712.0,hwkpJC9vq2AYKrhqe
present (chartreuse),https://acnhcdn.com/latest/MenuIcon/WBagLightGreen.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingLightGreen.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingLightGreen,7702.0,78JwZftyosktxaKyQ
present (gold),https://acnhcdn.com/latest/MenuIcon/WBagGold.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingGold.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingGold,7711.0,JzsQLAwTvEPAZ2f9x
present (gray),https://acnhcdn.com/latest/MenuIcon/WBagGary.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingGary.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingGary,7713.0,fw5ehh62f4u6rvQbw
present (green),https://acnhcdn.com/latest/MenuIcon/WBagGreen.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingGreen.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingGreen,7703.0,9uhhf44dFKeQ4b5zP
present (light-blue),https://acnhcdn.com/latest/MenuIcon/WBagLightBlue.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingLightBlue.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingLightBlue,7705.0,gFWMoXzFEjAaBkoFi
present (mint),https://acnhcdn.com/latest/MenuIcon/WBagMint.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingMint.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingMint,7704.0,uWkGsjeN7twxbeXLR
present (navy),https://acnhcdn.com/latest/MenuIcon/WBagNavy.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingNavy.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingNavy,7707.0,YeKbW5aZJbTqDGemJ
present (orange),https://acnhcdn.com/latest/MenuIcon/WBagOrange.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingOrange.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingOrange,7701.0,nHGaD5m8mC7s7CXvL
present (pink),https://acnhcdn.com/latest/MenuIcon/WBagPink.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingPink.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingPink,7700.0,pvtYwhqa379pE76XE
present (purple),https://acnhcdn.com/latest/MenuIcon/WBagPurple.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingPurple.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingPurple,7706.0,7hrL79hJbARyu7ipm
present (red),https://acnhcdn.com/latest/MenuIcon/WBagRed.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingRed.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingRed,7710.0,id6zFR4kWdzBig22Z
present (white),https://acnhcdn.com/latest/MenuIcon/WBagWhite.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingWhite.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingWhite,7709.0,a5AhJAfzsgzgTfMty
present (yellow),https://acnhcdn.com/latest/MenuIcon/WBagYellow.png,https://acnhcdn.com/latest/FtrIcon/DummyWrappingYellow.png,No,1.0,NFS,NA,NA,Wrapping a present,,0.0,NA,None,None,1.0.0,1.0.0,DummyWrappingYellow,7699.0,BammpXwkmiSSZ7uxz
Pretty Good Tools Recipes,https://acnhcdn.com/latest/MenuIcon/BookRecipe.png,,No,1.0,NFS,NA,3000.0,Nook Miles Redemption,,0.0,NA,None,None,1.0.0,1.0.0,DIYbookNormalTools,9221.0,qX2D6tr7ba6exWbPj
purple hyacinths,https://acnhcdn.com/latest/MenuIcon/Hyacinth5.png,https://acnhcdn.com/latest/FtrIcon/FlwHyacinthPurple.png,No,10.0,NFS,240.0,NA,Picking flowers,,87.0,Plants,Purple,Green,1.0.0,1.0.0,FlwHyacinthPurple,3751.0,9F9TFje8ycfZHtGwb
purple mums,https://acnhcdn.com/latest/MenuIcon/Mum5.png,https://acnhcdn.com/latest/FtrIcon/FlwMumPurple.png,No,10.0,NFS,80.0,NA,Picking flowers,,87.0,Plants,Purple,Green,1.0.0,1.0.0,FlwMumPurple,3762.0,Cx4oGE5eG4dByu52t
purple pansies,https://acnhcdn.com/latest/MenuIcon/Pansi3.png,https://acnhcdn.com/latest/FtrIcon/FlwPansyPurple.png,No,10.0,NFS,240.0,NA,Picking flowers,,87.0,Plants,Purple,Green,1.0.0,1.0.0,FlwPansyPurple,2923.0,j7gZeSSTHAcNjGTz7
