Name,Image,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Miles Price,Source,Source Notes,Version Added,Version Unlocked,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,Serial ID,Internal ID,Unique Entry ID
cardboard chair,https://acnhcdn.com/latest/DIYRecipeIcon/FtrCardboardChairS.png,1.0,cardboard box,,,,,,,,,,,NFS,200.0,NA,Lazy villagers,,1.0.0,1.0.0,0.0,Housewares,7163.0,yellow,2130.0,498.0,keFZfoTQf5ShhZn7b
cardboard sofa,https://acnhcdn.com/latest/DIYRecipeIcon/FtrCardboardSofaL.png,2.0,cardboard box,,,,,,,,,,,NFS,200.0,NA,Peppy villagers,,1.0.0,1.0.0,0.0,Housewares,7159.0,yellow,2131.0,500.0,XfuFR6TygpGsHECLn
cardboard table,https://acnhcdn.com/latest/DIYRecipeIcon/FtrCardboardTableL.png,4.0,cardboard box,,,,,,,,,,,NFS,200.0,NA,Peppy villagers,,1.0.0,1.0.0,0.0,Housewares,7160.0,yellow,2132.0,496.0,nXCaiKb8ZKtRdFrps
cherry dress,https://acnhcdn.com/latest/DIYRecipeIcon/TopsTexOnepieceAlineNCherry0.png,8.0,cherry,,,,,,,,,,,NFS,200.0,NA,Peppy villagers,,1.0.0,1.0.0,100.0,Equipment,9838.0,yellow,1482.0,612.0,XeA7zE2nkf38vLXR2
cherry hat,https://acnhcdn.com/latest/DIYRecipeIcon/CapHatCherry0.png,5.0,cherry,,,,,,,,,,,NFS,200.0,NA,Peppy villagers,,1.0.0,1.0.0,100.0,Equipment,9873.0,yellow,1481.0,613.0,t7SsbKgRAa6GWgjR8
cherry lamp,https://acnhcdn.com/latest/DIYRecipeIcon/FtrFruitsLampW.png,10.0,cherry,2.0,clay,,,,,,,,,NFS,200.0,NA,Peppy villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is cherries,1.0.0,1.0.0,100.0,Wall-mounted,4012.0,yellow,1430.0,162.0,6hBjge6rn7Sxd5sr7
cherry rug,https://acnhcdn.com/latest/DIYRecipeIcon/RugOtherCherryM00.png,6.0,cherry,,,,,,,,,,,NFS,200.0,NA,Peppy villagers,,1.0.0,1.0.0,100.0,Rugs,7328.0,yellow,1470.0,543.0,pMnYDcm7v9cjAdLj2
cherry speakers,https://acnhcdn.com/latest/DIYRecipeIcon/FtrFruitsMusic.png,10.0,cherry,2.0,iron nugget,,,,,,,,,NFS,200.0,NA,Peppy villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is cherries,1.0.0,1.0.0,100.0,Miscellaneous,4011.0,yellow,1400.0,161.0,TtSKEhTt2uf2P9Mcj
cherry umbrella,https://acnhcdn.com/latest/DIYRecipeIcon/UmbrellaCherry0.png,7.0,cherry,,,,,,,,,,,NFS,200.0,NA,Peppy villagers,,1.0.0,1.0.0,100.0,Equipment,9949.0,yellow,1480.0,614.0,pKzsdzbBmNX3hZd7R
cherry wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallCherry00.png,20.0,cherry,,,,,,,,,,,NFS,200.0,NA,Peppy villagers,,1.0.0,1.0.0,100.0,Wallpaper,4919.0,yellow,1450.0,307.0,c4EyTmXti6TusMbGF
cherry-blossom bonsai,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBonsaiSakura.png,6.0,cherry-blossom petal,2.0,hardwood,3.0,clump of weeds,3.0,clay,,,,,NFS,200.0,NA,Balloons,Only available during Cherry-Blossom Season,1.0.0,1.0.0,0.0,Miscellaneous,6030.0,pink,2601.0,375.0,ToGQibiXb4sB3pT7B
cherry-blossom branches,https://acnhcdn.com/latest/DIYRecipeIcon/FtrSakuraBranch.png,8.0,cherry-blossom petal,4.0,tree branch,5.0,clay,,,,,,,NFS,200.0,NA,Balloons,Only available during Cherry-Blossom Season,1.0.0,1.0.0,0.0,Housewares,6031.0,pink,2602.0,419.0,6P3zgNBfKCc3vZxjJ
cherry-blossom clock,https://acnhcdn.com/latest/DIYRecipeIcon/FtrSakuraClockW.png,5.0,cherry-blossom petal,1.0,iron nugget,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Cherry-Blossom Season,1.0.0,1.0.0,0.0,Wall-mounted,6832.0,pink,2630.0,426.0,9kPKbzAAQzJTu9758
cherry-blossom flooring,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexFloorSakura00.png,10.0,cherry-blossom petal,20.0,clump of weeds,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Cherry-Blossom Season,1.0.0,1.0.0,0.0,Floors,7204.0,pink,2660.0,479.0,Bthw6qsrWMxRp4L2J
cherry-blossom pochette,https://acnhcdn.com/latest/DIYRecipeIcon/BagShoulderCherryblossoms0.png,6.0,cherry-blossom petal,,,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Cherry-Blossom Season,1.0.0,1.0.0,0.0,Equipment,7490.0,pink,2681.0,630.0,vh9iLeDKLo3LR8T4G
cherry-blossom pond stone,https://acnhcdn.com/latest/DIYRecipeIcon/FtrStonewaterbowlSakura.png,10.0,stone,3.0,cherry-blossom petal,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Cherry-Blossom Season,1.0.0,1.0.0,0.0,Housewares,7409.0,light gray,820.0,511.0,5kPZxufBzifksrFoK
cherry-blossom umbrella,https://acnhcdn.com/latest/DIYRecipeIcon/UmbrellaCherryblossom0.png,7.0,cherry-blossom petal,,,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Cherry-Blossom Season,1.0.0,1.0.0,0.0,Equipment,9945.0,pink,2680.0,629.0,Ss2QnC4nP26NFyexM
cherry-blossom wand,https://acnhcdn.com/latest/DIYRecipeIcon/ToolStickCherryblossom.png,3.0,cherry-blossom petal,3.0,star fragment,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Cherry-Blossom Season,1.0.0,1.0.0,0.0,Tools,7589.0,pink,2690.0,537.0,TRZ2p8L58k3FvGpPJ
cherry-blossom-petal pile,https://acnhcdn.com/latest/DIYRecipeIcon/FtrSakuraPetal.png,5.0,cherry-blossom petal,,,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Cherry-Blossom Season,1.0.0,1.0.0,0.0,Housewares,6032.0,pink,2600.0,418.0,Brh7tns5YQ2rzkYLN
cherry-blossom-trees wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomSpWallSakura00.png,10.0,cherry-blossom petal,5.0,hardwood,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Cherry-Blossom Season,1.0.0,1.0.0,0.0,Wallpaper,7205.0,pink,2650.0,480.0,C4v4pT2hwNJdB82tD
chic cosmos wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathCosmosRare.png,10.0,black cosmos,,,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,200.0,Wall-mounted,5764.0,green,3548.0,444.0,XgThrnxG75cqkssWt
chic mum crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentMum2.png,3.0,purple mums,3.0,pink mums,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,100.0,Equipment,5118.0,green,3604.0,259.0,tZEt9aNRec7gTZDjp
chic rose crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentRose3.png,3.0,purple roses,3.0,black roses,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,200.0,Equipment,5113.0,green,3614.0,254.0,af3PHSYfriLmgvb8b
chic tulip crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentTulip2.png,2.0,purple tulips,2.0,pink tulips,1.0,orange tulips,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,100.0,Equipment,5103.0,green,3610.0,244.0,AWo72X4YM3PnWSL2P
chic windflower wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathAnemoneRare.png,10.0,purple windflowers,,,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,200.0,Wall-mounted,5765.0,green,3542.0,440.0,2W5Pa9MKWHhknBENu
chocolate herringbone wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallHerringbone01.png,15.0,softwood,,,,,,,,,,,NFS,200.0,NA,Smug villagers,,1.0.0,1.0.0,0.0,Wallpaper,4805.0,brown,525.0,313.0,TvTxY9NBsDvQfXAJH
clackercart,https://acnhcdn.com/latest/DIYRecipeIcon/FtrKatakatatoy.png,2.0,hardwood,6.0,softwood,,,,,,,,,NFS,200.0,NA,Lazy villagers,,1.0.0,1.0.0,0.0,Housewares,80.0,brown,402.0,164.0,EqWJqEqcpki2TCTXS
classic pitcher,https://acnhcdn.com/latest/DIYRecipeIcon/FtrPotteryjug.png,4.0,clay,,,,,,,,,,,NFS,200.0,NA,Tom Nook; Snooty villagers,Obtained during the main storyline during the villager house development quest,1.0.0,1.0.0,0.0,Miscellaneous,4073.0,brick,702.0,192.0,jtdnvzuzyxYDa6xov
classic-library wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallLibrary00.png,10.0,book,,,,,,,,,,,NFS,200.0,NA,Normal villagers,,1.0.0,1.0.0,100.0,Wallpaper,4837.0,yellow,2103.0,317.0,tWZXois4WZ3ztMwv6
clothesline,https://acnhcdn.com/latest/DIYRecipeIcon/FtrClothesline.png,10.0,tree branch,,,,,,,,,,,NFS,200.0,NA,Tom Nook; Cranky villagers,50% chance of being obtained during the main storyline during the villager house development quest,1.0.0,1.0.0,0.0,Housewares,3229.0,brown,203.0,457.0,kQm8o92yBJJPNpM2o
coconut juice,https://acnhcdn.com/latest/DIYRecipeIcon/FtrCoconutjuice.png,1.0,coconut,,,,,,,,,,,NFS,200.0,NA,Snooty villagers,,1.0.0,1.0.0,0.0,Miscellaneous,3684.0,green,1800.0,163.0,43ztxc7D5XHDmAMXA
coconut wall planter,https://acnhcdn.com/latest/DIYRecipeIcon/FtrPlanterPalm.png,1.0,coconut,5.0,clump of weeds,,,,,,,,,NFS,200.0,NA,Snooty villagers,,1.0.0,1.0.0,50.0,Wall-mounted,4130.0,green,1830.0,405.0,tw8LKPHQrkMZwgAua
colored-leaves flooring,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexFloorAutumun00.png,10.0,maple leaf,15.0,clump of weeds,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Maple Leaf Season,1.0.0,1.0.0,0.0,Floors,4990.0,brown,2960.0,476.0,ENEvnncek9KfcwS9G
cool hyacinth crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentHyacinth2.png,4.0,blue hyacinths,2.0,pink hyacinths,2.0,orange hyacinths,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,100.0,Equipment,5097.0,green,3621.0,238.0,zRzWiZwk8nTjaPxy7
cool hyacinth wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathHyacinthMix.png,3.0,orange hyacinths,3.0,blue hyacinths,3.0,pink hyacinths,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,100.0,Wall-mounted,5750.0,green,3561.0,453.0,HaC5frhoXCDpy5YYj
cool pansy crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentPansy2.png,3.0,orange pansies,3.0,blue pansies,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,100.0,Equipment,5106.0,green,3618.0,247.0,HH3M3xNAeCLsHTZRj
cool pansy wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathPansyRare.png,10.0,purple pansies,,,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,200.0,Wall-mounted,5767.0,green,3559.0,450.0,RxiJe64ebSZy3dsHg
cool windflower crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentAnemone2.png,3.0,blue windflowers,3.0,pink windflowers,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,100.0,Equipment,5100.0,green,3601.0,241.0,8KsLNr5dskMACBgmg
cool windflower wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathAnemoneMix.png,3.0,blue windflowers,3.0,pink windflowers,3.0,white windflowers,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,100.0,Wall-mounted,5746.0,green,3541.0,441.0,Aer6cEdrENAWFD4TP
corral fence,https://acnhcdn.com/latest/DIYRecipeIcon/ItemFenceHorizontalWood.png,6.0,wood,,,,,,,,,,,NFS,200.0,1000.0,Nook Miles Exchange,,1.0.0,1.0.0,0.0,Other,4349.0,brown,580.0,269.0,MRhMdwsDKNuaDfi8s
cosmos crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentCosmos1.png,2.0,red cosmos,2.0,yellow cosmos,3.0,white cosmos,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,0.0,Equipment,5108.0,green,3606.0,249.0,RBhKgvizEg6uocZvQ
cosmos shower,https://acnhcdn.com/latest/DIYRecipeIcon/FtrFlowerShower.png,5.0,pink cosmos,3.0,iron nugget,,,,,,,,,NFS,200.0,NA,Snooty villagers,,1.0.0,1.0.0,50.0,Housewares,7230.0,green,3502.0,501.0,WqnkcGJydxs7ueTdr
cosmos wand,https://acnhcdn.com/latest/DIYRecipeIcon/ToolStickCosmos.png,1.0,white cosmos,3.0,star fragment,,,,,,,,,NFS,200.0,NA,Celeste,,1.0.0,1.0.0,0.0,Tools,5092.0,green,3672.0,528.0,qw6sc7YjNoXFjQt7J
cosmos wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathCosmos.png,3.0,yellow cosmos,3.0,white cosmos,3.0,red cosmos,,,,,,,NFS,200.0,NA,All villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native flower is cosmos,1.0.0,1.0.0,50.0,Wall-mounted,4293.0,green,3546.0,227.0,KwujCjwLcpr42PGb3
country fence,https://acnhcdn.com/latest/DIYRecipeIcon/ItemFenceLog.png,6.0,hardwood,,,,,,,,,,,NFS,200.0,1000.0,Nook Miles Exchange,,1.0.0,1.0.0,0.0,Other,4350.0,brown,583.0,268.0,Wy3TCH3APTHJrpDhg
crescent-moon chair,https://acnhcdn.com/latest/DIYRecipeIcon/FtrStarMoonChairL.png,7.0,star fragment,1.0,large star fragment,,,,,,,,,NFS,200.0,NA,Celeste,,1.0.0,1.0.0,0.0,Housewares,6829.0,silver,2201.0,432.0,3FcpSCLM9gcJrNhMu
crest doorplate,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentCrest.png,4.0,iron nugget,,,,,,,,,,,NFS,200.0,NA,Smug villagers,,1.0.0,1.0.0,50.0,Wall-mounted,5717.0,dark gray,941.0,469.0,rBCZK2XaMKZ4jXrNH
crewed spaceship,https://acnhcdn.com/latest/DIYRecipeIcon/FtrSpacecraft.png,10.0,star fragment,20.0,iron nugget,,,,,,,,,NFS,200.0,NA,Celeste,,1.0.0,1.0.0,0.0,Housewares,5676.0,silver,2224.0,434.0,2SBnbqnymBq9DczP6
cute lily crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentYuri2.png,2.0,pink lilies,2.0,orange lilies,2.0,white lilies,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,100.0,Equipment,5115.0,green,3624.0,256.0,WNR9mPLvre4qtfrnQ
cute rose crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentRose2.png,3.0,pink roses,3.0,orange roses,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,100.0,Equipment,5112.0,green,3613.0,253.0,GqacSkmPu6G4u43tR
cutting board,https://acnhcdn.com/latest/DIYRecipeIcon/FtrCuttingboard.png,2.0,hardwood,1.0,iron nugget,,,,,,,,,NFS,200.0,NA,Normal villagers,,1.0.0,1.0.0,0.0,Miscellaneous,3618.0,brown,465.0,284.0,ebxdGKznZzRDMMccg
dark bamboo rug,https://acnhcdn.com/latest/DIYRecipeIcon/RugRectBambooM01.png,6.0,bamboo piece,,,,,,,,,,,NFS,200.0,NA,Cranky villagers,,1.0.0,1.0.0,50.0,Rugs,11114.0,green,2470.0,672.0,4FRs7iQAhxjseeyWP
dark cosmos crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentCosmos3.png,7.0,black cosmos,,,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,200.0,Equipment,5110.0,green,3608.0,251.0,yoXYwWGZ7xpNi9P4W
dark lily crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentYuri3.png,6.0,black lilies,,,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,200.0,Equipment,5116.0,green,3625.0,257.0,Fr3oaQMDbkQ9N9i8t
dark lily wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathYuriRare.png,10.0,black lilies,,,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,200.0,Wall-mounted,5770.0,green,3565.0,454.0,ExWh3urifQgJTCCH3
dark rose wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathRoseRare.png,3.0,black roses,6.0,purple roses,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,200.0,Wall-mounted,5766.0,green,3554.0,446.0,utyr7MwFDwd8syFcW
dark tulip crown,https://acnhcdn.com/latest/DIYRecipeIcon/CapOrnamentTulip3.png,5.0,black tulips,,,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,200.0,Equipment,5104.0,green,3611.0,245.0,xJjpphgWJpHubYFET
dark tulip wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathTulipRare.png,10.0,black tulips,,,,,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,200.0,Wall-mounted,5771.0,green,3551.0,362.0,oCnpF6D3PyAJ5kGz8
dark wooden-mosaic wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallMixPlankWood01.png,15.0,wood,,,,,,,,,,,NFS,200.0,NA,Big Sister villagers,,1.0.0,1.0.0,0.0,Wallpaper,4860.0,brown,522.0,311.0,sEZQCkucygfgPphNu
decoy duck,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDecoy.png,4.0,softwood,,,,,,,,,,,NFS,200.0,NA,Smug villagers,,1.0.0,1.0.0,0.0,Miscellaneous,1797.0,brown,466.0,390.0,Rb8PSLPkNwP7hCk8G
deer decoration,https://acnhcdn.com/latest/DIYRecipeIcon/FtrHuntingtrophy.png,8.0,softwood,,,,,,,,,,,NFS,200.0,NA,Lazy villagers,,1.0.0,1.0.0,50.0,Wall-mounted,3340.0,brown,482.0,378.0,BTF82ckDtSkknQmua
deer scare,https://acnhcdn.com/latest/DIYRecipeIcon/FtrShishiodoshi.png,3.0,bamboo piece,8.0,stone,3.0,clump of weeds,,,,,,,NFS,200.0,NA,Cranky villagers,,1.0.0,1.0.0,50.0,Housewares,677.0,green,2408.0,359.0,Tdhp7ADcciKJj7y3H
destinations signpost,https://acnhcdn.com/latest/DIYRecipeIcon/FtrSignpostWorld.png,4.0,hardwood,8.0,softwood,,,,,,,,,NFS,200.0,1500.0,Nook Miles Exchange,,1.0.0,1.0.0,0.0,Housewares,4309.0,brown,441.0,383.0,39ryJtTNCrokaosYW
DIY workbench,https://acnhcdn.com/latest/DIYRecipeIcon/FtrWorkbench.png,5.0,wood,5.0,hardwood,5.0,softwood,3.0,iron nugget,1.0,mini DIY workbench,,,NFS,200.0,NA,Big Sister villagers,,1.0.0,1.0.0,100.0,Housewares,1241.0,brown,302.0,263.0,sjr8rh3ZujiLscc3C
document stack,https://acnhcdn.com/latest/DIYRecipeIcon/FtrOfficePapers.png,1.0,scattered papers,,,,,,,,,,,NFS,200.0,NA,Smug villagers,,1.0.0,1.0.0,100.0,Miscellaneous,1750.0,yellow,2120.0,462.0,rLvnyoEj48NFgsNpX
doghouse,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoghouse.png,10.0,wood,7.0,hardwood,,,,,,,,,NFS,200.0,NA,Jock villagers,,1.0.0,1.0.0,0.0,Housewares,1799.0,brown,430.0,14.0,vMF3FP2steT4gaJ9u
drinking fountain,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDrinkingfountain.png,8.0,stone,2.0,iron nugget,,,,,,,,,NFS,200.0,800.0,Nook Miles Exchange,,1.0.0,1.0.0,0.0,Housewares,2319.0,light gray,803.0,77.0,tsTxksskAQtbvJMWB
earth-egg outfit,https://acnhcdn.com/latest/DIYRecipeIcon/TopsTexOnepieceRibNEggground0.png,3.0,earth egg,,,,,,,,,,,NFS,200.0,NA,Collecting earth eggs,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Equipment,12449.0,yellow,3761.0,674.0,7Mt6bHNy79mjNGipa
earth-egg shell,https://acnhcdn.com/latest/DIYRecipeIcon/CapHatEggground0.png,2.0,earth egg,,,,,,,,,,,NFS,200.0,NA,Collecting earth eggs,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Equipment,12439.0,yellow,3760.0,673.0,C9wvFR7fBGccZDyWa
earth-egg shoes,https://acnhcdn.com/latest/DIYRecipeIcon/ShoesLowcutEggground0.png,2.0,earth egg,,,,,,,,,,,NFS,200.0,NA,Collecting earth eggs,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Equipment,12455.0,yellow,3762.0,675.0,usLoxmkjFnPhxs9nr
egg party dress,https://acnhcdn.com/latest/DIYRecipeIcon/TopsTexOnepieceBalloonLEgg0.png,3.0,earth egg,3.0,stone egg,3.0,leaf egg,3.0,wood egg,3.0,sky egg,3.0,water egg,NFS,200.0,NA,Learning all egg outfit DIYs,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Equipment,12448.0,yellow,3779.0,692.0,zNdwTbYA7G3MRrqkE
egg party hat,https://acnhcdn.com/latest/DIYRecipeIcon/CapHatEggparty0.png,2.0,earth egg,2.0,stone egg,2.0,leaf egg,2.0,wood egg,2.0,sky egg,2.0,water egg,NFS,200.0,NA,Learning all egg outfit DIYs,Only available during Bunny Day,1.1.0,1.1.0a,0.0,Equipment,12446.0,yellow,3778.0,691.0,SCBtDqCaR7QLCprjw
fancy lily wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathYuriMix.png,3.0,orange lilies,3.0,pink lilies,3.0,yellow lilies,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,100.0,Wall-mounted,5677.0,green,3564.0,455.0,yj4Z2oGDi6Thvm89d
fancy mum wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathMumMix.png,3.0,pink mums,3.0,purple mums,3.0,red mums,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,100.0,Wall-mounted,5749.0,green,3544.0,443.0,qW3wgimoN7XhG5BvD
fancy rose wreath,https://acnhcdn.com/latest/DIYRecipeIcon/FtrDoorOrnamentWreathRoseMix.png,3.0,orange roses,3.0,pink roses,3.0,yellow roses,,,,,,,NFS,200.0,NA,All villagers,,1.0.0,1.0.0,100.0,Wall-mounted,5747.0,green,3553.0,448.0,vr9dDrXLQuDSwfDdy
festive top set,https://acnhcdn.com/latest/DIYRecipeIcon/FtrFestivaltop.png,2.0,gold ornament,1.0,hardwood,,,,,,,,,NFS,200.0,NA,Balloons,Only available during Festive Season,1.0.0,1.0.0,0.0,Miscellaneous,12230.0,white,3400.0,650.0,tyq7gwEQhneN7ret4
festive tree,https://acnhcdn.com/latest/DIYRecipeIcon/FtrTreeXmasS.png,3.0,red ornament,3.0,blue ornament,3.0,gold ornament,5.0,wood,,,,,NFS,200.0,NA,Balloons,Only available during Festive Season,1.0.0,1.0.0,0.0,Housewares,3991.0,white,3403.0,274.0,vtwGE69N2Z3GppKwx
firewood,https://acnhcdn.com/latest/DIYRecipeIcon/FtrFirewood.png,8.0,wood,,,,,,,,,,,NFS,200.0,NA,Jock villagers,,1.0.0,1.0.0,0.0,Miscellaneous,5970.0,brown,467.0,402.0,yDibbjkFgmEuJtdS6
fish bait,https://acnhcdn.com/latest/DIYRecipeIcon/FishBait.png,1.0,manila clam,,,,,,,,,,,NFS,200.0,NA,Digging up clams,,1.0.0,1.0.0,0.0,Other,4549.0,white,131.0,191.0,XSQzMk4R5tzbPbToi
fishing rod,https://acnhcdn.com/latest/DIYRecipeIcon/ToolAngling.png,1.0,flimsy fishing rod,1.0,iron nugget,,,,,,,,,NFS,200.0,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,1.0.0,1.0.0,0.0,Tools,2377.0,beige,106.0,282.0,FeccEGBoFMHyMM75Q
flat garden rock,https://acnhcdn.com/latest/DIYRecipeIcon/FtrGardenrockLow.png,20.0,stone,,,,,,,,,,,NFS,200.0,NA,Snooty villagers,,1.0.0,1.0.0,0.0,Housewares,12206.0,light gray,806.0,646.0,JFxaTW3m9gD8zWTyQ
flimsy axe,https://acnhcdn.com/latest/DIYRecipeIcon/ToolAxeStone.png,5.0,tree branch,1.0,stone,,,,,,,,,280.0,200.0,NA,Tom Nook; Nook's Cranny,Obtained through Tom Nook's DIY Workshop at the beginning of the game and can also be purchased at Nook's Cranny,1.0.0,1.0.0,0.0,Tools,3068.0,beige,100.0,10.0,6WFHd6r74ZDND9eCx
flimsy fishing rod,https://acnhcdn.com/latest/DIYRecipeIcon/ToolFishingrodWood.png,5.0,tree branch,,,,,,,,,,,280.0,200.0,NA,Tom Nook,Obtained through Tom Nook's DIY Workshop at the beginning of the game,1.0.0,1.0.0,0.0,Tools,3084.0,beige,105.0,21.0,9JboJHudaWqqbQxbZ
flimsy net,https://acnhcdn.com/latest/DIYRecipeIcon/ToolNet.png,5.0,tree branch,,,,,,,,,,,280.0,200.0,NA,Tom Nook,Obtained from Tom Nook after completing his DIY Workshop at the beginning of the game,1.0.0,1.0.0,0.0,Tools,2376.0,beige,107.0,22.0,jF9AD5TZekwWomWwJ
flimsy shovel,https://acnhcdn.com/latest/DIYRecipeIcon/ToolShovelWood.png,5.0,hardwood,,,,,,,,,,,280.0,200.0,NA,Blathers; Nook's Cranny,,1.0.0,1.0.0,0.0,Tools,3082.0,beige,103.0,19.0,bPp3TpiueJDRte9wT
flimsy watering can,https://acnhcdn.com/latest/DIYRecipeIcon/ToolWateringWood.png,5.0,softwood,,,,,,,,,,,280.0,200.0,NA,Tom Nook; Nook's Cranny,,1.0.0,1.0.0,0.0,Tools,3083.0,beige,109.0,20.0,FnnhLbn7KQdg2Xqey
floral swag,https://acnhcdn.com/latest/DIYRecipeIcon/FtrFlowerSwag.png,10.0,clump of weeds,,,,,,,,,,,NFS,200.0,NA,Normal villagers,,1.0.0,1.0.0,50.0,Wall-mounted,4027.0,green,1230.0,121.0,d2brTtEXPaFRfbcFh
flower stand,https://acnhcdn.com/latest/DIYRecipeIcon/FtrStandflower.png,1.0,red roses,2.0,pink roses,2.0,orange roses,2.0,white lilies,1.0,yellow lilies,4.0,purple windflowers,NFS,200.0,NA,Big Sister villagers,,1.0.0,1.0.0,100.0,Housewares,7527.0,green,3508.0,608.0,faN686NpjrFkDricn
flying saucer,https://acnhcdn.com/latest/DIYRecipeIcon/FtrUFO.png,15.0,star fragment,10.0,iron nugget,,,,,,,,,NFS,200.0,NA,Celeste,,1.0.0,1.0.0,0.0,Housewares,1447.0,silver,2227.0,233.0,JDCn8zkKX2JwHBxBh
