Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
denim pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalDenim3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalDenim3.png,Black,No,1120.0,280.0,51.0,Black,Black,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday,3.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalDenim3,17.0,4188.0,QgsJKasays7kidmWx
denim pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalDenim1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalDenim1.png,Light blue,No,1120.0,280.0,51.0,Light blue,Brown,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday,4.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalDenim1,17.0,4186.0,izYciEGnwPJ7Erg3p
denim pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalDenim2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalDenim2.png,Navy blue,No,1120.0,280.0,51.0,Blue,Brown,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday,5.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalDenim2,17.0,4187.0,zSsve7gJc6zCaLnpW
denim skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDenim0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDenim0.png,Blue,No,1120.0,280.0,51.0,Blue,Blue,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; vacation,1.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDenim0,265.0,4246.0,vfhfZyEpu3Mcf2wAy
denim skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDenim4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDenim4.png,White,No,1120.0,280.0,51.0,White,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; vacation,2.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDenim4,265.0,11433.0,KSAGPGrfmWBy6pigt
denim skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDenim3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDenim3.png,Black,No,1120.0,280.0,51.0,Black,Black,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Simple,everyday; vacation,3.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDenim3,265.0,11432.0,2NZnFeDdBNbi8GZSj
denim skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDenim1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDenim1.png,Light blue,No,1120.0,280.0,51.0,Light blue,Light blue,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; vacation,4.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDenim1,265.0,11430.0,498nbZBktiBQLfwKp
denim skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDenim2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDenim2.png,Navy blue,No,1120.0,280.0,51.0,Blue,Blue,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; vacation,5.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDenim2,265.0,11431.0,KtBuYGSet8Encdqvy
dotted shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHotDotgold1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHotDotgold1.png,Gray,No,980.0,245.0,51.0,Gray,Yellow,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cute,party; comfy; vacation,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHotDotgold1,427.0,8915.0,Ps3tCz2qEf8e7K4Jq
dotted shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHotDotgold0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHotDotgold0.png,Black,No,980.0,245.0,51.0,Black,Brown,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cute,party; comfy; vacation,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHotDotgold0,427.0,4523.0,HuouSMhXorBsF2tf9
down pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalDown3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalDown3.png,White,No,1120.0,280.0,51.0,White,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,Yes,Active,everyday; outdoorsy,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalDown3,274.0,11265.0,4LAK548pbxr8HzPnb
down pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalDown1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalDown1.png,Black,No,1120.0,280.0,51.0,Black,Black,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,Yes,Active,everyday; outdoorsy,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalDown1,274.0,11263.0,z233kJawJeJET3qa8
down pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalDown2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalDown2.png,Red,No,1120.0,280.0,51.0,Red,Red,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,3.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalDown2,274.0,11264.0,y7GbDiW9p3uWGhmFE
down pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalDown6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalDown6.png,Orange,No,1120.0,280.0,51.0,Orange,Orange,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,4.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalDown6,274.0,11268.0,AMTdn9MsNLKpDEWx2
down pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalDown5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalDown5.png,Yellow,No,1120.0,280.0,51.0,Yellow,Yellow,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,5.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalDown5,274.0,11267.0,ndGsiwDgZcpGP69rL
down pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalDown7.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalDown7.png,Lime,No,1120.0,280.0,51.0,Green,Green,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,6.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalDown7,274.0,11269.0,fu6ZGqKNMtZQyYzq7
down pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalDown4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalDown4.png,Green,No,1120.0,280.0,51.0,Green,Green,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,7.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalDown4,274.0,11266.0,ezyQsKqbiFkxN33yb
down pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalDown0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalDown0.png,Blue,No,1120.0,280.0,51.0,Blue,Blue,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,8.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsNormalDown0,274.0,4256.0,FzsL6Xz7obxkJrytM
down skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDown3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDown3.png,White,No,1040.0,260.0,51.0,White,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,Yes,Active,everyday; outdoorsy,1.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDown3,280.0,11330.0,7X4aN5KCzFXWL8P9s
down skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDown1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDown1.png,Black,No,1040.0,260.0,51.0,Black,Black,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,2.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDown1,280.0,11328.0,dBkF3Zf6oWLg3Gt4y
down skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDown2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDown2.png,Red,No,1040.0,260.0,51.0,Red,Red,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,3.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDown2,280.0,11329.0,QCezqDHXCah3TBZaz
down skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDown6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDown6.png,Orange,No,1040.0,260.0,51.0,Orange,Orange,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,4.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDown6,280.0,11333.0,6oMwW9rekLGpZTvWq
down skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDown5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDown5.png,Yellow,No,1040.0,260.0,51.0,Yellow,Yellow,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,5.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDown5,280.0,11332.0,tvwaCKBZWKXPgnYk6
down skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDown7.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDown7.png,Lime,No,1040.0,260.0,51.0,Green,Green,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,6.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDown7,280.0,11334.0,KAqonXaQTynmzJpM6
down skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDown4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDown4.png,Green,No,1040.0,260.0,51.0,Green,Green,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,7.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDown4,280.0,11331.0,Hx5JtwDLQhPrihaYM
down skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxDown0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxDown0.png,Blue,No,1040.0,260.0,51.0,Blue,Blue,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Active,everyday; outdoorsy,8.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtBoxDown0,280.0,4266.0,3wL2E3cZSa4aRkHGz
draped skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongDrape3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongDrape3.png,Gray,No,1820.0,455.0,51.0,Black,White,1x1,Able Sisters,Available from Able Sisters shop only,Summer,No,Simple,everyday; comfy; vacation,1.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongDrape3,412.0,11658.0,7Cq9eFLxn57JAcrTo
draped skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongDrape0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongDrape0.png,Red,No,1820.0,455.0,51.0,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,Summer,No,Simple,everyday; comfy; vacation,2.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongDrape0,412.0,4505.0,yZoqHMZqpbCWxRupR
draped skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongDrape5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongDrape5.png,Pink,No,1820.0,455.0,51.0,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,Summer,No,Simple,everyday; comfy; vacation,3.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongDrape5,412.0,11660.0,QEXkG9fkbrQw7d44e
draped skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongDrape4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongDrape4.png,Orange,No,1820.0,455.0,51.0,Orange,White,1x1,Able Sisters,Available from Able Sisters shop only,Summer,No,Simple,everyday; comfy; vacation,4.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongDrape4,412.0,11659.0,wd9z4LFNDH8LaF3JD
draped skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongDrape1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongDrape1.png,Green,No,1820.0,455.0,51.0,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,Summer,No,Simple,everyday; comfy; vacation,5.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongDrape1,412.0,11656.0,DM6hBScxAq4ebriqJ
draped skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongDrape7.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongDrape7.png,Light blue,No,1820.0,455.0,51.0,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,Summer,No,Simple,everyday; comfy; vacation,6.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongDrape7,412.0,11662.0,NJWeNW7PagKY9xcTv
draped skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongDrape2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongDrape2.png,Blue,No,1820.0,455.0,51.0,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,Summer,No,Simple,everyday; comfy; vacation,7.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongDrape2,412.0,11657.0,zNjaggXwY25wcX5dF
draped skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongDrape6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongDrape6.png,Purple,No,1820.0,455.0,51.0,Purple,White,1x1,Able Sisters,Available from Able Sisters shop only,Summer,No,Simple,everyday; comfy; vacation,8.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongDrape6,412.0,11661.0,m648ufsymAXe5gCT2
dreamy pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideYumekawa0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideYumekawa0.png,Pink,No,1440.0,360.0,51.0,Pink,Purple,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Cute,fairy tale; comfy,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideYumekawa0,907.0,5923.0,qxz4uFbtDijhELoSY
dreamy pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideYumekawa2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideYumekawa2.png,Yellow,No,1440.0,360.0,51.0,Yellow,Purple,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Cute,fairy tale; comfy,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideYumekawa2,907.0,9195.0,2T8YtpzT8Q9JEer7j
dreamy pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideYumekawa1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideYumekawa1.png,Green,No,1440.0,360.0,51.0,Green,Purple,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Cute,fairy tale; comfy,3.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideYumekawa1,907.0,9194.0,MTyieKigAqK73aGWS
dreamy pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideYumekawa3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideYumekawa3.png,Blue,No,1440.0,360.0,51.0,Blue,Purple,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter,No,Cute,fairy tale; comfy,4.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideYumekawa3,907.0,9196.0,tqtyCzjYMSQyFc9s6
dress pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideSchool3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideSchool3.png,Berry red,No,1300.0,325.0,51.0,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,everyday; formal,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideSchool3,160.0,11406.0,hGGMn4vHorqBCaPbT
dress pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideSchool0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideSchool0.png,Green,No,1300.0,325.0,51.0,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,everyday; formal,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideSchool0,160.0,3405.0,YB8iwLz2z8nhBcNXR
dress pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideSchool1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideSchool1.png,Navy blue,No,1300.0,325.0,51.0,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,everyday; formal,3.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideSchool1,160.0,11404.0,jjGzTyNa4ZaLdqJz7
dress pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideSchool2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideSchool2.png,Beige,No,1300.0,325.0,51.0,Beige,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,everyday; formal,4.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideSchool2,160.0,11405.0,BZRAPb4eYcA6kcHei
elephant-print pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideThail5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideThail5.png,Black,No,1100.0,275.0,51.0,Black,Gray,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer,No,Simple,comfy; vacation,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideThail5,862.0,9188.0,H2GKWBafcBg2xpnAv
elephant-print pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideThail0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideThail0.png,Red,No,1100.0,275.0,51.0,Red,Beige,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer,No,Simple,comfy; vacation,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideThail0,862.0,5735.0,TptfethckFaEv2umX
elephant-print pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideThail2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideThail2.png,Orange,No,1100.0,275.0,51.0,Orange,Beige,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer,No,Simple,comfy; vacation,3.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideThail2,862.0,9185.0,H3xYakEHJu4PDqqBv
elephant-print pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideThail3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideThail3.png,Green,No,1100.0,275.0,51.0,Green,Beige,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer,No,Simple,comfy; vacation,4.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideThail3,862.0,9186.0,adfKNMuuNk5hnokLz
elephant-print pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideThail1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideThail1.png,Blue,No,1100.0,275.0,51.0,Blue,Light blue,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer,No,Simple,comfy; vacation,5.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideThail1,862.0,9184.0,vRpzBD9yEctZm3Ypg
elephant-print pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideThail4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideThail4.png,Purple,No,1100.0,275.0,51.0,Purple,Purple,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer,No,Simple,comfy; vacation,6.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWideThail4,862.0,9187.0,Nc42fqDjjkTbGAw5F
embellished denim pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWidePrintdenim0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWidePrintdenim0.png,Blue,No,1300.0,325.0,51.0,Blue,Red,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cool,everyday; outdoorsy,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWidePrintdenim0,755.0,5459.0,nL8iXvEk3KyGuN6dN
embellished denim pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWidePrintdenim2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWidePrintdenim2.png,Black,No,1300.0,325.0,51.0,Black,Gray,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cool,everyday; outdoorsy,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWidePrintdenim2,755.0,9540.0,bHgq9muErTbDvecaH
embellished denim pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWidePrintdenim1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWidePrintdenim1.png,Light blue,No,1300.0,325.0,51.0,Light blue,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cool,everyday; outdoorsy,3.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsWidePrintdenim1,755.0,9539.0,tea9oG7cEbx48Mpwd
embroidered floral skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongEmbroidery2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongEmbroidery2.png,Berry red,No,1320.0,330.0,51.0,Red,Orange,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,everyday; comfy; vacation,1.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongEmbroidery2,430.0,8737.0,E9i6TADw7SYbhTrQx
embroidered floral skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongEmbroidery0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongEmbroidery0.png,Green,No,1320.0,330.0,51.0,Green,Light blue,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,everyday; comfy; vacation,2.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongEmbroidery0,430.0,4547.0,3puHTTuuCW8zSegSS
embroidered floral skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongEmbroidery1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongEmbroidery1.png,Blue,No,1320.0,330.0,51.0,Blue,Purple,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Elegant,everyday; comfy; vacation,3.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongEmbroidery1,430.0,8736.0,JAsz32D72zGzZkqus
embroidered-pattern skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongGeometric2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongGeometric2.png,Red,No,1100.0,275.0,51.0,Red,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; vacation,1.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongGeometric2,431.0,8739.0,95X4egfZWzLpqXHnG
embroidered-pattern skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongGeometric1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongGeometric1.png,Green,No,1100.0,275.0,51.0,Green,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; vacation,2.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongGeometric1,431.0,8738.0,vGos45xxvLFD2hpNu
embroidered-pattern skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongGeometric0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongGeometric0.png,Blue,No,1100.0,275.0,51.0,Blue,White,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; vacation,3.0,No,For sale,1.0.0,1.0.0,BottomsTexSkirtLongGeometric0,431.0,4548.0,rnhaZHTvdzMZBjSqQ
explorer shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfExplorer2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfExplorer2.png,Beige,No,1040.0,260.0,51.0,Gray,Gray,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; work,1.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfExplorer2,1092.0,12069.0,5AftSjCxYkFX3D2T9
explorer shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfExplorer1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfExplorer1.png,Avocado,No,1040.0,260.0,51.0,Green,Green,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Active,outdoorsy; work,2.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfExplorer1,1092.0,12068.0,4M5CJwGuT64GeSaLQ
explorer shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfExplorer3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfExplorer3.png,Blue,No,1040.0,260.0,51.0,Blue,Blue,1x1,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,outdoorsy; work,3.0,No,For sale,1.0.0,1.0.0,BottomsTexPantsHalfExplorer3,1092.0,12070.0,FjY7RDn9pa37x83oK
