#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Shadow,Movement Speed,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Version Added,Version Unlocked,Internal ID,Unique Entry ID
5.0,sea star,https://acnhcdn.com/latest/MenuIcon/Hitode.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishHitodeCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishHitode.png,500.0,Small,Very slow,0.0,4–10,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,No,"The sea star may appear to have five feet...but those are, in fact, its arms. And though five-armed sea stars are the most common, there are species with 20 or even 40 arms out there! Ah, but the fascinating appendage fats do not end there, wot wot! You see upon each sea star's arm sprout many dozens of tiny feet. YES, FEET! They use these suction-cupped feet not just to move about...but to...eh... grab hold of dinner guests as well. Finally, it should be noted that when a sea star loses an arm, it can grow it back. More impressive yes, a served sea star arm...can sometimes grow an entire sea star body back!",I got a sea star! Maybe it'll give me an autograph!,0.0,Pet,None,None,Fluorescent,Hitode,DiveFishHitode,FtrDiveFishHitode,1.3.0,1.3.0,2841.0,vAF9BcZt5q8gBQJmj
6.0,sea urchin,https://acnhcdn.com/latest/MenuIcon/Uni.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishUniCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishUni.png,1700.0,Small,Slow,0.0,2–7,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,1x1,No,"Ah, the sea urchin...the unabashed goth of the ocean floor! Indeed, with its mane of dark-hued spikes, it looks for all the world as if it might front a punk-rock band. Perhaps its more demure relatives—the sea cucumber and the sea star—disapprove of its outlandish look? It would certainly explain why sea stars gobble up sea urchins every chance they get! But worry not for our spiky friend. Its venomous spines are an effective deterrent to many a predator.",I got a sea urchin! Wasn't even 'earchin for it.,0.0,Pet,None,None,No lighting,Uni,DiveFishUni,FtrDiveFishUni,1.3.0,1.3.0,2831.0,3emjFCipv2bgQ6HaM
1.0,seaweed,https://acnhcdn.com/latest/MenuIcon/Wakame.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishWakameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishWakame.png,600.0,Large,Stationary,0.0,3–14,All day,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,No,"Let it be known that seaweed is a misnomer of the highest order! That is, it is not a noxious weed so much as it is a marine algae most beneficial to life on land and sea. Seaweed, you see, provides essential habitat and food for all manner of marine creatures. And it creates a great deal of the oxygen we land lovers love to breath too, hoo! And yet, I can't help but shudder when the slimy stuff touches my toes during a swim. Hoot! The horror!",I got some seaweed! I couldn't kelp myself.,0.0,Pet,None,None,No lighting,Wakame,DiveFishWakame,FtrDiveFishWakame,1.3.0,1.3.0,2620.0,KM4dfXCZ6CvZjEyw9
7.0,slate pencil urchin,https://acnhcdn.com/latest/MenuIcon/Paipuuni.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishPaipuuniCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishPaipuuni.png,2000.0,Medium,Medium,20.0,3–4,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,1x1,Yes,"Slate Pencil Urchins are a type of sea urchin topped with thick, rounded spines that resemble sticks of chalk. These urchins' spines protect them not only from predators but from violent waves as well. Found in coral reefs, they're usually bright red, brown, or purple in color. For all those bright colors, one would think the slate pencil urchin to be deadly. But all those pretty colors, it seems, are just a pretty show.",I got a slate pencil urchin! Its handwriting is gorgeous.,0.0,Pet,None,None,Fluorescent,Paipuuni,DiveFishPaipuuni,FtrDiveFishPaipuuni,1.3.0,1.3.0,7267.0,TMftNBRmEGkvhpfnC
26.0,snow crab,https://acnhcdn.com/latest/MenuIcon/Zuwaigani.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishZuwaiganiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishZuwaigani.png,6000.0,Large,Fast,40.0,1–3,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,1x1,No,"The snow crab truly lives up to its name, wot wot. They are most often found in cold northern seas. Some have even been discovered living in the Arctic Ocean! Indeed, snow crab prefer to live in deep water that never gets more than three degrees above freezing. Hooooo. Just thinking about their icy environs is giving me the chills!",I got a snow crab! It's giving me the cold shoulder.,0.0,Pet,None,None,No lighting,Zuwaigani,DiveFishZuwaigani,FtrDiveFishZuwaigani,1.3.0,1.3.0,2850.0,bQNma5vbcs7wWRqY7
29.0,spider crab,https://acnhcdn.com/latest/MenuIcon/Takaashigani.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishTakaashiganiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishTakaashigani.png,12000.0,X-Large,Very fast,80.0,1–2,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,2x2,No,"Hoooot hooot, I do so hope to not hyperventilate as I regale you with the spider crab's qualities. But I would be remiss if I did not point out that this, the largest crab on earth... looks like a GIANT SPIDER! Arachnophobia aside... this crab is a magnificent creature to be sure. Though they can grow up to 12 feet from claw to claw and weigh up to 40 pounds, they're said to be docile. In fact, these gentle giants love to hide, attaching seaweed and sponges to their shell as camouflage. My feathers, if only I could unsee the SPIDER in the spider crab... I'm sure I'd find it charming as can be.",I got a spider crab! Water bugs can rest easy.,0.0,Pet,None,None,No lighting,Takaashigani,DiveFishTakaashigani,FtrDiveFishTakaashigani,1.3.0,1.3.0,2853.0,gp2XNvGKNGmR6buT3
33.0,spiny lobster,https://acnhcdn.com/latest/MenuIcon/Iseebi.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishIseebiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishIseebi.png,5000.0,Large,Fast,40.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,NA,NA,1x1,No,"It is the spiny lobster's lengthy antennae that help set it apart from other lobsters. Those two antennae can grow twice as long as the lobster's own body! And what a clever crustacean it is, having found a way to use those antennae as a means of defense. When the spiny lobster senses danger, it rubs its antennae across its exoskeleton. The horrid screeching sound frightens predators away! If someone scratched nails across a chalkboard in your direction, I daresay you'd run too!",I got a spiny lobster! It's got a lot of backbone!,0.0,Pet,None,None,No lighting,Iseebi,DiveFishIseebi,FtrDiveFishIseebi,1.3.0,1.3.0,2848.0,9n5iphC8vQe6Rar72
38.0,spotted garden eel,https://acnhcdn.com/latest/MenuIcon/Chinanago.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishChinanagoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishChinanago.png,1100.0,Small,Slow,0.0,6–8,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,1x1,Yes,"The spotted garden eel is a small eel-shaped fish that loves to burrow in the sandy ocean floor. These silly things are known for popping their heads out of the sand to nibble on plankton drifting by. Some say this makes them look like plants sprouting in a garden...hence the name spotted garden eel. But I think they look more like prairie dogs peeking out of desert hidey-holes. ""Prairie eels"" has a lovely ring, don't you think?",I got a spotted garden eel! Was it un-spotted before I saw it?,0.0,Pet,None,None,Fluorescent,Chinanago,DiveFishChinanago,FtrDiveFishChinanago,1.3.0,1.3.0,2855.0,zYEHNF5Svak8ZARMW
31.0,sweet shrimp,https://acnhcdn.com/latest/MenuIcon/Amaebi.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishAmaebiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishAmaebi.png,1400.0,Small,Slow,0.0,3–12,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,1x1,No,"The sweet shrimp spends the first few years of its life as a male. It then transitions into a female as it ages. Interestingly, it is hardly alone in this type of development cycle. Indeed, a great variety of marine creatures can change their biological sex as they age. Clown fish, some sea star, and sea bass are among them. Hoo hoo, the ocean is full of a great many wonders. Huzzah to that, I say!",I got a sweet shrimp! It's being very considerate.,0.0,Pet,None,None,Fluorescent,Amaebi,DiveFishAmaebi,FtrDiveFishAmaebi,1.3.0,1.3.0,2846.0,5v5X2ipAYLaALxMsw
30.0,tiger prawn,https://acnhcdn.com/latest/MenuIcon/Kurumaebi.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishKurumaebiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishKurumaebi.png,3000.0,Small,Medium,20.0,1–4,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,1x1,Yes,"The tiger prawn is a hearty crustacean found in many places around the world. Named for the stripes on its exoskeleton, it molts out of this shell as it grows in size. If only I could acquire a larger home with such ease! But do you know what I find even more fascinating? The tiger prawn's legs! It has five pairs of swimming legs, five pairs of walking legs, and three pairs of limbs it eats with! How, might I ask, does it not trip over its own 26 feet?",I got a tiger prawn! I ain't lion!,0.0,Pet,None,None,Fluorescent,Kurumaebi,DiveFishKurumaebi,FtrDiveFishKurumaebi,1.3.0,1.3.0,2847.0,EaMd8ansu3qtzAGbv
16.0,turban shell,https://acnhcdn.com/latest/MenuIcon/Sazae.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishSazaeCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishSazae.png,1000.0,Small,Slow,0.0,2–10,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,All day,All day,All day,NA,1x1,No,"The turban shell is a sea snail with a rather nifty trick up its sleeve...er, shell. You see, this snail carries a hard, round, button-like ""operculum"" with it wherever it goes. What is an operculum, you ask? Why, it is a trapdoor of sorts! When danger approaches, the snail slips into its shell and pulls this trapdoor closed over the opening. Thus it is locked safe and sound inside. And bravo, I say! Bravo! When trouble comes knocking, just do what the turban shell_xffff_ does. Shut the door and turn out the lights!",I got a turban shell! It's totally TURB...ular!,0.0,Pet,None,None,No lighting,Sazae,DiveFishSazae,FtrDiveFishSazae,1.3.0,1.3.0,2834.0,efXQqEuT2yZApwmGB
21.0,umbrella octopus,https://acnhcdn.com/latest/MenuIcon/Mendako.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishMendakoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishMendako.png,6000.0,Small,Fast,40.0,1–3,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,1x1,No,"My feathers, could there be a more adorable sea creature than the umbrella octopus? I daresay not! These deep-sea octopuses are on the smallish side and use the cutest ear-like fins to flutter about. Meanwhile, it's the web stretched between their tentacles that gives them their name. Hoo, it's true! With arms stretched wide, they look for all the world like an umbrella! Though surely the last thing the umbrella octopus wants...is to stay dry.",I got an umbrella octopus! Too bad I'm already soaked.,0.0,Pet,None,None,Fluorescent,Mendako,DiveFishMendako,FtrDiveFishMendako,1.3.0,1.3.0,7252.0,kXFeaEJCCEkQ58T2e
22.0,vampire squid,https://acnhcdn.com/latest/MenuIcon/Koumoridako.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishKoumoridakoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishKoumoridako.png,10000.0,Medium,Very fast,80.0,1,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,1x1,No,"Beware the vampire squid, I say! This eight-armed deep-sea monster is out to drink your blood! Hoo hoo, ha ha! I only jest! Ahem! The Vampire Squid does, in fact, live deep in the ocean where almost no light pervades. But while it looks like it could nibble on your neck...it nibbles on the bits of dead plankton and algae instead. By all accounts, the vampire squid is a a gentle sort who squirts bioluminecesant goo at foes. Sp, how did it get the eerie official name ""Vampyroteuthis inernalis""? That means ""vampire squid from the heck,"" you see. The problem is that the squid's ""cloak."" Its arms are webbed with velvet-red skin and lined with toothy spikes. Plainly put, this genial squid looks for all the world like a vampire who went for a swim.",I got a vampire squid! A lot was at stake.,0.0,Pet,None,None,Fluorescent,Koumoridako,DiveFishKoumoridako,FtrDiveFishKoumoridako,1.3.0,1.3.0,7203.0,deJZZk2rxAnePwfzq
40.0,Venus' flower basket,https://acnhcdn.com/latest/MenuIcon/Kairoudouketsu.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishKairoudouketsuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishKairoudouketsu.png,5000.0,Medium,Fast,40.0,1–3,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,1x1,Yes,"The Venus' flower basket looks like an otherworldly creature one would find on an alien planet. But it is instead a remarkable sea sponge found in the deepest parts of the ocean. Its body is composed of silica and looks like a sculpture or, perhaps, a vase made of glassy mesh. I daresay Venus' flower basket is one of nature's most impressive works of art.",I got a Venus' flower basket! Why was she picking flowers here?,0.0,Pet,None,None,Fluorescent,Kairoudouketsu,DiveFishKairoudouketsu,FtrDiveFishKairoudouketsu,1.3.0,1.3.0,7318.0,mSvTRhay8tmGXseMt
15.0,whelk,https://acnhcdn.com/latest/MenuIcon/Baigai.png,https://acnhcdn.com/latest/BookDiveFishIcon/DiveFishBaigaiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrDiveFishBaigai.png,1000.0,Small,Slow,0.0,1–8,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,Yes,"Whelks are sea snails that migrate from deep water to shallow water when the weather changes. Avid carnivores, they feed on worms, crustaceans, and mollusks. In fact, these wily snails have been known to use their own shells to pry open the shells of their victims! They then use a rough tongue-like organ with thousands of tiny teeth to lick their victims' shells clean. Eh... you might want to put that image out of your mind when it's your turn to dine.",I got a whelk! Happy snails to ya.,0.0,Pet,None,None,Fluorescent,Baigai,DiveFishBaigai,FtrDiveFishBaigai,1.3.0,1.3.0,7278.0,jSidvLMAXdiDAQNs6
