Name,Achievement Description,Achievement Criteria,#,Internal ID,Internal Name,Internal Category,Num of Tiers,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 1 Reward,Tier 2 Reward,Tier 3 Reward,Tier 4 Reward,Tier 5 Reward,Tier 6 Reward,Tier 1 Modifier,Tier 1 Noun,Tier 2 Modifier,Tier 2 Noun,Tier 3 Modifier,Tier 3 Noun,Tier 4 Modifier,Tier 4 Noun,Tier 5 Modifier,Tier 5 Noun,Tier 6 Modifier,Tier 6 Noun,Sequential,Version Added,Unique Entry ID
Overcoming Pitfalls,"Life is full of peaks and valleys, hills and pits. When you fall into a pit, you learn a lesson, hm? Be more careful next time, yes? Don't feel too bad, though. You're getting some bonus Nook Miles for your fall.",Awarded the first time you fall into a pitfall hole,58.0,52.0,FallintoPitfall,Negative,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Trapped,Reckless One,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,DhKzQBem5HZytprbC
Faked Out!,"Oh my. Did you get hoodwinked? That work of art you purchased turned out to be a forgery, and it stings. Your eye for art is being tested! Yes, yes! Please take some comfort in the miles I'm giving you.",Donated a fake piece of art,59.0,90.0,DonateFake,Negative,1.0,1.0,NA,NA,NA,NA,NA,500.0,NA,NA,NA,NA,NA,Plausible,Fake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,1.2.0,vakbzK5ihWAQR2aux
Lost Treasure,"Oh my. You popped a balloon with a skillful shot, but the attached prize fell into the water! Maybe some Nook Miles will help you recover from that sunken feeling, hm?",Awarded the first time a balloon present you shot lands in a body of water,60.0,80.0,DropPresentinWater,Negative,1.0,1.0,NA,NA,NA,NA,NA,500.0,NA,NA,NA,NA,NA,Catchable,Klutz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,Y2kKBHN6kT7zxkTbm
It's Raining Treasure!,"No one knows who sends the gifts attached to balloons to our island, but you can earn miles by shooting them down and collecting what's inside.",Number of balloons you've shot down with a slingshot,61.0,5.0,ShootDownBalloon,LandMaking,5.0,5.0,20.0,50.0,100.0,300.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Easy-Breezy,Slingshot Ace,Atmospheric,Floaty Thing,Restless,Hunter,Flying,Paradise,Elusive,Vagabond,NA,NA,Yes,1.0.0,EEocBnCSkNM9ukMic
Fun with Fences,"You can have a wonderful yard in no time by building a fence and surrounding your home or garden. Yes, yes! Nook Inc. will award Nook Miles to skilled fence installers.",Awarded the first time you place a fence,62.0,89.0,BuildFence,LandMaking,1.0,20.0,NA,NA,NA,NA,NA,500.0,NA,NA,NA,NA,NA,Efficient,Partitioner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,fNCiNgcTMxFwqAzxN
Snowmaestro,What's this? You get Nook Miles based on how many quality snowfolks you've built? That's a pretty good deal for just having a little fun in the snow.,Number of perfect snow-people you've built,63.0,45.0,MakePerfectSnowball,LandMaking,3.0,1.0,10.0,20.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Cold-Sensitive,Sprite,Snow,Angel,Cool,Imp,NA,NA,NA,NA,NA,NA,Yes,1.0.0,XcwvgbKXNWiLjmJDX
Wishes Come True,"Were you wishing for Nook Miles the last time you saw a shooting star? Hm? Because Nook Inc. is here to grant your wish. More wishes, more miles! Yes, yes!",Number of shooting stars you've wished on,64.0,85.0,PrayShootingStar,LandMaking,3.0,1.0,30.0,200.0,NA,NA,NA,300.0,1000.0,2000.0,NA,NA,NA,Late-Night,Meteorite,Wishful,Legend,Overnight,Superstar,NA,NA,NA,NA,NA,NA,Yes,1.0.0,WcKhJsbYhwKKkCLqd
Exterior Decorator,"You can display furniture outside, right? Well, here's a little incentive for you to show off what you've got - you'll earn Nook Miles based on the number of furniture items you set up outside.",Awarded the first time you place some furniture outside,65.0,64.0,PutFurnitureOutside,LandMaking,1.0,10.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Outdoor-Loving,Decorating Fiend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,TW2jrhLDvtDhjZAKx
(island name) Icons,"At Resident Services, we want new ideas for the island flag and island tune. We have Nook Miles in store for those creative types who can redesign and rewrite! It's good to take pride in our island symbols.",Awarded for changing your island flag and town tune for the first time.,66.0,86.0,ChangeSymbol,LandMaking,2.0,0.0,0.0,NA,NA,NA,NA,500.0,500.0,NA,NA,NA,NA,Flapping,Flag Waver,Humming,Musician,NA,NA,NA,NA,NA,NA,NA,NA,No,1.0.0,umpcvH5jtsWEir4rR
Island Designer,"At Nook Inc. we encourage the use of the Island Designer app to liven up the island. We're giving away miles the first time you use a permit for a path, river, or cliff!","Awarded the first time you use the Island Designer app to place a path, add/remove water, and build/destroy a cliff",67.0,88.0,ModifyIsland,LandMaking,3.0,0.0,0.0,0.0,NA,NA,NA,500.0,1000.0,1000.0,NA,NA,NA,Trailblazing,Runner,Swept-Away,Pioneer,Cliffhanging,Creator,NA,NA,NA,NA,NA,NA,No,1.0.0,NyFc3PaM4omZLfuic
Wispy Island Secrets,"If you happen to encounter one of the island's secrets, maybe just keep it to yourself. We don't want to scare anyone away from here. Pretty sure that's in your island contract...",Number of times you've helped Wisp find the parts of his spirit,68.0,44.0,HelpGst,Communication,3.0,1.0,10.0,20.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Cowardly,Ghost,Supernatural,Soul,Soulful,Soul Mate,NA,NA,NA,NA,NA,NA,Yes,1.0.0,nSkcG8gSanouEFg9x
Gulliver's Travails,"When you come across someone in trouble on the beach, you help them, setting a fine example for all the island residents. Such kindness will surely find its way back to you.",Number of times you've helped Gulliver fix his communicator,69.0,43.0,HelpGul,Communication,3.0,1.0,10.0,20.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Flightless,Fowl,Perennial,Lost One,Off-Season,Migratory Bird,NA,NA,NA,NA,NA,NA,Yes,1.0.0,GfHAM2edJCAAN9xsF
K.K. Mania,"K.K. supports our island with his groovy brand of folk rock, so we should support him! The more K.K. shows you attend, the more Nook Miles you can earn.",Number of K.K. shows you've attended,70.0,17.0,GotoTotakekeShow,Communication,5.0,1.0,10.0,30.0,60.0,100.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Fickle,Music-Lover,Covert,Supporter,Regular,Fan,The Definition of,Pop Star,Longtime,Follower,NA,NA,Yes,1.0.0,aNZ2t8CH7dgpRefc3
True Patron of the Arts,Collecting artwork contributes to the cultural quality of (island name) and Nook Inc. will give miles to folks who prove themselves discerning connoisseurs.,Number of times you've purchased art that turned out to be real,71.0,91.0,BuyatTsunekichiShop,Communication,3.0,1.0,10.0,20.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Shady,Seller,Discerning,Aficionado,Bold,Artistic Statement,NA,NA,NA,NA,NA,NA,Yes,1.2.0,YTpzbNPue2fAe3FdS
You Otter Know,"If you meet a laid-back fellow floating in the sea, consider sharing some of your scallops with him. You never know what you might learn in return...and a little gift never hurts either!",Number of times you've given scallops to Pascal,72.0,96.0,GiveScallopsToSeo,Communication,3,1,10,20,NA,NA,NA,300,500,1000,NA,NA,NA,Kind,Cynic,Hungry,Philosopher,Oceanic,Existentialist,NA,NA,NA,NA,NA,NA,Yes,1.3.0,3MuQkFrRQLkSioSDh
True Friends,It's good news for Nook Inc. when island residents get along. Good relationships are a cornerstone of island development!,Number of villagers you've become good friends with,73.0,54.0,BeFriendwithVillager,Communication,3.0,1.0,2.0,3.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Soothing,Pal,Friendly,Buddy,Friendship,Seeker,NA,NA,NA,NA,NA,NA,Yes,1.0.0,ZD7xtJZTo9mGk9tTk
Birthday Celebration,Celebrating the birthday of a fellow resident is a wonderful thing. Nook Inc. will commemorate your bond with some party-favor Nook Miles.,Number of villager birthdays you've attended,74.0,47.0,CelebrateVillagersBithday,Communication,3.0,1.0,10.0,20.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Untamed,Party Animal,Growing,Youth,Grown,Adult,NA,NA,NA,NA,NA,NA,Yes,1.0.0,5TKJXZPvrkPLiQ6XC
Happy Birthday!,"Happy birthday to you!
Take some Nook Miles, woo-hoo!
Happy birthday to you-oo!
Take some Nook Miles, woo-hoo!
(Get yourself something nice.)",Awarded the first time you play on your character's birthday,75.0,46.0,ReachMyBirthday,Event,1.0,1.0,NA,NA,NA,NA,NA,2000.0,NA,NA,NA,NA,NA,Celebratory,Birthday Boy;Birthday Girl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,6vc2Rm2s3rE9EFZoM
Fishing Tourney!,"Please participate in the Fishing Tourney, which is held every spring, summer, fall, and winter! I'll give you nook miles as a reward the first time you participate each season.",Awarded the first time you attend a fishing tourney in each season,76.0,41.0,AttendFishingConvention,Fish,4.0,0.0,0.0,0.0,0.0,NA,NA,300.0,500.0,1000.0,2000.0,NA,NA,Spring-Born,Free Spirit,Summer-Born,Chiller,Fall-Born,Free-Wheeler,Winter-Born,Overheater,NA,NA,NA,NA,No,1.0.0,Z2C4JGKnsPJqhyDFM
Bug-Off!,"What's the summer event to look forward to? That's right...the Bug-Off! Nook Inc. will give you Nook Miles for participating, so by all means, join the fun!",Awarded the first time you attend a bug-off tourney in each season,77.0,42.0,AttendInsectConvention,Insect,4.0,0.0,0.0,0.0,0.0,NA,NA,300.0,500.0,1000.0,2000.0,NA,NA,Adolescent,Youngster,Rebellious,Rebel,Solitary,Lone Wolf,Standoffish,Individual,NA,NA,NA,NA,No,1.0.0,HQJJaicSZQ79LstpA
Countdown Celebration,The only thing better than ringing in the new year is ringing in the new year with some Nook Miles! May you live to see many more-years and miles!,Awarded for attending the new year holiday event,78.0,48.0,AttendCountdownParty,Event,1.0,1.0,NA,NA,NA,NA,NA,1000.0,NA,NA,NA,NA,NA,Countdown,Merrymaker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,PTMwJTvnX3A4gxjN9
Making a Change,"A closet is a must-have item for a fashion trendsetter. I'll offer Nook Miles to anyone who has a closet and changes outfits, thereby increasing the chances of an island fashion trend catching on.",Awarded the first time you use a wardrobe to change your character's outfit,79.0,84.0,UseCloset,MyDesign,1.0,1.0,NA,NA,NA,NA,NA,500.0,NA,NA,NA,NA,NA,Trendy,Model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,NBmsw6tCLZzWXcGcK
First Custom Design!,"Learning how to use the Custom Design app lets you personalize your clothes and furniture. So much fun to be had, yes, yes!",Awarded the first time you use the Custom Design app to edit or create a design,80.0,35.0,UseMydesign,MyDesign,1.0,1.0,NA,NA,NA,NA,NA,500.0,NA,NA,NA,NA,NA,Aspiring,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,44KNAwCSGuatXHYeh
Custom Design Pro!,"You upgraded to the Pro version of the Custom Design app, hm? That makes you a fine Pro Custom Designer. Yes, yes! I'll reward you with Nook Miles to commemorate your Pro debut!",Awarded the first time you use the Custom Design pro app to edit or create a design,81.0,36.0,UseMydesignPRO,MyDesign,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Pro,Designer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,ch29owdtPq5Jd73xx
Paydirt!,"I'll bet you didn't think you'd find buried Bells here, hm? But this is an island, after all. Buried treasure and whatnot. Enjoy some Nook Miles from Nook Inc. to celebrate your discovery.",Awarded the first time you dig up bells from a shining spot,82.0,60.0,DigBell,Money,1.0,1.0,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,Lucky,Type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.0.0,ps4e4DFg2pnHvdvRm
Shady Shakedown,"Rumor has it that someone on this island likes to hide furniture in trees. Yes, yes! I'll give you Nook Miles based on the number of furniture items you shake out of trees. So get out of there and shake!",Number of furniture pieces you've found from shaking trees,83.0,79.0,FallFurnitureLeaf,Plant,5.0,1.0,10.0,20.0,50.0,100.0,NA,300.0,1000.0,2000.0,3000.0,5000.0,NA,Carefree,Figure,Jovial,Brute,Spirited,Gifted One,Factual,Outlaw,Inspirational,Statement,NA,NA,Yes,1.0.0,o37WLZhgDMnMbDbPx
Golden Milestone,"If your tools are glinting gold, your account will be bursting with Bells soon enough. The paths to these tools are varied and secret, but you will have earned some Nook Miles for collecting them all.","Awarded for each unique golden tool you've equipped (shovel, net, fishing rod, watering can, axe, and slingshot)",84.0,39.0,CollectGoldTool,HHA,6.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,500.0,1000.0,2000.0,3000.0,5000.0,Shining,Jewel,Top-Notch,Luminary,Ultimate,Miracle,Royal,Prince;Princess,Glittering,Emperor;Empress,Radiant,Supreme Being,No,1.0.0,B9uYNJkiP5jqkn3SX
Island and Yourland,"Support your neighboring islands with a visit now and again. The more you visit, the more Nook Miles you can earn! Here at Nook Inc. we like to reward your adventurous spirit, hm?",Number of times you've visited another player's island (does not count mystery islands using Nook Miles Tickets),85.0,18.0,VisitAnotherIsland,Communication,3.0,1.0,5.0,10.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Traveling,Person,Occasional,Tourist,Global,Wanderer,NA,NA,NA,NA,NA,NA,Yes,1.0.0,JofcHyqspqdvy92rH
Host the Most,"To encourage you to invite plenty of guests to the island, we're offering miles as an incentive. The more the merrier - and that goes for Nook Miles too!",Number of other players that have visited your island,86.0,19.0,InviteFriend,Communication,3.0,1.0,5.0,10.0,NA,NA,NA,300.0,500.0,1000.0,NA,NA,NA,Hospitable,Friend,Lonely,Chum,Well-Known,Partier,NA,NA,NA,NA,NA,NA,Yes,1.0.0,YdeZW248LnovzB7EB
Active Island Resident,"Life on the island has lots of promise, hm? To illustrate this, I'll reward you some Nook Miles based on the number of active days you've spent here. Please take them and enjoy them.",Number of total unique days you've played the game,87.0,21.0,DayPlayed,Event,5.0,3.0,20.0,50.0,100.0,300.0,NA,300.0,500.0,1000.0,2000.0,3000.0,NA,Self-Paced,Chill Soul,Active,Specialist,Sleepless,Adventurer,Nicknamed,Gamer,Ready-Made,MVP,NA,NA,Yes,1.0.0,QgGe5XTYJhjfgbMHW
