Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Label Themes,Sort Order,Type,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
firefighter's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsFirefighter1.png,https://acnhcdn.com/latest/FtrIcon/CapBangsFirefighter1.png,Flame orange,No,1680.0,420.0,51.0,Orange,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,work,2.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsFirefighter1,698.0,11617.0,ojPEDB7k3osmjq82R
firefighter's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsFirefighter3.png,https://acnhcdn.com/latest/FtrIcon/CapBangsFirefighter3.png,Lime yellow,No,1680.0,420.0,51.0,Yellow,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,work,3.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsFirefighter3,698.0,11619.0,8T8xo8DZHyEuWTPAo
firefighter's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsFirefighter4.png,https://acnhcdn.com/latest/FtrIcon/CapBangsFirefighter4.png,Avocado,No,1680.0,420.0,51.0,Green,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,work,4.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsFirefighter4,698.0,11620.0,fXaWtDi9ugKd7CvfL
firefighter's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsFirefighter2.png,https://acnhcdn.com/latest/FtrIcon/CapBangsFirefighter2.png,Brown,No,1680.0,420.0,51.0,Brown,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,work,5.0,Headgear_HasBang,No,For sale,1.0.0,1.0.0,CapBangsFirefighter2,698.0,11618.0,47iL65Sp7sTq2dw6Y
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy6.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy6.png,White,No,2340.0,585.0,51.0,White,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Gorgeous,everyday; party; theatrical,1.0,HeadHairOrnament_Left,Yes,For sale,1.0.0,1.0.0,CapOrnamentLGaudy6,1042.0,10847.0,yQpkhzDDYowAwfiPF
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy2.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy2.png,Black,No,2340.0,585.0,51.0,Black,Gray,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Gorgeous,everyday; party; theatrical,2.0,HeadHairOrnament_Left,Yes,For sale,1.0.0,1.0.0,CapOrnamentLGaudy2,1042.0,10843.0,KmZhyAbsJeBkdsPaL
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy0.png,Pink,No,2340.0,585.0,51.0,Pink,Purple,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Gorgeous,everyday; party; theatrical,3.0,HeadHairOrnament_Left,Yes,For sale,1.0.0,1.0.0,CapOrnamentLGaudy0,1042.0,8611.0,qMr5rv9p6nKMWpn6W
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy4.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy4.png,Orange,No,2340.0,585.0,51.0,Orange,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Gorgeous,everyday; party; theatrical,4.0,HeadHairOrnament_Left,Yes,For sale,1.0.0,1.0.0,CapOrnamentLGaudy4,1042.0,10845.0,jwxxG5ozBHRSq8wee
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy5.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy5.png,Green,No,2340.0,585.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Gorgeous,everyday; party; theatrical,5.0,HeadHairOrnament_Left,Yes,For sale,1.0.0,1.0.0,CapOrnamentLGaudy5,1042.0,10846.0,YcYK3wi8wihn3LWMm
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy1.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy1.png,Blue,No,2340.0,585.0,51.0,Blue,Light blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Gorgeous,everyday; party; theatrical,6.0,HeadHairOrnament_Left,Yes,For sale,1.0.0,1.0.0,CapOrnamentLGaudy1,1042.0,10842.0,JrGYYeC2rDuLtcuKX
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy3.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy3.png,Purple,No,2340.0,585.0,51.0,Purple,Purple,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Gorgeous,everyday; party; theatrical,7.0,HeadHairOrnament_Left,Yes,For sale,1.0.0,1.0.0,CapOrnamentLGaudy3,1042.0,10844.0,JuXNKBGSRgoHmATrq
floral hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLFlowerhairpin0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLFlowerhairpin0.png,Pink,No,490.0,122.0,51.0,Pink,Pink,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cute,everyday; fairy tale,1.0,HeadHairOrnament_Left,Yes,For sale,1.0.0,1.0.0,CapOrnamentLFlowerhairpin0,1105.0,9854.0,8Jddb8tpAJ9dCFNhR
floral hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLFlowerhairpin3.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLFlowerhairpin3.png,Yellow,No,490.0,122.0,51.0,Yellow,Orange,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cute,everyday; fairy tale,2.0,HeadHairOrnament_Left,Yes,For sale,1.0.0,1.0.0,CapOrnamentLFlowerhairpin3,1105.0,11961.0,bcbeTcynoeqp7yk9M
floral hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLFlowerhairpin2.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLFlowerhairpin2.png,Green,No,490.0,122.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cute,everyday; fairy tale,3.0,HeadHairOrnament_Left,Yes,For sale,1.0.0,1.0.0,CapOrnamentLFlowerhairpin2,1105.0,11960.0,T3TwnGGaSJcMWTXTh
floral hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLFlowerhairpin1.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLFlowerhairpin1.png,Blue,No,490.0,122.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cute,everyday; fairy tale,4.0,HeadHairOrnament_Left,Yes,For sale,1.0.0,1.0.0,CapOrnamentLFlowerhairpin1,1105.0,11959.0,dgTtevqFfurYfYBQh
floral hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLFlowerhairpin4.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLFlowerhairpin4.png,Purple,No,490.0,122.0,51.0,Purple,Purple,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cute,everyday; fairy tale,5.0,HeadHairOrnament_Left,Yes,For sale,1.0.0,1.0.0,CapOrnamentLFlowerhairpin4,1105.0,11962.0,noggDuHahWHjjMMTa
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball1.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball1.png,White,No,1440.0,360.0,51.0,White,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,1.0,HeadFullFace,No,For sale,1.0.0,1.0.0,CapFullfaceFootball1,697.0,11604.0,BqaKYDQcnYuGkhqiX
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball7.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball7.png,Black,No,1440.0,360.0,51.0,Black,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,2.0,HeadFullFace,No,For sale,1.0.0,1.0.0,CapFullfaceFootball7,697.0,11610.0,jZBkWeTG9x88Db6qF
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball3.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball3.png,Berry red,No,1440.0,360.0,51.0,Red,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,3.0,HeadFullFace,No,For sale,1.0.0,1.0.0,CapFullfaceFootball3,697.0,11606.0,z7NnWCTf5ZCitpECu
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball6.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball6.png,Red,No,1440.0,360.0,51.0,Orange,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,4.0,HeadFullFace,No,For sale,1.0.0,1.0.0,CapFullfaceFootball6,697.0,11609.0,kocqTA3FPgXfmvj35
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball2.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball2.png,Yellow,No,1440.0,360.0,51.0,Yellow,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,5.0,HeadFullFace,No,For sale,1.0.0,1.0.0,CapFullfaceFootball2,697.0,11605.0,BytzMWFtdrWWBbSoo
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball0.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball0.png,Green,No,1440.0,360.0,51.0,Green,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,6.0,HeadFullFace,No,For sale,1.0.0,1.0.0,CapFullfaceFootball0,697.0,5373.0,PydL8RyPvCHkw25Gu
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball5.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball5.png,Turquoise,No,1440.0,360.0,51.0,Green,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,7.0,HeadFullFace,No,For sale,1.0.0,1.0.0,CapFullfaceFootball5,697.0,11608.0,j5hCTq5yhHnh252uh
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball4.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball4.png,Blue,No,1440.0,360.0,51.0,Blue,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,sporty; work,8.0,HeadFullFace,No,For sale,1.0.0,1.0.0,CapFullfaceFootball4,697.0,11607.0,jxqjGgzngsgwDEiLf
fox mask,https://acnhcdn.com/latest/ClosetIcon/CapMaskFox0.png,https://acnhcdn.com/latest/FtrIcon/CapMaskFox0.png,White,No,1400.0,350.0,51.0,White,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,goth; theatrical,1.0,HeadFace,Yes,For sale,1.0.0,1.0.0,CapMaskFox0,917.0,6034.0,hvuy2ff7D5HmQDWhP
fox mask,https://acnhcdn.com/latest/ClosetIcon/CapMaskFox1.png,https://acnhcdn.com/latest/FtrIcon/CapMaskFox1.png,Black,No,1400.0,350.0,51.0,Black,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,goth; theatrical,2.0,HeadFace,Yes,For sale,1.0.0,1.0.0,CapMaskFox1,917.0,11171.0,zERfZuwMz99moPjmM
frog cap,https://acnhcdn.com/latest/ClosetIcon/CapCostumeFrog0.png,https://acnhcdn.com/latest/FtrIcon/CapCostumeFrog0.png,Green,No,1120.0,280.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,1.0,Headgear_NoEarNoJaw,No,For sale,1.0.0,1.0.0,CapCostumeFrog0,687.0,5335.0,2o34Cs7NhTHdiAA2J
frog cap,https://acnhcdn.com/latest/ClosetIcon/CapCostumeFrog2.png,https://acnhcdn.com/latest/FtrIcon/CapCostumeFrog2.png,Red,No,1120.0,280.0,51.0,Red,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,2.0,Headgear_NoEarNoJaw,No,For sale,1.0.0,1.0.0,CapCostumeFrog2,687.0,11698.0,o8tC4pEQPnv7ShYJs
frog cap,https://acnhcdn.com/latest/ClosetIcon/CapCostumeFrog3.png,https://acnhcdn.com/latest/FtrIcon/CapCostumeFrog3.png,Yellow,No,1120.0,280.0,51.0,Yellow,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,3.0,Headgear_NoEarNoJaw,No,For sale,1.0.0,1.0.0,CapCostumeFrog3,687.0,11699.0,roQnkD6zXyDrsjDRx
frog cap,https://acnhcdn.com/latest/ClosetIcon/CapCostumeFrog1.png,https://acnhcdn.com/latest/FtrIcon/CapCostumeFrog1.png,Blue,No,1120.0,280.0,51.0,Light blue,Light blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,4.0,Headgear_NoEarNoJaw,No,For sale,1.0.0,1.0.0,CapCostumeFrog1,687.0,11697.0,oppZjp8fdNEbvCeWy
frugal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatSimple1.png,https://acnhcdn.com/latest/FtrIcon/CapHatSimple1.png,Green,No,350.0,87.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,fairy tale; goth,1.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatSimple1,663.0,11846.0,zB2YwDPXFAkqrfWGo
frugal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatSimple2.png,https://acnhcdn.com/latest/FtrIcon/CapHatSimple2.png,Blue-gray,No,350.0,87.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,fairy tale; goth,2.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatSimple2,663.0,11847.0,XvM7B98w2X54g4838
frugal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatSimple0.png,https://acnhcdn.com/latest/FtrIcon/CapHatSimple0.png,Brown,No,350.0,87.0,51.0,Brown,Brown,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,fairy tale; goth,3.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatSimple0,663.0,5299.0,ryjuAa957xkyQ9Crx
geisha wig,https://acnhcdn.com/latest/ClosetIcon/CapWigGeisya6.png,https://acnhcdn.com/latest/FtrIcon/CapWigGeisya6.png,Black,No,NFS,1350.0,451.0,Black,Colorful,1x1,NA,Gulliver,,All Year,No,Cute,theatrical; work,1.0,Headgear_HasEar,No,Not for sale,1.0.0,1.0.0,CapWigGeisya6,836.0,9746.0,JKW7jE3fFnXoH6vyB
geisha wig,https://acnhcdn.com/latest/ClosetIcon/CapWigGeisya0.png,https://acnhcdn.com/latest/FtrIcon/CapWigGeisya0.png,Red,No,NFS,1350.0,451.0,Red,Colorful,1x1,NA,Gulliver,,All Year,No,Cute,theatrical; work,2.0,Headgear_HasEar,No,Not for sale,1.0.0,1.0.0,CapWigGeisya0,836.0,5695.0,fGEdJDfBN5EEhBjFj
geisha wig,https://acnhcdn.com/latest/ClosetIcon/CapWigGeisya1.png,https://acnhcdn.com/latest/FtrIcon/CapWigGeisya1.png,Pink,No,NFS,1350.0,451.0,Pink,Colorful,1x1,NA,Gulliver,,All Year,No,Cute,theatrical; work,3.0,Headgear_HasEar,No,Not for sale,1.0.0,1.0.0,CapWigGeisya1,836.0,9741.0,HZxA8fN7NH8kMfH4P
geisha wig,https://acnhcdn.com/latest/ClosetIcon/CapWigGeisya2.png,https://acnhcdn.com/latest/FtrIcon/CapWigGeisya2.png,Golden yellow,No,NFS,1350.0,451.0,Orange,Colorful,1x1,NA,Gulliver,,All Year,No,Cute,theatrical; work,4.0,Headgear_HasEar,No,Not for sale,1.0.0,1.0.0,CapWigGeisya2,836.0,9742.0,daRdXsccgpzPLvpWz
geisha wig,https://acnhcdn.com/latest/ClosetIcon/CapWigGeisya3.png,https://acnhcdn.com/latest/FtrIcon/CapWigGeisya3.png,Green,No,NFS,1350.0,451.0,Green,Colorful,1x1,NA,Gulliver,,All Year,No,Cute,theatrical; work,5.0,Headgear_HasEar,No,Not for sale,1.0.0,1.0.0,CapWigGeisya3,836.0,9743.0,umAWMdQi84vc4BLvt
geisha wig,https://acnhcdn.com/latest/ClosetIcon/CapWigGeisya4.png,https://acnhcdn.com/latest/FtrIcon/CapWigGeisya4.png,Blue,No,NFS,1350.0,451.0,Blue,Colorful,1x1,NA,Gulliver,,All Year,No,Cute,theatrical; work,6.0,Headgear_HasEar,No,Not for sale,1.0.0,1.0.0,CapWigGeisya4,836.0,9744.0,8dXu7jqM6YCLK5wSj
geisha wig,https://acnhcdn.com/latest/ClosetIcon/CapWigGeisya5.png,https://acnhcdn.com/latest/FtrIcon/CapWigGeisya5.png,Purple,No,NFS,1350.0,451.0,Purple,Colorful,1x1,NA,Gulliver,,All Year,No,Cute,theatrical; work,7.0,Headgear_HasEar,No,Not for sale,1.0.0,1.0.0,CapWigGeisya5,836.0,9745.0,GLvMy7wJZEaiBREgu
giant ribbon,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTRibbon6.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTRibbon6.png,White,No,1470.0,367.0,51.0,White,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,1.0,HeadHairOrnament_Back,Yes,For sale,1.0.0,1.0.0,CapOrnamentTRibbon6,1112.0,12057.0,SWbrNbBpjj4FWtPyE
giant ribbon,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTRibbon7.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTRibbon7.png,Black,No,1470.0,367.0,51.0,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,2.0,HeadHairOrnament_Back,Yes,For sale,1.0.0,1.0.0,CapOrnamentTRibbon7,1112.0,12058.0,zCcR8JcuDcusf8GdX
giant ribbon,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTRibbon0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTRibbon0.png,Red,No,1470.0,367.0,51.0,Red,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,3.0,HeadHairOrnament_Back,Yes,For sale,1.0.0,1.0.0,CapOrnamentTRibbon0,1112.0,9861.0,NWaA4reiG5GXxgXMS
giant ribbon,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTRibbon5.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTRibbon5.png,Pink,No,1470.0,367.0,51.0,Pink,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,4.0,HeadHairOrnament_Back,Yes,For sale,1.0.0,1.0.0,CapOrnamentTRibbon5,1112.0,12056.0,bkdobifkzuPTK7fxe
giant ribbon,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTRibbon4.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTRibbon4.png,Orange,No,1470.0,367.0,51.0,Orange,Orange,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,5.0,HeadHairOrnament_Back,Yes,For sale,1.0.0,1.0.0,CapOrnamentTRibbon4,1112.0,12055.0,tySwtmJW5XaZ66nBx
giant ribbon,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTRibbon3.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTRibbon3.png,Yellow,No,1470.0,367.0,51.0,Yellow,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,6.0,HeadHairOrnament_Back,Yes,For sale,1.0.0,1.0.0,CapOrnamentTRibbon3,1112.0,12054.0,LbWPp7gGXze4MaLxm
giant ribbon,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTRibbon1.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTRibbon1.png,Green,No,1470.0,367.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,7.0,HeadHairOrnament_Back,Yes,For sale,1.0.0,1.0.0,CapOrnamentTRibbon1,1112.0,12052.0,uhM23tq3RxpJDFhsJ
giant ribbon,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTRibbon2.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTRibbon2.png,Blue,No,1470.0,367.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Cute,fairy tale; party; theatrical,8.0,HeadHairOrnament_Back,Yes,For sale,1.0.0,1.0.0,CapOrnamentTRibbon2,1112.0,12053.0,Rh6hZNJPHiZXLvAHJ
glengarry,https://acnhcdn.com/latest/ClosetIcon/CapHatGreeneryRed.png,https://acnhcdn.com/latest/FtrIcon/CapHatGreeneryRed.png,NA,No,1320.0,330.0,51.0,Black,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal; work,1.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatGreeneryRed,930.0,6049.0,wJL28HCtAeYiw9Qnf
gold helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceKnightGold.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceKnightGold.png,NA,Yes,NFS,50000.0,103.0,Yellow,Red,1x1,NA,Crafting,,All Year,No,Gorgeous,fairy tale; goth,1.0,HeadFullFace,No,Not for sale,1.0.0,1.0.0,CapFullfaceKnightGold,692.0,5346.0,BBTeM9iQR8tG5DCWA
gold rose crown,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentRose5.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentRose5.png,NA,Yes,NFS,12000.0,103.0,Yellow,Yellow,1x1,NA,Crafting,,All Year,No,Cute,fairy tale; party; vacation,5.0,HeadHairOrnament_Top,Yes,Not for sale,1.0.0,1.0.0,CapOrnamentRose5,960.0,7378.0,FX33n2bWNfRJ6cuKm
gothic headdress,https://acnhcdn.com/latest/ClosetIcon/CapHelmetHeaddress1.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetHeaddress1.png,Black,No,1120.0,280.0,51.0,Black,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,fairy tale; party; theatrical,1.0,Headgear_NoEar,No,For sale,1.0.0,1.0.0,CapHelmetHeaddress1,833.0,11897.0,xgnfJr4rfnJHpz3Cy
gothic headdress,https://acnhcdn.com/latest/ClosetIcon/CapHelmetHeaddress2.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetHeaddress2.png,Red,No,1120.0,280.0,51.0,Red,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,fairy tale; party; theatrical,2.0,Headgear_NoEar,No,For sale,1.0.0,1.0.0,CapHelmetHeaddress2,833.0,11898.0,cA4XoM6rcf2WkamCd
gothic headdress,https://acnhcdn.com/latest/ClosetIcon/CapHelmetHeaddress3.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetHeaddress3.png,Pink,No,1120.0,280.0,51.0,Pink,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Elegant,fairy tale; party; theatrical,3.0,Headgear_NoEar,No,For sale,1.0.0,1.0.0,CapHelmetHeaddress3,833.0,11899.0,3YJZivZRjNYpNojJE
gothic headdress,https://acnhcdn.com/latest/ClosetIcon/CapHelmetHeaddress4.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetHeaddress4.png,Blue,No,1120.0,280.0,51.0,Blue,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,fairy tale; party; theatrical,4.0,Headgear_NoEar,No,For sale,1.0.0,1.0.0,CapHelmetHeaddress4,833.0,11900.0,Wvsj8vtWWZjrY6E7A
gothic headdress,https://acnhcdn.com/latest/ClosetIcon/CapHelmetHeaddress0.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetHeaddress0.png,Purple,No,1120.0,280.0,51.0,Purple,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Elegant,fairy tale; party; theatrical,5.0,Headgear_NoEar,No,For sale,1.0.0,1.0.0,CapHelmetHeaddress0,833.0,5683.0,6nyKqBfGMQyFYzH5b
gothic headdress,https://acnhcdn.com/latest/ClosetIcon/CapHelmetHeaddress5.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetHeaddress5.png,Light purple,No,1120.0,280.0,51.0,Purple,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,fairy tale; party; theatrical,6.0,Headgear_NoEar,No,For sale,1.0.0,1.0.0,CapHelmetHeaddress5,833.0,11901.0,ZgopQMMTea5nJSdbY
grape hat,https://acnhcdn.com/latest/ClosetIcon/CapHatGrape.png,https://acnhcdn.com/latest/FtrIcon/CapHatGrape.png,NA,No,700.0,175.0,51.0,Purple,Green,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cute,fairy tale; party; theatrical,1.0,HeadCap,Yes,For sale,1.0.0,1.0.0,CapHatGrape,640.0,5278.0,T7jWyxruDuEJssnYX
halo,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentAAngel0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentAAngel0.png,NA,No,2220.0,555.0,51.0,Yellow,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,1.0,HeadHairOrnament_Peak,Yes,For sale,1.0.0,1.0.0,CapOrnamentAAngel0,949.0,6921.0,h5uXo4cEWBngWp7sS
handmade crown,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentCChildren0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentCChildren0.png,NA,No,300.0,75.0,201.0,Red,Colorful,1x1,NA,Nook Shopping Seasonal,Only available during the month International Children's Day occurs,All Year,No,Active,fairy tale; theatrical,1.0,HeadHairOrnament_Top,Yes,Not in catalog,1.2.0,1.2.1c,CapOrnamentCChildren0,1221.0,12576.0,qtR8v5BvaApJkokuf
headband,https://acnhcdn.com/latest/ClosetIcon/CapWigTurban0.png,https://acnhcdn.com/latest/FtrIcon/CapWigTurban0.png,Pink,No,1400.0,350.0,51.0,Pink,Colorful,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Cute,comfy,1.0,Headgear_HasEar,No,For sale,1.0.0,1.0.0,CapWigTurban0,1009.0,6093.0,2ZQBtmCyTt4kGY2gM
